,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
SFRP1,-0.013679604107361933,-0.03384344722883934,0.07753391447708514,-0.006901192397552263,-0.03371115954868699,0.02415338122669354,-0.028565431851523923,-0.05650108721892621,0.015592135259497056,0.01343629498398608,0.0573992418587614,-0.039461998401327095,0.03776188036729961,0.015970537286441162,0.006218101187917819,0.04182860094567665,0.006157092669255388,0.03662010805537807,-0.04386778037164657,-0.013727765073249609
CXCL13,,,0.019544422091720894,,,,,,,,,,,0.03331463185436609,-0.03792364743290663,,,,-0.001027358894797267,
MICA,-0.01049200303471505,0.04525600791320651,-0.028917792034621026,0.07229852674054495,0.07562555067483379,-0.027848050719548146,-0.05126708648112323,0.009472911982522992,0.012285075650313665,-0.019206782723309914,0.03524297837231013,-0.061600523166342264,-0.03037647905126933,-0.001603049985777377,0.04891939692077614,-0.011171939780495597,-0.047308619524604606,0.026104785208094058,-0.059357051153897056,-0.009508913840610861
TG,0.03382796672157296,-0.010289064952852478,-0.0004853215833288521,-0.02812558710897872,-0.0050186517198821156,-0.0001461447682673725,-0.0206726787739091,,-0.010676318126893122,-0.04773510548748176,-0.08180798379531333,0.008279082284794058,0.017075858263683314,0.04264508002000784,0.02984455803485701,,,0.01137671934308273,-0.03101800743330449,
ADA,0.051287786159873394,0.011473513938071209,0.02169408565516875,0.03435876562664669,0.024667388478658774,0.028456540800180775,-0.03357409282676191,-0.0066209315489048955,0.0011230900599817934,0.02831244458482302,-0.05301279190780607,-0.09243678635065765,-0.03049355412284729,0.09686166902687725,0.05746392828455663,0.04981507771239802,-0.048993456765356526,0.021032101303997863,0.0629622275174576,0.08317646613906839
LAMC3,0.0536683505747775,0.001672847879968462,-0.0006167138006928819,-0.036319339702851804,0.08371019431319666,0.10295554106469854,-0.016263985506693335,0.04927941990125244,0.015250181322507807,0.0038878579350709506,-0.09581478649179259,-0.025403136757095542,0.06223791845296939,0.028166673331314618,0.04855798121727874,0.05832655323775464,0.13818679512852156,-0.053784821182324444,-0.04706956595548573,-0.07602499006031452
CCL7,,-0.022940724790216815,-0.025397261232129698,,,,,,,,,,,-0.014026487309268443,,,,0.004313369584976151,0.02787585627620039,
NGF,-0.02542125421958375,-0.039388085249371645,-0.027108932984657802,-0.026839353863231327,,,,0.046157330135697235,,,,-0.04682594568004345,0.06970781153777325,-0.03378256227755196,0.027681663362072666,,,-0.02757943452672479,-0.01472101100715025,
TNFSF15,0.00520702181698633,,-0.01880404603262886,0.04856372909634675,,,,,,0.026578584772369726,,-0.03722561913706269,-0.0041828828980914464,0.11425278381097208,,,,-0.057177959234834444,-0.03127550576560062,
HMGB1,-0.09205362067379062,0.01861311835882632,0.0012585764223810377,0.06682574876634172,0.019325229382165913,-0.07921108259666294,0.007704797620023872,-0.03651666712861023,-0.0256863957636395,-0.0016160467821808324,-0.03055923779422583,-0.02144994090472741,-0.002238117340851051,0.03058972259984242,0.07516476816226769,-0.022904489687240046,0.06282047699415216,-0.02055307144968606,-0.027774693209036323,0.03821048792532461
ITGB3BP,0.016758568157137256,0.0008304791226233958,-0.04287604183813291,-0.0563523911023706,0.05305470905079629,0.012314429326262895,0.07908397000907845,-0.04636950160624427,-0.00405873923902854,0.07481753839464937,-0.04388502805378086,-0.07855299243386855,0.02444308813648319,0.0014331252086601952,0.01507087101238942,-0.049079660613623594,0.008138676862573855,0.021209788533334828,-0.014223449284147484,0.08737895701601987
AANAT,-0.045563578589161456,-0.0019754392998158265,0.06879368510752365,,-0.016507817140180795,-0.01526186305571687,-0.023829727958984272,-0.03819839084952486,-0.02196767210154231,,-0.022478387259729636,,0.1228585759861497,-0.02566137984452338,-0.03337572801312907,0.019372067265039025,,-0.028231997799430232,-0.00549986819822798,
RELN,-0.003077781232450496,-0.024687122382844134,-0.020232838133786766,0.00495168513540407,-0.03960643892091872,-0.025516990679528596,0.014531394712400017,0.008685056939936755,0.06140803269798647,,,-0.05796385089852677,,,,-0.03592636232333093,0.008504269477667206,,0.013602987314473715,0.1831029807222856
IL15,-0.031367805556936294,0.024789030025141878,0.015351883253725608,-0.006604392072666389,-0.00772137062247775,0.061319594882308336,0.013163448759645254,0.018250203494011574,-0.020374000544892433,0.029232313613546255,-0.0024696001906177488,-0.05537409766190626,-0.03357686539187717,0.12283478730418089,-0.002828586196525216,-0.023433890538525255,0.19912808330153253,0.025042646361712235,0.013559282749518623,
UTS2,,,,,0.0715565821708093,,,,,0.014848515853223661,-0.04666860131650775,,,0.03928595071043076,,,,,,
BSG,0.084576968157911,-0.021110054713440473,-0.004785642335322744,-0.055340067601262984,0.00661402695832728,0.037882861984281535,-0.054126533657044625,0.10267008843175213,-0.020511586803455606,0.06741655833595254,0.009939690097394269,0.08611475687697596,0.05372001304394397,0.004898821051791438,0.027642623682595086,-0.06685295736905371,0.055812800989582974,0.02637658440458738,-0.08045175579965665,0.10575392247961604
ADAMTS3,0.08472653258079132,0.01954397129038329,-0.061800846145035226,-0.037350627418941046,0.07939704984181878,0.003166852033584403,-0.00840837697775757,-0.04214064550796985,0.010076308532981514,0.090595692473418,0.030189411586208657,,-0.023783704496064116,0.013156400291862064,-0.06146210455491073,0.008956469830080216,-0.03458145074456114,0.12077787093497001,0.005207783333175469,
CD34,0.0914628090685388,-0.024712377945152183,0.04541117190850605,-0.029084714752444174,0.09609434007657901,-0.028609872257586398,0.008289697170576564,0.005780447726337308,0.015202049131562012,-0.021588106833565067,-0.09547334876813209,-0.05718042527152296,-0.019510744231703885,0.07243536561449015,0.12089137881563664,0.0352944207625029,0.05999649574739483,-0.03912703604911411,0.046431136569436544,0.0953537692537499
CCL23,,,,,-0.018783275462030093,,,,,0.012465374545743441,,,,,,,,,,
PLAT,0.03537976944963608,-0.015986959995361042,-0.044113792363448055,-0.0016284470224064934,0.06872509852559032,0.052997307834097535,0.01625518945186131,-0.07446286456033739,0.0013691706796944555,0.019370379828224402,-0.03463632284084195,-0.005108959214804446,0.02259120595980959,0.05830992278833884,0.05515884909272768,-0.014965066852138147,-0.07570521836337775,0.04059106618318275,-0.005031816275180964,0.10614037728245918
NTF3,,,,,,,-0.030945446711817086,,,,,,,0.06394347820317361,0.03687260622242561,,,,,
LTA,,,,,,-0.014698764657532759,,,0.12903851797195012,,,,,,,,,-0.015163342240652699,,
CKLF,0.01116259446152419,-0.03635476414265228,0.021894963320562018,-0.033674935673971146,0.06833657490472145,0.028832916779726863,0.007642083322527441,-0.08658670692955837,-0.0017295526395509251,0.1284907552726971,-0.02228340579587475,0.0693838070942901,-0.04646032022499546,0.08157985873107304,0.0670384230347701,0.03451481296851382,0.07631572310728403,0.06479751405823345,-0.048507743650756226,0.15397876310832043
CD24,0.01495088037699497,-0.011123911181509037,0.09713959135732252,-0.06100108502260843,0.010159925460448218,-0.048230733790481525,-0.022433631565555064,0.05743987015177967,0.026002781848035957,-0.004939119443504638,0.022707492153464348,0.001925904265505131,0.03951768413484971,0.03554930220399148,-0.013047551259427293,-0.0117667044159764,-0.051972611382232976,-0.0175134371399757,-0.009110184042130586,-0.04300699970131276
HSP90AA1,0.012014323575137936,0.03837568621711518,0.03873813933028621,0.07049789110319146,-0.06660198938158365,-0.009374175510877308,0.04311772600149068,0.17516645943487377,-0.033968025396807676,-0.00016986531772980053,0.009437890183818293,-0.039410931973975244,-0.10307146929404976,-0.029473157338776784,-0.12030292704222548,-0.07976542562780266,-0.03707059982832946,-0.0583531017246768,-0.01891537859691084,0.06107797643869978
BMP4,0.05289477626853593,-0.016797905869611097,-0.032881734750184057,-0.026556127824112454,-0.050564007016181065,0.0008245687797562421,0.019113407879432498,0.01952800597094508,-0.017360754924208594,0.07423933866538833,0.02824248398553654,0.0050545634338298945,-0.026491530441976482,0.06503488779323746,0.018548446619420695,-0.022725692196898514,,0.08022012024896255,0.08721200185848815,
SCGB3A1,,-0.02294072249617499,-0.020177700271114415,-0.029601055063746988,,,-0.020100608604572464,-0.0015839423392672361,-0.014216709900254317,0.06451478671596593,0.028596793478698715,0.02025285457823873,,-0.0043475049750924056,0.195142270426672,,,-0.023985943016416735,0.034051777705134574,
IGFBP4,-0.006147289501493433,0.028091908079057874,-0.02569158069231971,-0.028413762326472976,0.12083641421526557,-0.01525799485161745,-0.041502310715324064,-0.036940667052059235,0.017452276877860644,-0.0509376748382967,-0.13960433547240436,-0.019817314501897026,0.03889630442424738,0.028993889431869427,0.07531993118474639,-0.09178166057966645,-0.010401721380263955,-0.03568085573977563,-0.02670365386948098,0.07106701959824112
RSPO4,-0.031054668312169152,,0.04080576679446473,,,-0.0170955581347262,-0.020100605664403748,,0.009131107650436756,,,0.10467845454422536,,,,,,0.009166718859585952,-0.0327000756121373,
LEFTY2,0.10054880451972575,0.04108413986269464,-0.036147113068069156,-3.787804204589818e-05,0.057749442193270994,-0.01290092925685605,-0.009118776313417306,0.014404503463721572,-0.0251514792479916,-0.018402843681189048,0.10877726840168836,,0.030021982043185447,0.06378879027861584,-0.014237847794311038,-0.05935946412043233,-0.046572176757613035,-0.04174402821107568,0.054137826157542826,
PF4,,-0.02379731706516882,,,,,,,,,,,,,-0.00499754210498787,,,0.054984704153349745,-0.03482346059371858,
ANGPTL2,-0.0024922851056336103,0.011980834672349854,-0.01773031660133765,-0.048387337607817674,0.04337882635972872,-0.030475866276276475,-0.023010445370363692,-0.06423706080479842,0.01927431813094258,0.06641083081663242,0.016485065138895486,0.02499365989765242,0.06116757413226196,0.07823414670354725,0.043594326259107696,0.0057973182901202005,-0.06703033979940867,0.01119839259528897,-0.04286682086995687,0.07545878313656779
LRIG2,-0.04663318470232283,-0.016190682691338158,-0.054761161695242144,0.028625555887975676,-0.023015473380920862,0.0021462249288278835,-0.039940676731961215,0.0639678381165136,0.02991615062216634,0.04647729246838799,0.13703189181705644,-0.03406420943028289,0.060453294812080414,0.012079810240071633,-0.013648662995180272,-9.730734352904281e-06,-0.022439496155061505,0.035741162356460944,0.046678067324236676,-0.018892125160275355
ICOSLG,0.09344452773694022,-0.05012125674553866,-0.04479288288922044,-0.023608208202557577,0.06472298205441039,-0.03941558029079624,-0.007918507391034255,-0.0040320538724717145,-0.003055622566922698,0.03817409075429361,0.058350393267818775,-0.05823428853477398,-0.036655086639572176,0.014961266221765737,0.0384956103241325,-0.009070811084826587,-0.006161643746231937,0.037019687512064386,0.04315281421754643,0.06529217690603677
WIF1,0.006434592596710726,-0.034285906079205564,0.0593328060687477,0.01494523721578579,-0.062034218188451846,-0.013192237292604821,-0.006923968258465555,0.06848474545463194,-0.011552027324751312,,,,,,,,-0.030607457142485466,,0.02254046827024145,0.10877524197008531
NPPC,0.01657402741290239,0.012248356400784017,-0.040624725399520674,0.03290568984272855,0.020899191329233114,-0.0030680992181182816,0.03608290145829943,-0.0015075785710170686,0.01701297646866971,-0.03668303728910278,0.02563174120159259,0.0121708932936838,0.09799892182897729,0.08603277580616059,0.01661734327345402,-0.005713698125147586,-0.01127139979890152,,0.007272678752228316,-0.04693621303971958
LYZ,0.00870970174409832,0.014213293773755978,-0.05693508420574631,-0.007498904152939025,0.02646130931137039,0.01070874500289837,-0.03343392853918505,-0.08893836491557916,-0.0320744456357664,0.14669683747749787,-0.08952579036745181,0.01183444352275871,0.0630952304239994,-0.01809957730030795,0.011615901964483602,0.004279252189894824,-0.04552043956033648,-0.05140963488684203,-0.025808898892019986,0.048250845708652214
EREG,,,-0.008541577347091333,,,,,-0.04179663220982568,,,,,,-0.01587660002583838,-0.003093485407832495,,,-0.027381905691342297,-0.040092118994259275,
SPTAN1,-0.021359586808004608,-0.03706724074096425,0.0007639765145656779,0.0021494984538727633,-0.03424964138383837,-0.026336979364928452,-0.020689410147134848,0.11551816981799394,0.02148611817182477,-0.074497975359546,-0.024218979973013928,0.02337009896547266,0.05515909778858289,-0.013488530129403178,0.014513973692692394,-0.017398997853475286,0.036701920657121065,0.0043298812447270405,0.013105174221794708,0.05382648797812367
LIPC,-0.05627108339327239,0.05398421909042919,0.06150532870356531,0.046813558263651724,0.012061142690899277,0.06898953684069267,,0.04992049194801518,-0.0320056535397258,0.0009612416666155785,-0.05001152756430144,-0.022940739446377797,0.06035772416870514,,,-0.0432884245018285,,0.004697643234786101,0.03368012002588538,
COL8A1,-0.02591165001893073,-0.041926218491834845,0.03186006375138324,-0.0730893254322788,0.04152483036175104,-0.043578549887037486,0.04020666776004349,-0.043001338844416995,-0.019188326935681267,0.10502595173371276,-0.056058763217765796,0.16866858837641918,0.04341534799940002,0.06546209014701006,0.05881653186919674,-0.018713867845152797,0.18025849603152258,0.004808641700874748,0.03740005327391795,
GSTM2,0.04896660311640348,0.0006386104722138371,-0.04565416597638004,-0.019609346728322943,-0.028273722541420656,0.06710415729158202,-0.02634397301219818,0.05026576238686397,0.031523847011677264,0.07525560528381407,-0.02233125447034432,-0.02986331217019153,-0.059837247974679854,0.04634469668766106,0.015542009918675605,-0.026976232237006945,-0.05392774209796493,0.09539443320518745,0.0036440379715055714,
IL4,,,,,,,,,,,-0.06549037417993721,,,,,,,,,
SPX,0.06028069005206204,0.01486343144177472,-0.04522003603737643,0.06463177085136602,-0.057894425742629645,-0.004057947042270148,-0.0027234527134065707,0.03193683971284828,-0.029236213781965347,-0.04863040273598295,,,-0.05614726042210938,-0.029492204754409324,-0.028224729977647342,-0.03456996060421627,0.05892602782361308,0.07499129727267449,-0.01229065386172585,0.02901374256775515
MFGE8,0.03349219613486407,-0.014971506127551933,-0.05682658305623848,-0.0018041427468052616,0.0471089472670121,-0.017953775451706056,-0.02135594356940105,0.04326716242358834,0.02680999783783663,0.013073750720451556,-0.027876767637285096,0.059115648143295646,0.00010601613466662003,-0.0274245478093535,0.005561102068147599,-0.008524254450284596,0.03307225470966508,-0.03156716707869779,0.027314902936459662,0.13743395657707067
TGFA,0.04321377559232353,0.027229580352761556,0.0560099002365745,0.0692260291488725,0.04575298587428568,0.08339935664280312,0.043000886410570996,-0.11596462720695783,0.023992776588811607,0.050436915227353045,-0.0019272570734503076,-0.05714548537751374,-0.006726660132678679,-0.009528326594789416,-0.023095504662216763,0.040287105968799065,-0.07925918757670895,-0.03373631406131018,-0.015070270052469678,0.05507530052458137
SLIT2,0.07073428685045012,0.023155230324346132,-0.030813596281184758,-0.029602685205971455,-0.047709263162935674,-0.004024092509177846,-0.0007228169719389311,0.14159777215447755,0.03338636880283423,-0.006383056606784497,0.0008225887605164808,-0.0396062558217715,-0.026897214759952052,0.0059701098815959554,0.00875388214281111,0.01884436855714669,-0.07781543842394117,0.01606141280062808,-0.026638499306356738,-0.05315906548035145
PLTP,-0.007263252889040989,-0.0382204651720892,-0.03470752585866722,-0.05936979178973889,0.1173657196826395,0.04280094265856448,-0.01521073627826989,-0.130790481826675,-0.019339129470767158,0.06836432043134207,0.013989283664118848,-0.04331769366037804,0.05500242075114588,-0.014325479428145048,0.08744147194068973,0.0372263006901694,0.02241070232605193,-0.01654491882223473,-0.005335488306834751,-0.05448865282078203
APOD,0.03504230063698402,-0.028709345749452476,0.08107655692690852,0.04836869581526029,-0.01988779389784992,-0.026928394866439047,0.006960745509555826,-0.05337334363724766,0.04140807225489949,-0.11977053718078202,0.09042943706831803,-0.03235569947825942,-0.031445338494742764,0.07281296260904359,0.08988046449178283,-0.016315469032557133,0.02812531187150532,-0.06589871465833501,-0.026642724549757656,0.05042521389426284
B2M,-0.06114667168294818,0.02303487325763431,-0.041425178099500595,-0.023058936949688306,0.07671947822975966,-0.0010168040142296652,-0.06930742918287931,-0.1675876670758565,-0.00855349167074381,0.08586313677968589,-0.0992378985748321,0.010155649359880278,0.1096076495601296,0.0787536272004138,0.1571633650966857,-0.07014437174701156,0.17021248847726025,-0.041781374099268256,0.00016862315432587417,-0.07446848052472964
OMG,-0.01991094986176277,-0.01188030071526448,0.023863118267924324,0.015329562670562302,-0.0014582409044322801,-0.04596574829501916,0.04096647648379087,0.02624603282888558,0.02146298768212502,-0.07435675149064057,-0.015894323850525766,0.13383840430193544,0.020171637117771982,0.005485577895127791,0.0548729197458402,0.05294789479600166,0.02749785405885068,0.08673805904310794,0.03631592252773557,0.06335383773780692
CXCL3,-0.029703045794419684,0.04534949994842784,-0.06741072324299206,,-0.021673974788766925,0.07454513324536252,0.018293999917155822,-0.04963289378288553,0.008455679902581614,0.040756424933569464,0.008726010244362795,,,-0.021753150228763677,-0.046385402201299934,-0.026177713848492396,0.055539272665440065,0.003842317608945993,0.10783817555957283,
CXCL10,-0.030952184061180693,0.05255201634868677,0.017737871892860153,-0.03169661436122043,0.09836662647273046,-0.009803161772481752,0.06540049871210708,-0.019631860791511975,0.07803549658090957,0.03553054884042462,-0.04045173863217231,0.084462091618908,-0.03208129682793522,-0.01525993211633844,-0.01708725751505091,-0.0052816867889267155,,0.008016804391744313,0.07364956674218284,
RSPO3,,-0.019939887905891,-0.02254693816813371,0.03290767114075055,-0.02710671106087934,-0.025820256330082222,-0.05221678162145127,0.07147252275106435,-0.015332972588525833,,,,,0.035107520326353454,0.002827495006700633,,0.04976738648199324,-0.011339990845207735,-0.051546037686598635,0.01935705999860999
CORT,0.05274472891953189,-0.0014668004068125373,0.02827526024704733,0.11815383254338457,-0.030446171074860997,-0.027831176921669743,-0.024689431342824943,-0.0050993705103725305,0.012659003674819558,,,,,-0.03335387991423943,0.04564396367662485,,0.029592177034769605,,,0.0693821300786815
NCAN,-0.006697968009941216,-0.03551359839916108,0.028004753458075675,0.0005617074424034566,0.012559699081622706,0.015599284336491997,-0.025296829233068974,0.1092008630429218,-0.0037330872950738776,-0.06705751534152443,0.03826257347388655,-0.05215956610113788,0.04873056841889427,0.034961914991999965,0.05384629043828545,-0.07513413214230896,0.04972082099165772,0.08289542072336678,-0.013248582742963599,0.02795502042055864
PRG4,0.07816901703072374,0.027772261652408075,-0.01614352678071792,,-0.023481776316538104,0.06546600991441955,,,-0.01792677958985589,,,,,-0.018846299151056713,0.011359473851602608,,,0.006464578364771622,-0.04846951289346881,
ZG16B,,0.014202806191084421,,,0.07818226306368047,0.035037504130155515,,,,,,,-0.022080805628853818,,,,,0.00440735461599566,0.05531486680296922,
