,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
CXCL3,-0.0005531304133525143,-0.016747596314186666,0.01765334188915205,0.07843002801842498,-0.017507359626659714,-0.024424547919008065,0.08270030818500067,-0.010777232816553291,0.012113829917647936,-0.05302781570705588,-0.02654969708052624,0.035742135978052016,-0.04348761636582129
CXCL10,-0.011415412381388953,-0.01715720882426594,0.006018615782263314,0.03358535950702372,-0.03681888314961561,0.15463783855878085,0.062195689714269496,-0.016371405452343543,-0.011276279660633885,-0.005827958557574065,-0.005780721567141926,0.04123673728689509,-0.010697748421178937
RSPO3,,-0.026939370849302605,,-0.016781963256577707,-0.017979690423457297,-0.030546734952201154,0.004096368141089764,-0.004110450146579857,0.02961179577149666,0.07562203587374669,-0.028733229366335714,0.06413328811384571,-0.00016890720794436682
CORT,-0.024538217949608525,0.08121821212037007,0.021244330540737343,0.026719974311813922,-0.02182106899606544,-0.011436757332444833,0.0876950520320802,0.01460525441340976,0.026362438963590737,-0.017993808694792182,0.05677849417361772,,
NCAN,0.10309135847462274,0.05260725314713652,-0.004536385039776737,-0.0012280858390744608,0.08898098463513009,0.0862916244153407,0.008688331412185842,0.02650821821281226,-0.010906912326446201,0.10559285397142111,0.028072504652060522,0.0441544521722009,-0.02159012095445979
PRG4,-0.016041074031997837,-0.029825093955432504,,-0.016563074012456158,-0.012873393792791241,0.046657699695143405,-0.01888476746961262,,0.0009674404968281114,0.0034138205534618325,0.009288099601204813,0.0006135132893301154,-0.022878203426047725
ZG16B,,0.021790385539071727,-0.01876604410640803,-0.019223473051118475,,-0.02856973484597583,-0.010095674769840985,,,,,-0.024743011117387363,-0.014022531823290977
TGM2,1.5416912162968916e-05,0.005138257824515913,-0.0165042619450284,-0.014843326825583682,0.020632740697568954,0.05878390120169836,0.005401090628605013,0.0005299699988528949,0.013271229488274347,-0.06896630297602116,-0.012724698073304827,0.04439434538991308,0.06919471693690928
VEGFC,0.11950557786300674,-0.03786889025305803,-0.024096323304066334,-6.26883990582312e-05,-0.01981641887745413,0.03315236881859971,-0.006565145111175352,-0.029673544108318965,0.09904740991333154,0.032969351245061444,0.027514089119809255,0.08564847160847017,0.09281677188555312
WNT6,0.04551051018543438,0.10971069834360135,-0.017354776050822005,-0.010489027666790654,0.02433677056227918,0.04959577333702874,-0.02246756411148555,,0.0646598760664131,0.017578143798518776,0.01273752076413564,-0.029882271188962202,-0.014489482436582855
NRG4,-0.022711141443779146,-0.018266050565826683,,0.11334735313751883,-0.018336465971465005,0.01613154657117892,-0.005030268713907679,0.010756461658043049,,,-0.02190152189602442,-0.019843744564491596,0.11890408474042874
PMCH,,-0.021052606281557938,,0.04788339757894404,,,-0.01477727166947297,,-0.010329983189075775,0.05745148181465022,-0.012609992045624609,0.019774966047609126,0.008490349181435762
COL9A1,-0.017902195812126074,-0.029655860137282636,-0.004452791512633249,0.03346984058171099,0.016596611586918,0.050701708304617295,-0.02705772694231715,-0.02134025060485834,0.018971025815431447,0.13888749669269054,0.06939728453740991,0.08838960758667586,0.04137012951368674
GDF11,0.016621082537376167,0.03515693795955989,0.014294785264187862,-0.005217068390117644,0.030087207512011847,0.05429258648702627,0.016192827394461887,0.08957510499987034,0.02169587313192227,0.03785929619811051,0.016705157974316327,0.11388128705775269,-0.005991735080054581
RAET1E,,,,,,,,,,,,0.05363313709337421,
IL24,,,,,,,,,0.06665159003004013,-0.016920942751206494,,,0.056973781153314744
