,UKF243,UKF248,UKF259,UKF269,UKF275,UKF304,UKF334,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
CEACAM1,,-0.015803932331688975,0.017832177830042182,-0.020913514483705722,-0.018139270570691642,,,-0.034454856052694896,-0.01956087671045425,-0.03089603520340961,-0.02060460893463489,0.12231782925955764,
PDAP1,-0.023132009749947592,-0.013494531605072984,0.01771670095786488,0.008239911036800435,-0.04320258412311805,0.0073450704536302995,-0.008440621674442053,0.024698347536008795,-0.043787499778598506,0.015471928444600418,0.025539848280355,0.025045151138083505,0.004543608018091563
QDPR,0.05385895104000171,-0.043731497488777686,0.019327960834411025,-0.027712422839026876,-0.04408309040248538,0.1035028741213975,0.05397754574317859,0.0018346849947485128,0.01733973269991584,-0.09945586183229478,0.021359949220586892,-0.013841890250744357,-0.02367359960600008
POMC,0.030149386666096747,-0.02811418538879434,0.0010158301832233587,-0.01269017552896148,-0.013382430579129018,-0.000590828923749543,0.0015708325420245469,0.02644991792725304,-0.0007189772848678593,0.02504580362807361,0.03721941266359799,0.07903998966899883,0.08001782392610703
CCL18,-0.025863625020639984,-0.0028590273495699434,,,,0.10812325735558802,,,0.0617653875546661,,-0.02739847783834838,,
CCL17,,,0.0611422349025015,,-0.014384379439253138,,-0.0178704407445155,,0.06248458389803086,0.04433817839767467,,0.0999920243441129,
VEGFD,0.04828697276259201,-0.0026403299268083903,-0.016966712343486373,0.0031131521859835806,-0.01532533964497221,0.021233658976402708,-0.019152304853076497,-0.04684062176585582,0.0227202552264119,-0.0039326198112547735,,,
TNFSF13,,0.030449813132948225,-0.010504576688361371,,,,,,0.022896425560133923,0.03600644823621057,0.00875070894989868,0.005196225551281763,0.020899144642370488
WNT5A,-0.007722362639550002,0.04163710709907716,0.03005790733444637,-0.00791288578077568,-0.0013947633858906903,0.024858345041244383,-0.022979596076703832,0.02515360945623213,0.013740018413580322,0.015550692476570713,-0.018028496094410866,0.043549429625361076,0.046304982132693406
CXCL8,-0.09785935972489515,0.06823483714578285,0.020126162409690108,0.002894055186452934,0.0168356367967477,0.08297794052638152,-0.043179465788105956,0.12561567032189744,-0.05736406031676938,0.04666264822537499,-0.04762792943192806,0.027796524951117178,-0.013002267301427384
GRN,0.004786518153477615,0.024619617573876512,-0.0018680263879682383,0.014075077393432974,-0.019852427109760255,0.0975094936315439,0.011891564567661843,0.0716596190407827,-0.0012684579856342638,0.07509138531602941,0.004154327325055593,0.047153049297437834,0.000771885186341378
MIA,0.09089412262854032,-0.022223960209071754,0.021704457538182023,-0.01766707842362275,0.011740401021803655,,-0.026229959199692874,0.055565058878266696,0.10742908592737072,0.08773527149234778,0.02572194509777011,0.06257464599234094,0.04445161778707433
COL4A4,0.012100187973080042,0.0058650400779001926,0.1202820100824459,-0.010546204107943222,-0.015017737168170443,,-0.02544403353153966,-0.03667712933271023,-0.031320022130850646,-0.05324330994368967,-0.022209749504317696,-0.0395891307237058,0.05865438821583545
TAC1,0.08475780046432639,-0.01478418678163583,-0.016373689690657615,-0.021874922920033023,-0.03509038086746509,-0.053517657564018065,-0.004015522218675955,,,,-0.03554882030459289,0.019590597910905748,0.05832046334020138
RARRES2,0.07747765906843397,-0.04292979640714707,-0.046770371365743434,0.034859979420485576,-0.025830121759755888,0.10231226660832184,0.025862402725055075,-0.19589500442838564,-0.023216413591045103,-0.02704321681890875,-0.02105517058487802,-0.016283240807067497,0.02750196094656152
FGF7,-0.01981952462284323,,0.048912354579136244,0.02024246768344886,-0.016767014622518103,-0.04446051373142357,-0.0063134128265798384,-0.03854848263222349,-0.031282987238760544,0.00228571950692891,0.0680401929882751,0.04035514349337286,-0.013141679445346804
EFNA2,,,,,,,,,0.00393220939500084,,,,
HBEGF,0.006061687391973545,0.05533479278040879,0.024577735891358362,0.012105370247686821,0.04434810269187355,0.023528130959908168,-0.03693867524910932,0.1374618327284769,0.0461470084602558,-0.043697792013143916,0.0039045165099163993,0.023570940264540385,0.06003068878875848
CSF3,-0.029335223149294088,,-0.018151559481699227,-0.011157680956981483,,,,,-0.022471391421155403,,-0.02953952146989071,-0.008509790776303656,-0.0038343562426904885
PI3,-0.034751946317660806,0.04396176495227501,0.028279232062911983,-0.012563696023009685,,,,,-0.0752440963538738,0.03024509138431674,-0.026496551276506596,-0.05532366389422588,-0.009092088822307985
PCSK1N,0.010049202020390577,-0.015079919142021085,-0.015531796640869134,0.0227967890837753,-0.0013063026950718302,-0.13380982331192715,0.018457074407296426,0.11252628666880538,-0.042815957491236,0.0639920565832055,0.06344718647005466,0.011883427504824717,0.0168543388540199
NTS,,,,-0.01371413206880052,0.015098925557635218,0.17279777753844383,,,-0.004014848378978752,,0.10856706848615108,0.06596671258058864,
SFRP1,0.035891872817112945,-0.009487718246582845,0.030593354627804988,0.11651228638458665,0.03401469616125595,0.09809843990905673,-0.05102802291937394,0.16634302314982216,-0.02927124572266724,0.004585474726125649,-0.009831683996604858,0.011594362223839314,0.11808058902540385
CXCL13,,,,,,,,,-0.013081946291729533,,-0.039383360408596184,,-0.028336788394198967
MICA,-0.03979071853405702,0.046720765246135956,0.0020749630601344625,-0.010766535590966655,0.01610297141567594,0.025459122036893173,-0.01920730665482791,0.009589793511905182,0.01813330393674454,0.07132391686249737,0.035330129367247214,0.07163080384145135,0.09665458267756119
TG,0.001196356074343815,-0.03105707305712941,0.005664776317191994,-0.013466322659951607,0.02437079404384851,,-0.026843923569968817,-0.01878690941374622,0.05955246535410197,,0.006602286429316927,0.013547966757355258,0.0026143987338526123
ADA,0.09931683531079802,0.04655172997536098,0.029568856424950857,0.06015174987973891,0.03830469610985462,0.02484154874061534,0.039773917117890835,0.01193894729475092,0.0015827488325188977,-0.03640705553875804,0.02689070377390009,0.06449063986776143,0.006291666678386157
LAMC3,0.0402840687110716,0.048787683768957125,-0.03390995442593507,-0.020368721315783277,-0.0364203064589425,0.07373658970046588,0.0051620015223783474,0.10850656177865106,0.03086721019833201,0.07741093427093303,0.03999267982556805,0.08930066459161287,-0.010944730946085678
CCL7,,-0.012544739969174396,-0.010367562906614386,,,,,,,,,0.006801283843481162,0.012953928083392562
NGF,-0.016900855953984332,0.10808436559994103,0.0001054613276406593,,,-0.034351810691332745,,-0.027084548886215167,0.13774369112074084,,0.03670745969001373,-0.03798787016574384,-0.039591739080969475
TNFSF15,-0.020908468099471368,,-0.011544788367521387,,,,,0.06426831483960105,,,-0.018343535701791116,0.011473705621773647,-0.012875285060491407
HMGB1,-0.0011028447773211675,-0.043875728006147405,-0.015701600143059748,0.062234366112832326,-0.05613266873522365,0.07004047611912975,0.04772337824999769,0.029741034800202012,-0.034928234405087216,-0.014906621775498133,-0.07164262859854383,-0.027184179306243367,0.03503829807780061
ITGB3BP,-0.030306265147488815,-0.009269505662937532,0.0032123528566709563,-0.013376238129746008,-0.009791784088466522,0.033722095502001614,-0.02262394018685048,0.06150272498027039,0.015512642365326977,0.035948318280554774,-0.011065453766771777,0.04462439857299469,0.01265497573143705
AANAT,-0.011396256281710194,-0.018200509146336474,-0.010504577809494847,-0.01006453017147305,0.2208881165156538,-0.03229575403999561,-0.023971486932647484,,-0.025018860132408442,0.024697863969302455,,-0.013443699972592975,-0.02133108569769395
RELN,0.0531373569567083,-0.021015451253342213,-0.018233594629168084,-0.029532489370553475,0.0322255541552753,-0.03733111781780163,-0.026538505098336208,-0.01801940837123922,,0.031205445898387967,0.04464125102022371,,0.01291829042566651
IL15,0.05077858662227018,0.018443381195333845,-0.03646107702735274,-0.026252395941049365,-0.022153993885352923,0.01910783761028564,0.0377858601340926,0.07431146034992353,-0.0090987704682476,-0.008373505457005194,0.031849415371259855,0.09481761524223997,-0.019179291380034314
UTS2,,,,-0.0331993049308854,,,,,,,,,
BSG,0.033652110215726797,-0.01630132271287397,0.06770585560081249,-0.053430179256457405,0.01651197471353996,-0.08291822110811627,-0.05300743395187675,-0.00497638578403771,0.0741464164971157,0.10943166234353127,-0.03497286757787475,0.05880747391682707,0.0004366139545420536
ADAMTS3,0.04750705022364035,0.02950920283680566,0.002769227282902844,-0.0021688908963798863,-0.023354402513494403,0.0025688569848763628,0.012699738314905451,,-0.007043282604396364,0.1453151946169636,0.026432790858932166,0.0500013047548389,-0.009097949540415295
CD34,0.01005882377518945,0.053256491565640204,0.02064576393016018,-0.033738137788875674,0.028389051621707122,0.01998730519173948,0.07280928556068131,0.07664953748550168,0.05263285834814174,0.1598022054832985,-0.001816562347926003,0.0793849111660743,-0.00018236278826125636
CCL23,,,,-0.011451837696126841,,,,,,,,,
PLAT,0.07904236954311417,-0.0024560577831327117,0.0024247215561130683,-0.0006566672992119691,-0.009299304056505493,0.005766336416327646,0.040434451703930716,0.04592291312506371,0.03184618332619423,0.06650966323858266,-0.11243459266088783,0.029788993438104986,-0.0088047770629432
NTF3,,,,,,,,,0.07049684056813064,,0.10417391134916613,,
LTA,,,-0.013287831490095114,,-0.012551642816626286,,-0.0222324489303111,,,,,0.06447005846226828,
CKLF,-0.023649181662920463,0.014393720371331707,-0.024939919164265766,-0.0009024474554165159,0.017628395793490056,0.09805291885328088,-0.018188979764810702,0.17389993232817264,0.04233875129882243,0.049235871091666085,0.024945893902063185,0.06150768328667652,-0.02251130364317058
CD24,0.018252203724022864,-0.06091155378890125,0.024841244674782076,-0.032089539886625384,-0.0413515747674579,0.03853120398089732,-0.031874945205628356,-0.10631274115502452,0.016478726797737504,0.01558862984348176,0.07065082830642244,-0.03753502702929381,0.006824013447785256
HSP90AA1,0.07015365665833626,-0.009843906713686255,-0.030629156561320155,-0.046990468493965765,-0.07363180895387426,-0.12761360658887436,0.019142521144737357,0.03909317572290068,-0.07552248607065544,0.031507091872724324,-0.07904208807951199,-0.106652348451083,-0.0035541487844899427
BMP4,-0.02105831047097359,-0.019113356396571475,0.03589399387102483,0.02710172407407817,0.02852598458469293,0.012869832707450226,-0.018944342754339618,0.06897846409296707,-0.006673870663208269,0.09916480540015343,-0.003639003342251377,0.06900208215446339,0.03264965303306318
SCGB3A1,,-0.012544738714717158,,,,0.04664063697146186,-0.015513508851730348,-0.05025893000323494,0.09538430748976535,,-0.0087198280031243,0.15168476494157299,-0.042864940376281586
IGFBP4,0.035603348137257754,0.017288606417257088,0.026825568018023143,-0.0039460605224310745,0.000445192240508092,0.03023092884534898,0.005129655980518481,0.10967179362415992,0.013188469568902985,0.06492887138908836,0.024988812702373964,0.1000858688739544,-0.008472352443834704
RSPO4,-0.020646128287344846,,-0.020339354129012346,,-0.014598324720301408,,-0.019837066747664552,0.06709351189172193,,,0.09286178255967749,-0.024026817789421756,-0.02689765412122893
LEFTY2,-0.034582398434351916,0.014340009455550083,-0.019274044179522477,0.03481152729607126,-0.03595057420366733,-0.0018055141085427662,0.03508925587992964,,0.05552577070522711,0.07128234637775449,-0.03488843823938044,0.0911653933341699,0.02816711802574992
PF4,,-0.013013152691402729,0.022360310859260057,,,,,,-0.017040217471204048,,,-0.03799599635317449,-0.021070454468550506
ANGPTL2,0.032086636229849974,-0.014514780429430382,0.02104584095773443,-0.007085027009992727,0.04058849982549674,0.11631532214858906,-0.049417975885167977,0.12124145049973892,0.07245969012427672,0.027712372850509287,-0.05529184970061425,0.011506314830053658,-0.03579940147163424
LRIG2,-0.058738361296283695,-0.026531814578353297,0.06103847734900588,0.0058048151713326,-0.08362667384482156,-0.03583154441801383,-0.04281334008788464,0.004001412271991716,0.03376500678089863,-0.009047387009048408,0.002476978170753958,0.05498012970514616,0.042538516971408896
ICOSLG,0.021445169109551958,0.005960101549761801,0.04829565814031273,0.018720812681159816,-0.005973406794885496,0.05739679427313542,-0.007290806923407471,0.010568968862735355,0.06504010099595293,0.05566612746255434,-0.08642151016687571,0.1066370293007832,-0.024801315778606996
WIF1,0.03288034314924425,-0.023415056060278515,,-0.014022536905038538,-0.011265181415371174,-0.07139353631472083,-0.015255623345852818,,,,-0.023848351665973166,,0.027775773098214527
NPPC,0.04450039177037146,-0.03891713962184211,-0.014031792464840986,0.028690487139859677,-0.021974789579210213,-0.027271315896390536,-0.019590783902473777,-0.056183512104243306,0.018605461775659686,0.11293942159724105,0.011667354602512234,,0.031818404365184474
LYZ,0.03636605751734402,0.035387162610400785,-0.032249864555684654,0.01568318022654493,-0.013057137396181443,0.12226682954168278,0.008855876471893108,0.1250497699525069,0.041721131372820894,0.03367231778531924,-0.06154397272341825,-0.0019188015232219039,-0.06533255757083764
EREG,,,,,,0.2062235755476281,,,-0.03833017373655498,,-0.03195312430805155,0.024952010549709212,-0.024258334852815457
SPTAN1,-0.024818493519103885,-0.005143557468221103,0.0066513501321513,-0.0732922211269327,0.024269160939102283,-0.08466354776555286,0.01003696833853174,-0.002701992090967119,-0.04510080093594865,0.09260949904631093,0.06134215932666783,0.05043023124482773,0.01197129865351326
PTH2,,,,,,,,,,,0.007912796409129534,,
LIPC,-0.043301815489589654,0.006004577578952435,-0.016255427090461717,-0.011340785606094129,0.036444272362465724,0.013624534025306178,0.012639900628287652,0.1323228119639594,,-0.01615311880205195,,0.005749401963004409,-0.017571181828405686
COL8A1,-0.029392701996499907,0.037246907381514385,0.053640911233028256,0.0427772989204093,0.0039730292281178956,0.15941778561482578,0.05701330667701862,0.09957793678705579,0.026250270864334714,0.11240621767205497,0.025547953032807595,0.011109329859883216,0.052493547087889614
GSTM2,0.05760628860865771,-0.00812203065504429,0.0031036062884453675,-0.026146847881341202,0.001780368212829942,-0.03649897047767187,-0.039364607984686016,-0.019427622572990452,0.0314096924146446,-0.031197067167765703,0.023165985954396725,0.05741060418949116,0.07001867921391029
SPX,0.09382300941810663,-0.025766715520727415,-0.02663634475809616,0.06647475962403088,-0.021243850915042082,-0.04826483175243727,0.04275202561012425,,0.13579276522035302,-0.03225395042539057,-0.020181462781354277,0.020459225977951124,0.04590406246698386
MFGE8,0.0009969904622753284,0.06784062414592114,0.057225968024123795,0.03221851171081006,-0.03412345696188443,-0.023477483981500753,0.039953531206956695,0.07467345324451456,-0.013962827287480663,0.0717924302479518,-0.026255561618049917,0.10781887112145871,-0.011395790384713167
TGFA,-0.04845864273983679,-0.036866018958814424,-0.035425567250179535,0.01822762293695584,0.0653739804073502,0.09800063397389497,-0.0020632897035643533,0.02106195544739696,-0.04190403372468702,-0.03667453300536402,0.08711773089572311,0.08814592239027466,-0.015299189269126679
SLIT2,0.07530925946912598,0.032135688468960096,0.045095503833244274,-0.033442892014614166,-0.011512533402334674,-0.03644519135204365,0.006764485861300993,0.035921347924054686,0.06127706552360441,-0.05821690145083964,0.00943717946085426,0.031974830193573965,-0.007838015927274133
PLTP,-0.043250232998492566,0.022937005405521287,-0.011315940614287263,0.02646735009906738,-0.04433449518196897,0.13280584797928205,-0.056212043957536116,0.008571558186831302,-0.03292819745046655,0.07958289394964398,-0.022902426676985124,0.0027102410525631235,-0.02926683486248451
APOD,0.03993460619379454,-0.0574520272496053,-0.04312196538493803,-0.008086631366258422,-0.03878121418736386,0.1262341893897854,0.027328128038570577,0.07892452868746481,0.06068920898737305,-0.06621587707231014,-0.007646098096081176,-0.05700739133643831,-0.013115985162907495
B2M,-0.011725900310827523,0.02803967841695704,0.022087978728459527,0.018430215332364327,-0.02041676234322511,0.15349386823719843,0.021041472817195175,0.14097753456952603,0.07263811611104895,0.1159630918172148,-0.056406303673382015,0.04229151649371366,-0.06458751116056025
OMG,-0.03261676297419032,-0.07581416868815992,-0.05061688256799599,0.010579914832697913,-0.012395179610398564,0.012770027483589921,-0.008325145452498588,-0.017199490741330852,0.10284345196462001,-0.053580329228809565,0.05578553032865009,0.12093142465450919,0.06252999664937359
CXCL3,-0.03148288002163163,0.02583676768246068,0.0397112606191277,0.18667069878068757,0.07164984241542964,0.04979343728485009,-0.01601138922372495,,-0.013068371770920958,-0.01398960395396101,-0.01469191027691254,-0.011647625096395067,0.0338795444176006
CXCL10,-0.02561596946954079,-0.0028414169567013993,0.05369164189754723,0.010795035519945654,0.03191201385907016,-0.014922082881790285,-0.02544403513897606,0.007250790240609829,0.048707198404066225,-0.02232012377719683,-0.03505452664497341,0.04957635265930582,-0.04880453389182852
RSPO3,,0.002848595319077699,-0.010504577033325479,-0.01652649220699051,-0.022048562749308276,-0.069069351948089,0.06470545605514182,,0.1342096688236801,,0.048343833337893466,0.03674432205004646,0.006910813725065494
CORT,0.08074732696043917,-0.028115617536293,-0.02355732059263475,0.0018347958662572226,-0.035192283805985776,-0.04182163908702608,0.002686287790969249,,-0.017831721495750557,,0.08974848835238733,,
NCAN,-0.02200790526162941,-0.03659389203552033,-0.01193604590868652,0.0014310210027696486,-0.023282167917262387,-0.05260624206703534,0.0009752711421358818,0.05545165152424331,0.05464916472564016,0.05213063581289345,-0.038170526005654966,0.035750087285029084,-0.01086117139470836
PRG4,-0.03159151331561724,-0.00025291827266362316,-0.010367564522245165,-0.014316432282396284,0.040442265495362104,,0.04833556224884755,,0.0045490839647451264,,0.005120568606809827,-0.017935685144803166,-0.02932720203915842
ZG16B,,0.0018136058725819245,-0.01203282657852215,-0.015456889288712071,-0.00997341963689264,,,,,,,-0.03376370199705697,-0.01797525864351605
TGM2,0.03166491760922642,0.053219414430743725,0.0005960875563800896,0.02115408083382377,0.06597637245462684,0.09289426427165065,0.059771275088199786,0.1024418061447521,0.027655206599024977,0.15936398253733153,0.058857565083341105,0.07687935145603539,0.021943495244996093
VEGFC,0.02858876174038652,0.033792114032312845,0.0791801155711153,-0.01887531709592036,-0.016804964329234253,-0.02582248093664686,-0.0199637989283463,0.04062923549169578,-0.024158316429582792,0.07382427590312757,0.08784781815439845,-0.005491755242667736,0.003126713449296384
WNT6,-0.02874848151379287,-0.02024066061373936,0.06571419970464452,-0.014078336494048452,-0.022195489673659898,,0.020518934254294647,,-0.00860209402659053,,5.3539355934502734e-05,0.012303236776622022,0.009398379915981424
NRG4,-0.02142438823599708,-0.011554145926511725,-0.012617800296863447,-0.01783202461730046,-0.019160553962893657,-0.044486340237755856,0.03568903997844181,-0.03667708887459306,,0.04225800449951311,-0.03387744561901092,-0.027078283835486515,-0.02793219922388353
PMCH,,-0.013316774977377764,-0.01748319158187956,,-0.014598324015774565,,,,0.03927610649773781,,-0.01950523446771763,0.009795422650706393,-0.035771201034442
COL9A1,0.0028332365603626294,0.03786779294272849,-0.013178371490751717,0.004473590133078776,0.03899926190276256,-0.034848091996520045,0.061041310122705236,0.1771924448366017,0.0436434799479667,0.027146719485899223,-0.01572485947791235,0.09457069275823438,0.04896527563796806
GDF11,0.03263052551131344,0.015337232516346479,0.012444045308810537,-0.02883792977294007,-0.005000955407880275,-0.02371843625233447,0.054863817015810806,0.02989575646734295,-0.007036809460517759,0.0550659707347316,0.09601045597615394,0.07231386409409235,0.021814151493048828
RAET1E,,,,,,,,,,,,0.041315310179021854,
IL24,,,,,,,,,-0.016768519867190808,,,,0.08437564587657258
SORBS1,0.015776217958720463,0.01146450405037005,0.020836700908515395,-0.024175402110638962,0.0015044832545537952,0.04584456692422555,0.023422968941967392,0.05545732347715165,-0.017022719640646326,-0.08455582895623184,-0.06585628255878086,0.021881733772622675,-0.02153111439994435
DLL1,0.07015887554654984,-0.02126770387923038,-0.032521777594948544,0.0031243835650048572,-0.07154855589309402,0.06030190807425723,0.04531051547375324,-0.008533968253343177,0.053433339317233756,-0.023724501668295525,-0.008910282495605387,0.0760779331199864,0.03808428734643473
TLN1,0.010493351329369096,0.028725668018133966,-0.016426614491980945,0.04621719706516096,0.03142394263757833,0.15147183910497455,-0.04434829861321842,0.0822218716703533,0.009235363679030833,0.01030663852859857,-0.0347271333521464,0.035161622571711765,0.034153570162162604
COL2A1,0.08425355861547007,-0.009988506377162037,,-0.013214251501565145,,,-0.016254847248584496,,-0.0337429563600766,,0.01600803054372871,0.04775228427742538,-0.02516541225433389
SHH,,,-0.01077360174824506,-0.010388007295753409,0.006605514448877537,,-0.0155135074957531,,0.010622096132847631,0.07599810280007348,-0.04813035636671115,0.026370688021482624,0.02178264389124938
PON2,-0.03045623331166026,-0.06193990461869568,-0.060580212837024,0.04001736654292388,-0.013551915839871295,0.039613231378049084,-0.05224306686401693,-0.0042167196110893855,0.10153772130762327,0.033934642893056845,-0.021561968902461922,-0.0031877291591483393,0.011682184742657599
ICAM5,0.06240608989888649,-0.010655163578622836,-0.01679142299373524,-0.02582193876866785,0.00710006875708094,-0.0505574357888269,-0.018364852399826694,,-0.0023314641658205544,,-0.006132550382352798,0.06580256577685725,0.10081057664196792
HPX,0.06840892879939271,-0.006733351404486744,-0.004171266781952352,-0.01924270322497392,-0.01957221790609376,,0.04525468829621569,0.15556581749854637,0.08628072090426081,0.020904989348519434,-0.011684448857393677,0.05162641802480825,-0.04457655348051675
SFRP2,-0.00803834436833377,-0.016678263552192856,-0.012269964857534624,-0.010546201002469289,-0.016312163744119895,-0.026189316835005538,-0.019180673879541043,,0.00426726272411325,-0.0630589846024819,-0.01921899342673376,0.008346944539997393,-0.03785903383729903
CFC1,,,,,-0.0125516435751869,0.007289168969818015,,,,,,,-0.024715601390173203
CD70,,-0.030470774673909542,0.02165217790012135,,-0.011679271941630492,,,0.10268414123801829,-0.019928335602277494,,-0.010010463160071955,-0.04131281466453272,0.026679629566574506
HP,0.032142038928017966,-0.051412857228054644,-0.03853114765815379,0.020221270855702522,-0.009339039509685594,0.0901090766174518,0.07343151022061992,0.03013621461655072,0.009186118280002773,-0.022623898476176026,0.017310432381531328,0.03512443850794579,0.006060422924699247
CXCL2,-0.01643495780038181,0.014384499303109448,0.022299312395024785,0.012939598345554373,0.015038268324468416,0.04124728869514273,-0.007975274416521013,-0.03613282328649337,0.024941076608453395,-0.032141858426081846,-0.0004838169283924439,0.035044369931540045,-0.039351449399368826
NPPB,,-0.01618392707964692,0.020673662483538385,,-0.010990729573309333,,-0.019963800380370645,,0.05353943452367525,,0.009347034283758465,-0.027467903236661928,
CCK,0.07288293359362225,-0.0033622474282678345,0.0036338778416744755,-0.008713521351263433,-0.01125942811387585,-0.14272138269982543,0.06564711316358966,,0.06607006964619021,0.08789082770605501,0.08814750842286398,0.09737782382724153,-0.038057870377355196
SEMA6A,-0.019648878813989735,-0.04170928520747222,0.010090188152745953,-0.013786417392180573,0.024384472373465995,0.09731531773103354,-0.015500823800606509,0.040625284038690285,-0.02048755312761406,0.016511521587988465,0.061934099632549255,-0.05700562915483126,0.032755660475309284
IRAK4,0.013773656851211269,-0.021416344378919074,-0.012848838748075082,0.028146063667743616,0.036997586257226496,0.004259845992808759,0.016166396869110856,0.017346431699090076,0.02705347472105895,0.0008831682905585129,-0.014836704949136987,0.06253146628651755,0.029309685138074387
GSTP1,-0.005709273055773171,-0.05062534096700827,0.015889800878540285,0.014722441830338311,-0.01931050479254975,0.0820883585802794,0.02333123676877733,0.00145383715444468,0.09281993535998513,-0.03349917581280302,-0.013125594556550374,0.05270016010494145,0.018520515234560383
VCAM1,-0.015672278147292815,-0.0016534123676763142,0.0018543133000265032,0.020958637162156738,0.02296260371559478,0.04421283019866823,-0.02734236134988233,-0.01237998752640927,0.004773252712406909,0.0891553225981242,-0.0009089891390105013,0.121767320431585,0.03183287537983694
NXPH3,0.007495899337895017,-0.01786165881029874,0.02095725647641735,-0.003479719489638765,0.014669207425009352,-0.060076545179108425,0.027169311350410355,0.07806175575689532,0.11561371013075375,0.0347374324023098,0.07401994030381336,0.11922717814849373,0.033802731804347085
MTMR4,-0.0007113069145519273,-0.01631707081257164,0.022179524975948495,0.03705448213550401,0.018190469178192743,-0.045054591009044576,-0.004053588952361944,0.05428333017562276,0.06374353831801786,0.044689420405270255,0.0838656918441071,-0.006580802887607065,0.03313614466245101
LAMC2,-0.01956468124076397,-0.012702690514894673,0.027038026793238978,,-0.013836102361006474,,,0.04002522387659331,-0.022021771742008207,-0.04008067419621039,-0.018932872434764072,-0.03615396257619403,0.030237189902452548
IL10,-0.031040049046428885,-0.026839388813141095,-0.016188535398667825,-0.017340048392808224,0.04785221729763008,0.04904225091460747,-0.017870439607006076,0.024716823336955594,0.029621731207530366,0.013362286503499705,-0.0471467256598156,-0.001845752135130916,0.027749352112565774
SEMA4D,0.07271455919904757,0.013984197850450233,-0.0015129696960891942,0.023442119257049074,0.004769525657922252,0.05948370871071309,0.035911839246518126,0.0715684492567632,0.07903114401380107,-0.12415894728832019,0.037516928582936336,0.08033632329244479,0.045079409410156805
TRH,0.0072231136122959975,0.023945744174045075,-0.02553872476845564,0.0009704240703482025,0.010723285859205803,-0.007426135913034393,0.052335521039170774,,-0.006932359468843361,0.08018351065645475,0.10752278023752909,0.025362389482686064,-0.0032170958464375486
SEMA6D,-0.11178535091043108,-0.022563625266871685,0.0026833911319336778,0.027855936980108242,0.0060032835789260545,-0.07153946920902873,0.018963562899579123,-0.03620132578297604,0.01954117044711455,0.02793153362767219,0.002644261058954049,0.005260624696206794,0.11450747144294066
CEL,,,,,,,,-0.020760904960450417,0.06224889970609222,0.03638682165092898,0.03887653319030537,0.028155666613138557,-0.02873648961583222
PDCD1LG2,-0.052334876731798555,-0.015372684233175034,-0.01931702611741444,-0.017275889801115937,-0.016083558731460088,0.054740970612514026,-0.030569509592535547,0.0542354088506317,0.03294352753978381,0.06732864413141233,-0.023681766926223036,0.015343795779672492,0.06271810046705345
SPINT1,-0.030292093775080933,0.037680417047602444,-0.008615459620044494,-0.010291966431235708,0.05043617474514103,-0.021165440346779443,-0.026229958167830605,0.0351215309781605,-0.01165768054219929,0.02253746059146673,0.07426301147592498,0.015518748865255352,0.012039434372131728
CTHRC1,-0.015797988468550093,0.03893769580679424,0.021167235304114334,0.013786472435536774,-0.033876670984876935,-0.007978593333977857,-0.000957529371602598,0.2033098516465258,0.12329831696909388,0.032618552775549224,-0.002557695653536391,0.090953952740988,0.057314837318238034
