,UKF248,UKF269,UKF296,ZH8811Bbulk,ZH916bulk
MTMR4,-0.008416904397181993,-0.014740240152531777,0.006826221693493851,0.041095798025027434,-0.018521908699355105
LAMC2,-0.013931305404245772,,,-0.020138579655920114,-0.032860961600097945
IL10,0.029878670163570556,0.09448022948606181,,0.018818024756950272,0.035937462296228996
SEMA4D,-0.06019579656583593,-0.04032452793466839,0.0004885226467894484,0.09023713875079122,0.03083621481107734
TRH,-0.055686533298651066,-0.03183025496603835,,0.06065547127223288,-0.03093421397103305
SEMA6D,-0.011071847732301429,0.042219907793074676,0.027937261695621916,0.028797592097340525,-0.014107171165091373
CEL,,,,-0.025035702091639883,0.02567613862268665
PDCD1LG2,-0.011406850292075046,0.036322806720154206,0.0007930385732391715,-0.012053228643343194,-0.03639312699050232
SPINT1,-0.03524377922587291,0.03296118337218068,-0.016686727682418166,0.049376147457007594,-0.004827959323121235
CTHRC1,0.01955198833761203,0.024385799523788877,-0.026525375701613337,0.013950845795458093,-0.007378311017561045
PODXL,-0.011738961408181432,0.09828055126067664,-0.007943644096913807,0.018440538572414816,-0.05584499094745861
JAM3,-0.03783528911837777,0.025388491439803654,0.07423395910603431,-0.012179423795124579,-0.02624434504877004
TGFB2,-0.038998071185175884,0.08255331346778669,0.02960151331566917,0.05609579250256963,0.07775747600869912
COL18A1,-0.013949097122763597,0.06619369502634906,0.0034828164996383655,0.02041977075780454,0.005707750682761647
NODAL,-0.028624931330086985,-0.02125681197026036,,-0.018941793455109816,0.0061086762450293704
INHBB,0.04971005880957005,0.06103868497193383,0.010880338201034121,0.030495033137900127,-0.01296305095335165
LCN1,-0.01393130853884621,-0.013482976233429896,,-0.01788812809378399,-0.023049160932247004
ARF4,-0.027702852208421527,0.05868782776270843,-0.06970222185615492,0.02403881726324636,-0.05530403130831462
CXCL14,0.016094669505992042,0.008870084927566909,-0.002186294951181587,0.011398054025282248,-0.006622291653283462
LIF,-0.011460597309468103,-0.004979300017022123,-0.012105161211080873,-0.009635231792100319,0.06749802053402244
IL17B,,-0.022267335553480525,,-0.028641691737637025,-0.026060245186915534
MMP1,0.01657580562834875,,,-0.029484122405719612,-0.01327217969908551
MATN1,-0.018291401695484728,-0.014135983940875682,,-0.017747728306456982,0.019009609603909912
ADAM28,-0.05762654239244377,0.010547130734897733,0.06740302408645944,0.04005545121009561,0.009882093708327355
TCN2,0.01880586327647483,0.08841047685241278,-0.023378755984246907,0.026998764425357955,0.01713565893151581
THPO,-0.009556455933440112,0.04531683220026293,-0.012596569778733467,,0.07604118397344464
CUBN,-0.03006650128707413,0.010131898073870176,-0.028129068559660863,0.0029739966546172164,0.03368185102671281
TIMP3,-0.020431930832240583,-0.029271773756754604,0.022231765385848593,-0.06190725120321731,0.056041576688333115
PIGF,0.03777453488195326,0.027895140005851037,0.025087278702427798,0.038753787649467845,0.06771438632897496
CRH,-0.01632218659406021,-0.02073327191279811,-0.022790869341962297,0.03641540599105574,-0.04174310677190904
BDNF,-0.028217351013755738,-0.059055519564610796,-0.020491537720738837,0.03143268507931871,0.032949345358536365
CCL5,0.005895108391139616,0.09760329390175719,-0.022295237077154154,0.0032231412683548077,0.04925094621302213
GAD1,-0.01396365909677467,-0.04544290592068169,-0.02246579741009747,0.02131591301527411,-0.00445040524404668
COL14A1,0.009579317100913472,0.04080792442562959,0.018429310849784043,-0.042056842600812605,-0.002732193284886865
HLA-A,0.009283900660096767,0.10180083980410998,0.040668303579621444,-0.021322828076580674,-0.06590175995551349
CD5L,-0.016322184705707548,,,,
FGF18,-0.014768627021328007,,,0.03113515415824929,-0.03260303920371831
ADM,8.709236576950514e-05,0.03337830269327327,-0.029603561902841496,-0.07935440277211811,0.0779838881031761
CCL15,-0.014754264583616557,,0.11956996813283063,,
GNAI2,-0.05304007855262721,0.0801147011918677,-0.04580572881304574,-0.004086961035169348,-0.008231645773002757
HDC,,0.12088529315677214,-0.015334703506438759,,0.01892649399101663
COL11A1,-0.020414371020616322,-0.024513185717316588,0.0021526467534271486,-0.030040064152556313,0.01637745279222791
NUCB2,-0.012547588453011736,0.039216712731869274,-0.004556190294649403,0.008300322110503355,-0.06771244135413719
FGF16,,,,,0.018920973495047972
CXCL1,0.02682359128180275,0.011752318582690017,-0.011462953700978515,-0.03972181926137351,0.02827553127212912
VCAN,-0.00195877725425637,0.017446558762865612,0.008478955069304678,0.04021052284933009,-0.05118614126719701
MMP7,-0.03881921773228673,-0.009841460717066014,0.0030291862771191216,-0.02478512872680864,-0.10905634590656951
PTPN6,0.004180820490202508,0.10035403803023416,-0.03397489338246388,0.02328480471581334,-0.011465547475946714
PTGS2,-0.040934042623679195,-0.03713760023009058,-0.024446985030237595,-0.004845129464532227,0.05316775562004344
XCL1,-0.017886195049220798,,,,0.004126935462024812
CD58,-0.014687432561642235,0.11464164726423633,-0.004997556427502996,0.023412371572289505,-0.03806391380662594
TNFSF14,-0.01802218540973719,-0.02050612971873832,-0.011196289433016685,-0.030442337176108135,-0.006559938473496706
CNTN4,-0.03168516806554062,-0.03494499436740396,-0.016659617551326302,0.016714326172318255,-0.06340428455337174
INSL3,-0.016022729705372673,,,0.0763786041917395,
BTLA,,,-0.01429804454750393,,
MFNG,-0.04428883090649011,0.12821115016846032,0.006237734676408212,0.07971587473916593,-0.024520664893323694
ICAM1,0.022626972128077225,0.06882922901815655,0.008090540104944142,0.02938137981581035,0.01978878286337674
PROS1,0.0003325032770737586,0.07675984267059373,-0.00955885697981706,-0.00028512731617787586,0.009479631091496762
CLCF1,-0.034095077133949235,0.11134180290700123,0.008134112941061365,0.06976597491583604,0.028607689503903695
PSAP,0.00029490433986846797,-0.06424969182819275,0.02010905337942201,-0.011837165720500434,-0.05325450273420359
EFEMP1,-0.01290688699410989,0.008033607692675757,0.03612074510940721,0.08924189677831348,0.04417728470007846
C1QTNF1,-0.019289828925160287,0.07554166831619967,-0.02484705322878893,-0.015691041233131336,0.06544661054458067
ALB,-0.024771558236431356,0.00631366452829949,0.05290673105788492,-0.0090065374947852,0.010627715320394006
EFNA3,0.02014604401461411,-0.031491395068392214,-0.00871425087352035,-0.014482644915161234,0.010111398130575428
DRAXIN,-0.024882819059963753,0.05189100217484716,-0.010210821878369459,-0.03044930260293278,-0.043757549378697386
RAET1L,-0.012481862051425348,,-0.012229757158336293,-0.01788811637065388,
NPTX2,-0.016432265248968805,-0.07049728660324024,-0.025626718561560666,0.10224634303371125,-0.019760393291009242
FGF11,-0.03620546053686875,0.06532919716776861,-0.010971919081738531,0.026748074151829337,0.030907524973833374
CD59,-0.011558830101967005,-0.032372077738859556,-0.012547406583520021,0.012518309004952937,-0.08465181555395199
COL9A2,0.09283183495371777,0.043456377001724035,-0.002696787243112504,0.09233399347513882,0.015538087701652773
DLL3,0.059639376574542914,0.06979942096684935,-0.0056279373230210695,0.07593435420170008,-0.03457398022755565
FGF5,,-0.013145077882233912,,,0.18623459998320255
LIN7C,-0.034290898717795094,0.04482079641440512,-0.005075141521990552,0.003938894933480356,0.02301320558689516
GDF7,-0.029435322953104377,-0.007325852938513424,-0.011196288997928856,0.03683130511377601,-0.036303439614803916
PSPN,0.0011284421203525841,0.09483973275733983,0.0020947851928529012,0.04121860381173427,-0.009095093264876928
ANGPT1,-0.013630558417614763,-0.02247659984594239,0.015619844004646081,-0.023361978479189194,-0.0005805262570670829
PNOC,-0.05383459468056014,-0.009695336155126329,-0.0172620602334906,-0.016306843383038207,-0.002630723632796688
L1CAM,0.06560310831473946,-0.039502172143040803,-0.022507372933612695,-0.04512856376781706,-0.050445454535359764
APOA1,-0.012805302539231218,-0.014360236228036888,-0.018120118784619027,0.005298501057633114,-0.013547549214874268
PSEN1,-0.0012680395842714497,0.020267413630128128,0.012426019699000687,0.04167554781167499,0.041151014431591415
CALM2,-0.027313156267732158,-0.08737794142085357,-0.053168413509636185,0.05573671457900566,-0.014038071995544531
CLEC2B,-0.034410140823593095,0.09757735654005184,0.020712613314860705,0.017252938282668773,0.06438727899181906
NTNG1,0.04896614335011824,0.04879362140171529,-0.005483531061967429,0.04843501664324998,-0.09181042506997361
LRIG1,0.00850709109464356,0.07236385491135774,0.003936216288664419,0.07234760537001655,-0.005413587981615632
CPAMD8,-0.02507735149218953,-0.011891491964086582,-0.020723405152195548,-0.017227144832425927,-0.005863230363348263
GHRL,-0.033255780678188934,-0.025288934773436817,-0.010210821878369459,,-0.022691717097174068
NPY,-0.015603265855078827,-0.05888182463917667,-0.009032165267666191,-0.02482820509960059,-0.06776549252341985
