,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
CEACAM1,-0.03486610067723288,,-0.02393272611287465,-0.028386516854738298,,0.014400955643687935,0.0006978243830946828,0.024410812207353777,0.011573811179498917,,,,,0.04172238463957768,0.003955963279837751,0.01705340976856595,0.05423820539773297,0.039165105657079174,-0.017163928396483053,0.013190645000408315,,
PDAP1,0.02893067779531577,-0.02766787951612718,0.042040834598952574,-0.007531010662612753,0.04763384771602575,0.08364891485236223,0.05437808135538616,0.2621725680354145,-0.01723015210168287,-0.06211436706476035,0.017950166135681265,0.04390289047996794,0.03759322355077156,0.11242527777228382,0.011354198102006285,-0.04954954419304086,-0.04956314393246457,-0.011059108319938126,0.07852969060068025,0.026940192991882963,-0.016935727264172508,-0.05160297257248412
QDPR,-0.03501600751921501,0.0724906607630717,0.06929607847960322,-0.062474364571081895,0.054968999843419714,-0.014685768594957035,-0.007151543865850841,-0.3103320448404592,0.01553071906236019,-0.01906411804146379,-0.021677603511388695,0.02242242401913758,0.02339595061619085,-0.014060776619840648,-0.11572786994326702,0.10453966414009554,0.04678006193245768,-0.059930215538467495,-0.07305932852339225,0.10570895009607852,0.0011771810480082497,0.029425793686415794
POMC,-0.04767814549295605,0.04153497463475657,-0.01896460923978888,0.03481409777544433,,0.028594112104059374,0.0038734020655371857,0.07010036256777875,0.0003648313833273522,-0.014746858052652414,-0.10289268525568723,0.005600768601463559,0.0020930240515376723,0.037656641288374926,0.021057624306749005,0.062364082197487035,-0.04984690583516616,0.05872452574625287,-0.014619491829788864,-0.010775551453635337,0.01374909161425734,-0.001081318763753318
CCL18,,0.008942963139868717,0.03515730049266683,,,,,,,,-0.04628825838329986,0.0913681740312706,,,-0.04549119689108101,-0.03989175972486194,0.09041883310044439,,-0.023864248397057565,,,
CCL17,,,,,,0.003466242863438897,,,-0.004746150019773627,-0.015079038619489988,,,0.001684016853063869,,,-0.015465280008556457,-0.0037754211257240676,-0.025717142935281007,,-0.032807943732241364,,
VEGFD,,-0.024425731116318822,0.04608542317655656,0.0016068652841515086,,-0.009668700406527156,0.0027898821698415224,0.045696592587528014,-0.024828330297384668,-0.011060657184626711,0.08765098206016117,-0.016993074134085157,-0.02317706667762063,0.007508834024908959,,,-0.021278063512785852,0.009151456280187483,,,,
TNFSF13,,,-0.0189720243428389,,,0.014550433821133968,,,,,,,,,,-0.029675549415724523,0.027974210039533855,0.008430457901075916,-0.01927394121925446,0.030625135084798402,0.044422625610445986,
WNT5A,0.043326103306193575,0.06571070819728708,-0.007507687329112635,0.02624836960403441,0.0030286957819693986,0.02254957154401413,-0.035734718115592444,0.24878762414905994,-0.013716160964945878,-0.015479002853016937,0.03866618178789353,0.012711868716442871,0.10215206963328773,-0.012566502824722842,0.012022462887724909,-0.008204235858374096,0.016124772316857005,0.073312332535751,0.01865514884087334,0.029587256792588192,-0.03983918350168809,-0.08312294956672574
CXCL8,,-0.09624189029533706,-0.02405455630728847,0.03508393277224899,-0.0018089823150430615,0.03770644100056694,0.012306321570181656,0.16070275561347272,-0.052439103405000076,-0.010300164903687544,-0.003992408177422179,-0.03872733822328084,-0.028974014621819897,-0.034852340535885366,-0.02962482729406386,-0.015150075540245164,-0.055985232928356776,0.06625082124333152,0.044490247989206984,-0.010193054629124057,-0.05530848989562134,0.006017957150175025
