,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
CEACAM1,0.017042835180144898,,-0.026488425947301615,0.034041079203278986,,0.03736306937646538,-0.02513673040110708,,-0.16560326636506806,-0.007552007473828827,,,,0.0800569225134892,-0.025125874754044764,0.041281740802827774,-0.05710915413031692,-0.028081390987736467,0.0717385068449118,,,
PDAP1,0.049692366803200196,-0.11115072826037839,0.06429114273612883,0.03412052064218573,-0.013323909236334282,-0.016879428526859544,-0.1442027751612468,-0.2927196932085847,-0.4184928221374721,0.02113219858911958,-0.025798457789914596,-0.06526843280655549,-0.27920680665457565,-0.03590115603539086,-0.05049524335936707,-0.08386053608006525,-0.03350177636529267,0.02211044869684861,-0.051351974679919345,-0.051931018158124786,-0.08276373957198375,-0.00013938919970547123
QDPR,-0.1365461666815613,0.19462787743434923,0.18536518277704034,0.022827947100693007,0.05122363552292355,0.07708258309843752,0.35477238331919686,0.3344481277721074,0.28550259732380096,0.2824497747971376,0.06523944776072162,-0.47840088573069434,0.16530071115058567,-0.08310788153324718,0.03184627498863145,0.0704867628568255,0.06910384736998511,0.04151410812072885,0.15218870168594023,-0.22541603079434525,0.5314272576716798,-0.2208903923511531
POMC,-0.03543664073037261,0.1453025963743084,0.04257748477551707,-0.010763129524256685,,0.057903438686218923,0.1466759318553276,0.09546691667087172,-0.010989273108687686,-0.031094726892149118,0.05520955047580858,-0.09347513642302578,0.12779469579371416,0.011162426563176928,-0.04515621565484493,0.012518415260254719,0.0040969363674981645,-0.01972744292591346,-0.033208776642949855,,0.04260286929761838,-0.00045388867282264786
CCL18,,0.02443053500889583,-0.09023315558878353,,,,,,,,,-0.2278906484290653,,0.04900895690712296,-0.01781465830962666,0.019536184851864393,-0.12161419600082421,,-0.07251591149028028,,,
CCL17,,,,,,0.00031471740306085173,,,,0.006836537884451711,-0.04596914589189556,,0.013039153889259913,,,-0.006775077274971881,-0.05955886114991974,-0.015709063139298072,,,,
VEGFD,,0.018941728829659846,0.0036134507314967523,-0.03970078956210016,,0.048987858105730815,0.05649431294355001,,-0.148944265531913,0.059019293379050985,0.04874100736085523,0.06353445796920089,-0.032765688258260095,-0.042339741600907775,,,0.006829863912389569,-0.04795438002670443,,,,
TNFSF13,,,0.04671994066887304,,,-0.01096938068106819,,-0.029253567252593912,,,,,,,,0.092988210734119,0.034028747417175625,0.003085611783053121,-0.011100660518474815,,0.02548572777343357,
WNT5A,0.03412938207550544,-0.05884732851221622,-0.05166606439572667,-0.0483126766823125,0.1082819676972011,0.06899166790323846,0.012158786043037361,-0.44606109551508766,-0.4430947781632945,-0.03281266478825324,-0.08600937315869195,0.031010478825404475,-0.16540554346251102,-0.004751797803873129,-0.02412883553603831,0.0421211691790226,0.014534659867169474,0.017235698050371704,-0.0654301432423858,-0.0031363073689732483,-0.2970663671051477,0.06661617683584738
CXCL8,,-0.19931719274787182,-0.09546244807258514,0.015802183222903707,-0.10157625311558341,-0.08657127419213169,-0.27770699431672147,-0.0608717950886589,-0.17693702924195753,-0.173437017924464,-0.03641903378138459,-0.2733588021788022,-0.1771463860056371,-0.07456082583653117,-0.03136551075150079,-0.10903161946338502,-0.22427822202191733,0.03073306548916494,-0.08307656350200705,-0.0034502592933309817,-0.3881718880166799,0.02856995888461021
GRN,-0.11312513877548067,-0.09730744684116026,-0.20356992747582114,-0.04344186951292594,0.06824616895365614,0.015954487786283625,-0.11802591555827945,-0.33548651152055486,-0.573530041473075,-0.014002494699179215,-0.08441421220548988,-0.45100756469410586,0.09901282987848439,-0.024253936710665076,0.04505226995115749,-0.033127260012289265,-0.052169676714630804,-0.021728933867073964,-0.05683578301678181,-0.023028302245898878,0.16108778623016354,-0.048754914240907665
MIA,0.04896093858374748,-0.007419066744804204,-0.0003349453825752871,0.049068774596109976,-0.0021291993159319646,-0.033482362593376364,-0.13045594814917866,-0.08701912037260878,-0.17811059594038525,-0.16002012036613997,-0.05162750275541875,,-0.025639083875753203,0.06075062529358271,-0.056511253846970394,0.20318481050454695,0.16994980395379347,-0.0009952677073006512,-0.159521146196816,,-0.17800825885032537,
COL4A4,0.03495353417602189,-0.05545731189835341,0.037628314899375036,-0.01249795693161887,-0.08800233596714577,0.029556179074314445,-0.0407075844096659,-0.07195475370698247,-0.04146057634448946,0.025668892102440496,0.02700462633364565,,-0.08699001081519393,,0.10439308461074809,0.027292766885057773,0.037196807506627814,-0.05556159031294942,-0.017853881846384104,,-0.14919746375611434,
TAC1,0.0798259917051617,0.3634990819824126,0.2613162091277187,0.09515108187914045,0.17725201053337633,0.31334416408913585,0.4342155581845954,0.5444416339510303,0.6015833980760066,0.5086203346644775,0.21356538992107846,0.45176050470458495,0.4943125517555351,,,,,,0.1966894472907253,0.10878646322264755,0.44162540514089343,0.19636198982893555
RARRES2,0.16921230270459173,0.13590441513920193,0.0772296810432277,-0.10157629113477071,-0.06897289724897325,0.1603135207576202,-0.4332183350619264,-0.3355504350712504,-0.6097709640923183,0.37851527515310524,-0.042077534443357656,-0.23515184147616472,-0.30390836476939115,0.05062054874997956,-0.0582326650757345,-0.03436208337140117,-0.05652938553171324,0.002513601331363887,-0.042906334547778646,-0.1176588421649233,-0.29689224110979523,-0.00880538967555443
FGF7,-0.004144359429894892,-0.03324421737169728,,-0.07438896042749472,-0.023227094153768953,-0.0001646889023570287,0.12083463537187537,-0.0660137340665834,-0.12253174717091468,0.0036860678554967285,0.010974529673642711,0.04791210027426385,-0.055245024256749146,0.021443576791152597,0.005982965193085583,0.09533943277100453,0.08280249486469615,-0.007306798219821171,-0.016752105431935338,0.0719660211273831,0.032663736119670723,-0.018235033961270866
EFNA2,,,,,,,,,,,,,,,,,0.05658449524970242,,,,,
HBEGF,0.04260644638493109,-0.11727682662208934,-0.13088922267090763,0.017129315395383597,-0.11865583999195342,0.002723638377201816,-0.22654673234223813,-0.2923122336137495,-0.2480860044370299,-0.4772592863266959,-0.04101644107128057,-0.30656375245772977,-0.11658518870534251,-0.07250211010895495,0.00023204790972313367,0.05287098565734968,-0.02235044766016331,-0.011729657400580585,-0.12579068274006172,-0.04919329971890165,-0.38285825214403213,-0.0358081450382077
CSF3,,-0.03765393995038737,,,-0.008728805270947333,-0.05048828256244286,-0.09563316479354625,,-0.043941256673985775,,,,,,,-0.05045446202903867,-0.1632228023134825,,-0.07577206933690236,0.10284665667393503,-0.15690017711304224,
PI3,,-0.0876934005351441,-0.07807595463157373,,-0.043388550310992854,-0.0754242850740873,-0.13998549037119232,,-0.11593465264540721,,,,,0.05123722188321232,,-0.17872446658554741,-0.2337512929340189,0.011159048049436154,-0.16095772763259789,,-0.19399700781161322,
PCSK1N,0.18391248622319425,0.3839989759527287,0.1862869697489181,0.13871050054581383,0.10310589236467242,0.06591296873194794,0.10156288906743037,0.263237347477391,0.31270692710147263,-0.2204607099333671,0.2936716229207929,0.7419627320885274,0.5610786759782458,-0.04613877681925961,-0.03351893355612419,0.14912820019259238,0.0898277150803139,-0.024667750393152537,0.0710787090909084,0.4047393916842843,0.5607099628217617,0.2779777343429132
NTS,,,,,,,-0.16071578178132925,0.021984557269642612,-0.08720842832979243,-0.04366420279053081,-0.12875696351545848,-0.12070551176684735,,,,0.1139191539277243,0.017834737135143806,,0.036252789258058506,,,
SFRP1,-0.027412342821680705,0.09804593355790521,0.01815645132056278,0.02502425060125826,,0.038605950336588674,0.11982882995463809,-0.16246453923517107,-0.08572662190719472,-0.003865474452245529,0.06152720074107806,-0.23526624870381554,0.01664765251946762,0.018350968780077866,0.007078053815496792,0.14491805022109727,0.00876214238470608,0.08180482735898904,-0.0345796361832799,-0.15040000328979863,0.04396433165565656,0.029083477981876472
CXCL13,,,,-0.043801599425229744,-0.01471024365361784,,-0.006853014929131546,,,,,,,,,-0.012632341377906357,-0.04558435373952847,,-0.0043486541117146674,,-0.11298088499912345,
MICA,0.02648622222583766,-0.12305651732326031,-0.0758761727540312,-0.013169169224468556,0.022894169404386502,-0.02516964468501982,-0.02355857505103122,0.025946288041430933,-0.2285194569787276,-0.029705310216229536,-0.03909774540484745,-0.07235208539290203,-0.18190351727252635,-0.09630675003645275,-0.05766921009263801,0.009584002614386397,0.01895700626663875,-0.09932083979052195,-0.05357364028865342,0.07396721100048681,-0.17175297252880983,0.09943621135250559
TG,0.06705358753240881,-0.021950311795985573,0.04908712257286705,0.04543264668166427,,-0.013778683743576462,0.014900095228686688,0.003999382242643487,-0.027932949434172447,0.01893462768250402,-0.018758873977741654,,-0.0576157182391722,0.052692323361762064,-0.00502341737376369,0.04570371730655022,-0.030616063449661186,,-0.08158996937923435,,0.00670843079162576,
ADA,-0.023845242552488953,0.02051256366047572,-0.0337226558346578,-0.040724052661966985,-0.04668939843665061,0.02545111522130852,0.04392207249453344,-0.10296099477615074,-0.4360946949398461,-0.09361904288464311,0.04977903847441628,-0.3177669266665541,-0.11452719355878556,0.12938496931916812,-0.0499253314187281,-0.009690737625550254,0.037002889141372654,-0.05799391704035236,-0.03653326618161771,-0.08915255735775895,-0.06873258469380941,0.06840326650129
LAMC3,0.013100704728178468,0.07880943240836577,-0.09935869628195178,-0.0944422728616653,0.15170382798226129,-0.032405613530641315,0.027894222228617534,-0.22673009242443454,-0.33903403033992807,-0.1478210698736294,0.00566945743544546,-0.1046068421892116,0.10464224893147518,0.03953878213797909,0.07739050821946841,0.07559720264401883,0.04835583443559233,0.031082458954388822,-0.10208820788601454,0.0263835775729217,-0.03043052821451339,0.02040260131096274
CCL7,,,-0.05344693108470322,,,-0.04949218097168907,-0.07128772783551046,,,,,,,,,-0.012081206883200803,,,,,-0.19935930226163298,
NGF,,-0.0015684607002739834,-0.05906424975770849,,,-0.006228085321034916,0.013992260420585212,-0.010624821239834771,,,,0.14472659009357738,,,-0.0004829348198709836,0.02725875184378706,0.07262651633694497,,-0.011738731234459024,,-0.05203691254185035,
TNFSF15,,-0.020077597930408437,,,,-0.012553396217790187,0.008089384597063437,-0.1204280001486894,,,,,,,0.08336002403124675,-0.021250213329970256,,,0.01429410830140687,,-0.13743753966352523,
HMGB1,-0.11336475300954044,0.15704504560581398,0.09662390098544364,-0.02261376146655379,0.1833681080277142,0.07289754038988736,0.06642675445353148,-0.30025673593290625,-0.5339261860496269,0.22798666664467573,-0.1675984918839501,-0.3501516049314619,-0.004517655148759862,-0.08390086903939672,0.03262104430630896,-0.1358945650138086,-0.02160462645965509,-0.03612491229785483,-0.14592087742998283,0.013332161408675956,0.0778338289847413,-0.11879332219730476
ITGB3BP,-0.00039522360661491097,-0.1736073128025931,0.050536872364644284,-0.04422884193161801,0.051607817035506286,-0.029834721383856438,0.042427146478581604,-0.35215785059149496,-0.4256895092301559,-0.10906356228479906,-0.06607760094124937,-0.04081123661446541,-0.29774801186068534,0.021420840077703094,-0.014829840463052952,0.014680501719471578,-0.05210580391740956,-0.08411249472461674,-0.02184186230219075,0.0004449595062052485,-0.09068169233621266,0.043991932099025965
AANAT,,-0.006253575141248882,-0.003622592065753914,,,0.01178255344428383,-0.019811940367505426,,-0.033180176757641365,-0.05608919174958455,0.021998180790096373,-0.025531223056010046,-0.05109926796268278,0.01534630815932013,-0.018554713386823147,0.002918859048400602,0.03240784095910767,-0.02196124056205593,,,0.017200921183647543,
RELN,-0.03461295772051829,0.19635122481842643,-0.09762126157564419,-0.0028003213984106,1.2138482377239752e-05,0.007121402571508429,0.04926318801910917,0.07172581636991601,0.29446928340791484,0.10833370937774298,-0.011012984355619254,0.11088315670331454,0.14336413732757258,,,,,-0.0052476593233056045,0.041262241723841096,0.05517517583700263,0.11879470338814851,0.032120834164670146
IL15,0.09434708749873126,0.031104571504877873,0.0027565065055625395,-0.007237855716771084,,-0.005086147896329444,-0.0033011105720891416,0.058137333212444714,-0.18715131463478762,-0.006732923799162538,-0.015322355192189864,-0.14336633051933106,-0.027014542660510163,0.1263976851989456,-0.03136559272804693,-0.028468718841121374,0.0016556025592849482,0.008070400427151635,0.04749282173060694,0.034614271381186265,-0.12562665606094567,
UTS2,,,,,,,,,-0.22645145778621362,,,,,-0.0678582113668053,,-0.014022788757194468,,,,,,
BSG,0.16160787637355434,-0.16517125590675563,0.21168903976690265,-0.04435636824226979,0.06519224183314912,0.02892268778081451,-0.07269599761028937,-0.0785318065612656,0.287679187857294,-0.386779747847704,-0.023400966975655232,0.47552115321793775,-0.3796537585777741,0.049523956322782045,0.03345068347357135,0.091255656769769,-0.09400925761757445,-0.01760728036874909,-0.10754101240911942,-0.025825856663324848,-0.1640564110148888,0.2057734634547696
ADAMTS3,0.0972355150098163,-0.11735218644692745,0.020043323284495144,0.0054708056813337555,,0.023041473877095656,0.05053445204575261,0.07056532644997393,-0.5422372715332798,-0.060058504274140334,-0.0017237231780253123,0.10074033458141445,0.03245094881549883,-0.05795154877380032,0.10643856098352683,0.11699715047521307,0.1229972979351547,0.054134648376073596,0.05367987653053298,-0.03298310530113042,-0.03500826719969112,
CD34,0.07377253437297585,0.1927658409275949,-0.10669526247110103,-0.027357523298465147,0.21391475155102713,-0.05389843496469344,0.09337908809055291,-0.12874619954877323,-0.29675711128828713,0.033383511020719604,-0.003644484181254729,-0.006535989075167143,0.12859779917119007,-0.0663949484183755,0.023726998199881562,0.043396603560642774,0.06665295530100879,0.1006092707084995,-0.03767335414482334,-0.04582582009027998,-0.056184163513297476,-0.06070472295506884
CCL23,,,,,,,,,-0.09495756057375553,,,,,,,,,,,,,
PLAT,0.04750457011562409,-0.0654239880953672,-0.02871191196904722,-0.026909676180380693,0.09165085446869418,0.045307662572725435,-0.027233437718690693,-0.4696358239785453,-0.5096824644993735,-0.5239988494528941,-0.020913475762909396,-0.026129366364370122,-0.17599188277817432,-0.009234236987921227,0.014345889212837871,0.2527847253349049,0.1535599085315086,-0.019234386169320862,-0.23414547375455094,-0.0964418723421769,-0.014467270893677732,0.03509236651986508
NTF3,,,,,,,,,,,0.014710099261658536,,,,,0.1462610308799424,0.17201890337266545,,0.06049842282257366,,,
LTA,,,,-0.01966210070269881,,0.028311561202782352,,,,-0.03752709036204093,,,-0.06310264419998458,,,,,,,,,
CKLF,-0.005326849308657682,-0.0248267884140089,0.05517013835974244,-0.03384368233154195,0.08684473361964078,-0.015508374425229446,-0.0843125235815554,-0.4268530545814399,-0.6261899649467513,-0.04504918127955383,-0.09131410214260417,-0.37977720073208,-0.3359036666651206,0.025086746159769937,-0.045776254118370434,0.04251376917838927,0.10738112285201894,0.06361799370727184,-0.07588532582732632,-0.11098953136720142,-0.1205732192086172,0.10767038952494676
CD24,0.02212927305349681,-0.09925015516285358,-0.024853145209298367,-0.09339735578417942,0.06716057986510625,-0.128102211999024,0.19201631020511117,-0.06905957204901529,-0.08723043540708611,0.2515615482654222,-0.35397156970485777,-0.09210549976640671,-0.004687408018450549,0.035673865667125895,0.00012491750835919211,0.18637939493748043,0.1195030175283995,-0.022917033384243397,0.11678792264434426,0.16702278807016502,0.07938706979444576,0.05548152898498628
HSP90AA1,-0.10549800570433755,0.18771744094140133,-0.005314905359732396,0.026406029344426995,-0.14344131661280002,0.04596723391058916,0.37876198880838313,0.6496396712562138,0.6688839880079511,0.02712510680456891,0.04128023058027557,0.7387312043166123,0.6118815633318282,-0.0542889146717706,-0.015561271747519841,-0.14592625120394628,-0.24313332288992348,0.0342867296491609,0.09801208531715132,0.2228640577522878,0.3339464801822748,0.0631887052922019
BMP4,-0.0022690914400289525,0.11429699269080536,0.014265265483125622,-0.04569988600743766,0.0682446202351446,-0.052395489546504595,-0.048833255101006834,-0.31559085557120237,0.04418015649016542,0.1340215510658673,-0.10685919080742111,0.09675877888345907,0.027143027568234977,0.13173747037132302,0.0010887126762982044,0.06487904647339733,0.07250931568564464,-0.01563261215943265,-0.0162141356084939,,-0.005057025196633573,
SCGB3A1,,,-0.024105167702562137,,-0.01711667980202421,,-0.05496772117779009,-0.03634306798451112,,,-0.030798502324674657,-0.04530176802630577,0.0751786945306336,-0.01687865793785765,,0.006509866363531449,0.01892465439541215,,0.0063604511848894185,,0.058843638434629385,
IGFBP4,0.08567838119124228,-0.04467879372787009,-0.15600615286923605,0.005710264834446992,0.06921221380612368,-0.17703262457702357,-0.1127177991368166,-0.46227887341072055,-0.37122743662887814,-0.2628069560881751,-0.04611563415986416,-0.26905319909194114,-0.13584688848622248,-0.055960030419037,-0.019335360425232703,-0.055753512223937214,-0.07618193519527634,0.05500567122741049,-0.2454812670594938,-0.0561813069762397,0.018504172708152678,0.07772443904696387
RSPO4,,-0.05610523142995097,,-0.009829041834610731,,0.05208392886798002,-0.06499997221142685,,,-0.04644921880340636,0.0054978724857651816,,-0.06882001874575554,,,,,,0.0915929785950607,,-0.11042934202006076,
LEFTY2,-0.05347096471678661,-0.02052019292368512,-0.0525636221670491,0.05356775653286122,0.07023916845648355,-0.017404797109555146,-0.047235211448926166,-0.20057743018030857,-0.39786014957359894,-0.10811945243898805,-0.010113707625859142,-0.03330424351921188,0.04917345065016332,0.0069505660270402945,-0.023711351199500418,-0.006554589120916365,-0.018565507963003186,0.00388528373254174,0.0852619359556668,0.15234106193941613,0.09577658725883802,
PF4,,,-0.019351954884409852,-0.02566014106565233,,0.0031278837208594335,,,,,,,,,,,0.05843791346610837,,,,0.024952776147189912,
ANGPTL2,-0.093943252950793,0.002858876948016565,-0.049613978596897326,-0.05910426856834824,0.0013969646614004332,0.09229193494670984,-0.035898378508454856,-0.5898640666587122,-0.46990900613066355,0.04986395383891104,-0.0818703799525626,-0.3617332484633448,-0.4870748140045589,0.10186727133719292,0.029550094957736927,0.09989329797820318,0.0984518388890833,0.021689337612266706,-0.09008671652221491,0.037614270987585824,0.0017025928187266713,-0.061536747598230385
LRIG2,0.04478309900225211,-0.1036705230191356,0.0497798019501127,-0.03652790913033366,0.021570260415705422,0.019316240029123598,-0.00028120243654973276,-0.16851105493235774,-0.22799925965885062,-0.10979134665388042,-0.10129916751054555,0.05922740298217429,-0.1418786797432415,0.08892365555978367,0.05729224826931464,0.1761536491648917,0.07423973511236984,0.04165123937062057,-0.007656430031318007,0.019538178924190575,-0.029930557013009163,-0.08065447494749903
ICOSLG,-0.0870013012293355,-0.046685982670522,0.05005989879426604,-0.029769346269683295,0.06629680151982348,0.016477018266711104,-0.13376736446583576,-0.18490674751741967,-0.3132622837423616,-0.08927648399052283,-0.06786016500378997,-0.14740131583727603,-0.08835066700931131,0.02446075779034524,0.05687579443788906,0.05324179749363034,0.02400143422299281,0.04936659322622523,-0.05860299524601065,-0.05774737779597716,-0.09029357989657465,-0.05895059579741765
WIF1,,0.5384370799646977,0.07889221790105935,,0.07280883838690776,,0.2090391358395574,0.43174845478983853,0.5466430605106507,0.113179619086056,0.08165787824561141,0.31549865539738947,0.4190259781201376,,,,,,0.08964736774751399,0.06316948478471339,-0.005566231981142937,0.26971036809057686
NPPC,0.1476657392601019,0.003912531065317551,0.10496765228514097,,-0.07475358778978503,0.1282891188109095,0.07775476592345203,0.16334217454367314,0.053122518717042495,0.12135204098512978,0.00588693833247962,0.23058319891966128,-0.3879636299493351,-0.052894189349086095,-0.022217337662788172,0.08632214169638135,0.02247999432731225,0.10379053109671191,0.06214102121785134,-0.043464624694540224,0.2002226006714021,0.09447517121086293
LYZ,-0.07477310286471416,0.013806956132467152,-0.10692202125517641,-0.05025957509793642,-0.01912479411851703,-0.091495018765932,-0.2759387796393805,-0.10185705561280481,-0.3690503700283876,0.015848275302504444,-0.11495201669755159,-0.529516358405926,-0.06348749050452711,0.04502462733597909,-0.010828589613874116,0.036740271330170465,0.05326056426127648,0.005769019213597608,-0.030886010607436926,-0.06645546028821243,0.047032244021658745,-0.01222721746074899
EREG,,,,,-0.015339052270564741,,-0.11409402061110503,,,,,-0.08107002219818221,,,,-0.008083739875996499,-0.09082391555464414,,0.010927516376558508,,-0.04754841387191242,
SPTAN1,0.18151677721542817,0.25870810051252224,0.19031063003943385,0.03737512740424896,0.06921629065230638,0.09758945319575257,0.1934897109607612,0.32798311159474847,0.38821938213366847,0.24957903175814125,0.012873309144488872,0.6703264040904,0.36187940236050176,0.12798225534421995,0.006198555185763246,0.1393518103873388,0.17127733713585616,-0.006784263695376243,0.1270794833671229,0.12663082407528067,0.5177512684785116,0.19049859552271756
PTH2,,,,,,,,,,,,,,,,,,,0.03781790843691762,,,
LIPC,-0.0007125762101729962,-0.07469600654673667,0.008686770635813119,-0.04940960734274773,,0.015623615224126048,0.03303099348445237,0.09035953136161687,-0.14766742087246648,0.0522583344203896,,-0.0023113407142674076,-0.05522306827890052,0.01889422681750254,0.023597727752910157,,,-0.04402687876259085,,,-0.01993296953180378,
COL8A1,-0.050535847867498485,-0.28713685416563545,-0.15952793549362562,0.04177317922955432,0.07705380492302416,-0.027207674667996985,-0.11641221980986935,-0.35876583510535187,-0.2093149524934255,-0.15184986968691058,-0.03915452349135298,-0.32598166506250553,-0.3044488675628351,0.00878643895140996,-0.0025668409728495747,0.05285515217389339,0.044524777613606584,0.012255767182641087,-0.13835852017746603,-0.06660890882258269,-0.22135250535313122,
GSTM2,0.03777877950017626,-0.012874345551394136,0.049116471046166156,-0.017045423637145337,0.02212976023747508,-0.02248083946166285,0.006592854386932287,0.016613882880541365,-0.14209736798813385,-0.10992622282634888,-0.03577989791564342,-0.03801736104992463,-0.1315806003602693,0.07454835190088716,-0.05589654448193362,0.1008525224066559,0.07623458940368498,0.16695458590131604,0.001574643586097604,-0.09111962351746225,-0.071169461538861,
IL4,,,,,,,,,,,,,,-0.03645326183371619,,,,,,,,
SPX,-0.04460685979910859,0.27402091897951836,0.060655455374762954,-0.006921573907467584,,0.007131015503982637,0.2854760285936074,0.07204282034011897,0.20582910290301198,0.2903212108294998,-0.05865129033156194,0.19599048509519718,0.46228297883682656,,-0.052449568553874316,0.03982116456728626,0.03630318607854574,-0.03913785819104611,0.22032560012968397,-0.1621062097568249,0.21909531270758006,-0.08688432548528069
MFGE8,0.05906573550330451,-0.19893436971253423,-0.17072859543158608,9.57509119585375e-05,-0.013897033217610493,-0.04067933853305595,0.10136560190056132,-0.203992245195666,-0.1694714583879779,-0.18153511950564943,-0.045620458679404105,0.17034575781248984,-0.11394659927081738,-0.031371630322214204,-0.06586496286682908,-0.0562907643074269,-0.07385045202050063,0.04820241481916863,-0.06454287505558147,-0.03080244838432455,-0.1538794534961224,0.17106332430625573
TGFA,-0.03308473478860467,-0.27485192112831425,0.21118217911894582,-0.05391281596209391,0.06822607492814957,0.042984281204740245,-0.14338118205714306,-0.3181226141604758,-0.3410056798074767,-0.3792558801725854,-0.042727607963869776,-0.22481534108652892,-0.19681268024345713,-0.044452776591531115,0.06268093034849265,0.029499534068925293,0.16936610296565266,0.03167571788558829,0.03837196227616868,0.009425927340220144,-0.14065753853989638,-0.09261387268943135
SLIT2,-0.013041401421720491,0.4701613882154985,0.025759670658194386,0.06569395704641383,0.18489714317948555,0.011846230031132015,0.1350090384070638,0.1780988156834999,0.2817450279443377,0.1972579694468918,-0.025126386029226525,0.32298374314174655,0.45803169443277386,0.01096656168994041,-0.02512584405462583,0.10124391389995444,0.040591668949902,0.0010124625571167084,-0.042867333677065356,-0.025441273585282077,-0.11933759714308452,0.2698402758258662
PLTP,0.1105083470930604,-0.07265769243381281,-0.08489220928309826,-0.029185454191563532,0.14917024533290651,-0.09918060181961899,-0.29962622237764214,-0.2633010124342137,-0.6361808600435102,0.12969577823524386,-0.28265464763688286,-0.7022844303917,-0.11082371493417624,0.0423192742351972,-0.0368073860637554,-0.02201719716231187,-0.05751288156709264,-0.015267795526422647,-0.15371778402687805,-0.11991595088619675,-0.07438733012618656,-0.05243660008772391
APOD,-0.19445755716567342,0.27935486073520643,0.05697541140753619,0.011304384359257581,0.13342816695279255,0.12146056653648302,0.1958217150920615,-0.010474661762896652,-0.5133237175711147,0.2179217557013049,-0.10236721538374301,-0.396604821380564,0.4261419115958725,0.07883561654427805,0.07244145495627509,0.18666399528314304,0.2075677015593547,0.04089840359078959,-0.13003123297104285,-0.14068652002704393,0.30355256556066684,-0.2215929986916632
