,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
MICB,-0.025703471869616412,0.014407095596442735,-0.04541441604781574,-0.030693394654822417,0.02113915406637769,-0.021307552137219164,0.013651330687822467,-0.045104902608136835,0.0016791808944282064,-0.08009947851999086,0.013342863472318292,0.02565018513490778,0.02491851161346156,-0.040748638936872875,-0.03391614575531693,0.0817101888521776,-0.02214752036369751
COL1A2,-0.03495305287705462,0.06799941967508313,0.05498957312368377,-0.0012680755737209276,-0.06405220124234205,-0.06128610376659337,0.02886337657437377,0.02757946865983604,0.10417747134577394,0.013241597989434958,0.0013429238927247821,0.02617264427956636,-0.049620130557238525,-0.043374300287976716,0.03586755025153707,0.08559069257096086,-0.08766875789853178
ICOSLG,0.027333776368182062,0.03893354618612985,0.0624952007694513,0.0459266365061811,0.0021632542336863865,-0.04378423449958054,0.016284366648260346,0.08435446521123022,0.006088273095959443,-0.018543643101160995,0.07182503270032498,0.02800061809877084,0.0933188216220202,0.031982257157294046,0.0494801200654472,0.08123179800810378,-0.02289946150778746
GNAS,-0.0961008413866059,-0.06714535772847671,0.01501216336182002,-0.06554751516364829,0.05906978728914347,0.08935239333041035,-0.035863807057617283,-0.0545630888907839,0.03861655907897135,0.10550757615971404,-0.09278101330844346,-0.04099018389157757,0.024865006924968944,0.021286686254270232,-0.0016841752267446974,-0.10721983980482712,0.019514297398070316
C4B,,,-0.015154924189991436,-0.018604478237556975,,,,,0.0015105648220100694,0.03928608930701915,-0.030261310171196324,,,-0.02362120079776048,0.05238096504765551,0.007606419395438883,
COL2A1,-0.01847588908611653,-0.014359502923972978,,,-0.019371665592030744,-0.014548244101854135,,,-0.0240277504456871,,,-0.013071161701070897,-0.002033740518515378,,0.010096860823610046,-0.021909077677505315,-0.03356132059460486
GSTM2,-0.026305754571108113,-0.012746832909508479,0.018713788982613964,-0.014817640853509765,-0.03672822520951252,0.12252688011347,0.019405082010986577,-0.05646002496494905,-0.040127219081522836,-0.06348455199958232,0.017067956226087755,0.05635432068879021,-0.014191141136092525,-0.046746520666999955,-0.04495546878003574,-0.019399175212827656,-0.01582484789566519
NLGN1,-0.029159569382535815,-0.03762162466853793,0.01195988980857989,-0.013678117376941525,-0.033777006063884694,0.020014778061317354,0.05514446766539391,0.03987633463638532,0.013606032779082455,0.08079743704880747,-0.03199917615963791,-0.04672221822636644,0.02577723112205891,0.03576763933329616,0.04338818216679363,-0.016206467166667855,-0.010035555896553148
SCGB3A2,,-0.014684833323637453,,,,,,,-0.012678378086365896,0.016265040899980928,,0.0888486855081605,0.009075336989378183,,-0.001048090744890717,0.05944541414792088,-0.02844775195796793
LEFTY2,0.004073424555183143,0.020117206833958037,-0.014471883828009654,-0.03255647563774426,-0.033098850155786744,0.07564260424019907,0.044797271350215905,-0.03450738201342863,0.09951158007186295,0.0778890167854387,-0.0510657108305769,-0.02551468601438263,0.006555693713125907,-0.037689307745614735,-0.02879666712413553,0.09787543043187256,0.006219594518868086
ACE,-0.08867864409634557,0.054757827492192046,0.10247655992143578,-0.05719322292745337,0.013626858333484402,-0.005580521321506961,-0.0239551239856792,0.02639611366095095,0.07256301334237303,0.01257846812987224,-0.06794855782037693,0.040716242578260335,0.11380821304658191,-0.027975605111504657,0.003917688161901458,0.0747790604547903,0.02655549627637303
RPH3A,-0.11182642607922756,0.0007095372265205305,0.013822131843618433,0.003735823113229662,0.10235155969303426,0.06405411719487299,0.03274211706270373,-0.03455203718968118,0.02127489678029775,-0.018415085951425297,0.0116423211645463,0.05687148141273326,0.11273347371682238,-0.04912072290422068,-0.004211123771506544,-0.011312091713219992,0.07078528966299208
NCAM1,-0.09230430244502735,-0.028343185997844026,-0.00973638453123842,-0.05050898599037677,-0.06011683555328046,0.02660738320030151,0.011642470649067253,-0.03112502301250386,0.009821168579204486,0.022125962931575857,0.10174742188303983,-0.022595127368657153,0.008637170104685088,-0.009845018223205491,0.009685745037869568,-0.1020626785795733,0.10182878909522913
EFNB2,-0.02914854603602114,-0.012937377099149492,-0.02147066829119375,0.04607875267488143,0.07414098021106151,-0.05130646043642653,0.022470283672133703,-0.05114794309759839,0.042588781865851216,0.01205682059976552,-0.07804784455852973,-0.042591619295503105,-0.04400749570657728,-0.009269669991166879,-0.003990760135118197,0.034584948413818116,-0.03263670741890589
ICAM5,,0.017214482084542678,-0.01862856512563968,0.013130744536558265,0.1602045113834249,0.056962802209447924,0.030452704116527868,-0.07688392921162909,0.004112485364869478,,,0.00896257359464516,0.060645028770516876,,-0.06307386272012004,-0.019598572243405072,0.021106506665053284
CCL5,0.0057125927938513265,-0.004507747322598362,0.01619953825767633,0.033010871262923985,0.019232299845636246,-0.019371710922391643,0.012651904887158666,-0.006757599827795117,0.008160665883876405,0.03913437856513091,-0.020494633188946062,0.005168752877049587,0.01649500353127209,-0.048185892421306165,0.031052973881392252,0.07729409592968664,0.07151820954770417
PSPN,-0.026772414327809822,0.009364955240764278,-0.029621828103963212,0.06708530921075,-0.005538466122685979,0.04045277052319935,0.0050400731209591,0.10784300757742947,-0.04150761176427051,-0.0029862851151517553,-0.08035634885113353,0.026695513210959507,0.02659576186639438,-0.025006535393532047,-0.013686220950778177,0.02499846556772905,0.04658885408434659
PENK,0.04303511250593538,-0.029629651411649076,-0.024334608052279515,-0.03263931355389031,0.12480539253530032,0.05270805574872534,-0.0508805970640278,-0.06901483659886193,0.04995486004593162,0.12012021288736122,,,,-0.006074806307684364,-0.022913314530313186,0.07045742052867834,0.05225226256681056
EGF,-0.012249411247742028,0.04529201803651531,-0.021731596333814513,-0.016302334265832042,-0.01376800369363327,-0.019252557894948272,-0.01852046400159298,0.019239205990230688,-0.020240280256720304,-0.016701391790958187,0.08585287988014526,-0.026647032144708736,-0.02364304835448938,-0.045140879264234324,-0.02223282615810523,0.006618810584403501,-0.01918936617751396
SERPINC1,,,,,,,,,,,,,-0.023643050235346002,,0.025326941311413963,,
UTS2B,-0.01584093172023348,-0.01869747051808072,-0.01564871853502721,-0.013835774933415338,-0.02223266397192103,-0.01203006207082155,0.012483413475305226,,,,,,,,,0.022944015624525818,
F10,,,-0.018766042350103027,,0.003260454785823567,-0.02216765857951326,-4.277813610216904e-05,-0.004308868099418362,,0.046784819770951766,,,-0.0061694941678727645,-0.024449343478864672,-0.005820316099164091,0.020780651991406746,-0.03558996906153797
FN1,-0.14879422413213259,0.05500263017175416,0.024522856277130935,-0.010871691141086338,-0.04185231582578867,-0.09635939430513203,0.01397450734275344,0.06311697961127304,0.14023591649193637,-0.0053518096650989255,0.03322717697484719,0.008106397697456528,-0.07260916969542204,-0.06489857304432219,0.02886405953388338,0.058271716281933325,-0.08953692318542769
