,UKF243,ZH1019T1,ZH916T1
SERPINA1,-0.05900814972951297,0.010910346217835808,0.036689400112643385
VWF,0.050363341409954854,0.09240640005874387,-0.09946503300249383
GDNF,,0.0894563329874764,
VASP,-0.04671801419936018,0.030018905351983628,-0.08516738632236094
ADAM15,0.014850764300851842,0.05231202293654149,-0.019819202602316444
WNT2,-0.023934082839820136,,0.01035182139966745
CALCB,0.020566881365373643,,
OLFM2,0.04461701702109997,0.006013478263895071,0.09009542317581028
MFAP2,-0.03211618431938421,-0.039145161192885004,-0.07671868198886918
HLA-C,0.010929224597259037,0.05252394309489239,0.027744240242178416
THBS1,0.0012131077193684252,0.045082259091613244,-0.08987007678706539
HSPA4,0.07574824611669728,0.10083582556941878,0.026072249553761195
LMAN1,-0.06331403712546325,-0.029838851114667157,-0.056649940891352925
LYPD3,,-0.033707809375979364,-0.03121928262086884
APOE,-0.0518540580194686,-0.011843811090637618,0.09952497083787652
SOSTDC1,0.01029619771488519,,-0.025105202153470417
ANXA1,-0.004261947954666483,0.02485341911645797,-0.014241329309484295
WNT2B,-0.04574395638747699,-0.09085619473958086,0.06839159087717187
AMH,0.0031301803116817514,0.02324992891684484,0.01895494687477962
GDF10,-0.02335775897174507,0.08220446609218031,0.0027322375093292678
EFNB3,0.027811034876535867,-0.032328675873296756,0.044638373268714795
LTB,-0.0073082417858961754,-0.05010270375906661,0.032928667205143945
ANGPT2,-0.0054283379202778445,0.07216748373425805,-0.058721135155675695
ADAM17,-0.002145408376916424,0.02053673187645243,0.036077037741067755
LRPAP1,0.0020986176581428016,0.08327812383097315,0.04775762361883304
NID1,0.031871521664070264,-0.041860625166756336,-0.07243321399538695
MST1,0.06260054091201986,-0.002983896846346821,0.057382354304657955
DCN,0.05445764341694689,0.0952485340520111,-0.06966487356304567
IGFL2,,,-0.039775949458016484
COL7A1,0.002639268445545696,0.07533524991696836,-0.030871192643752796
CALR,0.03352221286961412,0.03891289166762394,-0.09702971711916052
PIGA,-0.008217982913498888,0.04978451100275699,-0.040472312048486836
CD200,0.01328615004201594,-0.09972272080850918,0.040918006479133844
GRP,,,0.0724541503142717
