,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk
SPTAN1,0.037647817370684594,-0.007087729825722409,-0.0334126045640916,0.031019129910136563,-0.04603271103717235,0.03786168974732722,0.08996853279867983,0.004450964911961127,0.06371381537271896,0.17155961091698949,0.10893868149352226,0.0322541437685753,0.008374024176032882,0.028962862909015192,0.050619983609789865
LIPC,0.0037516529271313217,0.14026073014657145,-0.03070712174993162,-0.01671813296658081,-0.026968924057651188,0.13048666044147905,-0.01965790059046564,-0.0017303312103886582,,0.06373288313563806,-0.026928333410893675,0.059941308512489834,,0.006614618656668109,0.06992652963781643
COL8A1,-0.02818539949695472,0.047336051579426074,0.02757758782018815,0.0005949237677757564,0.032882885066706544,-0.017985485901861484,-0.011806311398573384,0.005400325539442199,0.03088096719151037,-0.09702962910783172,0.009328217727018806,-0.007012554617220364,0.07068554298863547,-0.00749215024931216,-0.05383877802348687
GSTM2,0.0023528318600345285,0.015259123350445141,-0.029199972207110344,-0.00153321350011588,0.05480924884872723,0.05135079469201784,-0.016292701913603286,0.021326215948168935,-0.04039626879665281,0.07444299301056365,0.037216412202801766,-0.05465511592006515,0.12119791479519101,0.050678867836641016,-0.005219543708359419
SPX,-0.0330019225832743,-0.028258899111242936,-0.004178165467096645,-0.027394540354515586,0.07377976688541034,0.054158375168599004,0.17142028680852953,0.0023793301663868815,-0.022962239157430786,0.052354206238087064,0.10269376313043257,0.04159729156277287,-0.02857259686780894,0.046615551319279115,-3.0250709070981276e-05
MFGE8,0.04487759547886855,0.024594492088141767,-0.032378781004804416,-0.0021156569850632845,0.02368114679005596,0.004223328861003599,-0.06682073885300313,-0.061404059673249994,0.030933417096674815,0.04131144585347266,-0.03372862187893188,0.056519131262607214,-0.004667983528968461,0.02999622369550103,0.06818967892808005
TGFA,0.01509954504387137,-0.0556867466772409,0.03652118008609478,-0.021634002742564017,0.0019027132749646562,-0.01259547736505996,-0.10357572618227522,-0.05520434980856857,-0.026497881707225186,-0.042737575660838766,-0.029201884114990043,-0.015094101969326526,0.023385633704468837,0.07420085501640278,0.022925505984304366
SLIT2,-0.028858652685486038,-0.0055911763886793845,0.015346573443588134,-0.03166249285631303,0.014404488805426083,0.01458105116406773,0.10541154707984215,0.003619280413313471,-0.01897732045835336,0.015516424077229233,0.14588883025265445,0.032233717106025295,-0.04577252163592066,-0.007138112142695199,0.02741597695824922
PLTP,-0.0022577959480516397,-0.015343073837511151,-0.009503979323099276,0.04969107157827193,0.009166938191439475,-0.004339278021416746,-0.18743350385696428,0.008338446331434029,-0.0268282679379669,-0.12149937120365147,0.037944963593721834,0.06705456517906078,-0.060113705169639195,0.06253784037823293,0.02349037956887143
APOD,-0.02698888607943933,0.0050423379938645254,0.03496279416874858,0.04365425734434463,-0.012496928127739075,-0.04322483588104884,-0.23319416919291175,-0.01635101186216904,0.02751831804824919,-0.11864395532221939,-0.00016249871233027535,0.0009274187747085693,0.0006584992377772244,-0.05911834083092449,0.09769921427739757
B2M,0.043801375336620756,0.04356376347635749,-0.01944472557160852,0.056083141593671434,0.026208322798157557,-0.09114823351954025,-0.24189125040672832,0.04779913303809306,0.020137751441837434,-0.17616091711371845,-0.09032934668438405,0.05251224410887135,0.07198227174938633,0.0114354257579356,0.08317202346249643
OMG,0.03182707585130231,-0.03188707055191328,0.012640441553320558,0.07567671221797774,-0.04282326367903248,0.03289320952071905,0.01221012471350817,0.042628172397161504,-0.045372419094773866,-0.003215221348501492,0.047521604042574,-0.03925413976736679,0.027518575456209816,0.060112044691938156,-0.04001649485827565
CXCL3,-0.0009836157731877794,-0.013464887749409115,-0.011737204044658677,-0.02783113809270352,0.023025200884637984,,0.027353887706012145,-0.05275851378672816,-0.020627925331003466,-0.04357405558256581,-0.012345277450378193,-0.02699778438715615,-0.0445801660441925,-0.0032931800201432527,-0.04244597416885254
CXCL10,0.03082284940945459,0.007757421064170222,0.0014290508644803877,-0.00037366718849425216,0.013898489569147068,0.06878707910742043,-0.15588018626047337,0.05415386189836967,-0.03133532837073194,-0.04406271557219662,0.06632249627771879,-0.022474575596614903,,0.03548650657780346,0.0006325816013748809
RSPO3,,0.0536090152375821,,0.0160667966612773,0.06798945117162354,0.0355909851774746,0.07247290287326413,0.0005078284069167021,0.02356570845380102,0.1477443730180765,-0.012900577003729397,,0.08923354787058799,-0.021458611627873665,-0.017397528645491742
CORT,-0.02804139205276236,0.005457555584218119,0.02058293426885652,-0.024227872685986345,-0.032730841072238996,0.06211447426343583,0.13662614784779248,0.04348581841535218,0.07239898732487687,-0.0030633231370662123,-0.02387825249068206,,-0.061792581845714095,,
NCAN,0.028591065056271826,-0.001914756368765122,0.00716043946294606,0.003085212252631695,0.047022203123652254,0.031954776170933036,-0.12232710500963441,-0.04762284568998754,-0.007031190985660982,0.07030804729040804,-0.07488267358653114,0.07440438064753935,0.08833789252110476,-0.008802449382762855,-0.007620785677337886
PRG4,,-0.020690509703278247,,-0.010662674149251,0.018982846008307533,,-0.04101063569791815,0.021095437780290466,,,-0.015082907061405967,,,0.052467672453072774,-0.010130096226845133
ZG16B,,-0.01907830301265522,-0.024551307711269493,-0.012375337392493392,,,-0.02512146117821207,-0.013082783025221898,,,,,,0.05095089947521349,0.012370753865375034
TGM2,0.05351773267805894,0.009615645535208384,-0.002747754291209466,0.02871822199382071,0.023712961287825716,-0.0408944546765306,-0.055517108032854666,-0.016222281518141535,-0.0013975541018646199,0.03098240207075824,0.07657477520797974,-0.02079645075831589,0.05336444034552315,-0.01634839441910451,0.1527584444666696
VEGFC,-0.02804139385825899,0.09199966929825149,-0.031524824560459956,-0.003399471446756644,0.019351581284295778,-0.019351365221914236,-0.009333416161267554,0.01639326641183295,0.02163479482922037,0.14757705829678947,0.02732927636442272,0.07704406807875552,,0.08127610228790966,-0.02120860822096778
WNT6,,-0.02219835841197744,0.019491173188123313,-0.014747851304876653,0.0004060405923778888,-0.02521311548711475,-0.007862050354864815,-0.009660947137469757,,,-0.013433978134706372,,,-0.03231406863687279,0.010504285114337226
NRG4,,-0.01267167496731286,,0.07645399465254807,-0.027504058286363327,-0.030865514292165965,-0.009809434065501955,-0.025134144482633455,0.0033082900463277747,-0.011592390768833928,-0.017957389110475577,-0.02859473519346007,,0.05635852728320598,0.14952760031862444
PMCH,,0.03183624611320725,,-0.017980845407474726,,,,-0.019149570817594646,,,,,,-0.036971261269580856,0.02886866414743958
COL9A1,0.004958325373725748,0.07948363864083297,-0.0029943103925948017,0.11420058896439624,-0.02041211820397772,-0.014638490019071868,-0.03803446876663455,-0.03506356720201791,-0.033549575468666826,-0.03052399728633239,-0.020462017982603976,0.09582647213722924,,0.05571319483914637,0.0806319820395971
GDF11,-0.04388530907365156,-0.02278557806076887,-0.005438505931866266,-0.02057603648892711,-0.003646766437211138,-0.027104580061437473,-0.06624990214756364,-0.00789824821415488,-0.018366170461085046,0.052989329135108745,0.02336869349517258,0.078699689478315,0.05233261589335446,0.07205818952410376,0.053711753987834336
RAET1E,,,,,,,,,,,,,,-0.02353994712649521,
IL24,,,,,,,,,,,,,,,-0.02974491943595731
SORBS1,-0.00025195772955905426,0.04768326371878041,0.039108346616320025,-0.019650812683829857,-0.0014343612665849586,0.0040029998718015165,-0.010203945168663388,0.05727919856867439,0.029857625978670435,-0.10112738741465091,0.004461977473084568,-0.021135986388058952,-0.029153038970444956,0.07179468164009328,-0.05229853054326389
DLL1,-0.05257133807248969,0.05307400100825785,0.03565471814560177,0.029608870180097047,0.01898043990446715,-0.02209471235485949,-0.10141493241750278,-0.0036940320985763943,0.036294782477377836,-0.042432497001080614,-0.0477355866632457,0.029346433347677836,0.007337462304688393,0.07077120353613225,0.0754898822064077
TLN1,0.04061006698470617,0.01636797798977621,-0.015593698435298217,0.05030731373569089,-0.009109372781060941,-0.042021239573569895,-0.19037458109812214,0.03624618932750165,0.05500930798885016,-0.07186486376281416,-0.09575028551048395,-0.015543888488254295,0.014137505606972665,0.012303888782095328,0.11151527447088627
COL2A1,-0.02633803846941717,-0.02812251928363213,,,-0.017246438627762973,0.10897519647270444,-0.03785334527916676,,,,0.0950394231521659,,,-0.031229532729021462,0.060667530122291674
SHH,,,,0.04071964543439233,0.007457315522320325,0.03396860576774133,0.09240739848551237,-0.04753146897878189,-0.022139458265225613,,0.09997239579274624,0.16221238980713384,,0.03814145398145773,-0.03672996443526526
PON2,0.046741939257558256,0.01963676969153201,0.002752153365365691,0.010018689573178759,-0.02572052202110065,0.010720752182562533,-0.16263755162722035,0.03195896585288964,0.019192287080037142,-0.031636275019378046,-0.025517408035219926,0.05185768150257448,-0.06594019538853974,0.08086037986347705,-0.0325132445840818
ICAM5,,0.04665721498324623,-0.01743885898553293,-0.000423782459818834,-0.012877826770315341,0.03128632936020641,0.18165724648154252,-0.014613053283292389,0.0062376798478270025,0.01107027868620765,0.0357240086134143,,0.0998559084723294,0.009463865224621391,0.03977729062691909
HPX,0.034548513167922415,0.018094393971551912,,-0.005862721650791452,-0.0030687825963384746,-0.025213117187917335,-0.04762035009258137,0.052528401052667636,-0.019282244918133337,,0.01283343719654169,-0.03833819208800026,,-0.015176066437932637,0.007192849348540341
SFRP2,,-0.01829140259234844,,-0.01261922574177724,,-0.040976050731528026,-0.030210488114493724,-0.021397725825833422,-0.044146640455134833,-0.01926393002269659,0.0641910845101858,-0.020624335641677257,-0.05515833614610281,-0.009056835784982235,0.05466228774346477
CFC1,,,,,,0.04064215858856143,,0.050462662648715614,,0.13925952399672056,,,,,-0.023542358440643514
CD70,,-0.0010570702902006905,,0.005563252624063136,,,,-0.03071262992460391,,,,,,0.11018371376803551,-0.025225235789321256
HP,-0.032572928574527864,0.015860633253401472,,-0.026959816004408693,-0.004916838096127092,,-0.06220386413119834,-0.0102565549368085,0.0018682031568404232,0.00705371028882577,-0.0009002949188024048,0.022842086281511555,,0.007037525875078192,0.008715129604492979
CXCL2,0.08740164223399939,-0.057402128755834496,-0.05763512547283108,-0.00731447815172394,0.006322015847226216,-0.009262428581953554,-0.033201693600120624,-0.03535052560007994,-0.004659323407086669,-0.02087535198383683,-0.023674475963363716,0.032019030800163314,0.029542514681942047,0.08727427983077161,0.024764914980916566
NPPB,,-0.01774925338076398,,-0.02358329037848185,,,,-0.014417254615919807,,,-0.015392708978334627,,,-0.021767374085774126,
CCK,0.014930482014948428,0.002415203167088926,0.025273060806993763,0.021490838284899758,0.0550305755235226,0.03664770441624194,0.21242822282053644,0.08238429766297774,-0.0049545405995516925,0.16580215612051288,0.09890860375761315,-0.042030251985107486,0.07438246804302213,0.06085655560211111,-0.02326146107789253
SEMA6A,-0.005681201646957389,-0.03578239190256106,-0.040956853867547105,-0.03425105148723654,0.019588513350508936,-0.04483179468147756,-0.2177718395763005,-0.037951162850703477,-0.013612815812500288,-0.07841697302286692,-0.09614836439800767,0.0014132571084637868,0.008299262983043858,0.022439659550843365,-0.018824519323243354
IRAK4,-0.11226710797651505,-0.0055262286355730085,-0.012468553379364958,-0.023153195646000328,-0.04081376490299414,-0.028577771555900924,-0.12409130954133885,-0.010986454547820101,0.017817557262402122,0.012329029802053793,0.0026760940381081945,-0.016252227590630254,0.07854249589851436,0.09360596586401433,0.005324753830575459
GSTP1,-0.01952632559012077,-0.042721795927835,-0.003317335431202852,-0.029741209386732127,0.02650364844815934,-0.017506199191622693,-0.20628025143820808,0.009198864231311296,-0.03628453854778387,-0.09270869417717666,-0.07674214495723372,-0.011147415738466735,-0.06280777951407643,0.0619217043680676,-0.040994856252059834
