,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
WNT5A,0.007574748275359658,0.006004449136710493,0.005571604076529691,-0.017748254130855276,0.04499294743329519,-0.0032686360212115795,0.010868817003700496,0.037620329322503226,0.07800952532361649,0.07376135939564632,-0.02099743727589078,0.004497121446434275,0.05607425900158109,-0.06021029937789586,-0.007871955641364505,-0.00777893919832503,0.013400164933901577,0.01988992581106828,0.03609951959537763
CXCL8,,0.006357645338726793,0.11051450010397358,0.16404718450781325,-0.07820743513659419,0.028970420244843073,-0.02993979616863766,-0.015782212419822472,0.008632831213280968,0.07287141016058477,0.05391793361102165,,0.08994490330054986,0.03873327239831778,-0.008358469982455338,-0.04402632743771825,-0.017963864428483932,-0.07457621899663446,0.028559847711908053
GRN,-0.06433771712178292,-0.040962050070279164,-0.012440060097331203,0.015648258933376263,0.11656282121647582,-0.014197482264072765,0.01811048515550581,0.01480154332204101,0.07921608850800504,0.00421008911154756,-0.01905259695100601,0.03884499896887316,0.044987858379507716,-0.10517532355032538,0.025251148768009508,-0.0434667347213405,-0.0063208935182010135,0.015464227559987324,0.06976887811260223
MIA,0.0613068418894231,0.06970787057091163,0.056456093221388094,-0.015133282525027226,-0.022860678267607085,-0.010669450471159374,0.05259356672259273,0.125154259098513,0.030766660525250407,0.014058963222037422,-0.010922873735031886,0.08569158216610667,-0.08965775757671887,-0.07118526762454876,0.1491663338770772,0.12147185402192007,-0.014301157262882115,0.08048572047058383,0.05731233389856964
COL4A4,-0.01938332283601822,-0.03092204209202952,-0.03192621090216324,0.012358304116883104,-0.01985123597886096,-0.023311901570599723,0.03384955603748292,-0.01055659932855651,-0.02399382383996869,0.002981617888687847,-0.01834955920752164,,,-0.034451633821012746,-0.02156005433534849,0.07243159544095241,-0.03961654591209574,0.020892915062396565,-0.029555656455248637
TAC1,-0.016736850531930463,0.018656992177208582,0.019121978662682768,-0.03398070502546259,-0.006222509855280497,-0.008910106837617787,-0.012443447731870814,-0.04920883834718524,-0.051667777986011104,-0.025141623172885912,0.021171810130041106,,,,,,-0.0339146926828676,-0.027902374252844416,0.1022225141838298
RARRES2,0.06601509219977657,-0.0634043378883313,0.019842729241373872,-0.0506873788598813,-0.015070361094281483,0.029485858968384016,0.019061211614059482,0.062044342414379366,0.14762690110709137,-0.014830122040078664,0.04211159304199027,-0.06889469027420056,-0.03438409314602556,-0.03425115952143941,0.02892439396855808,0.004329324077692728,-1.579800030352044e-05,-0.00813503661697091,0.06283988434021084
FGF7,0.17547485595544712,-0.0015008790179715135,,0.048858476770280615,-0.01717794645836311,0.03374965309259018,-0.02667607288332026,-0.030256988980886523,0.084090275634714,0.022295263455464193,0.05661062705055732,0.03326978278623974,-0.083034602178089,0.02840964223991893,0.09578301565191358,-0.004146357567438554,-0.03648012642704333,0.0299416987660675,0.07419351748148525
EFNA2,,,,,,,,,,,,,,,,-0.01718479965081646,,,
HBEGF,-0.007935034481343906,0.059547347051800106,0.018150507697460717,-0.034115190210321174,-0.0574868943392105,0.01663217147463555,-0.01294228561883684,0.06536073766836328,0.05871413388827243,0.016955681666324895,-0.024664774873315788,0.020539737819075216,-0.058642566520942054,-0.027598171764648866,0.0028074163383837703,-0.014656825290788595,0.043917112255492934,-0.05126083722327098,0.02663222667923421
CSF3,,0.0669133779508184,,,-0.02473382069336539,0.028438658306970618,0.0193610350187902,,0.020424541352800113,,,,,,-0.034705651908743224,-0.04898680850329914,0.012152750520068917,-0.022346613419303142,0.06584231459160728
