,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
WNT5A,-0.03729240731896736,0.017484205448425633,-0.0052862709547745485,0.007932233836290792,0.010750132864506535,-0.07410054027833057,-0.04967651627696085,-0.014481976056246581,-0.008443763962129371,-0.004563452317794864,0.12397038539848433,0.0054837323324214505,0.04231516005901691,-0.07770199772874985,-0.06095628018891221,-0.04733117953258465
CXCL8,-0.05485579812431634,-0.02125320217817691,0.021690800123251204,-0.0777025786585232,0.016171389403727157,-0.027625796354191833,0.02170495467408374,-0.01719351093090514,-0.07102094575998731,-0.04705179194396599,0.04648618445613996,-0.013280023363412502,-0.04183660929582714,-0.08099988764116434,0.032088804956813946,0.1692190209420986
GRN,-0.01621596118627394,0.03229739392128076,-0.041447839375707486,-0.09414404739146466,-0.05918381285292441,-0.07692308960580475,0.026632895437794853,-0.010028484863299488,-0.10430485491984115,-0.009041761143985751,-0.03301049587334538,-0.014481397423359778,0.0110713167665451,-0.05443052205232584,-0.03637750811380646,0.12280317890013709
MIA,0.0028906335518685913,-0.02018614715071929,0.0037063382126962022,-0.005280391743362994,-0.030401131688191432,-0.041713407042153226,-0.03698270731585821,-0.020997728471467626,,-0.026986781181480003,0.051628939165668096,0.036225350681260246,0.025809490789900507,,0.03430441655068593,
COL4A4,0.008231644160628021,-0.024573999249994306,-0.021790295322458502,-0.03811557919670405,0.022610895013069204,-0.019362427669770282,-0.025631096401541976,0.015811129484199285,,-0.026178178931286353,0.0020178564585078876,-0.043265456571177224,-0.005952483414071947,,0.0372756183178751,
TAC1,0.000719029095889731,-0.00802229567523333,-0.022012597220705397,0.09774491639610115,0.10107646909325592,0.11904334640725611,0.006344902979777738,0.012159739902936778,0.1485286781971653,0.15918947695609448,,,-0.019878902759263833,0.06855010375123431,-0.012172808166439555,-0.08573615729753356
RARRES2,0.036814622283352985,-0.04360003719305748,0.03545961646815425,-0.0850596672293385,-0.04079489016802202,-0.11694454905932995,0.010326603699086086,0.006776688291087624,-0.053643249658439196,-0.035715602993248045,0.07476878250324269,-0.06556759672417699,0.008753078246071168,-0.1240838336199458,0.017905663125530522,-0.01113453809288844
FGF7,,0.01391619520705088,0.02338571716900729,0.09092459187892193,-0.0024585325496124643,-0.005998514990344275,-0.02747151771927972,-0.011039694768571811,0.006994592144475303,0.030059561692506037,0.08486292740867124,-0.044649399102986986,-0.01830025163186037,-0.037895172429219415,0.0006340041462039612,0.11882584523574079
HBEGF,-0.015357153202331749,0.033353207541617746,0.07497360899881142,-0.05380558135354628,0.04879273831343766,-0.0384638312022364,-0.05368904620275775,0.017289854599357758,-0.05733132661502288,-0.02704101705725521,-0.0031100590972264796,-0.04958857901255306,0.006572346901335217,0.10948019620614566,-0.029316901602610617,0.04331458977772498
CSF3,,,0.09684084987160495,0.030800464937486793,,-0.02048507579416273,,,,,,,-0.026344097730738432,-0.03191915128740433,-0.006623004495689718,
PI3,-1.1719039692937413e-05,,0.051156269658412,-0.024095224511194887,,-0.023066465717962312,,,,,,-0.0238643238344683,-0.062408064520488284,,0.0604815912718491,
PCSK1N,0.04617379808065908,-0.011488963353120213,-0.03879266431458531,0.012278634091237353,-0.027100856200729474,0.07048589043986123,-0.027826697255006895,0.010324220683871772,0.16216504624487582,0.12558367036636278,-0.022215779081590926,-0.031730344133885605,0.08945979742600028,0.0374341183298787,-0.006097781031593278,0.0351148195440084
NTS,,,,-0.04526144437223163,-0.015829336227596035,-0.02517862232875123,-0.019764668174736617,0.003946535184177483,-0.030945397893349595,,,,-0.032834953616998314,,,
SFRP1,-0.005867466394275008,-0.02933618913604539,0.03151372885908597,0.008501598237810912,0.01927020923183072,0.022711730185604618,-0.0025405154169846605,-0.01398928329951651,-0.053025870919670065,0.09475918298179208,0.023446135915341438,0.0310696127704952,0.03404132190799588,-0.04562902908151048,0.07390963768187041,-0.045180511896623345
CXCL13,,-0.03832025263977988,,-0.015275604324371233,,,,,,,,,0.004505006305633095,,-0.03434337263420394,
MICA,-0.0344808192669027,-0.011369241970165669,0.0954546634884389,0.00584365982405888,0.010662138093003185,-0.05233573556988928,-0.010370029299277895,0.012857800046435417,0.017428661562566856,-0.07472164246409756,0.025389028589611316,0.07602746845799563,-0.007032086303564379,-0.03275774000857912,0.02604945005815941,-0.06505331486958595
TG,-0.020535007238040297,-0.006602353670640219,0.025993661685523587,0.012284049907891746,0.024131012065849684,-0.024723653725297813,-0.024733328005763777,0.05905374139895219,,-0.027618460475668762,0.0528452975020572,,0.047303963954445055,,-0.03784657436775222,
ADA,-0.03259560048096287,-0.028574888191308382,-0.036576158656455464,-0.02046603599932512,0.00250161494666658,-0.06763258471905513,-0.00903606555249471,0.02992606347876422,-0.04057700542838102,-0.07123139369524976,0.07716575784149898,-0.026198220119017256,0.06710632089906653,-0.03340642169825695,0.028445674808017005,-0.07712543877852289
LAMC3,-0.0008832186975268812,-0.029980840741555485,-0.008513436723708837,0.04290223735193126,0.0016319980419681982,-0.07398571947750128,-0.060210762465617795,-0.02598888902747178,0.0284047478132297,0.02092344311528993,0.02280602961589381,-0.03548506379793475,-0.028663309843259484,-0.06274191461483866,-0.016995164838375217,0.02898938373417735
CCL7,-0.022519561274403032,,-0.01713299065609984,-0.020252631043480133,,,,,,,,,,,0.02180420169750945,
NGF,-0.0212701149843928,,0.05122675062132519,0.14935503389697213,-0.008107398444507816,,,,0.03942136285803366,,-0.02966907800528305,,-0.036251897636922256,,0.021175865738701772,
TNFSF15,,,0.011900774480569929,0.008837035214778344,-0.030144375595219392,,,,,,-0.029963260309615627,,-0.016359232418434386,,-0.04685945848791246,
HMGB1,0.07553155002589244,-0.012309575988191471,-0.09673673230914707,0.02256002764356385,0.03533561351321573,-0.07722993869331574,-0.03651153297355978,0.025765805667066495,-0.032059754769594564,0.03525468477890188,-0.08854969513862107,0.08480764329303288,-0.017637737533433624,0.009246267401120193,0.06710800888964855,0.000574783531802462
ITGB3BP,-0.03390705809773256,-0.002563230204870597,0.04178559421506658,0.02825012216537663,0.0037626224484827203,-0.04819101587564077,-0.04134641936155933,0.0023775902351875883,0.016445255385859087,-0.08176852112213026,0.045497219771189985,-0.04344323146332539,-0.06839708997943335,-0.017309533011223087,-0.05937145473889441,-0.03222162720387518
AANAT,-0.01176211306602667,,-0.017359415619414956,-0.013511373134334587,,-0.018478092731828696,-0.02224282641760214,-0.020997729639414896,0.02937991476686532,-0.024663144441857895,-0.020794263503327214,-0.0347424798065871,,,0.13076460588012426,
RELN,0.021345955060457795,0.04016065264181449,0.10781546122025719,0.033362117395607654,0.023775562755329677,0.14099660402184955,0.05420105410053022,0.011867507049011915,0.03134194365004196,0.11470212660641475,,-0.03061436239096791,-0.019760179873367836,-0.05787009473416292,0.0491396473157742,-0.06503223406611917
IL15,-0.06118821818265059,-0.015848911088801196,-0.02828813803825783,0.017419552827930236,0.028668786173026845,-0.04819839558992498,-0.02887260047817598,-0.045131002362545504,-0.05961855579476657,-0.007593708814334093,-0.015006062752753383,-0.04326545108830232,-0.0303645072872006,-0.03375935329864032,0.04224830278162648,
UTS2,,,,,,-0.05392077726066193,,,,,,,,,,
BSG,0.0668419487974224,0.006529403725267579,0.0925586196462021,-0.08331476738035322,0.039991843028089426,0.062127949210511686,-0.07154648849991838,-0.024266502358856978,0.12059891992931268,-0.10581200846255412,0.033192178869046796,-0.07390778275003206,-0.005900021738598812,-0.036731443894584756,0.053416239869618576,0.09842490522987885
ADAMTS3,-0.035887978084890304,0.09537020305892777,0.02434595640591898,0.01360584376353133,-0.005136684660626441,-0.08997614008327637,0.02325702348183248,0.006594199199101262,-0.023847827892452416,0.010846480257326851,-0.024899013601458426,0.04031907577845268,0.026271674423123715,-0.038813381161347894,0.04482133954880384,
CD34,0.018461198371086007,-0.026501323739976237,-0.0039170882896817786,0.018285779753899202,0.020712206087870267,-0.039671576697725586,-0.04686018264324084,-0.00010484055942316089,0.04579530855282477,-0.010355655030140163,0.0238574583400881,0.02963598795183145,-0.03808607574764443,-0.057443831419588996,-0.03942794228656514,-0.09229937989978626
CCL23,,,,,,0.03326238399125462,,,,,,,,,,
PLAT,0.015536409372582315,-0.007305437728350024,-0.07697152780218909,0.009233225525018351,-0.04034398870569994,-0.06195058379966789,-0.06354631627954763,0.01198956075351057,-0.026724777587134305,-0.01739598231341603,-0.01028579972136604,-0.06165403209019204,0.028409514298938073,-0.03505132479236455,0.013633058947453267,-0.04680432669909185
NTF3,,,,,,,,0.0020689312587877616,,,,,0.007569740998632905,,,
LTA,,0.10752786447057289,0.18157032351978045,,,,0.032431058631067586,,,0.03573363166901862,,,,,,
CKLF,0.0479035124717044,0.029146933663144563,-0.02503488712751846,-0.014617596643000047,-0.04714834645326114,-0.043529828238191286,-0.027756415692987774,0.01007302878540226,-0.09768594345863832,-0.10405075413888826,0.04377946684992756,-0.033932489315346606,-0.004672292216308,-0.13806389466265287,0.036394766362638796,0.0031107094703142013
CD24,0.043263873065352995,0.05811053970411147,0.026931176802203614,0.0003365678891996961,0.05620084625296368,-0.005138255048822057,0.031211530502748972,0.04468585947125157,0.06955160664648771,-0.015015133031894355,0.08663690841514668,-0.08587527286200385,0.07331225777237303,0.01691247055326983,0.07459492698228623,0.02655871195571964
HSP90AA1,-0.027767504346587406,0.021025123914076422,-0.05078834772814734,0.06876853507534103,0.06109453180544771,0.10895078082241531,-0.025210066440712303,-0.006013674664061669,0.1583866661710148,0.1467533336376855,-0.12064761085901621,0.054443823641261706,0.008854897805832826,0.07577108757259989,-0.0158493357585849,0.018529310819151157
BMP4,-0.0220589433873136,-0.016799122022092522,0.08970875374228106,-0.02622100217335971,0.05825588479531654,-0.0497010217817658,-0.022947931849046786,0.03755081728746391,-0.011138603333111454,-0.019490950353605797,-0.02439639473478107,-0.012624204794701423,-0.024914012978683866,,-0.005421109672411914,
SCGB3A1,-0.022519559022476994,,,-0.01609037742935172,-0.036012804905720425,,,-0.017711790323119564,-0.007420089812727043,0.11067964075931486,,,0.012494878213694875,,0.005584236683437795,
IGFBP4,0.01252759217017894,-0.012902666372404125,-0.006040671070686044,-0.052152354669900355,-0.02967838966437781,0.023956190237540073,-0.06312685459428569,0.02004257661734679,-0.03876363325513656,-0.06078049439458543,-0.06785451192192692,-0.07904959983051316,-0.06752564326141848,-0.015603827235255906,0.04225410339199921,0.013723498412936042
RSPO4,,0.012993965432823874,-0.01643069639594466,-0.018570911127397238,,,-0.024915276117636474,-0.01771178773236956,,0.0139074902815859,,,-0.022879345225271366,,-0.0013561317725916807,
LEFTY2,0.009590627285680638,-0.01604198152725646,0.004480869126993665,0.045849236700843204,0.020673904657870047,-0.024556688711780603,-0.040749370628169954,-0.019421191868466692,-0.03094541826884091,-0.016188655120176736,-0.026573306446894412,-0.08774097977006257,-0.03111439796301042,-0.052271481071140394,0.05526754566903101,
PF4,0.00718550568488866,-0.014415320464541291,-0.014948196807404439,,,,,,,,,,,,-0.025536784879037218,
ANGPTL2,0.03739421093330738,0.028573050165565203,-0.048242900366795356,-0.006062724680274693,-0.00013315249107797648,-0.006640271163680608,-0.020441178016761513,-0.031429182130263356,-0.11260172897483157,-0.13374660308417727,-0.047317741586177575,0.04662349572802394,-0.03111528900741647,-0.04689743751710793,-0.011922643938520341,-0.030003427089055807
LRIG2,0.04117914402620622,-0.04058467047843604,0.02117126764664247,-0.01269657227018248,0.010484298537154163,-0.0638483290408983,-0.02750867983445666,-0.028287177345289818,0.038424766892165806,-0.008062306886929965,-0.0468533133131453,-0.034699141446525784,-0.005621470978235448,-0.019691168747418705,0.03288257252611922,0.04541067806452721
ICOSLG,0.028771605496620535,-0.02019243930033638,0.012145376189768901,-0.05179167788693041,0.12659134358249402,-0.05872568689197858,0.019023107682292362,0.02756708994878314,-0.048924406467323565,-0.028536213710001437,-0.015677872748531167,0.02128748257227117,0.029062717524780464,-0.0775940678951591,0.03757702792780738,0.09797314754405867
WIF1,0.028557467633290215,,,-0.004684269820855971,0.046717829767562155,0.13634802396650844,0.009789478383458814,0.04374255953159885,0.2443487549551869,0.13532442308430398,,,-0.02126856752387804,-0.034353067175406156,0.030984510100205274,-0.02666287221048365
NPPC,0.011324520314350859,,-0.023188339569666473,0.07871832080421573,0.09655228666641129,-0.03303535530976263,0.00929475652449326,-0.0246150504973643,0.07924243465804283,-0.10430027291771515,-0.024898965781411812,0.033412586015609445,0.04874219446194344,0.05611130791370502,-0.025045498281998032,0.04098316446961554
LYZ,-0.03965472729869387,-0.022905112628039685,0.0030707891752116616,-0.09466464925079726,0.04203829856380441,-0.05401732428936189,-0.035654410879552324,-0.048541043937483055,-0.1278035387114976,-0.03923768267559308,-0.03387820039833825,0.006690948664636222,-0.05175135172117496,-0.06875599935885222,-0.005155642373610841,0.01862194541763047
EREG,,,,-0.02613367826692683,,,,,-0.014051978099105964,,,,-0.02849661022544852,,0.0412435068755034,
SPTAN1,0.0399152530593075,-0.009625652567874883,-0.09446833019421168,-0.018415236491251003,0.08914350868851423,-0.003782349029510212,0.013773849457248874,0.02345767255908208,0.206789420595835,0.07161285100247115,-0.009108804489118565,0.027977790235428457,-0.018685946490616504,0.06695241978687433,0.019014150454273418,-0.0819939000234544
PTH2,,,,,,,,,,,,,-0.025444012720184865,,,
LIPC,-0.02859930350974998,0.0541311155959547,-0.015819139712915223,-0.017979698568427908,-0.01726616725343523,-0.048329192702256926,0.020852576975139432,,0.09022323083138699,-0.02651928167251971,-0.009034653485616027,-0.01332544489174553,,,0.06539017941500451,
COL8A1,-0.010103887552089857,0.026721722094315288,0.01556913682201995,0.010434656337904904,-0.011322949883357697,0.02059635685977452,0.02463278745153249,0.034482277492685336,-0.045806076392581045,-0.05937994002255202,-0.008690585074749738,-0.013418086411420211,-0.008102103529577409,-0.056251475520680695,0.015334758610080986,
GSTM2,-0.003920725095038265,-0.03158769033273439,0.035350341675843125,-0.0025867777002933343,-0.023856838093605774,-0.021641396663059306,-0.039450353716178874,0.0382161711131399,-0.03952494437188655,-0.052770936155290986,0.004875918028598358,0.032048308474328165,-0.016492320585973278,0.04969482436436889,0.01970376723815311,
SPX,0.017322960806149056,-0.00399326571860317,-0.011052943668123212,0.1219105653914844,0.013559952205419754,0.02224583730057378,0.00839636012896699,-0.02723632722357791,0.026412118430817144,0.13866610264838397,-0.031910457656199646,0.012432540114553435,0.029912161016868347,-0.01780544030508777,0.010695175489240627,0.09001557505342235
MFGE8,0.008596485681412197,-0.03008167090248836,0.027498146456320597,-0.05379779171044918,0.04640516717011193,-0.03013295117273886,-0.030262119488558087,-0.005831615561047242,0.08753710685428714,2.9038086078204584e-05,0.041382184367631254,-0.02550036357324269,-0.04273175917951615,0.058795916075512614,0.03574946687321041,0.021922877036213227
TGFA,0.02461674185783049,0.016760331640337488,-0.02142451268381869,-0.0641262559300475,0.020146963598581785,-0.005176968208851471,-0.006644398485721223,0.031785613645666795,-0.0255049337996277,-0.034329194233406135,-0.0016226133337527676,0.021374542019267175,0.06690540809238608,0.08546125152464354,-0.008794608838178302,0.1013588646270123
SLIT2,0.03160332357522472,-0.0030211224429732607,0.04550621836340199,0.06717091099792236,0.061323309456234806,0.034097917650201794,-0.03435645187891133,0.04955220305701443,0.1682501921199714,0.14281429798938233,0.02077923924052219,0.10416655777109714,0.07641506879710623,0.06672720237439153,0.0483722128152303,-0.09434003418230498
PLTP,0.02752083472609121,-0.1059900482706478,0.030644817623630347,-0.08224813917250094,-0.0097446568391517,-0.10050046407494781,0.05345217460971264,0.024751749440840475,-0.10449955337440514,0.019760262635494394,0.014836321288479441,-0.1001101006631536,-0.018842760889372905,-0.13605236463195597,-0.0071202878033544345,-0.014734572812591863
APOD,0.058503068665125384,-0.016272255537560912,-0.041895115405374946,0.01993506418725069,-0.016515329812438063,-0.0775842044042313,0.04369313449269462,-0.016145764410730505,-0.10742646960917407,0.07309405932349787,-0.08385521587849985,0.12369440073934052,-0.08629992342898114,-0.014561694082472564,-0.06553302443920965,0.02337003366965301
B2M,-0.02115083050613046,-0.07684765368536384,0.03378961706991392,-0.02923918135037696,-0.07073526451833759,-0.08960010097751034,0.056382845777151865,0.03456355063154528,-0.18761112821410766,-0.14911722839938246,-0.023034319217812103,-0.07619318075625447,-0.042410619225549874,-0.13507493910651058,0.020295056882052895,0.0358929423207549
OMG,0.022225221101624847,-0.010457913515676171,-0.04693497817584902,0.04770322142499505,-0.03871826554602337,-0.0204608954403446,-0.02224522795724339,-0.025228757892743214,0.023175344205314207,0.13663948902389625,0.021724850037266746,0.04851851115866116,0.015144066328856176,-0.03265946853474861,0.016875165237336027,0.04750876622209382
CXCL3,0.004572765247275095,-0.018552028746232005,0.0405898443159667,-0.03682557369182603,,-0.024260852456339136,-0.04709450406101822,0.011622171007353368,-0.021468869457981706,-0.01647337131188643,,0.05986718882031399,-0.038974141304953185,-0.023706599301322892,0.010242478182716213,
CXCL10,-0.023501837496083682,0.036513508858814124,0.02288896144668288,0.03564427058929029,0.01806377049737796,-0.07583262915267916,0.03266885141710826,-0.018816331109908588,-0.032418375078480985,-0.026178180585102663,0.04823481586101393,0.013215934295772823,-0.03126251983402121,,0.009188351045930373,
RSPO3,-0.030589959595644513,,0.015909677394746212,0.14644913957514577,0.004569757215397825,-0.004450743492783905,0.040393566849502086,-0.003056255820039714,0.10298279252576113,-0.017214355527789882,,,0.11786929140488844,-0.022550850910428574,-0.000662120874589523,-0.042055427034708874
CORT,0.0016193897547071346,-0.025744849505373476,-0.0020008450794352867,0.06405154791841389,0.043212854474630163,0.16113731243460833,0.07769834035308616,-0.010381709234982446,0.03396457090549919,-0.006929819164822613,,,0.0017428008439790198,0.02433224752949267,,-0.04490838440075438
NCAN,0.0684272022977629,-0.015902112239441036,-0.04978523787101023,0.07239191650703594,0.04206469608901097,-0.03365972992068596,-0.04914922146033233,-0.02538330813414367,0.1304640543826274,-0.11965305303588972,-0.025780475878181185,0.017883492367562995,0.024491012675876098,0.015768073955305426,0.045056387953074345,-0.09047419254809692
PRG4,-0.03386673074648291,,0.017527718301620285,-0.012873391687478584,,-0.02628442250119921,-0.014482193889187383,,,-0.020126427249928077,,,-0.03246797894825021,,-0.021152751660520743,
ZG16B,0.023176933113925092,0.05919776316935941,0.09635556189958175,,,0.06692180404160476,-0.017021850715833873,,,,-0.02311625927638707,,,,-0.021785496549667056,
TGM2,-0.03603028744577806,0.035577647125777184,0.048227464348119725,-0.04151174317821925,0.05006439584358435,0.005764119336214507,-0.04004283790525664,0.05343106257383432,-0.01503776422657288,0.10921138770895834,-0.00704163385005194,0.009027895062029936,-0.033326329587149026,-0.07065486072171465,-0.005327034280994682,-0.09963658128719712
VEGFC,-0.011381180396738555,0.107037294252335,-0.030535581632738396,-0.019816415636680317,0.008081937031341966,0.02430755561117176,-0.01126384618364746,-0.015143590523988707,0.054010174743478974,-0.02053982124519107,0.08982881003930647,-0.03227062321242519,-0.03904856097042377,,-0.004341180725118604,
WNT6,-0.03633481427638533,-0.0160419819482703,0.0022517502130354745,-0.01773829436539018,-0.015999431091188055,-0.025847287733734427,0.025721399351561848,,,-0.01792611878496112,-0.021983565285778287,,-0.030364625000494524,,0.04716359200455295,
NRG4,0.013461535448825014,,-0.020851636641507562,-0.018336462972722442,-0.023970629599077083,0.0027582742866511063,0.07279850766947485,0.02146205887488898,0.09965405492325398,-0.023962097230939745,,-0.02591284432293268,-0.030212768990340116,,0.0762525573118161,
PMCH,-0.023905472000009267,,-0.028891974006740116,,,,-0.024915274915205295,,,,,,-0.017395264970770773,,-0.043353666957909716,
COL9A1,0.010907042729099587,0.0025810338523983094,0.03346709490055264,-0.004909068999534152,0.020982321760225183,-0.013829167494716271,-0.005612466881950678,-0.022192589535918825,0.0029124206009633886,-0.0027563718611659485,-0.017839520681741185,-0.08327552183422474,-0.022729561130452207,,-0.00197533747456727,0.0030995770498967383
GDF11,0.010135214271208512,0.025393492020355426,0.011874597587879189,-0.016951398074489157,0.011670745184064846,-0.0019257206027247639,-0.03634997197126784,-0.001193300416548313,0.00962336874571265,-0.04153327213230651,-0.01957176120727928,-0.048122186631707475,0.009679604069203278,0.052200998718344965,-0.08186417816798666,0.012241849131856126
IL24,,,,,,,,,,,,,,,0.01626122406726838,
SORBS1,-0.009973886826394943,-0.06095266486388906,-0.0006459077637119908,0.02499830502762225,-0.02218501265536478,0.0316674935627827,0.017555327730633202,-0.021627243172139588,0.01953726556801774,0.03996131191516898,-0.05017618876327903,-0.0037736281245194076,-0.01778622218068575,0.02264524617847653,0.011854735955968549,-0.0007177225256901132
DLL1,-0.012470909552138537,-0.013392891946085167,-0.052844551279123596,0.012621653010781777,-0.022102347579326165,-0.03079468525056553,-0.024852058740062397,-0.027878756947366537,-0.0061101689431079164,-0.0908630531159244,-0.006051334894068787,-0.036584544437428965,0.01797974799917766,-0.08403135167993855,0.1065641984634941,0.0034712181007425275
TLN1,-0.034198911501894864,0.010335862442339624,-0.05498574131172882,-0.03492086335828794,-0.021500880192266987,-0.08865212732994936,0.01790077709642692,-0.006350286491995071,-0.18390277554250736,-0.10904015914428229,0.06607101584525106,-4.36990925658327e-05,-0.041474527214243856,-0.004636381089176555,-0.014233671048786459,0.020599334536039852
COL2A1,-0.00671083758829414,,,-0.01149789169353596,0.03997127399670678,-0.024260860712576108,,,,0.06357358736900079,,,0.015896141332639554,,0.0854320558266582,
SHH,,,-0.017803993064509017,-0.02914793336857586,-0.0342177462091788,-0.019071984368819333,-0.038823561889961535,-0.020336294054418697,,0.19892077118965895,,-0.05688904398504562,0.045045820744612906,,-0.025968442740797144,
PON2,0.06170572598271163,-0.014979757110901345,-0.10390643293539731,0.03096692578583589,0.009835221070845071,-0.045576699468046225,0.002386704037694564,0.025960940795002028,-0.06767947647090639,-0.04243803012915845,0.060738419583477636,-0.03192252565479609,-0.014102406939161172,-0.012708340317317011,0.05211714715261194,0.05420835277354639
ICAM5,0.03507765775770254,0.011926244064480862,-0.00667441449129184,-0.018710741104253106,0.010756276357331835,0.12751726440197994,-0.034251368822026174,-0.010433788795403551,0.08843011212881863,0.1157977134358286,,,0.03790487832798755,0.12934561079372656,0.01318683069947125,-0.04272923228829836
HPX,0.024121144254733745,,0.05696239216493232,-0.03261865182190571,-0.015656737515659137,-0.0010823407833589745,-0.033404327051769156,-0.017711788517445197,,-0.007223275037418628,0.08220030495381606,-0.004080609952775255,-0.009896999345688976,,-0.011967469341885684,
SFRP2,-0.029939813733657505,,0.008433443767075437,,0.01865325869885833,-0.01936242196823883,0.012040890752485104,0.014542859034925372,-0.05171314239874357,0.07105786449926928,0.05607465507086592,0.041123782029682705,-0.03674493946097202,0.020011101904968187,-0.06308975634608333,-0.027284879519324703
CFC1,,,,,-0.03204458294941852,,0.07110181184575855,,0.03614189305362212,,,,,,-0.029954598122168816,
CD70,0.036925617869037246,,0.034859222156062554,,,,0.02553076805316516,,,,,,-0.03504114647963713,,-0.010454277099568239,
HP,0.04210221935152747,,0.09926706817765243,-0.03661286903090962,,-0.010049101008375045,0.0007290131287487003,0.030273732942570623,-0.05716127819895889,-0.031415075994547605,0.04095392706382742,-0.0028217875456219817,-0.05015554726051028,,0.12938283598159256,
CXCL2,-0.0176488965088702,-0.0005598981853666935,-0.01183925245855341,-0.025434406214354555,-0.036480944840353115,0.014667292755840937,-0.03913966381156839,0.011767656532671218,-0.08473498036240776,0.0009520903624412822,,-0.007718627062151645,0.04553516046554896,-0.07580137846998207,-0.07227291481464683,-0.02479852807816455
NPPB,-0.02905241068576451,,0.03423177444574176,,,,-0.018758115557770735,,,-0.020539822739111167,,,0.003323791857889503,,,
