,UKF243,UKF248,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
CEACAM1,,0.006711259018970116,0.01980851290010026,0.002840995561706704,,0.04144668699434234,,,,,,0.042428424423793666,0.03225746941423834,-0.027743925014635757,-0.04201895122268606,-0.03180777236810179,-0.026334194467910743,-0.02497490218804883,-0.029029536747563416,,
PDAP1,0.0036323732561207443,-0.009776973486452291,-0.019200445353997897,-0.02493823418946839,0.01645366807777633,0.04306668644030963,0.016642956977630383,-0.10155056283790936,0.06358296812013459,0.035740978558526385,-0.0039341277752538645,-0.07589277519308006,-0.011965922419903121,0.07356984072943099,0.013812393560480184,-0.0059769301888625654,0.053573253517079394,0.05164073054265928,-0.024845995767577643,-0.032166497026155094,0.024308452524947007
QDPR,-0.0052042821996827245,0.0006797512191167864,-0.0062192887778029955,0.04585519157037563,0.017263675955846304,0.0136990243105442,-0.01670302166300869,0.0428194934905971,0.02436057506511191,-0.038088927258166115,0.04928645570308378,0.12617005845317378,-0.02050601893588171,-0.0792531306625158,0.021541458250174478,-0.0063925191623146575,-0.01953471256837339,0.0619348180283209,0.05012997749588123,-0.030201998413535353,0.07879095508733443
POMC,-0.01645477211006357,0.009178074591663168,0.019774126909995318,-0.004878821758230464,0.022627430004910142,0.00664237473867465,0.06936803913072477,-0.014688617651589254,-0.0251510648808921,-0.020561433597657074,0.017885394899005102,-0.08702082344678697,-0.04862806535879137,0.059672855043650795,0.10735585488750929,0.01408814383646175,0.048395808755493624,0.05246298472442709,-0.011922354484638395,0.05746974969258989,-0.05355068577969683
CCL18,-0.012386620665197348,0.007004083952457236,,,,,,0.08204332821583538,-0.00613517153868736,,,0.13198425742094078,,0.16307409913829707,0.02773423443771043,0.0330277869240795,,0.031625861631335,,,
CCL17,,,-0.023465494984036498,,,-0.014560703655432758,-0.015983164025297023,,,-0.01377866979936349,,,,,-0.02981041211808862,0.033418237629555606,-0.023430326798336086,,0.06692785392272604,,
VEGFD,0.016344657021552227,-0.02906278760793373,0.006881026740333704,0.07163440314621124,,-0.0155131981836042,-0.011723844103759448,-0.026216403101977325,-0.01699307612641988,0.02994316124934878,,-0.017853992024117016,-0.005948170735389121,,,0.05825296825990959,0.057599054843797404,,,,
TNFSF13,,0.009944589402508862,-0.016185973266703096,,-0.015208929324930107,,,,,,,,,,-0.040851882091823756,0.06371106210302627,0.05614984170219897,0.02515000449943309,-0.03081405474201598,-0.02318114371714446,
WNT5A,0.016898503060953012,0.0059069442347765636,0.005200481262732888,-0.017680906427770027,0.03404743698611591,0.029362422505641844,0.030525697971705953,0.00825822780753677,-0.003069892913458728,-0.019408863747424482,-0.01317240077891244,0.047413966960783045,-0.0023785148535982697,0.04048764842675488,-0.002169577204030084,0.01677624988589175,0.043226198989973694,0.05284934427978341,0.013595275493470865,0.04575957577754214,0.11383013756514938
CXCL8,0.03290937871494562,-0.0010463309714281385,-0.0016785391982077763,-0.05658926600431762,0.0452762962317071,-0.015551263328482536,-0.010917753399109862,-0.024018122355569965,0.018019108726576326,0.042794248967740214,,-0.08188137509078053,-0.009192808402240219,-0.01338292052427768,-0.05499060858325828,-0.03930140745044492,0.02655479954979764,-0.016192167371331376,-0.009157288758365337,0.011006526416133306,-0.031108999939121907
