,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
CEACAM1,0.06415730422080357,,-0.02148371386653798,0.026724487253021078,,0.0452787039139788,-0.015546956403285609,0.11494752157841376,-0.019431809392023602,,,,,0.10751880722320058,0.18848156010821257,-0.028585258812823245,0.11302808180708185,0.08508627749501983,0.05075138299703775,-0.012206440110322892,
PDAP1,0.04472796250280422,0.05562823799007803,-0.12866301508267203,0.045868755653901395,0.048043215615832476,0.010290137833576315,0.07111033138388016,0.11727093879189958,0.013411126437012989,-0.01835126606837454,0.11296217441904427,0.062396703368755406,-0.05082037774526174,-0.09164386378070956,0.05860365456950421,-0.12060463292536915,-0.06634934650241552,0.03490709967879598,-0.01294577098376755,0.0703482515758032,-0.00023384556227611265
QDPR,-0.07465124062632315,-0.07180155166169305,-0.11745192896206562,0.058423052705154,-0.048795031111986284,-0.08115499617849864,-0.07235327594126544,-0.22057009459004517,-0.04278730382704039,0.15181186832498092,0.10172940081662278,-0.02723000691926633,-0.03200372905222035,-0.01766783400691706,-0.020738815324198114,-0.013215395250463747,-0.05202341244932197,-0.09513880102800072,-0.08387836074697504,0.007049163545827696,-0.16751654595523915
POMC,0.03592548761326277,-0.04957544705093151,0.016997090079992422,0.06611650620152566,,0.022896630797500178,-0.0611910450595139,0.04870542290649731,-0.03571019350218746,0.003004841465112858,0.0416549558248376,-0.0330866461754011,0.08028830507755973,0.17912512024424254,-0.0015895157791254845,-0.010849251141720957,-0.009640172290956685,0.012751229605496232,-0.017431635466320816,-0.01629620107256871,-0.061016071685845726
CCL18,,0.04375386860338008,0.04836166679157372,,,,,,,0.007148634122061636,0.15873595896037174,,,0.14245728435645055,-0.029210111390618434,0.11234998035106857,0.13451875404136007,,0.08109064581189764,,
CCL17,,,,,,-0.022943348519576225,,,-0.03838383245460094,,,0.08167386410960584,,,,-0.040079362884333426,0.07460734396402911,0.06496251278710562,,0.023970273548028012,
VEGFD,,0.07156415874201123,-0.00953793766797892,0.05642998633992958,,0.01897433077239376,-0.02494391628049869,0.06435452914009622,0.024535230343109247,0.017433202368532203,0.007234525599647702,0.006714314674540528,,0.03749628840881054,,,0.03656499107984632,-0.023843762188314122,,,
TNFSF13,,,0.004844848278748529,,,0.0531064958867755,,,,,,,,,,0.007792981464005251,0.022130739654508708,0.026541397481115385,0.011362693408051867,-0.024166989575165297,-0.0706898686064427
WNT5A,0.03855340594545732,-0.03135778304097364,0.09694862749433884,0.009813213279327897,0.005232203871221651,-0.015396883388758395,-0.03267576961733271,0.12877631660995958,-0.044112339238953004,-0.0359368167914993,0.02584635301314904,-0.004370188691495585,0.15991715380455981,-0.009813096617170239,0.010234021948728435,0.016257997609817425,0.02647451196122951,-0.06707699597774136,-0.018318948587757778,0.0692763975934978,0.21782636736688235
CXCL8,,0.18785826184665677,0.3088715433632545,-0.013533086443171524,0.0377847477047808,0.29227095532224107,0.21833607448212958,0.10998184884008953,0.062437320013833876,0.13501770356012444,0.014433151028828101,0.0338632940887372,,0.1399203181304664,0.023190426767961216,0.13938091412035006,0.11257419967119174,0.0474309741586725,0.041935695398809515,0.07350323817338246,0.2821602469726574
GRN,-0.04156621727964006,0.10524452618000793,-0.03559609254416393,0.008564755918411363,-0.0026815869297996398,-0.05495237340524264,0.04236849479178923,0.12154582528450043,-0.02894463185032653,0.17784370518439663,0.020474374407863868,0.008025773064490264,0.02248036926229984,0.18731824202934527,0.03419565225512082,0.005624437792459355,0.007986495889089559,0.09980750428265571,-0.0635943830314657,-0.08599138331080318,0.01314382783876016
MIA,0.07485943056248438,-0.057854615875714326,0.03741845003330014,0.01832127902149035,-0.015668403210110027,0.10110499745009613,0.07617616345626553,0.01701223582732848,-0.009711723420750797,,0.031405483737768206,0.04479392029482202,0.15558165544579305,0.016217159481933856,0.04448616571667324,0.19094609534069618,0.0663429244666049,-0.012067797389296106,-0.008075117614633956,0.021681994921107804,0.009290746551919568
COL4A4,-0.017881112124589513,-0.018624867536288635,-0.009736202083935986,0.02264335466396194,0.06229985387933163,-0.03443458909247434,-0.07568696602067536,-0.007075732375518044,-0.011557376774516456,,,-0.02008641762392162,,,-0.03693070759260601,-0.005672114356220858,-0.02273611920426576,-0.05544356924503833,0.0652858229847645,0.0334040146418314,0.04145522782018177
TAC1,0.10403846259270606,-0.0970775015453637,0.006198230914187596,-0.05004012664487658,-0.028718491696945132,-0.08681191293226448,-0.09493303462318405,-0.11036162810166461,-0.04541180487733253,-0.10218127246550819,,-0.03559733576035467,,,,,,,-0.018290673903986053,0.00013959273634214732,-0.09764571765300127
RARRES2,0.032469112609365997,-0.011066847640176597,0.00490157900667792,0.04792553011019286,0.05941095356568696,-0.022964862063704718,0.10052723098855922,0.1882796701128782,-0.04056511997699207,0.044064278753175305,0.0066000811836613976,0.004401908723365944,0.10640263690102461,0.09764807180458111,-0.0864243123902489,0.07163263556186251,0.12599677464102962,-0.0456277020050337,0.0031944574242498782,0.10722966935528,0.23668323375532388
FGF7,0.06199540119473434,0.0059260971057668735,,0.06479420367030223,0.01909953781786759,0.010966317132076414,-0.009342053684302413,0.09642965148719744,-0.03348897928629879,-0.0579541162434845,-0.022389478434216768,0.008234059227917747,0.039704861843672,0.11821314662599297,-0.02097430745231968,0.019029667710533743,0.05140611375527217,-0.07889949192466104,0.00534292853048675,0.11811574259763861,0.007943815831555545
EFNA2,,,,,,,,,,,,,,,,,-0.0025891949417489366,,,,
HBEGF,0.013638471860692081,0.0545327746621805,0.06008661326094946,0.08906335636201478,-0.042786968820813925,0.09145058676765082,0.1499837363422672,0.11985954318488215,0.04821743801969995,0.12150086519821189,0.04143045732926414,-0.0056173134890150425,0.08605138942551928,-0.04749773181119333,0.04814004633730199,0.07088083374081997,0.03784216390917655,-0.05540948326724253,0.03508016061686557,0.05461797907226324,0.2561324271582658
CSF3,,0.04642508717137272,,,-0.02911302437668308,0.21550035618548188,0.16942219520819737,0.17357328085166315,,,0.09895441077410638,,,,,0.07764063621292877,0.04920525321982299,,-0.04294988018242677,-0.05089895941453289,0.1741678753753698
PI3,,0.12613055188844563,0.1481424121267,,0.07782416908508924,0.25903345620483875,0.14142893277744573,0.11109546873199228,,,,,,0.047419423257496665,,0.08051272833657493,0.09098103023346281,-0.013892950422681603,0.0795532314577042,0.13269701188341815,0.24573896255535352
PCSK1N,0.0020999044484225605,-0.14067434944245522,-0.11193105297509703,-0.08069651556059157,-0.04044861099760471,-0.18292790003588574,-0.0791909944029614,-0.06336539470809596,0.03547307967528802,-0.19130917279080653,0.08906075785701081,-0.07260008198666014,0.0010792877747967148,0.0700915509510633,-0.05701117890766968,-0.08818147355900927,-0.11379443422931479,0.09013905484739383,-0.003617707698167592,-0.024631054313998445,-0.23964543874972893
NTS,,,,,,,0.06440681479760423,-0.005470071510740606,-0.02694738591648964,0.0555838169899177,,,,,,-0.07594856006525383,-0.060033569588471725,,-0.03289097938470462,0.015048801563230591,
SFRP1,-0.022465214410648148,-0.026901400332107618,0.028838065147747755,-0.00026559464793085856,,0.022894656272760983,-0.033003321625114705,-0.045420509708770006,-0.012941610441850259,0.07045453291327891,0.07931291375956166,-0.023363954604608418,0.028931820850192268,-0.05110256780457974,0.005167790717947071,-0.019480033341399985,-0.03238617687540391,-0.019114153089123162,0.02545139389092967,-0.02719648750087981,0.06663692359326907
CXCL13,,,,-0.018871355399449074,-0.02113950043180678,,-0.014164977828651169,,,,-0.013432936841136802,,,,,-0.024822619466558334,0.08027074985534167,,-0.011371548417263379,,0.11986764234194403
