,UKF243,UKF259,UKF266,UKF275,UKF313,ZH1019T1,ZH8811Bbulk,ZH916T1
ARF4,0.02517106473874787,0.04155507449665947,0.03096638262953049,-0.008387146241121522,0.12663491790695589,0.0059404024399021555,0.004757339968185167,0.052353951795030856
CXCL14,-0.007153543942825877,0.008200444384381977,-0.06260831298964994,-0.021214399543975304,-0.007475240092019609,-0.05964293850117167,-0.04552298813288195,0.0008809833739809838
LIF,0.11943017849871351,0.007777613747272628,0.005702663124787493,0.07152830166520979,0.007031556196071048,0.015256158813786997,-0.009478164218483402,0.037410170217327704
IL17B,-0.03204482124964694,,,,0.06964465085264333,0.04645880408957136,0.09964804544765837,-0.028446445195588227
MMP1,,,,,-0.07366104799989695,,-0.030116890172082196,0.03741932516687202
MATN1,-0.025248332588353985,,-0.016212421185805254,0.008867297345076412,0.03795307197240448,-0.04657895417470675,-0.01973016373878646,-0.020254047592819856
ADAM28,0.008744866364554195,0.03406857464980799,0.05731203647744038,-0.03400594481916937,-0.030394830812278003,0.08272694362508815,-0.04294001568254382,-0.020749754250359437
TCN2,-0.01777625617732043,-0.028249367328352495,-0.037398808796409416,0.006472995802677319,0.0840897495120799,-0.03521184649340073,-0.011741669056543185,0.005288154741713758
THPO,,0.014696263498230206,0.00841714281506368,-0.02651159077073252,,-0.04464150169705536,,-0.021925702337636837
CUBN,0.09767918683678055,0.006038726642738377,0.023646060326701298,-0.035551046921095585,-0.046199160348746944,-0.039329080087705796,0.011291358038058929,-0.0274470940055951
TIMP3,0.005686094721095113,0.049646975149003895,0.06469223986387795,0.010138127186012164,-0.010183069767929884,-0.04641461397117311,0.06554574156146638,0.06850317086591053
PIGF,0.016310612590244838,0.0357876884647298,0.07850550032202382,0.03638794232249982,0.057176919638564166,-0.08080415384566678,0.024854987743669725,-0.03775440084619491
CRH,,-0.015966933518284196,0.09646307902374192,-0.006869631699485635,,,-0.043369105825866096,-0.008484717862763232
BDNF,-0.04573658745477283,0.0010908906583926132,-0.060205754371332174,0.0011464055434130941,-0.022419159999304654,,-0.028742416834036413,-0.01898355831714309
CCL5,-0.04490170744723662,0.013001352750439454,0.01793303529909703,-0.014110846294599536,0.06907694187660199,0.0055148176773532715,-0.025747845681171003,-0.005942872489381633
GAD1,-0.03987719811267004,0.05924174345483753,-0.06624806775493593,0.031990383146032815,-0.021774055372770357,0.07168204152018547,0.119106194957193,0.04115175509428414
COL14A1,0.013164991743613191,0.05110079811526262,0.06597273941481993,0.01351900903606294,0.021312427687777864,0.06653691858493323,-0.0502465329031021,0.004989936306161681
HLA-A,0.0010786021345080205,-0.037229129576974496,0.03131828157226913,0.009093904702291917,-0.0865277055230583,0.024349320410072917,-0.006619581891722724,0.015311320971859011
FGF18,,-0.012685609275875476,-0.018955600658331954,0.026665753041911513,-0.015091435704724787,,-0.028522706271250458,0.08087800337820533
ADM,0.078248733988595,-0.007169480362914552,0.004990492526047759,0.04507219746724043,-0.09904648483886833,-0.011197780362893508,0.039247738900882734,0.0656468504953361
CCL15,,,,,,,,-0.014443461290860968
GNAI2,-0.03925402211786268,0.017486659568295617,0.10656001560950655,0.013130388420575047,0.008616440990313425,-0.01047635352319407,0.06735634562081448,-0.006650463058950129
HDC,,,,,,0.002740972491610301,,0.02645045527213568
COL11A1,,0.0026549391427857136,0.15443493412338352,0.038267439706616176,-0.04382470609500368,,0.013862040357260168,0.037751618709968675
NUCB2,0.056371768681076614,0.03496385012264034,0.045508130836366165,-0.03487730478285069,0.024812341514794514,0.044832938340448075,-0.034899191025246724,-0.02298444431645021
CXCL1,0.10588362747651271,0.02972547737387984,,0.03065017489994818,0.010468056481402562,-0.005680194153332712,0.04695146829960416,-0.00030283109801371107
VCAN,0.02118418374506357,0.02145439206343721,0.15326674916973812,0.0018669475435211201,0.07769275960427263,0.09365949087388248,0.008543472230019245,0.04114615884935353
MMP7,0.043945282085866684,0.057881444929966955,-0.016793631165476195,-0.01275368180848105,-0.001570198799744142,,-0.015330551726400733,-0.0083349040089508
PTPN6,-0.006036941651718203,0.017209124309488396,0.04251994488238025,0.02447467972265398,0.029431817225730798,-0.013971393571611064,-0.03597067906395959,-0.02870615315321196
PTGS2,0.14192756998596467,0.037459616418720434,-0.031687370886519156,0.020899694984346635,-0.01658859928487651,0.06532564191402886,0.050728125593058594,0.026612354464487845
XCL1,,0.027970398729968076,,-0.020947445172640716,-0.012588109124950658,,,
CD58,0.028562574763782645,-0.011988559611578901,0.04298870811446335,0.03018061358579426,0.03601398913496598,0.13968527413444456,-9.133287751141077e-05,0.034014973655075637
TNFSF14,-0.016623361083983608,-0.0009248041746653707,,0.017684364604005832,,,-0.0027748439473079018,-0.03464232880068447
CNTN4,-0.041768093333260425,0.1083424499306519,-0.062401220880425504,0.037390631563363225,,,-0.023941702743853183,-0.024576447592983143
NTF4,,0.04769420118725136,,,,,,
INSL3,,0.03183450005609352,,-0.01470633650233157,,,-0.018049602383436475,-0.019776374655512484
BTLA,,0.03674309213135973,,,,,,-0.019122765460112892
MFNG,-0.026831394607239042,-0.020872670697303333,0.11324647680057634,-0.0018141419424468656,0.06270097300065086,-0.018246890189888197,-0.03298529928791973,0.06136337746961059
ICAM1,0.05926313671135236,0.03366315169736534,0.07189014286076631,0.005185644717373722,-0.045662015078797864,0.02403657091494761,7.370107476847501e-06,0.0169353213456919
PROS1,0.08625862460997927,-0.0412603425807731,0.1128374978013322,-0.02209175825314979,0.060338711026557516,-0.06298883811181075,0.019023714170595212,-0.037852487078200374
CLCF1,0.009833680187185794,0.013309572699055703,0.07967169894168356,0.046446217789761976,-0.04914511717159446,-0.015175300657951892,0.05204047215868413,-0.037115185842539936
PSAP,-0.08968131463361695,0.02050887558255003,-0.07730446424300615,-0.05036193622906709,-0.011168744842151478,0.07224995350852356,0.0025419368397166645,-0.06351323065716295
EFEMP1,0.08704429360040407,0.05929210026486177,0.04801187223947876,-0.011190071798881932,0.007957483631747165,0.07139679257305899,0.00578813458489979,-0.04426714206824627
C1QTNF1,0.06685616819777923,-0.01077508544131793,0.11109815167204777,0.026420948676807447,0.00273283744072158,0.055556350970381786,-0.02902898118116135,0.008452838045952123
ALB,0.031363983677579386,-0.022521483755816623,0.006644613763625122,0.05406392238544665,-0.013758521588389062,-0.010476785076513501,-0.041381094890103956,-0.022362344058057277
CCL13,,,,,-0.026222345004472424,,,
EFNA3,0.029555654639191287,0.010147192795954581,-0.051366304580497485,-0.04308163420111003,-0.0013168454846939365,-0.052121441358738856,0.05822952649081838,0.01227253863047313
DRAXIN,-0.0458427657435282,0.07114224852247268,0.10608615155395393,-0.0018788575766099144,0.08747168467305429,0.03515035090346734,-0.026187168685790886,0.022690218384472077
RAET1L,,,,,,,-0.018272018705766183,
NPTX2,-0.07291406892715696,0.008603498258497934,-0.09439332680301743,0.00455517416485729,-0.004551442452409546,,0.018836796886490835,-0.0039906027676318585
FGF11,0.03767710758881823,0.052322642854057015,0.14890975589530095,0.0033601736364555173,0.0016934866038675258,0.07538981170318286,0.04617827850272414,0.0012306853378998887
CD59,-0.03403462798624173,-0.04177775641924899,-0.09796008026988762,0.02071704281730233,0.05918537908780613,0.030873901802390673,-0.03994100452178563,-0.03815594180177408
COL9A2,-0.016631131255217736,-0.002902954563921844,0.10678056270291379,-0.04885487726555904,0.03715953700233784,0.08848410454256385,0.018693983883775248,-0.03682036065355931
DLL3,-0.09230306526688797,-0.03047162548305781,0.10596385914115733,-0.029278509060118058,0.0914379254373973,-0.03282726365194008,0.013351990269989525,-0.028147511781682677
FGF5,,,,,-0.03319361495088868,,,-0.02218555228923658
LIN7C,0.09571534330217722,0.0009042045655543235,0.04865196925402929,0.035504446974516025,0.05493242073105961,0.05376366828601318,-0.011092367879932463,0.06582698123218646
GDF7,-0.025248349770679367,-0.009482214750416553,0.09149137467492287,0.024705152462049653,,,0.010424571221490521,-0.02821005249136182
PSPN,0.019387650687315912,0.0065709454567337055,0.0015528592370548263,-0.029551029495288855,-0.020532969792683126,0.048717707027414216,0.05646341594727789,-0.007753324330299826
ANGPT1,0.02768901610363202,0.0052717054958655776,0.02573020586628269,0.007736729901056097,0.042530923460676134,0.02538537281137856,-0.007666282314585663,-0.03062861009444848
PNOC,-0.04808364035341588,0.03715408612376,-0.0839545611049113,0.031972313056768904,0.013944781042694606,,-0.016656809535054586,-0.02041105456258903
L1CAM,-0.07037977218143622,0.005868782002390038,-0.05200544003298128,0.014049814387628699,0.01549060810874605,0.10539536238038714,-0.00030492888203516766,-0.00796800704917414
APOA1,0.11730504796399939,-0.019755736623348112,0.006891724019650574,0.07095930467157088,0.017744667699871472,-0.010336084125963558,0.07453880209482489,0.014903746867459705
PSEN1,-0.054973451177558016,-0.03892226511177739,-0.003038808231080154,0.0192281913772105,-0.03335042948748389,-0.0871215794594215,-0.02380771040191495,0.023302117385643317
CALM2,-0.0829131138516558,0.006307722452853285,-0.1356584702792034,0.013259602835907719,0.011529413801751388,-0.018506316427384747,-0.04160902774438135,-0.03412970346784726
CLEC2B,0.04322753772802945,-0.022583314284340586,0.005632164535927658,0.0056298896624177724,-0.013935043675015626,0.01853269906298345,-0.027946223635884667,0.03521165589994002
NTNG1,-0.051009675040761066,0.03793373781537392,0.046171566926318866,0.03184756912215097,0.08274442442146011,0.05986469963657693,0.005292197857197732,-0.0289199668736082
