,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916inf
PCSK1N,0.06846891564293718,0.060058522331426216,-0.002465313328934747,0.06635617972040783,-0.07260455176392451,-0.0352808250794515,0.026427239810219535,0.08858037451760108,0.002430121235065395,-0.004972186117306919,-0.03733815768267464,-0.04090551245326253,0.013784833851220623,0.08486503132113841,0.041567396553745216
NTS,,,,,,0.008903443898362453,0.000593253704238572,-0.006354316654276278,,-0.012827776730450104,0.055533573685153235,,0.024166718862535942,-0.003645728435581423,
SFRP1,-0.006038850682734068,-0.0688324584681344,0.020160763182523876,,-0.017898187471504318,0.05696587336771195,0.030802926024021998,-0.062115953495236624,0.12174549852412521,0.04009761666341033,-0.025328158955522283,-0.04072910993042145,-0.009210921621360021,0.016379825925987607,0.07779649915107745
CXCL13,,,-0.006007524284976951,-0.016778593714576358,,,,,,0.04549056762814756,-0.05510362685675049,,0.03914570781042342,,
MICA,0.051611408804094455,-0.030587816930826395,0.03299058051884987,0.03467812316897508,-0.03106498384844569,-0.02044622232852956,0.03681998705345312,-0.012547091401099811,-0.02090319277085349,-0.04507755194959979,0.062108832285836135,0.0009691879968709577,0.01186222946107509,0.009321264694034999,-0.03079591523287721
TG,0.0681997380398219,0.006974979182234861,-0.021731477756344958,,0.03988018419593811,-0.017943649543463995,-0.018913914673860128,,0.059711444077757234,-0.02819621525249613,0.018497710211225083,,-0.031022822427525718,0.014412913619904677,
ADA,0.03600529362286742,-0.011527781217029026,0.00472656470028083,0.08604119286984838,0.04447109604814511,-0.02438702818824439,0.024642213294969465,-0.0801072560721797,-0.00035956104441175926,0.0257438824958165,0.02345174654030735,0.023114072994327613,-0.040925495147514125,0.07086812766728341,0.2609315619624375
LAMC3,0.025946986583622447,-0.028830078861259014,0.05637215469770152,-0.01549878683257026,-0.02618447710849983,0.042366552572955504,0.012802561028886527,0.011667028101639143,0.015643413525963854,0.005332591413457159,-0.027979770985488726,0.02646240701692298,-0.028858677875381156,0.02841943571485115,-0.016359820552075847
CCL7,,-0.015923526567681024,,,-0.013964699656426365,,,,,0.05094493978277026,,,,-0.01577285195766089,
NGF,-0.021328916443381526,-0.027339904368929347,,,0.05235989718822941,-0.017123054456740432,,0.024226853626043852,,0.02299535538832479,0.05498031184048662,,-0.014111618050285147,-0.01937479869757932,
TNFSF15,-0.026386531561888155,,,,-0.015550376072141778,0.016103395787330544,,,,0.028218831465986634,,,-0.00691925371496689,0.06447387222833759,
HMGB1,0.05375333333853145,0.017629479086902447,0.03503470937699849,-0.06270351413991711,-0.02028713909971019,0.034627822600222444,-0.011459417211562031,-0.07154256641186427,0.0045303640777357565,-0.06956718424955322,-0.015878341987734,0.013863611275973357,-0.005679341550883216,-0.04635726588539206,0.11873929437333156
ITGB3BP,-0.0426959052627017,-0.035423095479443716,0.04401047692829068,0.0021736570361346633,0.03130481763702533,-0.002424852289257933,-0.03452800171222421,-0.011314851258982283,-0.009354259611649486,0.03663434269825089,0.029325834238308583,0.009534637246145752,-0.01137683781877259,-0.014904356928467135,0.050193136077603846
AANAT,0.03957560603484624,-0.02310261445427824,,,0.06602128372769202,,-0.014135979784730345,-0.03387785126542107,0.1027967583684122,-0.027901123484756492,0.0022454146290199184,0.1076027439612506,,-0.016688335133488226,
RELN,0.011222980741197817,0.1564852631916627,0.007013780649458802,-0.026022288068071175,-0.0245599351503247,0.03481893565609112,0.0764843736765008,-0.0423696490222042,-0.02692384208020308,,,0.0627044511247311,-0.028273588160864244,,-0.08082872415225731
IL15,-0.0375079991463696,0.06830590742507006,0.019061605942881397,,-0.003557390137982344,-0.014794133587735035,0.0310648682432089,-0.001610027717270145,-0.02255525953509922,0.08736040401235497,-0.0014148338811939738,-0.03744912515194684,-0.02373215354032717,0.049800832419789304,
UTS2,,,,,,,-0.04662956892913829,,,0.03389530288133342,,,,,
BSG,-0.08163772371989339,0.03415584208834144,0.0035905936131986884,0.021392568852691946,0.009681691708971017,-0.004514723209165918,0.0396433797879279,0.03613109322874338,-0.04200595212283329,0.12344359361549438,-0.0014849040232547206,-0.01533295456981946,0.01777579706096242,0.049282804818919786,0.0037879722587962753
ADAMTS3,0.03466580733401636,-0.017522249458192935,-0.020466194616356535,,-0.04745066022052908,0.07372260499085874,-0.02270311210200873,0.018177025407379217,-0.0017229210697459329,0.031196223860383492,0.09098767513730797,-0.046594471375667836,-0.019876097558088168,0.07398379205902783,
CD34,0.0978541844666608,-0.042502955357640565,0.021765194136325664,-0.008651789023131884,-0.034638949264535965,-0.028940178516607,0.0019931229473262786,-0.040886090108245114,-0.02324258930703992,0.10155859078879946,0.030975637485499915,0.01752636786884909,0.002387559399317148,0.015795796809415386,0.02412113244994583
CCL23,,,,,,,-0.01608450105592646,,,,,,,,
PLAT,0.0416702333988759,0.01877846988785657,-0.030470670372573293,0.022189120573742144,-0.051921428458791746,0.02262856604135638,-0.04723524551092124,-0.052030935930314486,-0.006416634271284553,0.053900554099363,0.0730001234459104,0.012097383483306091,-0.034635289347472696,0.027519490456578664,0.020883464552257373
NTF3,,,,,,,,,,0.072594661203671,0.004530724943618953,,0.03436887491568572,,
LTA,,,-0.015981397049311955,,-0.017898186634198975,,,,-0.0078331720747192,,,,,-0.022459984097210506,
CKLF,-0.02935255200747307,0.05792874635367932,0.06231878930760114,-0.013800065252204428,-0.06150457072765889,0.06598578769460166,-0.028488751988785335,-0.028185781814016833,0.03634978085633499,0.10975302781579281,0.07975356665928779,0.060011410375776626,0.004382354671731054,0.027401985460120855,0.03996146289254884
CD24,-0.03157990236258699,0.018895503082175868,0.09220652077842237,-0.012682095959882964,-0.0027652687882283506,-0.005508075345118932,-0.02625106518065364,-0.03318600350951651,0.002247655863774135,0.02550752262252884,0.05273351228026799,-0.06048969277377986,0.04691924046385576,0.020007256530933267,0.11984896196260883
HSP90AA1,0.012073033630664304,0.04666083705460445,0.08051200758851014,0.012548845401283643,-0.015536841040696858,-0.038051864346802605,0.06901003006285489,0.09059318778173978,0.08085026713939589,-0.08066838002594427,-0.17029118866811008,-0.04280155271542908,0.05040827230467208,-0.09819315834977552,0.021510544240758912
BMP4,0.03489824892977103,0.04228935599086444,-0.01694121770185669,0.0009968681979583768,0.07333250099505619,0.02411636671834065,-0.015622666829697568,0.010971624940540053,0.01669089509551606,0.09894872807843165,-0.05523617730170366,0.05146870166158043,-0.025112953130100334,0.03602540917030295,
SCGB3A1,,0.027240785256870625,,-0.024699359424103926,,-0.01888497317842987,,-0.04079729925944612,-0.015738763765559896,0.05526027751442565,-0.019980237506689667,,-0.016889019228668745,0.060222502049097994,
IGFBP4,0.010828173990426378,-0.024996197152056237,-0.006306677073332024,-0.035581309951773304,-0.03924746068804003,-0.021930601760147543,0.06474655352325667,-0.02046603017289072,-0.012039702879707062,-0.026875642089596637,-0.09912219842357328,0.06110428460359885,-0.07669744878372071,0.00648054203213504,-0.029258480931008277
RSPO4,-0.02605545815662078,,-0.012578293769514816,,0.03694480843918499,,,,-0.010066714576443599,,,,-0.02160401198923619,0.07205910421394314,
LEFTY2,0.009309707588957064,-0.06969126767873311,-0.016177672920347243,-0.06034165955345382,0.013731223241943796,0.022492509368943692,-0.0446843457437859,-0.036034629563305595,0.03494943208829654,-0.011263399323003973,-0.03437306663751412,0.018475119162761646,-0.0005356759664110531,0.01553506542031039,
PF4,,0.02583169057354077,-0.014537252715389493,,-0.012183925329243934,,,,,,-0.027400189778852183,,,0.031554395462840695,
ANGPTL2,0.026505351367016147,0.009462177297352228,-0.01760392752500646,-0.05155446266622776,-0.04028156988198998,0.031198041814169533,-0.01123948030098602,-0.022162473980401817,-0.061645622668041224,0.024023285668446012,0.07213563326534324,-0.006995484018060937,-0.010195611251670698,0.07623939662569447,0.08241758555687329
LRIG2,0.027121289624656406,-0.06143096598954299,0.008402943279806329,-0.044102555355488134,0.04273285646651918,0.002478012141638389,-0.03771729972198047,-0.07819267471474392,0.012321955392702947,0.050671021064810765,-0.010307220539936945,0.0710498545106047,-0.05555468374260048,0.08483513360752891,0.06400895938203961
ICOSLG,0.022463895169582197,0.008177595313709384,0.03247159573366197,-0.0442509568782953,0.03973524680930389,-0.003026946165221418,0.017468797342485704,0.058606374628569,0.005987253213569029,0.038164389930368046,0.03923603744949202,0.0030682258995813035,0.04442490888564441,0.07321101135738389,0.016391087927187697
WIF1,0.08687725979936328,0.038151094685733675,,-0.04005283098130771,,-0.02435409389761739,0.12136362415899413,-0.013379499131529877,0.026907793440384506,,,,-0.03043184438579559,,-0.06428373107689518
NPPC,0.0741189884751686,-0.03586415677874845,,-0.030987390920367168,-0.01890027281993122,0.02867027466703643,0.0385755815834417,0.0469179881089799,0.018283710436734858,0.04527450080327768,-0.019777296281052528,-0.010843362101966859,0.0694719687715653,,0.1306433187447654
LYZ,0.04459847427598879,-0.03309964850472093,-0.0005711779940615767,0.03499674504750185,0.01022451653315007,-0.0022981423448922215,-0.00799502962139538,-0.10276050772808146,0.017230464680212706,0.11017395319225284,0.09570220983628085,0.017277514307829242,0.054933185087666536,0.0018088140262470433,-0.025481331843735983
EREG,,,,-0.031146864117458956,,,,-0.037069103119499465,,-0.006744668943422969,-0.032966527943818165,,-0.011191535588541347,0.014630507410136969,
SPTAN1,0.059455739596852006,0.050255703245450416,0.020874834524210725,-0.05435109786699988,-0.0723883743133266,-0.012559698341673288,0.010031210589111817,0.09012871133684314,0.02246423541229862,0.010459158555549374,0.033578779965492134,-0.036528784519962276,-0.018410841526599154,0.05228598874232195,0.029143913732227786
PTH2,,,,,,,,,,,,,0.07060617516945836,,
LIPC,0.049752306836656886,-0.020222497397065706,0.08493366645196869,,0.030531226989686692,-0.02294190778080762,-0.01586477267611559,-0.03302882286903333,0.011847669881548086,,,0.0214488658652893,,0.03257159099886653,
COL8A1,0.01828321925100206,-0.03716157502119878,-0.03243350836283704,-0.028849816636522793,-0.012255285235211804,0.0935863418885845,-0.004138530677631926,-0.03658578477629442,-0.07547973557417671,0.04200372290983451,0.0343443957504436,0.07001807864076791,-0.01811676278911764,0.05916326387227818,
GSTM2,0.008659092630005761,-0.05329555369156766,0.01910124279129584,-0.03845006912436748,0.021217390377182736,-0.01251043201714966,0.0012620405802852193,0.0454716153606455,-0.04141767612266966,0.05721216882526853,-0.0004805788491426549,0.049010054255265466,0.05315749116303481,0.07509947006631257,
SPX,0.05824242440269171,0.011854973459961896,0.02368187016430951,,-0.009991424930059268,-0.012339810364837547,0.009282209116968136,0.048316605822342526,0.0024337904769918036,0.02267488553488163,0.07768933426468246,-0.09353672007014144,-0.02186635407075657,0.026793204179949643,0.07640493493250333
MFGE8,0.03755276272503033,-0.020756323988984113,0.001112006688256334,-0.015641115499399463,0.013029648533613668,-0.02427363617046641,-0.01971157372630166,0.028498374871311728,0.06340971155267436,-0.0071583452002064235,0.02585370863001409,0.06835384895260067,-0.03587207323495943,0.050141812997552715,0.14339543728831305
TGFA,-0.05484359609804957,-0.015898398904216998,0.034438680210693295,0.05225801686965189,0.009895036327105287,-0.02630621163046396,-0.028544467643153104,-0.027924172284074532,-0.042118039606803964,0.02455455513728947,0.014951480773242137,0.008120667009393023,0.011826059991912595,0.06147175274458125,0.044313343717792206
SLIT2,0.0779283745921446,-0.06124773490193388,-0.03790543367654327,-0.018358297422224532,0.002615496998047526,-0.005332108126400686,0.009300570954811118,0.006303438044949721,0.05758607439986152,0.12108002750549227,0.015818912131505585,0.019992028275194036,0.023931462496001178,0.03574425126545228,0.09700250847528029
PLTP,0.007545557222419551,0.019894243106249678,-0.03875506596269768,-0.020668699635416544,-0.022624970157084295,-0.006605036945261998,-0.0314698997152916,-0.09955379382761531,-0.035116736795970716,0.0071963164114214155,-0.03001578577206668,0.019990184545187965,-0.006902499970760272,0.007519034895923019,0.05006421862951022
APOD,0.02316265466320014,0.07141294809174537,-0.028044987048048454,-0.03953536464995625,-0.031010701404297358,-0.0205844802096037,-0.057591391648426186,-0.009037551248576619,0.04109213778036323,0.1005426335120291,0.0761342607142003,-0.0050213758460865,-0.10236480284698184,-0.03905037348891445,0.06872303414888788
B2M,0.14413142394080886,-0.033505693798735706,-0.020629878385831316,-0.004328358559549196,-0.08580123643328384,-0.0047716464058981615,-0.055331450732006626,-0.10383667333409387,-0.05146632458366409,0.09862220516636451,0.04424524323326924,-0.02505434805526782,-0.02466522962272806,-0.019512625603460048,0.010581021979292058
OMG,0.03624856268868523,0.026920890661503046,0.03477131216919325,-0.04689160741669906,-0.03892835341170786,-0.024413193442239096,0.026139845376920146,0.03288267758016595,0.029455895389405844,0.06154744572960979,0.10253689224297227,-0.004786683066862278,0.011490357810616329,0.02741201392683238,0.05143072357000777
CXCL3,-0.022322537662222145,0.041244140576801674,-0.029887208098477787,-0.004383147880490722,0.08142101704636483,,-0.0185598657210113,0.054334672912444475,0.06666567903269445,0.023284565549278526,-0.05138845570369346,-0.021176665273766444,0.021953454723398016,0.02657876905346328,
CXCL10,0.05968722024382206,0.02265994544597884,0.030897693344950967,,-0.00042890252091805966,0.10637029870430623,-0.04173128125651192,-0.057148317678676376,-0.025813480504140292,0.08940468528716347,-0.024321940307383688,-0.02852948521519702,-0.026802410610789792,0.04310258783738506,
RSPO3,,-0.0216300854350657,,0.07084918617069282,-0.014149252298685931,-0.04910636077266785,-0.006648096549730421,0.036152667070126335,-0.016974534550381212,0.019847478797095086,0.07728224314815434,,0.0043594545809943685,-0.016006360506319692,-0.033963249929181566
CORT,0.05408643283586207,0.024781407770977343,-0.025962612784078236,0.004783722365882596,0.00829028659721342,0.06045073113199058,-0.04017361559213154,-0.023023169135085536,0.03364865390427555,-0.03626503047853615,0.0008179435293684708,,-0.03186889518707846,,0.09155622721372594
NCAN,-0.0013422469212633565,0.0028782707916136683,0.0467867185144392,0.044903294024994586,-0.01586866666579885,0.05200837777211183,0.02740111005586229,-0.010970989237697723,-0.06729419034442302,0.015641896257554577,0.11317406089207277,0.003172330276345629,-0.016733409072099633,-0.031636697907069924,0.1200994768596662
PRG4,-0.039868557525332055,-0.023947082282419645,,0.05671897801486386,-0.013964701832617511,,-0.020107922961673116,,0.08349642715792409,-0.022697802447673027,0.027264590223962947,,-0.020995602256354384,0.07903727644256095,
ZG16B,,-0.0220811231141687,0.05727873977098067,,-0.016207744356170922,,-0.021709734165173588,,,,,,,-0.019958208948764645,
TGM2,0.03632985056811273,-0.027995866416410255,-0.0012949165055911335,0.054241794156972244,0.008103778371773888,-0.004605320900290012,0.03146947216285731,-0.04969498619794405,0.020298989542675866,0.011353278859174133,-0.024710344816661754,0.046575647185699544,0.0363395233027347,-0.01976249049591441,-0.002054998786219693
VEGFC,-0.028606486026724432,-0.018861073813816773,0.06289749745666262,0.06841850742740006,0.021631713320226457,0.03368827002739954,0.06294860394963041,-0.04188792512130064,-0.020253671699896208,-0.040929981834106025,-0.057450053462410944,-0.02793237044835008,0.03985500898625827,0.05206837883058468,
WNT6,0.026264092628008776,-0.012018431329757983,-0.016177673344922233,-0.04170384313436192,0.04130347759422638,-0.015174222665003055,-0.019773509214228234,,0.06041134860307474,0.026704870049170888,0.006870133723584362,,0.00039923704539863606,-0.024103639182130855,
NRG4,0.05671522707598181,-0.014666127004606323,,-0.01732012252986143,0.1685390687352106,-0.01857605367248318,-0.025045693660440353,-0.020976736068835183,0.046441197225365695,,,-0.02242929001507144,0.00013750237643697403,-0.016006362300250817,
PMCH,,-0.01690350064402812,,,-0.02354917174613395,,,,,-0.03232662485145992,-0.017631380432167526,,0.03535682341814645,0.0801160569086429,
COL9A1,0.027591291632033468,-0.027545498884987505,0.012081828015257402,-0.039409670916400616,-0.017750748318271524,0.005381706267355316,0.011616499341443041,-0.036555222586838125,-0.0013373969225129625,0.047909727114346844,0.0831281958292391,-0.0071410981691977056,0.05302820948375423,0.04642556787046234,-0.05525816935260587
GDF11,-0.030624574998016577,0.021627243379593843,0.07678939520575181,0.0039042309000338095,-0.04452194753502012,0.03545446716698533,0.028994979253373618,-0.014597897825125437,0.0029757345000603615,-0.030874373088123495,0.031065859425184063,-0.03010194269904139,-0.026900170483390513,0.0422515879750311,0.07532737620923016
RAET1E,,,,,,,,,,,,,,-0.017558865715103237,
IL24,,,,,,,,,,-0.024101952516822452,-0.026963307683597077,,,,
SORBS1,0.09213815899771399,-0.04241170613405022,-0.022070816584870014,0.045887330720386296,-0.06231610848171976,-0.03933679949159627,-0.021155665202065826,-0.0026943411250939255,0.04026900831401466,0.10607329281582205,0.05768911162145636,-0.04104144824762462,0.014628007254602627,0.03946864679516168,0.027986698016651535
DLL1,0.04982394861331442,0.0011348870204271905,0.03142057994902838,-0.033035572484261436,0.011717956820037803,0.05372775091397797,0.06755816031562854,-0.0896712103318659,-0.0350902073486071,0.06592679580390781,0.08170222891039082,-0.03144939179687642,0.001147465476643512,0.04408811688119351,0.11497775233391652
TLN1,0.03843059593921404,0.020890510722013617,0.013332889040997307,0.02653579795128014,-0.04035008537605629,-0.01408339697036943,-0.06685747087094439,-0.07929452333201649,-0.04383827271378698,-0.02702704875804552,-0.025397162595666965,-0.06850578405928204,-0.04822093355672198,0.023274129776411686,-0.019502896931203353
COL2A1,0.1418402647752755,0.021203807820759524,,,,-0.016439381783873705,-0.0185598720371393,,-0.016490866336934328,-0.044069754699135696,-0.058526281158469834,,0.019776451565575955,0.01135695149910661,
SHH,,,,,0.06425874982809039,-0.017943651461705967,-0.014590314563576817,,0.07167503533831993,0.06914276621529777,-0.01072147641411813,-0.05648468222409701,0.0008526451547730199,-0.047413761342391995,
PON2,0.03523375301555277,0.027146351436514997,-0.055791053585169934,-0.06313403446827917,-0.08626491859094516,0.031365506041421305,-0.022316939983817646,-0.03764779973112667,-0.02689862371735438,0.07749051622047981,0.11533177984658116,0.06491768539861255,-0.021372052394575652,0.0510112606048609,0.025431727776686702
ICAM5,0.10707828710748311,0.10617706991800167,-0.02082429883763334,-0.003988251825620777,-0.022617386653320828,0.002193589289513175,0.01931484525954295,0.043502099678330824,0.014133624661737086,-0.03919602816784987,0.05418948820398016,,0.029005766726143283,0.05172672562616816,0.040356431033684546
HPX,0.07725612756873768,-0.0397902867112393,,0.06663890696410946,0.03638590662877085,-0.015174223688611467,0.045176262405186164,,-0.004341375538234402,-0.05291234638820201,0.0363104941947922,0.035977775912630065,-0.005907866016340904,0.03415113865728214,
SFRP2,0.09502123425031973,0.010250586607308734,,,-0.016527160295411403,-0.02560564063003466,-0.01481250308128285,-0.041290163163682385,-0.030875424046906734,0.014225462010491895,-0.005948083585257392,-0.00043049996220455983,-0.016432362998658568,0.07113869699161955,0.18790833250991873
CFC1,,,,,,-0.011242353308118702,,0.02077489832009023,,,,,,,
CD70,,-0.038677739933237795,,,-0.017826876229826503,,,,,0.09177063114525183,-0.05971111884605271,,-0.0037876133388720827,0.14380004322157494,
HP,0.024981536019828113,-0.011980702071134625,,0.03365406859051345,-0.02380989387587421,,-0.053640087601056124,-0.07949591237735339,-0.04161912371318359,0.0500009039885968,0.0009619235805121894,0.04014420294504934,-0.03836536055275366,0.14954579147343505,
CXCL2,0.014221768490295302,0.007850360331136523,0.02339376618505259,0.05270708376646901,0.05937941742202252,0.007961911099016547,-0.00820289323834693,-0.05949374205890732,0.0021685842034921883,0.04624094411021795,-0.04128557761673376,-0.016958485647508154,0.032458878785707586,0.04153456507062956,-0.004994228870539981
NPPB,,-0.02054288837037811,,-0.006607893604827569,0.11258564224620551,,,,0.04861264137985149,0.03867437988268818,0.03664175564788144,,-0.00456194395182196,-0.016236671921507084,
CCK,0.13641319033964913,0.07518315581053132,-0.03625175985950995,-0.054689940372256225,-0.05905244339358541,0.016702011197246833,0.08464536367845639,0.15092817174461085,0.08007147430981063,0.04967406071448261,0.07484785570976851,0.017386995477316165,-0.02345929405654418,-0.0010292989736568083,0.04712896927711391
SEMA6A,0.0017731641007321397,0.03315996909393312,0.0742892494001666,0.03603235484437291,-0.04649020412747183,0.054129153917189,-0.026827894637124663,0.012754744915836377,-0.053246179078622675,0.020422809993892326,0.06243762919291976,0.07164030485075905,0.06126512834507667,-0.004790517310145005,0.05377191815596989
IRAK4,0.04390128827109919,-0.0886149050149245,0.019284082573980548,0.06550370811951554,0.003706167690710593,-0.019570795246298917,-0.0596327697833495,-0.05587404354205803,0.029351688090124336,0.10037359870785247,-0.027594597743181286,0.02500888999615693,-0.0576596210438205,0.0677679122273449,-1.6144289656636296e-05
GSTP1,-0.026985581940889302,0.012702332065613922,-0.05578366209478295,0.015268387071103794,-0.033545240986623655,-0.03512170074963428,-0.05249042811472431,-0.09058560557940604,-0.021655726272266515,0.12222517405754156,0.1454747867404367,0.0014918759536203577,-0.03816704582056277,0.027838862817479382,-0.07643970837123822
