,MGH258,UKF243,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
LAMC3,-0.03929120509179618,-0.01182483540674881,-0.04606613991847113,0.10703894065426856,0.016629120521408223,0.11165079685026544,0.014580878456704163,-0.03074491936850403,-0.00333518726368427,0.06109379435263452,0.0990540609178842,0.09768999439059593,0.03766543583427348,0.024884173696170145,0.04404993595960082,0.004080095098793643,0.033639156590947884
CCL7,,,,0.045031375790950526,-0.02238624957632647,,,,,,,-0.02736235562964274,,,,-0.02197051677461023,0.028141508798423566
NGF,,-0.018643769863923448,,-0.004235358771076407,-0.02389499143217535,,,,0.04139626214837897,,0.1438193701028636,0.10622382732681852,-0.02258944375079722,,-0.04591060105695836,-0.024919683867051182,0.024640739160755043
TNFSF15,,-0.023064670127658938,,0.02274658553524545,-0.016574703220307112,,,,,-0.028950083841849505,0.07409765828508814,-0.026675224211361315,,,-0.019379643144306128,0.0912957370819052,-0.032876049642330304
HMGB1,-0.029369728471313108,0.008741754880619557,0.042257935806976954,0.05011797963729775,0.09185006687635754,0.008342890654020128,-0.028680740184599436,-0.05070153487670809,0.07934299865016056,-0.020883630213898663,-0.06322230254753008,0.007418974850288531,-0.018829663318236125,-0.015113751116941342,0.03559850825274949,-0.057069591301399616,-0.0077360244141016585
ITGB3BP,0.011042678178657023,0.048253055294746924,0.02221384427840927,-0.028515220367349582,0.015971264706401575,0.09934970552809609,-0.05320054557093496,-0.029802985284155665,0.0685380055411518,0.01962044993303442,0.05018980804523268,-0.025601688067473677,-0.023349838277404566,0.03660657403029766,0.002684347093382655,0.002808898401861878,-0.014405616018251547
AANAT,,-0.03341600953499396,,0.0762933875866365,0.08414603805680686,-0.012078130329598365,0.15869450532280377,-0.01144396960828087,0.04452214129022912,,-0.02255216415400469,0.013263499147954078,0.07352546117681154,-0.033142845876558184,,-0.0049453050283152205,-0.018137926492966614
RELN,0.05503421872080696,0.0036873359796609716,-0.03901152136452725,-0.01305698201447883,0.041509216834831136,-0.035441024021771794,-0.00836614912867714,0.09817415479169253,0.009522603540575257,,,,,0.03658023712224748,0.024579228487444264,,0.00855995092451799
IL15,0.011692424752905217,0.0025688205089655003,-0.016956344044590167,0.07012804920032549,-0.009633942082704126,0.033889272337140494,0.0033681570142829035,0.06003826205918205,0.020803753388982247,-0.04941744847462655,-8.719991490713845e-07,-0.02306575273028623,-0.04843090169787417,-0.029054080588908588,0.009253962965548142,0.004719018020668413,0.03922590479744041
UTS2,,,,,,0.05288149990920908,,,,0.005885906206874532,,0.020814128486962073,,,,,
BSG,-0.04979213975031098,0.02313387262043494,0.03514154746256002,-0.042532143044381826,-0.0035728727959875514,-0.04084362729699666,-0.031310956982234364,0.041583571445345434,-0.07159954800098493,0.02605994446747701,0.05863998589861587,-0.06181838925647974,-0.02078008306499294,0.006355639442387716,-0.04468582945723707,0.037102037688336566,-0.005944095395801244
ADAMTS3,-0.054163490936219125,0.012665299360918189,0.017641275871706715,0.0010453475357940982,-0.025231937636662604,0.08162561452482342,-0.06097108392072987,-0.0352866025171538,0.0012875208746497685,0.052927171269804965,-0.02700392066894017,0.07457743816836557,0.04014087803763043,0.0246616222052763,0.037839363819142914,0.011630894350757474,0.052219128006702115
CD34,-0.0005518928287166212,-0.024691884791766622,-0.020427029892157146,0.05288692003725633,-0.01625380866697337,0.07339666091380263,0.055539689829500326,0.03312619999220965,-0.04092193178663865,0.003599091055335042,0.015208631149156772,0.04157974382000351,0.09809390372714748,-0.016966065754419654,0.033238166816390434,0.02078370807042295,-0.015040168591121198
CCL23,,,,,,-0.013742995038086648,,,,-0.027317574539316613,,,,,,,
PLAT,-0.018025715958353585,0.06455638437570584,0.046451143754983125,0.012834641250844523,-0.0241116753884199,0.06110330528702971,-0.01736846439779063,0.01387555381221603,-0.024457098392760234,0.05919648658011309,0.08355046905240676,-0.0014561103936207222,-0.01176759922062759,-0.06163300802614095,-0.010782029807227393,0.024843136930971645,0.03265876075805424
NTF3,,,,,,,,0.0447933334108846,,,,0.007688399450600258,-0.032711688957724104,,-0.020275676969111443,,
LTA,,,0.005054181049628785,-0.023244476362695873,,,-0.01646480661481566,,,,,,,,,-0.01807659301663004,
CKLF,0.006467435853613721,0.06573292309105319,0.023219337668377485,0.06390487711568013,-0.024669800618152857,0.05028317368063765,-0.050580382820078845,-0.02169637463296919,0.10375765000602129,0.03809226574696698,0.051794993100415014,0.005063949772315202,0.05501764331898688,0.035894489060364354,0.05365007475572844,0.015815744479655464,0.008985902091392418
CD24,0.03652979243178317,0.03095289868663358,0.024040774904058322,-0.023207746693773505,0.023511062870788448,-0.028001246799045525,0.01997086254312202,-0.051876596361009705,-0.08176781170111744,0.10371995952881136,-0.02204710032413782,-0.021074114401807224,0.009425071338966674,-0.03868421315945421,0.07862049950181514,0.03230442648716724,-0.0018073601181018914
HSP90AA1,-0.0527882834344268,-0.026305416053116325,0.058217682483286314,-0.0007415542963646692,-0.01782441849799712,-0.08161822348667004,0.0363694046934939,-0.018648593949466424,-0.10668935357352444,0.05564480776580109,-0.0971197488437785,-0.04861342302629576,-0.08590983787378734,0.03229365427712108,-0.021039594815919303,-0.11001420396134635,-0.006202378397537171
BMP4,-0.02300688515347054,0.07980817989111103,0.12300787102761997,0.003936337688007182,-0.02898338974003069,-0.01492297293570124,0.06270640983815191,-0.0420831876592841,-0.04589436932956934,0.05634671947077569,-0.0040634228785470855,0.0036593041594587647,0.015231515169662023,-0.021412333834473288,0.024363367629665133,0.051375639722024156,0.04809079146087671
SCGB3A1,,,,,-0.017785501752213925,,,0.04909121035800944,0.08133694043677174,-0.033712081571992736,,-0.001153056965566745,0.043931659477558546,,-0.040245403680103424,0.04507097951880437,-0.00911497274416294
IGFBP4,0.002288870585506655,-0.006733076008156964,0.013329898320633067,-0.009256183346137495,-0.010660926196266608,0.09843318408323284,0.02477477375091402,-0.011198844794052996,0.05452188312560481,-0.025212537449029924,0.10709213802084509,0.052398484455631944,-0.021889009918864288,-0.03742607119836633,-0.04039130729803721,0.05012473586290742,0.01975123167720893
RSPO4,,0.026465574883727992,0.10562254849118342,-0.017938589186506693,-0.020527360147190785,,-0.01914957244494397,0.10562328428301,,,,,,,-0.027103566628315996,0.05118536175154758,-0.022871206847986787
LEFTY2,-0.0006850439327104002,0.06890806554965302,-0.02406774365920145,0.013132895731073319,0.005501543460593798,0.053484618383570603,0.003910694459852319,-0.0105847409846695,0.09358215442943538,0.024954866935501526,-0.004217412042145789,-0.02322754138748296,0.006515260246709227,-0.029316579501358797,-0.03685905999437927,-0.03150302221020723,0.02525600433156159
PF4,,,-0.021627268247151245,0.05705533315731414,,,,,,,,,-0.020986888223412135,,,0.02060384145400723,-0.01791631048415341
ANGPTL2,0.0031145771747450664,0.0538024386255045,-0.02269748170492973,-0.027699095954692072,-0.026775490433537788,0.08886480253572217,0.04518678206557426,-0.04406110007395486,0.13888097037439917,0.06102752553937708,-0.042381494862674854,0.06969380653763793,0.003658024424731508,-0.020240173191360556,0.01096924456665735,0.0676330205072623,0.006560229165860435
LRIG2,-0.003706069206083279,0.06484753177773539,0.029959672464751334,0.039610592789821666,0.016983123568992956,0.0269071486801983,0.04451081697607051,0.05659720021795264,0.03395822933512828,0.012432047285037093,-0.0021912740596233453,0.008042084147635891,0.0667332533425369,0.021672173974276635,0.01006952242712948,-0.01544157251114111,-0.0020109684804649037
ICOSLG,0.01908246801738423,0.04380101815734622,0.010646338554625375,-0.05061782170428877,0.03357385629946567,0.014955628543188281,-0.021785516763976033,-0.002696314318776808,0.023410230668271494,-0.03967587159294077,-0.015736740559303453,-0.0034679179535395655,-0.013593719949861712,-0.04130951815336747,0.005106936468410048,0.08509485238624274,0.08051063690213892
WIF1,,-0.010216311433539611,,,-0.013654785049440111,-0.06358565178729716,-0.01477727148506892,-0.018165133468497047,-0.007395610238424616,,,,,,0.05052395162847021,,-0.0007159368078158108
NPPC,-0.007189688360526214,-0.03329686631458359,,0.03421657636278955,-0.035808398135972454,-0.032519887962096525,0.01059149462593508,-0.013415445128380336,0.02203218385173228,-0.02413601465892023,0.07606856295593735,-0.008058233982231046,0.047829984783046446,0.03202581088861431,-0.06069628084721915,,-0.043057032531412125
LYZ,0.011075141269830141,0.012442724507672696,0.03858791483328598,0.055017322240103035,0.023030318380595848,0.09907868329856408,0.04199920500520821,0.02259054051459054,0.05644083098967606,0.03333591204166715,-0.007099576973613461,0.06342441165998865,0.07231300298219183,-0.03363924193316059,0.015217393857900465,0.007086038647938433,0.0014223189979296704
EREG,,,,,-0.028886866243444526,,,,0.09239039655838252,,,-0.03967046516838227,0.029730700502172185,,0.011284692912797174,0.006341078493212239,0.17483365892565675
SPTAN1,-0.032576406187829074,0.019940689667083462,-0.022377734114803816,0.03411696790490285,0.0048857213257286185,-0.030975498544252782,-0.02447216208893875,0.01615514362190012,-0.09438015294723845,0.033384302633578375,0.04027940912205464,0.03459782431145825,0.03233793141864387,-0.03843444346836784,0.00902046944993325,-0.07325113551145328,0.0026402497855032413
PTH2,,,,,,,,,,,,,,,0.0013904141661034,,
LIPC,-0.028621520840342182,-0.021222822409829253,-0.03255019457208853,0.0025155561482431833,-0.019873863232674743,-0.03159018068876011,0.03628350668334938,,0.06449141075152602,-0.025593772883862793,-0.028627670964267063,,,-0.03859456751877119,,-0.028947176710468595,-0.02793941374822323
COL8A1,0.025760160316487778,0.02076868620815037,0.05129354507359246,0.03748596731227412,0.03420130932352943,0.005089993706000846,-0.06259158376946093,-0.024828281368425808,0.08105601254184763,0.06658008380305738,-0.029931141239128253,-0.0485896888386699,0.029034126542531933,-0.011261463371700548,-0.002102073106562385,0.07402289777763768,0.03304148322545718
GSTM2,-0.04831005679978194,0.041819186271466274,-0.010106710127436599,0.013946977667463329,0.002444514286444838,0.06202943986313571,0.017206727003417004,-0.006079411106307376,0.049259818617415206,0.027938986148432238,-0.03470831453734013,-0.028821349331288427,0.039788617189805094,-0.02314798653295702,-0.05754194795167725,0.019062999790573302,-0.01829359639122357
SPX,0.03082836432791345,0.036956145465973325,-0.029172276063744725,-0.013055068504039157,0.04906256562999519,-0.04235910862949365,0.04566146122351714,0.018427969922029577,-0.043493246258683185,0.06419980868405802,0.029260364242696454,0.004858955315640209,0.004994063013172279,0.040464713639166976,0.019153569269852736,-0.002681862321926593,-0.011643384606631751
MFGE8,0.001611994827216068,-0.04812520572509487,0.0001699573444892909,0.025057865334564396,0.02998106325818473,0.039256855151442005,-0.013566899224468496,-0.008048744455802996,0.022381305662764764,0.05500337618148363,0.05140471532138905,0.01314319601431068,-0.015509197058822482,0.03780830249511264,0.026866060734367734,0.08072740974067177,0.019394776520630038
TGFA,0.09150466186604254,0.037822297567642695,-0.007560227803670516,0.06871435646497426,0.00718273571954823,0.04738428104252011,-0.024124362641567018,0.007106567286053245,0.052883984701704,-0.025754078186387495,-0.009424455469294357,-0.001933346899097254,0.039242336748482376,-0.06192331359767673,-0.029286643365285626,0.009767165854844419,0.030629187510339172
SLIT2,-0.023006881472023896,-0.046155635942282364,0.04257475853247814,-0.05385442203752548,-0.04260091143450951,-0.040133776884696395,0.030409054853903328,0.029583390140413154,-0.043304237387049076,0.0005686720810355083,-0.0305389874699036,-0.0456152408315405,-0.005543602513975529,-0.014577344459060936,-0.026539899445862294,0.04900025885756522,-0.02349129472387636
PLTP,0.04860356530736792,0.013512667764404325,0.016835090849415216,0.06066647896980784,0.0025463764007120607,0.1256491842302296,0.004080772013025253,0.011720154563414381,0.09834288743896102,0.08163567263657806,0.08883418021016988,0.07261835412665349,0.0264627979055177,-0.0034363930543798177,-0.05130253140965527,0.023367507695393013,0.12073224964073927
APOD,0.04732994011590699,-0.024079765814041375,0.044490500841873025,-0.034714855250255076,0.052802226511796356,-0.04782338634655593,0.0768452708236658,-0.023842483089498247,0.03425795921754977,-0.05257588393530875,-0.0804062280858066,0.04972019121687197,0.03395300853567266,0.050751525561843196,0.0037970599219939484,-0.016512303113519398,-0.020587245177955182
B2M,0.09641941963968655,0.08590578214416959,-0.026600715341173958,0.06654909613990441,-0.002756884909527709,0.14206967534587323,0.03161673760695538,-0.06078048610231447,0.13231694230152014,0.09125384355216083,0.09215177787198231,0.03364387706573861,0.10555600756607166,0.00239446338819869,0.01141599046508207,0.03141049818741139,0.03196614703047456
OMG,0.06391594031783696,0.09688466649832228,-0.03573096134273807,0.03230053282903622,0.037144502661380634,-0.08979229350689452,0.028247867296001684,0.028397155665283235,0.032820536342897104,-0.025856226962247177,-0.07336249404527749,0.03176286817173046,0.05910112364679561,-0.008845357831809801,-0.00015359005443761896,0.07001492159999802,-0.024640818223309012
CXCL3,-0.01800282217395401,0.05765212736484923,-0.028171563352051107,-0.03810135564737948,0.005159698760498495,-0.015858007756941333,-0.008217275721147136,-0.010326775364220027,-0.044321348249281155,-0.024874583530199446,,-0.04949780404388806,-0.040026046086331354,-0.02333920802707975,-0.07603086228234028,-0.012379459751396446,0.009834590722264752
CXCL10,-0.008006547053667074,0.0864741845258524,-0.013044774125981462,0.04351331703922242,-0.03071754431017667,0.11347726557238956,0.011379084097347307,-0.01568712761250227,-0.04827915730885792,-0.06281075608864713,0.06127851441616562,-0.02825514243834802,-0.028149501132796875,-0.015268218964075332,-0.03703452965754156,-0.013988603153364056,0.11080230678287327
RSPO3,,,,0.04387601030822663,-0.019873850979463148,-0.019832930436524118,-0.028922534452710428,-0.0009733816531085659,-0.03262230770036343,,,-0.03879478255441203,-0.0008930719601446379,,0.03936645923385782,-0.022295778401302365,-0.01286375119829291
CORT,-0.022355339672282103,0.04079842477374863,0.09539668037379037,0.0019488456330511467,-0.024119918820993708,-0.0343253295719258,-0.020098039193600564,0.04429006603085659,0.017975621512452928,,,0.02628768257444532,-0.02196171184403842,,0.006841607076781425,,
NCAN,0.03979171699796548,0.06370167447320646,0.08064133099464971,-0.04903491381502809,0.04339349739223281,-0.0017584378222434659,0.02740683855881051,0.004685607283668167,-0.06551040166908305,-0.041842188852755154,0.055131408475890514,0.03219326211096097,0.035980880391139655,0.05050731348306222,0.03747079154868259,-0.004611988101979807,0.021666006652830767
PRG4,,0.029997476999999835,,0.04741153260238239,-0.01422960595050574,0.027977948066285247,-0.024472393375533055,,,,,0.08664882044461736,0.01807640230779654,,0.0009876227729245504,-0.02393163267847395,0.05665166344083338
ZG16B,,,0.02446578487920501,0.13700307913001217,,-0.01854933316692649,-0.013082783505624002,,,,0.0872162274191966,,,,,0.0025790647774735507,-0.015284450336412254
TGM2,-0.01830947806516387,0.024449867401494577,0.01974234767257588,0.054166857028698036,-0.022234313069475767,0.05606767420307293,0.08122013133048704,0.0220789829297313,0.00450735643518291,0.03785192256932019,0.14682623881246157,-0.026272588987063222,0.010499073697391803,0.010123500209382609,0.02609684425714774,0.0010865315617878623,0.05241751246815298
VEGFC,0.019718345658648755,-0.0016330298968851736,-0.033416976740785274,-0.01447884300965809,0.011711036808775976,0.1313755819951071,-0.018430221721154365,0.02531506887631789,0.024581263693533684,-0.002136071395915934,-0.032496290394868045,-0.035213779795215644,-0.04400326640712698,0.1714865290263632,-0.028933969356777375,0.011123634697638985,0.0018493203308548507
WNT6,,0.006830059838762953,0.05778925615543907,0.0213577327638224,-0.0011931797658342237,-0.016894974738216814,-0.009745068239037558,,,,0.09639604877871141,-0.019323873194484288,0.03375478790590855,,-0.002887666604020172,-0.00788816416592716,0.015226853962954147
NRG4,,-0.023633794929369456,,-0.02207238712865104,-0.02026821283482473,0.015051312800297412,-0.025134145405563676,0.008234972665970536,-0.0396345617828873,,,,,-0.024719749724237364,-0.03579096295339415,-0.003062452704684475,-0.023750885608437144
PMCH,,,,-0.02038145436455415,,,0.03992781082079495,,,,,-0.011931615609703239,0.08050259926194521,,0.10351565898007142,0.022959854543058635,0.03656086972167933
COL9A1,0.04055258661843754,-0.020149471869499856,0.024419416771234947,0.016340573542806196,-0.01698020187791935,-0.023724089422045118,-0.0006569631515811241,0.008355030145659172,-0.031047482168011425,-0.02255838054982858,0.10532015239823052,0.020721589613516764,0.08363003116553698,-0.028634317178234142,-0.002902870785780621,-0.05036715641401374,0.06848319065720389
GDF11,0.018512840084709315,0.06688715996199575,-0.047313784792122,0.010515381710802138,0.04399582708760501,0.05206796276335774,-0.031094983146194313,0.05716992910012573,0.049605654707016604,0.002528776333090523,0.016686955542726794,-0.06075984608456681,-0.0333123516869691,0.043923064472013024,-0.10049181246528142,0.09948830205073879,-0.006664403077042549
RAET1E,,,,,,,,,,,,,,,,-0.024458313231643037,
IL24,,,,,,,,,,,,0.001158019769071882,-0.020652262960816126,,,,0.011955584862951306
SORBS1,0.05771010456970765,-0.033588236351745994,-0.014259294880212783,0.008953682426709509,0.024947007767044428,0.04326723911078961,-0.026276565342420462,-0.015546104557101906,0.0341743938440507,0.0492150134444579,0.033657780256257895,0.0019908156266854036,0.038528278771644484,-0.011914182932079123,-0.016609845822553537,-0.003517166797719852,0.0020073216145884277
DLL1,0.03471368395257751,0.017238897472174733,0.012005870806862396,0.013887456847840027,-0.0434500117070928,0.005227599199725434,0.03191236031290028,0.01672733325484991,0.011659634446837245,-0.030231767747397834,-0.02881091366009291,0.050822005368377075,0.02420688598430263,0.04194909448832411,0.09445065641735878,0.09268467077923154,0.09414587158378097
TLN1,0.023428509029114943,-0.025376833519255286,0.03465130144841687,-0.0004991603514334901,0.08373347079501799,0.07904932626842093,0.033050497436466195,-0.05652759834949752,0.08749132399450506,0.02746753624629401,0.062304033570544474,0.020261402730885378,0.022016290656166213,0.0646417623919289,-0.010908877496504937,-0.008920508136203468,0.02530380048389716
COL2A1,0.04389360816148841,0.07363249705504506,,,-0.012709196770556354,0.008276566676662737,,,,,,-0.0018883715554288282,0.040128584675151575,,0.0020633948704655044,0.02282605155535761,-0.02139827311666817
