,MGH258,UKF259,UKF275,UKF313,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1
COL9A1,0.01924978185210107,-0.014098217318119798,-0.02358613314064561,,-0.005125740120197784,0.07933126740533916,0.028111762578774485,0.054760898030793786,0.04740328556753804,-0.008535436076054092
GDF11,0.002939076367949715,-0.0020871881740693564,0.007297383458591817,-0.001117882873627782,0.001393355171626876,-0.015243711098558705,-0.029376345765526213,0.0727210646965156,0.04869737748989236,0.06718749971259473
RAET1E,,,,,,,,,,-0.0156320341044908
IL24,,,,-0.014727072067046201,,,0.19616801622199767,,,
SORBS1,0.016204887729009992,-0.06833820349412867,0.04468003804723802,0.02356040154920318,0.017917286341006023,-0.02530897143094508,0.0413118013009299,-0.04499173263401343,-0.010184757567134486,-0.024738038657886985
DLL1,-0.021255051910260774,-0.016679189341833156,-0.008937266627784204,0.10697640687142283,0.007039121679514466,-0.001681006823575281,-0.0581218503229836,-0.0015193441714669634,-0.031685745066608435,-0.007330555259478681
TLN1,0.02622358403411331,-0.03487140331758894,-0.008838091698127236,0.021335014815963838,0.06012245922232385,-0.0404809615436152,-0.03672252854489474,-0.015549118505759548,-0.011619930650916373,0.012657216167208461
COL2A1,-0.01952084039294663,,,,,,-0.03208217321994432,,0.015773197197715833,-0.02073841194562016
SHH,,-0.011525595469229728,-0.00935612273892843,,-0.06039893386739391,,0.014217316760922858,0.05197482289332142,0.03811027096077681,-0.03322407178439561
PON2,0.031718044168181234,-0.011770001882222655,-0.015557016398991557,0.08461754450795533,0.010972813203568249,-0.03996843800862872,-0.022749800283392914,0.04208533109071126,0.015675197153665974,0.008445527551140697
ICAM5,,-0.0018736554898437553,-0.028594737491286815,-0.013940983208023321,,,-0.04102155594635811,,0.028123175311172283,0.028460963249557884
HPX,-0.022173373364707687,0.024860995216925273,-0.017270174953677556,0.013958729570400596,0.18150098091428973,0.04870496125029962,0.013146144746628967,0.054463030048412346,-0.0233909539738798,0.1217250800738357
SFRP2,,-0.013126404212281662,-0.014393561480136374,0.14373320064171216,0.04730923118613095,,0.046722994933426694,-0.0003255561675912621,0.013557665944019115,0.04652177955384917
CFC1,,,-0.011075345754871763,,,,,,,
CD70,,-0.02231115233241476,0.007807176475075174,0.09971960294418006,,0.08043785964126166,0.03170088422191524,,-0.00814739335432847,0.05417138650038751
HP,-0.03873369199984603,-0.03248464097131729,-0.012087797716224116,,-0.01821978324725735,0.059264454352716885,-0.022527849733440533,0.014821204611416665,0.002339961429309736,-0.021316285081136765
CXCL2,-0.04413241548302043,0.010285567093340537,0.007706672333288815,0.15255731368889489,-0.013958388262664078,0.047374592347504595,0.0476995399762668,-0.07039720554835242,-0.011516582278657603,-0.05100433304361283
NPPB,,-0.01236774403016045,-0.00969802316274604,,,,0.09794535875394429,,-0.019125561548563298,-0.014454931960787796
CCK,-0.010093942093757467,-0.0034486983803243628,0.011736222262875972,,-0.02637696299977597,,0.02983474198837457,-0.054875429036732,0.005461295214468537,0.02571695854653939
SEMA6A,0.010437305633520808,-0.028689406885867925,0.0019884049579887214,0.026274262685705013,-0.005380515996132403,-0.06697630786015349,-0.0032191346198862003,0.021295706412125623,0.007959095076279971,-0.04528015420683593
IRAK4,-0.035186047471545585,0.011688507562630429,-0.007768425834720667,-0.021227176677625265,-0.0009640528861534986,0.026950874216168298,0.03621829043375807,-0.024964096558516523,0.03979403804686137,0.01746644017235081
GSTP1,0.05812341890503946,0.02516407101147153,-0.025102784823583902,0.0176719417372148,0.0007952739497472849,0.06383345282501221,-0.01525769208905967,-0.007445587787304776,-0.009582478304117858,0.04165917194364768
VCAM1,-0.0420348368039701,0.02838184714816654,-0.016340326493999816,0.017107183465402808,-0.015107586000168339,0.029856464193603403,-0.002557012055279701,0.09113301358162086,-0.041294653860441115,0.007006961475357362
NXPH3,-0.006062189653521719,-0.030705540375849112,-0.014490289127209675,-0.02779049401680811,-0.02651371161114154,-0.09155289990495909,0.07233943833308801,-0.010087153852016735,0.00704017588984809,0.02311157111832896
MTMR4,-0.027104892806632197,0.02189024774474447,-0.017272175965033186,0.0019358856053912344,-0.00542847440466644,0.06891781353400861,-0.0065889749584774155,0.03837426754819421,-0.03697104889699451,0.020441644925937825
