,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
FGF7,0.0548916501529019,,-0.023020960742633084,-0.0037895116531544448,-0.03934253548202667,-0.040477667210763034,0.1403477536458604,0.04883994934272738,-0.007151601936526245,-0.0005636521915939109,-0.01306698992253035,0.07877866491646429,-0.05282006549616281,-0.02500277130684853,-0.04127412644436879,0.08427450437226847,-0.0194516281785751,0.09257187690361689,-0.014693202785818453,0.08655085677968989
EFNA2,,,,,,,,,,,,,,,-0.044614320735584696,,,,,
HBEGF,0.05864768066374978,0.043308615684795944,-0.007795482248989357,-0.045076249610443465,0.014105768219364675,-0.05033333866971659,0.13646052074107054,0.020470949364837086,-0.03596724100554948,0.09124593746378704,0.02774057374488938,0.13807940214791148,0.08373859569483819,0.05162014162879849,0.06007074210698588,0.04526146093422397,-0.00043378413273817884,-0.022404109144996763,0.09361092596297599,0.10891469433736732
CSF3,0.008964982148041735,,,0.020198238201847855,0.09279234550215246,,-0.016491214261560305,,,-0.031133946315095893,,,,0.04898313381172987,-0.05363805550699954,,-0.024446156694191506,0.07781792464995343,0.037066575654424914,
PI3,-0.054469730768834,-0.017071756252071454,,-0.043955244088351365,0.04463116167898923,,0.02038620184420818,,,,,,0.0007328595237809211,0.04253431438578453,-0.08499523298999888,-0.02943809919475326,0.050713224509157356,-0.09795845317199432,0.061186490969166826,
PCSK1N,0.00584473849762139,0.00866494166029997,-0.011747368784716107,0.002415013642233507,-0.08546423778701935,0.013483704941745691,-0.09860735888058555,0.023636937103643358,0.06670899567104455,0.08716949355101014,0.09715881837034578,0.057493263018862546,0.0197363297927993,-0.04174294595792023,-0.05730524978754323,0.04558389303833041,-0.03908788615427378,0.14245162344131534,-0.10086708279303032,0.18881434932026447
NTS,,,,,,-0.023988958976246158,-0.008240167668338518,-0.03316255928136849,-0.023435786709967543,,,,,-0.056998527166620495,-0.022401181726329586,,-0.0072876486506645785,0.12274546981810604,,
SFRP1,0.08421617092583589,-0.01089102193574823,0.0029152606104358714,,0.029658199979422872,0.07345600770837106,0.08602205451519844,0.0014316055797836482,-0.022621948855422326,0.04690170180405812,0.06018808876182818,0.17264215943913033,0.027013849622175606,0.0606147307117498,0.05752615960612846,0.060644195182386014,-0.02533371863892838,0.01051083427935444,0.031763258778088055,-0.12127912883866639
CXCL13,,,-0.04952855691007751,0.010954505668543606,,,,,,0.08977816383261136,,,,0.11671969751781834,-0.046837231849199405,,-0.009311412424462163,,0.11003795590471467,
MICA,0.056065729148182655,0.022680119952628808,0.045820143513742785,-0.062406979368375186,0.10171793569511725,0.025392726569613437,0.17013395044830615,0.016864370701583,0.03289589704503955,0.0013180436136293729,-0.06622677783806256,0.04611809276096737,-0.08417479638871661,0.12732942375399314,0.07022233500038522,0.13885319734080095,0.028735439498054467,0.03639378760243725,-0.023576044298252302,-0.014337759031843337
TG,-0.020430617273839515,-0.007897217188546002,-0.027852137570884093,,0.01691020514073076,0.04074001003397254,0.06385876876922063,0.058805570075083774,0.001084241768068937,-0.017214883212480412,-0.02019204354143955,-0.008470950600135705,-0.06817326395407913,0.0429375114720742,0.08234398165863169,,-0.029202182591109557,-0.0508010531685075,-0.02193559534622075,
ADA,0.01482238495508834,0.04646999790346168,-0.009914149528542067,-0.014350722978802662,0.05889702205762853,-0.02514482187938207,0.21295193576905974,0.03641433636545342,0.01822924995976524,0.13937131381541623,-0.024709599630140088,0.06116275186406268,-0.00968046850604221,0.0633262753809098,0.057230635866847825,0.07489644068161953,0.04522674411661223,0.06490997572122069,0.05257101728595678,-0.05508766616887315
LAMC3,0.012098886371482619,0.03696544812947032,0.05563187646689634,0.01646518465232443,0.000231436018770564,-0.026808777656764905,0.24744239775798318,0.030965384141130252,-0.03509061562539745,0.10009775139871897,-0.040431469097804755,0.01763973483670223,-0.01122098762576624,0.09369291613809243,0.10985104205431864,0.06960018860540933,0.054686290845290156,-0.03882704380793204,0.06098403426041231,0.10918624989782008
CCL7,,-0.018190121216599176,,,0.0491144549903922,,,,,,,,,-0.0052543895092555465,,,,0.028339173619142045,0.036539998342335234,
NGF,-0.026490173101715857,-0.0026033154068400744,,,0.11820972951048371,0.02858189983663996,,,,0.07909987259160424,,,,0.030332313508531362,0.08677462365289684,,-0.04193707239661937,-0.00017500581694084236,0.09025039378126708,
TNFSF15,-0.03277165019065957,,,,0.005806189557780009,-0.01994513071638355,,,,-0.01982670897126347,,0.07184721832061623,,0.06678467622867583,,,-0.004131604070152322,0.025027487128440537,-0.0077137627753164064,
HMGB1,0.05876952455340651,0.010276583547243335,0.04074609569306177,0.11085056202158498,-0.015732389963516995,-0.057164091233647664,0.2472718754543219,0.0320037796598962,-0.07151629769213062,0.12239257391324306,0.020156424103088617,-0.04661187581179397,-0.04839793861085087,0.024331201306817995,-0.0199639403001374,-0.05610791679041166,0.0645936237261044,0.06930431168052166,0.0099357271305643,-0.05594735626528706
ITGB3BP,0.030979009010463875,-0.03703094430531799,0.004929322912509761,0.017985376253625788,0.07943911143575182,-0.04192164359464556,0.26014800198573196,0.03426471074380689,-0.010303980874137988,0.07430483816825237,-0.06549449878974399,0.09666199986326239,0.1376594183390833,0.0077630051239425905,-0.021370277697473402,0.11667333674491136,0.06630813646594086,0.08776573329027175,-0.0020971679447144456,0.0718285101287609
AANAT,0.005852395337065109,0.004197529262649389,,,-0.030761045970445502,,0.0018404591841421486,-0.01596490973728071,0.012245659334025582,,-0.01803139196978534,,-0.07216924815108115,-0.001836138318267353,0.03223246555543144,-0.03458986065906486,,0.03853958899762831,-0.03558460476811924,
RELN,0.14807486898687378,-0.006667464201616595,-0.029438705353381753,0.10862207148748992,0.03362462702796424,0.08311353293434276,-0.10887701616106712,0.08050532864001021,0.03401152560469787,,0.1025563067325078,,,,,0.04775651486471715,0.04222533132855495,,-0.04140019756338723,0.029992888274322064
IL15,-0.04658433506098986,0.048351889735353835,0.0010763679793511789,,-0.043260353518876055,0.0774625374198042,0.1526468857932013,0.01680743268952271,-0.0034505416850756586,-0.003058197275253526,-0.01672328265459603,-0.027318705305130836,0.1529623137479207,0.10278595897249783,0.03674347385415957,0.02216070696732965,0.017579423664653527,0.05413420843553203,0.05780628652506402,
UTS2,,,,,,,0.11556028220684816,,,,,0.09642888546144683,-0.03230199323293786,0.035552642863115685,,,,,,
BSG,-0.055443656268716564,0.010618651195012138,-0.020153659787015804,-0.03135713611666183,0.015824681478697006,-0.07266062231911184,0.043094002035052814,0.07077954411466916,0.024240948015509682,-0.06293211715030683,-0.09116354990602117,0.18206054787338347,0.0046036849904768865,0.12338249466823291,-0.015272589008566683,0.16749425213729247,0.032079371781600245,0.14148541179436847,0.1969313587529159,0.08188612677183173
ADAMTS3,0.018105442936261554,-0.010326073243417049,0.030084746764495338,,0.012657301317704341,-0.03677161561426669,0.32816280819773425,0.06429925674074723,0.06176667505659843,-0.028070403901211214,0.049056241023443616,0.21749187176903692,0.059736017516584694,0.027926456208792243,0.06648423945198288,0.016822837850038106,0.060555943730973436,0.1664799318021925,0.06382648223729274,
CD34,0.05761482306345056,0.05705377209805958,0.025736795962492492,0.03696050323375382,-0.01933770066576599,-0.024989950675804683,0.17073794231195577,-0.004289506229448426,0.008107768208768582,0.08168449623586616,-0.018371613624057828,-0.03858884723695979,0.05294633180378059,0.04167769017482963,0.10585843734127785,0.019746720924651507,0.005300348615772379,-0.07472636858098913,0.010540843168756186,-0.09141627781708402
CCL23,,,,,,,0.0903134739534939,,,,,0.03697166482018025,,,,,,,,
PLAT,0.0954439456946079,0.033287626538427026,0.044216966310255255,0.07835984400273345,-0.06538561263606085,-0.025544049562759442,0.3379690141732945,0.057169306177714464,0.050682176833933966,-0.0378195828440008,-0.049170328528238376,0.09028023328849263,0.09161939486029723,0.03345404374229878,0.03378622332355593,0.13545609423754973,0.06482573422490338,0.05221888370972069,0.08270167052390869,-0.035800468125858215
NTF3,,,,,,,,,0.008401454579852224,0.04016581063170417,,,,0.010947659526747037,0.05326993517891367,,0.01807784704738546,,,
LTA,,,-0.020482549515639673,,0.04849907701185315,,,0.028325890739122683,,,-0.016723284718925844,,,,,,,-0.009352736191457796,,
CKLF,0.03832695530096499,0.030839059654148036,0.04202910075147326,0.03657729514236254,0.023524082625097847,-0.005521647239856667,0.32752541654202205,-0.023987974095258522,-0.04825597034223881,0.05679260446351953,-0.025320150024734766,0.12275861526507732,0.09344800374916398,0.02588697340066992,0.07249069686255137,0.007872647801140468,0.054410494144757696,0.1222346740421255,0.07762996024643727,0.07110768060361917
APELA,,,,,,,,,,-0.036549475390006615,,,,,,,,,,
CD24,0.039176961266780184,-0.030389940626352623,0.044747326929196286,0.03872650532093452,0.06618103237048446,0.004625023166019939,0.07173164147216833,-0.04042786772833013,-0.06297246326856071,0.12033294172792755,-0.009217126610715026,0.10490633007972533,0.027781911251855224,-0.03388898158631059,-0.01562583364234546,-0.03147871579667613,0.03312158507631318,0.08424777474777571,0.028308741896056488,-0.013908847076033933
HSP90AA1,-0.07954337158787263,-0.047572481575330526,-0.008867816488571033,-0.03861244736419443,-0.039874595309967495,0.02431478950286656,-0.3337612391881641,-0.10386116584077121,-0.0038592497309180673,0.010803932780401223,0.1170312675344788,-0.034397486494146125,-0.044834338775927955,-0.09096582295179495,-0.18164935487614312,-0.026725505581242072,0.025276091217251384,-0.0463367328045633,-0.11790927187997116,0.1198964228219383
BMP4,0.00822295327152423,0.09743740009226652,-0.021712703173747273,0.0012387758153261156,-0.0068320186418005645,0.003291746066518913,-0.006896928493787643,0.02570105327985563,0.017274863226398388,-0.04857057426899039,-0.01424996583537899,0.0879807164484905,0.12127430473141737,0.050190059386941294,0.017152441267001092,-0.01082398471078152,0.04173790583624975,0.02148992130704288,0.04289332677354506,
SCGB3A1,,-0.018800739573864727,,-0.014489254216858297,,0.022813409748086846,,,-0.015918363922484927,0.027123741327679196,0.10356911663339732,0.09728715387178453,-0.09639142735706549,0.0628257714874891,0.09207208259826195,,0.02697662505303979,-0.006730388137848665,-0.03993997085198629,
IGFBP4,0.0188757642465881,0.05805286041867817,0.04792872095183094,-0.019946036047285093,-0.013051715968703692,-0.09448327047223504,0.2746345229486918,0.007059369069687266,-0.00039969521985165103,0.10692524996187112,-0.0010632665018184147,-0.08444217904254829,-0.03309198011031751,0.08964398049156778,0.05515743847723832,0.09508842063949494,0.03553215950131031,-0.057979533150439605,0.10068744405554163,0.018940450901083917
RSPO4,0.0593710617285515,,-0.013234562586287153,,-0.02870770434154012,,,-0.027296091274138193,0.10641356322893866,,0.03828832090954748,,,,,,-0.006950767216271124,0.03566639110524596,0.0034781929428310612,
LEFTY2,0.00997018370058288,0.0379341722853681,-0.020734106387344995,0.0902241109187326,0.007350670159523015,-0.04285282857541632,0.19782018848242058,0.00019125682244222107,-0.017454678173731156,-0.022417858799992706,-0.020644708225985305,0.054983111459493215,0.04977922639202087,0.007390195442771463,0.010528100521323133,0.10567341289669792,-0.023644209621423433,0.08946292259395994,0.04678785308919223,
PF4,,-0.023225948245063407,-0.018631662654120213,,0.05997106647508194,,,,,,,,,,-0.0008169873241237508,,,0.032361153157835505,0.006929177377352333,
ANGPTL2,-0.0057105677774248916,0.0653998690621031,0.02216262101816879,0.01126987978369745,0.012675265853460979,-0.03909739443135242,0.2372132305477011,0.03323621633382522,-0.02966416138249322,-0.03311284333982204,-0.09652159955520191,0.11746044277435942,-0.0053863194066431554,0.11540876303967544,0.08296355222621256,0.055442374775706384,-0.03329161300273363,0.016605197100514623,0.08479148999857998,0.060586664509079444
LRIG2,0.020277506434894205,0.052798545150989536,0.006427012802154923,0.07146837512187632,0.053592171093097364,-0.04256562242646863,0.12351822049597726,0.06489685288442679,-0.016815882258077,0.0859285394745558,-0.04648527220050278,-0.03263259211009522,0.017293153500989887,0.03826903843867491,0.06413019578618254,0.07740624383148145,0.026817428155947974,0.0899049766381896,0.028430643191009377,0.079845514587622
ICOSLG,-0.020899193436813783,0.026738679069758044,-0.0052338101735237685,0.0831244336406425,0.025156751358427314,-0.02118103022296416,0.16066205123480534,-0.03609617516962691,-0.020526235386755694,0.0384791979027317,-0.02625117393086933,0.05808076515317875,-0.039504876280992925,0.03463002190230181,0.11429060831285759,0.005656110660741674,0.01225562263456613,0.1286134818777872,0.026295569326558084,0.016162758179551266
WIF1,0.008422993459372018,-0.07355059285667423,,-0.06588092675539424,,0.061735745647566606,-0.2097420347390688,0.04436978940248215,-7.428352412331926e-05,,0.13238766720918296,,,,,,0.02598308298789065,,0.021285659954230627,0.22138541288554223
NPPC,-0.0016807529754369677,-0.025185125801551002,,-0.05096963139804567,0.0870279406860147,-0.004379968418872404,-0.0019459608411732116,0.00803477587240852,0.004130384861198699,,-0.06121038371031028,-0.05566963913543012,-0.07331105314310485,0.02415934027671512,0.08397179911392944,0.042015158135010625,-0.01928967190469509,,-0.007360017812761855,0.052457836166341636
LYZ,-0.030687878438725842,0.0343372058974236,0.0016185868300243524,-0.022659267340271516,0.005958907890496669,-0.017346897854971132,0.19542141165342863,0.03191880627787906,-0.037771458521218326,0.016275671871989587,0.0009345640945544383,0.10548670328498191,0.04767609882286566,0.13313825951011388,0.02290238920729512,0.007614574810328521,-0.029713901378219512,-0.03937190211916342,-0.04858772026249856,-0.07638411926753058
EREG,,,,-0.05123194099663448,,,,,,-0.02621418689475089,,,,0.09421508037579936,-0.008522472632858281,,-0.017610395564974374,-0.03045288850668221,0.06912932148690536,
SPTAN1,0.023713505816812638,0.023220575059325604,-0.002783855471373983,0.07881590850854443,-0.018386170581473547,0.03364320172897818,-0.08929991608583897,0.028817206631137376,0.05247934700797664,0.07959888170912334,0.08308894771022889,-0.026080108459726525,0.0424091374910941,0.01096547298113665,-0.0274198194810185,0.02569382926275894,0.02057640166907163,0.03380888103055175,-0.1172639770790566,0.1937112285973229
PTH2,,,,,,,,,,,,,,,,,0.10712728950751864,,,
LIPC,0.04048817361704983,0.013101830925331315,-0.02804164805571374,,-0.010242284596826296,0.019018418066573707,0.19206533793756053,0.005360604833526821,,0.013088910854631182,-0.026270716421674285,-0.031726284780887515,0.05698786962565458,,,0.027787409626698675,,-0.016653555284634098,0.11600310680215162,
COL8A1,0.04581589716329201,0.028752561447718743,-0.007899620893431082,-0.04745364085810387,0.03101988198396338,-0.036461242378783634,0.14419051247342954,0.0623303201762296,-0.02004916574694478,-0.14490653767391679,-0.04750613131082414,0.12017791374534174,0.0336672911707773,0.005377615163622956,0.04242865521095113,0.13589211388711134,0.031911882753192504,-0.026805786288702036,0.0510730090726577,
GSTM2,0.020736686707702706,0.0045623734074457314,-0.02456041360659733,0.03663398200150533,0.06341439180720422,0.0010186216538416693,0.16916978239166955,-0.02991607462135529,-0.01969736266900804,-0.0014839161347396386,-0.04647169820784345,0.049190980011798245,-0.0007316794836331958,-0.023674945829783023,-0.014971231827782133,-0.03478519882388965,0.011574921903493959,0.06334546317180455,0.007848308609119826,
IL4,,,,,,,,,,,,,0.027130926895028457,,,,,,,
SPX,0.048068184610880325,0.015575620843964442,-0.018958049875155727,,0.03384954772042218,-0.014325742807927535,-0.052390514537790735,-0.03533847673245062,0.008434807256367931,,0.12285688043599026,-0.07380078563251981,,0.014054776707452105,0.06252403385641643,-0.13716066726196766,-0.070369712041098,0.09535579767215424,-0.06663674257067385,-0.09966655493925611
MFGE8,0.027732705404773322,0.03971813951285209,-0.00819660904847832,-0.008912051892483694,0.013619362441242401,-0.009872709808374697,0.07802003228722032,0.003761173504136115,-0.033791494346808726,0.007876304038439547,-0.0407613372881061,-0.01442054551066235,0.0743548016162083,0.06402824468888729,0.11101859423941388,0.10429074425538137,0.062173611481197225,-0.018395710513843623,0.11836348356005809,0.06419074433658777
TGFA,-0.032948760868710215,0.049004480749080065,0.038839491733187265,0.06624808162507509,0.040715912912264715,0.0276901246576785,0.09616138423788999,0.044994007593364575,-0.05311987259090601,0.06905356028300853,-0.06495764972224193,-0.012072086702651311,-0.02014181251482628,0.06683665988475389,0.09822083771413095,0.05091083568466286,-0.014047702980874974,0.1831050110199064,0.022759733779570232,-0.10440526667468306
SLIT2,0.048261694953731976,0.09928377894214158,-0.005424906315997292,0.005659655682557468,-0.005612453838364507,0.015080832081614471,-0.053740185176983535,0.02152763432715805,0.045628508984479905,0.029310408789139996,0.05226278280919473,0.07474258275131102,-0.03308793652908844,0.0563854152554803,0.17480079595073042,0.03737225002912486,0.05835686186550672,-0.012989010998168219,0.0298433118145334,0.20182277676826016
PLTP,0.011389502379929672,0.027748512436314553,0.07408298742868821,0.08193620902694482,-0.10850527502876131,0.028043036213029775,0.3117518226119989,0.0021531563258002876,-0.058114697866810866,0.05126606906411793,-0.040559032028582014,0.019286929329051954,0.11589341338125239,0.08074034288831644,0.04097763530677379,0.11240541100028734,0.010058709024399409,-0.006635329720455965,0.023528973543258103,0.028897400899158602
APOD,-0.0016141882764391224,-0.006786420466733679,-0.014866823381721904,0.06860850364149036,-0.02551193843427116,-0.009369407652201091,0.12874512718678424,-0.0017050979869138842,-0.005723272915524415,0.050107712945035986,0.06389640846489945,-0.13878992644630989,-0.0645825922003701,0.06431717573474496,0.07600145067459485,-0.062339787456510865,0.017932428040994167,-0.08537055423919764,-0.02001385276946419,-0.14464863252970803
B2M,0.055244211253479086,0.06642924075610766,-0.06508762768966818,0.10154593427703834,0.02598470074440949,-0.06566276983832801,0.3646580544026404,-0.09104733291947992,-0.11127069925822299,0.09884410451329208,-0.09436655557624504,0.18566915049065516,0.030162459874400704,0.1801383863198967,0.1331960860656363,0.17628201060081952,0.04580344440861867,-0.14420185657743853,-0.010752908912920614,-0.162402837351413
OMG,0.03188552948099989,-0.030536630863156968,-0.06068370428789211,0.0798451626996248,-0.00021136657096703173,-0.04211752835073693,-0.09190875505132343,-0.04544142838711499,0.04070984741478337,-0.016601588591428646,0.1013894098859415,-0.028235848848666274,0.0024608059526613837,-0.007822671441597732,0.08450878483743944,-0.07562014453221468,-0.04714905324453735,0.1723354915038066,-0.16422228998183336,-0.08065294949680873
CXCL3,-0.026400076215395737,0.008619857043052946,-0.02022107075209608,-0.039345826088771976,0.07008800776291861,,0.07592893122712863,0.0166555707517125,-0.017029282135098384,0.037223054573594844,-0.012043793356872747,0.06600862389326294,-0.008136637633412033,0.10584265893567009,0.03391398030809663,0.04582338404757262,-0.010355090521050027,0.022975560188416004,0.013403135502344555,
CXCL10,0.0952636953956636,0.04159693366136911,0.03145500941368023,,0.016270670553178348,-0.031205251427005018,0.313176958591537,-0.09230939696235611,-0.025868725965336254,-0.022621365145277753,-0.01913904515697886,0.24271979877732242,-0.0370094838738134,-0.03637334172211713,-0.038609592123362305,0.04755774541816404,-0.0421063910503531,0.09512875632871858,0.027142132684183935,
RSPO3,,0.027685949908092856,,0.04636957055131359,0.05780172000428149,0.014272361104768028,-0.07134249470260848,0.010345836069899103,0.03649650738662001,,-0.012585531936552923,,,-0.014094962596056417,0.09211524458148902,,0.00491148515623946,0.040648772852729644,-0.09558517392346114,0.008882461331355994
CORT,-0.01939763404288548,0.035154465634431274,0.04611126544005274,0.13283694544349858,0.053920148182460985,-0.02876317054389232,-0.0816029489487794,-0.022191224191702795,0.045422403239706484,,0.041600906083600064,,,-0.042364396911878266,0.06667163371590494,,0.017084622658494433,,,-0.032076291911367294
NCAN,0.06822248531536064,0.019953631794688984,0.019780424351729074,0.07840472607274929,-0.05779601167593411,-0.007309035090982295,0.15033598355979874,0.10396850568014895,-0.02548069206544168,,-0.0746322877745169,-0.05056270097664853,0.11295456700870012,0.017119233260835438,0.0776440694886304,0.11532100232930603,-0.02828106565114057,0.18629138170301568,-0.07328858240565403,-0.049624086585898175
PRG4,-0.04951611081440959,-0.004231181678165746,,0.019743124531748084,0.0744981593484297,,0.034509035978905964,-0.01861412392897625,,,-0.014714567299005925,,,0.10164683076085086,0.026498847940170905,,0.0018189885077691086,-0.022400500861681428,0.08775107221623733,
