,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
CEACAM1,,-0.01854773275406515,0.10506600857521788,,0.044425052447655225,0.0331702778741781,0.03963034784283383,-0.01836162348633581,,-0.04643476545444097,-0.026464624488613083,-0.026535772908870776,0.035928715328775986,0.04106380449545505,0.06384328054232905
PDAP1,0.01775566501306808,0.03772284349018514,0.033771393630913624,0.02196737619009019,0.03322878813157073,-0.0034814295536235197,0.05125091137212801,0.044538481442182566,0.007491904399651578,0.15825768832859788,0.11259117045930145,-0.004747659057204193,-0.01586569607141889,0.03264561474659447,0.05580078002965896
QDPR,0.015766762983282508,0.05330782775349075,0.057089026466853765,0.05268906523436592,0.004158786885984804,-0.021195606527055984,-0.06464660794480115,-0.01732896674786446,-1.5025713491616648e-05,-0.08032531406834238,-0.06878819464153592,-0.005336405151209669,0.06678413326893202,-0.02070601645977916,0.01963956020746696
POMC,-0.03697248511666082,0.038564619613108,0.06382783673254017,,-0.007869945142339392,-0.03576597430776449,0.011365352417720433,-0.013546473694648937,0.012886049381679898,-0.0653577475666146,0.09660250330058298,-0.04122815355915891,-0.016065665440195935,0.047733713052232965,0.05300297521544335
CCL18,-0.026259936515701125,-0.023145818012587863,,,,,,,,-0.03981538377362154,-0.018763853882592683,-0.019257984212169864,-0.034546581883747686,-0.02972165872302253,
CCL17,,,,,0.014488280674066736,,,-0.01456070453984554,-0.01838606948288083,,,0.2170953169675823,0.02329149400677465,,-0.012727509150862674
VEGFD,-0.010350487839597407,0.005864421600316945,-0.023080656226118233,,0.03840420741092327,-0.024550703960918487,-0.028658724388545137,0.056363664109148656,0.03275314196291821,0.15831975149446018,,,-0.021442927875965134,,
TNFSF13,,-0.017466582563698305,,,-0.012581997337993965,,,,,,,0.03739187315403231,-0.033646170766023914,-0.01517942047842107,-0.02073841383930621
WNT5A,0.1103691763744047,-0.02418608190628148,-0.005848751605761633,-0.02442704564869975,0.01859927534856326,-0.028986257205211963,0.06795455099421757,-0.00439036779109028,0.02415539086866094,0.02037478114185277,0.10065576492254696,0.06925474679770521,0.03829478248491439,0.012895894349105163,-0.012778136898757016
CXCL8,-0.03446079741745946,-0.06603235229746238,-0.02161135845601349,-0.12211064997831,0.059453949499019394,0.02022513727254218,0.027608895236235158,-0.008651441392851204,0.07724328842163503,-0.04619250584319099,-0.033036719002127436,0.0032798091934649895,-0.08726179998499452,0.004151439511298146,-0.026975567940319137
GRN,-0.020446000489141754,-0.034484002983668355,-0.01692713196225489,0.05713050647250177,-0.06629848335102156,-0.0005817309263494134,0.05060415390774818,-0.028663906301604897,-0.0298810364089745,-0.008031897783103975,0.0007936073466992256,0.08607701982074399,-0.0008498625071171605,0.05385533863730053,0.010610991699810158
MIA,0.1041994853492502,2.253324942062498e-05,-0.020526321552051946,-0.04210409396175417,0.08522662740652753,0.0614908547787223,0.011804229098010394,0.0011516835517007865,-0.014468585032009313,0.09538219777014283,0.007499092822260626,0.04390377615371153,0.06129975236332652,0.05266924864638707,0.03345492000713146
COL4A4,0.027294582318450777,-0.002889151553431876,-0.03451915915681081,-0.03203888887055501,0.05002420724843673,-0.00017656873926715318,0.006697456360238474,-0.015201826028453276,0.000524677167480979,,0.03530976901301796,0.08295709196683315,-0.010840005743714128,0.05518389906312382,-0.03737669331487568
TAC1,-0.037303082272340714,0.07357777636478319,0.09537759630679697,0.02252832332731007,0.006340648168661291,-0.04888193569929349,-0.09202174034158782,0.017641820387576074,-0.046393228855371796,,,,,-0.023321805666035096,-0.01673160496641191
RARRES2,-0.055779509915618454,0.022987688428015608,-0.013113505855379494,-0.029623355130775783,0.014544878870332404,0.030931604613603517,0.03735075143310403,-0.03059135799046136,0.06720128032510762,-0.012687043240027625,0.03150740893788059,0.014459949296924337,-0.05033462686932942,0.01925804255612159,0.013711939806127749
FGF7,0.04473016743092464,,-0.026050788347589462,-0.010644069965428707,0.012582679708987344,0.009902397479865927,0.07506180458178403,0.01588916338773318,0.03055319112552064,-0.04789007967099805,0.019901164366674363,0.04327529574204284,-0.023242952676125306,0.023089364100228583,0.007175529565815287
EFNA2,,,,,,,,,,,,,-0.020380067919387707,,
HBEGF,-0.014521995084400722,0.008807871228790152,-0.011945327303598093,-0.07926559354588159,-0.01754258515877599,-0.017762775932198976,0.04865576702087568,0.06875246024736036,0.037392400281584866,-0.06804620519620105,0.010392002752735519,0.08842326721937643,0.011432452456442779,0.021177430286550402,-0.06414023557717209
CSF3,-0.029784730367828655,,,-0.02242600432896087,0.030830327180962736,0.02034882699855093,-0.01783504395471401,,,,,0.09005613884544547,-0.014419804599963414,-0.019379404809657077,0.11052413809812213
PI3,-0.017830938343966683,0.003092796966363414,,-0.043695082474084726,0.10605013212016726,-0.0217627633443308,0.05857894984145599,,,-0.04304251729882452,,0.0018354710063576813,-0.07605820730577359,0.01827836797595411,0.029894373265995557
PCSK1N,-0.09035115063305485,-0.013886118451506358,0.1023465096334367,0.08846273005803533,-0.025810871932439212,0.03689088994087814,-0.05541479867963317,-0.02472797905389797,-0.059602506712749935,-0.0339805941770712,-0.04449789780409664,-0.025201709571784067,-0.005501439686290124,0.02179585665625895,-0.018954604168852366
NTS,,,,,,-0.00985506614489857,0.014742042829883591,-0.017366319138439,,,,-0.04391874021253964,-0.024829245368307693,-0.015619611652619811,-0.019843726304258586
SFRP1,0.031656992810483134,0.005753418912544572,-0.021741276250752967,,-0.01591567877672009,-0.02800810160637272,-0.011607085891489942,-0.023723675799476915,0.026952555635842482,0.052471304776386216,0.0326749807864338,0.0044392628639422305,0.008224581343245602,-0.024403181791795646,-0.01938260837787485
CXCL13,,,-0.022227861855214356,-0.016283932650276625,,-0.0008089649520914368,,,,,,0.056807079404534375,0.06007902969194382,-0.019590479941636357,
MICA,-0.016604597421432724,-0.03247833554670124,-0.040940843439659334,0.051709730814635584,0.02481644929867749,-0.0010427870185375696,0.03408600834378195,0.021166580673643187,0.05846823694413167,-0.06714222633545677,-0.007091891503764172,3.700598027514095e-05,-0.02552100491490324,-0.0065847189378906955,0.014886460749309893
TG,-0.023743184097045095,-0.03644904819239706,-0.021912347879932303,,-0.017175538988608623,0.034116901992302044,-0.02152530238806655,-0.014669358795969116,0.021146316752156943,-0.02240359251184707,0.06278979323647595,-0.025014843282181527,-0.030579929915437048,-0.015949547953538007,-0.0261327581550276
ADA,-0.018148440765719993,-0.0200722905894414,0.03079158476528918,0.031052575007344665,0.0121983056464897,-0.047905199364027026,0.06046582811087997,-0.01308087740786628,-0.020688366410977915,0.05329575124151699,-0.046048885303937914,0.026379316138855545,0.06398295290070471,-0.0343412169756024,0.009856504035072301
LAMC3,0.0008566353625806677,0.0029334928836418682,0.002920923815196779,0.03764133539993404,-0.043744672313437066,-0.069880318502896,0.12148178155069847,0.04581804529003584,0.030905737974939517,0.02585884107489727,-0.05807328551203625,0.08628739508622517,0.04898184740012307,0.014712238723304967,-0.018165530958430803
CCL7,,0.008873740136371527,,,-0.012417887246902046,-0.006553052726156379,,,,,,0.08393124892993768,,,-0.014042009727847618
NGF,-0.01715982984049836,-0.025278137166038175,,,-0.0069585759377043315,-0.0020963662345784137,,,,,-0.02788427152843179,-0.03258676442665589,-0.00032675880432052714,0.028877911132704017,-0.03224729956564675
TNFSF15,-0.021228851117912402,,,,-0.013827924800510608,0.029391466032614066,,,,,-0.02816075667068692,0.036089850650303706,,-0.012034277683467237,-0.03710142083841262
HMGB1,-0.02933266009618605,0.0014544645006878108,-0.03220080769458727,0.14769736830384025,-0.03553195059680773,-0.04143518711300427,0.04249786694066374,-0.007840180247455125,0.006732717745857841,0.0581740994183435,-0.07646921338947268,-0.04180339114545496,-0.029244957484745683,0.03783114068146468,-0.018703836538097738
ITGB3BP,0.02825374339716843,0.01960390360836586,0.012211191651315048,-0.01959662291497451,0.04174215015741049,0.026572620181619523,0.10109933826473279,0.04638138363036546,0.0274676399999136,0.0016567078563479343,0.014245345053054114,0.04860758284578205,-0.011992997888841167,0.02592764253375426,0.012992795668843296
AANAT,-0.030756281683059584,0.044202954933361016,,,0.0785355057264185,-0.024550707465669837,-0.016087692297694814,-0.013192240093214668,-0.02466315356474302,-0.007819360978274846,0.05307386465102078,-0.024753046645371722,-0.027426051567073933,,-0.014857031874454685
RELN,-0.029587257717094466,-0.03848124465341447,0.012494975149048373,-0.02525510740142904,0.00416366395385639,-0.04600128331702104,-0.039111132996000296,-0.029045054216034576,-0.027304239760261466,,,,,-0.014536103258940489,
IL15,-0.030176445424117265,0.00021307371795935282,-0.027915995959653658,,-0.023298119572577238,0.011688006032132157,0.006957638255896668,0.024322243049972655,-0.022873935018884475,0.10449388980982913,-0.011602167141352092,0.023495553650470232,0.046622381564030986,-0.029355307070509193,0.03845318516007079
UTS2,,,,,,,0.03268250777310987,,,0.09065899821598077,,-0.000837470023793887,,,
BSG,0.08561397740037155,0.04835011262307972,-0.03163285860608067,0.014843191474090009,-0.019583084803786257,-0.04942251246353527,0.01018098204158527,0.008602215569083882,0.08456670200140523,-0.04230662787696207,0.051413392379589196,0.0699378329766073,-0.0015605673146432224,0.05700240280702398,0.018026324265606315
ADAMTS3,-0.04561443309876479,-0.054232556921343274,-0.01384847374657536,,0.0025761567020186095,0.015418676714740004,0.09464396078292009,-0.026607922634906467,-0.00341772172880639,0.04800913197477254,-0.023401160492063616,0.09898260108238038,0.005703526133158579,0.0008465392509574428,0.03298618654649475
CD34,0.002496782000652984,-0.016115606086298383,-0.019887765032161567,0.03674056829907007,-0.038683250516892906,-0.05123393925415247,0.022545950528429236,0.018720494977046198,-0.02492913309925936,0.028602930195391743,-0.006457476624457108,0.030045160257062338,-0.04808459455747909,-0.0031078314706745706,-0.06105300921512951
CCL23,,,,,,,-0.018305240081710285,,,,,,,,
PLAT,0.018223666267303158,-0.024345994021341216,-0.0004430648963880185,0.06215609070376356,0.0364837427031866,-0.04851999202642668,0.04738695091907719,0.010513038449651997,0.011821435943469296,-0.018546423103000677,0.00041357834094805647,0.018494879406407462,0.08619027766452389,0.02342525841932593,0.050623608108692854
NTF3,,,,,,,,,,,,-0.030652031441897876,0.0758816394720008,0.06381896097177242,
LTA,,,-0.01611440950671668,,0.056646110368833096,,,-0.012705502056198489,-0.02287393784245369,,,,,,-0.01999532589457614
CKLF,0.11276171620547629,0.00866634924606083,0.03507405657773082,0.0543573016232815,-0.03467541822387688,0.02358671069660812,0.06652741348585696,0.02632850822789011,0.021576581987353145,-0.03719254593479424,0.054861883326012204,0.012861331046042533,0.0565059471467105,0.008925936947214464,-0.005492236167054353
CD24,0.04790080861033384,0.006222442975458812,-0.015294733999942835,0.068096218994893,0.011465203824983332,-0.0463052452800299,-0.020264012998954608,-0.05157855656133368,0.03844766587262436,-0.008973080442930992,0.0766276525090911,-0.041090729290090215,0.030751406959548436,0.00029684297613597437,0.01197359072553246
HSP90AA1,-0.02344518015409976,-0.025004858491833058,-0.02692302687502493,-0.029354447038421973,-0.03181497513106039,-0.02441648498567834,-0.09179825069449195,-0.00420598206495725,-0.05425655666234327,-0.0355451259428635,-0.01851471827882074,-0.054678636450882424,-0.11486947575527394,-0.00925167865510378,0.028170979875222123
BMP4,-0.021388706551741684,0.027112350499308175,-0.017082218703896705,0.06154946816286012,0.028137967635944405,-0.03914975351028258,-0.0002809952081254529,-0.01845007033675355,-0.019490957563298845,0.0939895481247018,-0.05057473327417329,0.06592526820721542,-0.013058906893436653,-0.022171907568560068,-0.0007562261959859582
SCGB3A1,,-0.014722694090735984,,0.06270630765334945,,-0.00477357423483594,,,-0.015961131331287383,0.028396915756714762,,-0.042945342938293184,0.033701031971382654,-0.024991397404131078,0.0567206185939746
IGFBP4,0.02090526344511192,-0.004930142034089934,-0.009621009798102424,0.08264531131416632,-0.03688772653662586,-0.03961922552572685,0.07640138632799509,0.0340586461490098,0.005994307979630459,-0.05143829940217433,-0.03461607615183625,0.033411210813715925,-0.014435703639614836,0.019300353887581286,-0.04386488456609699
RSPO4,0.006936504689543081,,-0.026050783401848947,,-0.02436173366141323,-0.022333069631893684,,0.059832080889707914,0.0012985577402549473,,,,,0.027553113093864087,0.04040202808613934
LEFTY2,-0.035112308762675216,-0.028376898453482884,-0.0163123189731038,0.07051158368560877,-0.03556219838304548,-0.01288034267881401,0.09689491681603936,-0.019828665629230913,-0.028237620818735414,0.10837496125405818,-0.024974732691103108,-0.02395185309904044,-0.023433416478482405,-0.02288856197304454,0.0680606970159182
PF4,,-0.015272431781045643,-0.01465824562368287,,-0.010834361975955529,,,,,,,,-0.01867974322595197,,0.12873443133020412
ANGPTL2,0.038026162743092486,0.010359233957842178,-0.010121481808332713,0.07178469596074556,0.028418009203678297,-0.0655105030734157,0.10222059404450069,0.019349329417552064,0.0476919343858936,0.06964958210886539,-0.034803032227156645,0.04162421149823776,0.09850223877371303,0.031076773035945353,-0.0002179423636926232
LRIG2,0.07112851327904152,0.038425066284169446,-0.03469605370387685,0.050583847521117255,0.008523929752442485,0.04113900634838733,0.03777324124100718,0.05557456092652781,0.05599415151520855,0.05789910219476204,0.0900858580952666,0.07966545923160384,0.015239096990965744,0.021977649565621465,0.005553636617321268
ICOSLG,-0.014707244588212286,-0.04284852444864529,-0.0034865409571125778,-0.02979436588336865,0.05205466071404997,-0.05446373856237587,0.016501637042895718,0.03734889582980581,0.032971257382917264,-0.04729270860427962,-0.06679707685441302,0.03146915634192196,0.039416658251265994,0.0813836979231036,-0.03957997174628877
WIF1,-0.0005049755418137426,-0.014327299487747837,,-0.03887200639383238,,-0.03805524035480172,-0.07577909957752704,-0.011403271087897229,-0.002226883880438283,,,,,-0.01564571252276497,
NPPC,-0.04278139740464852,0.03454898376213956,,-0.030073830699928417,-0.016806767247986378,0.024194345343355475,-0.01649507435041431,-0.022244158654144197,0.09754046026707605,-0.05603830066411511,0.03582923741575944,0.05344761055794605,0.037315797903207576,0.06658961012057853,
LYZ,-0.0015066259760723353,-0.059882202314890234,-0.09802085976175771,-0.0495228557938196,0.013260751319513446,-0.001551245206499594,0.050282995357972156,0.01238472271303314,-0.003815445437135833,-0.09823577622614083,-0.050618190924966944,0.012932889904261525,0.019724153272322815,-0.015549863130047557,-0.008616623954527586
EREG,,,,0.04025950749908768,,-0.022266324101185675,,,,,,0.06020083728747474,0.035488718718792896,0.0346115548689173,-0.030197566758852674
SPTAN1,-0.028514434505645142,0.03299202495600462,0.013113287672749099,-0.0016648194196458481,0.0063464995849721725,-0.06238169066517339,-0.032242159447547956,0.03975861927310382,-0.04408455029778231,0.06124413579184338,0.007905583403014725,0.02171079392916436,0.026903747182346355,-0.020519097027126464,0.06501952806472497
PTH2,,,,,,,,,,,,,,0.045452426996574875,
LIPC,0.05750025769545931,-0.018697470779152382,0.03873529309249886,,0.03917890842377534,0.014806721442043399,0.007035854453705582,0.0041589918074182225,0.08030062371879353,0.07181729659809444,-0.04808167650604253,,,,-0.02528165426570489
COL8A1,-0.009493785699340427,0.029985161739803576,0.06795091503052958,0.049302436550939896,0.007261909029352189,-0.012050939794905506,0.028526200071138156,0.035347541393606484,0.026633409578572447,0.003089754609425054,0.026381674403033965,0.014114740340606221,-0.0014084320752963974,0.034328334959728306,0.029672935552656637
GSTM2,0.023571785967531036,-0.017056100983458417,-0.010407952712452163,0.022299884164819435,0.015264891494562154,-0.029489378160013745,0.0512015695790333,0.004959146384447361,0.03900443814091417,-0.009662528368786468,0.06217395339106241,0.00020529482411968817,-0.004938014196963981,0.09818806785864931,-0.001666254309763723
IL4,,,,,,,,,,-0.01109015078882612,,,,,
SPX,0.030318835401881038,0.09107271505226901,0.04340556491071699,,-0.031904038476064885,0.029404595785237308,-0.04309143815615829,-0.051269723061918876,-0.02318524788530621,,0.06804700441171306,-0.02844827224349544,-0.02319328883340573,-0.02048675505516652,-0.04323459716639766
MFGE8,-0.020007762317601027,-0.04070543504864238,0.03704599419493478,-0.08100521025446664,-0.05543164010925467,-0.019147157302157353,0.05124762879759215,-0.0015038687076120343,0.03989240285876499,-0.009484895766405035,-0.02106477071496015,0.05574005255139914,0.031549393599335805,-0.001691058475152974,-0.018371818958214294
TGFA,0.053154986788821086,0.01893448400314785,-0.005059610893967179,0.08942726048890318,0.04730072776838943,0.03536633208909132,0.01790820891772591,-0.011551579413410529,0.049581555850867876,-0.009509031785975166,-0.003906700648126263,0.029354881554925525,0.028511218101181287,0.026045306595390567,-0.021620172556301734
SLIT2,-0.015806428932386513,0.030115706729727208,0.024656347083599213,0.010988796389879232,-0.036874551544334645,-0.04182099427357929,-0.001998202513009438,0.020727248855416117,-0.03852505902467816,-0.06001903422524324,-0.026464592153476418,-0.013062070378352207,0.0009374281950976221,0.026454675368258733,-0.029577455722751438
PLTP,-0.06367262540907992,-0.08709013403904348,0.010848285289964257,0.07027905363409111,-0.0362517460852855,0.03544682166708174,0.0911839530310542,0.04233532627404978,0.027504970975221532,-0.017553889788687632,0.06196631093457855,0.04878439761106787,-0.0521638157985652,0.04254281680438021,-0.021712098657453462
APOD,-0.08028113452644325,-0.04133927300001691,0.020925876920532913,0.13962713094477072,-0.012061902583340983,0.0012590166235161163,0.00011905616345918997,-0.013256323429298365,-0.05239378624137979,0.1725347282512837,-0.099734555574917,0.0642183651354779,0.09304284101275646,-0.0007154914106112999,-0.0078001082206700075
B2M,-0.030619736962129093,-0.043528309655140145,0.03521403101376408,0.04200256299191984,-0.05238344713250098,-0.02692139795425796,0.11820481741723426,-0.046598482166834126,0.0445502432004365,-0.05778506004006062,-0.0489420534145133,0.066616454495225,0.0586648795320681,0.02554536636393352,0.01727981648492304
OMG,0.01459740453523978,0.03611818177458257,0.018666724584413544,0.03318238586532947,-0.033325128891322185,-0.01672871827970397,-0.021262475477596778,-0.037536257301308225,-0.06075695079029136,0.07332859698591467,-0.10715090326149943,-0.0036972936519614414,0.07584708998114066,-6.148810088103061e-05,-0.03419631906154191
CXCL3,-0.04062660145267383,-0.02824367084002963,-0.008475641694812328,0.010237077181381725,0.07702491427941588,0.057464072622088594,-0.021122370953635266,0.05280863771017407,0.024783369001212016,0.0957498062021754,,0.057565121836795144,-0.03761364819204992,0.02353877935006422,0.0006650169801561369
CXCL10,0.04241423250557389,-0.06843890498889325,0.023979036678598947,,-0.041776289428622264,0.08091512590257026,0.10542266427445063,-0.025110194991546323,-0.0010470765137050525,-0.040651264173936184,-0.03156529194130715,0.03104918139893843,0.008371731758389137,-0.022997524281369586,0.0394386252324318
RSPO3,,0.014097276128893749,,-0.022426005028452947,-0.012581997751179344,0.013691567703299296,-0.026416843792659753,0.029613456503563052,0.021009229503825364,,,-0.04367723183004969,0.1664414870940612,-0.018159233772255576,-0.0142498940927427
CORT,0.0003411547816447717,-0.03606834610836462,-0.0002959279608577286,-0.029762364031351133,-0.01724210177397625,-0.03964975199576461,-0.04572026672181717,-0.009558860572667437,0.0017739541591714513,,,-0.03217325608846776,0.06384336242140297,0.027812059548518592,
NCAN,0.02649669067829452,0.03502410749727245,0.03116630395179436,0.0624862222484124,-0.05245840844587219,-0.011303815035689342,0.01803941938627288,-0.022317931444376223,0.008683136634911267,-0.03630573217074323,-0.005199496277359356,0.0440163957153655,0.11417793533397333,0.020662651883284037,0.06866647816452744
PRG4,0.07618286622968046,0.009878763641748813,,-0.025075170700191714,-0.01241788918204544,-0.023391469561826847,-0.005883348295369818,0.011229773402280818,-0.020126434694683722,,,0.010348290682007624,0.058025100188182216,-0.04013468481221164,0.019379740741691576
ZG16B,,-0.020415933111107325,-0.01763881622353002,,-0.014412479100395375,,-0.024707132327066183,-0.010095674769840985,,,0.010840924913754761,,,,-0.017768084361740887
TGM2,-0.0007047190886328626,0.027941270473303574,0.09474502816128595,-0.001457764921820463,0.035336488035117214,0.00031087628013606113,0.06764508916814323,-0.0075310415923428445,-0.01867301125552933,-0.013074254560887637,9.818378112875923e-05,0.05495860586868743,-0.034035501973772954,-0.049906665865688773,0.04236714710053139
VEGFC,-0.023014879065997217,-0.02811262757512563,0.007219661805221728,0.032257205991946036,0.029458861322682883,-0.0360072228393997,-0.017583873521591582,0.016512728823126037,-0.020539828842860947,-0.043778588029694414,0.022054531604004998,0.015084818740354587,-0.018784193211073344,0.054191690101731284,-0.03821336206873882
WNT6,-0.02918899801835774,-0.023754743816297316,-0.016312319401212513,-0.009263174331154062,-0.017175539701746113,0.014170823545958238,-0.02250357857951657,-0.010139708183033303,0.0009912862981077235,-0.048972911873706566,-0.020661097169332173,0.04714631977387117,0.08197626357609336,-0.005259215066987431,-0.0024328931926402677
NRG4,-0.021752676761901804,-0.013560119491065123,,-0.01680949628846315,-0.0151131392017321,-0.02144130145697608,-0.014760225385518804,0.03701597006494671,-0.023962106094507846,,,,,0.010412542629510755,-0.014249895689815849
PMCH,,-0.015628767463852344,,,0.035285849402206686,,,0.06209654730170109,,,,0.003178421338721906,0.16963093235675694,-0.012796410227649315,0.022328531443172515
COL9A1,-0.03388795617709997,-0.04095541929181792,-0.01448018836132884,0.1401743027160623,-0.01578457085276406,-0.04344684944194914,0.04809070147051126,0.05316471601877973,-0.027304250233173153,0.05433978774296893,-0.000990586800800759,-0.007885542527111556,0.037026579417822655,-0.010398328746314883,0.06890765458491571
GDF11,-0.0038123192070695505,0.0009503779433404987,-0.002211677940621219,0.04087983758061668,-0.0523100525879302,-0.0070905171042204415,0.0750239796379395,-0.05400587370845302,-0.06209185637573401,-0.01919817075964681,-0.016003421529148652,-0.03470405364405243,0.04088510484738197,0.0664717914377209,-0.017585165600426705
RAET1E,,,,,,,,,,,,,,,0.08912183595080848
IL24,,,,,,,,,,,,-0.00037940687569618456,-0.018381904217344813,,
SORBS1,0.030241184508069202,-0.027785941579163,0.025010555739839627,0.03531416997789311,0.03547203832653939,0.053258251537785274,0.05397871922760253,0.013861145782083953,-0.04368478704159505,0.11677853017202842,0.06321764747216199,-0.01739940988119211,-0.035199793659626596,-0.0035761299423010076,0.041911405532656494
DLL1,0.011103507958326094,0.056950573713973204,0.01856247939729004,0.0012293639374682302,-0.05001615721209319,-0.028160812595867456,0.020433306317281724,-0.04156451515702472,0.05332213481665722,0.12203609888404193,-0.031838670267344354,-0.0001387709994375596,0.053843569021304494,0.015702917797317174,-0.019629696275020377
TLN1,0.007926628375865483,-0.005621566939834134,0.011574188034927931,-0.020668745038151914,0.017812426436054424,0.02486413316292148,0.11204763122939036,-0.010543990963444093,0.027896615745006927,-0.04337872304382143,-0.07725665774687779,0.02915808006616986,-0.023912551715299164,-0.003999156119137704,-0.03825748636931634
COL2A1,-0.022265297119694424,-0.03634620007077907,,,,0.013532382464427827,-0.0211223781418122,,-0.016723860100530022,,,-0.026987934390039985,0.059344323966523393,0.015001059314932133,0.03917393549391709
SHH,,,,,-0.012904225704517344,-0.008523777544895013,0.07556193250758927,-0.024011909524305697,-0.01596112993618514,-0.02831749073437447,,0.046268599512414854,-0.03471042709601183,-0.0007384208767793911,0.04291498055131015
PON2,0.013975345759269482,-0.0008297966861684634,-0.017571641101638096,0.04925367826714396,-0.007224656866670437,-0.01013341026672002,0.09508730537699042,0.006612660311249142,-0.04790023352629859,0.04726910658623756,0.10506729692146571,0.05574947453521521,0.07095878276635746,0.006325013447135688,-0.0057188689126711255
ICAM5,-0.05188251865610711,-0.01081212615107451,-0.020997618551396608,-0.023971182607605262,0.08434885065002104,0.013565877639666947,-0.04127519102855892,0.02872261994215036,-0.020442248088914,,,-0.02053216454933146,0.0779532076159434,0.050597677378892245,-0.017326157372556068
HPX,0.09603758724668117,0.00365223012811194,,-0.022426010924174535,0.017815484165595953,0.15021641092964538,-0.018320393120610526,-0.019812136027392117,-0.014989299968912049,0.06101362345178561,0.04242870193842672,-0.05415245459638013,-0.024273038480476995,0.017937938337604598,0.02203725729012897
SFRP2,-0.028988128515625038,-0.019573861028730356,,,-0.01469651464830824,,0.0058135692891851795,-0.01651211980932301,-0.03131165226586878,-0.03862012206466137,0.007328915363286542,0.015546124385433508,0.0392824106905985,0.02486839912817281,-0.01110148434573331
CFC1,,,,,,,,-0.012705502824057613,,,,,,,
CD70,,0.036076706315560515,,,0.03528779834794256,,,-0.023700211373032985,,,,0.04356804538590435,-0.0033873913000201455,-0.009533324275876711,0.015678324348356653
HP,-0.015966374300568725,-0.007391812439002671,,0.08024909831844046,-0.07085945674389446,0.002026377645457049,0.0869824561842101,0.0070349261750039084,0.007729377064981032,0.09477217927617648,0.013399719014199165,0.04139576125138695,0.0033119445518241964,0.00023645334570865725,-0.021316285379767538
CXCL2,0.0009016755287159934,0.015931132189660763,-0.010242927299923566,-0.041617834753571684,-0.0353531342514612,0.00652981248304618,0.05598462467381079,0.0024461465101142882,0.10924829929893272,0.0721460871147212,,0.06086527481717309,-0.013645708521755427,0.00449947358596464,-0.07589234001678175
NPPB,,-0.018993700307275947,,-0.04848565345159959,0.07207579351888034,,,-0.011125454988874307,0.04425624044674385,,,0.024188786495135464,-0.02959882786967635,-0.019125557653807725,-0.014454932163294354
CCK,-0.0552214271115632,0.016008335053369988,0.02679869477506656,0.0015607209157673175,-0.001861377413833042,-0.03388431132404751,-0.07394774326109012,-0.007856123638020485,-0.04507344090212888,,-0.0010843200947561048,-0.04027954859312346,-0.021665917956358766,-0.018373222267243604,-0.018751949202890646
