,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
CD24,-0.07051840443221763,0.04201923374174085,-0.024961841875972637,0.04393635002170222,-0.18641796212842657,-0.04274858156004549,0.054222690469861785,-0.21421825125979,-0.003012795018417658,0.020712908911601362,0.15877736900008882,0.22324791426976745,0.21249240832452973,0.0608670427232358,-0.03811350028449774,0.058763209866225116
HSP90AA1,0.09121911647884827,-0.010746242416341258,0.05553892654306312,0.25367000112410676,0.25817071201329084,0.39144144774616796,0.027083314110224164,-0.013318666199551401,0.46546437851271827,0.31837860716046773,-0.20062119279065643,-0.30987321233480747,-0.017969762914562943,-0.026664391943473306,0.17944378975509917,0.04960663596417742
BMP4,0.12176750792466629,0.018537363552837006,0.016391430716011086,-0.060685470923965604,-0.1626019487165438,0.0029624273036648018,0.0420874017057868,-0.03783384710234891,0.08593032646420243,0.0028650228643625777,0.0686231051085516,0.07139476883818291,0.04521444597688139,,-0.02242491418852493,
SCGB3A1,,-0.002922455603271809,,-0.004807831941571375,0.02662644028259861,,,0.04150164528779519,-0.035645398206992966,0.041364524044784336,0.06170682629696354,0.03034814984898039,0.020732831349610348,,0.055475698075979754,
IGFBP4,-0.07125103813205559,-0.019852125478398777,-0.026608185802136634,-0.08250212668215368,-0.20963434956806587,-0.14576676851986617,-0.11684843944706505,0.00030670353977058,-0.14623444546967262,-0.03884945067320432,-0.03207964941716612,-0.11983856394851555,-0.12662777033031875,0.0850986413431733,0.027611491275449575,0.0620300683860195
RSPO4,-0.0364314475853566,,-0.017753965903472717,-0.04746701106333474,,,-0.04525367923745164,0.0635442036584694,,-0.008923775261179464,,,0.0500707650825049,,-0.05738758061811627,
LEFTY2,-0.06102291036858783,0.04440014618930312,0.04878361432525127,-0.011243152398277135,-0.08320979224621984,-0.18959658696576726,-0.025248264197187665,0.010299083790719539,-0.030885926046834877,0.02501649720189222,0.01966584073847848,0.019846613609861057,0.0651559731312392,0.011243896139498097,0.023613002047185958,
PF4,,-0.02217871795077884,-0.015510192880745958,,,,,,,,,-0.05460433384701054,,,0.0214241448934595,
ANGPTL2,-0.018689241498560334,0.009253674754431677,-0.011728274969533777,-0.0070199788466906166,-0.302088670993214,-0.21134596041388345,0.047811220454857105,-0.036671109508594264,-0.28243720605667144,-0.253850195721717,0.17391982814392154,0.22028654091551608,0.013746208091719975,0.034826171539847184,0.05482044826543701,-0.03934595027581193
LRIG2,-0.0705614250143482,0.011119929636205233,-0.01774315233853274,-0.06696538108659872,-0.06335216526321838,-0.1521237502058544,-0.0657195538659494,-0.05915818710638866,0.05519702087413129,-0.09189056014070547,0.0771110178084941,0.06844717230042338,0.04154769134536941,0.047499450789971476,-0.017172175358507756,-0.010476015508398238
ICOSLG,-0.035705155815121375,-0.003093376401825207,-0.03625872715812461,-0.0019531188853690387,-0.08765029691032714,-0.19028382066237745,0.0032121369239618783,-0.03036535086241672,-0.17546254065947917,-0.05731472548253532,0.07927487760641244,0.1272348455651426,0.0012526891277807122,-0.03343882980650356,-0.061802667839563064,0.07986789456518453
WIF1,0.39649267138921873,0.021494344317579208,,0.14085403907730976,0.3258345349386517,0.34142247069915904,0.10394065725445185,0.045583711773500776,0.2762633956883532,0.23271631234322473,,,0.042660936192916665,0.0824072098831974,-0.03359322783420714,0.17626758383724342
NPPC,0.04743352557400077,0.027736603473229534,-7.16388530515066e-05,0.06442920889951866,0.0958074993779106,0.04108514665058085,0.04537810676347493,-0.05293130654270316,0.15109845460860344,-0.14526256406158725,0.09474370533798854,-0.010514849777030726,0.015357446180130265,0.02044899724875536,0.09536647437280223,0.1216545063113662
LYZ,-0.002439522722184455,0.018969410555075634,-0.06198472290421097,-0.11614114627496594,-0.0405422784457765,-0.19999337184939578,0.028628558132086226,-0.0057339288088787575,-0.3519177267724097,-0.0723268875675459,0.04643249487617236,0.08820665429110487,0.0001962249006124584,-0.003189966395605863,0.059828861607047965,-0.06800924757955604
EREG,,,,-0.06679734703978973,,,,,-0.07772368304143622,,-0.0642457844633957,-0.1165718695561231,-0.013951778456062847,,0.018298008140298472,
SPTAN1,0.19083559891312188,0.05763880931230067,0.019407099260542876,0.15440647501473595,0.18887639497811579,0.23885785059031922,0.09572397662387938,0.011059442964795508,0.4570561391803141,0.19635970300587502,0.04489491781937056,0.16177494710629337,0.14129829743753014,0.09425012430266069,0.22970820850133528,0.11068811392806152
PTH2,,,,,,,,,,,,,0.031594933281701876,,,
LIPC,-0.011720972546366002,0.0157173797104087,0.047150213646193935,0.02850275562837057,0.10882813989926789,-0.0504208741160021,0.026044078446575598,,-0.01175167247105983,-0.05235565050240956,,,,,0.01221633755911891,
COL8A1,-0.16553162445837394,-0.011521812342597155,-0.03519019730005993,-0.11587831239846061,-0.1664834307167583,-0.11623576867930979,0.00994201821976156,-0.05813994589269515,-0.2370439462547111,-0.16172662436669497,0.053843750637873423,0.09154470776624482,0.01562813772361393,0.053002165591019626,-0.10598901143476028,
GSTM2,0.05061182753858659,0.023404052249586534,0.04888775294352212,-0.02081204188719314,0.02143777990687843,-0.0435662384379954,-0.02440394839803543,0.016861002202593716,-0.002065888452767032,-0.04101236991833131,0.057874533676754776,0.07397298634438995,0.017340509743465727,-0.03815208531307043,-0.057118589341481105,
