,UKF266,UKF269
MMP7,-0.017740148494286876,-0.01532855272594431
PTPN6,-0.012985125778258591,-0.08944904070463837
PTGS2,-0.04350358221108162,0.26562142651142545
CD58,0.009182558723582953,-0.08822756626560463
TNFSF14,,-0.031939292309896394
CNTN4,0.04011634353181889,0.1335181137224658
MFNG,-0.0566432310267406,-0.0712047629103387
ICAM1,-0.04234305711142641,-0.1029383680626945
PROS1,-0.0728597899100311,-0.11363927802044795
CLCF1,-0.0164912395640192,-0.0020095837558277794
PSAP,0.08624973766819688,0.10691427445228603
EFEMP1,-0.07502017258779989,-0.16064835527627552
C1QTNF1,-0.036587563849286485,-0.10204354469486529
ALB,0.07092724798583178,0.004569466966090828
EFNA3,0.03382114869511163,0.21454328958017338
DRAXIN,-0.03781647188036222,-0.10897901937206936
NPTX2,0.09527478857175671,0.21400579745777043
FGF11,-0.052094532631401846,-0.09262715942424586
CD59,0.03834449575965502,0.16255874040161716
COL9A2,-0.04803735622754111,-0.082297286436202
DLL3,-0.07360783835404101,-0.012741053359815272
FGF5,,0.0172326242269817
LIN7C,0.040448882278291104,-0.027093539945298808
GDF7,-0.02423980042889851,-0.03662481337771143
PSPN,-0.04076407738937023,-0.004135578500181732
ANGPT1,-0.002283366042402557,-0.08559962042997828
PNOC,0.08895830327131371,0.20123783897036795
L1CAM,-0.011948107667676991,0.15454868620951673
APOA1,-0.029266031563101716,-0.0342746501359797
PSEN1,-0.0320481648677444,-0.059648084548512136
CALM2,0.03376334576973763,0.14364689352166093
CLEC2B,-0.013261201199881688,-0.0826846377513849
NTNG1,-0.013343604252466891,-0.05116567581157497
LRIG1,-0.026755436353271697,-0.1352527111638264
CPAMD8,-0.033761206934427586,-0.018521575892240755
GHRL,0.06655557354460037,0.024337927287530415
NPY,0.05719566243721816,0.21454697996782188
MMP2,-0.03136709996005492,-0.13993668445473761
ALKAL2,0.025554466445742153,-0.021000386481490697
CSF1,-0.0061767524520861625,-0.08280609259175256
SEMA4C,-0.06438646954151064,0.023516040723117467
ICAM2,0.0035720356728545666,-0.015828812093854918
SYTL3,-0.006967700521886533,-0.04238641583576955
IL1A,-0.008673930630489326,-0.04234393662449973
HLA-G,0.10016632433452509,
PGF,-0.060649036737144994,-0.10214704841506517
LGALS8,0.03081430479542843,0.06361289878814173
DKK3,0.07436431899680253,0.18875515112644192
COL16A1,-0.03769892344093536,-0.08449516887727465
TPH1,-0.013873080654115697,-0.022017480875542894
TNC,-0.04077992306187603,-0.1847176008768067
TNFSF9,0.015883933101606327,0.14047584399311971
CNTN2,-0.06020253457780886,-0.09575170322972673
F7,0.04958561505673426,-0.01852156512688127
LUM,-0.0407640794117647,-0.11687682666393212
APOC1,-0.04919003070066786,-0.18143938190660014
PKM,0.02209215899879475,0.007904913763285313
TNF,-0.02960054891015547,-0.02718269505009988
GNAS,0.08823927650174472,0.19229265000022353
BMP8B,-0.06965382953769064,-0.01421936430135084
CCL28,0.03268240135227136,
PTPN11,-0.005446134047966403,-0.10835711584550438
ADAM12,-0.043521017558978095,-0.059861711382145806
EDN3,-0.017281549884416762,0.003599913417093902
CCL2,-0.009555164015733012,-0.042775542192642346
DSCAM,-0.0706325292606301,0.013123230029293274
ANG,-0.02821176102964409,-0.08524740277288495
FBLN2,0.02297060251581264,0.024873999353150895
VTN,-0.013873076117605814,0.008021887625674972
VEGFA,-0.03697398618458803,-0.04703078112403299
F10,-0.02412496418501472,-0.03011645987984776
SERPINA1,0.022420377032477082,-0.11578675394709834
VWF,-0.04589281846165961,-0.14078441536252667
GDNF,-0.021593980883457677,
VASP,-0.05304518955103766,-0.026323884932321823
ADAM15,-0.049859769785963924,-0.0874381373352856
WNT2,-0.02282944091871557,0.27052754482407493
CALCB,-0.014061846757727415,0.16929521124794214
OLFM2,0.02527651134335029,0.11254220134715315
MFAP2,-0.034807683983896685,-0.09467845292976783
HLA-C,-0.033398047881013034,-0.1689923051377245
THBS1,0.02065346858957472,-0.003389125583184988
HSPA4,-0.04472412804193885,-0.008858916490292069
LMAN1,-0.019907524158233474,-0.17355679565881005
LYPD3,-0.017435650482724517,-0.03176112893199169
APOE,-0.008122608455975682,-0.10993457013526962
SOSTDC1,-0.011639203619811148,0.005384283042655701
ANXA1,-0.012889680546226162,-0.17529708698688656
WNT2B,-0.03633700483985368,-0.0184517883684184
AMH,-0.02525340116493207,-0.04200489387207354
GDF10,0.08099584612207061,0.10989519742163799
EFNB3,-0.0017329796874686505,0.17927073769765928
LTB,-0.014432369506209101,-0.009898918276122269
