,UKF248,UKF251,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH8812bulk,ZH916bulk
QDPR,-0.0282849639220983,-0.04075834543087565,-0.011004736506358505,-0.05958358911934245,0.04335143524664652,-0.031334293831270836,0.047000497503850346,0.002710301082175585,-0.01776225848311938,-0.11688897100972091,0.020202685897246764
POMC,-0.0002474999314006253,0.10463494140110112,-0.04654670714685441,-0.017690237232812458,0.03586694774870525,-0.014737122475640256,0.04313663474795554,0.06852890224593858,-0.007558495973469652,-0.012847265183442891,0.0033063689395110177
CCL18,-0.03317333702110985,,,,,-0.03334227167067571,,,0.1114237833940508,,
CCL17,,,,,-0.00876965235550915,,-0.012743981228324644,,0.07487403323531554,-0.021890174962402368,
VEGFD,0.008561198152969317,0.02475789468622561,,-0.021290568985933202,-0.022986393581715437,0.028880272734480354,-0.013658119406017773,,,-0.02308737819774387,
TNFSF13,0.0023491668287946915,,-0.017110365710718087,,,,,,-0.03639250439844752,0.1694463339657508,-0.03300017966888248
WNT5A,-0.0770397757562721,0.011239949759523015,-0.031309085243691484,-0.03863632576209403,0.01363157973556056,0.0034242232024549067,-0.017913551885574718,0.02846514984721187,0.014971117109903231,0.024332899127416818,-0.008195260553716983
CXCL8,-0.06740052783176312,0.14127398305996577,-0.024338385459624585,0.01689531109073644,-0.030426709881385072,-0.06493607661643036,0.027417033280271876,,0.013373835519615983,0.0013945150226751352,-0.05746651307169279
GRN,0.1122666725212273,0.04855920517708068,-0.04936622567643396,-0.046597145941941996,0.011982343831323114,-0.027026235112863586,-0.027508391779864656,0.009777725923495746,-0.036338743305059554,0.12984344678984194,-0.087524345156993
MIA,0.021468097971914134,-0.02262246760802346,0.016139784169254098,0.011726703615099528,-0.028865182144062054,,-0.0007278332610371255,-0.0023870852485795863,0.06421129536433623,0.06640159530223445,0.07419568960380676
COL4A4,-0.031244046776364515,0.006055227088588507,-0.016279757030675714,-0.01936242372814911,-0.022525022299755264,,0.0005470752321931103,,-0.01298037011824366,0.04700773752812833,-0.008430765342676116
TAC1,-0.005987135233579677,0.01777231671160167,0.06401801404695236,0.06570307252443823,0.0690058644845449,0.011799981920181517,0.04290638855379998,,,,0.0459792486133537
RARRES2,-0.04183259453053252,0.07164509168844425,-0.06963958749753242,-0.0665615374036662,0.07679067423642527,-0.04606303834929831,-0.0281027643306877,-0.04432167767289433,-0.01389586604455745,-0.005776206227923364,0.058067003991049554
FGF7,,0.0053611695241110365,0.037512685600054996,0.03133486502391622,-0.0041889270596923624,-0.0344670742401338,0.012141866208696672,0.01818611836391519,0.001538952123585489,4.3086912072872266e-05,0.07653290530506263
HBEGF,0.004823692810777303,0.05177295808538432,0.009766605381648339,0.0006926898375610511,-0.05292685944476751,-0.0034563436336657073,0.01882904641957235,0.07327512535635973,-0.03986792238372635,-0.01740661815948006,0.022034403387698635
CSF3,,,,-0.020485071624003395,,,,,-0.03541314226557822,,-0.03879637790463349
PI3,-0.03489974919228911,,,-0.02306646102230786,,,,,-0.05580649385619993,-0.018599273837439204,-0.02265288031646705
PCSK1N,0.044960179788648365,-0.03372717781624004,0.00933636122763897,0.08707548738491146,-0.018173934674149704,0.058669199710727246,0.06253774645701751,-0.025618546922925055,-0.05693019377428355,0.02482695792047633,-0.011940481616727554
NTS,,,-0.01987388444052575,-0.02517861720312377,-0.025732219611370323,-0.025656826266818374,,,-0.0222621169458885,,
SFRP1,0.029096075938562817,0.018298332032648742,0.03406751899929437,-0.04145388960360284,-0.00992031757970592,-0.00015941960004105124,0.0413900680388489,0.04437802681837674,0.01687866264397301,-0.0826182055454643,0.007409243062896389
CXCL13,,-0.0026415844161211772,,,,,,,-0.042601055322796864,,-0.03146913253883599
MICA,-0.0022309897126575134,0.02957953381328224,-0.007553500473057313,-0.014961233306036478,0.012866625886140948,-0.04141913463426268,-0.061827339610638195,-0.023246757999770676,0.05375748162973996,0.03704760042198219,0.032019557570478335
TG,-0.01579654228544504,0.030595606540339514,-0.022939701664128582,-0.0083052558894867,-0.021736048905167945,,-0.019143258018146824,-0.03808475658232917,-0.02520079464064854,,0.007976843215296923
ADA,0.014814258721821693,0.04549489603205278,0.021052459021458483,-0.06179163130037347,-0.05123364776426671,-0.007847562827169426,-0.024456010806942458,-0.022226196685320984,0.015324621757243749,0.07617605980515642,-0.01973198759843115
LAMC3,0.11019574244381454,0.010258237309247263,-0.02618480650958636,-0.008358820795400972,0.03201772085615008,0.009740475934836363,-0.02911642240932011,0.03772780936519605,0.02749183048047958,0.10118601965101814,-0.07836644033221453
CCL7,-0.02110104475480243,,,,,,,,-0.028425349219037877,,-0.03377163814514506
NGF,-0.03622944598539467,,-0.021890628206084763,,,0.056294025079940885,,,0.06083267184144735,,0.03563808096274727
TNFSF15,,,-0.026580021791541054,,,,,0.05523704483006829,0.004394065261829749,,-0.04293773140921985
HMGB1,0.022656525858330848,0.02718450989964391,0.02621224338910725,-0.056970527312703925,0.06515230030204804,-0.04211005667763385,-0.027955635784923966,-0.011435729869728774,-0.008872942238068575,-0.07153680780891303,-0.09400889912207516
ITGB3BP,-0.052515307714092366,0.009917102605232165,0.0040604301502324205,-0.01267229287999422,-0.01691726950988585,0.013715512107040759,-0.013527899036008593,0.07784883585716296,0.005606478647778365,0.04846413164511639,0.024358227438820615
AANAT,-0.007171451988853807,,,0.022515427092952886,-0.01954735580628272,-0.024121205824866924,0.002331096000499587,,0.07846782258275162,0.08508625476555856,0.0210318252115739
RELN,0.06573116318419096,-0.056672207451143666,-0.00038155609043621913,0.10414008801294637,0.006195843852616019,-0.03978928259925189,-0.0005377606178197512,,,-0.03386201351871301,-0.012250341628307126
IL15,0.010079082651613929,-0.010166778633771247,-0.018913265668718055,-0.048198385778148285,0.05304582543494238,0.01679270333395939,-0.015854666423946687,0.00579516684115277,0.02112791820776353,0.024814695057779085,-0.03779468894682785
UTS2,,,,0.06522943692916809,,,,0.00014671490917162483,-0.0012370723095006192,,
BSG,0.04698573669429474,-0.04411282548576005,-0.016737565707264087,0.11725685941206289,-0.09821819987346128,0.06839189834705521,-0.051925290502050726,0.0033018753455953138,0.03754222060318948,0.12085937327470814,0.011966358437007184
ADAMTS3,0.045715106412053376,-0.03466949264579183,-0.017897875464113835,-0.01864708573999577,0.02959465433517975,-0.038732988693883634,-0.012264302692492608,0.029213733683266664,-0.05694322913802373,0.06845772312061296,0.07016903763887868
CD34,0.10175054315406018,-0.014948543239064525,0.0602610359196181,0.04388205805401838,0.03396983411975598,-0.034866811687235634,-0.01557226289271694,0.06063435834029336,0.03050414605935057,0.06783953052428615,0.017498029674187305
CCL23,,,,-0.021025132044561082,,,,-0.03312494460357777,,,
PLAT,0.11230963253858413,-0.02384524476287441,-0.042190501683481076,-0.0391466939995556,-0.07653799506980705,0.06771113087303714,-0.004761173856862705,0.008729840855278873,-0.01211189791500629,0.07156043050234477,-0.05366860874098465
NTF3,,,,,,,,,0.06735856544207829,,
LTA,,0.0004157824201739755,,,-0.01882614079451981,,-0.015854668381054107,,,,
CKLF,0.0685426846940352,0.015472578934393152,0.039136137442122465,-0.06928146154802989,-0.015848429954755768,-0.034384726534741505,-0.03048767418346129,0.0007391141653831691,0.04904593911863049,0.0020636327698888395,0.018146567682256226
CD24,-0.04311753315677043,0.0690245835851867,0.018113360568238663,-0.0008993984197372021,0.006346336253380332,-0.028071491213401124,0.03460784486414523,-0.015271363349467265,-0.025483151320965354,0.0033996960149413405,0.010097071322606357
HSP90AA1,-0.029975959583246493,0.027273094003703806,0.053802236441567584,0.021517672298052223,0.034326247969873096,0.061337690830439905,0.10175764575235266,-0.015838694952383808,-0.002566367860115369,-0.06795932616187206,-0.041483174502954294
BMP4,0.03644050678491406,-0.001425190181582582,-0.020494066752497556,0.08209308131935932,0.05227993612856728,-0.009627437365851449,-0.013509815000972859,0.06926833414448577,0.05507194853586769,0.0958505260116823,0.031874329881856546
SCGB3A1,0.04597014919942796,,-0.008459351999736566,,,0.2111437905652054,-0.011063177927079148,-0.04087884277340716,-0.022978992032065184,,-0.04760322416236328
IGFBP4,0.10542562759094408,0.039108770908166536,0.02569311286487039,-0.017199947440191644,-0.007095990354625584,0.007551212053837724,0.03439779207692703,0.06810487613685466,-0.025034931728357995,0.10824722018986944,-0.07481479981983628
RSPO4,,-0.017342411444707398,,,-0.021895947850305707,,-0.02199292107396365,,,,0.004659874912292587
LEFTY2,0.029723147666909366,-0.017978131475968093,0.06383781052840551,0.028675013075196976,-0.03758267377537513,-0.025656843160136167,-0.019572411057272286,0.02475251302204484,0.04761011126299152,0.07830369087235442,-0.0694191228363159
PF4,0.09331542305911014,-0.016155144309286523,,,,,,,,,-0.002455049200130795
ANGPTL2,0.05074037837989407,-0.019100754454667957,-0.0010229025228273634,-0.02592678792457172,0.01620652818309074,0.01263437958908084,-0.0589616104413144,0.06987033209301262,0.014230297091637506,-0.023369200393595788,-0.025370988906992475
LRIG2,-0.009913234737027682,0.028779853159465185,0.04267396197500702,-0.07320354592197736,0.03783472569341745,0.0013673714066516742,-0.0036351889950029426,0.03392722907527967,0.006911049800633977,0.058730944364442816,-0.030775855987676265
ICOSLG,-0.014058682222016262,0.058551944725586155,0.017076443964956466,-0.0444658323473023,-0.022354829135964906,-0.007380005082907521,-0.03875693035278264,0.0631357283167206,0.07998799686852394,0.004302513640353729,0.008881683506540228
WIF1,0.008078872322568985,,0.020304500906178295,0.12259256497472298,0.0161416294311142,0.006778728456377493,0.03985477217718096,,,,0.06506865787862165
NPPC,-0.038321798679198,,0.07122177332924358,-0.018729194106878472,-0.015993091927511693,0.05488755113394254,-0.019687812427901102,-0.029267025422670425,0.09641161565446818,0.2688979742557487,0.08352161373379924
LYZ,-0.021534429479766092,0.053486680872837214,-0.038135570641355254,-0.010974660818103317,0.01212990895007935,-0.02727974032008333,-0.02521606237666995,-0.056511776612693604,0.07927249935158523,0.12516510446950543,0.03555357982225129
EREG,,,,,,-0.026393393697944433,,,-0.023813381637322377,,-0.02693984738266927
SPTAN1,0.07452825089301748,-0.02208699503857277,0.06162711394462208,0.03467790652382417,0.020412077138827443,0.10038804300363917,0.06576555251317528,0.013610082885730172,-0.029414849297642917,0.0073899557693851,0.01593213381264091
LIPC,-0.0267978215011389,-0.02431435559027251,0.048322247161197346,0.009864509058775953,-0.040936704339149574,-0.04727008706269227,-0.024906201383211955,0.06192108565161461,,-0.0001346878139113071,0.020828874062171997
COL8A1,-0.010418398991988114,-0.001453894527021782,-0.036375404123688206,0.008904301959625093,-0.05426149047927007,-0.04458522165860074,-0.03425482651264447,-0.035247663776015854,0.05918957884620493,0.09906359538821004,0.009698807460728992
GSTM2,0.041513042775117026,0.002962022921714474,-0.015993712843511844,0.027904908551387626,-0.012692626838545626,0.013668343193584048,-0.026237356972526268,0.10094793581038429,0.02852944985320029,0.072936139497463,-0.0023782313904392284
SPX,0.022617319889978445,0.00277699287739714,0.01396239893515276,0.09192681750786215,0.06307712089354153,0.07065570779962815,0.025962402200847664,-0.038799056413235354,-0.028659746479413814,-0.0936499656586002,0.07357187215021674
MFGE8,0.06662555279285085,0.04520238005140228,-0.0125346178778812,-0.08411282425622142,-0.10024646982882048,0.017709331456194986,-0.0615071442160524,0.04308722460753271,0.045886525206701556,0.13791132409079307,-0.03787623692407714
TGFA,0.0656879453227082,0.01761755187919425,0.04942553207657081,-0.06205254691803519,-0.04038865308879637,0.0065836356170390796,-0.026053551964649722,0.09430298855223132,-0.003187299758669268,-0.04051175419223164,0.11374224812559511
SLIT2,-0.034790966871045485,0.02825544165393526,0.012868937115734762,0.06618076368399184,-0.0010678118410543571,-0.007685883473133815,0.13810583526912193,0.056695892552413,0.028391986362302224,-0.012049897066449428,0.01114575824752603
PLTP,0.00765975893544503,-0.007192866194223236,-0.017968915124624344,-0.040910926423181095,0.011676920444146506,0.0017269983581929083,-0.019571486953046183,0.020755173338268033,-0.05630744770584488,0.12906630402271668,-0.06442413517551343
APOD,0.05153977614975073,-0.03724975456342763,-0.056545728410210355,-0.0927085695307246,0.018356362270320076,0.006956393588659345,0.032940376486879516,-0.026904284459260984,0.021312070919073084,-0.1490792518106669,-0.030989329163914104
B2M,0.009422362843405401,0.004312708815506318,-0.07297594227601009,-0.048956366777964506,0.030880381874421353,-0.03665865986699018,-0.06259464016562694,0.05259185370274796,-0.009068231862229685,0.10978543426994943,-0.008739457883353988
OMG,0.028903423924406275,-0.002888060251848102,-0.03802916416014419,-0.041579984036601486,0.037720893318245886,-0.03535506202679122,0.05156870927172924,-0.003114469279029441,-0.0017155610009593513,-0.08372312535502935,-0.018890566079928155
CXCL3,-0.04735338369583123,-0.0035541761296481998,,0.006651668218408743,-0.06281120026316114,-0.03715516266398593,0.01797258935895412,-0.030162604673743394,0.00978175259130582,0.1934825793035436,-0.026629379649222042
CXCL10,0.03706704685556064,0.05461805189328799,0.03013357628830429,-0.01898462463131018,-0.0331456664082155,-0.026347961250466543,-0.0181449529320344,0.13690703589730172,-0.014754085320397643,-0.004777251195504792,-0.054199379413528634
RSPO3,0.06777943849996039,,0.10026114689596317,0.00894890817663307,-0.007062383668006022,-0.006492802565648809,-0.011931832687593505,,-0.020021387631631173,,0.00983709552041866
CORT,0.012528557587245236,0.016991765068927127,-0.04351366684666867,0.03357671728836,-0.026259941006544583,0.007025997372440379,0.09798848261782508,,0.023497984760226107,,
NCAN,0.042994859855489245,0.03258790581722978,0.03355771191222859,-0.07972215575547963,-0.03980604636173522,0.04417743549099242,-0.0735878494143471,-0.08101771507046018,-0.007366526175820633,0.03195274845771923,-0.030901773603290633
PRG4,0.058156896578508574,,,-0.026284417150463337,-0.00837842250413875,,0.08227821044833826,,0.03957926018681502,,-0.03256902635276873
ZG16B,0.06400816883866173,-0.019440090502762124,,-0.0015473378553090805,0.05970241337793442,,,,,,-0.019962240914657266
TGM2,0.016943866497662472,0.03842060240785093,0.06019873778394028,0.016069770159605562,-0.05334334126968655,0.06427549485262299,0.08137264733313858,0.040054609848780086,0.03775782289566955,0.091731749189859,-0.05120882969004955
VEGFC,0.05647993515591533,0.028369520796570142,-0.03877242276225023,0.010546662759618922,-0.0038978546722061914,-0.02982441995838158,-0.014236821711684685,0.055595051660737485,0.09819270224413638,-0.025150939209340094,0.03703993501354214
WNT6,-0.034046069231149605,0.10498223990736852,0.01913363220970069,-0.025847282471986345,-0.0004890837920885615,,-0.01242517907422028,,-0.01023849403227407,,0.05138794222301119
NRG4,-0.019434803024847992,,0.02229066141651662,0.0027989892493001296,-0.02873881067812182,-0.017408255095063163,-0.016608913098248777,,,0.07711479749803252,-0.013723983901273653
PMCH,0.10131432060439498,,,,0.05562117417084421,,,,0.17201307479064817,,-0.013151039567454323
COL9A1,0.04916480334240213,0.006710654583853174,0.05190891027455253,-0.03292976617418867,0.03357155858286294,-0.026027508093199238,0.0555515809895009,0.029584356233044038,0.0006936319153759724,-0.0002889356136422867,0.0060289656987075725
GDF11,0.007206207105141909,0.0037331981368361436,-0.033137681824950395,-0.004558399356720832,-0.005687391398404621,0.05181871405571668,0.036004874658738174,0.06398213735848438,-0.028545890927983496,0.062130525992175674,0.012262927907022969
IL24,,,,,,,,,0.12463668151270074,,-0.034679126994905295
SORBS1,0.048697717237514385,-0.058922164036079056,-0.024321262437344688,-0.03275626748075994,0.0004573924773620749,-0.020333267660885466,0.029365653394397048,-0.020776025280504744,0.0041145623077117385,0.013121962630303087,0.005252655602080394
DLL1,0.059253735499109124,0.025242795061600275,0.03465716016533688,0.003164695676408123,0.05021733126077043,-0.059242481675882766,-0.027874391215689673,0.07346038143065747,0.04462509660173805,0.0008996585190307892,0.026373434228104425
TLN1,0.0019000912034429615,0.021981351008960492,0.0023978698340661507,-0.0697403647520845,-0.01138767031071624,-0.03593919069791754,-0.018515690261308212,-0.005345483352459412,0.0039940641410240825,0.05439774156395062,-0.07152219341570627
COL2A1,0.06274952449459191,,0.013443060538976372,-0.02426085577377794,,,-0.011591849981026397,,0.029210005985770737,,0.025553379045293038
SHH,,,0.09328065873788048,-0.019071980486323876,-0.0482182938653333,,-0.011063176960088525,0.1132994399421444,0.01390790156461227,0.05143115883760728,0.023702837849254876
PON2,0.060711104745318024,-0.10995239625450245,-0.02168296888749312,-0.08699188957562361,-0.021551317978047827,-0.07002595852729611,-0.06885392767079998,0.06146194141184741,0.03792210898595247,0.0650027983345426,0.01213267049613463
ICAM5,0.1468584264871349,-0.023141893413294812,0.10103859353695813,0.15873832723331535,-0.018164957169120685,0.09187382241166983,0.16904460900171817,,0.05585515656223021,,-0.04133125230203867
HPX,0.004189153057726719,,0.01794803934122193,0.1049897846283901,0.008363157140953367,,-0.02812038782551709,-0.030162588893316872,0.04380154328757354,-0.0270774330575449,0.05605293526357897
SFRP2,0.08314787201671094,,0.005028623470608005,0.0012541261207031527,-0.024466525680867462,0.018599008725948746,-0.021703121979148397,0.011284231003301887,-0.01971909852789272,-0.04168828922948937,0.020100055977762817
CFC1,,,-0.009918841900842615,,0.01078962318688618,-0.02711140750972904,,,,,0.011119373035235655
CD70,0.0099775867398029,,,,-0.03511734634295103,,,,0.027786220244000327,,-0.054493047898304746
HP,0.02426812450213823,,,-0.0018966141286813243,-0.05637605013205857,0.022874393770308102,-0.038643106872870925,-0.027879104964735293,0.019738396517724317,-0.0258656722887548,0.013727100395111217
CXCL2,0.06653661145118034,-0.029789058676229527,0.018870577457700367,-0.018538785261259055,0.04460303508656683,0.03732371444334575,-0.02189668617765302,0.01586583137577505,0.00039053195874720983,-0.005655193351104025,-0.03877235767216746
NPPB,-0.027222387267909515,,,,-0.01648493551039637,,-0.014236822747169555,,-0.04069226404394369,,
CCK,0.10058932013540706,-0.05810573793919207,0.06094740507641392,0.05199727410794197,0.07927681590215611,0.08461092795613927,0.07519852724698949,0.017714748051003572,0.022512984037523383,-0.05654162560968036,-0.006203164806328995
SEMA6A,-0.06543032657067402,-0.02223774061704989,0.03554904321953252,-0.1106870315685421,-0.03338769800590811,0.010952412222902984,-0.0807937369176642,0.02056869123325107,-0.027835819104581758,-0.016223368772140753,0.04726024042145256
IRAK4,0.01676536212149369,0.05399773658206892,-0.033070541137500326,0.014150478387058638,0.04386751838711144,0.005506991071201514,-0.014845685760169446,-0.039849149642969976,0.026416016654405034,-0.012336464620417199,-0.026770489650955163
GSTP1,0.05877271964722345,0.046391143113885404,-0.060159368689322125,-0.05820604358205462,0.0005209050025190029,-0.03360844453581658,-0.030699398624000007,-0.07470001629802397,0.06087195925804288,-0.062279584040758354,0.035705871783241035
VCAM1,-0.036768231800972495,-0.002768821765604213,-0.041616445119326446,-0.04142008900231597,-0.02247134603251752,0.08739964914834265,-0.0385165383689034,0.040983104811544775,0.0031066894256951702,0.08623527910439895,-0.031740072994069536
NXPH3,0.0227350530454444,-0.061145500480673416,0.031088449834452712,-0.01991863542998102,0.01762778850165583,0.04559784743854018,0.029545052443830825,-0.05062452183853334,0.04070865574852714,0.0769773623152861,0.08601480768479991
MTMR4,0.04075108749600717,0.005171308627865915,0.039782104705754086,-0.03142179407562818,0.008636087004922788,-0.06456056591542268,0.022737472407048428,0.018658187681558705,-0.034814569279968566,0.023439671307110912,0.07754058373447512
LAMC2,0.04139863014066515,,-0.02658001917916517,,-0.020752694679190175,,,,0.05581967465492591,-0.019526256301452074,0.04001572012252536
IL10,-0.029082230268112706,-0.025750468281713276,,-0.006234393037662645,-0.012859442237840303,-0.01565049606569459,-0.012743980417130396,0.08409813487231568,0.011154892259879293,0.034635881496559426,-0.031377571173586416
SEMA4D,0.04703669977688354,0.007681535565257587,-0.01530974249328256,-0.07172822603450872,0.02629471187526768,0.015474757314355898,-0.02102375885871513,-0.022840540317655485,0.00020340949261078576,-0.11662070012508192,0.020363086877277368
TRH,-0.0587932977545674,,0.013983486155675174,0.03754437000619585,-0.044559472049600035,-0.01685242359199504,-0.005919374629161306,0.06196080485370137,-0.03349100909659402,0.1380538461891307,-0.04535978956215648
SEMA6D,-0.025577795083315008,0.05029411774105545,-0.05098710299690598,-0.020222552892792588,-0.023856463772553585,0.009314603699665315,-0.04784315609120906,-0.0012909176088251749,-0.07608933846927897,-0.015694389293593798,-0.0044384407543795815
CEL,,,,,,,,,-0.03262128674613741,0.041199907277625486,-0.031913016670817806
PDCD1LG2,0.006330955661949263,-0.01638735502500364,-0.01866583621515306,0.03134405461068242,-0.021901189405478864,-0.03166834250544707,-0.021800092229170436,0.0137985018586915,0.01483720674833077,0.03445197082057314,0.004536045800215153
SPINT1,-0.013846624217452566,0.00829726005565751,-0.008840715136496638,0.020013728144966256,-0.036053272063080864,0.011544055089741764,-0.01870541970897745,0.006349538488225739,0.058264291090242434,-0.038580229953631556,0.006044979703509201
CTHRC1,0.12122446781844386,-0.0269692267072567,-0.04725994824605548,-0.01724889555702297,0.016887962596900348,0.025032954274509824,-0.048926947234708806,0.01406066757654514,0.05166661883161687,0.05139292291909225,-0.08253697243014421
PODXL,0.0788867819089398,0.041902318225332455,0.0010206033444380897,-0.016279154953183644,-0.02633214268744811,0.052676004163828664,-0.016981381638918023,0.03893082466936025,-0.02924789317184868,0.08052375339808031,-0.06470713534754083
JAM3,-0.011953056825722626,0.027067334542025645,-0.01629434987141196,-0.06458866392764162,0.016097105251997323,-0.012256526423259142,-0.06602007981723113,-0.0358713383480364,-0.022073952190823642,-0.03300882265476398,-0.056041165483581686
TGFB2,0.02456571909165568,0.0037389525673653294,0.021305513058930352,-0.04064537824901844,0.02626992658515873,-0.017940873272510746,0.03734184519529101,-0.04385023988421089,-0.0059091623089427316,0.02737801113679937,-0.019909919472641216
COL18A1,0.10218970433942495,0.07882465143194975,-0.017934584032674304,-0.045337891539159667,-0.06892881691767866,0.009397779417675337,0.03459471838417943,0.05429293099235413,0.002869426726178918,0.09001274096295743,-0.08161781209707117
NODAL,0.08049726177845289,0.058199429286185274,0.01577563389562679,-0.02494375686028033,,,-0.019572408867883237,0.08855699025302984,0.007591388591540586,0.09416705524238662,-0.052329856660197
INHBB,-0.04736425366767797,-0.0580933407485618,-0.04217098856171116,-0.01922990438207578,0.015642030594468788,-0.051233241871745605,-0.04831599485527115,-0.06433488526090646,-0.014164705937712909,0.032682033678598385,0.06950205237549577
LCN1,-0.021366732353953914,,,0.0498132707768751,,,,0.03402396129093554,0.01756079406072153,,-0.020951910995504187
ARF4,-0.022555978159324103,-0.025116394461565505,0.0035009444247599314,0.03749824917793075,-0.021479884564156594,-0.006914399179466557,-0.07480214848938946,0.016781497716262837,0.054101143312390625,0.06683782395706322,0.018573843197646597
CXCL14,-0.020786772895876243,-0.020931746366701805,0.08805442759585427,0.09646804538269889,-0.05887560497413473,0.02053263821683052,0.051712450131810715,0.05894633464744113,-0.07475190718944992,0.113124739482728,-0.012059464218259439
LIF,0.01569730053302884,0.08354781036405351,-0.023548454453316426,-0.06669399064869296,-0.035145197666939645,-0.006301836721634604,-0.023577885918477176,-0.0033877572970717677,-0.006248155200267196,0.0679944272650646,-0.04692888179668477
IL17B,,,,0.009475308971679636,,,,-0.015332549744662196,-0.029806858066206206,,-0.02368901580765879
MMP1,0.030157904377819136,,,,,,,0.05423863791085803,-0.026418802609483982,,-0.053014201199110315
MATN1,0.020979767667480533,,0.10541985724789554,-0.022321440721263637,-0.016691973373712747,,-0.011591848538476132,,0.009101454549346934,-0.019751751883828033,0.0014277802896771627
ADAM28,-0.006548797971988108,0.08229174410658997,0.009785427831196562,0.011854515386140073,0.08106670439022078,0.025279058837477084,-0.029896463379538794,-0.048473512007735024,0.015931021371267923,0.04649067857748714,-0.03852362468508391
TCN2,0.08978372188850045,0.012450746650337137,-0.006177102162493972,-0.0460143844472707,-0.037625664566746736,-0.02533416960238522,-0.004826305356944613,-0.004721127747223332,0.016229138940820037,0.06342764596053788,-0.05318057572445117
THPO,0.021225836691565594,,-0.0323279724068787,-0.024570312702148978,0.032492144378664,-0.036616331334836924,-0.011591849870060974,,,,0.09193346762925796
CUBN,0.036752217171864845,-0.03332010024785646,0.015439154638750055,-0.009973295841110754,0.03071771558882233,0.048533229104936924,0.008597650310488111,0.04547319343815555,0.041711334720111376,0.010032425052070717,0.02055909762728721
TIMP3,-0.02675404343801731,0.03486622674423195,0.010886527118989084,-0.023245826570808155,-0.01819853790012371,0.07597598280184427,0.04277690552063775,-0.058660123231820384,0.015642417189400428,0.07226041367381175,-0.062100622768757566
PIGF,-0.000845000037117916,-0.01939116130470034,0.025584479854435547,-0.025984947058364002,0.004729658580263559,-0.01525634064125239,-0.01718977038066882,0.04862903171746004,0.016348565670447825,0.010301895090598607,0.017605316998402728
CRH,0.044479749517742646,-0.007153855947476766,-0.019157675803070297,0.015194090301875244,0.04882736572294873,-0.031411574132237476,-0.015854664963007817,,0.10363889882938199,0.07301167479711802,0.00871087851047324
BDNF,-0.017077238362064786,-0.019440086797314803,-0.008618105820191495,0.10202832707513834,-0.01309590948153643,-0.036344334316913814,0.06409572189083274,0.04625564650448995,0.00169244484861482,0.18550235753017882,0.03923352351085012
CCL5,0.11441427102530399,0.05958592981300246,-0.0020908654940165277,0.021936674454886177,0.007074199726577416,-0.033146739151586946,-0.015725738333469064,0.0045583673435099096,0.04872831080395102,-0.02567846530979565,-0.025638130491705723
GAD1,0.02681460830953955,0.014356690620725305,0.06160666302190998,0.07509545688982408,0.060046541610431096,0.019459499657220124,0.04609061371627375,0.03825755540416416,-0.04720516890096061,0.02087447055519758,0.026420700994537145
COL14A1,0.01593593049175423,0.04593508273740202,-0.02965751574685482,0.013724652503780525,0.017975669127860035,0.017171564214375778,-0.03883250655260571,-0.02344174234422041,0.01822423001782773,0.023573986633690452,0.03378490414697955
