,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
GRN,0.05388748860902689,-0.026683213144975702,-0.017626402912616617,-0.0024147268675198293,-0.028032088490870962,0.0627952533581393,0.01724088194712327,-0.006635198262582958,-0.05422181864358141,0.03376412363966163,0.062000753361924586,0.023225811151411178,-0.04068601581934202,0.01929429557351661,-0.07989019407812306,-0.010235775446562347
MIA,-0.011484014747865348,-0.011296754339670098,0.0061775086882854754,0.019258942154193923,0.033552274630296516,0.028755518085695618,0.006764217741894991,0.005325356366754584,0.05961491575590861,0.008473700951168535,-0.004176822641837265,-0.025963958782203908,0.01762185284188021,-0.0902683447299939,0.0745833711767911,0.1145415064331733
COL4A4,0.003585375677394054,-0.0003807917030867842,0.06524196940783515,0.022041571608820955,0.08358395881428357,-0.02463976068388753,-0.020680814323095573,0.08518995637452569,,-0.06038164254908245,0.008689968507578078,0.0336826590977795,-0.03372007071523806,-0.007121429333916758,-0.0013429135928776817,9.455409173292436e-05
TAC1,0.04477511544967773,0.05739492867164656,-0.047661394869804516,0.09123046920187129,-0.06049663491723795,-0.09882754521209525,0.04400338474347074,-0.040238653170395204,,,,,,0.027771804214531116,-0.019435879215150206,-0.036247394706846923
RARRES2,-0.002766462250144313,0.03501943878631894,-0.043759127904073714,-0.009914344162801963,0.024057551765506596,0.13294611451729313,-0.0026080672151721756,0.043308384572430914,0.15080803779481886,-0.12695153763289088,-0.035443725624980764,0.00640312979014433,0.046958887228528444,-0.0015334585274942999,0.052262777889803776,0.06589641826594417
FGF7,-0.029732486852373296,,0.05087916936528988,-0.02960044393907932,-0.032110223378854524,0.03612985330309001,-0.010021226974193612,0.029925145773990792,0.014397126088366602,-0.03549903201348615,-0.005135496426492182,-0.016451062791344225,0.03534014161140583,0.023663766901975226,0.11412743202634225,0.0016517544145447666
EFNA2,,,,,,,,,,,,0.03528066194020391,,,,
HBEGF,0.007702791600656838,-0.013688327917661528,-0.03403985657378873,0.002392448581425414,0.016036721443696462,0.05054912320830893,-0.040122243999328885,0.08566769918387747,-0.03740318675140185,-0.03848284168392633,0.005725320513953507,0.008980878383395417,0.030794804959945098,-0.032155043443283696,-0.02043546668354365,0.1128681691818045
CSF3,-0.032360447255406787,,,-0.0199036961923939,-0.02519107393693655,-0.02606839254705168,,,,,-0.027418880672504153,-0.016855639096167236,,-0.0058469118594108,-0.015565918346212225,0.04516830550969684
PI3,-0.03833577539574477,0.10167163571733825,,-0.01741255190352763,0.025620303216778904,-0.029353354073519966,,,0.07826812383302008,,-0.09068105779973348,-0.09103608952730609,0.08906610688200214,-0.0395612518327817,-0.0338195692969097,0.07147573633326391
PCSK1N,0.06091382638763039,-0.002111370046481333,-0.04726708134434674,-0.0004909389443900773,-0.025683252293802153,-0.055382548785606465,0.06513339025919489,-0.05199880886989133,-0.03396445069076744,0.1067429050326111,-0.04429911142349128,0.05049381375497194,0.062044787162854616,0.00814878843234382,0.05409299710387851,-0.03530897243676293
NTS,,,,,0.005194030733379321,-0.005883568490033619,-0.023625426373480227,,,,-0.0003456493506123523,-0.03416604580980156,,0.053391945321815404,0.17783679243815315,
SFRP1,0.06381362752814702,0.021366745079908208,-0.026935173377119,-0.01457048214914413,-0.01913199386299794,-0.05706225105420814,-0.019015140665864884,0.015296577616067009,0.06551234650074642,-0.0034351954102174293,0.04508135416854577,0.03982628730521042,0.0013279819177902978,0.013895773493551693,-0.02251535558382963,0.04534046365679154
CXCL13,,,-0.005545713677726863,,-0.018960050244953598,,,,,,-0.006621775687874442,-0.014683512345701548,,0.04251147493245335,,-0.027671744625435486
MICA,-0.005985021952165631,-0.03203604345340944,0.0289775927281833,0.017475425657689617,0.031359631585934376,0.04770387386873467,0.02187452530939964,0.01843022230270491,0.07118588155868523,0.0923319955660881,0.027057660225204658,0.007578739567786526,0.05250983907476979,0.013492816903974282,-0.01003840924485755,0.06612250332244433
TG,-0.025796441571206807,-0.023985479209342995,-0.01615514744874234,-0.01572385870224404,-0.020996521162106357,0.0425558482652327,0.0074582210362488625,0.005209239067409132,-0.00112407680478264,-0.01967888009106361,-0.024258388771037982,-0.04207922032479211,,0.006269178559963543,-0.03035650985541824,-0.014298069335518459
ADA,-0.03814872281966026,-0.013916005423760258,-0.0333743836892769,-0.036187479102211366,0.01025500739901161,0.029902714248484286,0.06474572507146399,0.004728157075363686,0.08463928790477572,-0.07737918658224881,-0.0006062823305567445,0.0267852883962045,0.05487717169976002,-0.00235717945051738,-0.001007374582521285,-0.011281005098420331
LAMC3,0.03434792553201548,-0.0345481542322138,-0.028728177174160065,-0.014942420910448498,0.0061396068915397254,0.05090559975589902,0.017215855376520556,-0.03774755317654104,0.06789793016443947,-0.018258549040970684,0.06130915562200581,0.04067616403044449,0.06772535649523218,-0.01712262449800025,-0.05302480384314249,0.025818283628139937
CCL7,,0.08555575960545068,,-0.011368324719252589,0.005105346900411433,,,,,,-0.027362358296261886,,,,-0.01631157354935675,0.05479469343251178
NGF,-0.018643773558044287,-0.023621938407845756,,-0.02604773553826951,-0.026831692749295293,,,,,0.0169115267589928,0.026249688308613073,-0.013300415434954811,,-0.018431069693944733,-0.03089273968458763,0.014057813692748476
TNFSF15,-0.02306467469774745,,,-0.012659185592527282,0.06163368168637033,,,,,-0.008078692713220792,-0.02667522681101555,,,-0.018810246082208933,-0.011683579650718545,0.04250850073800837
HMGB1,0.1297100078794149,-0.02023802921306971,-0.034400320466610804,0.024703241939550216,-0.028583089775350515,0.07070896941101312,0.027174998727301145,0.01061449647540944,-0.09640113649863749,-0.09181460879049212,0.002763501370977643,-0.014515116903076353,-0.04825323501665063,-0.0251162902441736,0.06366915012916124,-0.016925922419842997
ITGB3BP,-0.023950968958151297,0.00823116257575986,-0.012766012033108154,-0.021314956016409776,-0.009536581358191444,0.1458363634674759,0.00579847417329288,0.10251567957519711,-0.039419791923193365,0.06486512121341297,0.04059642854751911,-0.0069980992346195545,0.0886614706100012,0.0014017723211887472,0.05602029605147416,0.018235377360142177
AANAT,-0.016036964441764577,0.01488805712898915,,-0.011518565419150167,0.027406185801161463,0.09625393824392021,-0.002704374281699229,0.15704301408274474,-0.06126713813039432,,-0.005292242987110639,-0.03773935616338446,0.009457953242402601,,0.006236197183267454,-0.02083046066472037
RELN,0.07786874890538148,-0.043093083426875164,0.008952492229661206,-0.019993650042032254,-0.025645012472525344,-0.06899861438693553,0.01180998227955954,-0.0236820299190549,,0.0287036237991972,,,-0.0011415744608703681,-0.022720738757150874,,-0.023874416393462373
IL15,0.05871432333760133,0.026266199710489158,-0.020581410690349706,0.016927113944217503,0.020587465268420112,0.06016353403180568,0.0829790644626657,0.04711266395820785,-0.07061674431120704,0.06450853754263979,0.03869611701394052,0.026117662374260754,0.015500839990302566,-0.04588397944096593,-0.050470402354295354,0.02793079408848478
UTS2,,,,,,0.007546449365777873,,,-0.0017923216333532903,,0.00018626716740321772,,,,,
BSG,0.03184173981906624,0.03052860251011699,0.019670810202148475,-0.062427925794226076,0.01119956457824033,-0.0029881650704223386,0.004231891826463099,0.06735770974133974,0.05633507447079046,0.02533585742678508,-0.025653921479230284,-0.01920097341200715,0.04829920974092004,-0.05409015658364477,-0.043857532862923605,0.10418528880879893
ADAMTS3,-0.0611515456356798,0.007512632296331931,0.045362112645298866,0.018424204019835327,-0.038449475679581485,0.11389323366984935,0.054955142578002755,-0.00209804678936663,0.10043121888990475,,0.021206029559719473,0.0029678019927659722,0.008235928768285442,0.013006422659354458,-0.00934089337302305,0.0007249542690148931
CD34,-0.02025782186839131,-0.038721217439470046,-0.01339533706040979,0.007129056776387741,0.04563510643875653,0.09389053373315782,0.06204595148677281,-0.03822837549907909,0.07920444715291348,0.03318135875294718,0.004707416474719547,0.08157677535913077,-0.006375045180598604,0.1004002340486922,-0.04707296946023266,0.03464362198744562
CCL23,,,,,,0.001476568947400407,,,,,,,,,,
PLAT,0.054691009672972246,0.003745086206454042,0.011366868675482861,-0.029319069765152063,0.009079472183401825,0.1078176570273566,0.02316572231020651,0.052648720052475895,-0.04923623412909409,-0.03570374881274124,0.004401458919120096,0.010165281836227091,0.038320497211502914,0.03389833437420516,-0.0243527450901986,0.03248496029307359
NTF3,,,,,,,,,,,-0.033004991133582046,0.05152564933142772,,0.017838822628815622,,
LTA,,,-0.011880546213344782,0.025200396527510206,,,0.07829743425802023,-0.01983945662314251,,,,,,,-0.023227104616365325,
CKLF,0.05614269108092366,-0.01359909271947149,0.027503480965358703,-0.008699517405574236,0.0570014465277242,0.11445156334753248,0.008577965311532371,0.056522700516045174,0.09372158731413326,-0.006274749034921058,0.04986641137219052,0.04354329656296878,0.05514168358019217,0.07583305690446042,0.05712577746855712,0.0003508539316414425
CD24,-0.06062709876612986,0.05735639896486313,-0.06996112957177598,-0.026786142016582578,-0.09384969235304064,0.08000135347386278,-0.00723408088032757,-0.0001919544737445456,0.025201792693722656,0.0986657045520519,0.07337833387894835,0.025767381199650777,0.06163549253388797,0.053571014087191594,0.06113972442362796,0.03106815294449056
HSP90AA1,0.0025646263465808118,0.03651359653650655,-0.026296481274445033,0.04064464954062122,-0.023801883237647325,-0.17008683280518452,-0.007162856169418966,-0.06336245017643187,-0.13551952467716977,0.030023221148034556,-0.0989694553424304,-0.085658420040208,0.04492312042440682,-0.0362645900188311,-0.005290059495564267,-0.04777696959650656
BMP4,-0.024762172178004853,-0.03367393027286981,-0.012594075423832134,-0.014190929331772193,-0.0077096440799562975,-0.02821447453211864,0.00669584528005719,-0.01690526614979638,0.054305838426278674,-0.05873321182429387,0.019068838351802137,0.05599366036472515,-0.01633831901935534,-0.0015300133656699947,0.0963595798397303,0.035545423952021454
SCGB3A1,,-0.01375807761167502,,,-0.019971345031112756,,,-0.013843710465787848,0.03898044597480867,-0.02624473937743085,0.10576456450476399,-0.04620474073653281,,-0.03906294565196891,0.016500983047342505,-0.041858931470152336
IGFBP4,-0.010643620792194454,0.003020392378696521,-0.033648503767100595,-0.017299464694449755,0.0008386982196314932,0.07765359657071302,-0.02997651836879123,0.06634282972298627,-0.00918938907635293,0.03474975360546241,0.017504400539751983,-0.04031807033996496,0.05471272991071567,-0.10283116814063088,-0.05414271236306444,0.041553698585971244
RSPO4,-0.022775280831196346,,-0.019206259836607686,0.0031990553795916213,-0.023050178611150475,,-0.0060942105630077004,0.03429244139015744,,-0.07565490699160632,,,,0.03168260642124843,-0.017416877846462103,0.04888266417543115
LEFTY2,-0.03814874271809441,0.04451378424298731,-0.012026457396779123,-0.03255647365052367,-0.025017804798633966,0.13118723617826436,0.07725159430556286,-0.02449158764147242,0.07429442962789166,,0.12574026243759115,-0.019553768920727466,0.03362548993399104,0.04342038641945869,-0.008353522995637288,-0.09087909691278387
PF4,,-0.014271797027614141,-0.01080697151615368,-0.009918639348196132,,,,,,,,-0.02570408215417723,,,-0.023227099241441035,-0.020575946260549316
ANGPTL2,-0.007345822017259531,0.02582335153170401,0.030362442729602597,-0.0030868309239474832,0.024878795182580078,0.10731849953716299,0.005709833981998786,0.04773233036512933,0.022029712694094976,-0.07428742915547382,0.08468947179576425,0.043527420925883235,-0.06269826716301666,0.02806352519817644,-0.044300327058370045,0.03443442950324778
LRIG2,0.01615012091079261,0.04973934368107325,-0.005145359339043152,0.0362279584518736,0.021737226533809575,0.002387428387646327,0.02901143435454217,0.003747332917393105,0.008510961318326231,-0.017794093295456972,0.006974914102055838,0.0076379550210181205,0.06239719767996663,-0.02438648900321453,0.027760602061362723,0.03916538940400454
ICOSLG,-0.0009203686857596345,-0.033247182798861824,-0.002426877976795073,0.024931410164560578,-0.03401348169600392,0.05805038295276751,-0.013459787239774671,0.029257859821497586,-0.07952510976850552,-0.00573599660607421,0.0133387782767935,0.02887597007508218,0.012146686821104176,0.07343968337596046,0.05087821270359141,0.048622226072999625
WIF1,0.1368912039593874,-0.025679782248561295,,,-0.07560167589435311,-0.12057964413150195,-0.015513197664762472,-0.02129734055465119,,,,,,0.05228052137280274,,0.016225428553847183
NPPC,-0.021693298996970475,0.07113083569138202,,-0.015386255629247577,-0.0002611473799090139,-0.031916398183618105,0.01659305415736087,0.04312644157030167,-0.029559035827713485,0.07863077224086922,-0.030452992031118127,0.05564474163652603,0.051337617070258856,-0.008482364353769785,,-0.007529673960042889
LYZ,-0.071043158601325,0.03981166414550868,-0.048086532895274564,-0.019295320460330053,-0.005940511079462883,0.07303151021927191,0.04436730673069507,0.010338334110331564,0.035858093074036375,-0.03930222478372033,-0.0069274320084766776,-0.041642514870329154,-0.02573732032527416,0.034223835626795276,-0.04922342285435578,-0.0772524172838212
EREG,,,,,-0.032437070410095206,,,,,,0.009768927635610882,-0.013874366936800693,,0.04821086543335944,-0.011685663770439595,-0.00233940656310358
SPTAN1,0.053775118742453165,-0.009795345972846557,-0.047671774173108944,0.06185721680369441,-0.02912291624359796,-0.0418389435567056,0.015548235367690243,-0.027107863246102717,0.011059172285133072,0.023541182662372186,0.01066449788182348,0.009178413968550873,-0.04190335646071563,0.058665052590844695,0.05925942775794903,-0.011037911119746772
PTH2,,,,,,,,,,,,,,0.003599889982059361,,
LIPC,0.041336517335171526,-0.01747243082931874,-0.016265069705794027,-0.017824533622709516,-0.022316366737951964,0.12379159763663031,0.06142297309786958,0.012219746925666559,0.05242440803361365,-0.0056347310584374715,,,-0.03153148181811735,,-0.02936784484535925,0.02962352644464795
COL8A1,-0.002792228609327577,0.09416082517516176,0.02088309774422762,-0.04221473644280758,0.031005642968315664,0.07383298456970824,0.02064747709121125,0.004574749323058945,0.10658726332308231,0.06255326934998649,-0.01323443422934218,-0.062117752005174186,0.016939431410529657,0.016343916571051078,-0.03849377685714307,0.044554518904653596
GSTM2,0.08727852289029557,0.031056744942089088,0.031143459854627173,-0.013949197797652215,-0.0013979672221658432,0.05697543368825426,-0.014434592631932584,0.03312400869862989,-0.004495446326346892,-0.014048909015594026,0.03430933981391538,0.015015005542027253,0.03745701839736898,0.003339971816665152,0.056978399431080365,0.036995851812546034
IL4,,,,,,,,,0.006687049635726098,,,,,,,
SPX,0.05239774751451152,-0.02825889641816361,0.017044259656493935,0.06832266124406171,0.035222506336862636,-0.014664970151752792,-0.01592263894471465,0.022804392625570727,,,-0.02758799006502739,0.04757477611944812,-0.018518114761134376,0.068790990882007,0.1486008176511835,-0.01353990054705234
MFGE8,-0.07884023869887452,0.0073746148842110965,-0.02986356810815749,0.01555415530764746,-0.04044838301640684,0.016941005941681245,0.06464577440210505,0.038017604118855526,0.11629376748169755,0.01798752653636598,3.3250656621876698e-06,0.0071839431163044365,0.018324087164353464,-0.005098275131984677,-0.059957711933934815,0.0978512002988253
TGFA,-0.07645514437269624,0.03932253718783255,-0.0005363471792500931,0.006648796757525172,-0.0469766158676615,0.06109530995348554,-0.047291763045718124,0.0017723570362139082,-0.12298572607598146,0.008720486296289338,0.01149319520616773,0.014769652381214502,0.021726617193091286,0.046493348511515556,0.03787245932022595,0.0420443891718519
SLIT2,0.08881737188978538,0.016689888571904673,0.005857822547264405,0.012980550991487486,0.04036351725638087,-0.041674938467149515,0.004802992661417377,-0.02963007311760274,-0.08439027746111662,-0.04711413991226684,-0.07040411577488281,0.030834360329939393,0.014092853303000214,-0.008950109522515168,-0.025794226735403297,0.11906199866898473
PLTP,0.07203426822735236,-0.006417874999769501,0.0004636608390448486,-0.014532936711841398,0.0055052904672031186,0.14840958194751214,0.01649882694805012,0.017200295481346252,0.034659607477709645,0.17970469553537563,0.0677029294050846,-0.01735726280125428,0.04399264142916178,-0.04090269530041056,-0.012656948594904655,0.05678824378913844
APOD,0.1124275215497154,-0.027513790199039694,0.030002035955948428,0.04783428652716929,-0.021241409578273602,0.06457648771043767,-0.00016318381828854867,-0.035420897089880186,0.008343599114609114,0.05753875190927487,0.11190300983407878,0.06018688499081455,-0.0009189581456832714,0.0652412075445771,-0.06915025065171661,0.009664627916840907
B2M,0.014040921735969434,0.02067004972457192,0.004008861894970693,-0.01746040946302655,0.003380209340569801,0.13679127861838122,0.01566355084742461,0.058101229843213274,0.10425012089604868,-0.09125786568019183,-0.0004044825179343381,0.052211920447872165,0.053576094203943686,-0.0379182245180855,-0.08154885568329477,-0.020144519365945336
OMG,0.07437420629896634,-0.004452423623701048,-0.040859271567041534,-0.023751158427950652,-0.005825327945662727,-0.0140990118259339,0.03396815423547942,-0.03465180386078967,0.05918945564634091,0.03830285698388791,0.14766854578991906,0.10652029193376535,-0.0019410330384249004,0.04578218415665996,0.11886480126354876,-0.02823806133124326
CXCL3,-0.03761890411602883,-0.035243773082428605,0.12645481711948323,-0.045483268883783866,0.04766696811717117,0.0218034370022457,0.003331668663536132,-0.01428800142422716,-0.06457664097918685,,-0.06694957640591324,-0.006797666734116223,-0.0190679637282422,-0.04213481634050315,0.021066389943558254,0.06460224693446011
CXCL10,0.02995281402950268,-0.010260949486848156,0.0012562933102626159,-0.028071275438558894,-0.04569951836215475,0.1147840720099773,-0.03849262599604434,-0.007752801491327627,-0.03789176148746779,-0.001990020890270518,-0.028255145191974383,0.06445609601218742,-0.02568861443650916,0.008948143497303992,-0.0156644318473091,-0.00475579011961596
RSPO3,,0.01741002857752257,,0.08712438057757496,-0.022316352978817143,-0.03861188430988886,0.006267101774266293,-0.0149306861140647,,,-0.021389967496191035,0.02752248903476484,,-0.007887704575971901,-0.016553057580023862,0.001428769934753013
CORT,0.06481691951036082,0.010826211105604971,-0.01930056678078073,0.021223819472087038,-0.013128239530621333,-0.054852406996853925,-0.006005872823170967,-0.013650991393239664,,,0.07077128382876305,-0.026898015535995023,,0.026318618174137307,,
NCAN,0.154192039182409,-0.023581329946675767,-0.02511765571899356,-0.003694564150315382,0.0182767390818654,0.08129105169939467,0.02231905915318327,0.08241712149848807,0.000322762463015056,-0.08455463296753704,0.10144105160207155,0.09375362217853006,0.049163852164374154,0.0984121656493046,0.0540986801501555,-0.03824057371013112
PRG4,0.030703854511354,0.04491800365048413,,-0.011368326490837242,-0.01597842861301061,-0.03344838215483031,-0.004153513540522384,-0.01745644020080346,,,0.01579284775174805,0.015357567077422491,,0.0012930690116836048,-0.037497136526517906,-0.02863891398406595
ZG16B,,-0.01907830119448873,-0.013004433777421224,-0.01319433323600289,,-0.025673650105636686,-0.01373432211305771,,,,,,,,-0.0007305852228315156,0.09468539833184493
TGM2,-0.036613680465131096,0.01668515486211104,0.08689651620065092,0.0016832163028982067,0.021768504751971843,0.061251864337875814,-0.00614723467808675,-0.04259566994568282,-0.04297797799530405,-0.013203661628852436,-0.04395304797883778,-0.03621712934325687,0.06084492411413235,0.00927035447381594,-0.043163646853381615,0.08054431480758813
VEGFC,0.02252978677645869,0.0010372593854990407,-0.016698193764772187,-0.020261401786770016,-0.02459609637485214,-0.006520108496163966,0.0014335122692929903,-0.017814993036240526,0.04084696744698594,-0.02566723483748889,0.01664659858091864,-0.03845632407257497,-0.025150958362304694,0.03508332493052752,-0.031124881530467444,0.020985441149493394
WNT6,-0.03171319730433065,-0.02219835629646898,-0.012026457712407524,0.07663990365202639,-0.02201673631274935,0.07627386079550015,-0.012572402549374846,-0.015548026319638607,-0.03515279356655,,0.015600554288372396,0.08098582778384662,,0.08773045791339192,-0.02492689872331696,-0.018137920773205432
NRG4,-0.02363379961222571,-0.012671673759699438,,0.12996897467605378,-0.022759182019586575,0.006700521449121525,-0.026385856563937406,-0.020783267303402422,,-0.027530114012597997,,,0.12610726096086042,-0.023666234595125162,-0.016553059435226686,-0.008975295867164935
PMCH,,-0.014604785945922827,,0.011505949032372275,,,-0.020103243585757918,,,,0.0040492084517687,-0.015291320705479243,,-0.020001501683948923,0.012966619050935432,0.02103545691256215
COL9A1,0.12451193317768026,-0.03827206038262224,-0.018395388157703318,-0.014450455495401476,-0.006410361966505175,0.0024013972702269307,-0.02927893236599997,0.018315916262614976,0.0005465326606069507,0.061957951429932434,0.11909339485137282,0.09790192387872368,0.037815738942160115,-0.0038079715185942923,0.07243365052295772,0.07264740751268964
GDF11,0.06115829649102919,-0.0008487615566598481,-0.00010832848366123134,-0.0037969046285281113,-0.05810427812416471,0.12113927975541008,-0.013290546720388072,0.028727238824649837,-0.11055729648232257,0.00014819602541794942,0.05898161645172991,0.01305441729461252,-0.003296269486452595,-0.027562998573939762,-0.014393159379670074,-0.045051950094610445
RAET1E,,,,,,,,,,,,,,,-0.018158588587783842,
IL24,,,,,,,,,,,0.06433363631260063,-0.025294243632664744,,,,0.15429306099807047
SORBS1,0.01585383610883291,0.014072232020378855,-0.009354919840998961,-0.005403601709381876,0.0750236899927422,0.006155181581444867,0.002201234275470294,0.01834668772587446,0.1566869086103766,-0.05191139477838009,-0.01975581425387452,0.004523891004196188,0.015331681003244862,-0.022869238547471974,0.020335638941168795,0.004909236618144045
DLL1,0.06745247631116522,0.024241174212393038,-0.04749990845583224,-0.00742515645863019,-0.05997066065607166,0.05913550889270939,0.08881605928190274,-0.009219187994152157,0.0454782068474251,-0.05854347286308057,0.0797521184575042,0.08809067197404143,-0.020163482616957815,0.007354336974777986,0.019795084939029237,0.09999476675704261
TLN1,-0.016416194435788227,0.05005163312273293,-0.05462922011347108,-0.003981725176266447,-0.002948889703786658,0.15127755320644432,0.10288787186822808,0.04525607988531689,0.022500936501278983,-0.06097064393196669,-0.004095317592550357,-0.04868798976675203,0.004515916439172657,-0.029058976668109564,-0.11312020775775679,0.058831136205145684
COL2A1,-9.634994431839776e-05,-0.034363751852411036,,,-0.014271160707709002,-0.018087305684134254,,0.07707244396850496,,,-0.04533144490965467,0.029253882452336913,,-0.014145105983613229,-0.024090293557913464,0.08073076616639187
SHH,,,,-0.011813557744782795,0.09427134321560049,-0.007908532109687493,0.04095703162241718,-0.013843709255761371,0.001981298003492032,,-0.010866198004941737,0.005246520683355062,0.03814345392490684,-0.046345323032272664,0.07003065684762384,0.00250603202070134
PON2,0.0745780633494029,-0.029477974888924268,0.05647814380414457,0.051311793898620096,0.009089560991039405,0.13787587164565035,-0.019193966043497032,0.06799852621436707,0.1802531859733656,0.04106466065493365,0.05318773829184652,0.08597547971506866,-0.08638124852107211,-0.012376777253920416,0.08820437102062519,-0.01313205489974304
ICAM5,0.12327975669575812,0.01850689914587526,-0.015480752022968875,-0.01841226822644315,-0.03784703705375491,-0.06032942138629417,-0.0316717849878376,-0.027036016381228056,,,-0.03485246685453717,-0.004623865548322567,,-0.024736948502032376,0.04281609574493951,0.04171428091374143
