,UKF248,UKF260,UKF266,UKF269,UKF275,ZH916T1,ZH916bulk
JAM3,0.006442497885674429,0.03180282135158717,-0.08603941891742815,-0.22532303585043365,-0.08106381774109672,-0.004474510275753422,-0.0544877404741594
TGFB2,0.07525566963825145,0.06142073505531599,-0.04443422193231637,-0.20114179521479492,-0.00957289860103632,-0.06423810467399563,0.012822736102657734
COL18A1,0.03434934342329595,-0.033009337582956474,-0.05360088762332405,-0.16002412008704495,-0.10923211919512382,0.02963819570255325,0.04532173003579902
NODAL,0.003215510375626503,-0.030122587767622118,0.04809606131721782,-0.09012132212474401,,-0.025175740669267525,-0.013288453739911558
INHBB,-0.022129083105439495,-0.008591285581344157,-0.009591645402691255,-0.13370670298160445,-0.04058223990521058,-0.013819272468914023,0.04710673215044491
LCN1,-0.01780338326340234,,,-0.002737299455533484,,-0.018602402308317115,-0.01842364099575625
ARF4,-0.01216083720223403,-0.06346988836466967,0.010370751873507153,-0.1423513768384208,-0.0689330517308126,0.00028445658065368815,-0.05378945661449167
CXCL14,0.034495391647506785,0.15075145737745113,0.0564216068017445,0.1123467410428242,-0.03076883036630247,-0.08171550573082186,0.0015335390916383005
LIF,-0.012018018754304596,-0.06663149879407523,0.011224103907420235,-0.08561844277492316,-0.09862869798935124,-0.02735641295981522,-0.10846633707067911
IL17B,,,,-0.04956198684081374,,-0.031422060390447114,-0.020830458991389866
MMP1,-0.02454490373224345,-0.012506807505216551,,,,0.014986239537292131,0.03126732418700875
MATN1,-0.023375322849359007,,-0.01289880112078225,0.048233208217802866,-0.021072593346789972,0.032503613192659535,-0.01898300644891615
ADAM28,-0.011509168976481764,-0.0379570835554867,0.02280988637263621,-0.10367568864347146,0.04279990199940585,0.03908618741862901,0.05464546015632661
TCN2,-0.05778846698260455,0.043932456167925134,0.0016917530196782404,-0.11398677351461696,0.004114847254155896,-0.0013186039225198632,-0.01778388223749341
THPO,0.02906183575914237,,-0.015574789507436302,0.01434226568207647,0.004147070500127474,-0.024219221003510195,-0.010652516604722478
CUBN,0.037223065403038116,-0.03141107528257957,0.017722147713054446,-0.0765971219530445,-0.039733543615532864,-0.01172647291379557,-0.053387083611035856
TIMP3,0.07999911722056974,0.1124705621099873,-0.06785230670039666,-0.14213759492260117,0.005351558563202086,0.0688444701939119,0.04988339922819245
PIGF,0.02191778282357018,0.011679586892459985,-0.007365960477745222,-0.14524668307561048,0.006350667620976803,-0.027649770415260747,-0.019676479161308075
CRH,0.0120728558059513,0.07271362846741779,0.01158067734478202,0.09880368256373681,0.0012427965467098937,0.0021412517372593237,-0.041575780359262404
BDNF,-0.04132415655206119,0.012463691066579491,0.10552242669614276,0.2395966841769429,0.0028885543650337027,0.06329063162919765,-0.049444690119047834
CCL5,0.014966417591664245,-0.037010067026929806,0.010895755678057444,-0.06812299031820633,-0.02125367603930713,0.07006381433757146,-0.013799549542065633
GAD1,-0.06720744475804402,0.18042414670322612,0.04998479950969061,0.21137317792765994,0.051552609009618805,0.012060406202614086,0.10373440733216403
COL14A1,0.022674497637578585,-0.031894997386400434,0.01946917238990886,-0.053236032933942974,0.026135575778279997,0.06405978085269881,-0.04220563207546574
HLA-A,0.052483651289262565,-0.1395858030042473,-0.10415344001313737,-0.23855297845125878,-0.02880231257106487,0.07929915670924502,-0.013031474411195265
CD5L,-0.020858780724112944,,,,,,
FGF18,-0.01887342645536717,0.02448751374056053,0.09003542220553976,,0.049792002589696786,-0.01839537436841919,-0.026060241039816256
ADM,0.015069777186702637,-0.11802027176012665,0.03940527909757158,-0.042617487774817726,-0.09169719915794138,-0.0022024480777289917,-0.09550171675018454
CCL15,-0.03480102799099556,,,,,0.0366447264035245,
GNAI2,-0.02823785959762835,-0.10369145966933277,-0.05693642057866596,-0.26363740525088836,-0.09054545575962103,0.029130880994085465,-0.003110478999961017
HDC,,,,-0.09822292039213928,,-0.0352625400335281,-0.01898299785169219
COL11A1,-0.005497374300607816,-0.09548822170140979,-0.06186561146045256,0.021657923520639277,-0.009928693432793774,0.015653598469501505,-0.05172756377766105
NUCB2,0.03564561497920536,-0.028444286041184562,-0.03340093681712703,-0.011456984894302443,-0.042739127633232774,0.01366027482322746,-0.0670624189537255
FGF16,,,,,,,-0.01870527660854606
CXCL1,-0.018587680563839113,0.025314747712820652,,0.018383444345826713,0.013746767208577076,-0.04013496627115186,-0.06005814627785496
VCAN,-0.010044453369863957,-0.11386249633524423,-0.10256422817145613,-0.21583861904601018,-0.013796916579261255,0.05506543624835834,-0.015477874945215166
MMP7,-0.01796034681371689,,-0.0332709849950133,-0.021904836588200187,-0.007558828331290724,0.020919481723910626,-0.03716975418427667
PTPN6,-0.02601443068175663,0.04168055870238303,-0.0712143850268881,-0.09433731700337505,-0.07097066085620021,-0.04978683530733913,0.0037427921324988483
PTGS2,-0.017278061090913822,-0.08633702653824749,0.05506368250033306,0.29556729358975803,6.897487489399183e-05,-0.02474259350879492,-0.009651727873753598
XCL1,0.11351419707264995,-0.013298710757865677,,,0.031118981341556377,,-0.03378368435387583
CD58,0.026847006795098403,-0.006367286561046873,-0.013094420616113323,-0.17572019314982,-0.036422201430779386,0.005026429357719035,0.05358141766984777
TNFSF14,-0.008257645752845372,-0.037431430044707524,,-0.045641946196713704,-0.031821784487678154,0.022569299088930104,0.059409822482172046
CNTN4,0.03132373952666203,0.12746641928202665,0.15864244107101097,0.18532692074643023,0.005247574347626498,-0.027147245117612875,0.10724227717276494
INSL3,-0.020476095054189104,,,,0.02432737242141723,0.09199584786248864,
BTLA,,-0.01386434867783011,,,,0.017282108049790756,
MFNG,-0.01989388600785927,-0.00604892378414646,-0.03239142680361349,-0.12976754714139435,-0.016222083768694676,0.028828790116892416,-0.016748947615485454
ICAM1,-0.0026900713309270744,-0.10224652562440784,0.0036827786136206,-0.12586587146337236,0.007441474824283163,-0.007125897980680532,-0.04240887792745996
PROS1,0.021084532046966375,-0.0750705835937323,-0.037318007455549786,-0.19870780762343238,-0.06451681742352319,0.00626620546679954,-0.022277063036163926
CLCF1,0.010387062274399965,-0.027442948623540735,-0.002190575234678049,0.018260741563293426,-0.03535689185345504,-0.012523099604228736,-0.0652566527259409
PSAP,0.010101414023900366,0.003489466883282272,0.023538380026631518,0.1296806178071016,0.06536291364153797,0.02847422492104057,0.05512574831906704
EFEMP1,-0.009123770945655077,-0.11697641681291905,-0.024011817423691226,-0.2099801383785855,0.03881540206993571,-0.05085067152791317,-0.02860492129831013
