,MGH258,UKF248,UKF251,UKF259,UKF269,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
ITGB3BP,0.014462504096684875,-0.003341178855006932,0.006001002550489277,-0.03960004526565711,0.09766979520246995,-0.02040855310569442,-0.011236738777831403,-0.022881913223684432,0.004415122785994626,-0.04383496629385344,0.015170411599641356
AANAT,,-0.019960880257847074,,-0.02315910914142449,-0.02777834633862007,-0.019326124432616595,-0.019202121857460668,0.020538451563832934,-0.006870021034984318,0.019107771180292214,-0.01336675599182753
RELN,-0.01630759471203579,0.047422492424463475,-0.03802578611153307,-0.03272638000326097,-0.057500517477816426,0.03231043798688565,,,0.006106396872677164,,0.034329202934490474
IL15,0.0002757227917649282,-0.01584115192321415,-0.05768511441379812,0.036710242207456764,0.06766667980362757,-0.013088205337656913,0.016153761412264784,-0.036223617237399364,0.053141959208767395,0.04398558101717764,0.026864701304308652
UTS2,,,,,0.11981545790057566,,-0.01635201211861676,,,,
BSG,-0.02947621898645569,0.018497537569908316,-0.01997512602772842,-0.012098225131898755,-0.0021571646898179394,-0.011859252450867535,0.04747836275285139,0.051912298900531326,0.03446101508559083,0.02343936861350249,0.03019613093232362
ADAMTS3,0.030734930602195478,-0.012916425221273932,0.06626526713584376,0.0046536996596347625,0.18769721183835153,0.01967947357620115,0.0164568070162579,0.01607996748181625,0.13844203288816104,0.0944822946851633,-0.030039820059982302
CD34,0.08251065698682089,0.023195810502147758,0.012641766528396105,0.01963286171038771,0.10945075131056449,-0.01861201519401253,0.006411081207058523,0.02907554260096215,0.016194262151606784,-0.0008591351035711513,-0.004947437127522362
CCL23,,,,,0.1542805818167739,,,,,,
PLAT,0.046610591976395443,0.012304148971815608,0.01736306380523181,0.014361037941305083,0.1750027792418918,-0.016660049412210626,0.028801615699417926,0.06253607198633392,0.05693284527910466,0.0021206807248255475,0.10411114223634538
NTF3,,,,,,,0.007055637128282356,0.093106014412779,,,
LTA,,,0.028813510474231193,0.011354148003933516,,-0.018613071925764436,,,,0.006391012325698567,
CKLF,0.009922815312707688,0.034202161083124266,-0.0024465335404238496,-0.006113557882932358,0.1811583047631241,-0.010625181257442775,0.05596613610297869,0.058914372130620424,-0.018024175990812255,0.06663265044407786,0.05923618329447787
CD24,-0.0454531657284417,-0.008194664828384131,0.06769838686028547,0.011431105222446858,0.013651103913032793,-0.008876984722682557,-0.026535970325745218,0.0008008120305723316,0.0711148039085752,0.0652508679932604,0.023665916726864845
HSP90AA1,-0.08954618810638193,-0.02211170695858058,0.08318781015533387,-0.0051658804224606605,-0.16057224223700067,-0.029026969759159225,-0.07460848888646045,-0.059374758223223335,-0.05393473889067347,-0.07984984688717547,-0.06888841323807855
BMP4,-0.020244084084183545,0.05030243454811184,-0.005074062089441176,-0.037962601860105534,-0.01315673206707675,-0.018385415075553902,-0.018517532879025137,0.07386372521138806,0.03494715616140228,0.015468563238411776,0.047249895623389174
SCGB3A1,,-0.013758078157986625,,,,,0.007331171926271872,0.03264757903419319,,0.015536634461829544,0.03279387632606804
IGFBP4,0.04993528301885319,0.03224997737763238,-0.020298637460677733,0.060213195636240086,0.12798384007654368,-0.04595888848029217,0.025722791669970588,0.009067347746984743,0.019511724044947484,-0.03870265152269205,-0.02025240829800064
RSPO4,,,-0.008319848136715654,-0.0036662067582624762,,-0.021648135784640647,,,,0.045833268900399675,-0.0384522375600755
LEFTY2,0.07960851392170651,0.047506787142347004,-0.00667055750553485,-0.02317619274985539,0.15453101629934649,-0.0013519791369127345,-0.018580597714252182,-0.017071377384954324,0.05088214731649067,0.0005218158225234189,0.04301833001293189
PF4,,-0.014271797594324735,0.045516734698358145,0.03841311742201177,,,,-0.013608299342824724,,-0.037667905792454694,-0.030121813488708835
ANGPTL2,0.015065966208429144,0.014213223209738293,0.07520836908623485,-0.03244835516541424,0.15565457813919123,-0.015636656370242502,0.006804468920691156,0.029011935543652,-0.0455205783664515,-0.009468341707842933,0.025798053063032695
LRIG2,0.05892481781022059,-0.00022012333478852415,0.038130637634957415,0.0183926331269665,0.06590079266463215,-0.007043371290342944,-0.013393691500942448,0.014594462137502316,0.002393780235785368,0.06180942920249279,0.07160967639808072
ICOSLG,-0.04123593981915784,-0.03787554217266318,0.010167696898592609,-0.010541540364583624,0.10052251934029523,-0.042738694731410815,-0.028601900441801307,0.03638178992599019,0.017668982169086304,0.00508575196378446,0.07487866199475209
WIF1,,-0.025679783268265022,,,-0.1382661286468886,-0.016705353634134695,,,,,0.07108772389043491
NPPC,0.06128264386922659,-0.00764301769412436,,0.025984382097207947,0.03399453165443245,0.05695667193563821,0.048381845453594585,0.005154493353599371,0.054311357889571386,,0.005267659345476418
LYZ,0.08441227312337893,-0.05561211860993999,-0.012176594263832547,-0.014191353652643143,0.11417119676029376,0.021399304573087904,-0.0022289280940606827,0.021639185134335156,-0.0037671077000096444,0.03714468337652922,-0.08687954541436353
EREG,,,,,,,0.02541720250772914,-0.03329688964613979,,-0.026035365973870996,-0.03467913039435354
SPTAN1,0.019010975643069843,0.01454199653037441,-0.06120423358855033,0.03660549345854809,-0.0786344468095886,-0.061595265699745105,0.032585104848160934,0.032851208886055625,-0.06067118503693341,0.04192391626211381,0.07163321443462928
LIPC,-0.02518448154298258,-0.017472431523121463,0.03092691096011291,-0.035837823942643045,0.09017456829475826,-0.040473394445777536,,,-0.04189401330516607,0.12070087968367672,0.07719482666220581
COL8A1,-0.002988121048949397,0.002801337169487683,-0.11234229270157509,-0.019946174083500808,0.023439106546179377,-0.009402331096045474,0.07108978915473052,0.07917319738345575,2.1310769442762053e-05,0.012161916647655212,0.06419494791765422
GSTM2,-0.030231331293095465,0.005072670130292823,-0.014344806313441132,-0.010642014724945834,0.03535479056781822,-0.0005944893163804204,0.04282937864324703,-0.042066995785058604,-0.06030606899109948,0.02031208015294928,-0.022111668573655763
SPX,-0.029279110880340836,-0.028258897540279902,-0.031532174219068836,-0.016663651382367563,-0.09311716982797591,-0.00790630427910336,0.05534389993700447,0.07854790574675792,0.036702965865194975,0.06457501507627546,0.09167232183077943
MFGE8,-0.0414146932350166,0.020004661867610844,-0.01859658528761027,0.06086440843576293,0.10740703171225618,0.02922508346083835,-0.01719617632031991,0.05113360516547748,0.022489118439382536,-9.538107785677787e-05,0.016781279003000478
TGFA,0.046501472952510954,-0.015080901369359478,-0.008557406696443745,-0.03593895106772168,0.13147640529174875,-0.010130199537009773,0.11415899907171927,0.04564848965550878,-0.03624372781405524,0.15906134161702912,-0.01693124659567582
SLIT2,-0.020244080844826505,-0.007192649883640725,0.00389137547984433,-0.013416870037613575,-0.04971673887832867,0.04393102273865922,-0.0015431352372007533,0.07721749032979604,0.0003218533581434616,0.059686375727662604,-0.025693709171228884
PLTP,-0.031196894730096996,0.00816300230896243,0.003202501193959998,0.0017417568557176791,0.1550004663432663,-0.013626862817509518,0.0247272720672337,0.027119641141875022,0.021409036893644456,0.034747869433717105,0.07932524145949188
APOD,-0.04751527933926226,0.0038173025345317104,-0.0652105377675489,0.04972712565174224,0.06367960274364302,-0.012619709910586514,0.007540102587621362,0.02082596231078662,-0.06183424974865462,-0.030980590486329465,-0.022853939699403907
B2M,0.04939788214381528,-0.007209772680898121,-0.07024297913229142,0.0068264823495508995,0.20799951688783178,0.02752669522203985,0.05517196747278997,0.0601263475215062,0.007123060722257125,-0.08554592275674146,-0.05846016494430814
OMG,-0.01583967979316914,0.042346770985820084,-0.04782037888150752,0.04313818162418783,-0.041022307231630716,0.041830279364737925,0.03406126937764626,0.04916883408248612,-0.04294709473005298,0.1426780406590238,0.02204880489978786
CXCL3,-0.015840938197892136,0.008245708139360765,-0.004930054682759742,0.001290611291279379,0.00484169623469467,-0.030663197833515784,-0.00034204674525815086,0.03946094310777614,-0.02533447462892179,0.03276561596788971,-0.060395972436350094
CXCL10,0.027159510233154587,-0.031347225221066345,-0.024566694606041932,-0.02774689866729495,0.17704927021447078,0.010157536946502722,0.05505318608191078,0.004260637855754458,-0.004009025478662438,0.08959070761068838,0.046150666475731364
RSPO3,,-0.01868860107546807,,0.05571384998347333,-0.04561351761749421,-0.032696236684570765,-0.0071042226733838134,0.10152487181142998,,-0.026844463315029644,0.040623807501629375
CORT,-0.019670779987698374,0.05485498406606779,0.0045436033019890425,0.0667745193510365,-0.04494980000515499,-0.025169186822421544,-0.02495833312209915,-0.014240393605429126,,,
NCAN,0.001233983058774833,-0.0305893197730927,-0.024495678144772024,0.047734692378639705,0.09203050326313789,0.010723682014369611,-0.01527828107365265,0.02929702112834396,0.06209797584666568,0.038258032928970225,0.09503383156901457
PRG4,,-0.004366437112864305,,-0.022857040297651204,0.022825092748477466,-0.00796849780629278,-0.02397362905800129,-0.021012572192108066,,0.09002943550586373,0.01753929994159921
ZG16B,,-0.0004742046070497919,-0.04001266865795753,0.0183201121116679,0.0025978856270945567,0.003569352158941436,,,,-0.03347215675588934,-0.025696996193387726
TGM2,0.042177950443467636,0.0056044595584307695,0.018215720814513274,0.08684835083119725,0.09447926754934563,0.00044135700528107286,-0.009868012776900548,-0.004739720728735603,0.015597703376695367,-0.027301505652634263,0.01215812987060186
VEGFC,-0.01967078125423774,-0.00030439437991868797,0.026398447510008183,0.04826279343572459,-0.022744597003742085,-0.03306644233709499,0.003195788024554684,-0.02853255875552999,0.05726689411824777,-0.027655812715992507,-0.006459779581721928
WNT6,,-0.022198357177930762,-0.03700358476283649,0.016516330496462076,0.08888871210085189,-0.007594046477368876,-0.032675130258010936,0.08239852636185385,,-0.040424508590066584,-0.026552706722946393
NRG4,,-0.012671674262871656,,0.01528594174817432,-0.024483812618679376,-0.02841355305111285,,,0.011518927678463584,-0.026844466323653518,-0.039931198285594334
PMCH,,0.1448276831672081,,-0.007925272465786167,,-0.021648134739884275,-0.022247842097730758,8.339026114729425e-05,,0.0030558627769955776,-0.030471928671088753
COL9A1,-0.008782512234782647,0.021440065316855,0.02946334463757261,0.04470736207280473,0.10641921341749455,0.019932738890690714,-0.03934378444212731,0.023594192872078992,0.0031006448170553757,0.08337029283968579,0.04379518326857817
GDF11,-0.05066421929968117,0.0692478868505844,0.034369619650216704,0.0004426837936353781,0.08640525834987181,0.06048923841048298,-0.02380401830872659,-0.022594390843556626,-0.036628452819861615,0.07014178733006826,0.027250283441755903
RAET1E,,,,,,,,,,0.07226949912110044,
IL24,,,,,,,-0.01658745496336757,-0.01339132192851716,,,0.010371835098927697
SORBS1,-0.0020740035894273863,-0.05679190241497931,0.00021618574890712382,0.04467212806661928,-0.012378843458917321,-0.05384613795188017,0.06609016812273094,-0.00013098850162914148,-0.013641528153518913,0.07183588689502893,0.05701903498192371
DLL1,-0.0007009716919912748,-0.028148752669700145,0.026166441231177975,0.00983943747061462,0.09198330200131218,0.02849049650878833,0.03084724201025433,0.04203012504741735,-0.011525641373379811,0.05680377517720675,0.06608012264302154
TLN1,0.004307805798943287,0.05131053543902708,-0.032957066346466175,0.028519081211453606,0.046839694021687625,-0.006457046391943903,0.015296584273568793,-0.00415057160159891,0.014289600389030998,-0.021999591685666023,-0.027770943434715003
COL2A1,-0.018475893032150806,0.05186882015160073,,,-0.03647165327761964,,-0.02350730874650594,-0.03490188145140809,,0.02486305971685591,0.021142333021475845
SHH,,,,-0.011437965325582103,-0.015397243014192609,-6.001341685207221e-05,0.025052680550191116,0.06903126390043274,0.05983191151073711,0.05277673987925338,0.021643723900177922
PON2,-0.0023795296196588104,0.01979268819578082,0.014893071605308627,-0.024291009701306487,0.13044784937342763,-0.0035914031661913952,0.036682533387508286,0.09279306099923026,-0.01008464940932579,0.15292802866202831,0.1918918342515185
ICAM5,,-0.027475263561192932,-0.03422691100521374,0.049212021999743505,-0.07126917461917781,-0.0009064522477648702,-0.002941319351698167,0.06699119914157387,,0.00915438203492014,0.04551610615200126
HPX,-0.02098643635221289,-0.0015569598445728575,,0.07799911373780953,0.06742303028238258,0.00034577673981048247,-0.04200864834691874,0.019723298158013696,-0.035976209782394054,0.13875716502304505,0.11168676492190091
SFRP2,,-0.018291401575496465,,-0.016069052668023526,-0.01537890365678148,0.021236940621826222,0.020473454776245046,-0.020692246710101704,0.007055406906795268,0.00029623385321738034,0.05946915733210763
CFC1,,,,,,-0.003516145788340217,,,,,-0.005661272850349873
CD70,,-0.0025280313854277228,,-0.005769366162558694,,0.01626888578843249,0.02812032958256929,0.03940267428155723,,0.07373713556772085,-0.025995205232566338
HP,0.03328245757872959,0.011860125570312116,,-0.015397232118277388,0.009197649285636196,-0.0174077958828109,0.05696199661008466,0.03099483325121628,-0.004376911637578758,0.0020238386747777094,-0.01519850151990371
CXCL2,0.035052413742623086,0.023639339400975533,0.06864685609723371,-0.01714223186167241,0.06336988426479563,-0.013835389145027147,0.03628955384270841,0.009348189164893097,-0.0004900799844951335,-0.023849316378135057,-0.026289134943376473
NPPB,,-0.01774925239405106,,-0.04685972288808297,,0.017143995749785028,0.019532773976566033,0.014966441844396222,,-0.027230721411215183,
CCK,0.01704117528196714,0.03833264424538871,-0.05700459127480218,-0.03132588948237616,-0.14137351705924942,-0.018963109770758126,0.10204805742270044,0.04726730414646249,-0.014304788046464791,0.0014577579657447965,-0.04052807391101898
SEMA6A,0.023009374217959816,-0.04901593075042912,0.013844808198763886,0.043761177294482735,0.12062377652424171,-0.006499501349509854,0.016893819384864214,0.008154844794899202,-0.0028033536576603972,0.02069332239060208,0.07730572637413732
IRAK4,-0.0005901118959474218,-0.05337925806124725,-0.005245098810883828,-0.043486046129205334,0.12289185376972235,-0.04268071913332693,-0.005255062818421328,0.03889103730377026,-0.01584275791468483,0.06873064452756596,0.07095189725710725
GSTP1,0.025088055248237165,-0.020658666888183474,0.011798765880124887,-0.07667500760109623,0.12217765088679425,0.055840134517891236,0.001383447693481834,0.0890656037721776,-0.04582487602722235,0.0764344055111031,0.09369650526112387
VCAM1,0.047166459267586336,-0.02281815120612097,0.007458283569798353,-0.012360878649288452,0.13988381964414565,-0.043715411674410974,0.03325722175801499,0.014913486730395864,0.04679630212844169,0.10513519704146579,0.057505291657710914
NXPH3,-0.017894798208528778,0.0008719917307410014,-0.011814806035114053,-0.004671626956326313,0.12197298473475505,0.024116104959068786,0.08312836424574391,0.04645253680545066,0.047517989851359556,0.1115764596413706,0.00646460584061695
MTMR4,-0.020223327947974754,0.04134417918730012,0.03348981905354395,0.025257862085401726,-0.012061516124592256,-0.017439826488587905,0.06825319101866181,0.041496828836472564,0.0512716679530059,0.06469039125673841,0.05989609493740255
LAMC2,,-0.013931307211333703,,-0.024708750740526014,,-0.02051782162543038,-0.020392762727953883,-0.017586563224972228,-0.025943400597572278,-0.04352219855961784,-0.02472115251821793
IL10,-0.020431952130344457,-0.029435320846546032,0.002508775898758952,0.004743987749919116,0.057508343033849336,0.008413165776796312,0.021398928180976565,0.0214561015072815,-0.025024901344610943,-0.025654632299510774,-0.05948161645712102
SEMA4D,-0.05517908756687485,0.00974420756115332,0.023875523209148725,0.06916603103600656,-0.042951796079164134,-0.02817518557990242,0.0017643565699589278,0.040131387075267005,-0.048714089077269665,0.10225227800452658,0.01808690360449695
TRH,-0.01806155190706822,-0.008891989571472999,,-0.01695956495631364,0.06969638342788527,-0.04327224051453141,0.008171600435183833,-0.023320807342930818,-0.018803497537417446,-0.003119089614885899,0.031304619829613044
SEMA6D,0.005910308204790006,0.0017038291301103932,0.026921421238228684,0.05452444236628701,0.07551645045133017,0.0023056316998202263,-0.0007568460076699945,0.038323975128641115,0.0037704173110755103,0.06506642494183043,0.061539583459470436
CEL,,,,,,,0.00943915069766874,-0.021863108781197595,0.01036112291666101,0.06447736373381345,0.01067984823739521
PDCD1LG2,-0.012843436024629108,0.05533143638903042,-0.0233058448575566,0.04597795922104021,0.08235131956470115,-0.01487633742091874,0.0001542041106333701,0.011600801248396384,0.029285095284515995,0.0913156077935071,0.003344852243185554
SPINT1,0.0536929022735997,0.040982342534102635,-0.029085557107881323,-0.03196104151474677,0.035149879682021476,-0.035645231457347874,0.00361116382111012,-0.009333592750904056,0.031180942586259867,0.056313398104695225,-0.05936277045274904
CTHRC1,-0.012455610991501392,0.020603504188706757,-0.005866927576767612,0.08168217890874996,0.14502609173598432,0.0009727334034954984,-0.031423739553161634,0.06936226303908663,-0.021023226021530995,-0.024532346140369463,0.04188725487904004
PODXL,0.05129335194377234,0.015617645773322869,0.0046452553867005605,0.053907078050473296,0.15532424384743804,-0.009463529899746559,0.04694627165581131,0.09775262759642277,-0.001043769984539793,-0.10004406998574525,0.05366762410796734
JAM3,-0.006465836659900833,-0.04346158303701765,-0.004483726744383026,0.04724274325601451,0.13447724763814706,0.03445442966536327,0.014743299260175305,0.0014655975450864453,-0.056750314578085034,-0.024570120269400753,0.027882241367678813
TGFB2,-0.06712529457579826,0.03370920860495679,-0.0007747933273549296,-0.03242441560838215,0.17213995863827908,-0.010544219037414577,0.02994109110354822,0.04087799699549836,-0.012537394986112936,0.0360928706002473,0.04714442938679284
COL18A1,0.0005446476871318826,0.001557227465533612,0.009650986498844246,0.07425980614372264,0.1700350712305266,-0.009488727131122216,0.0093889768103267,-0.00237305935706004,-0.012492418408605798,-0.08908115687164092,0.015195891633678543
NODAL,-0.02857430300741569,0.04162549842890441,-0.035640656160697226,0.00871999339507101,0.1526971715967531,,-0.00701158714581879,-0.016541437076706987,0.015011170157913447,0.05253691238885011,-0.053256696292833465
INHBB,-0.04331232201490941,-0.023720391977389767,0.03267354848518289,0.03982561217030619,0.010995016903408419,2.0159337139790347e-05,0.03976724423164772,0.018592661999495233,0.008040894615294527,0.06338585242027753,0.15234707456174562
LCN1,,-0.013931310345934547,,,-0.019247690556275364,,-0.009697377486584032,-0.015621295099888254,,-0.017559253941064445,-0.008609537663502214
ARF4,-0.03720493389698044,-0.018713160223010568,0.011677314327719918,-0.010306490860641004,0.13064510728275236,0.019576169499526237,0.02231629463510053,0.05535220539617596,0.04825941345293347,-0.06807600887543108,-0.013655906423796094
CXCL14,-0.031716441022264945,-0.013134106945814128,0.02185934095418473,0.036926907382428174,-0.04155260664830762,0.015523028583582342,-0.04531824478808199,-0.00792874523238797,0.06729863011272227,0.04326874595204411,0.07198368507163729
LIF,-0.0054760506436531894,-0.06302794015727652,0.0011540270087429083,-0.017389038003483563,0.14222397718529525,-0.04530140390495355,-0.005187115607442675,-0.0279013410956357,0.07857199885874087,-0.07028252321138752,-0.012210717410431587
IL17B,,,,,0.03967014358392065,,-0.0036567792068789157,-0.02501213746055043,,-0.002795387091585733,-0.030494399483353855
MMP1,,-0.01920661181337862,,,,,0.013261626748251246,-0.02574781298782302,,-0.010637472343278389,-0.044543508125379445
MATN1,,-0.018291404068138995,,,0.04044704529326051,0.0495506012317873,0.08958581106377261,0.07476383035401907,0.049308905622701966,-0.037094802194498365,-0.009589512322454615
ADAM28,-0.019882563021412582,-0.05364500102485596,0.00851440466935884,0.04669335419214274,0.05962939123841468,-0.0442090500563916,0.027408267647043804,0.031022062833853052,-0.05531141579826365,0.07281903431035644,0.026035402527150607
TCN2,-0.061591736910240204,0.03341088865961471,0.013815991411678144,0.056139651971261285,0.10348433097872131,-0.008799397159751013,0.0831560116295682,0.046577815675679916,-0.007178866923999707,0.01720727402493497,0.060960712089567715
THPO,,-0.02383445686234664,,0.03454122785857066,-0.04025343673479084,0.00034003568847507456,,,,0.12311305951876175,0.0806985287547065
CUBN,0.03674601426267672,-0.00413825343577127,0.026198332132232965,0.023844015249488558,0.05224431769010075,-0.022210853183173312,0.04305727966008017,0.09763298880114057,0.010775191758380749,0.09118002274647782,0.06634663305558293
TIMP3,-0.09918922891312748,-0.02691674012038613,0.006469609773603006,0.04814593569837749,0.05075481828338423,0.01869545171019578,-0.03369441567425218,0.035221817862854526,0.014583956310621283,-0.03381251473131666,0.08272563572183408
PIGF,0.026386617304841983,0.03220660217188681,-0.014603098486007238,-0.016442238546150748,0.12552746251915797,-0.02908300495497723,0.043689178261160075,0.02662346517203602,0.021861874874893668,0.05889333434789108,0.0007554330154769561
CRH,,-0.016322188711279346,-0.022808425517153095,-0.015405011921246254,-0.04921679819293371,0.06040814312715966,-0.04484135426741669,0.02974408698700858,-0.02002680383797578,0.03884425203170562,0.011320688934306699
