,ZH8812bulk
CCL2,0.0778596453266708
DSCAM,0.10659676315061004
ANG,-0.02746888800338023
FBLN2,0.011056135176878097
VEGFA,-0.018766425829339708
F10,0.120989665482376
SERPINA1,0.010634125943956135
VWF,0.05349695003525606
VASP,0.054406937458945134
ADAM15,-0.03152250951536357
OLFM2,0.04813408950320562
MFAP2,-0.000394497106207969
HLA-C,0.024069656482197645
THBS1,0.04739346634368199
HSPA4,0.04724475334322658
LMAN1,0.07196458099714367
APOE,0.08405206018099916
ANXA1,-0.0304595646069283
WNT2B,-0.0341021381152852
AMH,0.04322285409044289
GDF10,-0.02170639165816462
EFNB3,-0.01801187987553242
LTB,-0.029194821617488535
ANGPT2,0.014541989308640348
NRTN,0.06949777461706917
ADAM17,-0.02063367754736964
LRPAP1,0.020783992260011645
NID1,0.028913975526262504
MST1,-0.015969823102843114
DCN,0.08432224781806806
COL7A1,0.008527448400892597
CALR,0.026582877487368775
PIGA,-0.05184883482017403
CD200,-0.04754932909824622
GRP,-0.02375385574943382
CDH1,-0.0331077874783999
LPL,0.019513740442142696
SEMA5A,-0.022741777022026743
SEMA7A,0.03859397484829157
SEMA4G,0.023807209177684863
SEMA3B,0.05435355836499922
RPH3A,0.012715484171542427
JAG2,-0.027250457581109246
CGN,-0.04520929097889212
GDF15,0.0240939878622306
SEMA4F,0.0017231311483584001
NXPH1,0.014565515054367345
ARF1,-0.02749340745253352
EBI3,0.023214251530124293
TIMP1,0.030267384091009177
SEMA3C,-0.06310465734932501
GAS6,0.00669301041069327
SERPINE1,0.018816059312005876
RSPO2,-0.01041513791629352
SHBG,-0.0287385335897914
LGALS3BP,-0.059402405643099745
LAMB1,0.009132154735435015
SPTBN2,-0.004584404967559432
COL1A2,0.08401137472930707
LGALS1,-0.02634551366039576
BCAN,0.033677033960435816
ANOS1,0.038326625694526564
EDA,0.0032435187937694533
FGF22,-0.0013361467682875801
TGFB1,0.056605558760840766
MSTN,0.034098521920118696
WNT4,-0.016754755104950485
TNFSF4,0.013068873847390925
NTN1,-0.03639704438819244
CXCL12,0.01078828457760701
GNRH1,-0.0169779464871912
RIMS1,0.11362761735876932
FGF14,0.08613429727546394
IGF1,-0.045820506569545706
TNFSF10,-0.022449434996943397
GDF5,-0.04998243778647004
CHAD,0.007996067414505642
RGMA,0.056362698591124305
WNT16,-0.015594453371488634
CX3CL1,0.05182133273569331
FGF1,-0.014985683972029032
ALOX5AP,-0.008024514014432101
NPW,-0.01741638491695284
CXCL9,-0.020429724523599806
ANGPTL4,0.008091626779903603
COL4A3,0.006610969985723277
NRG3,0.07063354740713963
COLQ,0.025678148493909914
TNFSF12,-0.006639916452837507
FYN,0.0756794042147371
ACE,0.0170791061810822
IL18,-0.021707020108934477
PPBP,-0.020051699022472242
CCL27,-0.021528132181037673
SERPING1,-0.010229758846100872
AZGP1,0.07461775647096343
INHA,-0.017416384813721802
SEMA3G,0.10986106370871106
COL6A1,0.034472449597062985
TNFSF8,-0.015594459434141294
FGF20,-0.04132648018753474
ICAM3,0.059944645018046944
LAMA4,0.03376783687257276
DLL4,-0.025160828627551545
SEMA3A,0.03540601278565429
RLN2,-0.025965818547535834
C5,0.04415733907425066
COMP,-0.018674783330775144
C1QA,0.034812352214656915
COL9A3,0.020417458622911222
HGF,0.04500123577221215
P4HB,0.05736556476712778
ADCYAP1,0.05223060685159065
