,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1
CSF3,,,,-0.021519726321663338,-0.04710442874578632,,-0.020760686472835528,,-0.026440004094548844,,,,,-0.07074204076811438,,0.02083374125268434,-0.01539632290351473
PI3,,-0.0051591522808113926,,-0.037136550623633954,0.00592016535200628,,0.042660613214330366,,,,-0.061069152282135164,,,-0.07348050205329687,-0.0012585387405997267,-0.02595327033879382,0.054097558555178414
PCSK1N,0.048855812928245715,-0.016349536173634462,-0.009710937947059461,0.06508307196412738,0.0162903310066065,-0.05079402404752983,-0.010557138792124174,-0.0017697206484132827,-0.043766009056238224,0.05875569106180778,0.02013370500915723,0.05707866348273488,0.04777040859303892,-0.052584521645119425,0.09813239946893709,0.03217317912425101,0.028716878594590215
NTS,,,,,-0.04736091448351653,-0.012887211915029144,0.034573103609666624,-0.03890365042567826,,,,,,-0.0360788896245657,,0.003259470972108711,0.013580070896356749
SFRP1,0.07956133041733231,0.006171792616153885,0.019124571932086224,-0.01575349549115834,0.1410117906914711,-0.019745221193289156,-0.023173506527277673,-0.03637788130891147,0.025450614609605033,-0.0019429557843965869,-0.026997382031933977,0.03892616197368262,0.12225547758952628,-0.023666006596493323,-0.04522159364604358,-0.012833273617017601,-0.022270043896282437
CXCL13,,,-0.046694524515074165,,-0.015984169310655837,,,,0.01579613572094511,,,,,0.014758850434589244,,-0.031151323050481676,
MICA,0.002999256110862648,0.05191876722119014,0.014390478592968095,-0.007187316013802103,-0.012706985059172829,-0.02735352999764156,0.1295301688901577,0.07999513021006505,0.03916310928892474,0.06738491657214518,-0.01675770488967516,-0.05040148461408131,0.07985838506548833,-0.025963094533510474,0.05033802983303885,-0.022536982751512377,0.012447096964671951
TG,-0.029258543234083646,-0.011731458475566245,0.013871641445911392,-0.017000517528101326,-0.034209256146509465,-0.014875239790080569,-0.025056291156126464,-0.03181710980675964,-0.016311381578810163,-0.031230802446997982,-0.02088267428086566,0.1211743082255975,-0.002733468247194706,0.06300883207636376,,-0.015717196122794715,-0.030025766393119838
ADA,-0.0576600424243174,0.07805300687377793,0.03781430763730979,0.0006948892444925723,-0.040851505972443906,0.061102081968576645,0.06815653497293395,-0.004326841169212873,0.0806530082503719,-0.03477484311960716,-0.025210509153294793,0.05478937918275124,0.034786207613801565,0.015059884317213876,0.04529187385871095,-0.009782571200642761,-0.03190331266910086
LAMC3,0.024283865189352258,0.10430977725123596,0.019240426047847394,-0.030135191975786995,-0.006578424068703505,0.00472640946535292,0.08356056096648053,-0.019817316640792147,0.0891572601846449,0.00342610258935132,-0.02596331387752006,0.03058684813478251,0.0875548176281369,0.014155840643266727,0.06101543595278511,-0.02555227691375318,0.0037865753322205236
CCL7,,-0.01784464537108191,,-0.012291347010592188,-0.021192057394989885,,,,,,,,,-0.023178890773397333,,,0.14004081578837285
NGF,,0.014035430848270535,,0.01449051369491037,0.04582612219861454,-0.014194968552280945,,,0.10022998776079518,,,0.002643428149785658,0.026274122625617922,0.0856631420757271,,0.046593342251822684,0.012044283509061476
TNFSF15,,,,-0.013687016058375905,-0.01569052738164423,-0.017235803828827157,,,-0.01683751430275503,,,-0.03196408496192406,-0.02832548351977735,-0.0225968157391097,,-0.011858963219410185,-0.02185239393435352
HMGB1,-0.025417052160430074,0.038425090301638466,0.05025652965633922,0.031067160842734445,-0.004549925204636694,0.024612421490848604,0.0538766104989829,-0.008284293885140246,0.10677350217433289,-0.03163300468180816,-0.055285681446890854,0.04364724005748136,-0.028186883547228106,-0.042672520610092274,-0.1058819046104879,0.04603019483499498,-0.0021356687924425455
ITGB3BP,0.04550732622159567,0.03166015537149092,0.02724416178639809,0.014120566945121756,-0.01264352071638334,0.06486801167877314,0.06880156830361683,0.027149463348278065,0.03797349834367986,-0.011887539547137593,0.07896852319888956,-0.05981896561907062,0.0484259183525552,0.014212578857081343,0.051760556575174366,-0.011917716404468355,0.05033200643955789
AANAT,,-0.025889865560193185,,-0.012453786123052446,-0.014138103554704391,,-0.01872670102254585,-0.0006453757657450064,,-0.02788894741124376,0.05150888701358912,,-0.030423557843190743,-0.020334427478297886,0.1221420182653703,,-0.017070290311919832
RELN,-0.004585462321665247,0.05167781170382458,0.06401204039228779,0.04586258012528346,0.028240932386610185,0.07219573739777728,-0.029272282440298364,-0.0022982793165756132,,-0.01938193900775133,,-0.05306094982779434,,,-0.04225752327572197,-0.014324342385596166,
IL15,-0.06004399391207949,-0.03760255158968291,0.03865724266993764,-0.012867169083015231,0.0065135195353612264,0.04677466175508471,0.010928122765829268,0.027422211390459934,0.0021243043602657036,-0.012276733650775662,-0.040826503684904196,0.03709789676871106,0.043623687415729896,-0.02567639434938438,-0.04208035079291726,0.010241748780423752,0.02802679229464606
UTS2,,,,,,,0.03362029364389727,,,,-0.06105259945456568,,,0.1796862089661308,,,
BSG,0.05989853647434006,0.01731938815206448,0.006885524936161776,0.019365159353344562,-0.027792365228129952,-5.621520306918295e-05,0.025515196232662848,0.00232874403427131,-0.020666866015768913,-0.008323034885070215,-0.027580875655628077,-0.07669545314715157,0.09676640254446098,0.060626034622243405,0.016296136338525155,-0.04329479005408561,0.07656809573970369
ADAMTS3,0.03428642253933286,0.052136603244594716,-0.001648452477503645,-0.03771491719925792,0.007362849249175019,-0.019754237912044805,0.0500556195357201,0.03760855061928528,0.004288264375470605,-0.04298046159114792,0.06807026883044767,,0.0019678936171989682,0.06717349500866233,0.024939436551006,0.012351957858511347,0.03412490590926785
CD34,0.03386320205543211,0.10531152186111965,0.010658576464983471,-0.0053150878844179334,-0.026136022288221015,-0.03477868994881366,0.09468527771168861,-0.038549536839289904,0.081310872345587,-0.032030899272361725,-0.008883913602296026,0.008614920407467615,0.09887871314129532,0.08369329380392372,0.023921701984788577,-0.052640923256686505,-0.010430302712145128
CCL23,,,,,,,0.051958739814668475,,,,,,,,,,
PLAT,0.04989900287284733,0.029888753653717685,0.03244649425767954,0.008118772729631279,-0.01235018704326259,-0.004949067348290112,0.12371729308598427,0.010401479980844095,0.08160498391297917,0.0010005908675342833,-0.07831817681313748,-0.041347633169014596,0.0862128720262859,0.07717532565427085,0.010228675561138127,0.03295525083592628,-0.011559791679087763
NTF3,,,,,,,,-0.006108200054558651,-0.035864904084394814,,,,,0.027992798518438854,,0.004889593539397404,
LTA,,,-0.022032029765141833,0.059357359098713584,,,,,,0.0017195418764287271,,,,,,,-0.0043399754166180944
CKLF,0.010669725908814903,0.02804843467570225,-0.011909517155890446,0.01424505214602283,-0.020154110256444025,0.021075865313992893,0.11808843252416253,-0.026445443604082096,0.02431140945604637,0.003914931325010155,-0.07211449798558513,-0.06836369895479733,0.11139630281295775,0.03937477147089805,0.03158092759306769,0.07142017211819587,0.057886477557588044
APELA,,,,,,,,,-0.017986300146943312,,,,,,,,
CD24,-0.050874401647437686,-0.018832017591819263,0.05370565487101479,0.026099762419349602,0.08019051687553692,0.03431464669473931,0.00041724262991948437,0.07455381183464745,0.08810551837141872,-0.05238493092952082,-0.04510670670020389,-0.004886031491930393,0.12751273026008064,0.057149177184366164,0.0076631065414809775,0.0066699830936982,0.019439808209186425
HSP90AA1,0.012894060182907646,0.018973333357510915,0.032296270297489896,0.08563981271259455,0.0019248927285319066,-0.057336601179329365,-0.11088137582107109,-0.02472413270967136,-0.04330140698491195,0.05585730495764585,0.048920749131425585,0.05011005197880122,-0.11371774753572741,-0.16779852455934852,-0.0399305852788904,0.013915054704161458,-0.04633413282648246
BMP4,0.14746700534193427,0.01961871825076001,-0.02335524306876061,0.043434133270491324,-0.013974951762899219,0.06550941641552491,0.004017178318836925,0.031135381061303997,-0.043284700980994864,-0.02204025892514809,-0.00880234981102384,-0.0026579379811583486,0.12191735344923972,0.06403336744643061,0.04826596251244847,0.012909128202924272,-0.0007389512217244601
SCGB3A1,,0.001477313219899689,,,-0.016836735990390976,0.03185083991009784,,-0.03093664242301992,0.030439900561968245,0.0008606936362457766,-0.0429808843025213,-0.03493620942490029,,-0.009832895459549414,,-0.024627324581716386,0.06870039528723716
IGFBP4,-0.061638584094816096,0.09182890467001088,0.06882783807164759,-0.013338399591904316,-0.041761263238318434,0.08803484274549496,0.10782738053808943,0.027650253825579924,0.11107396925226885,0.02535880487738463,-0.011021430448760116,0.004814950499294646,0.02384336254584828,-0.043139846119091,0.039578533512070746,-0.019440147189349465,-0.018605177024843322
RSPO4,,,0.013144680942543627,-0.024113483739897627,-0.019432330231274067,,,0.05729303944132809,,0.03229713976075389,,0.0066607184070471975,,,,-0.016585455024463035,-0.03030035154084719
LEFTY2,-0.02896925587277321,0.10326180638547432,0.022650614912335543,-0.0351998139534227,-0.017546592608944117,0.023550704080786605,0.08182621139849912,-0.025325350509623205,-0.01903800669738514,-0.010645502890252049,0.0322100080465428,,-0.03887872853215349,-0.019676253464514418,0.07118816285471996,-0.02255512310110845,0.01973825735170644
PF4,,0.00022292480613675918,-0.020041125537434756,-0.010723958112766484,,,,,,,,,,,,,-0.022974032888989724
ANGPTL2,0.04894492494261674,0.036753327630682384,-0.0292879999889077,-0.010149888428625058,-0.01424592092738838,0.026743079749174507,0.02113363243826505,-0.010046207868224018,-0.02939847686513998,0.01039925123208249,0.002528474510318256,-0.04277425204708926,-0.011084217721487216,0.07581178572522754,-0.07241472074739531,-0.004076960978021041,-0.022527019130394833
LRIG2,0.014294279997478461,-0.046173515906094136,0.026219218476990838,0.01708902884466959,-0.015551765493134454,0.05408223230234697,0.012385973793974261,0.002409171560041358,0.009606408718385093,-0.07114461448792964,0.10577023576032155,-0.0040656136526202435,0.07133316703218485,0.0507044683863465,0.024521469347867735,0.0066862510588648096,0.04377725532044005
ICOSLG,0.011819981988761767,0.035062299916980504,0.004166233052096107,-0.03823473297710859,0.044616360700721336,-0.04101529694433491,0.06190076246980942,-0.02243259025930055,0.05264360014816429,-0.031174021049542998,0.0142237216733407,-0.059954296120771654,0.05385625356380164,0.04022259175844341,-0.06378142931142135,-0.020365410057303888,-0.008268355607734028
WIF1,,-0.03330745577559956,,,0.05463995378193773,-0.0652519915769907,-0.09858723642237914,-0.007304675017902705,,0.01513126828054874,,,,,,-0.015417786944025208,
NPPC,-0.03685399151270346,0.0744739601236789,,0.053931846031053096,-0.023175104907584624,-0.005314335592479604,-0.011196072902916725,-0.0287022282474692,,-0.038635642720436326,-0.05369520825394098,0.03980507645985699,-0.036429043306352354,-0.022222182756570504,0.044848504653872,-0.032807126832762004,
LYZ,-0.01648473409485891,0.015963051659686214,-0.007716812345741829,0.0033694492047231656,-0.029959249877922395,-0.013651455900410281,0.018151427538650965,0.031025789762904453,0.012236604181014505,-0.0047983294063539085,-0.0612305468169272,-0.00708779144753554,0.07369714079742752,0.022007783577457724,0.03726963301234956,-0.05920912371632854,-0.05032606492934729
EREG,,,,,-0.027345899334556074,,,,-0.022261977386927586,,,,,0.026234646379812848,,-0.020657463864909364,0.061197166573001435
SPTAN1,0.04588866090891206,-0.004758450615160273,-0.011223845051927356,0.03306596869579514,0.001532701743172346,-0.0018189577664781806,-0.021402241452912845,-0.03493753862661668,0.05427668230010353,0.005431195168462727,-0.07509180777024452,0.047252867942699874,0.09234433374361531,0.03997259917079955,0.024416560360717925,0.005865933511803658,0.0467044840445032
PTH2,,,,,,,,,,,,,,,,-0.026376398799585147,
LIPC,-0.037459693855945955,0.03699186474360986,-0.03016296502324469,-0.019271751420652107,0.0013142957735486234,-0.019018783144131086,0.14682078263622142,,-0.027835742962466187,0.046115090041086854,-0.03871234026155006,0.014211875537045027,0.13698549608200597,,0.04053978567347594,,-0.02904787319082259
COL8A1,0.053585626322605454,0.050876370277529094,0.015304453602158364,-0.052930138320107456,0.06679677620068536,0.05358627015429502,0.05941764896199803,0.03588761704875663,-0.06861448611738008,-0.005881011477080426,0.04371864180627126,-0.056624734444085174,0.12440613924347974,0.1037217946641096,0.05390538404044159,-0.03206101224170889,-0.06912377864031545
GSTM2,0.0330268480842931,-0.00159771054809685,0.13925613522237376,-0.04727388318408473,-0.009829575787970895,-0.010371116292805006,0.03752857198469765,-0.010299618923122865,-0.04081082738152241,0.013372707251597504,-0.030643943109391072,-0.06367332100355384,0.13956406884367403,0.1436218713600097,0.04840501088404348,-0.03521157945225869,0.02572109233811424
IL4,,,,,,,,,,,-0.03700530265770391,,,,,,
