,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
CEACAM1,0.056262628409367986,,-0.030192390651306886,-0.0141474330636403,0.031181197492473636,-0.02838082188258136,,0.07318741746464114,0.059317333251908626,,,,,0.09041483507125599,-0.0435162363138637,-0.03603530836768216,-0.032622983626888556,0.16457163580854836,-0.020338010945340913,0.06108329147878002,
PDAP1,0.003368585051414496,0.03202353264801842,0.003300147201127334,-0.016010346875500486,0.020493011557892234,-0.012561174779409422,0.07279473684848253,0.1367210660561773,-0.03813214664717637,0.03184266787796314,0.015159384842757185,0.05546047848247985,0.0173757884749661,0.12317511325446827,0.038590862327961335,-0.05596817070423338,-0.08315013671329892,-0.0077590936500908534,-0.042656187049998316,0.020192781956353677,0.05901347724170418
QDPR,-0.04584651792474109,0.06110286272066072,-0.021177746437306293,0.05827267989945699,-0.0015504466778425469,-0.03153063104463443,-0.03711922816837154,-0.1451634982846276,0.013811592478319935,-0.05333014498281304,-0.029845460782435336,-0.017817370074107445,0.002551558162980052,-0.01171591358810908,-0.12789645243530404,0.04543710104805133,0.06750610968196148,-0.08277843478755009,0.019478933105333163,0.0921228084131093,-0.049021293921966094
POMC,-0.011844122914477782,0.054241154248425766,0.058862100577598435,-0.01241982452984832,-0.042379898727061584,-0.0071509631593311635,0.14971903667836947,0.030726347553758655,-0.013944450140804554,-0.004471322593013505,-0.0024964464529154493,-0.004673837298738427,0.013865138109422654,0.004731068692427429,0.0290904145164157,0.08202728670725082,0.07669180774965713,0.01561217019067446,-0.033270314190925854,0.05841024667504416,0.025407118622032814
CCL18,,0.10606283205936792,0.006989215207806896,,,,,,,,-0.019034987551758756,,,,-0.0308537270220872,0.037187354623855653,-0.018686874020127125,,-0.05949659185485034,,
CCL17,,,,,-0.0151045806805414,,,,0.10869873897010902,0.08855503984589695,,-0.0026670777913108705,,,,-0.01893864477634346,0.00942452796620223,0.1732146051852748,,-0.03008133298846489,
VEGFD,,-0.03590882131528233,-0.0011171399655317382,-0.020263359473137003,0.019701178590488696,0.01242027176128879,,0.08884465230922364,0.0415174805118645,0.026405213459165872,0.07801585333311224,0.016982336104788928,,-0.01399733725707259,,,0.05348891753346486,0.0968536978809226,,,
TNFSF13,,,-0.028432471563992225,,0.01476049422664614,,0.0059506625744743125,,,,,,,,,0.07176705420990204,0.10422004898927265,0.054215454205171376,-0.022838223186562312,-0.010717880293080635,0.00636529343302689
WNT5A,0.008614147904503006,0.05648267627724171,-0.02998325392618323,0.04147787538927582,0.03155409215234321,0.008234344786902338,0.10693033130873868,0.14359207630821333,0.009636735265690652,-0.013301025802864911,0.0011783370223562527,0.08215482057027851,0.007112460731344666,-0.028538708081685685,0.012062833148138486,-0.0012015435500575173,0.01890395669164396,-0.022093387050348783,0.03178325051344759,0.022900457262135056,0.08335046354467042
CXCL8,,-0.06737073339852657,0.0077772008443171845,-0.018973408763025924,0.07489968818673501,-0.07055837615680992,-0.023405266303399893,0.08152870342789707,-0.05451064892370373,0.015548076309962893,0.041322658720923965,0.02560542374727036,,0.0960712606844871,-0.02507431271294865,-0.06595041662303025,-0.13044858847675966,-0.008021281494450087,-0.02575016136482128,0.005907522908509354,0.004210906100896214
GRN,-0.025104541152661704,0.011379787593230897,-0.017244547929951764,-0.003071990257341228,-0.014539117554405723,0.05074778728738573,0.07021187475157784,0.1637358249109955,0.017126246120817704,0.014827949797912483,-0.0032540572548265,0.04264184976456116,0.03440218443412495,-0.04114295587823758,-0.03086339071767342,-0.02113100623256831,-0.03168421563954227,0.08178744468207409,-0.016572029637493334,-0.0529978199869274,-0.019644605773439947
MIA,-0.024539918051493047,0.07270756402936218,0.012430199703462104,-0.01802081484146695,0.0034666279560471333,0.020598075369774652,0.008216984256676779,0.06545461896531055,-0.001982447990277174,-0.021570948948088708,0.0025729712278664,-0.024036631393007237,0.05993673861694758,0.019298452000033838,-0.016903382599630385,0.18865110244940517,0.1795591702367058,-0.0006487572080511865,-0.054877623065907974,0.12927212408626265,0.08677097905097865
COL4A4,-0.03303470460594353,0.21162949233409442,-0.045250072132994326,-0.030305643126097796,-0.00040987523728698344,0.04438362451344819,0.07806728856628618,-0.030571389045887215,0.01265005464890638,0.011853126454804588,,-0.005147420701419352,,-0.0025770950938936695,-0.0023551317591258263,-0.0012170187715416358,0.05516310870231906,0.04258348167898956,-0.040988121522059676,-0.0267978935607695,0.07885388595271753
