,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
ICOSLG,0.04522205624074403,-0.030398058652129935,-0.04052719995144518,-0.03430964266136456,0.026758256943093906,0.07048872864205634,0.018947199330429588,-0.03304817401339356,0.03051001547762603,0.08661335059759953,-0.025663672205321397,0.0423331770495894,0.040272421251750345
WIF1,-0.038771997674880536,0.042382805348252284,,,0.028264265527326336,-0.05094557943000028,0.031819490097170756,,,,,-0.015645715708879966,
NPPC,-0.025492066273810364,0.022757143283345972,,0.06522579693303701,0.017443518213939017,0.014748833626877149,-0.042892571430536895,0.07463419254385985,0.04115488941673982,0.10527469870506909,0.06436050230298793,0.02947408664202222,
LYZ,-0.03611560236894116,-0.020712930992340187,-0.04956932426283041,0.005259380924657133,0.03196285443876464,0.048019500938692235,0.0017530859050208872,-0.04422335992555187,-0.016016003400724396,0.026443779564760263,-0.006055780685381958,-0.004417439301301694,0.007586794932913206
EREG,,,,,-0.03375917956924906,,,,-0.009166357761180476,-0.04200596399697576,,-0.02096285336347065,0.10047569100213632
SPTAN1,-0.010435486873086009,0.007993938726261121,0.019445269307290822,0.0320324832745706,-0.009519082133984079,0.016059736332110375,0.05022997779769404,0.04767527170241373,0.01934268774597704,0.05962138496861623,0.012612337188518756,-0.06211262744538329,0.049501120485162926
PTH2,,,,,,,,,,,,0.0018500062882456337,
LIPC,0.03551091200486531,0.0630091756234448,-0.016265068558205364,-0.020434915551230528,-0.023225964074895813,-0.031102030340610296,-0.007186422682920183,-0.0298490656488558,,,0.008570968643890207,,0.026355582026911656
COL8A1,-0.028679934181628494,0.01606354930671545,-0.040235512374049695,-0.0013667731236880526,-0.029815722049132055,0.0519198401913173,0.019399172304628048,-0.02664670436947746,-0.02479013673804284,-0.046286686215395195,0.03507286760252257,-0.007040508861065427,-0.0019963221994102488
GSTM2,-0.020993294797760367,-0.02981003436048435,-0.02368086415014697,-0.03770004855520998,0.016591605154796525,0.02803300705355242,-0.01753270422885158,0.006002400309622402,0.048976404923176384,0.06308774729300926,0.02968534491008558,0.008556265055486217,0.08122259994159335
SPX,0.01860116754068821,-0.02825889305181553,0.01624345732331394,0.01314063274680812,-0.013532477758895512,-0.003039809202134636,-0.017125103247842485,,0.04883022237021732,-0.01641386914566708,-0.09726792815524157,-0.04141930329001474,0.09706888593961273
MFGE8,-0.04126644833679572,-0.026188061724436995,0.0004235608863752725,-0.04668825994952405,-0.017425847546894902,0.009750206753244903,0.03387824164091446,0.04943621607994584,-0.04958118970397326,-0.0004537181113436784,0.04713520853161115,0.041717000745452676,-0.02661742685972272
TGFA,-0.011325807264126535,0.04477209697081414,0.023584203327250346,0.022291526159846548,0.05716989225196625,0.03257832765636799,-0.00012332848821836848,-0.008911242169257755,0.06053697776251281,0.0253438227787981,0.023833013576650047,0.03303596336814623,0.007047867077246242
SLIT2,-0.050674633916532937,-0.00013043729441402594,-0.004136188015209346,-0.02246450961573054,0.03697047196461926,0.05171509773503012,0.04203416238831124,-0.03871897400733017,-0.011498262626431855,0.04574934893648908,-0.05159495183485696,0.001605546375123502,-0.00282704503207334
PLTP,0.005829075791877479,0.0029056860547622618,-0.0036710310167777783,0.005501824200808686,0.05826885889416056,0.014823833991758056,0.005970404416229154,-0.04997535316915027,0.06315097061309753,0.10768069368387513,0.03065519441023519,0.062468957501381185,0.004550374451503638
APOD,-0.040432689418159924,-0.040828295403389774,0.02239585229764276,0.03616111397582374,-0.09393668627096612,0.04267333350718211,0.06855810286416043,-0.044291774344624044,0.004217230085326037,0.0035621893528730592,-0.03439584628815578,0.020439330876319523,-0.01469684903924583
B2M,0.0006071267905807016,-0.021958817733283807,-0.08149501970037494,0.009895795387341727,0.011102652189276044,0.060588348220929185,-0.04266228470718655,0.03377511061830287,0.06546301047820688,0.10249351376226135,0.11740115224738902,0.045397454802297614,-0.03128806376112284
OMG,0.04947341674262094,-0.01923436419634638,0.027518393265316993,-0.0009074133966382629,-0.04247269800161927,0.012172054251148607,0.1097031142770843,-0.049619422961752986,0.034261186662744865,0.06518579020157078,-0.06345391683398104,-0.02713563169112982,0.0784130701765652
CXCL3,-0.03883813003236282,0.016234861504701388,-0.02221810338943721,-0.05214423997326157,0.0068717332653668185,-0.015612960345412354,-0.016587047641862487,,-0.04651192287695594,0.002834657389776391,0.05363477454396337,-0.011251213128161266,0.00032112846435551916
CXCL10,0.11005985217533445,0.014453431067007017,-0.017535469386420758,0.0436869378547747,0.008648461870631969,0.05953061322251315,0.02517825183657261,-0.034701217716910426,-0.005893459736481062,-0.017731365645802723,-0.020480498239713804,-0.022997528964617913,0.03763189585290678
RSPO3,,-0.018688598107088995,,-0.013205444765173787,0.009203705250880899,-0.019526460144606322,0.022790918929062817,,0.05137030618280792,0.018259676118382098,,0.039415654102270326,0.04400586686674279
CORT,-0.007888674194708714,0.024262198268176802,-0.01930056541902133,-0.010069904369941528,0.026021635637034895,-0.020557336746305527,-0.01342087442417374,,-0.026430066146512728,-0.013833678297790516,,0.05621787328351105,
NCAN,0.08352917925646404,0.016685833590158176,0.04851451591195069,-0.032532663356796714,-0.08890823657161384,-0.010760031325656028,-0.005214970344742146,-0.11446472180742188,0.0230034830918792,0.059754405413207964,-0.04173427455964986,-0.05694440358365675,-0.009083392678144574
PRG4,0.1312920030575057,-0.020690505266706214,,-0.013033204498719572,-0.016629696639101296,-0.016915219568307445,0.04871710519998833,,0.06343676764289381,-0.020412438867132163,,0.000706360586644787,-0.0057179617636084895
ZG16B,,-0.019078298921781343,-0.013004432859888069,-0.015126627778299616,,-0.018262697787009098,,,,,,,-0.017768083614974305
TGM2,-0.10455743372180377,-0.060654981098952974,-0.04380600063934838,-0.044343599659363075,0.021450806819198653,0.01187185680744123,0.05558545567501754,-0.08968376755231212,-0.06751978896131128,0.06323666799433605,0.06232643733946571,0.028360225237969897,-0.04978549480594136
VEGFC,-0.027453349211753856,0.025922979471444747,-0.016698192586624278,-0.023228660184111915,0.10682995114273007,-0.02230165496549808,-0.020681558564972884,-0.05991935635671271,0.06068053873001928,0.0018395448606626213,-0.03397674549593528,0.06753828709896809,-0.03745893862937671
WNT6,-0.03481816060998037,0.009197274083608719,-0.01202645686387587,0.02940060837200918,-0.02291412095216801,-0.016633903493272113,0.02065866046437147,,0.018513935419356635,-0.025710509429768824,,0.06208522838978154,-0.021458612719844325
NRG4,-0.02594772841179897,0.09331562881961555,,0.021292020949468846,-0.023686828154780713,-0.02106897904445042,0.032211479200970616,-0.03710848976434306,,,0.04779333660087424,0.048767649304586755,-0.014249895090913588
PMCH,,0.16964996961866313,,-0.02197835477059407,,,,,-0.023559743969421745,0.06414296058737376,,0.01613619267526654,-0.0035809749744754593
COL9A1,-0.040423323204728114,0.03955603526225034,0.016044256322285493,0.052059463064947055,0.037913672592098074,-0.025756319197722904,0.04706600284320842,-0.0016894245302219691,0.030869900579536667,0.07041275607398413,0.05165269346997297,0.04824590900845217,-0.0015493149358269745
GDF11,-0.02677400114865223,-0.018486818351461855,-0.014697254818160537,0.0359067888917233,-0.01746788480273943,0.006203302173869619,0.02239130864798729,-0.04711729653824145,0.03583748688092082,0.05728565808625752,-0.006426804451593788,0.03790203526358362,-0.05279698140946203
RAET1E,,,,,,,,,,,,,-0.015632033666496462
IL24,,,,,,,,,-0.0175655773860924,-0.013008856684314356,,,
SORBS1,-0.041287051000304914,-0.06301119959463253,-0.07448105827775366,0.023134162395222972,0.06122678117712325,-0.02282961042284969,0.029820924356023,0.011713037300619346,0.050083738658667575,-0.02920678045129509,0.008352827726463358,0.042570229115632505,-0.006988246159930528
DLL1,-0.007162809021307458,-0.023517738429875302,0.015439032791432378,-0.009127227331495803,0.04841155881585783,0.028467497398409362,0.01252073038471183,0.029410367176094947,0.004121771493852355,-0.02801703161699898,0.01772626293415778,-0.011285454535525355,0.04310496223219538
TLN1,0.04812574436311388,0.0011264085046026541,-0.012589323320038972,0.0270442426504497,0.026842683653597994,0.04984680054485222,0.009585293145296306,0.005052064364248371,0.053418706206859214,0.040401431345435695,0.059484031449617,-0.010344260695309377,0.029798330833112105
COL2A1,0.05908536664905567,-0.03916951907234762,,,-0.014852841853536103,-0.015612965658675797,-0.016839258727403734,,0.02890436877913204,0.1525684730511632,,0.0012267873481100736,-0.020738411364550097
SHH,,,,-0.013543639344742928,-0.016608739197143816,-0.012273688082254338,-0.0160712655428523,,0.015110649762038884,0.008662411016418067,0.03387355647636861,-0.00016275159553385803,-0.019177576571935827
PON2,0.0571729298961284,0.0327861326381364,0.012382655580962352,0.026665633028917474,0.013134710051251127,0.04074770595487029,0.04669656458759874,-0.012983896883069116,0.021442803675249755,0.04943399882198809,0.07159481126504165,-0.0008952195516432579,0.06425035471889703
ICAM5,-0.014903446411630914,0.04507091530047607,-0.01548075093071807,0.07580015395432253,0.00256126029301318,-0.005693653061577129,0.034949694444954583,,0.043401793628952794,-0.021789807056007478,,0.005121032289330354,-0.03072818591808573
HPX,0.11185803047071909,0.028328476833908253,,-0.013842132230630091,-0.005006537879338007,0.04869722110397146,0.03575149569178262,0.04773439221531124,0.022667312288133006,0.057054202979739226,-0.023100006500691057,-0.035421053819483024,0.007919093584740078
SFRP2,0.00047845002888908915,-0.018291398670206047,,-0.015424737491358307,,0.0179124299407493,-0.03152771014095909,,-0.00048263462825757803,0.05885226693686364,0.05907185666858513,0.008800192440863297,-0.020758884345143624
CD70,,-0.033417932604693515,,-0.026217664966861814,,,,0.1723284663799923,0.08422899418763978,-0.004851684213281318,,0.016193636768529238,0.01852306992902533
HP,-0.02998319720956878,0.0028472337498473203,,-0.010092466729929596,0.01815413572190018,0.009431215172409356,-0.019191712975021043,-0.03325961932717286,0.07641681507153009,0.09621793760852196,0.02681284683525436,0.038210321493597876,0.11707762809404498
CXCL2,-0.023065826830948183,-0.05270257381165424,0.02734528561931064,-0.006280170364580282,0.055148259449336844,0.02655260551298452,0.0993362942296292,-0.008900397096183541,0.021689158077391198,0.0850911029001887,0.030727305873888184,0.02983349293498815,-0.03466538936778623
NPPB,,0.06124065893517509,,0.01876734922886603,,,-0.0036128709728042987,,0.04510145374794709,0.11188213882006448,,0.0006447221507532941,-0.01445493155577471
CCK,-0.10794963184853627,0.05156179738358191,0.022578850822971838,0.010542801362895678,-0.05127700348962754,-0.03101650034454162,0.08946581244160808,,0.011830148952430775,-0.027423968109494504,0.028262273977162754,-0.05752467438920599,0.11490469591460714
SEMA6A,0.10519979153275487,0.03500131213765994,0.06047636046455136,0.044334817548428475,-0.018888212130941114,0.06689152689285713,-0.03703953613829521,-0.10261847665748997,-0.041938610657963935,0.06381110400508894,-0.004089976399876994,-0.04054197243630865,-0.010214804959720512
IRAK4,0.024489425702136886,-0.039205262519647614,-0.006133083540256067,0.038631756509963984,-0.04445113094439509,0.04938522500763076,-0.012565909136065465,-0.12003000921040069,-0.026711245511785716,-0.013720814308305677,-0.04257910381774345,0.0015005753490956307,0.02900815141001062
GSTP1,0.0636673501702464,-0.004445087595345092,0.041433561951095536,-0.01678974184120401,-0.005555826443560515,0.05781319607306111,-0.0024873331236195816,-0.13980117045464935,-0.050491518779885856,0.022395388125521467,-0.05573556369509378,-0.029285321603172685,-0.014056650342445604
VCAM1,0.03575157134603146,0.015409564501337321,0.027827804859761034,0.009367392993995359,0.023933870035493014,0.04842050055918308,-0.0015162383186888768,0.04897228708969553,-0.005195193912308599,0.0063737455870008205,0.04787787310248512,0.01387542668817056,0.08624804333478452
NXPH3,0.06359238145496415,-0.007874899292892038,0.022620596815657805,-0.020711460988095006,0.08197301318677883,0.06100230442266899,-0.02311255353561495,-0.0045646455757927295,0.016480917259246244,0.05505530656947367,-0.0010079938805571647,0.028938867593820986,-0.012003854138980892
MTMR4,0.08388201256842268,-0.015407089031707797,0.08612494049308381,-0.006472775954142823,0.034373037372762816,0.024696940795138622,-0.07021966378221463,0.06672803867864598,-0.00272215386160475,0.024062802862286826,0.03567185230812337,0.0024198058951868905,-0.005024147958081674
LAMC2,0.0001692468292938655,-0.013931304998573067,,-0.030272411740087518,,,,0.11848439245053621,-0.021595275019897994,-0.01708427904164576,0.07185513331276515,-0.012420914611446841,-0.02754107739654335
IL10,-0.03759354776779101,0.030614821394951145,-0.017225754984661102,-0.0002023659037897874,-0.02112614401834608,-0.020487696941792356,-0.018512936572875116,-0.047991063746854766,0.0468680718506449,0.056119349861625076,0.0727181770062658,0.01830824621908747,0.08369879618696428
SEMA4D,0.0016962605611990148,-0.037381536800148885,-0.01866634826045366,0.055935985072616275,-0.03030257618438961,0.000513585206150344,0.05274668794000458,0.04066599670751181,0.008453349640042795,0.026930007085968936,-0.011600709224272882,-0.06487640540931593,0.01719946827524788
TRH,-0.04624065101141682,-0.010771882644213028,,-0.012838878045236136,-0.014616322473232675,-0.018781803539681664,0.059929001811713276,,0.0814939096143233,0.04865717538182336,0.06077730865932534,-0.039221798813386666,0.00976684950011887
SEMA6D,0.07741582852882332,-0.027347265561000852,0.022992554669120324,-0.009963626513756724,-0.07833385249710267,0.0849871144850793,-0.02448748136952638,0.0065352766120774465,0.0599303894090454,-0.00033458000898717793,-0.023239928085545467,0.005310670490506795,0.043452798797660785
CEL,,,,,-0.028836481706347044,,,-0.017683571387281292,-0.010186559338998966,-0.02123868355389973,-0.0097506863804701,-0.018239359881468017,0.11677490985724925
PDCD1LG2,-0.015933892403923365,-0.03885856213944884,0.011969266221493781,-0.012745859280292494,0.039294244250373686,0.02727561635004688,-0.02118658040275565,0.007795807687689951,0.03744291598589275,0.009170827578162764,0.043835810551376954,0.0021752571696723685,0.021840095112344797
SPINT1,-0.03668767638274482,0.029237165876982787,-0.0009799944660987836,-0.021517366522469276,-0.029338878856566192,-0.027790801141385026,0.11180523155698643,-0.03251431250510769,0.00744841183679824,0.03505666447404817,0.09641777020977545,-0.024037103511512635,-0.0005789874627995923
CTHRC1,-0.05109352017087396,-0.02702962680234431,-0.018041042450280174,-0.035697477991804484,0.011407466641657099,0.017544465305692723,0.015012219188612203,0.05839332745407415,-0.017750832735010727,0.0016307899964543408,0.10151014646670577,0.12613096196230622,-0.01667292172222617
