,MGH258,UKF259,ZH1019T1,ZH8811Abulk,ZH8811Bbulk
DLL1,0.11092069249991565,0.008389749772541711,-0.03281340431898549,0.009252590966290839,0.0028434923449690563
TLN1,0.0020947905237624948,0.04219542601847205,-0.019427278576325552,-0.04399413888241119,0.041580609674907634
COL2A1,-0.01926455928575125,,,-0.006529688618489758,0.03692579398765294
SHH,,-0.011813559817916685,,-0.01450116400893845,0.00822026360034433
PON2,-0.04886283966855841,0.006184137326870969,0.14884256701061124,0.048550281830388974,0.055310165609598956
ICAM5,,0.012884286852563948,,-0.0015471712551586522,0.06490368168651205
HPX,0.12402380275210557,0.05434872400647005,0.00091908014165707,-0.02669902072041397,0.07533945687463178
SFRP2,,0.07242029913813046,,0.05943320713429892,0.039179642876316756
CD70,,0.026774613379279964,0.01690791161610783,-0.0168617089405194,0.002165230714837754
HP,0.08988292871543677,-0.009400838813774771,0.025418847973284267,0.05142606842405503,-0.023151650896095652
CXCL2,0.059675334850949224,0.026173831935180643,-0.03209419340950873,0.0010169914500697075,0.015276476104643142
NPPB,,0.02595533015386735,,-0.027558983288132992,-0.036426447833397595
CCK,0.04975510432615759,0.03429023822162927,,-0.0360989856205489,0.047105518087602605
SEMA6A,0.002917658561018726,0.01581428546412436,-0.009379328600642068,0.031997140910420344,0.006343336969341354
IRAK4,-0.020179591935243657,-0.001424196003311177,-0.01283473791516887,-0.021745332727864577,0.02761718631867865
GSTP1,-0.05496492578741952,0.033866516646260635,0.06323551824730365,0.0774409283838332,0.0317653095930717
VCAM1,-0.02090795091366891,-0.034203125218490546,0.05628689687612694,0.007361707057293424,-0.009959891663714544
NXPH3,-0.03722241753064254,0.009459291706124126,0.01783276585655499,-0.01647329124155315,-1.0255434659765e-05
MTMR4,0.011429672579004296,0.01940734893073376,-0.09516857156018926,0.003972853465552369,-0.04755010925969644
LAMC2,,-0.003064125895073921,-0.03257764499595512,0.07468238135833144,-0.02035574041152156
IL10,-0.021304115176122088,0.010717854556081804,-0.021751115007434978,0.016267054426940323,0.09502141409669237
SEMA4D,0.02615967436648902,0.02874361678371803,-0.024127967578775972,-0.00615439519597447,-0.013731826101431173
TRH,0.07785229930154614,-0.028003935895867547,,0.040932969082646056,0.02878722227127119
SEMA6D,0.04998159645442432,0.0014887771134993036,0.15198100075849164,0.037567137102730665,-0.0063453770753891525
CEL,,,0.07124282766540053,-0.02289672913189261,-0.008387963487799539
PDCD1LG2,0.025397167561953555,0.035720102384093864,-0.07736808114126668,0.04139545343090594,-0.04188730221563289
SPINT1,0.03217376165518703,0.045442721882841944,0.18967634330367245,-0.002635826692302903,0.029308652179828747
CTHRC1,0.04885986644193816,-0.016016790683988695,0.03335128479934177,0.03820499276759449,-0.01267262730026906
PODXL,0.0364575699607914,-0.03359794412994389,0.04659239910798765,-0.0003210811657092803,0.028565804615645098
JAM3,-0.005959802600882128,0.017505111878796994,0.055012075922006645,0.04457061331375294,0.0046533215420420495
TGFB2,-0.023417479478904196,0.005508284364103263,-0.06942619784962463,0.015406060180836328,0.015455160744697096
COL18A1,0.08949340974345436,-0.01556154082696113,-0.02814726060193981,0.02796911735360517,-0.02839417578229056
NODAL,0.11050812530155626,-0.02326572177127383,0.07486836132235865,-0.0025877857837834596,0.023304543541326436
INHBB,0.1110495477325597,0.00225315258706514,-0.04221102690437242,-0.0279686667479889,0.03684063843192893
LCN1,,,,0.04775889013176185,-0.018081021509283614
ARF4,0.002855952720744572,0.04975354118538659,-0.05743063451607664,0.0812293292929634,0.005429968946144896
CXCL14,0.09311343620808002,0.020459025503532072,-0.06839863733273668,-0.04011904377744518,0.07118087962281741
LIF,0.04612532126621808,0.02346960801425068,-0.0673831180038543,-0.00858372268371331,0.02288900097425315
IL17B,,,0.0948930883796168,0.06227161851622114,-0.028950544274693703
MMP1,,,,-0.006978766282218221,-0.015555271971083851
MATN1,,,0.0753485400832065,0.02703979653931319,0.007469414389438923
ADAM28,-0.04900278830382183,-0.004329453350053591,0.10163156012424666,0.025312613887238548,0.021870068674355654
TCN2,0.07224391115533689,-0.02908389134144719,0.06226247236847678,0.04309707995551835,-0.03332808336465687
THPO,,0.026121544699002765,0.08034102968138379,,
CUBN,0.04424587812590523,-0.0020527710891921395,0.030268084270240563,0.062133515869456396,0.04521919905265053
TIMP3,-0.01804408176957864,-0.015892508405370296,-0.03903427871313031,0.03266182311306819,0.005085103865710782
PIGF,0.05873594803451037,0.03304873417785628,0.09578396064760986,0.06782939551358239,-0.016723041428398887
CRH,,0.029725408842350188,,-0.0408739836467672,0.03917883582811513
BDNF,,0.01576107346644078,,0.005067666764417963,-0.00377438263681921
CCL5,0.04232464552298838,0.005302357640805365,-0.058381503208883724,-0.027353034381276477,-0.016203768367705648
GAD1,-0.007894235809901808,0.027850228662603706,-0.03580112870270863,0.06646024302262078,-0.013201617611853511
COL14A1,0.013974093955161937,-0.0010990639576900607,0.15834969251855463,0.012868711779461268,-0.017128093056605273
HLA-A,-0.026258150517012788,-0.0647398015268472,-0.012863443399162695,-0.054883201290726685,-0.013371991378595039
CD5L,0.1063147167451572,,,,
FGF18,,-0.01058657137189556,,0.04473166909074595,-0.012911064083819626
ADM,0.03224697284615547,-0.03270099786055085,-0.06684242595996004,-0.029455147826756664,-0.00941466384850965
GNAI2,0.10193853231325711,-0.0005061821825566461,0.17016890035529647,0.010188582627950537,-0.05905190720952841
HDC,,,-0.03879357582811348,,
COL11A1,0.05337657318355698,0.016590115840780937,,-0.012969053861291767,0.09916999241581043
NUCB2,0.05969284681302138,-0.007411859633041244,-0.026942489336673286,-0.01275710300691542,-0.022873296533429992
CXCL1,,-0.00044717725921579487,-0.024025726964615662,-0.003578577090248369,0.03652117592407758
VCAN,-0.0007352828694721359,0.008793649015114823,0.02334811116460179,0.08859069687897078,-0.020641820387295725
MMP7,,-0.021046824016045938,,0.00766444028063672,0.06147741724241264
PTPN6,0.03842868757401638,0.028414576461273773,-0.040649754810254846,-0.06285870261243959,0.02148138153814122
PTGS2,0.058720111251007547,0.021974015916235587,0.010439880544478376,-0.022852705536942134,0.02531844016972798
XCL1,-0.018391183989227,-0.011518568528022898,,,
CD58,0.016880900211617065,0.057704068907651215,0.026607356709062568,0.10622612013617645,0.040672192484816454
TNFSF14,-0.030085015435491504,0.018111102845847597,,-0.019785884449158155,-0.030770606649744733
CNTN4,,-0.02070093995269708,,-0.016902122843304404,-0.04289067231575488
NTF4,,0.024355804895926314,,,
INSL3,,0.01661312281204761,,0.057429313107668044,-0.01786091839684785
BTLA,,-0.016804102777407716,,,
MFNG,0.012596753568359553,-0.018132730790220104,-0.0003131290480741771,0.08843709821808517,0.05132157581770615
ICAM1,0.034551150987249514,0.022278139488467984,-0.14225526265815255,0.01265136296205286,0.045145113515929286
PROS1,-0.04198859612233526,-0.02385539299220556,0.008128052180155826,0.0007745498665266203,0.05951120829939199
CLCF1,0.0049775231963118055,-0.0015414289911268074,0.009046339173506121,0.023218127341816126,0.030481717364663513
PSAP,-0.03348802374754823,-0.017406854033073627,0.009660455419561313,0.01676538465200899,0.07588868648346545
EFEMP1,-0.070447756029915,0.0734420471060155,-0.026675564971154045,0.054031601486323966,0.05914334926490255
C1QTNF1,0.016814187251464302,-0.04479228409298308,0.0003735400172989256,-0.007257260341336309,0.009928520211315486
ALB,0.038945942798367356,0.07403362793070545,-0.043522590260993775,-0.018866613949635933,0.011760371949098748
CCL13,,,,-0.014687675258134608,
EFNA3,-0.005336168334757772,-0.008437564926938354,-0.11226528215614091,-0.005706853520428318,0.04478694752463617
DRAXIN,0.007442557879947912,0.0836172549821228,-0.06982030068618866,-0.036353710290604496,-0.004566813068628117
RAET1L,,,,,-0.018081009659739238
NPTX2,0.10027991872750351,-0.01366143863942699,,0.007951443770450907,0.03880911899482275
FGF11,0.005815914826270274,0.0028659283383284944,-0.10731668630947076,0.041073323523802434,0.04440736139709605
CD59,0.059036893894247704,-0.017449529006567904,0.10794812627548793,0.01480438168160504,-0.0028634449680418096
COL9A2,0.02045456250815551,0.0498208904784227,0.027253759337934114,0.06069456554943034,-0.005491670240389001
DLL3,-0.023521899073626385,0.00735427581215659,-0.031167634805738142,0.023030433802490917,0.009124763229059257
LIN7C,-0.021078927892352245,0.004228201824261723,-0.060875617359792626,0.012792894932889168,-0.02358937558108728
GDF7,-0.01904967331508138,-0.018889530380200605,,,-0.015499922060898279
PSPN,-0.011525393162823807,0.006269284495694091,-0.022209743871732267,-0.07401480664176359,-0.010907322087734695
ANGPT1,-0.011739819998870374,0.045344113813755235,0.08661581867860073,0.02872970056520083,-0.03067033692333873
PNOC,-0.009140288984094271,-0.0074358515592356815,,,-0.016482685298954757
L1CAM,0.03620654707889547,0.006948277791171139,0.008182654778144812,-0.03322546662841789,0.029930511495520545
APOA1,-0.04012224419046659,-0.0164868325374945,-0.06474989942729265,-0.03901421054999389,0.028642835034849094
PSEN1,0.04481199669682141,0.057059213132305615,0.06269086064046295,-0.006206118880549321,-0.01918275378938069
CALM2,0.06729175712372477,0.04203236536852936,0.09066599596582245,0.0769877020842477,-0.0022770467353914066
CLEC2B,0.03618191840249063,-0.006508401186597816,-0.0540661488801631,-0.051101831618088664,-0.0039001520908810545
NTNG1,0.016675451872144472,-0.04505468130000193,-0.030092404100004203,-0.020630627531731397,0.05477797778147577
LRIG1,-0.0056187959956462636,0.01968817218827057,-0.009075544193304223,0.05276235026723708,-0.029877169562445325
CPAMD8,0.010327494619014261,-0.01252202245197435,0.0585670069679897,,-0.01741291065367963
GHRL,0.010168572929817673,0.004306914363977871,0.060224544820447326,,
NPY,-0.024590622125194864,-0.007029941308663602,,0.004001442028220244,0.04655897315870793
MMP2,-0.041220164400318955,0.020580443046531064,0.044567231997767486,0.019765866930131333,0.0007632230105784219
LHB,,-0.01090573588924997,,,
PPY,,-0.018983705490575212,,-0.0086544479255015,0.0161073821560507
ALKAL2,-0.02510134923202871,-0.010747292556807045,,0.07266428072523617,0.0627140754471892
CSF1,0.04652182658157251,-0.01697461015249758,0.0675420673455805,0.0326509200010892,0.034952918979944764
SEMA4C,0.05631105943023788,0.03853213847585232,0.0829437343975369,-0.003333738408254889,-0.0520189053920346
ICAM2,0.10344117259986028,0.02908037898828632,0.09813354270267546,0.023058156238723343,0.020326127428343436
SYTL3,-0.010853924757970227,0.02299924842816667,0.06135257928157318,-0.02681902837194741,-0.01400079256741286
IL1A,-0.019477264849544807,0.05280413338292551,0.04309122263333849,0.010404376035959813,0.06405244478480744
HLA-G,,-0.011518567487799416,-0.03399151230106595,-0.005153120244111046,0.006042841416938312
PGF,-0.02808738234448575,0.034409253596129015,-0.06747661347018369,0.01981595250162328,-0.016421400302143768
LGALS8,-0.04810059043143752,-0.0063799318040910925,0.018163320816100927,0.015041263345177951,-0.029622427706442283
DKK3,-0.06752021463505362,-0.009121828557823262,0.09998396817473218,0.028342369192496348,-0.020174303423448715
COL16A1,0.08796193970359267,0.05239674068850051,-0.09405072897387232,0.026367814119751837,0.04148906424155103
TPH1,0.09408558903276122,-0.020960818181778945,0.08043252566197244,0.054329350612778556,0.06113992886741941
TNC,0.02085019299944462,0.003696987804303882,0.05939868393842683,-0.04779038909662657,0.06377947812962048
TNFSF9,0.010302682428566285,-0.003809127015047169,0.07828505742389365,-0.022500338776404036,0.005345010573256682
C4A,,-0.01292938273163958,,-0.016352021544438305,
CNTN2,0.026351716114043255,-0.04745704193090584,0.0668545016777513,0.04510865581399005,-0.002504222132691317
F7,,,,0.021562383361953055,
LUM,0.12079072525570497,0.022770521484995507,0.13340279357350293,0.020519388239423786,-0.0003154291408784288
IZUMO1,-0.0160166886064803,,,,
BTC,,-0.029600448606532458,0.10083051041804031,-0.014905258989262421,0.004827853151860692
APOC1,0.005944335399220973,0.0029552457912524763,-0.0904394625006916,0.02812693845155721,0.03514478887643406
PKM,0.0661723304061951,-0.021803323460986845,-0.1336094987395938,-0.06914421097496318,0.01984689854891084
TNF,,0.022669224514714637,-0.00923870673347971,-0.014467024966478914,-0.01808101459133869
GNAS,-0.02283243961670537,-0.01368895311184109,-0.00531941130207414,-0.12931258904584203,-0.04910178520509241
BMP8B,0.05605692553990517,-0.016698955821930952,0.09759269674299394,-0.014942200295759734,0.021854126793961794
LIPH,,0.07060090279843033,,-0.014687680659904273,-0.020158775736667793
PTPN11,-0.04677922174079044,0.026179053019955042,-0.019370471723970748,0.022356318798716798,-0.013655355220913101
ADAM12,0.07848047483479019,-0.04931431766564662,0.015002333819412458,-0.031924164833324914,0.009586103387946802
EPO,,-0.0166989562895193,-0.04645911709074757,-0.01595119630134695,-0.020936425378431198
EDN3,0.05516399183712533,-0.020787879494540633,,0.003066791379007022,0.022771747335311194
CCL22,,,,-0.018053318605968652,0.0656882606207523
CCL2,0.09818322582549922,0.01325170387623419,-0.012793536555167549,0.02090017876232699,0.01574286267916473
DSCAM,-0.039123460309364186,0.02707343747446436,-0.060574132684323004,-0.026441313751835716,-0.0033471137212550896
ANG,0.014497963632192246,0.021362398744898228,-0.012993535023558008,0.031952141375892626,-0.004307795642772
FBLN2,-0.02207197380214647,-0.013459730541749761,,0.04876176957342411,0.003967349443418569
VTN,,-0.02147241966114625,0.03169947519912148,-0.018233308966104617,-0.014722072261484847
VEGFA,0.08311677371996423,-0.006698785597863224,-0.14020874103586345,-0.06981615849843617,-0.013878313761531761
F10,,,-0.03060380692716277,,0.007726760803674993
SERPINA1,0.05586000859136075,0.008161460218890979,-0.11702541542168773,-0.012800605736556921,0.03235426291275252
VWF,-0.016683427003883155,-0.009378582881087165,0.10025777588599251,0.05705558133442573,0.020255592014963596
GDNF,,-0.013582619008677518,-0.044641424119563816,0.1224406743540867,-0.025496460099518323
VASP,0.03350466000018305,0.03491569892038321,-0.10424522318044992,-0.03093857970245418,0.044893450472111546
ADAM15,0.0626080815042845,-0.00791541269745063,-0.01995009274525918,-0.061943296194542294,0.01918345371270733
WNT2,,,,-0.01978587548242384,0.07355038067814912
CALCB,,,,-0.017316259981994424,-0.009187536608622416
OLFM2,0.03476930602332429,0.028281960283594896,0.05941388686604436,-0.03773524199430303,0.009265571463922859
MFAP2,0.11823525954744504,0.03517135289952012,0.03188274904005343,-0.014337800183150886,0.011782244467230195
HLA-C,-0.03366139959958419,0.01936264666024118,-0.015481203547222743,0.048868057769791154,0.013290852428571689
THBS1,-0.011406786271856456,0.03699369679362303,0.0255120946440973,0.022076834179867822,-0.017814472326644272
HSPA4,-0.002069876557785178,0.032864149844372144,-0.01219846412594535,-0.036824445840984925,0.001402057425744455
LMAN1,-0.01868455317089568,0.02621095961611045,-0.03182316857239357,0.01590945747581709,0.012189400888354705
LYPD3,,-0.012243319065278924,0.007323154093713349,-0.0064088775300961565,-0.040064372044643005
APOE,-0.11758890895959938,0.002388640711401396,0.07531206433475414,-0.032300600970866976,0.008913547111540389
SOSTDC1,-0.016762076271207467,,,-0.0329454045130822,-0.029033124136602338
ANXA1,0.09387901456204889,0.04966375465925867,-0.07683763562500118,-0.03805968831255955,0.007048991983631329
WNT2B,0.06128495935565452,-0.013523974500118423,-0.005849733990388344,0.02622686208955833,-0.030182178536132215
AMH,,-0.017012616529524446,-0.020069743309621486,0.06864264827080639,0.04710872777894939
GDF10,,,0.16553747892271023,0.048221002540213186,0.0467861312649957
EFNB3,-0.03871205143496859,-0.044210412158476875,-0.07110313991304977,0.013839844683788202,-0.001898587105413306
LTB,0.026881536175346044,-0.007969620149199021,-0.030777236184062976,-0.0058880518469223595,0.02829350493305008
ANGPT2,0.06903706581762882,0.02881824604889405,0.05193076053598854,0.03191546421908462,0.0028605742683610953
ADAM17,-0.02838048231617293,-0.010788275483670918,0.04199156393039774,0.008319374288861326,0.07205613633646721
LRPAP1,-0.05191202411432861,-0.013140945440626564,0.007656442303425523,0.06965673962004834,0.06172014080442187
NID1,-0.008764610591491997,0.006550127005457802,0.04942955293972204,0.058820321871385556,-0.0017464760432117242
MST1,0.11464772049236926,-0.019585984009644262,-0.027892499995318655,-0.011118939971187307,0.0013195544980967287
DCN,0.061189567977859544,-0.03401418651537008,0.038250507131523885,0.015091595093912053,-9.156337306203092e-05
IGFL2,,,,,-0.020744511783970784
COL7A1,0.162613519973103,-0.05308469978465047,0.05376294998629994,-0.05474955784148653,0.05489138174231638
CALR,-0.007213498792692376,0.018788968879141495,0.057243667424311806,-0.05770814155754633,-0.038083646158954716
PIGA,0.015246345907094174,-0.030211023120081636,0.05455481342665505,0.016313455393383507,-0.01251840559394987
CD200,0.0021549103594505677,-0.0022035406079083616,0.005023058742697504,0.017595433767703113,-0.03674138285826521
GRP,,,,,0.12359612286844426
CDH1,0.07730757814812207,-0.0032152536493272395,-0.06774491741429739,0.09193677809809903,-0.047065411070827165
LPL,-0.0018936378219061604,-0.0017641246706939602,0.11004748557997918,0.08552135716097502,-0.027127403829150177
SEMA5A,-0.01848433178382084,0.029792304466987152,0.004653857153842134,0.07219827684301486,-0.00636865853365926
SEMA7A,0.03757441512406201,-0.011140781297861764,0.10885474736537919,-0.029626284313144187,-0.004248813153928254
SEMA4G,0.10433687977958887,-0.004135119453034747,-0.07274734827819394,0.006882385486023186,0.0099811994563244
SEMA3B,-0.01749259295529707,0.04311589504626532,0.016753971768284404,0.040061786759557856,0.045938415075160666
RPH3A,0.011073280924999505,0.013206056326341515,,0.06123584042660384,0.024813491693078206
JAG2,0.035408033120463984,0.005928845022503609,0.057039743864545335,0.04004435053190046,0.04356175247875633
CGN,0.04729330167126138,0.02501092633813497,-0.01190974356862262,-0.003056243690192022,0.01393795487687544
GDF15,0.06629108168368204,-0.052073853836070425,-0.048655887046066174,0.0131060963435867,0.004255757546565043
SEMA4F,-0.03522257984168265,-0.019685696112142024,0.03113800316915076,0.0651013551149153,0.0019461322767782099
NXPH1,0.024566978988697776,-0.01970917184847335,0.039612598336164914,0.10152937950391236,0.03249593820006489
ARF1,-0.024821175017323838,0.014720082522104577,0.07858786681528851,-0.014911220693530774,0.0198135087227305
EBI3,-0.031267106026452045,0.006082718125801258,0.048848759288913496,0.05786964107676639,0.034999369311826685
TIMP1,0.05989541125371701,0.006785017303973963,-0.015060742480410045,-0.057852955484892735,0.02761752361214846
SEMA3C,0.09863206131942989,0.02253240330805434,-0.0019166032482282743,-0.03093828449567946,0.009095550064984768
GAS6,0.057026903172879874,-0.014749201998070303,-0.13973671104021154,0.04048523543693826,0.0018572284916508351
MEPE,,-0.0014598410908364433,,0.08091386674242293,-0.029802057649541826
SERPINE1,0.06387546817849493,-0.020249968755979536,-0.055774055247157,-0.05714505614387369,-0.01811959420252206
RSPO2,-0.01771009480282848,-0.013835773476479024,,-0.02230529727350513,-0.028077433274751144
SHBG,0.07174229265951908,0.044324073445699184,0.09196392293007846,-0.023901084683305884,-0.03491708914454034
LGALS3BP,-0.036687443135715876,-0.04812621241533643,0.08313161548364124,0.006755903553477362,0.038243198600393644
LAMB1,0.10668702263825015,0.042106387254168404,-0.0017948840573717092,0.008930140452011721,0.041177971248247645
SPTBN2,0.07923679100274078,-0.002906881990076002,-0.03138074410714663,0.061275483924472685,-0.04408081937185902
COL1A2,0.1101336200661233,-0.05238396072447899,0.034053630727677746,0.030148712714455843,-0.02243776556626979
WNT11,,-0.003379241038037377,,-0.021462577162455275,0.016491274321983114
LGALS1,0.055762067065028065,0.007223950740738315,-0.11922706392064474,-0.06512863823973018,-0.0023615971360729277
