,UKF248,UKF259
SPX,0.06960390160379583,0.0026629687764582743
MFGE8,-0.016258915795986123,-0.01096057472250665
TGFA,0.03202496549241808,0.030252743816313148
SLIT2,0.01835982666072337,-0.040233928811983274
PLTP,-0.00443649490413799,-0.031169839101657004
APOD,-0.0665240577043353,0.007759387507864265
B2M,-0.004415653858794215,-0.057508633972143126
OMG,0.014405905059108152,0.015355707359953567
CXCL3,0.059336546623231436,0.06287624687871153
CXCL10,-0.005381402573860618,0.04651031488309291
RSPO3,0.0029380106830241845,0.00914643939504862
CORT,-0.007422360515499923,-0.004987989190388692
NCAN,-0.000660555098055746,-0.08981533841518297
PRG4,-0.018865794757603443,-0.03202854248153347
ZG16B,-0.01739577004732238,0.0047582657165279665
TGM2,-0.07957693925062749,-0.03924779503744806
VEGFC,-0.023953879651811553,0.07965341848728796
WNT6,0.014511212921031493,-0.007106852597503872
NRG4,0.10414736638666702,-0.04826846161851267
PMCH,0.012004709130385266,-0.013666608682287437
COL9A1,0.03195517561028725,-0.019621930332857727
GDF11,0.01608837547251637,0.028896012560985323
SORBS1,0.03516293576398303,0.021999539751260667
DLL1,0.024302836370258818,0.04283336979068486
TLN1,0.06446676125530199,0.002754024778324393
COL2A1,-0.05774422546794603,
SHH,,0.025103290798491325
PON2,0.0176406330782513,-0.05160710086512731
ICAM5,0.021371031651977655,0.010408786179537645
HPX,-0.03134725865921178,-0.03128891107933573
SFRP2,-0.01667826709369396,0.03322097441586768
CD70,-0.030470781144144397,0.06657615931741752
HP,0.01983163494171976,-0.01868907472455568
CXCL2,-0.0056218110383968465,0.08591967534635322
NPPB,0.026510689599068965,0.056714084539979094
CCK,0.004669257624191819,0.060734935265893894
SEMA6A,-0.004509802747040731,0.0004855407770263227
IRAK4,0.06317733213167873,0.05406444834590827
GSTP1,0.004856358863590385,0.05353308178074735
VCAM1,0.012395800838406187,0.011270076991752712
NXPH3,0.0012328696234471036,0.03181640047084961
MTMR4,0.02566078906984582,0.021430780249857753
LAMC2,-0.01270269321221339,0.022455355955937097
IL10,-0.026839394512279065,-0.0021776582577023853
SEMA4D,0.026335450225687916,0.03920869617935942
TRH,0.007223550204722276,-0.004961791469255561
SEMA6D,0.02581042754457512,-0.006823047525323733
PDCD1LG2,-0.0047282416310954044,-0.03306855827888145
SPINT1,-0.03213560410561401,0.03762938011970972
CTHRC1,0.022436615944599638,-0.006889427707617041
PODXL,0.016259242562322626,-0.05017017793061304
JAM3,0.05991066384772134,0.006401276724169363
TGFB2,0.03739393342896621,0.018840319544448328
COL18A1,0.001883196149516602,-0.0044811596741114335
NODAL,0.0414615621938648,-0.03559779653730646
INHBB,0.05201612633871809,0.030295954815356563
LCN1,-0.012702696070371085,
ARF4,-0.02235773460750297,0.027442035985359086
CXCL14,-0.03636531620897132,-0.004511213345995687
LIF,-0.02739325413954335,0.0550050756669536
MMP1,0.022304972865117845,
MATN1,0.004009592104846256,
ADAM28,0.0064984058226720655,0.040256009221144
TCN2,-0.01907036513735352,0.030964964398554756
THPO,0.010194794274104179,0.011495694133250033
CUBN,-0.02300800213552147,-0.0065995664633638285
TIMP3,-0.001403852395724362,-0.027843873727461273
PIGF,0.028194789109113057,0.020382830589251336
CRH,-0.01488272081047483,0.009425695404546072
BDNF,-0.03496396134849735,0.0025675261008276298
CCL5,-0.01673240385628088,-0.019776299416466765
GAD1,-0.005752485365242789,0.03949033476352321
COL14A1,-0.03010014959258851,0.008126160333330657
HLA-A,-0.06336524308388072,-0.035593401684759905
CD5L,-0.014882719088657393,
FGF18,-0.013466170812705049,0.027557602922582664
ADM,0.020256675773504394,0.06426240230839793
CCL15,0.004150774078911714,
GNAI2,-0.0565119259095596,-0.02563004706801387
COL11A1,-0.03715066610625658,-0.02322874250183279
