,UKF248,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
SLIT2,0.03906171218849657,-0.02405869100879108,-0.007970052775636581,0.05390279384339929,0.0472973727969517,-0.014205917004350883
PLTP,0.03751756008086928,0.00818314171833417,0.013850629616206972,0.060598655000653284,-0.017770589749188964,-0.011675354836616315
APOD,0.0012959792328314193,-0.0067875417366069345,0.037347376356078564,0.10312292729570618,0.1287715372672415,0.01976809799931396
B2M,0.028707100736011813,0.0933182548652457,0.09797817596095386,0.12364160076118903,0.041895242858878246,-0.0031192662500117074
OMG,0.024857518139056914,0.01501613666278645,-0.011678021465040928,0.047894872081531745,0.08561853786807101,-0.009223642264208446
CXCL3,-0.04116039812018057,0.08049143218528108,,0.006087984542732044,-0.032544401009583133,0.04117084666194636
CXCL10,-0.009502638113039169,-0.018549016749245507,-0.020358764904766825,0.04465427084082343,-0.01746519241463946,-0.0014407402548663342
RSPO3,-0.021825989749493985,,,0.0595805927852762,0.026046847491018717,0.02273385935796136
CORT,0.04008141969220262,,,0.03281716247190109,-0.013626014944332588,-0.023582379942645778
NCAN,0.0377136805086295,,0.11741270646692845,0.09367992113339896,0.1273836415004373,0.044465472568917815
PRG4,0.034399749907139135,,,0.004975063601446408,-0.020106018881344244,-0.005324969400120767
ZG16B,0.10140920679194562,-0.024249389155676385,,,,
TGM2,0.01289738089123356,0.06667507354449877,0.05122552471557131,-0.013400210138055804,-0.02648684415140851,-0.03767527882560587
VEGFC,-0.030680969318530104,-0.06809137489564185,0.08151054800773146,-0.031409667445915244,-0.011958442773209881,-0.02461627681415384
WNT6,0.13787448305184744,-0.027115773891793593,,-0.01302502481378591,0.038330606544354086,0.034888645612960824
NRG4,0.14550743055540655,,0.07280690568306508,,,0.01415494735917956
PMCH,0.0029849604733942123,,,0.009933360718052626,-0.019118027950713747,0.09892802149315243
COL9A1,0.012460798383535011,,0.0822993747381913,0.0175381184041553,0.10001762567432265,0.04034402823608974
GDF11,0.003633936745635056,0.016098585640606917,-0.006287640407333099,-0.04224272641177828,-0.025758034353932653,-0.007907075407154868
IL24,,-0.015291581787227448,,-0.018495838000099324,-0.01281357508634993,
SORBS1,0.050115576180578,0.01666500292536644,0.052615431168189765,-0.005672930850291593,0.04240847185434643,0.051041102467205154
DLL1,0.022850588105444807,-0.008523347061429017,-0.012990539655157993,0.05215390506047264,0.06404899823120143,0.0024216718149408277
TLN1,-0.006240906322031436,0.07008172134654869,-0.010716097651111565,0.016357142031590867,-0.020105283883548344,0.016565851926479726
COL2A1,0.03463443864704041,,,0.050375175732568035,-0.008202672462600164,-0.001398167237479972
SHH,,,,-0.0030514104313976377,0.0009903555535148505,0.07932326991695222
PON2,0.03300273073919502,0.044489227841698106,0.06743468672260611,0.09919503093137137,0.10274634367847213,-0.07701766972378866
ICAM5,-0.006619713290144832,-0.014475361018764293,,-0.04316537504906965,0.08695516139627837,0.039148209765255924
HPX,0.04684818000435073,0.02545829871073397,0.06948519763261451,0.054665600200904114,0.09988986346373906,0.009656123140671566
SFRP2,0.06063611869885644,0.03694145868189826,,0.027904414923106035,-0.015213509039540158,0.0522316026424846
CD70,-0.02034982875553249,-0.007226133951096785,-0.03739000902582418,0.018040945122484102,-0.05501781181990369,-0.04001852113023617
HP,-0.00048032483937314647,,-0.08090707691886166,0.06949024373047717,-0.03265872801106149,-0.013773418075643083
CXCL2,0.019968535198766738,0.05727048174681092,-0.03394037791249608,-0.020448432533543545,0.0034252320172406927,0.00855971806113819
NPPB,0.011513271281442672,,,0.03103106702219909,-0.03735486919334532,-0.0009138155374733089
CCK,0.05220490831579104,,,-0.008941265328541524,0.014706923227923462,0.008378096720623127
SEMA6A,0.008943581501846867,-0.033936781466090145,0.03009798650439642,0.010684404246588028,-0.016535697636687708,-0.026349765747779443
IRAK4,0.038435757783590596,0.01604364215857875,-0.016332647994939015,0.04295771186800089,0.047741614782549124,0.048391616027986924
GSTP1,-0.009320016302022407,0.012229549347413963,0.013328211898544882,0.04261906637495589,0.08840245662147139,0.03644263318476855
VCAM1,-0.01296954923704023,0.020550364465918267,0.05402446535569541,0.02130465196240116,-0.026025227464187565,-0.029128965170883148
NXPH3,0.08547573170608967,0.050693595234717774,0.06494264952406494,0.05317534294776102,0.021440565191936965,0.026199592897730488
MTMR4,-0.03295808670741157,0.04667203430634516,0.061847672774645944,0.029071054985160317,0.026297276034735688,-0.006241607105179503
LAMC2,-0.01627005505461599,0.0463760487119944,-0.034451639539701345,-0.0036597410958249164,-0.016827819508553554,-0.01831498526458821
IL10,-0.014056287301253297,0.04444110423977356,-0.02725241830035444,0.039168128631045906,-0.039273885024947414,-0.00321956283874981
SEMA4D,0.055944924501548456,0.03976116290399697,-0.04755053127566945,0.009321551691402053,0.11084214927587054,-0.009991369876699735
TRH,-0.015679981266289927,,,0.02314528837691668,0.032531180219110355,-0.0028708219027948527
SEMA6D,0.016296058282511235,-0.020605888675300187,-0.07958959662712245,0.046339906021612275,-0.006568904050408641,0.04347305169778362
CEL,,,0.09824086353807142,0.03297970488289036,0.018088724231131132,0.11141944657760224
PDCD1LG2,-0.04538203315603284,0.07412258615662783,0.05802163936125364,0.0787394045849729,0.04616691666587553,0.021672034726572687
SPINT1,0.07783932320649067,-0.02700328643217456,-0.03310507289108223,0.10485619823743032,0.09348846100879377,0.021299745575705218
CTHRC1,0.007924538808268114,-0.051400971215187836,0.09121505337473926,0.04766402652698956,0.08344014324866741,-0.0016651065176100965
PODXL,-0.01733213138469175,0.06631141135773948,0.03237206969929805,-0.002267752748011273,0.008004263672736586,0.023004575619003508
JAM3,-0.028992672716349543,-0.04085458085432636,0.026109568394834748,0.013243245796982134,-0.03209873208899479,0.02911282357877157
TGFB2,-0.04232743838822916,0.04846705769270222,-0.03792751739258004,-0.04502848693954206,0.03156099170939858,-0.009363380809320507
COL18A1,0.04168132505704017,0.06055133060512263,-0.0391346537408291,0.024759431664498475,-0.0216516589713075,0.007278805289889886
NODAL,0.02075549772984271,,-0.0010351563795638172,-0.02764943256695371,-0.015827783631065896,0.10412704561393755
INHBB,-0.029136385761311487,0.029695004969255027,-0.08592439752650956,0.01291570239845095,-0.03541690504776762,-0.012760196881869449
LCN1,-0.016270058715444624,,,0.016495035174757713,-0.01494733968587468,
ARF4,0.05463623818769484,0.04049888756784291,-0.006342028747227033,0.06280991343331487,0.10458604666601315,0.018569272578722887
CXCL14,-0.04830327206351933,-0.04757487150555467,0.008686138036207932,0.0020051797719521573,-0.07186397836523105,-0.13689100464110937
LIF,-0.05280634686780138,0.005315947169806368,-0.02023067981069905,-0.02619645309099761,-0.058512989657617386,0.10031797822025117
IL17B,,0.024794471604492913,-0.03289704278225181,-0.025592609372890797,0.011627455799949856,-0.026056977979220252
MMP1,-0.022430962642334247,-0.08300937532594377,,0.014726664022611092,-0.024636965401167003,-0.01886866637898878
MATN1,0.01007161074666044,-0.015291583991330316,-0.03594686752175273,-0.012989521720356905,-0.026437697798844043,0.0010953502108697042
ADAM28,-0.010632362537706249,-0.005959515083867217,0.015569231778356929,0.045576015906212755,-0.01737543476535307,0.052079489258020896
TCN2,0.020848603371823395,-0.025313014549440432,0.035951953840038374,-0.0005432567051078472,-0.001291647396918873,-0.03785353911268766
THPO,-0.002908631045689323,,-0.03445165688901498,,,-0.023295046320122085
CUBN,0.026697136720026673,0.04688239731133012,0.025206457558807717,0.07349059845361519,0.03334991387589042,-0.027460533716572887
TIMP3,-0.034818861576683305,0.016829026645687684,0.12511448677368947,-0.03483454201782359,-0.04303744063263464,-0.07692078799742376
PIGF,0.02942768370979816,0.024055499214096197,0.014864242017291572,0.04274328630843018,0.0842916998840664,0.047142886836323686
CRH,0.016819395031085566,,,-0.05000034219033816,0.07551232856438427,-0.006765478720264324
BDNF,0.057835141546156044,0.04017388963233565,,-0.00458674139281425,-0.03195532305502913,0.023221812261669875
CCL5,0.035766166686058073,0.05096738330856625,0.06555658370396658,0.05080740851963692,-0.031012311567290955,-0.04747868939807453
GAD1,0.030954389564585693,-0.02290852356191811,-0.03786055073450873,0.01198826939296202,0.08873348998391153,-0.007249834922347837
COL14A1,-0.029761994933109794,-0.020719614890403946,0.06396046480670411,0.012351731155827236,-0.019974952937592924,-0.004502019771461234
HLA-A,-0.03509649417601875,-0.03764105033429815,0.046740482090875765,-0.012524751708875065,-0.12261202955233903,-0.04803951829236122
CD5L,-0.019062308668686467,,,,,
FGF18,-0.017247943946793756,0.08035089307116468,,-0.030256594538073427,-0.023332851550650756,0.026634588765592743
ADM,-0.055867351474746724,-0.06062926058942187,-0.07521355040222077,-0.02372343088613615,-0.11432490624842812,-0.056250253234716496
CCL15,0.0710991973105074,,,,,
GNAI2,-0.015337764969674891,-0.02978193941222937,0.0658737481924226,-0.026164461361348316,-0.013684678095519381,0.03262922543330444
HDC,,,-0.04102513521318617,,,
COL11A1,-0.02826628343689366,0.030079654844773703,,0.057883452075909725,-0.0020172251751102875,-0.007265012530814189
NUCB2,-0.013477129211527914,0.016458852251196525,0.1255943672052744,0.012571792338472141,-0.044239733339272454,-0.05188385760472636
CXCL1,-0.04006186176560252,0.08407601820016629,-0.005954812780133026,-0.04939955667597136,-0.04432722719699396,-0.03099523923388666
VCAN,-0.04916645171574776,0.04118222242602628,-0.05469495096208816,0.06721016237384547,0.039932299152071186,0.039247213672348825
MMP7,0.04052517491080385,-0.03147625113111257,,0.008949334179348007,-0.049338379158341356,-0.006586847187059181
PTPN6,-0.028641578465410204,0.005440823765277247,0.06830607583863088,-0.017203555630309685,0.00017721130035246573,-0.004787780384640734
PTGS2,0.007563813576691129,-0.030820831974670348,-0.009623280570764432,-0.07185837122652028,-0.05987693244573302,-0.00833089629490928
XCL1,-0.020888880813691224,0.027038322854858642,,,,
CD58,-0.058768992375465505,0.06282465590198498,-0.01683725914352006,0.1099420211656788,0.01056708665280698,-0.013620944100471374
TNFSF14,-0.005171092373785032,,,-0.024203684219916845,-0.025437650726648133,0.04410538467028375
CNTN4,0.032107826663978115,,,0.06585963040190154,0.04640625901912399,-0.0053144775045056115
INSL3,-0.018712581977579433,,,-0.0106566564639517,0.09558647283427972,-0.000481666222798208
MFNG,-0.0023238516333087236,-0.04725505842259595,-0.04283028013991049,0.03935040518795788,0.00043545655620546,0.03582703680527399
ICAM1,-0.06266119899824676,0.006776284218304076,0.03629469568028121,-0.03289467540821012,-0.050929656896023336,-0.021157797958763113
PROS1,0.016843506352939904,0.03520074124053091,-0.01075584843786948,0.08829645569355121,-0.04015936192487254,-0.032043802770765836
CLCF1,-0.011259751365402146,0.017456158584173403,-0.025416057639748895,-0.014407825904266702,0.0034363017890801954,0.024718215176903712
PSAP,0.005018917539198424,-0.011838095468407375,0.07855815031665116,0.05202285926501355,-0.05081123804863876,0.027053411776653304
EFEMP1,0.03127358715459872,-0.0003278798661132367,-0.0013282858766301524,0.08232138024741782,0.008476835521981446,-0.06333912568170931
C1QTNF1,0.02949593522422086,-0.021211769650720805,0.04806193093626349,0.03803487821834765,-0.0886835869722985,0.00025062683769481596
ALB,-0.004789038020489554,-0.014475365777701149,-0.04602618119548065,0.04891569851502285,-0.02104957175961446,-0.037414195256866255
CCL13,,-0.012776062324232371,,-0.017967144950535745,,0.02043478486731807
EFNA3,0.003258082474931468,0.011607425184175202,-0.02779989830342698,0.02379037034411278,0.028785295680676563,0.10001152767107829
DRAXIN,-0.02697880668134721,0.044219675069309544,0.0028077463864273123,-0.01174113888914458,-0.08107481593472167,-0.007064890764373571
RAET1L,-0.014577283095015681,,,,0.03844136633630376,0.011178747526520233
NPTX2,0.02821906802142663,0.018203925590893,,0.0011156453633741194,0.02565043711115604,-0.026975458977255208
FGF11,0.0034099013445805042,-0.018032033607730907,0.05621559181581784,-0.022719963253009248,0.0018807346209492684,-0.0011827678292316627
CD59,0.020027588141641354,0.01415828063015387,-0.046806218838203115,0.06687020133354918,-0.006466923289188804,-0.052242705641650754
COL9A2,-0.032732992257243715,0.016709055486352747,0.056836689891747214,0.05702990380554931,0.10029105926823702,0.019746215318234204
DLL3,0.034296726138110384,0.0021772556301638416,0.05737739540220398,0.02454303451256603,0.0945504039872785,0.03913497293377005
FGF5,,-0.023999974156863692,,,,
LIN7C,-0.0069033303152218,-0.0016860628554716144,-0.0013293364755699085,0.0001270400991296238,0.04276054630296401,0.01129913280550773
GDF7,-0.03437684489003117,,,,-0.012813579145949968,-0.02214888849596965
PSPN,0.07013561909691553,0.007675585088450255,0.019510841474790774,0.06905563799393162,0.018313472049558004,0.04440365021180848
ANGPT1,0.030702830434352953,-0.024175893745684764,-0.059672821729213316,0.030446618824500223,-0.008070049186884256,-0.011548851851225209
PNOC,0.09363081036628511,-0.014475365777701149,,,0.01610086060712006,-0.01244479980333209
L1CAM,-0.02238974246269341,0.06527915814771118,0.02451365154143447,0.03238829920285909,-0.10650298103172233,0.11733557629969142
APOA1,0.02308818191826564,-0.05568547717162339,-0.008262246955274121,0.01770452121865792,0.015619115843193067,0.032325090363875854
PSEN1,-0.041733945441702266,0.05562562245998443,0.06835269241139583,-0.01203137791295246,-0.004946238246055899,-0.015120728873766786
CALM2,0.08574921845528898,0.042528976046826594,0.09858346991167344,0.09680493457236036,0.04250686545489485,0.06782082492307616
CLEC2B,-0.010397912052525587,0.03176082937563168,-0.03118739209375957,-0.004430769846030846,-0.027889746061625937,0.021247660675991077
NTNG1,0.008777521013651896,-0.02372094502553871,-0.03182343779193056,0.06885017537597736,0.09123647905993813,0.004138022127027631
LRIG1,0.019607733959519712,-0.03717094035722406,0.003178906409433395,0.05770144029048504,0.10563386238440463,-0.025481940972390097
CPAMD8,0.07685247202924747,,0.07646614470925102,,0.09772454392070537,
GHRL,-0.020721973442471668,,-0.009388324905997798,,,-0.023958323143658238
NPY,0.015040565001896915,,,-0.008654457925450226,-0.017640199544742878,0.03823288858778266
MMP2,0.04809551603300827,-0.03347554850060551,0.026971218612798907,0.06936855816336535,0.047663329143048085,0.030418838194330066
PPY,0.016839529794659084,-0.013389067854234254,,-0.016744770686314192,-0.038206090029494946,-0.025109638889757584
ALKAL2,-0.027337404633643404,0.011039824197678993,,0.07639674672302593,-0.041634855451861415,0.10578972747103169
CSF1,-0.046192426154493885,0.05994197759119452,-0.004410417744965184,0.024919886059727222,0.0030419900054451635,-0.03570788331669267
SEMA4C,0.0256679127262767,-0.01792194952324697,-0.001964104232079159,0.04244215559100581,-0.039486616556925064,0.010196813586241117
ICAM2,0.0393995269475242,0.04941838379083762,-0.016021075501433786,0.06035951554636933,0.13039423139138825,0.010198034662404374
SYTL3,-0.01117689395241402,0.014511379358597922,-0.04599506638742433,0.039710819727994714,-0.012635020339101986,-0.013138473291851471
IL1A,-0.027350163165030576,,-0.010844919084071442,0.024315947217295103,-0.00841815965469007,0.028120384687440554
HLA-G,-0.022430957890820866,,0.0967231261683624,0.14124281585538673,0.02005804056631032,0.08417291578842628
PGF,0.06093566050705818,0.05557270036081302,0.0051336634960494985,0.0643598890184829,0.047999700895325514,0.04295237030203817
LGALS8,-0.0454877592274507,-0.011398480136139056,-0.016333892278914672,0.025000461589294445,-0.01589002491542412,0.013213744004478273
DKK3,0.06487186179783828,0.0006309789751623827,-0.05421850339998954,0.041970349391540866,0.06577520733827967,-0.018324870090015283
COL16A1,0.013822646845032573,0.046501072794000425,0.05047491783389574,-0.000408777976230682,0.07084143479145086,-0.031597878254663724
TPH1,-0.016470019804542647,,-0.006816238831345422,-0.0015766411664512924,0.002726353263733538,0.014926567408207627
TNC,-0.017316506854301295,-0.04259733542436747,0.011679820116787318,-0.008372296633600748,-0.07782141714772547,0.0014550993566781962
TNFSF9,-0.01762216601581455,-0.031686866448813175,0.07461688466942751,0.08513267278976437,-0.03219043918454982,-0.0235817761344859
C4A,,-0.01587773577865716,,0.0013396254174297129,,-0.022382484986406357
CNTN2,-0.06619201188882491,0.029280759452536755,0.049169012077677265,0.012995380185111392,0.08094077741680689,-0.0018392584813196602
F7,-0.01606774560869136,-0.014475367808956115,,0.008371558496420567,,0.11140467314888203
LUM,0.058240299429423555,-0.07833103214785671,0.01697319177834586,0.04480449191626443,0.05013179856993749,0.04856634525245492
BTC,-0.01457727702310877,,0.07953322062578484,0.09865474576916923,-0.021835621309930782,-0.021433908963816833
APOC1,0.05917774697775053,0.037806626267786574,0.03376124230197732,0.03239037418800485,0.03496215082874053,0.012370606746154793
PKM,-0.0791716011813144,-0.01264874321454489,0.04388143348172417,0.0004134570929206173,-0.10541796423526038,-0.08051120304476823
TNF,-0.01870836803923356,-0.020605890349401607,0.02246886834246885,0.07880900854844342,-0.014947333966901743,
GNAS,-0.004429365808984899,-0.09220568287236441,0.0312870900101648,-0.09424213859070597,0.004136947726340398,0.07248370676161146
BMP8B,-0.024742202330080735,0.06642555948569483,0.012304401125753617,0.008689851654916512,-0.004230790325904039,-0.024980000102186033
LIPH,0.004242418437211566,,,0.10460189755709484,0.08196377512116693,0.030035976883149743
CCL28,-0.02316712590450328,,,,,
PTPN11,-0.030694796260152868,-0.035680098903746515,0.05031161449426654,-0.0018610250223841174,-0.02949210514120173,-0.03008578067502833
ADAM12,0.020216781034959323,0.07659691090102523,-0.0653399676775434,-0.0164319975307149,0.01326795883130488,0.04307190424712448
EPO,-0.022130346174592207,-0.01316156298008255,-0.04913162862269342,-0.019512785450646553,-0.017307864037366418,-0.02119055403272062
EDN3,0.05669420505872086,,,0.037415466352384866,0.005406672325096244,-0.04387455857534651
CCL22,,,,-0.022084270419309264,-0.015827776651772613,-0.018593788681951377
CCL2,-0.0018178761918079423,0.007367359039648943,0.10540959638609125,0.024798291402662636,-0.013096611819677145,0.04634840898923169
DSCAM,-0.0034508453983189743,-0.019363617066758154,0.02306179027572739,0.10143414213547915,0.0678617909569792,0.029772735689812237
GPHA2,-0.018356669437882545,,,,,
ANG,-0.017455295844317948,-0.005382715407104488,-0.11525555731385576,0.05577464390371523,-0.04277031213239414,-0.06628242303991053
FBLN2,0.007719942430131513,0.04878306947078205,,0.060272027791812594,0.04832221488487683,-0.005967282192911552
VTN,-0.008711811664395427,,-0.052093418149222734,-0.0022920757188602593,-0.012170541075869009,-0.02743890738361478
VEGFA,-0.08524594313601541,-0.07671697997376167,-0.04394094050414843,-0.03302290249806876,-0.13891724880626055,-0.03628544672444235
F10,,-0.04246482928870232,-0.03236425852538256,,-0.0015616912602400559,-0.015574831703451938
SERPINA1,0.011878590864697839,0.006817738685844456,0.009604769518846184,0.021908675224039508,-0.05340580650925889,-0.006203968879907418
VWF,0.03562439836616973,0.032558795732127256,0.020845863921033485,0.04055840165338459,0.051682205889351684,-0.012538456521313395
GDNF,-0.012307432222229932,0.0018761172269674204,0.012867685248246009,0.06280427461764537,-0.004917353216471578,0.00875978441470147
VASP,0.053842428719703524,0.026336699232051418,-0.03047122715829555,0.022371809480991846,-0.013453983208396313,0.011588707975930321
ADAM15,0.020590524921566888,0.03357236004374456,-0.09465870598685877,-0.04501264430387069,-0.006159473686077886,-0.03402876020859557
WNT2,-0.016437017152560653,,,0.04625777914424523,-0.017776043338392698,0.004194738457434738
CALCB,,,,-0.0010711250164232669,-0.02105280829536299,-0.033100567174285
OLFM2,0.026030247768382614,-0.029235194628314004,-0.01366806583371127,-0.0053511551545558774,0.002603084874796883,0.06412780611822805
MFAP2,0.013279633435323158,0.06271734126595326,-0.008209621987720432,0.036696584209300845,0.10212865866654436,0.026532563514390973
HLA-C,-0.015767522819754378,0.05349723232255394,0.024473885853108234,0.0774591170626569,-0.054968007854209494,0.042210677070021546
THBS1,-0.032312653189689323,-0.0011253256234766487,-0.01624153755245913,0.01773843256345721,-0.020687822631888633,-0.03344450471619937
HSPA4,0.09052167033879709,0.06018552019551481,-0.088143169701644,0.024362181571924848,-0.013017785276796891,-0.025709763313108782
LMAN1,-0.011119741120604248,-0.023672022608471226,0.02329419620483356,-0.03323868888754733,-0.04914413883276845,-0.010469454744290518
