,UKF243,UKF251,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
NXPH3,0.009526696195837908,0.032116457771867536,-0.01814527561231674,-0.025660055108298583,-0.01561076694587922,0.00858145738652329
MTMR4,-0.022281179476122563,0.0497868195212436,0.0013004942015273954,-0.013655638203657765,-0.054515934946584375,0.025487582687565288
LAMC2,-0.020160136633923357,,-0.01776276070736043,0.010052903096427068,-0.011870208841164343,-0.02754108395577554
IL10,-0.03198475979234781,-0.0012410089869670823,0.09925132377748813,0.028475860423275504,-0.029559248428225455,0.07552859847042385
SEMA4D,0.03030711425094235,0.048436303631281596,0.043282023260774884,0.04233720159429195,-0.014207993011741565,0.07516174959197804
TRH,-0.0393417541855177,,0.0008921139189705542,0.05586506683071205,-0.02323824599479228,-0.016190496567442075
SEMA6D,0.021471105346484932,-0.0030224169358105185,0.015199547003084768,0.06129239820052896,0.016237312201677772,-0.034667413003035365
CEL,,,-0.021879611133596027,0.06745317802487318,-0.00498468758192503,0.0593904674402686
PDCD1LG2,0.05920386357924053,0.03467005412760305,-0.016267610536624965,0.04451174815466022,-0.04262685468871119,0.09596410995518917
SPINT1,0.09454884766848325,-0.008169549173059558,-0.02718245504346974,0.05750779949608125,0.0407140696478985,0.08050214535698509
CTHRC1,0.09028311834273142,0.005062338143761346,-0.040548269401132715,-0.012139687956745117,0.038267427589321036,0.03423267146236234
PODXL,0.0015524062356962803,0.002455730853131837,0.008077021153708447,-0.01074503324681791,-0.0660438088328265,-0.002781921927458331
JAM3,0.0368309799056303,0.053730444287251926,-0.011614482403337508,-0.024059197092260818,-0.030798248976138053,-0.029386759715940722
TGFB2,-0.0013137445803962442,-0.0002435674579001083,0.021794119882745704,-0.029913707360456232,0.004621593779004431,-0.004377380805039795
COL18A1,0.035991108299409796,-0.01226736687816129,0.0005417599181256321,-0.01699849025044283,-0.03784486485291995,0.04362672235553556
NODAL,,-0.02167567204012351,0.03771555621636717,-0.022531404885095318,-0.013574474091988687,-0.02215816690800325
INHBB,-0.04004617560746753,-0.00048422898239124974,0.012198502351050093,0.011070563766533821,-0.03691819315876007,-0.035456860985946484
LCN1,,,-0.02297364267167445,-0.021278062062743505,,0.0343104303861016
ARF4,0.033451794188503164,-0.009066373682857818,0.07995757932609455,-0.011130387311429372,0.008390181647058688,0.008634572025015021
CXCL14,-0.049911204082962256,-0.0315580367809294,-0.08744151716103633,-0.03181389194278333,-0.0682377525874142,-0.05696237076427531
