,UKF269,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
TNFSF13,,,0.04288095260107439,0.004628135533911201,-0.02278264059318317,-0.02343357480224383,-0.01981772837556502
WNT5A,0.007602490104624131,0.05242991120644357,-0.002494504088743061,-0.013008040562820594,0.0787359676370153,0.005200367754950814,0.03224514323810217
CXCL8,0.1000316297739173,,-0.08510944537330832,-0.12099321678223185,-0.03016343515746349,-0.07555786274565442,0.014384535062798185
GRN,0.039700202263830725,0.017412318371386397,0.02730046631253574,-0.06120106551181236,-0.04186388167372845,0.0018484285482257656,0.08360170884808504
MIA,0.044608006646326345,0.0015458391363207778,0.13618578399603237,0.20873379770287645,-0.023745459600448916,0.01458498022699728,0.013803670181134702
COL4A4,-0.015306910496197198,,0.09490593992195677,-0.009464045395726785,0.06142217951797463,-0.0420566085130383,0.012083174957578822
TAC1,-0.04623784969471427,,,,,0.0349650486158574,-0.015988802474524194
RARRES2,0.10784473769900939,0.019315202236309184,-0.034863532184717626,-0.005028615923255121,-0.022286774834714182,-0.01194054430167151,0.052933950963343177
FGF7,0.13969087526003968,-0.024128227588485582,0.024563164256538116,0.03655217629038833,-0.05357393347087546,0.05650508332637724,0.13060551010644111
EFNA2,,,,-0.02695813049590693,,,
HBEGF,-0.035764761807569205,0.0597637272302466,-0.042314103350810026,-0.026690858185497515,-0.037868881803262006,-0.005516714450906458,0.011006222739427718
CSF3,-0.01619441668353485,,-0.07117321987538058,-0.0796307219577258,,-0.029917395916112106,0.01897607501046038
PI3,-0.018235126928824782,,-0.06437956766198885,-0.1619216825395526,-0.018051191967304626,-0.01988236296044393,0.001646199738002382
PCSK1N,0.02744397296613996,-0.06027620157314044,-0.0019963685989763395,-0.049975634180400456,-0.004669874621682551,-0.039081934442878725,0.01771269826436334
NTS,0.019498100564322704,,-0.03105550242464934,-0.03284336634211969,,0.019328208969252806,-0.018962760648140658
SFRP1,-0.05119683900146165,0.048763799464169186,0.02943890341146314,0.06578609382580784,-0.010890806151006932,-0.038853960563456975,-0.018522114131729814
CXCL13,,,-0.02990147378679976,-0.011140161539898568,,0.027001470413977612,
MICA,0.01951537665973796,-0.04941572018479857,-0.046381900905926664,0.04121062342621695,-0.036680993095053384,0.046623460146278356,0.09721629809035334
TG,0.020179602698337476,0.06085360066269296,0.030839191478484757,0.03206212983039725,,0.0346101497465646,0.04055818776588766
ADA,0.08796024372663676,0.04352334477571975,0.03333537570129921,0.07696305367178234,-0.002560098049414929,-0.03841354523568861,0.0027813816557097533
LAMC3,0.04415040539443081,0.016497106903624194,0.03691177869361016,0.036105800621579844,-0.07706579962408068,0.020409514131126547,-0.007425853317215238
CCL7,,,-0.019951614534273188,,,,-0.013418612281045867
NGF,,,0.013862679298135193,0.004211613055209835,,0.03726779452771297,0.06523749098561855
TNFSF15,,-0.005096599580053961,-0.019450583797830035,,,-0.018578189245590803,0.059356523015776035
HMGB1,0.12058908730480118,-0.0978565423613883,-0.046475078562912574,-0.0615401891594068,-0.0007801534678585185,0.01807989896054574,-0.047013600946352825
ITGB3BP,0.05195444372532411,0.08488271080060775,0.007883239620967292,-0.0399923721613498,0.02366199520815257,0.032533463133895185,0.035999913288342844
AANAT,-0.01460780210056632,,-0.017503195592420837,0.055857140005828934,0.05396196624780367,,-0.014197451378707019
RELN,-0.024396659430526466,,,,-0.0328641704922557,-0.005891644423491041,
IL15,0.08670315136603027,-0.035092381757560846,-0.03206657146071316,-0.0017165152953830054,0.03513184325127699,0.07654622575596451,0.1074946818112905
UTS2,-0.048185942914784806,0.07160796948890816,-0.014905252063619307,,,,
BSG,-0.021324955380527248,0.11034597798756289,0.05171383662872529,0.006763427348199507,-0.12847321305166887,-0.02233298337621478,0.004294762702168624
ADAMTS3,0.08475587140555746,0.13552745681253567,-0.03562827908638227,0.05229960335410091,-0.026663530859960163,0.04401325437650199,-0.061969178687811065
CD34,0.01794326521631462,-0.09029555518243736,0.03452201096777153,0.04210559160702811,-0.03410036764643587,-0.032491451797474154,0.04789755546410654
CCL23,-0.01662135995448481,-0.028153500912461056,,,,,
PLAT,0.08579708214809616,-0.005386171718097949,0.05233775040756134,0.06309232281117717,-0.04011620410160472,-0.027090408907998107,0.00415868422153911
NTF3,,,0.038344926979340575,0.08493119342800036,,0.012124018500514819,
LTA,,,,,,,0.06601172438155531
CKLF,0.08984832335654198,0.13222597099826727,0.08735403217683427,0.05726421456910589,-0.02839927267098741,-0.023560111129312986,-0.03371901999973669
CD24,0.06016498122748536,0.14027781532916614,0.028635098736008408,0.003751079271045679,-0.016270098468105423,0.053606545016459714,0.06190741581545951
HSP90AA1,-0.05494984208748104,-0.04087759740236015,-0.08568663076135204,-0.2212052545757246,-0.01847883793636657,-0.013109567236465445,-0.06089556714692311
BMP4,-0.04474419613639665,-0.013237717993230851,-0.03612794602381833,0.052843889645409,-0.04647915239665154,-0.03483592881331046,-0.00805332240923614
SCGB3A1,,0.11525448318280809,-0.015605310783883995,0.05829831019527628,,-0.009740500885133788,0.001471460645926643
IGFBP4,-0.0009991259454860592,-0.028757672557080376,0.029377632241303495,-0.0790904780241808,-0.06446179054713205,0.026506705621684928,0.015618038403499535
RSPO4,,,,,,0.003021113580801525,0.09490023001326436
LEFTY2,0.03971393585583572,-0.00273911614213403,0.008185765333032153,-0.03099700657969366,-0.06914381152810845,0.04045763766795731,-0.04396674636908269
PF4,,,,0.09837902093105481,,,-0.019107625526818828
ANGPTL2,0.09294328100709233,0.061333628022388585,0.05315052781425091,0.0668533986040662,-0.012174390084191442,-0.06823966365672209,0.04108159845307176
LRIG2,0.05476734830948312,-0.02072684461818874,-0.027937726281357947,0.0801650273786226,0.0436398997518346,-0.010264872824828634,0.019207907251896673
ICOSLG,0.08618366690002573,0.0201361651793138,0.046604534024123,0.0708248110842674,-0.049905702532091534,0.03372055288815094,0.05877127859540428
WIF1,-0.07690317891902108,,,,,-0.0241534237264078,
NPPC,0.004257164251710637,-0.02487458429902331,0.028757891623008743,0.0077693953653171,0.018115486368786883,-0.037109134367098465,
LYZ,0.026408873773959958,0.045714359874337626,0.01315088047763361,0.03225169870688277,-0.029269027204854827,-0.011262710571359393,0.027752643284949505
EREG,,,-0.040498199967849334,-0.014929371939624184,,-0.03236187396113092,-7.43578832874923e-05
SPTAN1,-0.009144538124967544,-0.031037878335057226,0.026388815943513083,0.059621667320933935,-0.024416639641812597,0.0578227898082879,-0.042260774155750566
PTH2,,,,,,0.03326326996982129,
LIPC,0.026219019608761097,-0.0263769503841602,,,-0.03060229140365395,,0.129704888277491
COL8A1,0.04256393032385935,0.06674461378006667,0.1015250170261049,0.1235333820705905,-0.07192680362595695,0.04316734997380563,0.14634061251458624
GSTM2,0.02265943868686765,-0.035743278891637184,0.03818944429769578,0.01724255224874419,0.032615369389572386,-0.0014456668265063932,0.029963635004851864
SPX,-0.021130722901583784,-0.03297603311356689,0.12964482982648076,0.023765017940040323,0.037450602854563794,0.030194273852514317,-0.016203459095749568
MFGE8,0.01880068988447126,-0.0239088365952997,0.05264155457426109,0.016236168156317357,-0.0291556060148122,0.000730425043488077,-0.016836981267632112
TGFA,-0.026873527681075666,0.0390697286817149,0.003524313581673613,0.07480549023153857,0.07863493434160597,0.04670034806485176,0.009405118216752804
SLIT2,-0.04853948866930492,0.012035337770052338,0.0314040655174565,0.029981398666417733,0.02227942991418694,-0.015730752525708998,0.09252421567489057
PLTP,0.060648919978636424,0.014782669180538003,-0.038478390348088365,-0.02911267132936548,-0.08340123107419402,0.030094388159786305,-0.029074620869549435
APOD,0.043202572277428665,-0.11889251197759937,0.10551074539338838,0.1616658277567304,0.02901893868823735,-0.06846291630812619,-0.010743638372842581
B2M,0.04934032809749118,0.06408526607350401,0.06090447285312318,0.04013609133233317,-0.09462401343861729,0.045402811134224126,0.003935514698040571
OMG,-0.014330137748439746,-0.0503225347814599,0.08575636832056147,0.12692468180001354,0.10698404744219851,-0.03717376347230075,0.011728221223908215
CXCL3,-0.019179345867378773,0.14635524980997539,-0.041586728549888825,0.006288728524219435,-0.01850605645024557,-0.051500458378076895,-0.0303611859245503
CXCL10,0.04499676622496826,0.07074168481125569,-0.020602601551241658,-0.03314192266038186,0.017995311826203723,-0.0037562414899007337,-0.07349928585004867
RSPO3,-0.02398678561872056,,0.04588690023241092,-0.006779761715478199,,0.003387137641686341,-0.01361726758366159
CORT,-0.04151450661156118,,-0.02275012050958138,0.02348216365188842,,0.06429177477934575,
NCAN,0.09877433578541353,-0.0696359648124054,0.10574827535485891,0.12752913929788542,-0.06374328179966318,-0.02179922681728363,-0.045981414629590635
PRG4,-0.02077907324081233,,-0.021852539087981352,0.008059392937120255,,0.007397728683315401,0.010645292624573513
ZG16B,-0.022434348744847808,,,,,,-0.016979267188106488
TGM2,0.04207051714568895,-0.01897641515131876,-0.024808008839379673,-0.048320656588223654,0.04010663478761108,-0.036202290317839336,0.022135046524842723
VEGFC,-0.027395903437615245,-0.042430678508625794,-0.009245715869377247,0.006188662165459622,-0.02440979340343512,0.03410666750244435,0.031838936229829355
WNT6,0.017837015966879782,,0.047898141395752464,0.012296399383915649,,-0.03448326518027258,-0.02050595476426478
NRG4,0.004711946461952125,,,,0.08156368695913484,0.03680258671093525,-0.013617269109832403
PMCH,,,0.06699671531586365,-0.036278340869034933,,-0.01975474865434452,0.10150546382393989
COL9A1,0.020168266254636667,-0.05291723101479368,-0.006418519183657536,0.11006724192301039,-0.02183583170722102,0.027667643082401105,-0.03162019926445115
GDF11,0.09401194977862636,0.053066834052657566,-0.04924781601919464,-0.04297964738138371,0.01394259014284828,0.014519609018470589,0.006033356891744915
RAET1E,,,,,,,-0.014938047460179247
IL24,,,-0.015119863875433646,-0.02431502066698369,,,
SORBS1,-0.0039042617416432486,0.05567846682725359,0.07680149775239431,0.022935214409823733,-0.01585251742814217,0.0016581917900916666,0.023849797530030567
DLL1,0.0623317785189255,0.0831136287508593,0.051247317675028624,0.16293097940509424,-0.0015397151888989025,-0.02147454025952111,0.03770516621321719
TLN1,0.06894917911473296,0.028628395441862062,-0.0193029124398891,-0.010645219871972226,-0.03839734353520946,-0.02911723266292541,-0.010740564720616323
COL2A1,0.020674009156438033,,-0.03305400453156957,-0.06337238200512543,,0.005578656377244198,-0.019817726843586188
SHH,0.16126198004093334,0.042761676119788594,0.04568750801240693,0.05233532903922686,0.028654656905689593,-0.00701343916992716,-0.04744030998336036
PON2,0.12858105384156968,0.034160102572870304,0.0816412770102943,0.06936581613959218,-0.05251805418510202,-0.012403836117399852,0.04855201415872092
ICAM5,-0.016767259706297402,,0.04291942957868417,-0.04006042441062846,,-0.05947789390494598,0.027151959584723915
HPX,0.06078485515156197,0.11765486341382259,0.010135943469180193,0.018963596089567554,-0.026279517489532257,-0.019427594783413413,-0.0037170456426001927
SFRP2,-0.015306905988868203,0.04495128789165963,0.03389091738816656,0.007527446022018689,0.03968554148841047,-0.005989926290625363,-0.00545507261021711
CD70,,,-0.026770527897059734,0.01813085303674315,,0.1022579756612631,0.060021824343886455
HP,0.004360873752028368,0.1041121074213706,0.016262302381657982,-0.029114357971788192,-0.02510346478731072,0.053135740491244046,0.020149692594626928
CXCL2,0.05948434449760032,0.0021623231770590452,-0.012265641894491737,-0.030184669307027765,0.009906350178511512,0.06335028447193658,-0.036186080461304324
NPPB,,,0.05281157703308012,0.006350463240737415,,0.04571362618174774,-0.0138132029536628
CCK,-0.06796652328476158,0.08416631237670769,0.13282977472534632,0.06934843081169081,-0.044136434055021004,0.03675543486024083,-0.017919453179728435
SEMA6A,0.13101416921284123,0.06872550969818195,0.05071408788187185,0.0460390542269016,0.02652816108476198,0.036542487135900664,0.005704280930384602
IRAK4,0.061199817537785216,0.1158673820504085,0.005333119083492733,0.05776707786516148,-0.08694477389014521,0.058194219063574214,0.035894110079829386
GSTP1,0.08388527801968353,-0.014034072913340865,0.050496655977598455,0.1885321218421073,-0.0396897516379885,-0.020998470291930298,-0.02991437242078712
VCAM1,0.08853701312796335,0.02266151053365961,-0.015466713955148094,-0.04309132118174254,-0.028731024161353095,0.11097142695065428,0.07509927421326272
NXPH3,0.05438592283419494,0.032434597495710496,-0.0189038878009642,0.11768366858563903,0.06397493407227711,0.030004980785227262,-0.004091894604239885
MTMR4,0.024580947902121394,-0.03469438754526628,0.009297331720576134,0.03794182244649333,-0.04750270565987613,0.009717240812294256,0.03364084836591133
LAMC2,,,-0.018588493362702192,0.008209147786326388,-0.01895085818838787,-0.019175064871562987,-0.026318387615540617
IL10,-0.025167592626861048,0.0009054143160864875,0.08823071055957346,0.05904202803515625,-0.01827992266381985,-0.03975597461649211,0.06158085937499962
SEMA4D,-0.04358606698629926,-0.0154137951431407,0.057429056268756676,0.0628698405544077,0.04274722947448654,0.03717926341865057,0.05363028864280738
TRH,0.04186651955833256,0.033919330302254434,-0.014660481384423394,0.02245326153240579,-0.041887006546622446,0.07544068301344709,0.010651412024718107
SEMA6D,0.11687203041994298,0.038175146446961336,-0.05541193513609937,-0.009415475156906319,0.038083434588764745,0.06140999482474967,0.013143850952126954
CEL,,,0.09134148616679931,0.0027512074168900484,-0.021617920149439047,-0.04854015740968701,0.03573190356126446
PDCD1LG2,0.028815520250614495,0.037144726512005524,0.040775911937895745,0.039069185780971696,-0.047558094363253006,0.03318910599112553,0.10234259578458921
SPINT1,0.02600966149551011,0.008043706581244202,0.16367995932043855,0.09552675622727044,-0.02247463000689666,0.015504515887963552,0.06206427980352464
CTHRC1,0.043590731244991805,0.10792738112672191,-0.009132835854767419,0.015532486243075173,-0.06938425652324022,0.007407745569299217,0.028333332727591264
PODXL,0.058740341008628245,0.04015792780597001,-0.022118701463294924,-0.06049991808873398,-0.07460118247727941,0.026948267775380993,-0.05455204042898692
JAM3,0.06771469048810287,-0.02847129467527649,-0.054609052545811367,-0.06261612849222134,0.005523897972722694,0.00829685673432138,-0.010114479947390188
TGFB2,0.08046277077791165,0.018373300526648408,-0.011345341283949716,-0.007932670142944217,-0.03226457540674031,0.027210465778400163,0.07766561696590511
COL18A1,0.03758847750452726,-0.03651006514475077,-0.022319162174202597,-0.04530065925565126,-0.04621354684911972,0.014159938707783688,0.0020699847109128464
NODAL,0.021659540686593023,0.012940304969539226,-0.022602688055717027,0.09703393859047471,-0.028508174004713675,-0.021928124837077623,-0.021174447108585234
INHBB,-0.0050056163536991785,-0.02687306125547414,-0.025534752299311743,-0.03661811782525944,-0.039135680592264514,-0.049867288203940444,0.04322097736499082
LCN1,-0.016830994226380385,-0.03386949309869787,0.03079528860279892,-0.013758718620863936,,,-0.01564583894252295
ARF4,0.036049989537466805,0.08054612620853253,0.06375597355171725,0.1275573071809079,-0.04829236274359366,-0.009933311288769809,0.011094113939119877
CXCL14,-0.0060027064906430705,0.059632073355411506,-0.04950139382156363,-0.14439258279104558,-0.08191961030588368,0.04661438945334705,0.02462672691135949
LIF,0.005191536021158497,0.09147403908854895,-0.032790234015221485,-0.10617534312683323,-0.02605920637859949,0.02165074211815229,0.02818952927654374
IL17B,0.10082809727782308,0.0009487696192671253,0.10362929819116631,0.028099926592555963,,0.029574329875459396,-0.026428011176350075
MMP1,,0.011796562447518835,0.0326061901822669,-0.04675106821196944,,-0.0197547470898893,-0.034961712644639785
MATN1,-0.01764615319154649,,0.04255467667581,0.042828605941592525,-0.019169708885507775,-0.02811561267554839,-0.018816909897493465
ADAM28,0.0347756018261491,-0.019114755092278127,-0.05478215981209661,0.009046771246530538,-0.0003464830384226791,-0.011641818716198585,0.046473951643400506
TCN2,0.041242978717728376,-0.006095419005199128,0.062356915023722814,-0.002079510804268345,-0.07847145889260837,0.009195618069998501,0.08536984921693977
THPO,0.00042111209123072693,,,,,-0.024388991742082568,0.04082698702574443
CUBN,-0.04295918163176894,0.04459724284841944,0.03113855852985533,0.08069111560028998,0.008968917170966548,0.01372314064050922,0.03830844958131927
TIMP3,0.0929652232747844,-0.05822734642424437,-0.005973047717478738,0.014605745660489038,-0.10026453568232038,0.04496638811017652,-0.01631259141846176
PIGF,0.07611761835095235,0.01323485866588325,0.07445629174768824,0.07927530355777662,-0.0208485252965979,-0.005720075110997835,0.008773082776451899
CRH,-0.02588164317853345,,0.015827519911307594,0.011434943346293457,-0.032310303979313525,0.08367580037110905,0.04949671190565731
BDNF,-0.08692487508396522,-0.031124579772291376,-0.04747635017072021,0.04516334465124955,-0.04107126781601274,0.016583836891362048,0.05176336655865549
CCL5,-0.038206499666829104,0.05318288750122696,0.12308068232902958,0.0026667063715986087,-0.05256234445616869,0.027635502313884737,0.003829058818781447
GAD1,-0.061568823091142234,-0.00704963041301058,0.08379774567949962,0.10585399465315232,0.014995534530671754,0.017606418687569094,-0.004723661460186527
COL14A1,0.02428861807880785,-0.042348598111779705,0.08038491911624829,-0.0016168449619033346,0.003820697508254282,0.03196242076159098,0.11356862877951797
HLA-A,0.08240570939376052,-0.06686667247035506,-0.06880204353638873,-0.17931146898399952,-0.10905858642894307,-0.07753655253988019,-0.03567889047769228
FGF18,,,-0.02473397478651158,0.04079482410744139,,-0.0018816817971137136,-0.015471714883137505
ADM,0.0857420187291524,0.06576602744474543,-0.0601928220070757,-0.10684331025248991,-0.10838229667685892,-0.05240807126076373,-0.019816833316798354
CCL15,,-0.025635753610066956,,,,,-0.013418617117025688
GNAI2,0.05261137126492473,0.004141398959883033,-0.018808729002062395,0.010602185495288475,-0.015491236280348184,-0.07118671385205977,-0.0018835633312827337
HDC,0.05239615915479138,,,,,,-0.04541806113752213
COL11A1,0.04510893807529747,0.10549413155228049,-0.003307159871337776,0.004520217384080102,0.03287776235708319,0.019767154766732187,-0.027705463298348873
NUCB2,0.0262344982624264,0.09191632114797774,-0.05271676000710889,-0.0732654707163646,0.06355289354297998,0.00863470513207015,-0.004759784095959726
CXCL1,0.04462756704491801,-0.027455167736571966,-0.014513303305801736,-0.04768371696746931,-0.02881487175923082,-0.04301881850573782,0.06454798443842355
VCAN,0.09680134051970368,-0.07955859650977655,0.022430443267559996,0.07291561570136036,0.07514450350582293,-0.06894495044878103,-0.025641188577304123
MMP7,-0.012285237742791033,0.06339030832727577,-0.021987835107760288,-0.08778683627896243,,0.0373157829723203,0.04261146424801374
PTPN6,0.02562127255010826,0.0017441777567829312,0.04278474191958464,0.01967391741957593,-0.02302315057786282,-0.00107934732246566,0.05551580863245885
PTGS2,-0.05250034914947308,0.04789258143012782,-0.05276674590772916,-0.08803584997687179,-0.023698642476174068,-0.018545912187225944,0.058838469606611356
CD58,0.08325233964250163,0.0337912236965406,0.024994453000907416,0.03594620054079458,-0.04463686966323914,0.016030578049881304,0.017918266803728704
TNFSF14,0.005172204421523148,-0.03267366071407118,-0.01978587889270867,-0.04827044747229499,-0.039887033395000895,0.06309761271053366,0.03431378097224878
CNTN4,-0.043622341852118725,-0.030486189286738827,0.03752484040128084,0.02490453670160088,0.06120895860463659,0.07652421093766164,0.049745257598729345
INSL3,,,0.017013842024834497,0.1358605938346363,,-0.028524815290142107,-0.018373130520527334
BTLA,,,,,,,-0.017765898544713905
MFNG,-0.0027978783721485986,-0.023077650764369243,0.025350438022464897,0.051972782859980055,-0.02086555329264179,0.018497947844723403,0.03815103485442705
ICAM1,0.05295914266949583,0.0842024972985209,-0.00016501301218686793,-0.013174615419794637,-0.03424279464128104,0.06008881749283369,-0.009842502943778085
PROS1,0.02156276816562085,0.10182166666338065,0.044321292060497675,-0.038249512875656845,-0.007004147723679964,0.04037700124593038,0.033866925011272295
CLCF1,0.0057189168244830306,0.016123499032645486,-0.0025104228151168013,0.0076233870999435,-0.021642941007294827,0.014453090343723548,0.057782400296536404
PSAP,-0.08148676405467746,0.05094440312428375,-0.007531258637075018,-0.09731817383421096,0.0032239508360289225,0.025281502191697596,0.10344100875944354
EFEMP1,0.036857823117782046,-0.0011736008495242948,0.03982400132240818,0.03164230189226683,-0.10225434637815826,0.038075640393584416,0.14046757038241448
C1QTNF1,0.07322095783587503,-0.025768854190097692,-0.048371582333099725,-0.14792084476133852,-0.07191710288964476,-0.05221433608572445,-0.03224914829818172
ALB,-0.020606940642514664,0.07960068342516073,0.03784582091620367,-0.037300237072560236,0.020807541807040742,0.03716105159257784,-0.02077561096412077
CCL13,,,-0.01468767113340994,,,-0.03199650769315727,
EFNA3,-0.038797952961793995,-0.0059093198551143245,0.031805178428335704,0.04040406054131682,-0.006225446535269803,0.03477646272910157,0.02168121725465943
DRAXIN,0.118604205765205,0.08377776292193158,-0.07015159190721569,-0.12957792525409398,-0.01889869994073109,-0.06047208265859444,0.03602844907446219
RAET1L,,,,0.045000996172209304,,0.08900202361616487,
NPTX2,-0.08694584294014022,-0.005739969268150958,0.06665800673118384,0.053485361948163765,0.026275990772499806,0.013092057928477348,0.04945942511098621
FGF11,0.07694474664792957,0.17181616338088976,-0.0013428371026397256,-0.008979509663420636,-0.02282091688428706,-0.027808795860309148,0.04600654563504698
CD59,-0.06581390841739095,0.10699993043055132,0.029835232645057577,-0.03164063205084338,-0.0025894224144981217,-0.03831480311784734,0.011064544078363376
COL9A2,0.003267924262115843,0.018789129169771553,0.06906805408123859,0.11229934170585602,0.01304210764806825,0.08727082703387745,0.06449722518397252
DLL3,0.03241993895659774,-0.05515313403276223,0.0801300459252848,0.1483443215313169,0.04945486463679841,0.02330084601321613,0.025218655386980232
FGF5,0.07615918440382845,,,,,,0.1390409855722047
LIN7C,0.08763988223292976,0.006616657711066754,-0.020471770778767627,0.023855430158517307,-0.05370898074317072,-0.04900453298394177,-0.0147569696462928
GDF7,-0.01587439193393414,,,-0.007018278876078073,-0.03132284000511273,-0.0073026030485941985,-0.026208391853571836
PSPN,0.035208676746777884,0.022434513049255766,0.08585018132509238,0.007006692297445272,0.0974550435959267,0.06780510472038162,0.042559242511938614
ANGPT1,0.13482114420227687,0.09297828311779828,0.08825228912897817,0.05937170198561405,0.030473691610399888,0.04094443312082748,0.07989093851840626
PNOC,-0.0645008839566226,,,-0.025856708123502815,,-0.014023919107664163,-0.018962776346650632
L1CAM,-0.06163248635239423,-0.039912598662742646,-0.03414524739910897,-0.10478167120320721,-0.030602294871481913,-0.024319149671744394,-0.02307860421946807
APOA1,-0.03511815022449124,0.004687986616094412,0.04867968346607506,0.035252315697344654,-0.006380369404686551,-0.031549667184735425,0.0773174607204657
PSEN1,0.03161704435003756,0.028985007017812932,-0.01958049437083622,-0.017293149394843468,0.03531153613195774,0.004753997400767157,0.0046175072535018765
CALM2,-0.1096794878761002,-0.028141859003629973,0.04767825886440959,0.08142779387671577,0.04058302396604181,0.023285351448985674,-0.021844973882061244
CLEC2B,0.059533097692268534,0.034564820091110254,0.06128802144918473,-0.01053185617031602,0.06838154143273831,-0.004100650650090402,0.050536823577330844
NTNG1,0.045645655406846196,0.06701127892382039,0.06511365168916808,0.1587028938154911,-0.042710965225355065,-0.02159595793751713,0.0286999508280183
LRIG1,0.055170389707553724,-0.06338685581230656,0.04258844272574039,0.155980292050564,-0.03487021394258084,0.015051963979143563,0.025708259021041978
CPAMD8,-0.014844321396513767,-0.02745516413262544,,0.07723786049606289,0.04754400320168672,,-0.019251510958986796
GHRL,-0.03156854301260965,-0.036990884615930024,,,-0.0385562534527912,-0.025083416331312273,0.03630504316909552
NPY,-0.06740883727074522,-0.032061686257144326,-0.050251017101700365,-0.0802522320594055,0.06019839545694784,-0.043322491547363354,-0.023200770196635547
MMP2,0.1129297041437224,0.11344930272101945,-0.02243349147353193,0.02031730834458489,0.0029883281323096035,-0.005095394626522988,0.03499628001698895
PPY,,,0.05056044175642464,0.02762971676654086,,-0.0018150009587389253,-0.036756883598053666
ALKAL2,-0.016830991498560696,-0.04388846175429965,-0.05323536353046864,0.03630555379315397,-0.03381667677975868,0.0034443074021985637,-0.018385163605840724
CSF1,0.03667819938816205,0.023605447482123197,-0.00584975457110171,-0.04805518762691394,0.047423382665042424,-0.05957478799742556,0.0773911493496418
SEMA4C,0.049368706228237504,0.024350010904294648,0.009255762398286304,0.008842603925992093,-0.017488237910493875,-0.004414168134040179,0.03363648057860867
BMP8A,,,,,,,0.05980369505043567
ICAM2,0.05014794119599312,0.028294568047935228,0.031178936869528263,0.03685165021127705,-0.08481915157372719,-0.0019162947866552685,-0.014608893605941439
SYTL3,0.02364545986522167,-0.04715984016598249,0.04479047474775999,0.021850066874733655,-0.015141842531089657,-0.0016902896975590222,0.06127707588493758
IL1A,-0.030571473295489805,-0.059947004836564816,-0.025161380004403378,-0.03110286798780546,0.007406252008874568,-0.0369876587375906,-0.022756224668244847
HLA-G,,,0.009003112258542573,0.055820816240990695,,-0.02467700810880649,
PGF,0.06636388408591735,-0.0029079291812355605,0.03675544568091382,0.08029896178510296,-0.05476645659659392,0.06902649566748073,0.0403742454894071
LGALS8,0.04878394887221377,0.0594407001953262,0.007294015756850812,0.004305199812499768,0.08191426594396226,-0.012996321708649247,-0.013827056324655243
DKK3,-0.11340710235353012,-0.06284600053122384,0.0647353290873512,0.09830717348818972,-0.057888695748161224,0.012830215100749623,0.04014430048289234
COL16A1,0.06264333979440474,-0.05199273445627185,-0.008956090092777596,0.050328971339940694,-0.050751314276637774,0.0014263754935689326,-0.01729879618949263
TPH1,0.07064118904160221,,0.027439917883855042,0.02184259121015972,-0.037192865630206594,-0.04865403434019874,0.017730789089253806
TNC,0.12952784385553257,0.06323951110410717,-0.04603999344962683,-0.14167385357719997,0.02494773247821147,-0.023313707606765308,0.0897347433104821
TNFSF9,-0.03983450989330801,,0.024857373860146522,0.025246040426200843,-0.044943530982313976,0.04867843882309905,0.02099890555803575
C4A,,,-0.01635201695231699,,-0.02611427645769428,-0.02343357613456296,0.08923980001787864
CNTN2,0.0003464721983682983,-0.07317256646003009,0.06654012370064367,0.12687789061546254,0.01675459373137321,0.02806413973169907,0.07968928299043065
