,UKF313,ZH916T1
MFNG,0.02490548193250438,-0.02530669873165023
ICAM1,-0.044870436413711814,0.014372505144314204
PROS1,0.006370179133238454,-0.04096012578483421
CLCF1,-0.02261104465471124,-0.022966376081949683
PSAP,0.02555915051121974,-0.047965589256162094
EFEMP1,0.005666560565007326,-0.11307898142942256
C1QTNF1,0.00023216847280855654,0.021486616112713044
ALB,-0.01319685414853626,-0.02579685574736471
CCL13,-0.02515186390001799,
EFNA3,-0.02722459038824168,0.0009346172415877288
DRAXIN,0.002685917614755195,0.04395917368917673
NPTX2,-0.03039040421378498,0.09558683526462253
FGF11,-0.013794254762479361,-0.04634882295231213
CD59,0.006669269662376384,0.07671500804559309
COL9A2,0.0037815401763548443,-0.003502002085550852
DLL3,-0.016910708039832814,-0.01355631123575325
FGF5,-0.0318385440147309,-0.05151854638279141
LIN7C,-0.03597356275645274,0.02863375582096348
GDF7,,0.0681653680310158
PSPN,-0.017563100924283558,0.04283548834104507
ANGPT1,0.005257632892149885,0.0037174330907777213
PNOC,-0.01319685414853626,0.012501594374611413
L1CAM,-0.03279252381588194,-0.02865645804247644
APOA1,0.03204467909328324,0.007477170417301775
PSEN1,-0.0175681077763379,-0.020950836095150832
CALM2,0.0058406784135037635,-0.06495792397867238
CLEC2B,0.003332941972567963,0.06388016617888773
NTNG1,-0.02162583361103816,0.036828135149970395
LRIG1,-0.010817949635810752,-0.03759254634695536
CPAMD8,,-0.023904396938576905
GHRL,,-0.032815377009641974
NPY,,0.05951925355767244
MMP2,-0.01575831587129978,0.09670513795431664
PPY,0.14533181048495922,-0.025595157695225627
ALKAL2,-0.018541530451715266,0.02334143276761263
CSF1,0.012709534625052405,-0.062513520282974
SEMA4C,0.011293570062765485,0.06506270061100661
BMP8A,,0.09935874292290901
ICAM2,0.03149145815024732,0.07922085826277465
SYTL3,-0.04100766917363275,0.04510819010225564
IL1A,,0.016608764139141897
PGF,0.05711097181867155,0.10738533565375523
LGALS8,-0.0033575186097578097,0.0215863042801269
DKK3,-0.0025917938619604668,0.004372105879290333
COL16A1,-0.0008707479519884054,0.025391348989143935
TPH1,,-0.013656741302979721
TNC,-0.01585238386591209,-0.07656380187449215
TNFSF9,-0.02888817881157157,-0.03240563566260136
C4A,-0.014475362246301112,-0.02757479434093203
CNTN2,0.009904658262427514,-0.022603673342628302
F7,-0.013196856000384147,
LUM,-0.03018451236079577,0.03786929594200729
BTC,,-0.033064759212994906
APOC1,0.03834374468598732,-0.09906444947894115
PKM,-0.054597305396880624,-0.06882300431721863
TNF,0.0837406709036602,-0.017886743833028237
GNAS,-0.04300569082397706,0.02086476987403405
BMP8B,0.13105398153289066,0.05828800614864298
LIPH,,-0.04617928987698639
CCL28,,0.08833941089899838
