,UKF269,ZH8811Bbulk
TSLP,0.061088347141115384,0.01353633052161135
OSM,0.1797654697721623,0.026977261289744172
PRND,-0.016194420140925588,
SLPI,0.14354413845605346,-0.0675959802758265
AFDN,0.07065430982030577,-0.014873127711001282
KISS1,,-0.018316354864732192
ULBP2,0.01402080220289989,0.08988115471683956
ICAM4,,-0.016068998051649408
ANGPTL1,0.014259056650435307,-0.03111184666920454
LTBP1,0.01866865213208199,0.05321009708559586
NTN4,0.03873544824032533,0.06616048169312745
APP,-0.05917151904620219,0.033846733466956304
RIMS2,-0.062075149520573476,0.043867996745956706
WNT7A,0.06919131170963977,-0.03492782474267627
GAST,,0.0046895425131688135
GPI,0.009881414340610387,-0.04238010258125305
IL1B,0.02356937733470546,-0.02089180509677153
SFTPA2,,0.03442948970001456
HAS2,0.11561794775359648,0.025806647086760934
IL11,-0.024685889618458877,0.049303186882855836
SEMA4B,0.12084136849359133,0.03320698917367332
FGF12,-0.08443027898034368,-0.050690825771249844
CP,0.062451087411073324,0.03685733413922726
NLGN3,0.05930809846108328,-0.029532579494438105
GZMB,,-0.022705974033886755
PROC,0.0032475734560842707,0.022891602744215207
TNFSF11,,0.0012069756430033499
AGT,0.13943217551668205,-0.038758339578722024
PTHLH,-0.015907445730683797,0.0295265679398819
COL1A1,0.0985914037998597,-0.02951156048343743
LAMB2,0.11442072245553199,0.03620535627155389
DSC2,0.04915682644309496,0.022199158568750908
WNT5B,-0.02684742542070206,0.06906988739336967
LEFTY1,-0.026957209795774487,-0.053702012974065245
FGL1,-0.02048508387711359,0.005316288782842672
CXCL5,-0.016021834338483587,-0.012532391618975904
S100A1,-0.1360300846092307,0.04265692059603878
NPTX1,-0.06706428248861737,0.052699231986988615
TGS1,0.05491535522257302,0.030326524806414956
SST,-0.05612847635405055,-0.028475048079916937
IL34,-0.007859496693526551,0.04986313446305377
DHH,,0.037906700066541565
TF,-0.14903372303868354,0.0217297557132448
IL33,0.0915669404018521,-0.025054198458556273
RBP4,-0.05913234653040718,0.08772799155715418
CCL20,0.011400588394874943,-0.033132739875932606
NAMPT,0.14511641908174078,0.03590826599490301
