,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
TG,-0.0008382590543894968,0.08301133655645068,0.005873641828083845,,-0.019624723271044982,0.10105305208883521,-0.004494768279041292,-0.001578518380708557,0.05390843827060559,-0.0035148207533123744,0.06319714228604471,-0.048773725597591445,0.031159404613162963,0.06933382789606203,-0.053255466166736175,-0.03121887035108001,,0.009110465249425385
ADA,0.02084667793359325,0.018932231884494867,-0.007431341340466952,-0.044249066151141554,0.006314784367032075,-0.05045458356930516,0.13667458841511232,0.11038823590107998,0.015235906440332913,0.12176394401379248,-0.03267433677246461,0.07120639436365604,0.0949087927991263,0.040728795852344395,-0.026634202436442076,0.1081923891799739,0.03411774292425566,-0.043888541374933546
LAMC3,-0.03049378194057297,0.07507785568063377,-0.02491504546396242,0.011712000950960675,-0.013758561084769111,0.04419836760590068,0.1541863865395617,0.1453353625858582,0.07922936029559681,0.027437360240654473,-0.02933685221568812,0.08795283538670914,-0.01966386570190055,0.001930900883614263,-0.013388472711477948,0.0901583960444174,-0.05009561750248921,-0.08360704485922266
CCL7,,-0.02512813409356673,,,-0.014188643569970027,-0.03128828141989284,,,,,,,,,-0.015354688881013106,,,
NGF,,-0.05727583483003081,,,0.0023569867681743502,-0.04100370510629814,0.01441647168201428,,,,,,-0.07743396994341072,0.021997509839774068,-0.022969509781526565,0.02060978114125802,,0.016466608919501004
TNFSF15,,,,,-0.01579974857282915,-0.045267724296898494,0.003865844165549036,,,,-0.021559822481866553,,-0.05978942319858011,0.0723397540480316,-0.0013416119646312422,,,0.014765013560094431
HMGB1,-0.07782143609876281,0.1145280888621612,0.07089399528558042,0.012234862615824937,0.0272313519153968,0.0035413664320572704,0.14110868065562754,0.13230519915869107,-0.0921953773582624,0.036568430083682275,0.0032361010704033137,-0.08866103007244149,-0.11982412496009123,-0.09914252932901567,-0.015324982396467277,-0.06879642703436933,0.02038916061004768,-0.020706110019117117
ITGB3BP,-0.021830065463123043,-0.08417798728871234,0.006668744990212198,0.001949891199100307,0.054468793210437676,0.07060716256492983,0.12573974149731906,0.09708971454604193,0.01838483394845936,0.029942564887458743,0.06208817525555121,0.06521922382715319,0.009007481863027614,0.0645315323376987,0.023943746029719108,-0.06565065855422601,0.04931941116179226,-0.044916552640308506
AANAT,,0.03605667016971327,,,-0.014376156839795923,0.022063897820992842,,-0.010028081350189694,0.018766839471200426,0.033466747913504014,,-0.016916733346739852,,-0.030204101183874163,-0.05269811300737735,0.03959907374352563,0.04627870631351305,
RELN,-0.0263269911310649,0.06253575984881002,0.02319324946425353,-0.025255111893464677,-0.01349515183557186,-0.012968552193156468,0.0038725774468403086,-0.01950363083819599,-0.03243980859868462,0.00046302868138170864,,,0.01855734895491887,,,,-0.034057766106313635,-0.028233463587971193
IL15,-0.00890957283536212,0.03524838501592734,-0.029042793015575875,,-0.007276508047766506,-0.05531523092907899,-0.017890616243756517,0.007556770624441045,0.08384148329668482,-0.0338455031921282,-0.026795051860882792,0.05116902115134866,-0.06069344838174276,0.03704580024020539,0.09824009619741315,0.03646181362115174,0.0676930982861331,-0.005521020207010152
UTS2,,,,,,,,0.07443993310550728,,,0.0037173592586425643,0.188178595578217,,,0.003387603558440008,,,
BSG,0.02937701382607335,0.059557851167525856,-0.009505187170950391,-0.015752224211899257,-0.041446930581703505,0.026881193042247262,0.0837887522630848,0.07681998495783998,-0.04281234762001035,-0.05370531835915051,0.11076720582830506,-0.029859650901841228,0.06285245694602606,-0.004189382478071007,0.029032375791898962,0.007029898619622206,-0.04698070708670954,-0.11640944395769033
ADAMTS3,-0.027532302475235516,0.07154035916926349,0.04526918827696477,,-0.015864702584455954,0.06724820102479752,0.05934947734844793,0.1803060750237676,0.03422477810078981,0.010116112718670538,0.012942351379849153,0.06639179654362358,,0.04290528852598505,0.09140263035145764,0.10320919354969516,-0.020937614791903876,0.06584658680611606
CD34,-0.016613985231928387,0.09677858520750135,0.04688819919010092,-0.009268252912984786,-0.007919811668857772,0.030387972221274973,0.1269080374726813,0.10326692686692199,0.027845515790577435,0.07742223505596658,-0.08538083071704763,0.08556215965776202,-0.021579005222024907,0.015095682703253632,0.07216957749692152,0.07520520815652561,-0.06519650733598048,-0.053899924425791744
CCL23,,,,,,,,0.04918080086941745,,,-0.004707555080187504,,,,,,,
PLAT,0.037703961208155855,0.15648100217767485,0.031124616245079485,0.006562717932551801,-0.02577474694872246,0.01969847753600639,0.14059586662370174,0.17308472525111224,0.049469249390858935,0.11100111338314048,-0.0989596246511802,0.1663463487431069,-0.13077969669773698,0.10675896321845676,0.06783517318156804,0.09198538286163586,-0.010333279543508765,-0.05920035932101049
NTF3,,,,,,,,,,,,,,,0.022555277070832342,0.08914358848759027,,0.05022339023398192
LTA,,,-0.016764849104728377,,-0.018185209632101608,,,,0.04064966371217193,-0.010062052160645029,,,,,,,,
