,MGH258,ZH1007nec,ZH1019T1,ZH1019inf,ZH881T1,ZH916T1
GSTP1,0.025756248981050844,-0.04024739862947526,-0.07088475165321174,-0.05735183944377371,-0.019151659144926933,0.07833226748117804
VCAM1,-0.014506518313789107,0.016435847738852028,-0.03933378243676591,0.03898310649472205,0.022678016640219782,0.05136586787367979
NXPH3,-0.07036795526079452,-0.0018863295595793435,-0.0026389564630944196,0.1590366811008784,-0.006421868814262437,0.10413822184538346
MTMR4,0.008587575261233863,0.022920591630546425,0.014591726316888095,0.004736911358706524,-0.01578297435126045,0.07793061114607605
LAMC2,,,-0.032590276422038586,,-0.014268058794882722,0.025533541038577426
IL10,-0.025729645583929588,0.0020758520057437913,-0.03619846717640105,-0.059962033984218385,0.011232376867621545,0.04784576376795653
SEMA4D,-0.031168106845451165,0.03454695080776248,-0.02476863468383258,-0.053195216663510986,-0.010802836609641393,0.03774551747276278
TRH,-0.022744636748362343,0.020249255005173078,,,0.007457622647579621,-0.02579619622077656
SEMA6D,-0.044438247213529486,0.01477013394096933,-0.05655196386604198,0.09838395098461618,-0.043792158840977216,0.08539749842311768
CEL,,-0.06934329340071758,-0.029419701438168605,0.10526005045074747,-0.03611846032716047,-0.008036808813476987
PDCD1LG2,-0.008317086471977203,0.13147570256535937,-0.033981508941851396,0.08991934105777806,0.03183322370597413,0.05815790054835174
SPINT1,-0.0058649281055664524,-0.007922031759040656,-0.017370593821802765,0.07422532825708444,-0.027525450372938007,0.042206453811766145
CTHRC1,-0.02803049688739025,-0.028553802338233573,0.053193016815754834,0.159155446276715,-0.006036129825082697,0.008885697703746443
PODXL,0.03268863568968398,-0.0840677007269481,0.002476845411237004,0.0901950338228023,-0.039125485847796834,0.01248398218999917
JAM3,-0.029718644179744593,-0.02978872894480729,0.001802134936519403,-0.03895112047296725,-0.024566109322066352,-0.029426150086203424
TGFB2,-0.02407808036119972,-0.01749360334363463,-0.0826177984350051,0.09811630989213989,-0.003253801598894099,0.001974925864059221
COL18A1,-0.028593485304968906,-0.08354219366963411,0.02810932885060748,0.07914747295173102,0.010596534249120252,-0.01908331989878339
NODAL,-0.035983183814175486,0.05375216705204086,0.04114793513602624,0.08868942993979531,-0.01631659535613602,0.0008542030486253804
INHBB,0.050013986332975026,-0.01073586171826969,0.029375792619004915,0.10555919409648552,0.011947766974954747,0.10259678835088944
LCN1,,,,,,0.006162798502057387
ARF4,-0.02056717365285644,-0.07548313984032101,0.06182447704642668,0.11487092652333633,0.028954847775806793,0.006961600399250925
CXCL14,-0.006086581523190876,-0.05895007992756408,0.05604074221770536,0.1099368553001984,0.010793909340744076,0.014854877136933667
LIF,-0.030720905762247338,0.022829185481618816,0.10162387876263941,0.00010169132745452325,-0.0056031263973824455,-0.010132325244391624
IL17B,,0.027727409782555505,0.015445188732863954,,0.05218770113602787,0.13952772818039327
MMP1,,0.03904688292049818,,,-0.014699397099541798,0.023166965838633157
MATN1,,,0.05799077233577988,,-0.020920670537276545,-0.031373686924459215
ADAM28,0.01803183096820076,0.021539254544520176,0.048436102494201376,0.0409113900614436,0.010228034976117156,0.02844174742215823
TCN2,-0.022249754467693773,0.009952391728731764,0.03603606934249108,0.04038174852978207,0.056492670193680594,-0.0038676105193441632
THPO,,-0.0004151752613677564,0.010875752003951194,0.05882928098052306,-0.01814771269118416,0.02907983532053782
CUBN,-0.022476915005970603,0.04199878328171869,-0.060392752069576276,0.1541583008265864,-0.027042963139498614,0.08590366070057448
TIMP3,0.010862073240916632,-0.0738271295258647,0.08154290572835099,-0.0594320276946292,0.028230965984387908,0.0019591430508850123
PIGF,-0.015312444122934688,0.04689005528835298,-0.026251521052281332,0.1439477987288748,0.0025314061462124323,0.07216827352363324
CRH,,,,,-0.04157838299453138,0.0710551242602729
BDNF,,-0.08217207307127786,,,0.024359100366452988,-0.01429304839189745
CCL5,0.02515200055966387,0.0635607987479028,-0.07866499551583166,0.0019186605372563815,-0.03698767550446802,0.02810963662401596
GAD1,0.05090292648154787,0.10173982918007814,-0.004852495160313371,0.10395259965476128,0.05415081419145207,0.07444117441484889
COL14A1,-0.0007330364308454706,0.05654448667805235,0.0010425022915737353,0.07118435058591209,0.05713443223596519,0.03323293448339416
HLA-A,0.05861968123927959,-0.01316153708365069,0.04811368710654459,0.005979068529057177,0.030477860475145675,-0.060619494143348336
CD5L,0.002901361949949862,,,0.000807734529849005,,
FGF18,,,,,-0.02540160416476358,0.08371108660757182
ADM,-0.05587144630434803,-0.0026695019326464847,0.03633498818171464,0.10490247798034605,-0.024513485422466536,0.026676269427199337
CCL15,,,,,,-0.02237304077460839
GNAI2,-0.0757904477438567,0.07126592704329017,-0.026854900398930213,0.009343935179890695,-0.009110495871010845,-0.02646420249951721
HDC,,,0.06744345548732124,,,0.05794522678390384
COL11A1,-0.028645223790990194,-0.027138754577621018,,-0.007085925640974195,0.047518204771878354,0.0017317099749845624
NUCB2,-0.014271875789536185,-0.0787955438542091,0.06291981390723556,0.06952770921360303,0.03333024170536256,0.004938676510854413
CXCL1,,-0.009108960994763698,0.03819152412665464,,-0.04193035608883463,0.02205411603233904
VCAN,-0.010394474533388948,-0.09552246918180035,-0.10099671252633288,-0.0455863138630829,-0.007034569581694179,-0.021332696265692987
MMP7,,-0.03778693124170868,,,-0.027366664557545623,-0.02653890248594237
PTPN6,-0.018002737137783446,-0.051023136548857866,0.06644095630767631,0.07656547474301059,-0.012814267685278411,0.0854935482370784
PTGS2,0.02508882842586705,-0.04829714680824607,-0.02986985713770798,0.05355732070056873,0.014014752958986826,0.029499141706748833
XCL1,-0.022211607569697048,,,,,
CD58,-0.010037322425774417,-0.050377915274469776,0.016307341638848876,0.12273411349489675,-0.011782123144771024,0.03444071744904266
TNFSF14,0.017923158596271062,0.0012723532250443767,,0.00847062154835536,-0.02122515797058135,-0.02938276240014019
CNTN4,,,,0.046064238980169356,0.05366046876719716,0.007150208861214047
INSL3,,,,,-0.02122515591988933,-0.03063376760123806
BTLA,,,,-0.036523917494603285,,-0.01465171231048027
MFNG,-0.024768570984999228,0.007128863508750448,-0.031347075195461996,0.01751659202513491,-0.007616836573511826,0.059810411430401965
ICAM1,-0.05266876257974736,0.017061749998610713,0.021187394813347814,0.12612708663963765,0.004204405248321484,-0.02125218255316717
PROS1,0.012172114376695261,-0.03575010325627548,-0.0013732183230430654,0.10559565387212805,0.01677869082161507,0.03139701961774726
CLCF1,-0.04985146009501022,0.010594371020093939,0.09996865580512991,0.07519897908670721,0.08027323094363412,-0.057207625705658356
PSAP,0.014781441676935464,-0.039794641049942965,0.06135428593832458,-0.03801530760852286,0.06015923294414963,-0.04196913653089902
EFEMP1,-0.11595524753761235,-0.04820778325822,0.04236038547566137,0.13810595593313546,1.8768669138468068e-05,-0.07389914884257952
C1QTNF1,0.0016684370234487135,0.03325785261300252,0.005507800531313214,0.006250749478467086,-0.0016919235910983455,-0.061774727076455205
ALB,-0.03343905556525317,0.05316025351182648,-0.05353586827440827,-0.0012097071056535523,-0.03553038443959751,0.028190077296443735
CCL13,,,,,-0.02380842286869785,
EFNA3,-0.03444344662008707,0.02106405394339632,0.021259373457817136,0.1650046755025242,-0.008344173730025748,0.05426203329307467
DRAXIN,0.07244155008849791,0.013725010728102704,-0.001075784718955485,0.09481166315492827,-0.010034150216264628,0.06887395231828305
RAET1L,,,,,0.0044238648794000125,
NPTX2,0.04983861589947387,-0.03519441164984178,,-0.07653141410127973,0.021152597424735277,-0.021183472492502103
FGF11,-0.02313443406203044,0.07331220835995865,0.02823086895785978,0.03303359449946791,-0.020117233170077044,0.057401807956436755
CD59,0.037668204823583365,-0.08618966452418976,-0.030999602870346938,0.020394268122719893,-0.006738667364192387,-0.03286542207271887
COL9A2,-0.05141222704428199,-0.10751340928041052,-0.022927798722479825,-0.006772807457626639,0.007716823843624862,0.09296568855603016
DLL3,0.050277625853653404,0.09017247256078545,0.06389351996559288,0.06302245216021622,0.0029511429713974784,0.1205674778716642
FGF5,,,,,,-0.06705908919653496
LIN7C,-0.03687204805853998,-0.012256468517501848,-0.004812660118686525,0.03132334069321538,-0.043446247122743385,0.06826081663871872
GDF7,0.01889772740802249,,,-0.057215591976269325,-0.01725481286151075,-0.02405415585992678
PSPN,-0.05817433354772549,-0.017357392339369972,0.033740567014778816,0.0981191296350641,-0.001447192148564166,0.06644457151612394
ANGPT1,0.08192102877498285,0.03341590572121177,0.06901666327876091,-0.001282835601447916,0.00825360580272898,0.08853767444770075
PNOC,-0.03249050567811277,,,,-0.02045628538928146,0.008752372705957249
L1CAM,-0.034548385353168364,-0.059041012805366985,-0.04310503734080178,0.03650351520643672,-0.03447019950751144,0.062302347709423916
APOA1,0.0361564650601221,0.074944156279262,0.006143990811231833,0.13050568143065783,-0.030997206047678517,0.059530975957644165
PSEN1,0.03735205603237902,-0.1290804800705146,0.05827998023981499,-0.0491984324848997,-0.019591830931003206,0.012584262173496393
CALM2,-0.04884104131474366,-0.11880799099510303,-0.042924015474462715,-0.0754971335123225,-0.030748815817009494,0.08975587367658559
CLEC2B,0.02444364654003723,0.05252103480228942,-0.02857352523736718,-0.026077274137837777,0.05260682174697929,0.044123090858592555
NTNG1,0.008820450150777094,0.05692118108670251,-0.020045256776922555,-0.023719446897940685,-0.04234483107626943,0.07330618862903027
LRIG1,0.011548112426932697,-0.06568115664011337,-0.031977131488883245,0.05238859391637669,0.03751282994673539,0.058617848716849726
CPAMD8,0.003525658984385256,,0.04020094834733012,0.03378181240537105,,-0.03209830311886135
GHRL,0.02818253300419488,-0.07792281989502821,-0.0825584426559427,0.06838400701577461,-0.01866443015389458,-0.0347074688464351
NPY,0.052587635066428995,0.04353593406197323,,-0.0613923745454306,0.007170216071855239,0.03568970431920096
MMP2,0.019333791771849712,-0.005041922222712548,-0.01673643754002791,0.04007059297164911,-0.009564535138439589,0.021027459668281172
PPY,,,,,0.0050203642245508495,0.048681817492839535
ALKAL2,-0.030315683804714746,0.017775130014469925,,0.0178196122117328,0.061581529362305605,-0.037851465694540704
CSF1,0.03490763593599396,0.013592187828376182,0.04502176702613894,0.05859610737676903,-0.004863158723598006,-0.0350328385335768
SEMA4C,0.03599675602480137,-0.04776855460205068,-0.0755448099001084,0.07763486933427705,0.0014143088808220338,0.0451516042587658
BMP8A,,,,,,0.032903627580513746
ICAM2,0.0026881045471809813,-0.038107342874469805,-0.0019085583391623081,0.04513273606626357,-0.025951404432075807,0.07689385457445547
SYTL3,-0.04646900332230798,0.06995963570882245,0.053247843971398034,0.09573438711382574,-0.01053164142371537,-0.023887474381631663
IL1A,0.0567741572886319,0.06856853466488237,0.059287620920243776,0.03198299186221448,0.0016354332810288035,0.023425033138270903
HLA-G,,-0.0613678669002385,0.08389603613798506,,0.04536747277661375,
PGF,0.04406754518102049,-0.09081156111585639,0.07610775796267294,0.11934961335378497,0.006571625079463167,-0.0016215180473605165
LGALS8,0.006595630056339285,0.01125412745972929,0.025082847137165118,0.012240250809004318,-0.07075926865925,0.01823199466458319
DKK3,-0.041051951320895064,-0.07774722581864785,0.04082019876112929,0.04765457726927874,-0.029563498543823414,0.06333322268150007
COL16A1,0.007169619893960937,0.0022450633014852294,0.015827181859569515,0.03307850891569504,-0.019323348447579325,0.04890311391489842
TPH1,-0.012494599985577146,0.09016306074460964,-0.06694263422968018,,-0.04109663790497683,-0.05003913710458416
TNC,-0.007487201837612359,0.046538570396051804,-0.06321168369523363,0.1273636054244089,-0.04238295503489636,-0.03628778641186011
TNFSF9,0.00322853565281854,,0.04856248445095232,0.07646959933305061,-0.026666385593200337,-0.022688133050425045
C4A,,-0.020430862168965808,,,-0.0174367932678108,-0.0370268327400102
CNTN2,-0.04681335267461676,-0.018331120080133916,-0.06581368509197731,-0.06851753287060978,0.032296991782227336,0.02574442315046983
F7,,,,,-0.017254814530008992,
LUM,0.014774516368332253,-0.0013845848481119553,-0.006138064507197139,0.035535566697936734,-0.03193487448968229,-0.036076530371054016
IZUMO1,-0.019343855300537994,,,,,
BTC,,,-0.03970843649857237,,-0.016697817054278603,-0.044017003611529354
APOC1,-0.02835924963093809,-0.05926905714365565,0.014150381504527486,0.059665987340956794,0.0730427873135281,0.04915301927229179
PKM,0.004472472853149122,0.05336465657704344,0.04510479352720114,0.05551709355581427,-0.025286733577038933,-0.04253523997333261
TNF,,-0.006019287001103448,-0.048669032356322625,0.013936509741431157,,0.043627701258062
GNAS,0.03906983930272059,0.06522739967940437,0.02329660281826913,-0.0699184829839997,0.00395127817685132,0.07984723165403886
BMP8B,0.06531443765142483,0.051246793001282084,0.011636913031138004,0.12684086427674693,-0.028603855900051482,0.038689905180952396
LIPH,,-0.04237650740357389,,,-0.013048954158053818,0.021989737156886225
CCL28,,0.11936150638798124,,,,-0.021350280582534593
PTPN11,-0.07539953448906318,-0.10896315802438981,0.01881134486718014,-0.0732422870350829,0.0425022287094431,0.03242289010684308
ADAM12,-0.04979074925726267,-0.0028011447224202558,-0.011944451276686877,0.1371193240817767,-0.023351664879499696,-0.02140299679134062
EPO,,,-0.009282022670376566,-0.024155281514695745,-0.016508234457582833,-0.004235024257492872
EDN3,0.03597192218899878,,,-0.0130926379713943,-0.042948367493033324,0.013100452563351185
CCL22,,,,,-0.014485257088721547,-0.035084014406783444
CCL2,0.001836208159005947,-0.08209264871348625,-0.004326781385074893,0.06411080493151987,-0.01425367217880424,-0.0706534409677673
DSCAM,-0.0027501201458366284,-0.05607721777020207,0.0720563280574037,0.07089834132547358,-0.05967792538657064,0.010360062715422263
ANG,0.015434887908218672,0.08105994663184148,0.007273233773519245,0.08141470825840078,0.06619066399794263,0.05107875833272644
FBLN2,-0.026657012439714994,-0.044895140241181096,,-0.01354708144182903,-0.04634057904731704,0.011271179588293696
VTN,,-0.03218163865541889,-0.030483885989843962,,0.014748059397170311,0.032807183415212125
VEGFA,0.03372287250136144,0.04855621022714502,-0.00752093350880022,0.14901139220775747,-0.055273567210831036,-0.08915601051137166
F10,,,0.018157639229153207,,-0.02859119775504001,-0.007801688753014593
SERPINA1,-0.028246216928219846,0.11643905112901,0.05040044902810659,0.05935745892650777,0.024794373816099686,0.03164429954571136
VWF,0.03817589084836922,-0.03853098049219106,-0.07637402661121552,0.07679815708610749,0.011923832396750355,0.02775621032601677
GDNF,,,-0.09712028806832848,-0.02505733716258563,0.025113486177258504,
VASP,0.057724522942634554,-0.007965173104025131,0.10324487375159214,0.05331998922083261,0.0028776681291854404,-0.0018782505305468236
ADAM15,0.018159718824645996,-0.08216324696924282,0.01353773467182677,0.0699242038609879,0.0038307423303827314,-0.01569390258134575
WNT2,,-0.0018187570639817835,,,-0.019821826069071808,0.01922122428191427
CALCB,,,,,0.06328860324354618,
OLFM2,-0.0037393165133208965,-0.09669079022433841,0.05603942091726769,0.05100506898576372,-0.039273774667235195,0.08019419212188668
MFAP2,0.022629229220125634,-0.027355130928747556,0.02328685981381001,0.06141776527427349,-0.06475462740584607,-0.0026428709805077742
HLA-C,0.0385891179111549,-0.03796123603989129,0.08337850952410684,-0.015367526493908617,0.008971787284687789,0.011319587318518719
THBS1,-0.04394155618821142,-0.017605916064029423,-0.036308600430665854,0.16480693044151865,-0.01748885358167536,-0.09747764004631224
HSPA4,0.02609836916777764,-0.021860777800131976,0.0855537631163499,-0.022041230256780498,-0.02744621063406905,-0.02189181498691732
LMAN1,0.02317362903669583,-0.02694389621074615,0.03037996504598976,0.03655841230634214,0.05582647813226641,0.0032999081347829156
LYPD3,,-0.06794968587987804,-0.016126456606062007,0.014086937945668884,-0.026292384631201204,-0.04708361704420304
APOE,0.048746280985201604,-0.053908187144009016,-0.021706178558024754,0.011070782169587474,0.08261905302578626,0.029609324896748206
SOSTDC1,0.07308836232972851,,,,0.060807599219882214,-0.005102461130719369
ANXA1,-0.026431010347240665,-0.026923039212111123,0.008333843085849177,0.1391826621594471,-0.03341444528505439,-0.042311698072107294
WNT2B,0.04786389484612127,-0.003320386606616008,-0.04960204061038675,0.06715007161594377,-0.008029054325667348,0.11091743710424426
AMH,,,-0.05180731196345617,0.06312644374151853,0.027196720230592043,0.04063765612145871
GDF10,,-0.002505198461772198,-0.04654629149768154,,-0.012662198393727633,0.08651284104669275
EFNB3,0.03166581245708381,0.0746168355188942,0.041407822566740395,0.02903941531207954,-0.07801989518282047,0.12235131564049338
LTB,-0.029315910659746893,-0.04103945668256898,0.08283623979211574,0.09450783256810535,0.07669598073361543,0.07476227506643372
ANGPT2,0.013316483851726667,-0.07273404613672094,-0.048236941116372896,0.0995485476162778,-0.042273861810484495,0.031866778590500425
NRTN,,,,0.010573233561457316,0.01115085007272801,
