,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916inf
CEACAM1,0.06260697247529878,0.04712058801980678,0.05680107193619841,,-0.018505209625873226,-0.033158316324617555,,0.038697789245353734,-0.047030784192725834,,,,,,0.06136622559563117,-0.023312759935575803,-0.02256476593890463,-0.00870613178506456,-0.0833857790184914,0.019950312864219538,,0.03815062827592954,
PDAP1,-0.0034897424312712415,0.018433616757561624,0.04689920385966075,0.07204221212578141,-0.016142802462251596,-0.027865185806047993,0.11474519056838862,-0.005744168200209349,0.043000155316698076,0.00421248138718309,0.01605719045860284,0.08232989371136623,0.03835363504933101,-0.04828564861785125,0.04010795912630378,0.019977016524065742,-0.0005331859092762625,0.03803590609201529,-0.008178292743816538,0.055015418374409895,0.03541906918512453,-0.029644868554117538,0.038647391076392916
QDPR,0.1410880870520594,0.024662572121919368,0.04136199240732002,-0.0022605702483864012,0.012162601014155781,0.030676290922919985,-0.09482914029675017,0.11301290008348985,0.037613445339323516,0.08741290251041418,0.35321583896420056,0.1269623121505326,0.08443445683627047,0.07936288219635913,-0.018478367843470327,0.0648285767843208,0.1154040899517767,0.06845748829074841,0.12805133582957262,-0.014578557308700469,0.09695896258516157,-0.03491339647526696,0.06921088812517522
POMC,-0.011257691577415118,-0.05109469068752618,0.023830254985311987,,-0.04480714335548217,-0.01606278845696715,-0.0020018112109345377,0.0054398284152260236,-0.04505447008601864,-0.018337698400315624,0.09062914145624032,-0.008410396528809221,0.037560361332261205,0.0708575141472454,0.0692846572542542,0.03687417990562512,0.05860025838449056,0.04998935754768185,-0.019620765186097025,-0.002295841301052932,,-0.030919000666468823,-0.026003487837321516
CCL18,,-0.055575078379318375,,,,,,,,,0.13436131523352787,0.12325487884395685,,,,-0.048039365770721806,0.03994360139027064,-0.011610478207286763,,0.007705483274663006,,,
CCL17,,,,,0.001165988072827926,,,,0.01807200035601908,-0.024347490533124728,,,-0.04134086972563841,,,,0.029644414554322734,0.011920421015866515,0.007521616237128519,,,0.1371285692435058,
VEGFD,,0.048258622184484255,0.09862463990488628,,-0.008324151774034678,0.021422676228764554,,-0.032440357065289714,0.02745509687983754,-0.01785917875061091,-0.005003601285511869,0.003611200634757127,-0.01298471066048743,,0.00351318913166974,,,0.01213370403324743,0.002434638608848869,,,,
TNFSF13,,0.018500311720122713,,,-0.024032616509324842,,0.004073653599215956,,,,,,,,,,0.06023109410591383,0.0340606677496461,-0.0522564134498417,-0.0166431263727592,,0.15000011981687134,
WNT5A,-0.021964717539291776,0.042042331602412504,0.013218683129158179,0.15893645615012994,-0.03550777974842478,0.13501877747012406,0.3767983329223327,0.08187428109530255,0.02921761872035118,0.011099655183444029,-0.03597606855457401,0.07852018331632504,0.05330561562303034,0.031272252408963946,0.06945645318204453,0.09372843873863967,-0.042418637631020085,-0.015560859344986399,0.010275218493291096,-0.011940675903046379,-0.06076523940861225,0.061993095646832204,0.01605797656549743
CXCL8,,-0.06079287086688649,-0.04185049374271114,-0.18830837775288106,-0.02231764750241284,-0.1110213717876151,-0.0310785789057753,0.02566727018816656,-0.005216732305106984,-0.016631243795477337,0.11339031954838515,-0.0673964534510886,0.0404008945412593,,-0.025097199631048048,0.05016334779345088,-0.1379802764217964,-0.1822828673534148,0.02193303667538817,-0.0006253597321989648,-0.0032575846497438937,-0.06363415196045318,-0.06868474942814928
GRN,0.08483644155028987,0.02987310256072056,-0.004829637929524522,0.10379270683582008,-0.01798432479820906,0.017956610329426442,0.2313337556130039,0.13820332533960666,0.010375918622887979,-0.010615303062732338,0.2083173787760663,-0.014022181279025606,-0.0013763918369159526,0.025553729936601592,0.046779500254848665,-0.03691679190504527,0.08533759919707566,-0.04700529932039707,-0.12833303432662227,0.007282273769921963,0.007618465529991794,0.16928042865021206,0.040530110527942274
MIA,-0.01889009512841357,0.009722283392411416,-0.005444675108341733,-0.023688996426826214,-0.025111430812290714,-0.01038722110834536,0.15709272800831978,0.01452258953256186,0.0022380767327052917,-0.006452388872104691,,-0.059523266259671866,0.0003025873321381386,0.017682323207900447,-0.03897681232222066,0.06456037813075219,0.18279780759018882,0.11861059566539499,-0.053204135452039385,-0.06889857079924304,,-0.052540453304289185,
COL4A4,-0.043570957207215454,0.014945345230283064,0.05973342404253773,-0.0343472264480519,-0.0014951133473014916,0.11660901477747147,0.05732425547338971,0.04933703785962637,0.006242148414658586,0.019285643932650084,,,0.027155585065406586,,-0.00867990520166134,-0.020187542268107758,0.08723005537521107,0.05601257665156109,-0.006713724674441843,0.13895232566143925,,0.04424311379544714,
TAC1,-0.06955695328930851,-0.025683289270009426,-0.037302300019070034,0.17104379727051497,0.01727471095263826,-0.004700645773646497,-0.31723327012063746,-0.09441931546784274,0.02408657224965475,-0.06165456925120281,-0.12008716829350675,,-0.05861773664735476,,,,,,,0.03626005364094572,-0.01164684859628546,-0.012432403453913884,0.0002581319114557326
RARRES2,-0.039871589576315855,0.040047820769753203,0.00754648626417808,-0.07253890771311101,0.059484632768936625,-0.10219167649535918,0.22157507781092026,0.08849871591813516,0.06811351526228226,0.0097585815784073,-0.004607443483472394,-0.13688751850081907,0.021130736794793197,-0.02621138927588234,-0.061656370506057365,0.07177890680894079,0.005983724906252914,-0.052712290540774316,0.0077845914964733975,0.007540182511621144,0.053708320649564406,-0.04441537199193585,0.014190047360381975
FGF7,0.04903064276139027,,0.036774420475412496,0.06045035260089614,0.03757228077340462,-0.019622696542410632,0.06153000511965546,-0.04478647482773762,0.004640207871320997,0.020882722873425085,0.005604805936144729,0.04510056908946987,-0.0035402898073855177,-0.019002106108615694,0.05488133619303445,0.08039659341162052,0.04942590254144613,0.027429987253596494,0.0042681302539143715,0.032779414901411445,0.007663374465137491,0.018943893893402793,0.04159629674097139
EFNA2,,,,,,,,,,,,,,,,,,0.07292582744439542,,,,,
HBEGF,0.0797437342550662,0.068285304976353,0.04478372202167813,-0.018755444952003125,-0.0513117534594261,-0.11031396753885753,0.2323746803242559,0.0020367957285537756,0.04217554555370859,-0.018345308484468702,0.12187327952499256,0.13165355890171465,0.02368462145563543,-0.07388585984415769,-0.023672563080414582,-0.05236658669662865,-0.020747526416823318,-0.010506291428453482,0.059338482852370665,0.006326289350526096,0.03168481705464041,0.07818380242554539,0.08790839302712271
CSF3,,,,-0.06318831888680991,-0.03450553426727794,-0.0835686525732632,,0.0476097938680093,,,,-0.06795598240520868,,,,,-0.06676278157061609,-0.0919694981055521,,-0.048433803915280516,-0.027308311004453845,-0.021977535616360996,
PI3,,-0.032649354919374624,,-0.10015921351871983,-0.07166403582429351,-0.04086172767167555,,0.034986280381453336,,,,,,,,,-0.14100768750073142,-0.21140418945773237,-0.05714048997907347,-0.07070845179195497,,-0.04774988357392273,
PCSK1N,-0.03419252687281968,0.04196129325409934,0.006316217300054646,0.10722948061460047,0.02736759814120697,0.0981715992652159,-0.15013355107676338,-0.005769333261167228,-0.0350157133529443,-0.03282673539954527,-0.3289764522013347,0.08394799175067247,-0.045181147102040985,0.12913336649007587,-0.009555133550199123,0.027906705019826422,0.02877920936373453,0.0033902425498313756,0.03496010543481545,0.009296587082931875,-0.09389584695174967,-0.11783561974308839,-0.12067968347961563
NTS,,,,,,0.002331332831186143,-0.0019998603292507473,0.03645597852029126,0.07035109868325809,0.038289776324107516,0.09012769510575394,,,,,,-0.033679856667008935,0.01855933938980468,,-0.0342428437974324,,0.017369368655936735,
SFRP1,0.06475997358423795,0.02141035497859955,0.0426579105501951,,0.008293779896290786,-0.02613515476350376,0.22267334086368296,0.010729238159316626,0.06591758754031994,-0.024347490778323957,0.15087832773497414,0.07634573669740895,-0.02291491607135357,0.03959434380087944,-0.06294294490204563,0.062431225066556434,0.0779457480219547,0.07941805579766377,0.02530649583768033,0.06634242682205028,0.0127948347391582,0.10337680417671863,0.06771746522968843
CXCL13,,,-0.02657381090947825,-0.012356895363725475,,0.019835789025535618,,,,,,0.045679092819439174,,,,,0.01761101033181451,-0.011751198148548952,,-0.05177762956027526,,,
MICA,-0.013015357871691235,0.040375759416914805,0.00373707707889585,-0.05374314685040175,0.021578317940766135,-0.023683198108094036,0.049962779426004834,-0.0004419891406923737,0.05160787344550102,0.01671989699214486,0.06798034595029934,0.03708817922145714,0.034598823825460895,0.07330890414950371,0.028564478585556635,0.04903549562874096,-0.013705637854978822,0.08208798581077309,0.0015193745425472393,0.04082703025791784,-0.03382483540567865,0.049413231199859936,-0.06427911617949526
TG,0.022707403696343102,0.03260266232023625,-0.026253642133981476,,-0.014827960245719661,0.08096523533499571,-0.03583660020052843,0.034838512278861776,0.0007745826390620274,-0.01762017316689555,,0.062048874291117974,-0.03435761371350939,0.019087688137439326,-0.013436558507949028,-0.038060807229709274,-0.041323625414322634,0.05282059569561907,,0.04907639934055222,,-0.013728653876693737,
ADA,-0.020828333679930023,-0.003854180835437881,-0.031084898880606632,-0.0041956799329622005,-0.010386710507924547,-0.00490688099586797,0.18923827540740112,0.03866320644691884,-0.012091020734980583,0.022179930133520858,0.13078215438407018,0.14065512920342532,0.12435793861091765,-0.020444724344408874,0.015473180892888,0.021860826747886357,0.036233843937279894,0.0265767727770825,-0.00700682781828406,0.07853555260762646,0.08953667972025034,0.16580598739473032,-0.10548758287517779
LAMC3,-0.022427255270900833,0.07832388729415658,0.011697095165133987,0.03336781301255957,-0.042413958214010596,0.06495974924189434,0.1458671767236577,0.004439177613616058,-0.0017037808655330485,0.022257773809369535,0.042650279570189485,0.008498838876148048,-0.00928337327732174,-0.0003267806848575896,0.04884232939538385,-0.01859607751361741,0.020199162395310406,0.11373119317746494,-0.07814057861426668,0.027855847859350247,0.05126223532518217,0.14623234137673563,0.01684563628091793
CCL7,,-0.03938574425169244,,,-0.02371915317130515,-0.01833816697506629,,,,,,,,,,,-0.011147755101195056,,,,,0.030741753185987063,
NGF,,-0.0003507470501668382,,,0.01742295252367129,-0.014213847018803807,-0.023610226107794008,,,,-0.04575872533707746,0.05996021436898671,,,0.03707427994394318,-0.023578269502332317,0.05342786276039637,0.06275624694377822,,0.0013109173582527848,,0.037331254966709436,
TNFSF15,,,,,-0.004254942428672884,-0.02361559438164266,0.09356724466723244,,,,,-0.04171591238330825,,0.039356725263102695,0.022439660673442913,0.0456262054762159,0.023626311731438886,,,-0.04660898900368127,,0.10329752626804749,
HMGB1,-0.0225388414957456,0.050354493581939386,0.07282123186359582,0.19344334749178266,0.028758670840672573,0.01215302646591966,0.23996160414641282,0.07532069402445647,-0.04316761634726131,0.039407239103789425,0.12083801922590451,0.08941455847448605,0.006523391731084386,0.01584855606929711,-0.07926540275216024,0.055776083862764766,0.07153989208620921,0.0382682289655071,0.15145641592957187,0.03450714373482301,0.048002940974497456,-0.0929979594304255,0.06795190943455373
ITGB3BP,-0.003252852778044227,-0.015194555949071929,0.04707982390412852,0.014781878154677974,0.060646498593837965,0.095975415120789,0.33640529992828766,0.07040952685312281,-0.004969953191070316,-0.01162361483797272,0.014733398407926977,0.053153935820653954,0.025480126797345876,-0.05266848887408615,0.049092593476971404,0.05817894693784188,0.04906442000518495,0.056164006076889296,-0.02555067399903993,0.04489870382830166,0.07608376842148691,0.00872804581744488,0.042833685938844394
AANAT,,-0.0032574091392265476,,,-0.011865075782528838,0.010571069011680607,,0.04721785783623614,-0.01919836118242736,-0.020311055850548456,-0.03466651529518966,,-0.0037961175927962495,,,0.027791573694248877,0.05919347453098731,-0.026665545127055754,0.005578608713284008,,,-0.007560997321333444,
RELN,0.049404758605749825,0.07564220207817492,0.017463110572134635,0.019145117743656764,0.009091214389430148,0.004358759057067727,-0.05203914547701168,-0.048750797083796905,-0.029435531199520724,-0.0060877321719191215,0.005045757944315001,,-0.06139327494316106,,-0.007400036340764184,,,,0.06333245060988638,0.07134019641818859,-0.025247299567943585,,-0.005266634971564455
IL15,-0.07230267352725545,-0.011433039012793885,0.07558361453421739,,0.04741049025333791,0.022354328130016934,-0.06447318176988982,0.0064551417894903144,0.017961721664825847,-0.036804345853018415,-0.01382776457228685,-0.05174247869544606,0.017939209189248597,0.07044497836850958,-0.046523686437099504,-0.03291213303004003,0.060019240134413995,-0.006217838284427043,-0.031101903714108484,0.09332336351442592,-0.07473737711023686,0.1336486757966799,
UTS2,,,,,,,,0.07990413364969119,,,,,,0.06958929150375248,,,0.029542919260691695,,,,,,
BSG,-0.05054271495447453,0.03733686873415834,-0.020213596318340892,0.056339812890295014,-0.0274997186461686,0.038073118325252384,0.17225344734228665,-0.13813590116253227,-0.04023423207726874,-0.018178898114252735,-0.2093069789194573,-0.09354051293356104,-0.01973743937864306,-0.007026956289879281,-0.029191866687526578,0.042735963822288184,0.15492458324141695,0.008266231508444797,-0.14748460577141792,0.025510648552025176,-0.00017432936180590647,0.009336842884088642,-0.057649189154660545
ADAMTS3,0.0022555469578601755,0.001220421610610541,0.03338171389017217,,-0.0006358190911790449,0.03573139501111994,-0.025229148474017145,0.051422833453499066,0.018167795864833042,0.03196479497070267,0.01629022009503096,0.019219427482395576,-0.007063123404768594,0.03251654290204764,,0.055226793402585884,0.13278617681346522,0.0001591573587936528,-0.07296910576536789,-0.022038742519092536,-0.021629180673297086,-0.03689704217790713,
CD34,-0.017499126879204345,0.04071404271464694,0.00940917478239058,0.033285422898179776,-0.06984723118099821,0.04506942040061337,0.08072871451754741,0.09533280421205197,0.0033615188929833955,-0.0380014340087089,-0.0037010733189340953,0.08639949076105007,0.018651576702402566,0.03759534481010756,0.026142435504181927,0.10080026404379887,0.04656075984305121,0.0545639102339512,-0.06411795704536564,0.05067025744254237,-0.001002138022374248,0.18467326466053138,-0.01461376270549651
CCL23,,,,,,,,0.03057129782381816,,,,,,0.031134599577817678,,,,,,,,,
PLAT,0.007993497609819333,0.16090255979614643,0.016382330918063633,0.09960838028792218,0.03911440733142683,-0.05237185874414691,0.30803423262891066,0.043487329391251106,0.028260758342490727,-0.013178296431842504,0.00709996179932668,-0.015040570838455398,0.0946442435046238,0.06464003429514188,0.1024448764764049,0.03815849532328702,0.16038001881798541,0.11811012328865067,-0.15856330586769732,0.0491590980524389,0.03272616022237394,0.15307294124601398,0.09229789754679087
NTF3,,,,,,,,,,-0.02427147892785467,,0.09175830176132016,,,,,0.06003301353593211,0.0804308172728171,,-0.006659509885613459,,,
LTA,,,-0.031205627152081056,,0.08731478148155669,,,,-0.005440479828213591,,,,-0.019518131348030637,,,,,,,,,-0.00749461982221795,
CKLF,-0.010313627300834127,0.014735393076896626,-0.010043005147938502,0.032987867530622994,0.0002859837645688721,0.043786686723154375,0.33237951824529677,0.1257362432810804,0.01813157435965474,-0.022312141478029422,0.148166325594195,0.07575021720720435,0.019063679652782127,0.015098055413912017,0.05212254581242928,-0.003077963295587512,0.14105230547939382,0.08873452298480884,-0.010117492311874135,0.07452799215920493,0.12278105747160975,-0.0766852901659146,-0.06277984272675304
APELA,,,,,,,,,,,,-0.029757582264031357,,,,,,,,,,,
CD24,0.07663502931074823,0.09590127700869462,0.09610944196941633,0.06921737425073443,0.03220044106621572,0.14133736348749687,0.17007220387424005,0.007957086486252795,0.043415773249245185,0.0617205433821438,0.09539266297000062,0.15923420027531196,0.025126199444216697,0.07495625758468728,-0.06739234902895748,0.00858356069785615,0.029404702614013508,0.00898102703314057,-0.00021076430358654992,0.026814517123797805,0.04465929182950093,-0.05195130610006183,-0.05114628546780915
HSP90AA1,-0.0348849809656747,-0.014752770615429055,0.03227529873091857,-0.11098170232474724,0.02542744873068523,-0.07402155663411972,-0.3621126154504183,-0.13406591757850708,0.15705491523344234,0.10762599952178468,-0.3321414197370139,-0.016491373649489008,-0.07155153080536593,0.05594159904011059,0.003262802878181773,-0.019233026671473426,-0.23022871053316094,-0.26431345224830316,0.06084458151238628,-0.037342448448953944,-0.11503036739295432,-0.0598149218233376,0.004109092493865952
BMP4,0.03742737609331927,0.004646240449598784,-0.0030679781008774026,-0.017490831578673625,0.040974078611815,0.022862336754775597,0.3942090954951265,-0.07968283288446391,-0.024064713851869136,-0.026783172738854017,-0.009517074266304458,-0.05139572187119722,0.013502214916271238,0.008480669617924963,-0.017548765395275043,0.06488037808299595,0.022417888399880813,0.048348519632038865,-0.056878042684319834,-0.024852096784228176,,0.09098998921139607,
SCGB3A1,,0.01733235690859784,,0.025437784964309502,,-0.03351662969412981,0.048390217651635196,,,0.05063027278157471,-0.01823020663381072,0.01664580727143996,-0.03588842365982231,0.02733265378821617,0.08326898422697435,,0.060156618718443626,-0.006749781477868308,,0.006349212186988631,,0.13209660216894226,
IGFBP4,0.05846820578060665,0.0931037707684003,0.023544935055381296,-0.04495910422300101,-0.046711499717926104,0.02143888736756996,0.29502382937922406,-0.009570052544367855,-0.017757651214931426,-0.023378199958488506,0.09899780831015642,0.06253316849186245,-0.006175304669090533,0.00038504173410099633,-0.00020192796255397318,0.003515687831023245,-0.030066472179732205,-0.08391331114122359,-0.16750202179690654,0.02874838528002068,0.05622014794329168,0.20845506519452403,-0.013900435080894679
RSPO4,,,0.02168692714763844,,-0.0325970422538408,-0.027741467753185842,,,-0.0007213369111981066,0.04828456286781402,,,-0.03992298801388406,,0.007915026791630256,,,,,0.012056380546615602,,-0.014573319867925868,
LEFTY2,-0.016212593064555407,0.0992537718367771,-0.03158887973203875,0.10051740195465521,0.04557654529290329,0.05332111847425694,0.19692468150654915,0.010455453089330938,-0.0263601030427297,-0.018786074470841515,-0.023177465106965358,-0.020034986434854858,0.025358664816903267,0.1588207942964269,,-0.012272391972870233,0.0684481629992572,0.054840720238898695,-0.1580441232455546,0.0010259057055499456,-0.030383120764588836,0.08363837680155992,
PF4,,-0.014193022286928089,-0.02838575918314682,,-0.02069449384678252,,,,,,,,,,,,,0.018001759178013464,,,,0.055035362381943,
ANGPTL2,0.00850700444245081,0.06902420912847525,0.012611780778019511,0.15506691913742673,0.019917525477008695,0.038242666667827725,0.47355034537136004,0.03435495215295225,0.04696548572534411,0.0340639341346338,0.22586256718638825,-0.006146076905732699,0.03300335322771407,-0.02119513712940202,0.0751430826455504,-0.004976896820023734,0.20026041641885828,0.12960581805689553,-0.0013881216402841664,0.043446891424696925,0.11883897995334662,0.157532484338314,0.023917867027053598
LRIG2,-0.028219678618965283,-0.02964177149769653,0.020824035484963203,-0.026632294448813237,-0.007975020580740805,0.04907659098750247,0.23862410825831157,-0.016496597146993683,0.09184366343245962,0.008106580257412363,0.031310732033503985,0.11208139502667921,0.0787995681754257,0.006283350269798674,0.004653904836635877,0.007809456742953747,0.10351529190399814,0.10660402506680079,0.02640226416295054,-0.08838722654220857,0.004413556523415377,0.028770850166271778,0.08449653199360893
ICOSLG,0.05684563030721775,0.04170784343561958,0.012607774110796817,0.10748029559845268,0.04026672566022077,-0.07760186002549274,0.18342776205621897,0.10952466280825983,0.04406957457220372,-0.014016408577016849,0.13292663602306976,0.0006528743729272092,0.09404298522838783,0.07951083575730836,0.11043602931297669,0.011013818571452012,0.10310315341525486,0.0960124745643914,0.01661709696751849,0.06564516178162377,-0.020960442067858787,0.07241882097601189,0.014969611915313902
WIF1,,-0.03160067316959771,,-0.0620810193268267,,0.04173984077248546,-0.3391261558842099,-0.1873834183209061,-0.007148394424102626,-0.014332678985155488,-0.19010250371697227,,-0.08688285030072151,,,,,,,0.013697150212910387,0.10063655149015964,,-0.085504683689822
NPPC,0.017065117709615482,0.04391362042763703,,0.005600780478301041,-0.032102263351514566,-0.043910727002287014,-0.07971594982737996,0.029747252348159097,-0.0037864966294774895,-0.023810082042277796,-0.14500453936480145,,-0.05519486613328728,-0.04841974473723155,-0.04648492811524047,0.05816949811261397,0.0012153907524760968,0.026200882196608218,-0.046025879887116476,-0.019738233540354276,0.04220744456670606,,0.044795008102698444
LYZ,0.10664240707433945,0.005909802656527135,-0.025596163315255993,-0.011837131071255603,-0.01323728750690164,-0.08026367855950833,0.08704406546214001,0.0753755826577617,-0.031208419481824932,0.03144049662726962,0.2416216112414298,0.03662330242865696,-0.028850406394032878,0.05236231878102269,0.08161342420571158,-0.04391791576045343,0.019304982595283775,0.08112732791618417,0.023800602397671847,0.026267141285888345,0.12641767054592545,0.036224381207579544,0.011974460007604777
EREG,,,,-0.03346317603674011,,-0.05124098653355909,,,,,-0.01736728556526561,-0.01279939019577454,,,,,0.003832847094291821,-0.03737853009644595,,-0.01975220726566705,,-0.03136618105135697,
SPTAN1,-0.033100353613608635,0.08742283809493265,0.003851574963910952,0.08908979561929996,0.060928870842413205,0.06917991921919037,-0.16230112011479506,-0.11485807957754467,0.027029694597558784,-0.03343177821468055,-0.3278646171905626,0.041317032709361184,-0.028767147723245987,-0.023191187885300134,0.025822775107766597,0.0746960636080917,0.02013916013993012,0.04940424335132225,-0.09702695825934826,0.05429240169846916,-0.022688523197423635,-0.026836676393132086,-0.059099103912077386
PTH2,,,,,,,,,,,,,,,,,,,,0.029428466547953357,,,
LIPC,-0.00646606644146098,-0.02552884547896624,-0.018206559501565706,,-0.037189546713785424,0.02892746647320324,-0.06153955370246391,0.05285717096724451,-0.014220493471697692,,0.024636295897665663,-0.06178527859314516,-0.006272135181312391,-0.07051532163898491,0.011724337158194969,-0.043170966633644475,,,-0.0017780460348743555,,,0.05264280756382224,
COL8A1,0.05207930135530034,0.03379488840716441,-0.022147799642172738,-0.00881566726576664,-0.03136821740404271,0.056335380146779857,0.18842670927023844,0.0513652365060452,0.0007584837878342988,-0.02943597259136647,0.16061027774214354,-0.09965181423019724,0.07728099911969744,0.11070986543111946,0.04931699732442722,-0.01669786704518146,0.11641407690137713,0.02466325703825375,-0.10308694839033444,-0.038853053346875326,0.11479079038314745,0.007180830296991188,
GSTM2,0.06914060645031578,-0.04520394717406784,0.04789623719652148,0.01430249205768707,0.031755050827697764,-0.04652161959630199,-0.03137385122767497,0.006740100287481541,-0.0019166668288798899,0.02747886229833004,0.024323270165496118,0.0103600124005482,-0.01596859126661176,0.018673301305453905,0.04696480408728845,0.04084585604014497,0.06882700455318705,0.03597116530200315,-0.007776348748228246,-0.002623124217697075,0.03201374006367999,-0.022151523604525207,
SPX,0.020103618491890882,-0.003695974520666233,0.07490835161158545,,0.0031962534322375804,-0.007410251765877556,-0.10680724793715847,-0.026531813755058867,0.03763717421284165,0.015901185040751352,-0.007550137533686096,,-0.07224722838152071,0.11337699821456042,,0.11723735920690527,0.05441124294777519,0.0701240886521933,0.07232685009554188,-0.035637386207539756,0.09609303800527488,-0.060742764372784724,0.00926886400057883
MFGE8,-0.024048906185458827,0.08496861200554184,0.003901461876228272,-0.09483485280545824,0.008485603940131167,0.05452137522790392,0.12372697441306343,0.06112422106934151,-0.0352602862614218,-0.019413786883543196,-0.15110883782322412,-0.05610340232203754,0.05190603466952049,-0.11336380897732555,0.045239551075515985,0.01654692356245617,0.021536941363630636,-0.019228178672562428,-0.11891542944125029,0.06924978798868554,0.05993519698509103,0.17783363922990233,-0.07708392656791979
TGFA,0.07494299905210813,0.04094172583189967,0.03852114041478665,0.010917779240395838,-0.008280126937534304,0.13169129176961944,0.22521731690766708,0.14549139485467374,0.032080037087840005,-0.020063161628091117,0.049166130306045296,0.065506871865056,0.14012116244358125,-0.08945860815574515,0.029464983491378147,-0.02237541240063391,0.10937423171538296,0.14266865591731412,0.056000370590769996,-0.009906203428122854,0.08644303205189005,0.018744929900417734,0.08043407919453671
SLIT2,0.054754930126818376,0.05124662057634243,-0.01291001725371426,0.035602850268742096,-0.04292417494628445,-0.0033477929580882125,-0.03479186307507477,-0.13350719068918995,-0.011410374144929207,-0.017174732856895306,-0.1463733699880806,-0.0003278569308984859,-0.09345456147084505,0.04646177962548281,0.03107597339479409,-0.05769637165972432,0.11216474430929968,0.0323363868440591,0.011776623381956201,0.008119075458419351,0.08134782924827151,0.05017492233803401,-0.09725570268806877
PLTP,-0.0391273587916137,-0.019354724024097547,0.013852632312128287,0.12297866316992563,0.04882158528034188,-0.10408203641509589,0.12981410409027974,0.11122201752327202,0.010431696109071064,0.0603693568523908,0.2695051904499683,0.04448823316086885,-0.039421049267156165,0.026470599421182517,0.013470380161127227,-0.0883352172729005,0.03973460639901443,-0.0473077793222813,-0.1509023787870662,-0.019575116436038202,0.09124377892114655,0.023814225012512936,0.1297549670479336
