,MGH258,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
NPPC,0.06766839885607132,0.04824905806143597,-0.020403814238978548,-0.03010887703232279,0.04301369436116405,-0.0076162298247984825,-0.00038558411660826375,-0.04106955773173371,0.030668833919605218,,-0.0010287886229203087,-0.03642103726201292,-0.056038322684606935,0.018296340782798584,0.12437151910287006,-0.01795283069605139,-0.006413587721234738,0.04539389927385534,-0.020014570954532775,,0.021774767809523664
LYZ,-0.013682293500182524,-0.048240992189138035,0.019059400057168285,-0.01926610532813574,0.01824167840588251,0.12812629812238327,-0.004076449277094748,-0.010406539524518867,-0.067205810882443,0.02682683281990702,0.004544369596890349,0.0047798411626899535,0.060526422733059505,-0.0266080074400815,0.014844322675137894,0.02700356692466482,0.0219879651331695,0.00598072796291026,0.04026086258170016,0.005514431010292107,0.019946213455489768
EREG,,,,,0.051098683982724415,,,,-0.01891798609466944,0.051622464979984156,,,,,,0.0027945229468708697,-0.007115862554198721,,-0.0033078844979723943,-0.05213534736848915,-0.024951178676923508
SPTAN1,0.01051870510707034,0.04937690443861403,0.047339771365332003,-0.09029625974646562,0.04525932118736313,0.05013766337337421,0.04217882420104478,-0.004729089952094717,-0.01568916714148126,0.01697941617596783,0.00771236855179889,-0.002071879526556518,-0.11020027623379101,0.043157979963470275,-0.01736135029545875,0.06966490492941145,0.0787616838014158,0.021848844388790308,0.0437732150771391,0.021957005862048577,0.014429355447843701
PTH2,,,,,,,,,,,,,,,,,,,-0.043258850316816595,,
LIPC,0.009949059632080322,0.05599796409285418,0.026859115502840664,-0.00903272319487157,-0.0004443247115655648,0.0731941269052432,-0.011235598602825641,,0.031175212394361614,0.07632547037248114,0.05009638824144554,-0.018229113190026878,-0.04040164264180539,-0.05196981013106657,0.05808479474718268,,,-0.021454257926175203,,0.11086431160994456,-0.041773651322363665
COL8A1,0.02079866390498435,-0.05311583277469231,0.04360844705723739,0.019082196861863538,-0.02084475182937486,0.0025474910061873226,0.008964314901520306,-0.028234920139027782,0.006449369950659763,-0.05605930293221028,0.0814935875222968,-0.05061268238290482,0.05532226277884238,-0.04085703103340436,0.03765548778260629,0.09566180817395403,0.07240845805872372,0.0782685302487174,-0.014670346828857499,0.03531562769798194,0.09569564625187126
GSTM2,0.08013206160114629,0.054037707205506276,0.03527006024041787,-0.025947497560950106,-0.027897323753588124,0.017284932445339168,0.031122207750400015,0.04836864631822909,-0.030089289954812647,0.0447663623574839,0.007979819320910443,-0.012064042621064884,0.0782359200445029,0.016853552048258842,0.044192163488854685,0.017237378900322377,0.050738018930667365,0.004229126344285592,0.013606507857959221,0.029996758557787856,0.04599721803742779
IL4,,,,,,,,,,,,,-0.038620114509412544,,,,,,,,
SPX,0.0005822890861086627,-0.004576287620913811,-0.007499420535110631,-0.013767029853668025,0.03493283975626009,-0.03327277731580795,0.010149170151449925,0.008011816188784002,-0.008085598295249389,,-0.018831380968812372,-0.03203164967996233,,,-0.05791463234696335,0.06914817416581988,0.05761242569551469,-0.03604213921628188,-0.017210818309071695,0.11250334385740815,0.10902823890912215
