,UKF266,UKF296,UKF304,UKF313,ZH881T1,ZH916bulk
PLAT,-0.058408139776780096,-0.006052600914037934,-0.03527419607001207,0.01530990292904117,0.03072542986839081,-0.047942877338591476
NTF3,,0.035346302865799574,,-0.037453011942827553,0.05907528813221643,
CKLF,-0.018922126254960123,-0.03781445321402757,-0.14038585150908447,0.03941269135507435,0.0539147061421674,-0.06676952642948912
APELA,,,,0.01621931937586553,,
CD24,-0.05323336965641124,0.052358471782051025,0.05273298349450536,-0.0644993875731592,0.06853954229554077,0.09479033597667984
HSP90AA1,0.06846708711643745,0.014955582235060107,0.21050533327323653,-0.06232516188182222,-0.018183778936821788,0.022938794672516177
BMP4,-0.004509890435374641,0.04168111847421986,-0.02066865071264189,-0.025775720358078055,-0.037231850505852586,0.021724782471788884
SCGB3A1,0.021875966506194087,-0.014710807677474605,-0.03976151259709894,0.017797100422059023,-0.02741148186780059,0.0931861530434165
IGFBP4,-0.027218653260754306,-0.028084491542799794,-0.027967958960038786,-0.01570866992449498,-0.03189356464478564,-0.011340123375918406
RSPO4,,-0.0147108055256862,,,-0.018460466469419692,-0.02781992163750604
LEFTY2,-0.022556253451107025,-0.016130578176019573,-0.024026216440440482,-0.019881014892077838,-0.025105014792027185,0.009023992839733685
PF4,,,,,,0.07283758391256798
ANGPTL2,-0.002006999801104497,0.055010717234354176,-0.08047575901265755,-0.12036412245078698,0.011155184462808884,-0.017759117447604788
LRIG2,0.014123132258919629,0.010089346140777517,0.02976192167364109,0.008539770614388245,0.032524746880488786,0.05726132710915651
ICOSLG,-0.04947578495985783,-0.0074607463520135605,-0.048123032695997554,0.002450026784603216,0.009967850797735303,0.02277732219058805
WIF1,0.05163150693017841,0.014564216834833844,0.3233593258542122,,-0.017160791699294898,0.011891106427995757
NPPC,0.06329229555454914,0.021897866604447345,0.017287147588897888,,-0.027051966241880495,0.08386990151300877
LYZ,0.046301726113649376,-0.012874305105841432,-0.10021480307310245,0.10650741496775934,0.03529894844938215,0.004514075260239271
EREG,,,-0.024715955335060217,0.025886513751758725,0.0744380826138321,-0.02509010531625029
SPTAN1,0.04068681752837323,0.0609851977941878,0.18138783055691826,0.036480284639236804,-0.013817333341714623,0.10545744343789475
PTH2,,,,,0.07267790756332608,
LIPC,-0.022941909364066336,,0.019402685142677668,-0.015928873869863795,,-0.03398475236744439
COL8A1,-0.046629758388736016,0.020056160892490987,-0.0876605773521242,0.01608861298842638,0.0033543492598312923,0.00988999136743386
GSTM2,-0.012510432880515109,-0.02340936356502653,0.04113375740056506,-0.021953550303804442,-0.01824611587904346,0.03049513452387385
SPX,-0.00010653169988655947,-0.02743190073952091,-0.03262126201451505,,0.006234228539362851,0.0742704663749837
MFGE8,0.004043003311169223,0.03548404211420547,0.113893870573993,0.015915891801154346,-0.027627593652615575,-0.033582345393960676
TGFA,-0.006082242921477522,-0.03746003187576125,-0.0477385049695167,0.07039639089435899,-0.016210690034232422,-0.053100499622534214
SLIT2,-0.014591909404101348,0.007064597770886368,0.1836462086088315,0.04598612442521919,-0.019942935485808413,0.044379541461026246
PLTP,0.0037892564996094974,0.009080727863020038,-0.19404041082263607,0.03458707007568993,-0.05320659335164698,0.03714833021002318
APOD,-0.03846602973667651,-0.05539284442059098,-0.1695417491424533,-0.010258799928568192,0.02170927472406839,-0.03045335276217442
B2M,-0.037562393198384905,0.0076222860694403335,-0.2545761903487774,0.11089325573972572,-0.03563266746214991,0.01916318501688699
