,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF269,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH916T1,ZH916bulk
POMC,0.05482482697490586,-0.012054345173984049,-0.063866490454846,-0.004656439038129279,,-0.01062787648020835,-0.0071736981021326895,0.14469399596194465,0.07084453819268817,-0.060744539005007134,-0.009167191256310074,0.027292168474063027,0.029908430009669282,-0.03169404041944325
CCL18,,-0.02995699263065403,-0.023918451353439136,,,,,,,0.04897778530031213,,0.02198057464449368,,
CCL17,,,,,,0.018033862355872073,,-0.013513116562965333,-0.013442180051845356,,,-0.012720657540813444,0.09052447825351193,
VEGFD,,0.03721001991479078,0.08118346514965734,0.08024444181657392,,0.01907176409719038,-0.02473426628963403,0.04666809733619969,-0.014406400710732207,-0.04169033247168361,-0.0445793236850115,,,
TNFSF13,,,-0.02565575834394334,,,-0.018733099857513223,,,,,,0.13327153035365757,0.022040270015192712,-0.014359860853213812
WNT5A,-0.03823305028120159,0.06295181237157256,-0.006235022685342467,-0.0032055437783359577,0.004502812244382645,0.009276312118917444,0.08584776832382435,-0.03282345565549245,-0.012656338906742268,0.09480430600043177,0.0316035619832834,-0.04103997084466416,0.018267360578330588,0.07760029250134663
CXCL8,,-0.02295786732017147,-0.010878120243407105,-0.02524292176603609,-0.07282634054229087,0.10638500765786137,0.008987620018070998,-0.009230517440375256,0.0009947886593522585,0.008680709803845083,0.08417640492388637,-0.0601307540034597,0.054532563698386195,0.007284579814940293
GRN,-0.08351064992143149,-0.06006098177875536,0.0055610890201185535,0.011558056268661515,0.009216699456700384,0.014225622936471765,0.05057843275115942,0.001299162376218509,-0.06021113717247723,0.009226041747640584,0.028524584559529845,0.05875505724618445,0.024792468551590882,0.021425932194298287
MIA,0.060629155198507215,0.04110603470334871,-0.025916383743641865,0.0458971449765503,-0.07254063389173215,0.0025879143559764013,0.0712515044947874,-0.011272851696377902,-0.019730225983544337,-0.019981003009012795,-0.015153179127676905,0.08063966606679049,0.021381057575454637,0.06552726193448308
COL4A4,-0.024069600135769375,-0.01562548650600741,0.044536547516024975,-0.007377412224182608,-0.043093080267112616,0.027841666999356054,-0.002554445960829488,0.05534595722084767,-0.01913905117763337,,-0.00728521749867629,-0.020906608187625537,-0.01786547587364419,0.02581869142833612
TAC1,0.02416457955628779,-0.04255486908984081,0.005863625730087572,-0.045545954322164246,0.06388389524732895,-0.003595231203957429,-0.03834690595118532,0.03556957398304859,-0.03391840415054616,,,,-0.015586115797913922,-0.09733842568845975
RARRES2,-0.012400477766635543,-0.01980404174367454,0.036912365115538505,0.025582008837513937,-0.021161825104486554,-0.011593281496521618,0.08903495559219875,-0.048821152327392286,0.05205253146860386,0.05782880699444365,-0.0692625453097459,-0.06192093543018367,0.005428251510888467,-0.0666179276998139
FGF7,-0.008284606073087291,0.026012048469078307,,0.0014190545694495395,-0.02082975234829248,-0.02814283217912759,-0.020923460192748284,0.04204850636903448,0.06352896244993653,0.008873167113356523,-0.1068345293150514,-0.0034016269329799503,0.041500384543413905,-0.05198937615931465
HBEGF,0.0014959261966344829,-0.0016037903118350284,-0.0032429738788153045,0.02944967450829837,0.029071287725632212,0.038025160229709865,-0.027543911232649928,-0.01410488139643231,0.008018481199572778,-0.04923578545628761,0.11795274951047564,-0.0019709925058603,0.055486363968662994,0.05291438092565142
CSF3,,-0.03397803142446925,,,-0.04274399001850506,0.1972443836032228,0.0465264403412699,,,,,-0.043891003939207314,-0.023657812312735737,-0.021241013386078558
PI3,,-0.04025204505974115,0.015069826449752317,,-0.07191650610301017,0.08635111276319407,0.08233129474198779,,,0.030419122158479094,,-0.0684089051539723,-0.017158517680767663,-0.05105144649821824
PCSK1N,-0.02176086288058718,0.004208673701851792,0.03779670598028837,-0.043965905397610985,0.06513855816875344,-0.041964845717145566,-0.011495678896669028,-0.004085393592899624,-0.017778285759537202,-0.097334031285016,0.018304901335561653,0.02189023240056984,0.04269083282732404,-0.07901046794983733
NTS,,,,,,,0.044945630054732254,-0.021645282815983928,,,,-0.01546829386988817,0.07802692564612879,
SFRP1,0.0006097577215339635,0.017431668208823102,0.05352913732122482,-0.01909944979754242,,0.026245624755538415,0.09412794107759243,-0.013513116699053515,0.03273147441941317,-0.04176145227696258,0.05806940678963585,0.041924702192970134,0.015290697131278803,-0.04458521345746236
CXCL13,,,,0.012569847628926337,-0.013284151573145327,,,,,,,-0.02857320493689128,,0.005531157697060757
MICA,0.07303646232381497,-0.04465949920912689,-0.009759800417005693,0.07050031440174,0.03300973816025251,0.12110974150697092,0.04686009852729234,0.04507785127484033,-2.875757991342253e-05,-0.015866552094168877,0.0031088895371897437,0.017999794032581992,0.0812489145732537,-0.006447334252167475
TG,0.014249092156958763,-0.006421384036822705,-0.027128304533414218,0.02407050190420022,,0.03135300923491368,0.044752126201796555,0.07643041514650589,0.11198241515637511,0.02690849717730101,-0.05653019442925588,-0.0169025735250844,-0.018536529665525058,-0.03194474981864545
ADA,0.00882686315646424,0.08054073839732222,-0.044626509804374444,0.023082479604042055,0.00688976900074354,-0.007252556721011643,0.03979780929782013,-0.015882505707985137,0.04001018679212847,0.003041164023188515,0.05935051224780931,0.07125261755424364,0.06737263661613893,0.10858981087652667
LAMC3,0.07953135111900185,-0.07070500870877273,-0.01702875334686756,-0.0014940462690564032,-0.006750256284481148,-0.038661412692130165,0.12353557200804115,-0.03600028272461,-0.007689237339749369,-0.08837478857388764,0.059316551653165586,0.01123420207726424,0.013687593859552096,0.06733761280075941
CCL7,,,-0.03602819241202667,,,-0.01848875942081904,,,,,,-0.01906533353420571,-0.008396520076388329,0.006562291681808351
NGF,,-0.019575709780095082,-0.007550159998192895,,,0.03543276853851212,,,,,-0.027764938224608467,-0.02201893393665591,0.07954058729706297,-0.014631896701956625
TNFSF15,,-0.02421759611323927,,,,0.03481883457555951,,,,,0.007833065076866671,-0.018586559343537163,-0.02528483962322535,0.013376353869042132
HMGB1,0.04900886459721811,0.010448240755552295,-0.003915286442993362,-0.00022413047896017272,0.03337458747085701,-0.025776192226855253,0.05513341244348296,0.012130943237804448,-0.04149505739415713,0.023034722992582246,0.025929353348808526,0.02596991887319217,-0.015996607942036698,0.006456204714215215
ITGB3BP,0.004823865114631063,0.021309118757808682,0.01709376673110781,6.846943435448257e-05,0.06925383010035108,-0.011750904526223568,0.04073564837829742,0.051378457778921284,0.06941644775789077,0.07753116312030317,0.03472079917736536,0.029531393985077026,0.08636044375801358,0.03012238488449302
AANAT,,-0.001967675365394591,0.025115397994255346,,,-0.018733101856861317,-0.020161261269894742,-0.011272852323402695,0.00047077072925244426,-0.0503958005739902,,-0.016725677077947768,0.03910772799709489,-0.021821177937083006
RELN,-0.019954332152671277,0.0369363150339596,0.011220082167190807,-0.011412136305773724,0.010342636907242847,0.05147996360588449,0.017733353939921436,0.011533013111474241,-0.01996231480458223,,-0.0665943443772626,,,-0.0072980894943701765
IL15,0.08189457033915189,-0.034424894845008665,0.02909431820459724,0.04765377645921714,,-0.028098196163147966,-0.013522912234552523,0.00046784496125476017,-0.016723288971813396,0.061835716377904255,0.12123287077747309,0.05510494695648107,0.04197550481105152,0.026887415903056315
UTS2,,,,,,,-0.0010034878249962538,,,-0.041154623556047217,,-0.014243138143840553,,
BSG,0.040592481398091546,0.01207481101272574,0.050165210386378126,-0.03291578459534803,-0.003346304728769601,0.004503392677160469,0.0038014934183073475,0.05813345038686715,0.06593555549009142,-0.051941686591372126,-0.10064904540899726,0.06344736387386399,0.016678035848034272,0.055437173971310295
ADAMTS3,0.012150602017813391,0.04255555207314684,-0.023939944616371837,-0.012899867650981774,,0.029180803664392775,0.14037884352737737,0.05334754856172622,0.0199799963542227,-0.08824218084139734,,-0.031983919645329956,0.05276107024048301,0.07746199191428073
CD34,0.06540277536374615,0.004107188312024663,-0.018336404285530856,0.003268558734535799,0.03192084309299832,-0.03710107417059199,0.07027204631644027,0.03455037655546899,-0.019375180773611115,-0.08904308575584464,0.027289671931819772,0.034451566825162816,0.034455803062108034,0.008928700405072092
CCL23,,,,,,,-0.02294031493556052,,,,,,,
PLAT,0.06029044298225044,0.057918794117581045,-0.002250043395135619,0.006560290737153015,0.052407567018416874,-0.034779058441608814,0.05865074999953502,0.0015036184455529441,-0.07665588096405591,-0.0317158564431772,-0.059310721339518944,0.06602091944565801,0.03134205181091382,0.15144813892972078
NTF3,,,,,,,,-0.0028024665941463597,,,,0.015119967734690055,,
LTA,,,,0.01540278404931375,,-0.02369655451890374,,,0.024811514454062815,,,,-0.023050217511493405,
CKLF,0.0030972958811714773,0.014568091746296377,0.026224346361428393,0.033381693037854154,-0.044280703291973145,-0.027085037255051733,0.11448504867717749,-0.007070897759341968,0.06983498816632636,0.010756170316299456,0.054325717151640855,0.08420951395681359,0.06152047908401842,0.05337020381568042
CD24,0.034586984127476246,0.0031783020361252005,0.0017665945024236322,0.07812599694322492,-0.004763615630554801,-0.009914045993969377,0.03326365510123529,-0.0017269121579710236,-0.027589354078841208,-0.1517842768758172,0.04292427532773566,0.03024980933039222,0.0557525675021507,-0.07891609698217027
HSP90AA1,-8.51629072057694e-05,0.027858296823817054,0.004878190553096598,0.009728185400698778,-0.028523644981316924,0.03216156488529054,-0.11326372717450711,-0.009637751517269082,-0.09508385688691319,-0.048325896822808155,0.12245958579394844,-0.11203462489972507,-0.08540193618527293,-0.1376651065655643
BMP4,0.014188545299302318,-0.042366624435228074,0.03404840141433479,-0.0037920377238713733,-0.026360378157809446,0.04673672123815392,-0.013409303663554676,-0.014404736833658022,0.032571794748709776,-0.0380881383787941,0.034578157958219925,0.015966229660733106,0.07433646200455535,0.025979030045021976
SCGB3A1,,,0.06934545680551854,,0.0510935082505549,,,-0.009508761191058146,-0.011669291328746677,-0.04169029194491786,-0.047832608197992614,-0.029018243623837755,0.08270185899780448,0.02442669707332506
IGFBP4,0.041884352021800283,-0.03256078189236964,-0.020242199646796417,-0.044824238298242135,0.039618009738947815,0.01625800084193017,0.03992019078696395,-0.028328278272183517,-0.010065176952738099,-0.08356576176082865,0.10027728910171213,0.05781315893740742,0.03863951323892264,0.0350761202894521
RSPO4,,-0.0003467573494117149,,0.0014946705987341456,,-0.0040882490097825614,,-0.00950875980018672,-0.00818099107304997,,-0.021089242017461214,,0.03971993799457065,0.04514543196026946
LEFTY2,0.03466535940016815,-0.011902296230621627,-0.011881062197942046,-0.01905343398466966,0.11687094149891757,-0.03611779795822422,0.030686975852408472,-0.010426471415592282,-0.02064471602452056,-0.08663658675205581,,-0.01618430919201206,0.053531887139686686,-0.01699417026143065
PF4,,,0.03820526804155838,-0.017121410866377442,,0.002292391407015043,,,,,,,-0.03530163413435952,0.02459648518697566
ANGPTL2,0.08906879679360806,-0.008358184991192327,0.05275312785004828,0.01697656772993826,0.05082238392765143,-0.0141091920765043,0.0907985511907562,-0.018884609272055222,0.016944637975935536,-0.12197424755586476,0.048173361218102215,0.08204181369870209,0.03213445859938755,0.10754475280914694
LRIG2,0.03477123468206744,0.011325888908896652,0.01892130905317973,0.024294171445509074,0.02700648059418138,-0.008450721737505313,0.11967787425667087,-0.039294812220977735,0.03602591228207227,-0.034755956054862286,-0.02475185895856043,0.060734248972793434,0.03991209449746496,0.024826034947320674
ICOSLG,0.06210745966296659,-0.007676848766598476,-0.06958078541028198,0.06428810436313952,0.03875672512552265,0.03486749204452453,0.03707840608334829,0.04709948238763415,0.020556983293238535,0.01368875865373011,0.016507570989347745,0.0270286361981871,0.06949541126452463,0.010704952529935077
WIF1,,-0.0556510867506652,-0.011430853913942393,,0.02211240778672796,,-0.04051506547893646,-0.017893517200281026,0.004687922146044248,,,,,-0.03955215446037264
NPPC,0.02866443336815072,0.03908358741254899,-0.012054224720735567,,0.023459222007703527,0.020743830937587058,0.04486866228125575,-0.013214849126784924,0.03169733501087568,0.09869103866707216,0.06656866506386312,0.0011463205939269395,,-0.02279380823369523
LYZ,0.02235685795744734,-0.03821070305757952,-0.04830025076311161,-0.0008220450893426164,0.0168508134709391,-0.02048162460398216,-0.009249621041383514,-0.039305650098875766,-0.012280483545404255,0.04218630544104617,0.06804505304447353,0.04555358884706368,0.0009571457115047365,-0.01864893714386021
EREG,,,,,-0.03821837510512409,,,,,,,-0.016425019014181926,0.07716386476877668,-0.024815682088692493
SPTAN1,0.02911988005384704,-0.0373680523516904,0.07143702212856833,-0.0003245004152099531,0.04298568028563688,-0.1064072017294228,-0.028071396524439334,0.06624665314393523,0.004306311583242723,0.0011034068333892124,-0.012014102532406675,0.017043462470719264,-0.044697765769859274,-0.028243423556405224
LIPC,-0.030816286440488685,-0.004145964728105721,-0.014798844399784699,-0.025768638400398308,,-0.01821481590218416,-0.029902874275427965,,-0.026270726345433246,-0.006150216434330165,-0.04206022226782197,,-0.007646740184438726,0.012663346794526355
COL8A1,-0.02894346363316389,0.06280686012616447,-0.00451583822693474,-0.01869812131747897,0.019861244014064777,-0.004418177166165091,0.10334308417142725,0.003656097666159834,0.018577685856667282,0.008612483891666679,0.013667725288265256,0.022415370821195706,0.0868789423342652,-0.03255127957050978
GSTM2,0.09406949096483037,0.076193483291509,-0.0026415214822599832,0.0325387145994431,0.11184989558725368,-0.012067604155765167,-0.011934710295980214,-0.007541388210649329,0.04630538908141968,-0.021321001725304673,0.040429147485373705,0.0711768902094461,0.02942787605963449,-0.020461194923704292
IL4,,,,,,,,,,-0.035894139833210006,,,,
SPX,-0.04645753847939334,0.022556111334958124,0.09519121769816265,0.0036659179013738673,,-0.009699835437343304,-0.04023475666872279,-0.008609627323597034,-0.004574519817583106,,,0.025819194720098793,-0.01741097292799528,-0.005106985380633651
MFGE8,0.018356482023744847,-0.008366685435518781,-0.04473040637172727,-0.023859235579855472,-0.013137826513231603,0.008277372287447014,0.021349590099260136,-0.0423071287756695,-0.0206923855817983,0.010013779682505606,-0.003216959174776075,0.06141701630950616,0.01373347534882587,0.04377164837788837
TGFA,0.054606811613116965,0.05776022147223039,0.061597665826343836,-0.01773598512200165,-0.04121863154671353,0.0014281391400304763,0.027615719981214544,0.04450845282424091,0.003642014911368475,-0.004800420187558003,0.04663012967000759,-0.018659696417874932,0.08861606712292379,0.05634879739969248
SLIT2,-0.024771103307163894,0.0023123028799159288,0.03301577103511776,0.015812631088065323,-0.033959344541553464,-0.011567069386315186,0.00484893017950982,0.058408301269565095,-0.03761710823860523,0.05378149919289225,0.07579938820626499,0.08371024118312312,0.08157092662693481,-0.05186912720569735
PLTP,-0.04580382262172863,0.022084888538989794,0.007473035287477022,0.005491294061147501,0.010003086981888431,-0.09388820609731227,0.08416387501782141,-0.010384867052728619,0.026444638368537318,-0.021214671168905793,0.021675491165878153,0.05350766794337066,-0.033697792634632746,0.035391368457654414
APOD,-0.0056852452033790725,0.03832608059478866,0.006023177267315324,-0.0039624587030664465,0.0027577585083315387,-0.04635366397732415,0.0011271378022800027,-0.06045443338960113,-0.007413352397900325,-0.03045119250547422,0.01836956354808509,0.08864472404488055,-0.0593757672245627,0.01712474245472481
B2M,-0.024380153944849263,-0.03714732611232974,-0.021776949345038654,-0.04672523320483866,0.003722961635928795,-0.018748764840195612,0.07417871751862494,-0.017191823313694076,-0.021715356468708816,0.014492498113913654,0.05969905437287662,0.10282305031728373,-0.018386799492504033,0.08883728427027551
OMG,-0.025941241409262978,0.01435485145632078,0.005078231910541961,0.06619180055562038,0.1113441152384725,-0.010966614571257761,-0.020516054095959503,-0.033148637349912316,-0.013478277740318368,0.0518724774015299,-0.05391899516612388,0.10351690030297983,0.039791964567334644,-0.0674854623559412
CXCL3,-0.01938332096133,-0.08077191200218667,0.009921266025688038,-0.015196019361948717,-0.05942355294711371,0.10553784227565202,0.016834204795124288,-0.010172363056047391,-0.012043797906413778,-0.03412097974839347,,-0.032493954307862,0.0019399519116120247,0.0226533190509841
CXCL10,-0.03542002908021458,0.05919700603389556,-0.018481996022204707,0.02002807777971362,,-0.014004380728352315,0.10466368986852308,-0.015452564014688584,-0.019139052386750136,-0.013237507714089521,-0.019508482674116777,0.026053594606312257,0.014414077356758096,0.020786158260713332
RSPO3,,,-0.02620047707806362,,0.042189231793515226,-0.0030980355548404837,0.015397840412753166,0.09136778979542903,-0.012585536690735616,,,-0.013964010056757334,0.008842788316885751,-0.06573689391404179
CORT,0.03436814839876502,-0.02681151190910332,0.03486438219961848,0.01128094591968882,0.03444079586712351,0.016840804357705227,0.009824110667534846,-0.014956123026468683,-0.023364661849234854,,,-0.02173952562653314,,
NCAN,0.0025770346446848252,0.02300832694386469,0.0523668692099803,0.10446578162990329,0.061576458565134204,-0.10143793295026617,0.06478793886102305,-0.0009987842761167462,0.038822800409754984,0.025696155983793236,-0.08458553617255823,0.11597532109300483,-0.02440887269031313,0.010205195695111975
PRG4,,-0.0365914186751435,0.007782270975578279,,-0.047793304165966374,-0.018488762302017743,-0.0016461852234703781,,-0.014714572857431388,,,-0.0005855551743528853,0.02648419951673089,0.10675606306640024
ZG16B,,,-0.03554381886796496,-0.02060283525824178,,0.03420736039627661,0.023112439893232865,,,,,,0.035937896817441105,0.17071288296232706
TGM2,0.05627412273252457,0.03357958838988676,-0.029625765380437236,0.013286216757852723,-0.019882249664152987,0.012536947877478555,-0.0002604919221426101,-0.013796285346540153,-0.021367958822482293,0.01891497957199677,0.12147564879601741,0.039251783766005334,0.02828630960061824,0.04254107131938005
VEGFC,-0.024069601298093508,0.03821301535840236,-0.05823497151004947,-0.0015470796655944103,-0.02318620815273849,0.019433040608990815,0.028152833283794632,-0.008327848183521462,-0.015016808121871757,-0.04068852197581414,0.08158616224839951,-0.02453598900193178,-0.008737559489733534,0.03680709234586652
WNT6,,0.07287738024762455,-0.045575024322628846,0.015575878353678737,0.02934773904000002,0.019032541297796208,0.13732227680979242,,-0.013105911826115214,-0.020650820372767654,,0.06072897377100618,0.12864074404667386,0.03310112095867382
NRG4,,-0.024815169566905288,0.007132940315735514,,0.18212630106737082,0.016268470178578492,-0.024950548922682475,-0.015974797586855095,-0.017518858222726925,,-0.03490644989593776,,0.08710939647578153,-0.028573955309940335
PMCH,,,-0.03824545844485956,,,-0.031178255292691293,,,,,,-0.019378599165760395,0.01101457954158819,0.08832366251096346
COL9A1,0.0032051671144663904,0.02491814711811391,-0.02045222974226249,-0.005330476633489372,0.04978990707003414,-0.023501351498455038,0.009643369801790707,0.035417244841565845,-0.019962322461398965,-0.050002911491787705,-0.010730795584211665,0.0616204720517222,0.02184727731395246,0.08563778403285617
GDF11,0.045806257696107966,0.07603809757475503,0.06183256794087025,-0.028007759312202663,0.04938546648726316,0.0003728648634158668,0.05092178650054349,0.006529390350857519,0.026941211641535016,0.003969237715604904,-0.06172197247596319,-0.0331552447699749,0.027037716831929383,0.01651648909926037
RAET1E,,,,,,,,,,,,,0.018096774588390936,
IL24,,,,,,,,,,,,-0.014448216573237428,,0.014756567046186058
SORBS1,0.029185395109323276,0.0016652012919187527,0.03457934218217937,0.05730471219136142,0.02779210232056909,-0.04706190923248191,-0.04423824553716894,-0.06796002043788217,0.037287070632820406,-0.01291255970491614,0.023447019810006693,0.046660611896815085,-0.0028945476411604953,-0.05078653123752108
DLL1,0.024667965502235215,-0.01164817790754041,-0.023525506801682212,-0.004216205733023105,-0.006434541105352393,-0.020524844385727947,0.061654537671841404,-0.0202945829577331,0.08105480774669394,0.1210904266116143,-0.13495365320940894,0.03569442028752562,0.02060798771668307,0.11462455727374649
TLN1,0.05263505957984365,-0.01003080731489079,0.028986061604266113,0.01551063338726573,-0.06902198791032682,-0.02937239289434171,0.02645946254388897,-0.00863322229554891,-0.020127252406948327,-0.0006002763396528532,0.02022221857665292,0.004000028263673861,0.02748682170043799,0.06084803398233825
COL2A1,0.018973997601008746,-0.02539996017641552,-0.024985236288404482,,,,0.0319772405257345,,-0.012226927503048548,,,0.009986349977156082,-0.011730942538937321,-0.006498759332603841
SHH,,,,,,0.10310222608677486,-0.02080925046624448,0.01489513378319588,-0.01166929030877797,-0.07609256535004706,,-0.040553236413632135,0.044204232044696715,0.030840774434911934
PON2,-0.0003411691733713814,0.04895576216821477,0.026748774050015463,-0.02527000126654316,0.10804993912880724,-0.08396088601580398,0.0800834968451318,-0.022824258732441406,-0.00674854078113336,-0.06707501620637661,0.027510750789942504,0.08054190042356621,0.05716806855528209,0.09927634479640589
ICAM5,,-0.014100697883611603,-0.02867317943339773,0.01767414127737031,0.06423727891972082,-0.019654079821472693,-0.009870309271726687,-0.03394185824331903,-0.022789493633299775,,,-0.02990680804627607,0.01661912464118997,-0.008006441880485667
HPX,-0.02567946586039929,-0.025422604932193962,-0.0023116795688165517,,0.007723658506535516,0.01586953487658064,0.014015918612798342,-0.009508760221662844,-0.02966100698878804,-0.026407444782964765,0.10481042880908592,0.09449581601299911,0.04889513545529506,0.011820511850443964
SFRP2,,-0.03306927843484338,0.008010112641277451,,,0.11130491844686473,-0.021126144011995075,-0.0012644208852234816,0.035786361061747256,0.05406535316824004,,0.041127019699152445,0.04284906487011375,0.08754299601717194
CFC1,,,,,,,,,,,,,,-0.025283454550805662
CD70,,,0.01021190935532112,,,0.09982141222756943,,,,,-0.037883632725511526,0.000700180615447859,0.017128381885731465,-0.028832428713180664
HP,-0.0015743733586480201,0.07556986641996845,-0.05737469004003472,,0.040008566383247395,-0.038937796430303505,-7.533633217320806e-05,0.09902105208083492,-0.023396767124472195,0.07798938416881351,0.039638765518250324,0.03996682192875258,0.028545398353454304,-0.05136225295771863
CXCL2,-0.008224238214636376,0.03535933851156646,-0.010698328396265418,-0.021402247762664244,0.01634156836819027,0.0943072449614036,0.13575833512427177,-0.013214848092550028,-0.023096330170713848,-0.0033286073070934587,-0.0343884595083679,-0.05089245374849242,0.04955902005021162,0.04329029180024547
NPPB,,,-0.014121897332417055,,-0.005541320938353221,0.10104686099129463,,,0.007039198639101244,,,0.007539825456342931,0.006388902317923856,
CCK,-0.030977728888226565,-0.041214367550244185,0.05151841573445166,-0.02434730840123991,-0.04121286472478903,0.008109975392860926,-0.05530801531605107,0.012867514406860193,-0.0695651248836291,,,0.011454289774430549,0.13317468901889054,-0.12116215638945398
SEMA6A,0.0395519992593889,0.05367419786494979,-0.009284596614881038,0.02354168226874522,0.0768000558336432,-0.07873115326987658,0.055660820438061996,-0.03339123771095023,0.04267136193444284,0.06109480970872826,0.015373286603618076,0.08020022863915167,-0.00840859909953192,0.07832432649202951
IRAK4,-0.03733615940483099,0.12157314389667342,-0.049231324619275776,-0.014982337523783447,-0.03418602431089961,-0.014279874281385158,-0.005823309207323595,-0.016715923744787017,-0.003816763486974369,-0.020404366911031903,0.00639117515595796,0.09696486734865468,0.07609412194760419,0.05205156000936463
GSTP1,-0.0014164232084869582,0.09529807734011128,0.05029822881687667,-0.00010858809214937492,0.022773609469940184,-0.04225061870106578,0.06676711590624909,0.001023931332096972,0.023008322500950414,-0.09951510397595684,0.050910730104292846,0.09484056927974112,0.011365654079014477,0.06405614770654386
VCAM1,-0.005728378259118805,0.033287588616197614,-0.011637680456346368,0.015562085084306815,-0.0035643718306260456,0.01768281192305201,0.049711774350537564,-0.0008617613842949512,0.04721419553603435,-0.006464088427402623,-0.02550902584659769,-0.01585696523346235,0.12331787387538305,0.006537574518538125
NXPH3,0.011166337452559173,0.03869533720681935,0.0008009546258363012,0.019768904120044856,0.06905832977859004,0.0129344577119072,0.07882040732968985,-0.0015179706120185862,-0.008345820252335455,-0.015483593008261914,-0.012109690214408919,0.02465676753703325,0.007148952499880543,0.043702528137005994
MTMR4,-0.04162909122317604,-0.04987140754819893,0.03210746574028624,-0.0010855707801803146,0.0816031512743833,0.03892167867176807,0.0015601488610059906,0.05848563435799048,0.03523706260825496,-0.007420955370386946,0.06185423666902021,-0.00427350576374334,0.04834152831609478,0.011059864466291851
LAMC2,,-0.022661131658185427,-0.036481822592227944,,,0.07540922580031122,,,,,-0.03490647082252176,0.03163884545588294,0.032463853236271115,-0.0275156561693888
IL10,0.013152067899365785,-0.03595267561283259,-0.0016517747233668015,0.008818046752821364,0.0292916041471458,-0.002316703662812758,0.04571282521816491,,-0.01344217919620857,0.0759747069127851,0.019033712847054022,-0.033809293658079304,0.1035518933551097,0.11377532644816273
SEMA4D,0.008561273165061016,0.018139254842261993,-0.041991860413155925,-0.019497800454980226,0.13416410914939397,-0.015977830585491022,-0.0692097253036881,0.05359255851037166,-0.007379647985670408,0.051915394213908776,-0.023551281491999643,0.0533198358143297,0.08399727432954017,0.014419448114949704
TRH,0.08445522981402297,0.007950847646598551,-0.014562406271836706,,-0.033012153529840764,0.04749848629665925,-0.05483993615447108,,0.0018361763396263315,-0.033784400534680986,,-0.01636362071166808,-0.028584230607288992,0.07545076130471144
