,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
CKLF,0.05196616477665367,0.001223780220837758,0.03422077617328948,-0.10245895539834304,0.0586655130528645,0.08115581897364314,-0.05671960174843288,-0.272345597174605,-0.4504404228144993,-0.04917341834244268,-0.07883571221317491,-0.3101905177630607,-0.3108555838544343,0.06602282559334562,0.0902647692565083,0.07707906494598699,0.11179439581751267,-0.0052237119837588025,-0.0841109078166571,0.006147289281042307,-0.08906664168926971,-0.09628837843013165,0.0966884602297281,-0.135935578127222,0.07733581593598765
CD24,-0.06438527189444389,-0.0749157261636184,0.018759715673399947,-0.1181503969793742,0.10542719124771043,-0.07165412768294566,0.04691711805851453,-0.12668397529356173,-0.045024964517341635,0.10620481973372085,-0.29841375256615615,-0.1352080994308796,-0.016314889715100665,0.08799412741247557,0.06679055613572825,-0.013612321776624787,-0.08494001830121806,-0.06697323375377827,-0.13587233234089643,-0.016495490048812757,-0.02935530423401155,0.09410705549727069,0.07914949243102815,0.02745703507992891,0.05387404049386795
HSP90AA1,-0.006368370942689934,0.1709993357788559,0.0026404052341183607,-0.04135170018321545,-0.13143203184356173,-0.004104759742796254,0.33065179889152,0.4302457284309794,0.5031694925192415,-0.04675311965946618,0.034778624793102224,0.6918622160229368,0.5691270030497816,-0.006712322268614322,0.021468467680161023,0.010100638261442856,0.10942816663961842,0.025558302593932603,0.13846401426980354,0.003590319874137629,0.03825154564842553,0.24077506675301677,-0.02107298655784248,0.33859704107537303,0.17463153838212173
BMP4,-0.013647710682933328,0.12515271637847342,-0.00910293697520684,-0.016191210056384377,0.03617175376249208,-0.014435197784610675,-0.03975294232981056,-0.2421692344200996,0.10173030775354538,0.02208083453111389,-0.006879029597756555,0.0780479781256482,0.09807040753420786,-0.00021558042312429062,0.1196265033303589,-0.008618863513978055,-0.0424681565686107,-0.002671654025716765,0.0015118767770393258,0.06448228425334525,-0.06195837254799004,,-0.010429579982111989,-0.018165106423647794,
SCGB3A1,,,-0.007648283901980374,,-0.04266517260257517,,-0.023029645249841937,-0.013778319680944144,,,-0.03246322573854821,-0.057238865181011796,0.08888812496237701,0.0012199235713070441,0.08947046463725009,-0.027482942004478338,,0.016781993892936213,-0.02418099390227992,,0.006496459746273775,,0.07487118224272402,0.03618147834216547,
IGFBP4,0.007454774762328291,-0.030633665891769416,-0.09057278885345815,-0.046048106585236136,0.0755808888397965,-0.1201799908451002,-0.07441221303105647,-0.26654869936183895,-0.2959114262129502,-0.15670554874983483,0.00818624834112743,-0.29035338114439596,-0.12975170845485326,0.014404204031187714,0.007154716404517259,0.03630765115386025,-0.040804182371041144,0.05130431039315948,0.07693293203487798,0.10451318243769671,-0.1328874947122767,-0.076528023196815,0.001816750667084995,0.09647111253240098,-0.0032335301097713336
RSPO4,,-0.07033889097643789,,0.016863045866979426,,0.007510387317453377,-0.06595869018600561,,,0.004423166216252698,0.0046470228465867285,,-0.05244274084214583,,,-0.044856993275189785,,,,,-0.010793963214498017,,-0.062455391323652146,-0.09062932145661705,
LEFTY2,-0.038046836397226134,-0.01326950448720376,0.009022996398013938,0.07452020391111686,0.014677188073618022,-0.01782155647211911,-0.0303608060308343,-0.14296657825610193,-0.2915573523447598,-0.08427102034838363,-0.018851678706273686,-0.06182166130949343,0.022624938192753394,0.009335081399165428,-0.05693634078389544,,-0.03091971746615415,-0.007249991264809442,0.053721384234109715,0.08583250028580156,0.06243501777169725,0.056095835080031846,-0.02877801054194572,0.05423328627462564,
PF4,,,-0.009659653843380871,-0.026213681404445008,,-0.03390806244289473,,,,,,,,,,,,,-0.043675110305606724,,,,0.07713125896813317,-9.668969444286447e-05,
ANGPTL2,-0.0009006429468037266,-0.03854837432882683,-0.007941336961385584,-0.06340975701440635,0.01864581626252771,0.015249710730399246,-0.06725581377624312,-0.414883397450258,-0.3410185099471661,-0.0033084203062248734,-0.0707153160187189,-0.3583763702276136,-0.4400441947887208,0.02111138318478697,-0.09245937254387081,-0.0035734474419014117,-0.010654177686475873,0.038858157452122476,-0.0611231414457831,-0.0559021255476233,-0.04647682955073714,-0.10309433152759934,0.08114450980765302,0.06864097454813019,0.04916491319512909
