,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
CKLF,0.03615643572509884,-0.01068733725926238,0.020378101068087996,0.026839769106879362,0.005301230338290243,-0.0280962708224119,0.056649905024304927,0.060094661016812746,0.14161808552775276,0.028390336228561807,0.05151164088182273,-0.07141388645778066,0.07643991361312112,0.03929918528609212,0.06679424086618627,-0.02652936278401941,0.06774891689367671,0.04692051163480403,0.12476460274342756,0.12821669387539766,-0.020571022299964065,0.0409053601289455,0.06401464084807293,0.05916231443379586,0.024620034527963273
APELA,,,,,,,,,,,,,0.09231570634370927,,,,,,,,,,,,
CD24,-0.007964647423875306,-0.061093369364324454,0.06540229638026851,0.07010145047251387,-0.0006246662609520558,0.00031393324745258687,-0.003966352570600886,0.06334726038944108,0.09530807264832987,0.003212824731618231,0.07528620818630936,-0.08033098586116381,-0.006606258411788732,0.050108244405962864,-0.001392069925972107,0.04959229365459655,0.06757829922453398,0.0665833194972904,0.06975419442022993,0.09607543426556109,-0.029909943326622196,0.03430585671330117,0.07549771937066954,0.007684358549707126,-0.06828811501485584
HSP90AA1,-0.09540959391996004,-0.017571904900849436,-0.07647487958155222,0.0039939095974604,-0.060103865043379695,0.030521376213721755,-0.11710432594067627,-0.10041251736825874,-0.15748628119976818,-0.022150174563192435,0.00048764736811107706,0.15615908564577122,-0.006832889567462624,-0.08281849830653554,-0.005813450340032633,-0.08655032768923013,-0.08630216973602879,-0.15793556191694053,-0.22249163584511591,-0.3690769470782134,-0.0886636500298996,-0.10637456185947342,-0.11591771178191534,-0.07399910975281067,0.01728329381188032
BMP4,-0.03473039481120992,0.007273521303114002,0.03977710982271745,-0.030943535511080245,-0.005475648169748934,0.020840149546738008,0.02330365983063874,0.13150584828243614,-0.053237982669089946,-0.038993493482444484,-0.037193146483352015,-0.032825690464788594,-0.0010789998919725618,-0.04081176134113047,0.09277423577668654,-0.052329702582622546,0.1101115619276166,0.00591087284768274,0.09702822108929754,0.0756484435080227,0.025993183828774837,-0.02059093390987144,0.0521017074238858,0.015484353927450727,
SCGB3A1,,,-0.039690853675363034,,0.005340171864716941,,-0.038319049501198264,0.010135895694130573,,,-0.04291343815162532,-0.047993957758478215,-0.01562460289148363,0.10927947115507591,0.049395382469015245,-0.045558960743865395,-0.045181061941740125,,0.03285675182688337,0.04705775713643966,,-0.020093369260229334,0.026749432411140847,0.025316650311172164,
IGFBP4,0.04967656397879839,-0.0037408201423630217,0.08469792930231987,0.014546269002810416,0.007534966231248404,-0.07553179377095846,0.03761813776376341,0.08031791135231325,0.17604912357632663,0.0774331888619616,-0.033819064973672985,-0.0022039583559985555,0.0006581539373602035,0.026309509812603438,0.029053794672203686,0.07461136054390499,-0.02890080109242107,0.11246162803218343,-0.0015974768362217997,-0.0906576490735216,0.07392525972695832,0.0011354948996734546,-0.010169895310840097,0.08815528641650822,-0.05708692631265503
RSPO4,,-0.032360463511002205,,0.05484314908724971,,7.822958423425032e-05,0.02468865486882498,,,0.004483232066755194,-0.026064467689365985,,,0.031514914784882025,,,0.1672411706145572,,,,,0.003561514917965607,0.08930968048920537,0.05904861370602833,
LEFTY2,-0.033413172944575825,-0.00688395236841019,0.025553983956289907,0.018933049769654868,0.09204185448870442,0.02774722785425522,0.0504276010192018,0.10093985799156538,0.1981109923498925,0.0688490794063908,-0.015856324311583236,-0.040215526480142316,0.028969996281300047,-0.027664352734098556,-0.026348936285103285,0.14965092257281798,,0.06716031836974479,0.05887824541099668,0.03265974814873566,0.11997596497289843,0.05308850116321899,0.023916610584996258,-0.002243982657288933,
PF4,,,-0.03438529968693592,-0.02655263650752227,,-0.033601573225036374,,,,,,,,,,,,,,-0.01331332559355567,,,-0.03040115187727011,-0.0007834747898318183,
