,UKF259,UKF296,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
APOD,0.05659802858609105,0.10932251669267694,-0.05291017546360694,0.011076570357913079,0.035455902474640796,-0.05224222121851606,0.028893910551372703
B2M,0.045208834188745266,0.046527858912282845,0.0022404126081710346,0.11445616746020064,0.0267427842655399,-0.0007070591106761641,-0.006397657123223297
OMG,0.067313447353229,0.024111473758763005,0.10463733482514193,-0.044454438176880634,0.018700446253442787,0.039758586036639704,-0.04381683800410799
CXCL3,0.00975619215311578,-0.010923419660880056,-0.00027668044844805583,0.027132418320995427,-0.039031979128946945,0.05498111440815335,0.032436022094043566
CXCL10,-0.0065720044354381,-0.01659347396853966,-0.05106539079181603,-0.0023779649175757187,-0.00450905856724628,-0.003801802071785683,0.040105220045656156
RSPO3,-0.018821509024871366,-0.0055355966140734625,,0.015119180176576052,0.025947057016005068,,-0.015054210679643024
CORT,0.028828951860247556,0.06419716689908425,,-0.024035235536566463,0.07647690715280031,,0.0011817489718198883
NCAN,0.0004053764099461199,0.037084242687570594,0.07242655446165094,0.024273798947157643,0.046920192373133725,-0.0009381789748465977,-0.06399233597506644
PRG4,-0.018576017730396847,,,-0.02308695129023392,0.006069393091810839,,0.024156026737625808
ZG16B,-0.021559740418284144,,,,,,
TGM2,0.013165452870883729,0.0694243729631812,0.02824413235938584,0.05581205562260597,-0.0168494348006196,0.004499226202506829,0.1000284114072239
VEGFC,-0.015689601006309194,-0.021060217050581444,-0.04256562155644784,0.0530234265962532,-0.035070486745894844,-0.03284802863502005,0.13322373556583764
WNT6,-0.002413242106697748,,0.06855702326627473,0.009726897100528972,0.042400812186525264,,0.004643918512472792
NRG4,-0.022607863354042915,-0.029006289467567028,,,,-0.02637649253723667,-0.017665520133347698
PMCH,0.016869151881956,,,0.05974302969530965,0.2154350747591775,,-0.02154462545711608
COL9A1,0.0004452274459285123,-0.021629718592250692,-0.04044857394762112,-0.023288307361137156,0.02917590120003262,-0.008557134151799001,-0.01648092031402605
GDF11,0.024417432525172023,0.011850499902170917,-0.04781267045306047,0.014723536796335413,-0.03560107786279681,-0.03826329316235865,0.0526121394084024
IL24,,,,-0.015973958879638362,-0.01645979886444813,,
SORBS1,0.040435439335197304,-0.04615278848323698,0.07759173029759676,0.00010015508583597168,0.052015108776369876,0.005654037800820166,0.057006029370136456
DLL1,-0.006216044291750274,-0.005025195870214135,0.14048963408956974,0.006591746619334589,0.003934195383627396,-0.012862890643780739,-0.01724120355930607
TLN1,0.034920337404563496,0.019281432344533778,0.045264724573953474,0.03891751663281246,-0.018029616955333873,0.04048614071116122,-0.040517404866409326
COL2A1,,,,0.0401248258347526,-0.04289927101652486,,-0.008923271570947399
SHH,-0.01930353234515439,-0.011723844730624417,-0.06009637941491715,-0.025195936119384827,0.00707144387009704,0.05395171017774557,0.00465242004441627
PON2,0.016317154229128036,-0.0017738635471624882,0.10883611654662396,0.07607775079749683,0.09085385357106836,0.009083248498674921,-0.002081659285941271
