,UKF248,UKF269,ZH1007nec,ZH8812bulk,ZH916T1,ZH916bulk
BSG,-0.07611419351379464,0.04056400474052061,0.02578629105437705,0.04854138491711365,-0.007330127224920162,0.0892878980416848
ADAMTS3,-0.01946225376477093,0.10866889902451023,0.090403212597366,-0.03813347646388826,-0.018906375657640587,0.05423404945244722
CD34,-0.04377297550582581,0.04093486899861843,0.11082263846877731,-0.017383337850251823,-0.0031448632767326224,0.08119032840687435
CCL23,,-0.019403928128100857,,,,
PLAT,-0.04985600714315456,0.0524653454737219,0.11340714294919851,-0.004488255327235957,0.05074254353836707,0.08942299384027123
LTA,,,,,-0.039126715021994156,
CKLF,-0.07246742630057854,0.02673216102711063,0.06785520984066291,0.03230729714288074,0.028556883003539594,0.015613088287403893
CD24,0.009223547296191703,-0.006286394677143292,0.022972575819004182,0.06435812975704835,0.039910692096774204,-0.002594168268368299
HSP90AA1,0.06821207709592374,-0.06552778400142494,-0.03427912462064383,0.010927935614525984,-0.06526871295406614,-0.010687287737356008
BMP4,-0.026174042567994132,0.020157037807745918,-0.03687667931636658,-0.03217547070204905,0.05873556252760095,-0.02074431921352915
SCGB3A1,-0.013758078922822981,,-0.04036426016332678,,-0.03517186445014424,0.07230842714445562
IGFBP4,-0.02291815133563692,0.07500193076978089,0.06052061680371639,-0.004616127804345115,-0.0005858673777142751,0.07380066730013093
RSPO4,,,,,0.0422299688030582,0.04872745056107043
LEFTY2,-0.01492291664093817,0.0720898120576116,0.024214032352998623,0.009656209159761753,0.13073963913691258,0.11522014748116366
PF4,-0.014271798387719678,,,,0.007771973145402664,-0.02057594873987775
ANGPTL2,0.0018899438930614911,-0.007317336723227297,-0.05123715418293998,-0.048100210219508374,0.04028447845690712,0.13875071276448822
LRIG2,-0.015973002254812445,0.06296946428996378,-0.0403762484249646,-0.06988957562417948,0.06700786391153012,0.0063127436333998525
ICOSLG,0.0414005777074253,0.07998007262515297,-0.015986391586220384,-0.00503942506475822,0.032618094275880506,0.06256909001284684
WIF1,-0.025679784695850447,-0.04099939460218158,,,,-0.011480674394082941
NPPC,-0.00460436919972819,-0.009518106563693193,-0.050426309059419375,-0.02334887679062743,,0.03607702234167862
LYZ,0.04501242756737677,0.10042310840118604,0.01631604671133917,-0.06150615821727656,-0.02528401532533557,0.008152540370080778
EREG,,,,,-0.02221487053399101,-0.02368901227030144
SPTAN1,-0.01387650008488259,-0.021680469912678225,-0.019481394876627808,-0.03520990649522607,-0.04251238854099204,-0.057432743355647756
LIPC,0.0018343561673366312,0.016971633138303487,0.09130892209449441,0.005602222551047001,-0.004035643674132537,-0.03208696040483032
COL8A1,0.051180990766908886,0.010880780758155933,0.07567702364722807,0.05633787766733458,0.1285161845664297,0.104165031190336
GSTM2,-0.013990847841562324,0.05748264520019551,0.07872340812709624,-0.04125520035245916,0.06631425466905072,0.0026212949246882393
IL4,,,-0.03475246468604154,,,
SPX,-0.0031910455059155837,-0.02343481858860149,,-0.03615612638299333,-0.013850233713246616,-0.048764989588201815
MFGE8,-0.06956096968138982,0.0028890553244664136,0.07520220321036152,-0.002771518554802251,0.006861780396640003,0.0861819903586272
TGFA,0.030741755409522162,-0.04914432102797618,-0.10598430562299826,0.032061448481344984,0.0903864815152194,0.012752200484028135
SLIT2,-0.03755319633337771,-0.05666544446983262,0.040711240198966034,-0.006397908380328994,0.013213408977224467,0.041167418621562916
PLTP,0.012419433941735418,0.053489313428420816,0.0026082004104503115,0.09906394065242394,-0.02218323347701032,-0.03268125448675939
APOD,-0.05944079528954674,0.004178212997363651,-0.03647634366598959,-0.10255402075707115,-0.13276981039947275,-0.011034932087433136
B2M,0.018961287336231484,0.0708268435623616,0.1397066281682034,-0.015520012414408809,-0.00442635468006919,0.057455612143867636
OMG,-0.014025126482932148,0.00012270570768702855,-0.040949028163342595,-0.06363513259250515,0.08564931202731318,-0.05562338061608001
CXCL3,0.08091812656605452,0.04837210913865724,-0.007667228890669004,-0.0173312378691889,-0.04792266393162164,0.05915594992496597
CXCL10,-0.05886261389277445,0.09052408598294205,0.13472042202652715,-0.023348874251821482,-0.01487738889507277,-0.026291385673995797
RSPO3,-0.018688602114401074,-0.028002393633514422,,,-0.012013406212069888,-0.05222165157740524
CORT,-0.006258819868075513,-0.04010371899921279,,,,
NCAN,-0.06963338833689388,-0.026891528382663947,0.0986173508961466,0.04472092466558271,-0.04825876950588275,-0.06100959448013098
PRG4,-0.020690509703278247,-0.007939572785560439,,,-0.042115443604815624,-0.028638917434953347
ZG16B,-0.0008969385550221148,-0.02619006458182858,,,0.05121823822706246,-0.017553394540543783
TGM2,-0.024924843454520177,0.05522584330929157,0.005143720631269134,-0.03378506616152006,-0.06173282957037678,0.09257248395473842
VEGFC,0.029967066068370546,0.050629930402883265,-0.03939435321928008,-0.02286018833618539,-0.00832768072763462,0.008801338986554472
WNT6,-0.02219835841197744,0.2240031356701746,-0.044068488166427014,,0.05028183905683946,-0.018137922958760454
NRG4,-0.01267167496731286,0.17169947224956997,,-0.018356401041564382,-0.02788409704789093,0.00907790626145187
PMCH,0.03159047383082757,,,,0.027278316142814358,-0.03493168122914123
