,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
GRN,0.002723496905953379,0.08635054061375687,0.224359198386803,0.0455195906373354,0.10278032119978145,-0.03635714946014273,0.03566737446393413,0.05681830931638609,0.12734535138396935,-0.018414675986978823,0.0496176065701352,0.006902730891336398,0.1736924675133224,0.05168136861983816,0.3256442088635942,0.24456585846742585,0.09198043883396896,0.08643586547008879,0.1785380387788398,0.06027452705181456,0.32398713070866036,0.21230360172427998,0.023673967342275625
MIA,-0.020654829909525833,0.04979877230949123,-0.028093529601415625,-0.014676805591428426,-0.024632584044798546,-0.013587177224314694,0.022480050625959726,0.03192921056667257,0.0713662868297836,0.1091182680587731,0.04211765788986031,0.04457939788697354,0.1414435230447418,-0.10598313399509336,0.08783829312574212,0.11178005946587093,0.09399093121052975,0.10539586910137995,0.1751106015624889,0.0868558258267502,-0.04062671026584959,0.10537286274020784,
COL4A4,-0.030433292612000572,-0.00650991049813885,-0.01135394723567028,-0.0246820155690995,-0.009375062941358753,-0.014151553322569042,-0.017276949181511448,0.019730064322547862,0.0018278730754466826,-0.04856471738010832,,0.011643345761304477,,,0.007444148319675166,0.03849141930832654,0.0359329557350777,0.03892772655715448,-0.06775678661179446,0.05997813263948822,0.0934061626388824,0.0019384540075517416,
TAC1,0.010314568623959174,-0.04120728671581956,-0.054292290268703615,0.04185979436010207,0.06389168998867008,-0.023741236879893213,0.009496987805301057,-0.0334740683059841,-0.13086900941757604,-0.23074235449425473,,0.03256930751259615,,,,,,,,-0.10329265588920047,0.03451797786319518,-0.018786295792109768,0.05350724194655445
RARRES2,-0.0027426370143031472,-0.010967974524300688,-0.07901224574603931,-0.0015947348679065008,-0.11302528675210452,-0.04991286665082826,-0.020665086614129184,-0.0025338616298992483,0.14538620660138885,-0.31850469717268004,0.11293847923003494,-0.050985428199777534,-0.022586399866799705,-0.04440799984915402,-0.17052584595932652,0.03049684685886546,0.038524631388156434,0.143231003466802,-0.047009827249576405,0.04582393170160521,-0.02778469420908299,-0.2209922562779439,-0.04530188769208762
FGF7,0.024212906562632256,-0.012374130162997583,,-0.018626930066911972,-0.01036248866708228,-0.03386040682382973,-0.01272783138816725,0.012745998273924095,0.020532317271865896,0.04513108963316751,0.046417212532556144,0.036273542420351426,0.06212652621246288,-0.005478241796250548,-0.0215798502136975,0.11323442787298897,0.000883725057571286,0.07483711912099748,0.006198270963803877,0.049995865233078564,-0.03168532664616383,0.0898901009321329,0.05504018817016493
EFNA2,,,,,,,,,,,,,,,,,,0.00920323775685967,,,,,
HBEGF,0.026719564571425374,0.024175967363570083,0.2315476212222536,-0.007636550935050008,-0.009096781366844267,0.014221333527754634,-0.006107272526097947,0.08225119630167005,0.13727250754924322,0.23758496413260943,0.20023947758141927,-0.022960081247563616,0.20706071681601707,0.10016117768953488,0.14146967203915864,0.2092489652211652,0.04428732677581635,0.19150618757217835,0.04307129204447836,0.058832631863515644,0.2080659715069547,0.18781894430123405,-0.06384833895711649
CSF3,,0.02603546009758838,,,-0.036468456877935276,0.04193670161384495,-0.01139125047450781,,0.12711864796753508,,0.05769546710102832,,,,,,0.03064820655379508,0.11852616117715975,,0.01886649119411637,-0.025473924653472306,-0.03617888600233267,
PI3,,0.04737025446427329,-0.005134960502269859,,-0.015496155241209368,-0.013069796903779032,-0.027381420722474046,,0.11926791971056709,,,,,-0.02553278082795819,,,-0.031714163635350616,0.031147956580342032,0.08886824926608654,0.05925718596609552,-0.14091646717697517,-0.12342394237951744,
