,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
QDPR,-0.0722097696118571,-0.016808424422546098,0.035359033851431,-0.010480239147483299,0.047854939267249125,0.05353254486357517,0.06839756885861438,0.0022083992539196624,0.004678827039612831,0.015320285279733241,-0.019545231223396662,0.11675100363714852
POMC,-0.001457194240521619,0.022690447836222424,,0.03837158947109288,0.05725328745292837,0.020013213045353254,-0.006084373743025338,-0.03223540253390585,0.24866409272243878,0.03397988381325236,-0.02274437461785616,-0.023116627072720827
CCL18,-0.01574773652243809,,,,,,,0.09932377737514228,-0.00841026629211636,,0.012372036723657847,
CCL17,,,,-0.0023830290715437462,,,-0.021453277524715857,-0.01292060890145375,-0.026920455786466395,0.07258865537985215,,
VEGFD,-0.01644261697369112,0.03694283616499001,,0.0357616856797123,-0.015506872953334102,,0.0018931277070285341,,0.06900338727628602,-0.023087373242959158,,
TNFSF13,0.024740730475723435,,,0.008759055704509779,,0.004373297270115014,,-0.024792707776658623,-0.029261615058787663,-0.023474376703824663,-0.015612750176644083,0.023034268982513345
WNT5A,0.08891298310287113,-0.01441334265842863,0.03259330460114809,-0.013670208421841632,-0.04014456052231956,-0.007178014262417883,-0.009903396506404592,-0.030590746995989158,0.030472181364432027,0.0795091393302862,0.007980209946802678,-0.04128234823059698
CXCL8,0.06479538825578446,0.01136990200588154,-0.09257745100996999,0.04134744964255567,-0.03331736759136591,-0.024338395122856946,0.013637791742886712,-0.02827722251266905,-0.08891465582819608,0.0019107690698157403,0.05070533477244058,-0.05140848382063236
GRN,0.07101322414100057,0.0005557903972478993,0.02414984190719582,-0.02731677142175974,0.03211574626257614,0.01647724451942651,-0.02495382209432677,-0.005690135958493836,0.006270521868907515,0.015678590659002123,-0.07915523823855651,-0.04760425978916206
MIA,-0.009460183010448807,-0.019489339041949192,-0.02620456314971497,-0.005064041603517843,-0.03158094711683123,0.053804765754256155,-0.015273751269445055,0.1289107071859224,0.04606910422012827,0.003942565993425211,-0.05168967312339507,-0.05577340955523759
COL4A4,-0.00039296482091716816,0.03942060699296021,-0.029282853840152223,0.015400058892710388,0.009415880429422964,-0.016279763494336796,0.014027864692369482,0.09864190671154535,-0.029859358790223008,0.10701757939407093,-0.028020450466145555,-0.012084630799177555
TAC1,-0.002126995382757531,0.021947759114781865,0.013194926936438124,-0.014764758469474807,0.03235870310958288,0.028076910170171804,0.09634290270469195,,,,-0.02398757752640654,0.06780628883482949
RARRES2,0.045748106031792524,0.0023140338207363036,0.08362338215619988,0.031023170831044153,0.007015123382197476,-0.013891240783077057,0.0525628900724704,0.016046093699102492,-0.037243669172065404,0.02439394440150387,0.02655002893265053,-0.0939886235136075
FGF7,,0.015446966635025717,0.018728962211320265,-0.0023564113978464013,0.04296072228171563,0.06734460984883171,-0.038370294225014395,-0.0030177195035892804,0.018353195024341167,0.04414556209832669,0.07091772274730739,0.03320348097738165
EFNA2,,,,,,,,,-0.017724266647640985,,,
HBEGF,0.12423088789359393,-0.009134440623577931,0.04971237980232916,-0.012867618656558442,0.006679125752475286,0.03442154840939217,-0.10323671879802147,0.013988628207192974,-0.009980130567133108,-0.013349590139608087,-0.08643924197724694,-0.09879751687341781
CSF3,,,0.014204524823012833,0.030474475531476513,-0.03760720170263241,,,0.031025729148160364,-0.06256632360448876,,0.01851736219126907,-0.04165259862924882
PI3,0.09999894333572716,,-0.0842427485646564,-0.038979053873750454,-0.032056897338307785,,,-0.03355708135246523,-0.07468230648393107,0.0635623790168255,-0.02740316526580199,-0.11005134077639708
PCSK1N,-0.04250664858922013,0.008521384346024799,0.05370614445372716,-0.005566263559950735,0.010080122484225301,-0.02337885281004333,-0.02232850957070832,0.030171768198567865,0.03693165716572379,-0.03510586593681992,0.003474778173644001,0.09580847915958342
NTS,,,,,0.08055137624450842,-0.0016797857734269805,-0.025586980564037215,-0.016166541076238952,-0.02159365549262664,,-0.04608700932900456,
SFRP1,0.028651150139622154,-0.025327871335247304,,0.04319908172873431,0.105895633984357,-0.0043301545919172775,-0.017060532769165762,0.053002408174949854,-0.04204474812102324,-0.017008255525305882,-0.06518746553823587,-0.031016729204835097
CXCL13,,0.01884396063386697,0.080800243855222,,-0.01753166661921202,,,-0.01359878774067011,-0.04553869367541443,,-0.02077833783364362,-0.03378591553244516
MICA,0.01678199054168904,-0.013793180280826574,-0.023769561098304758,0.006120047305638197,0.05206424714915145,0.011215026353705597,-0.029481800028239545,0.07260572341448882,0.02393049063109375,-0.021209634713205524,-0.008798080529672622,-0.009720246651239679
TG,-0.04373082822782228,0.08756360751298656,,0.00047664816942562027,-0.027959649264208814,-0.022939710772032135,0.029903640059405018,-0.017168258892670145,0.0035503012239356613,,-0.016404862621929025,0.08787780695657
ADA,0.04772621350752808,0.04094107337439351,-0.012333929741703902,0.02595547335539698,0.019279894550326276,0.10114218143674358,-0.01769049193509985,0.016622931972752924,0.0890138107450648,0.007239958564377547,-0.020189607563418026,0.0037928628797107345
LAMC3,0.08230829089425834,0.03728322249833774,0.003936017455960305,-0.004830732988011367,0.036753377632838646,0.05036379330958064,-0.06389948408265944,-0.02378555698692306,0.039966859995627976,-0.016497275858497758,0.024136829388540247,0.011201121988506334
CCL7,0.0393857976780718,,,-0.025169900109257657,-0.023243753116184002,,,0.070815089701237,,,,-0.06286231077688599
NGF,-0.021019715298961513,,,0.07108213481914333,0.032975802511777765,-0.021890636897467647,,0.018007082583847252,-0.017486022684847797,,-0.022425981869901128,-0.0472051784332088
TNFSF15,,,,-0.007434289068879949,0.14997445753976166,-0.026580032344785315,,0.0035919638921278977,,,-0.012377822413934526,0.0029627875438374535
HMGB1,-0.034214009726741865,0.030905627117179275,0.053637621431440095,-0.05116130786346762,0.05005864972932406,-0.009828699220216399,-0.004012829712212257,-0.006408719531547658,0.009686776640279395,0.047187782968399955,0.018667472123847385,0.06342207725910591
ITGB3BP,-0.014543327577233065,0.023029802785948773,0.00281010014402474,0.02374312061473936,-0.014772386011240568,0.02668169349989706,-0.007877982277730627,-0.007347558666592609,0.03240866821628181,-0.020867266445334168,-0.026710249444308377,-0.002322677884957438
AANAT,-0.02234989426612702,,,0.032016799974104115,-0.015506875167027607,,0.010320843213578831,-0.016988581875017887,0.09493657352623852,-0.027077438335097195,,-0.02543302542165204
RELN,0.0066651181645384135,0.004312308708691424,-0.0017435666416365668,-0.01760400650510669,0.14505424187847415,0.03520176659255783,0.025588752840496675,,,-0.03386200625158266,-0.014951068062602775,0.10773501244957216
IL15,-0.02111179027175542,-0.0019474418473092252,,0.023781747430378055,-0.015942233897987417,0.05882852440626529,0.020468003261231767,0.024306310901268568,-0.013841472744201147,0.04649337294684966,0.05950663811702277,-0.018513212646947247
UTS2,,,,,,,,-0.01446702081991381,,,,
BSG,0.011704233785835278,-0.007206509372797962,0.01099890050004557,0.04489678207524983,-0.08820484473323391,0.041173833942662406,-0.06459673146730785,0.10605720752128293,0.0071478598681246975,0.01522065544771086,-0.027773051183830687,-0.08134237766317656
ADAMTS3,0.03646585275167853,-0.018424184259426508,,0.016496387762996816,0.0384556423403866,0.13055084078664358,-0.045756752317637824,-0.0023080422382354836,0.09336996141185917,-0.028139328500171455,0.07805951765347441,0.02400383949806178
CD34,0.02696131870618647,-0.007369285931086084,0.008151356379105426,-0.021777193832053145,0.026829497795857894,0.033506799570891484,0.07378610466401364,-0.011451945768737736,0.08170331960534993,-0.04307152944596992,-0.022951590154664494,-0.0344117757657705
PLAT,0.06150420903653308,-0.002628084456643262,0.06103657276853773,-0.0011554963301342186,-0.02607017254469892,0.08910250561303507,-0.11200315120986912,0.05724650843204612,0.07968397622117881,0.05620609927669714,-0.031163429798143457,-0.017009107424711165
NTF3,,,,,,,,-0.004327637769455994,0.03664933477674204,,-0.016082712934376107,
LTA,,-0.015300315233823043,,-0.032259596038811095,,,-0.018719881373636168,,,,,
CKLF,-0.025354845115418145,0.0626095366437866,-0.0331741208715915,-0.01740497035996241,-0.00856124730705577,0.015251879612063762,0.029965435223498916,0.05998722885364404,0.043500598269409683,0.03830792074885921,0.01534355257071593,-0.0256489546812955
CD24,0.053787701391955545,0.03238922669856203,0.023472997382187128,0.014846136083243774,-0.013171664113248575,0.052854379723764944,0.09167229243285302,0.0050263127879891295,0.0024491668327461624,0.014230951937475627,-0.003133762654427933,0.025960459146579903
HSP90AA1,0.01733637497631346,0.01566939660071882,-0.025118496713430624,-0.01237970976799659,0.024621740629687573,0.01731698190821958,0.04266661304054744,-0.09675860902402264,-0.1334260254298292,0.09262476860830494,0.030331968713607608,0.07776970777207082
BMP4,0.04540314388431975,-0.01621923105241854,0.00328181927968477,-0.009477519873997342,0.022842761030187078,-0.017649679814256587,0.06877746671402507,0.002212008361656466,-0.005792584293238577,0.03203403330050555,0.00037037646827386197,0.03089462099308189
SCGB3A1,-0.022519559115615383,,-0.04376424921347075,,-0.018466774006356663,-0.024143127717770507,,-0.015107389924636958,-0.03392880111828743,,-0.02570483140582427,0.07429074040748015
