,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk,ZH916inf
RARRES2,0.0370976237333382,0.06775304072115589,-0.011105055195847332,-0.017487918308998793,0.005804134927308237,0.07747187936608438,-0.024028100533817646,0.018419220565631653,-0.0177180349944772,0.02010786830230045,0.015548995979235251,0.018251629909908126,-0.06106862989595002,0.006950073442721642,0.06270384562146489,-0.06899603744985644,-0.07226904420704673,-0.046059428850879755,0.05708387276760004,-0.035556554008459335
FGF7,-0.036304662423775995,,-0.0006474688329653133,0.05120446598562504,-0.04358639581211669,-0.006003850186233222,-0.010259658596298984,0.07156894365216467,0.020317170690036294,0.04124069747528042,0.04641688760952963,-0.0071490728824663875,9.24921354955094e-06,-0.01923989847423329,0.06075745901403956,0.04713314875089848,0.05192102561927841,0.03484118478573623,-0.053177738478852765,0.09322332401234201
EFNA2,,,,,,,,,,,,,,,,,-0.0162489752905024,,,
HBEGF,-0.0326565238326465,0.01431893889717196,-0.007582585347039823,-0.08071628632886634,-0.037852280303196484,0.10170559601296585,-0.0014959089852941024,0.012888231237507044,-0.0166928020534331,0.007592077833358477,0.06330944000360753,-0.012973726636266288,-0.07242661791972033,0.003172363871642344,-0.023005676080743366,0.025076885689111247,-0.0208773571196435,0.04779786983113591,0.1290062489876935,-0.022397657814267547
CSF3,-0.03317821285116646,,,-0.03601878445674634,-0.04570629098950981,,0.044027254159818605,,,,-0.026737174495637887,,,,,-0.020585202045685265,-0.044356908311760035,0.0040753138443362195,-0.016094302105457356,
PI3,-0.039304540689931874,0.10135774912585058,,-0.024382783200112425,0.017069165356694217,,-0.025881647056912857,,,,,,,,,-0.020343208491154098,-0.10935784691916008,-0.04292815162224688,-0.035682210343302864,
PCSK1N,-0.041808948554609544,-0.024709800231034702,0.019791472039945492,0.025365460000617644,0.00038845306618347415,-0.06101249423253845,0.028492938053553265,-0.04610828314635842,0.037389660451956935,0.001037586126345113,-0.030065161455297768,-0.02882393688959369,0.0029654575811166968,-0.04776519006083448,0.010722429460519179,0.04496512875115738,-0.011327648303143258,-0.02199695025561363,-0.09928695430848945,-0.05095038217449297
NTS,,,,,0.05246710793168349,-0.023217622954377317,-0.0008905979174827916,0.04817526605347809,0.03389272468418719,-0.027762631016252308,,,,,,-0.024121903706931874,-0.019796292930292357,0.0458731407086478,,
SFRP1,-0.05122761064151193,0.01323134489671203,0.03394335702254202,-0.02636751741425025,-0.02596975571763722,0.11396130119034871,-0.02699421908613629,0.004318245521576008,-0.01470256840327401,-0.026583255130037252,0.01025359453986563,0.05810161814450915,-0.054642933899243275,-0.034019161658408535,0.027611422811955146,0.01709853243237842,0.03903374920137723,-0.028692576512772662,0.011881889974961115,0.05057693827265574
CXCL13,,,0.043187956857492125,,-0.025736359565108946,,,,,,-0.0017345162730906315,,,,,-0.03511322605345268,-0.0417482496175407,,0.012901313489530348,
MICA,0.09803564164914638,0.06416312647509884,0.050258126230539796,0.02351825977971922,0.022621372082799743,0.09026276415322503,-0.018441765381852594,0.051235314137583206,-0.021358460004984575,0.023782940362743192,0.06905407060393037,0.00766432907449834,0.01216511053758582,0.1535140682117533,-0.04200156599731334,-0.04032246680544639,-0.04078314716794841,0.09770457821353726,0.029053615147360917,8.087130548923091e-05
TG,-0.026448331276051142,-0.018558259851702983,-0.019694970022712786,0.011599909118578413,0.0060010800875846745,-0.026799257362973256,-0.027741089055407078,-0.014311970125480217,-0.010640184798609807,,-0.018113761911001853,0.05827257888660531,-0.04201603183908207,0.006913305202775582,0.06327575502182073,0.02286064353530151,0.04192440600949859,0.08584336360388384,-0.021423939745930678,
ADA,0.02159739725447782,-0.010380059851958006,-0.014262713683263411,0.018861417911433583,0.015967233041205807,0.00996330616566489,-0.059159538062329674,0.0011543142765728196,-0.017280515797173362,0.027981612820288364,0.05571814209949847,0.00928781956239128,0.05699096045892012,0.06531392556972593,-0.05501052153481326,0.00674028953692544,0.03937535881516295,0.08575833488929496,0.05966854515610734,0.010715819013281886
LAMC3,-0.0690406633414868,0.006509651579529524,0.006357390982737934,0.09174308691558634,0.05662390351069269,0.0148286622931741,-0.02134284798012752,0.03641144762333473,-0.02675831969515334,0.003146196531191647,-0.034625858173242756,0.03976146932219737,0.040586779894511434,-0.11414162041017184,0.03728995164267031,0.007967378268419823,0.03112379175220269,0.1058376294689912,0.09782802026420888,0.08703822283588482
CCL7,,0.04128473245309692,,0.03468940408882204,-0.011500405827538102,,,,,,,,,,,-0.004605871662081969,,0.019381141539644185,-0.02194204566998368,
NGF,-0.019114911563973897,-0.019150643634473375,,-0.014037978862091868,-0.0067954225228008215,0.003382818554656898,,,,-0.02776264929610281,0.07180840211870954,,,0.05897307901167788,-0.03709200962825969,-0.027058770847774482,-0.016030561725557918,0.024660469473963186,0.032647577068927416,
TNFSF15,-0.023647531210710362,,,-0.022908733777268715,-0.025263562128998406,0.05803129948575436,,,,,-0.01702675825524458,,0.04049585518626505,-0.01073168702639874,0.002389527560564622,-0.02284077201794427,,-0.00036751701882406827,-0.04493660510791823,
HMGB1,0.026067138313161344,-0.04357173142278076,-0.03203072819609017,0.030837488778152074,-0.04587295696895373,0.05791037320765576,-0.07171335352293648,0.0006898800430861255,-0.0009342118196168379,0.02560692080099664,0.06543330593511316,0.014472240750453294,-0.056814430340503576,-0.009543792376733163,0.03852728416622063,0.03034661728295511,-0.05464695906267704,0.02505531125533551,-0.010470512411348708,0.11857346134734122
ITGB3BP,0.0537609726342713,-0.006180706118982236,-0.04503058675877008,-0.01650891359288829,0.033285235595302304,0.04756700438598646,-0.03110820886057148,0.037223954078828954,0.04050385605840726,-0.01885838771377481,-0.000653772629279749,0.014965733938208525,-0.009536489690301884,0.010578127644845685,0.011813503561683862,0.01617122193130071,-0.02833118752157316,0.05935406807737164,0.02832386248608139,0.07048997412763172
AANAT,0.036905204631967954,0.057277501050188584,,-0.020844607005298246,-0.02276398038464519,,-0.002564867880368542,-0.012870838373258111,-0.012265111452522513,-0.02610097328557465,,0.08443198973845167,,,-0.025996797808837867,0.06598024940180615,-0.021866719776997574,-0.015996901191389922,-0.024791811946939146,
RELN,-0.03295824142428325,-0.04898988950779892,0.025777138120108237,0.07099251766026675,0.029472878288274242,-0.008559074249992698,0.013238710007845484,-0.028337431377509496,0.012348630303158033,-0.08559892204021388,,-0.02452939270478967,,-0.08158479306020325,,,,,-0.07012294859225385,-0.06338205390933452
IL15,0.03547712543704067,0.060365771347707126,0.07855351300833113,0.033356637831809845,-0.009263230026753024,0.010836078440009021,0.006165120172305775,-0.020884982590183735,-0.004113896526566648,-0.008305819485056013,0.11922119526229707,0.10808926025010959,0.06973437688343137,0.08163485270646309,0.006145461484379875,-0.014846220786320998,-0.039644159571195485,0.0794526744406353,0.016284603888436357,
UTS2,,,,,,,-0.046523217479068214,,,,,,0.03713787954248662,,,0.03154790701508004,,,,
BSG,1.7491199036321735e-05,-0.008289445464149663,0.012151212498350467,-0.09634252648456709,-0.02617390038712424,0.0651877527063256,0.04855674417029015,-0.029625058189313245,6.214004202764156e-05,0.02905271957554705,-0.02405829824935495,-0.031661674611087966,-0.058856596625461374,-0.0756754800018231,0.07052450745336165,-0.01770520610115798,0.051754262783526656,0.07269184772276076,0.021525993390818787,-0.03638363002091374
ADAMTS3,0.08655543713136953,0.011994512738760486,-0.019035838125732143,-0.05230147995473691,-0.057119976555357166,0.018022869650553948,-0.06280603413973392,-0.03145371921969258,0.0016387470343285262,-0.041912030041520484,0.0851050878537065,0.08670213725588276,-0.020444358369822724,,0.013494118502229388,0.01938487973058565,0.035719398076945276,0.051757611625388174,-0.001551667461369353,
CD34,-0.010289395419716896,-0.038066116114383174,0.0027154950513958,0.03458780120967365,0.0301441942963011,0.0036169520812516136,-0.004784406938890984,-0.013217928048985425,-0.022947690504228926,0.015057257724329373,0.018049920027751243,0.018952939659409685,0.07817245337108557,-0.170947414422967,0.009049165431073855,0.027213985278885917,-0.023440049477391013,0.1099440140662935,0.07631164960481124,-0.08731916526095895
CCL23,,,,,,,-0.023591180561944456,,,,,,0.04320051980496494,,,,,,,
PLAT,-0.03389883886074485,0.037941057774642725,-0.009076584708454998,0.01280804762064907,0.005192204445290312,0.07481283818534805,-0.10555801398116547,0.004501445934881018,-0.00230618399876561,0.032226117368359536,0.05350155198523693,0.04429228921290392,0.04578192064427161,-0.046843175880498855,0.03938147321015527,0.024578158473189747,0.04929516152029276,0.1030345606642545,-0.008170205339501696,0.03548142089420693
NTF3,,,,,,,,,-0.0046511041695388574,,-0.002982015653750767,,,,,0.021839902097788348,0.05555625762334893,,,
LTA,,,-0.022330702752326292,-0.026367516180736343,,,,-0.012395958704582707,,,,-0.004314576657027508,,,,,,-0.04038765070191006,,
CKLF,-0.033665147918244626,-0.017120773826665305,-0.07302299734191368,0.026275869376744875,0.0001888318071350052,0.0023662359934869576,-0.03887247303797214,0.016227452939510816,0.02630649869335535,-0.076589916532381,0.0864238989656918,0.0035541958807327593,0.04714499231490307,0.011387430080719749,0.03921563474015353,0.056312645371961706,0.03995446304409741,0.01978276682169944,0.02833671860912179,0.043237531379161795
APELA,,,,,,,,,,,0.06857705749458652,,,,,,,,,
CD24,0.0871622538720722,0.0154965647579733,-0.014296369243078526,0.0015218902863793782,-0.04530898248487324,0.09841204356387999,-0.007101909092579718,0.02064295362698375,-0.045375849551354173,0.0028139848326522196,0.04251449865329509,-0.005443568707079637,0.09133728137792332,0.06945004411007878,0.028589634733120803,0.018332505882478964,-0.01872194132996013,-0.011847188021241083,-0.016153680319734538,-0.08331803440310508
HSP90AA1,-0.047288285458346145,-0.017662427132338274,0.014283473450642082,-0.00370983446973638,-0.020216688452518988,-0.015618509473414172,0.032724318698788675,0.1082115853545337,0.014382472599856715,0.03392621246655464,-0.023726250808855247,-0.004095870644968239,0.004349964301235249,-0.017071841913461488,-0.16359189352520292,-0.05400322532461988,-0.11835746635395128,-0.08513659429854131,-0.055651473079325144,0.016143809563236546
BMP4,-0.041369344378354725,-0.02108123835719063,-0.02367185394338834,-0.03394010285376768,-0.03584750326488972,0.037801962285155644,0.03216984105519579,0.062264010899639885,0.010211018848376864,-0.02876901892118553,-0.022616020407782916,-0.01751015067478185,0.024151558064129997,0.1100088672320272,0.11432334677371062,0.0010224351523346515,0.03220723211875354,0.06897010131603162,0.05972241248610192,
SCGB3A1,,-0.01758200498175548,,,0.0013710491026776587,-0.0024379348112632433,,,-0.010345741471449125,0.01724996943626841,0.05360496635420772,-0.014339049974490899,0.04503127064105268,-0.023900727035463358,,-0.023643888882208867,0.024370346685503006,0.10488799269877604,0.013713136797480771,
IGFBP4,0.04427772235764765,-0.004817897173571889,-0.01986784400836698,0.06046031142975992,0.0025875830987220085,0.039015877703454604,0.03473568259544933,0.036918871436259236,0.006218218892163276,0.04066478136888877,0.03520236208003491,0.02777211480465753,0.07235000748673959,-0.061645755716203815,-0.035858002344725755,0.03397256855156454,-0.07623102316405098,0.14361276349424343,0.038440938259300825,0.05849529234660028
RSPO4,-0.02335082420828627,,-0.036100131399133886,-0.0013948578789902187,0.04118222973463893,,,-0.014417254620187227,-0.010345739958150397,,,0.029835212330938627,,0.04159495402151549,,,,0.028207415904253814,0.03420044731210876,
LEFTY2,-0.023868556610663685,0.04650183325287776,-0.02260495775769402,-0.005825601841717121,0.0788010165040974,-0.05646324690935135,-0.061838528693961836,-0.027867319366360166,-0.011344230395291699,-0.02776264929610281,0.060056581332059364,0.1658633169137527,0.05986387568008547,,0.009497968599235079,0.06798660342897851,-0.01868340217692229,0.118759405326478,0.04739736214523244,
PF4,,-0.01823850784394325,-0.020312809213183715,-0.01794929591637374,,,,,,,,,,,,,-0.014893310822712029,-0.018777039540333797,0.1403520489938364,
ANGPTL2,0.02733133004332091,-0.01043653390248649,-0.025460085193865507,0.013758978432030469,-0.03753300563771678,0.07163882260092203,0.06356179836052668,0.007377918557993537,-0.05405810766480593,0.024588023593351896,-0.05801477255754809,0.0019773532079142646,0.01323859816127812,-0.07727450562046427,0.025398683744570588,0.019453639982420598,0.08288104328277715,0.11437981780949893,0.013293589814609746,0.1403318224463369
LRIG2,0.06756229367362848,0.01735141485959796,0.02070835275692078,-0.024789961194586277,0.06454867033307617,0.040923647811782315,0.004375022983784482,0.021761715255035334,0.0027081428363337086,0.0073885161203744625,-0.010725730007875451,0.00893459408986713,0.0336071762889937,0.08619899847134992,-0.01563709226395211,0.01052244048709736,0.06868733792508648,0.08671112471916509,0.0231734597469157,0.048086111200405894
ICOSLG,0.008995654413741217,0.0478714019969213,-0.0045064736176516195,0.016022595179157564,-0.0037927251719638163,0.01776210511200003,-0.01449221306276599,-0.050565293826143026,0.009282101865534338,-0.01446569065249817,0.04574265534014408,-0.011273775014152373,0.025288322340017693,-0.04609051234260137,0.0920556858030474,-0.06591326616334997,0.029190891990792042,0.0886331281473263,0.0392783828193827,0.042123439699711294
WIF1,-0.008341035841249277,0.031090438782828016,,,0.019071275062117483,-0.0679196020491401,0.07094874810752672,-0.011125453907881978,0.02651620596391823,-0.011274269495013674,,-0.029819128133239118,,,,,,,0.011145500701904064,-0.022404351969536555
NPPC,-0.047655637356211054,-0.04124145644386154,,-0.02784378437800167,0.05988673000345237,0.00405218743234103,0.031032740571476168,-0.00851954671748331,0.12567227691704855,-0.032680669088736465,,-0.00167032645440525,-0.032288095877307056,-0.0034284021205649765,-0.031128459008176203,-0.021355768163420785,0.03023782548053751,,0.002527299989035904,-0.046803126979265454
LYZ,-0.0189219482520835,0.03556140570411081,-0.047617991395569326,0.02482434513481767,-0.012937434413851335,-0.014929700626562596,0.011404944439537075,-0.04914927506721819,-0.05130242435586113,-0.022474292523974832,0.05657773155455785,0.0017283050827312492,-0.018546233381815658,0.003527564803959424,0.031637777087866345,-0.027032445593443557,-0.018290714534856287,0.015023780815799753,0.03712320229061399,0.054969559079191044
EREG,,,,,-0.01857946788925623,,,,,-0.009095870751481942,-0.022512189176814277,,,,,0.014858088051366928,0.03494047417564236,0.0031946580069929713,0.026017141365075654,
SPTAN1,0.0010819940843470235,-0.013815123649143436,-0.019589225652294647,0.05393329647050049,0.045564265239464656,-0.01790860541621551,0.02151631382805658,0.018900918211361896,-0.006048149790442918,0.02973451027331689,0.07670280507665563,-0.027835288429804816,-0.03157261328244911,-0.03377378675529172,0.03728294672181797,-0.05101248416626234,0.05721425546851157,0.0487416993371627,-0.09331810809929557,-0.004231812310011372
LIPC,-0.024718516922949952,-0.007292633985680782,-0.02015164650377839,0.07846497551255123,0.02068251913459874,-0.03426427213294597,0.06779009728987759,-0.026954525732513675,,-0.009432711604016045,-0.014229353377075694,-0.011622152063110678,-0.034238220535334755,0.003315654436792792,-0.007067654977992423,,,0.026986971540629505,0.04071312425864682,
COL8A1,0.06008265766154647,0.007536216689453078,0.02124107521372311,0.05187836712649838,-0.07806267501742661,-0.0027533642172396823,0.04015851530667105,-0.029523366950521344,-0.024925972472628653,-0.01084358064313485,-0.01757322956535462,-0.06320355333916225,0.13931992011233493,-0.03148028448998751,0.10870060822136028,0.10139022308379249,0.047990284935625675,0.011090043845959702,0.008358694090200326,
GSTM2,-0.07171836265291452,-0.03603126742617508,-0.0070847509196853755,0.02343150905694143,-0.029061653997823553,0.060782210839859685,0.005215082249425023,-0.03427764170879033,0.041718410378433664,-0.00974131961323595,0.046487745462000504,0.05163553111144578,-0.06722453406118135,0.06111974476728994,0.01682091245147843,0.0008024065389352984,-0.0018467341553666322,0.017050906745479055,0.003071508554666689,
SPX,-0.023340134940270374,0.005274268151764334,0.010780008748316104,0.06950170491269692,0.0035740443437552024,0.01691387002913036,0.040858576237145255,-0.008554506631248005,-0.024280889872534062,-0.1072567932753639,,0.01706591423076321,0.010980494824933464,,0.03507510455525943,0.012537359816733139,-0.018491949028343443,0.0107386152597375,-0.036553179700118885,0.08468764804866027
MFGE8,0.0742192641057657,-0.029860314702721984,-0.005017118088197164,0.011841395248324903,-0.00942513750762588,0.034818463367600756,-0.02594521417534359,-0.015372681099622044,0.004191321258946273,-0.017801773996116592,-0.01668227600332694,0.044758720452057345,0.04884707499487905,-0.09399786525023096,0.06345678209825634,-0.05336298309910352,0.00836718187851811,0.1276415911954606,0.10856370100798919,-0.021151668140781545
TGFA,-0.006761751485051538,-0.019882577227115214,-0.04592847717250339,-0.024721748821774178,-0.0037008436317045434,0.08209937408093367,-0.05923091660610163,-0.04812560025082046,-0.02557493799825956,0.0002475078123966202,0.0755452226390924,0.06492796213663198,-0.04003310875687738,0.10279535425704525,0.06173506226424871,0.05951616877899904,0.06477325518266235,0.01895007515612854,-0.015906891186931456,0.11669526466937828
SLIT2,-0.022185499820927528,0.05155484242433062,0.04725879447095185,-0.03181830702060508,0.03801490486988743,0.006148112621816085,0.03953205250761508,0.030720302130236635,0.00015271656259730645,-0.04804045822123195,0.02895929036999561,0.006979146537319654,-0.005936067421937331,-0.02095130843178751,0.06715167776638731,-0.0223160075533748,0.036246891012959796,0.028908437934600958,0.01915964657502815,-0.07047481439379596
PLTP,-0.023624594629549328,0.0027581428466076983,0.009647414098192305,-0.0033829333243882665,0.07079495041823318,0.018687476272912777,-0.0520164676445806,-0.034757427960794146,-0.021731861419015775,0.007482462020255159,0.0706575431405664,-0.012774387633902732,-0.085701710283031,0.0049861171830802384,0.059938569151467176,-0.05034761342130044,-0.03900477499975891,-0.023372287837827542,0.05810572515229172,-0.009713850457780586
APOD,-0.0812757692927577,-0.046441880224986805,-0.00892843113143505,0.014809514056490438,-0.003715868530004073,-0.02648970082406067,-0.05026201897543163,0.036351815614013176,-0.019399701669629604,-0.03591182126660463,-0.003111153484564696,0.0488691320767332,0.060983686057521795,0.011520017918658884,-0.09334842078834181,0.026691312663368078,0.132315224896125,-0.11336234945232616,0.018214066521974312,0.10771317220506263
B2M,-0.0804644333595256,0.057667519815719,0.05466079145856662,0.04104164020892845,0.005564864214456036,0.012050611223693825,-0.03462752511743824,0.05165628851323371,-0.0689160372462047,-0.0009500697807592675,0.09530301117534544,0.018483555099631198,0.17653055706968782,-0.0664047416535504,0.01586575458783735,-0.016702335486616034,-0.0022111291895041585,0.06825672781286606,0.0371943639256034,0.09470877255352078
OMG,-0.0625729712239108,-0.018184642762087668,0.016485786853200592,0.042889879276819205,0.010716233888172175,-0.030974695526730604,0.04349036038250504,-0.0017290259733005796,-0.024709651431461272,0.03591717025415991,0.012258483104886303,0.035799549024049256,0.04575189129433589,0.000982270055324883,-0.04168132033289953,0.0327062479073124,0.09730307840096637,0.06141615811042693,-0.03295857677204772,0.11731472500572815
CXCL3,0.0053719934208386975,-0.012684183004409242,-0.04176120260855167,-0.05066514783188022,-0.012088301663977154,,0.000746212082738323,0.0012787413205943214,0.09314746081570685,-0.01356572118373099,0.15072359831265736,-0.014799238034044716,0.058561054846064435,,,-0.05392725369153888,-0.022872920035594928,0.024100911710990464,0.03111240575652827,
CXCL10,0.05292531430657717,-0.06428671448541123,0.05063972535971487,-0.004324937917531086,-0.062032495764812345,-0.01746372131525515,-0.049370923508558116,0.07065430066488977,-0.01681272977149989,0.037093324824553256,0.00032630521860852526,-0.02351778020675099,0.059301311709725586,0.1296131000287191,0.024334165556802918,-0.02419358359109792,-0.019976247331766964,0.10211408571506089,0.03260520796467002,
RSPO3,,0.00609813500490927,,0.021172563498294092,-0.03029220265898793,-0.022539145192757723,-0.03404514384992928,-0.021775083734360826,-0.004511457330430299,0.0061169312862297985,,-0.01546491851820357,,,,-0.002239957456758675,0.07017149743542257,0.0017324746241345933,-0.07468600992081326,-0.04474452451008146
CORT,-0.026180388082789285,0.09051945446582284,0.0658192362747446,0.006450068755355747,0.04468125203943775,0.07506891744251451,0.03205418117714838,-0.014775349986265424,-0.02722503279255544,0.020382539400361045,,0.028429627371051744,,,,-0.01073021312063368,0.010697276325339053,,,-0.04777990495422452
NCAN,-0.043840570844753936,0.008717546122443836,0.0041717194006485195,0.049348669681651,0.03837838080382866,0.037132539738983845,-0.04331692994702978,-0.020059702333144188,0.03644373455730868,0.01507052721301757,,0.0026734336701992453,-0.011343266376397517,-0.044946233509847784,0.02130603280287271,-0.0015752779875254103,0.14883232047438516,0.05665857644657712,-0.0927776053059971,-0.008489919594944918
