,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1
TGM2,0.019963730888760908,0.03075993618918074,-0.0032250654984881852,-0.004921726675399036,-0.013301728395212752,0.047579875101154766,-0.01721308469755846,0.00752349418340754,-0.016044686356959128,-0.03199617408388472,-0.020297267798175034,0.028600987669911752
VEGFC,0.057848349855830816,0.024606025443445912,-0.03305767922831929,0.018857597174147412,-0.0015968678875084839,0.08005783952078684,0.009784146232455913,0.024677384365523792,-0.010125521553987061,0.023345745473331153,-0.030736320703488185,0.04901171036064921
WNT6,0.011496209785107113,-0.01147819100554399,-0.02269225383161788,-0.02067490749826403,-0.009438355079471208,-0.015356586441071149,0.017141959376352503,,0.12149166099911501,-0.028621112758005236,0.04024742743358124,-0.034795539285642274
NRG4,0.07395478847868812,,-0.022624249325407367,-0.018192310718040096,-0.010429793421446842,0.07757897209540288,-0.025257472243258517,-0.031107665145289863,,,-0.007728904232285186,-0.00503376591184762
PMCH,-0.01765669459304078,,,-0.025207218858871915,,,,,,-0.0216066648779602,-0.013692346902840602,0.07365143056527557
COL9A1,0.0006548340952141977,0.03342371817629123,-0.05622155539653498,-0.01900054076597747,-0.009569409878231855,0.051859834256895915,0.01841958378162266,-0.020542948611055753,0.003113865294230045,0.06616759746749627,0.028895673177424933,0.005760449028685912
GDF11,0.029486827636477624,0.019294237339215044,0.10426311750167302,-0.0008757880462875741,0.03786883706078199,0.01740614325111136,0.04458453689225461,-0.03603662311616175,0.03407665663156879,-0.003531763397923719,-0.015860660707769675,0.041192424812653936
RAET1E,,,,,,,,,,,,-0.025347633076673846
IL24,,,,,,,,,,-0.014481547128871458,,
SORBS1,0.023724244147493325,-0.06520069509404022,0.016071084826291954,-0.013507760255589097,0.043203993275782185,0.04463328497133891,0.02747704963057462,0.01885341669438284,0.10076652850881682,0.03388347950844671,-0.033266609909683574,-0.0008194784326349555
DLL1,0.04873123595008925,0.03572779769141767,0.058069243489579,0.059095011220696346,0.05064992044510071,-0.0017429127147320915,0.03792409977055641,-0.0725946607979953,-0.019364943402171236,0.09764101841524254,-0.001417231489025669,0.07893369382948878
TLN1,-0.015605526917307532,0.02666950594507389,-0.0018048232816825407,0.0008233781988310695,0.011829688776691685,0.034477611937431395,0.05429299306228866,-0.024918721138118154,0.0023105609806928482,-0.08406830294727109,-0.017646036912386625,0.011108363822881048
COL2A1,0.0529982515586306,,,,0.02867016003464504,0.005114771354690858,-0.017627934315260003,,,-0.037743341831587056,0.0417711365107062,0.09312094113702336
SHH,,,,-0.015533350183487633,-0.02107513476911986,0.061580052229467136,-0.016823971763760725,,,0.05740103940739827,0.01674895944735258,0.02970059882117234
PON2,0.07130531644898697,-0.01294196584648907,0.13454956298617682,0.03143516501819242,0.04192565997581484,0.013933151243325743,0.05480506932071008,0.09759876350471622,-0.012568835970520836,0.020339113285901173,-0.04632794952317569,0.016474172929369518
ICAM5,-0.04482953939956498,-0.01477500963943664,-0.032263311323108904,0.024233103073657444,-0.023769026307169403,0.07468871165592866,0.01834429791461585,,,-0.04621979529635715,-0.010883783023813374,-0.014833045490084351
HPX,0.011162341824208583,,-0.030183632740444347,0.040935250807283205,-0.028895602128085673,0.07894107961977591,0.006444769693117819,0.07255945694137932,0.05175814554842704,0.03376659913250643,-0.027187490134207636,-0.014058116120735525
SFRP2,-0.022113687914947413,,,-0.00119198035115069,,-0.02517464826327142,-0.033004327118683785,,-0.004798592668391185,0.04073642507303211,-0.023278148791004507,0.09491527573601793
CFC1,,,,,,0.11550389427163697,,,,,,
CD70,0.039647562295110766,,,-0.020559602383017368,,,,0.10212936920055841,,-0.028763373372848622,-0.02356073101295575,0.048454442038249924
HP,0.06551344522821902,,0.14105574075564847,0.001986371823583357,0.07061391027750277,,-0.039861878209892065,0.013077116631371257,0.007594958200856739,-0.007372947703306972,0.026675550589258197,-0.010346369079192709
CXCL2,0.07039172784664097,0.014517294916349776,-0.046062858037254094,0.011951765132594357,-0.023001731511784203,0.023544112045881714,0.0065133510762456995,0.0001332931525478369,,0.0008117414201951124,-0.04247242058793577,0.09758518258444142
NPPB,0.009938968941181374,,-0.08574414672847877,-0.027360802121950457,,,-0.006067936336741729,,,0.007085488204826589,0.01748289807697431,-0.023438940130323483
CCK,0.02213586120701106,-0.014350507397148464,0.029657103222888826,0.019262299756006417,0.005954319085767298,-0.003406988820847069,0.0019099902791200206,,-0.0312032886936221,0.07199804299020172,0.041160425465029404,0.024438420718507558
SEMA6A,0.004422889567747869,0.037735232594667656,0.08172147172680914,-0.044085094805271195,-0.012549121211587229,-0.012933792555315267,0.09464806266399244,-0.03686852382461015,-0.01203973995771468,0.031926843767144907,0.04482203577093155,0.01310925714937413
IRAK4,0.05734279147157067,0.01081793082349701,-0.05816376549899349,0.03554537402048167,-0.016857491774835226,0.07005739487477261,0.05843252074635501,-0.02351607279049941,0.0117503729914873,0.03272114643729235,-0.015035049120835609,0.08379436669377581
GSTP1,0.015908400654514664,0.06896226843103005,-0.01276215628317926,-0.03319450957073213,0.05363647112684692,0.022081205422924334,-0.0020659217032240216,0.033333694193951456,0.0008061717430108841,0.11332712052947243,-0.007201326381231655,0.03424633960761363
VCAM1,0.08936157080960713,-0.010630927417744128,-0.037648730642507885,-0.0009708929282814711,0.07067042142103214,0.028383043175747337,0.017616446993770213,-0.022620706001897077,-0.016061807223786938,0.022610933140655456,-0.03613659996606257,0.0469843215095481
NXPH3,-0.02160337471689148,-0.013178213456702476,0.036403971886466345,0.06383584108296636,0.0038632402936666357,-0.014154354878272523,0.01865406454996787,0.04771575239254429,0.09068368810416587,0.051562733173539564,-0.037209571572182895,0.015598534790070733
MTMR4,0.059480599341642175,-0.031425089886121665,0.12703109248130856,0.003742875696806347,-0.00021633025466246813,0.04060132177549765,0.007751459884973084,0.13684079833201235,-0.005321349904859507,0.015931060366451987,0.02997357017895821,0.06086751085267635
LAMC2,-0.016842480804280743,,,-0.026025076325665693,,-0.02104100788350618,,-0.031107683794484194,,-0.019018334824358458,-0.013290558371552458,0.03731704097293882
IL10,-0.035586310660242405,0.062323133902639036,-0.03149759482025988,-0.007638580253646776,0.04191968867066634,,0.05128057792295674,0.02504274903978426,-0.026269337060534147,0.0037754087576482975,-0.03309620933476477,0.043933990792763083
SEMA4D,-0.028744561053152155,0.02723116253663957,0.13761183166959398,-0.020594606298187663,0.023892608704855805,0.02921953752584315,0.054693235089926476,-0.004012316208970673,-0.02609830989557267,0.04468459221166836,-0.0018541610809645974,0.047584150585517015
TRH,0.026850442895117236,,0.06519823908349018,0.021980762074384246,-0.015703136405125866,-0.0007450940657421474,0.005105726177719453,,,0.08250992470045221,0.006510589981886353,0.0550633080823736
SEMA6D,0.04387915698656984,0.05030365829596526,0.11884199630189009,0.050301135303380595,0.10999590162473054,0.026560717248518922,0.03373152080744526,0.03403277184133917,0.035187232728696435,0.0053735085377074904,0.06738092283801962,-0.003169444183642493
CEL,,,-0.025581567033672106,,-0.0191834149075352,,,-0.055060767388529164,0.046282069921795926,0.046325641067611445,0.10449543131916826,-0.011041249961918421
PDCD1LG2,0.020352907568786154,0.030487724236311048,0.054484806203039075,0.013548683436403412,-0.014207848310289775,0.03606485877078648,-0.0027049379426711713,-0.05151092562332464,0.0111208491413211,0.014132034813323459,-0.047727441700211024,0.08806467107354983
SPINT1,0.04343676323836768,-0.018253038186551936,-0.0307151690096722,0.02594006153951672,-0.0418849785180236,0.08002370370945874,-0.02844566747403919,0.009160583811986195,0.1152795847888227,0.06899533218474328,0.02284249721844331,0.015384900500843552
CTHRC1,0.07006463938440641,-0.017218581792402172,-0.008499029945880903,-0.02621676965806933,-0.04157417331293803,0.03281226840896818,-0.011064404870225003,0.014995160695699174,-0.02663129321991729,0.045445316956881913,0.0008704209599038252,0.10907912419864776
PODXL,0.05628751389958739,0.04889224158631167,0.07181134945025285,-0.043571764249734295,0.03950457276934782,0.018109884674008366,-0.0111973849840156,-0.009262022829252056,-0.045801191846115544,0.03105758929358838,-0.01957215512405385,0.028086474230284098
JAM3,-0.028150813839882907,0.02637785400489856,0.012113577460501063,0.031392963980104376,0.03193090763038541,-0.015713591078101673,-0.0035794389180877017,-0.06023135765444746,-0.01630144243647308,-0.012934262988815032,-0.00981778356461988,-0.024478349655460595
TGFB2,0.0338674531789282,-0.03410185866758481,0.09493150483437006,0.03785557795381605,-0.009662656505930043,0.024030599614884768,0.02648119583703416,-0.046270328560628515,0.05480874857318446,-0.01987196865651113,0.022564595404411147,0.003135956109107126
