,UKF251,UKF259,UKF260,UKF296,ZH1019T1,ZH8812bulk,ZH916T1
ADA,-0.004204034937695197,0.008465330774948442,-0.023907990519885555,0.09284440845601903,-0.025896259367313244,0.004514629822643026,-0.031188659471973405
LAMC3,0.011429134502519358,-0.018150739449444054,0.0143317594854466,0.0034375532945762483,0.021247125233154706,-0.04449542986795543,-0.0004079776122980691
CCL7,,-0.014734677160259344,-0.04088039597726052,,,,-0.014834672025968413
NGF,,-0.02524417402590288,-0.037916438544967006,,-0.014975473836879303,,-0.04441456093583091
TNFSF15,,-0.016407783681777106,0.01604634009773374,,0.035611993266032156,,-0.017353953035799428
HMGB1,0.02138726233409088,0.04064474307092436,0.04518791064349878,0.004456670924842366,0.05572638534451067,-0.014263364592096605,0.06471488402287248
ITGB3BP,-0.008451371130821023,0.008467831465371807,0.0062509839577000485,-0.02922362245325254,-0.03327173345402193,-0.020622928002895707,0.07385635661409519
AANAT,,0.12215506663549117,0.021866451366051476,-0.01432594553010142,,-0.02785401700256801,0.010316055815439148
RELN,0.0070602540132967614,0.019959797660291108,0.06507337306611899,-0.025852248137134767,-0.027914971691532686,-0.019909862354646427,
IL15,0.01154829844775846,-0.032375212168631894,0.01015579501221472,0.03716149745403399,-0.02628099463085276,-0.00556657015641033,0.027289125333946784
BSG,-0.018617879040845747,-0.010991095706143919,-0.07391972178361635,-0.012248627866451508,-0.035053844345675766,-0.07411203483451215,-0.017900516744500765
ADAMTS3,-0.04220801569762768,0.02533370411871757,-0.00923165837300091,-0.05000768424227241,,-0.019769535521429,0.03488453806438924
CD34,0.034627893544945165,0.02203420276694496,0.06851270763550353,0.01805815049642706,0.018590330053575636,0.0027740773688937005,-0.041968788253821346
PLAT,-0.003509192942035564,-0.006118404677460616,0.09457198065055114,0.013726881981616744,0.06347703232868729,-0.025105250201252042,-0.02314490853428559
NTF3,,,,-0.010377763345081895,,,
LTA,0.04635659112429928,0.01262169713320741,,,,,-0.0211240490106011
CKLF,0.005390032482998428,-0.04350238536375158,0.07292109403884267,0.024010025141020228,0.11779036823737482,-0.04120705995770571,0.056704286461455075
CD24,-0.08559727299689011,0.009595960556746873,0.009956282491228449,0.041698171994041584,0.042978163501591275,-0.00553131664478908,0.008413746554544362
HSP90AA1,-0.007220336355250625,-0.03837867378032024,-0.07330335751695415,-0.01627650638178176,0.0977548192073448,0.015324489998820303,-0.05619693586820411
BMP4,-0.024498957408331423,0.013594932624169942,0.06741687103735687,0.012418368550015971,0.14274652689052506,-0.04926386382340799,0.004765786021439647
SCGB3A1,,,-0.04779358065014123,-0.012084075172265087,-0.04330768431684131,,-0.0025115215232328833
IGFBP4,-0.02759752111756884,-0.025045707770550235,0.041521162893002735,0.012839819847267297,0.10682769206780116,0.01894552787519597,-0.04374189507358482
RSPO4,-0.0033516386016088405,0.031085712605515986,0.09755640262616792,-0.012084073404695733,-0.03959854600161722,,0.09662154421161646
LEFTY2,0.14828770960348944,-0.004162944221068001,0.06979912578813942,-0.013250334279713836,,-0.01882556426981648,-0.008748567024690596
PF4,-0.02102254639402014,-0.01285571553187686,,,,,-0.021124044122339473
ANGPTL2,-0.00633324347818281,0.058458387159979766,-0.013424092050633144,-0.05360112158165886,-0.02332805751297503,-0.05375981917048092,-0.0514263618745814
LRIG2,0.03216390159241627,-0.02712265808323484,0.005990029955036906,0.0669380522982207,0.03880224656266678,-0.05109924538415962,0.06470673973738103
ICOSLG,0.013834818637591706,0.05574686690768253,-0.020781655408393346,0.02785754345304969,0.015131599149828052,-0.04031280825082518,0.038635710314971934
WIF1,,,0.014243523704439093,-0.022739724197485316,,,
NPPC,,0.08004652471557677,-0.06734335280677979,-0.01679390480311771,-0.06900793390819689,-0.026425338829416372,
LYZ,-0.07443676074025718,0.034631753282334456,0.03415694892353687,0.011041756244529003,0.11116902346997999,-0.01839732223093168,-0.029353867851551644
EREG,,,-7.538189745813805e-05,,,,0.019638712483366707
SPTAN1,0.04404519607236775,0.001546677365320439,-0.051007573234119585,0.05277231337550225,0.008771430589922176,0.004079392971012875,0.07566492745469339
LIPC,0.010737510120130894,-0.023102678270442635,-0.05340547027988576,,0.06842538247946321,-0.0016966829226347513,-0.026708787173240673
COL8A1,0.016101738246999068,0.0016085733451979595,0.05154405446231313,-0.02959608768767733,0.014646898754286356,0.028504057442062414,-0.06221917664082072
GSTM2,0.026182633877157965,0.053157377734007895,0.03987292760343006,-0.0010808951833806643,-0.02194359889838296,-0.006770306876582767,0.05952943317756778
SPX,-0.018493958583041873,0.04121972307992882,-0.04923207162065876,-0.06285793905356354,,0.043339887232572545,0.175240299501916
MFGE8,0.01740578541105729,-0.04174609125679529,-0.038840315046635626,-0.0200892241051086,0.025832334449031834,-0.007901971075214157,-0.004286397136306302
TGFA,0.040518523469966226,-0.02924589884767669,0.0035493389418607036,-0.015533086203525302,0.0035973859529839516,0.04695561191619717,0.04016742655430552
SLIT2,-0.01004712170529067,-0.04375419116248315,0.010073759454504805,0.027183073092741573,0.24617824429163482,0.002200515442760522,-0.027910103486332768
PLTP,-0.020527480380025734,-0.05073388311372436,0.06255523841357019,-0.009506743564005665,0.07188441520314481,-0.046629101538916,-0.02016963377695468
APOD,-0.02058909494217817,-0.026624651497704557,0.017791252481850504,-0.009032158048077076,0.014703729354787391,-0.027613245812020182,-0.015936096531244635
B2M,0.009122804294967464,0.0009942917333662477,0.054846573178696914,-0.016969348892702886,-0.00318213718783322,0.020240178581408346,-0.09124618276390344
OMG,0.0709926910488245,0.02807065904569549,0.04800721290646867,0.013262883258972999,-0.05218284910760762,-0.047404841473391045,0.10046648122320481
CXCL3,-0.04322035470793216,-0.021251564198923992,-0.03269429748686465,-0.012927404251612066,,-0.019614812187041485,-0.00036341011979842665
CXCL10,-0.058777523516280315,0.006845318736074232,0.07574688517948512,-0.019637673236902034,-0.03807297690960544,-0.02642533595609583,-0.022688949524368195
RSPO3,,-0.014929405558984065,-0.0026475228417261383,-0.01177537640106022,,,0.038880929488105384
CORT,-0.001121509626748322,0.06185988840546573,0.04037421340035995,-0.0033084700000247714,,,
NCAN,0.01391014894798346,0.018076972694452433,-0.0007000735674013076,-0.014984324263423207,0.005871278714511119,0.05452192114306839,0.12569973778990243
PRG4,,-0.014734679456440053,-0.03823810140923179,,,,-0.03410202704237505
ZG16B,0.02937179793102272,0.01734055709261773,,,,,0.003313514038490546
TGM2,0.02644703352691464,0.03218575504851577,-0.024633383394044576,0.040853670082223695,0.015872590837008954,0.000776574679298036,-0.07615909265832226
VEGFC,0.020165897919634367,-0.026261144145255017,0.04525829834465891,0.058314639220810476,-0.031516538553202605,-0.0258722604905115,-0.04023803775726656
WNT6,0.03216942980595706,-0.020379958967785137,0.02284338575454309,,,,-0.02266993837633281
NRG4,,-0.017932778949264257,-0.054465174963919234,-0.005333596045230492,-0.03160432954978091,0.05509222644069488,0.11962238903775771
PMCH,,-0.024847612308733377,,,,,-0.032462774718142184
COL9A1,-0.04067756980869508,0.041866070585210316,0.06092259639411061,0.021644276354251167,0.05216693355281064,-0.019126505967616645,0.07226404736402522
GDF11,0.03149137001607425,-0.029776454187533472,0.02808250857510672,0.0030575780413043714,-0.05389019505372244,-0.0027117094978136983,0.05724016236833171
RAET1E,,,,,,,-0.016514452473831938
SORBS1,0.013319534656027525,-0.06662938548127474,0.036165901467421775,-0.0016410509068437024,0.031043520922222994,-0.049878916730938,0.10359640696638495
DLL1,0.021991848179850733,0.054766661259502615,0.09370191270223971,0.013243896537307464,-0.07927720817411102,0.00022555875961937735,-0.02313750962810803
TLN1,-0.03452105643388599,-0.04627099898385436,-0.016988605894675678,0.005412842033719496,0.12778815564205676,0.02191942301921871,-0.05401292837611496
COL2A1,,,-0.0011407920313224209,,,,-0.021909082091901486
SHH,,-0.01531175118429412,-0.051275896254362095,-0.01387467340092135,,0.026293586913053574,-2.712421598080087e-05
PON2,0.11982153883770483,0.01654537781901736,0.06427577716116593,-0.00446700420157804,-0.050065399914918644,0.006934469051902365,0.10035852370701301
ICAM5,0.0017359694849281438,-0.02386445099032826,-0.06280952465254541,-0.001498150835684123,,,0.11200597666988349
HPX,,0.05441139898613679,0.04284385796789515,-0.012084073940322728,-0.04111426737213193,-0.027854005595903546,0.03074886234042377
SFRP2,,-0.01743842526657405,,-0.03633623079710223,,-0.014196243157061597,0.08313583062687623
CD70,,-0.029640361234337973,,,-0.03429987342652298,,-0.02296804409811747
HP,,-0.0064614313595806275,0.022222281363009293,0.01609691817942197,0.008160455938066101,0.10522801465450694,0.10365930764152338
CXCL2,-0.03146735009135836,0.03688061504370637,0.015427972514420497,-0.016793903488774867,-0.031135340610453633,-0.0018561298768799625,0.010536174387383393
NPPB,,-0.011392459923299876,,,,,-0.015270903663799313
CCK,0.03985580020254918,-0.020933083427489625,-0.02951884345858388,-0.02174762664630372,,0.012917488561281236,-0.01981048451496424
SEMA6A,0.020797788419153806,0.032738156246244446,-0.0034042147740804057,0.046427049548304955,0.02934752082886665,0.05089143487012492,0.052969177871238414
IRAK4,-0.03128136892517308,0.025187478946193918,0.05139907113610603,0.018259074631457383,0.03409405984836905,0.011894143131882471,0.01769652442658438
GSTP1,0.010187813340649485,-0.03600176645400692,0.0037458987533954325,-0.005544264716244013,0.0648381468644181,-0.008207009540849356,0.055187088606629756
VCAM1,0.03056147673468727,-0.010231018725365132,0.07306934794632892,0.043590806180564066,0.034445756364876505,-0.03384401140815052,0.05481130810777833
NXPH3,0.0757204943946286,-0.03923364619896607,0.016076680062040213,0.010520407560684897,0.08238599076907833,-0.048992693430435004,0.11492264044733763
MTMR4,0.02155299010271746,-0.020160038314381745,-0.060883394500772695,-6.291787835118915e-05,-0.07785129459271845,0.04284817415287389,0.03798083235184559
LAMC2,,-0.034224452122068996,,,0.08489986579612037,0.029175340746265314,-0.029095754490226885
IL10,-0.03350885660667732,-0.00874306445113589,0.08950693548661712,,0.003576197743325814,-0.01937513001802777,-0.018027312865176576
SEMA4D,-0.03564471479315975,-0.006014977300016109,0.009724691028469304,0.024163816884782738,-0.05824031687879444,-0.07209747207024929,0.06648005923570982
TRH,,-0.0038864121732434275,0.059760852843036096,,,-0.04439658814930686,-0.01710443619276533
SEMA6D,0.007017467071707056,-0.03607782629196163,0.015190261826579933,-0.012123282435084063,-0.06152676606652237,0.0234567818506549,0.060017810767547024
CEL,,,-0.003043487544362719,,-0.05593986657897371,0.018409117313689268,0.042836729410792064
PDCD1LG2,0.015702929780637934,0.029603301921778388,-0.026303574518139257,0.014401672006585457,-0.0284222704897365,-0.04071519987099399,-0.00832762327106845
SPINT1,-0.020938018481969203,-0.005642169416340968,-0.006554621070612091,-0.01974803537809416,0.04723505315877691,-0.014712329836732983,0.03242739954061519
CTHRC1,0.08686730414713917,0.042536833231350026,0.06534056019335947,0.007583033858600122,0.049555558881395616,-0.0647792504394563,0.01929203056758333
PODXL,0.019442328867070122,0.006813603497413341,0.07566624948464191,0.024392108952832503,0.04105700060628767,-0.004968828619505654,-0.00943873992252916
JAM3,0.0004303834146436661,-0.03034222477330422,0.028948930045054017,0.04352189697146951,-0.041991818013626385,0.018752569735396626,-0.0417237313206087
TGFB2,-0.004997917796586213,-0.03194642844045104,0.03842112282805715,0.004618771448572172,-0.07306120663984716,0.004953416070552628,-0.0007175831048528321
COL18A1,-0.004883212716993403,0.030249221507403688,0.032211513412653756,-0.028990594872297982,-0.004353769075748238,-0.034030912160372614,-0.0855304609369367
NODAL,-0.007228869761460288,-0.02004515691276075,0.0036145993540801823,,-0.014173425091096637,-0.030216187895100513,0.047145608390823386
INHBB,0.0343073854181213,0.02813886225119807,0.023877544972475517,0.013638834566716806,0.019621194911172566,-0.024148097505740786,0.13230559885819537
LCN1,,,,,,,-0.017296936853246802
ARF4,0.017317384993793535,-0.049050760180193234,0.06153139263765,0.006171915099542366,-0.06519751804348752,-0.05137328614854264,-0.047248521012529965
CXCL14,0.07275143412720562,-0.05785235255816293,0.016281387454791643,0.012627870518005445,0.1019656805458237,-0.026546371740215725,0.035319439812385764
LIF,0.0057772711986635705,-0.0013720461657366172,-0.0330510621134568,-0.01432594553010142,0.0742850724886004,-0.021452867189902674,-0.04953521468756485
IL17B,,,,,-0.030178232980869843,,-0.0014409481621075542
MMP1,,,-0.022909137517447872,,,,-0.0788802625047234
MATN1,,,,,-0.004907230355963453,0.0297877188954221,-0.02080264941150514
ADAM28,0.00736981725848541,-0.007109758389217819,0.021238949826886094,0.00012073173192104713,-0.03781101209230877,-0.014735196066752755,-0.04105355343816411
TCN2,-0.03251216404428813,-0.03603310406585492,0.035569325599745065,-0.050969108178717845,0.006487653818529298,-0.03374544563457251,-0.029289466719108263
THPO,,-0.021424009395568294,,-0.014907506754314776,-0.03160436441218977,,-0.02251958265332464
CUBN,-0.022005503504219953,-0.007143624887603466,-0.038982167984245114,0.03604003835447722,0.0574559502680913,0.039713516314747274,-0.0020478232676334573
TIMP3,0.021331763533266646,-0.053076876868258925,0.040249583493382056,0.044392178558138984,-0.05147256532859834,-0.0048418988597801055,-0.02294553313562944
PIGF,0.044378865337536814,-0.014963492825542225,0.015983337922567408,-0.013412711622942749,-0.036364303754761046,-0.03890093826814878,0.038243389636610316
CRH,-0.004034512187516902,-0.01727068624905307,-0.012387104211401294,-0.026972028466480617,,0.06886963950047417,0.024208807393601397
BDNF,-0.025297212997683075,-0.0110242050805602,-0.04242237527109311,-0.02425086689028168,,-0.007937418495039553,-0.025208945280361578
CCL5,-0.018384664528752395,-0.01682557687941066,0.011991294994501613,-0.004221445039563072,0.05145838127805426,0.003703483849790368,-0.026871415505902642
GAD1,0.021106139290539127,0.026364683734865172,-0.007372198417678139,-0.03332650052593216,0.08262600731362996,-0.0692559564936515,0.03126837526288386
COL14A1,0.001977566851605644,-0.05133436745560076,0.08017103951726055,0.00985647956886466,0.03893316629178084,-0.028361954513038655,-0.030732640305165797
HLA-A,0.014660453855786964,-0.02215340996356126,0.031993038085848705,0.00853911980888377,-0.04662475639404195,-0.03851843682884495,-0.07787840301956378
CD5L,0.0012751213989973336,,,,,,
FGF18,,-0.013721431070708551,-0.029420114664396434,,,,-0.017104437565040827
ADM,-0.011678610078415978,-0.028442297244034163,-0.06227778620527429,0.07847913136736874,-0.005552980131719293,-0.015192917174395845,0.04630211879568127
CCL15,,,,0.02442367146530867,,,-0.014834677372286876
GNAI2,0.005014389400243409,0.002579710542114419,0.06736612822001149,0.017907718674538445,0.04908005095013343,0.009504435292913773,-0.035205434865960554
HDC,,,,0.013573358005546533,-0.037634570886206364,,0.13756390240623928
COL11A1,-0.04584737574913962,0.0018323272273697306,0.009905131648943287,-0.010057313219420078,,-0.0051233346542223,0.018041285141578923
NUCB2,0.05793551176006733,-0.014997400554869244,0.037181318074059014,0.0007430180401249362,0.0547981190113621,-0.060427931105015195,-0.014486141716966798
CXCL1,-0.030336583091132942,0.01594493928880939,0.029272603214177205,-0.013565920145199759,-0.0037170504038691885,0.00426314095121267,-0.03731840467125703
VCAN,-0.07086137033578291,0.01796261733353918,-0.001993904116646631,0.038192447505265965,0.04876203312012361,0.010772816402230143,-0.10179076907241631
MMP7,,0.016574059811483594,,-0.015116629063620015,,,-0.101348202739749
PTPN6,0.031847261736655065,-0.02994349179385152,-0.046814137853842204,-0.02973434710079843,-0.031207285545463124,-0.022148229186607048,0.033205199768515783
PTGS2,-0.027073809067646868,-0.021834212756959633,0.03448702432327848,0.01134635463438457,0.022863831059587583,-0.0251185022864139,-0.03730966085188761
XCL1,,-0.014929408071633251,0.004294629320154393,,,,
CD58,0.019258457026357763,0.047190021238318135,-0.03762007641933544,0.0670092023105548,-0.06470305047398106,0.0041595326229121555,0.011626150970782524
TNFSF14,0.009257698158499627,-0.008122587345544401,0.015513759877973796,-0.013250334279713836,,-0.04227679034940003,0.09084708837687112
CNTN4,-0.01108818184138898,0.04747771198266741,-0.02754708946323269,-0.045374716674050804,,-0.004868130439890568,-0.02524212608438324
NTF4,,-0.01888504741691105,,,,,
INSL3,,-0.013721428379329933,,,,,-0.020312038208848943
BTLA,,-0.021780076841253715,0.017338580295270776,-0.016921130070288042,,,-0.01964072533265852
MFNG,0.025589611210083196,-0.0024432184965746057,0.048307473647150795,-0.004394075395972642,0.05878837259984896,-0.02072700678128714,0.025485498185224716
ICAM1,0.01678077823788937,0.006873892783642309,-0.04649289244335228,-0.014581819088901778,-0.039908912495123704,0.0626822123415561,-0.006805445186547648
PROS1,0.003135873335894003,0.00890106404668663,0.05663064181660108,0.0014867041803718543,-0.01587294927971716,0.00252823633679734,-0.05369856796120453
CLCF1,0.03249300853225614,-0.01726722701589215,0.0025339332919111237,0.06652437422019071,-0.039393999322882726,-0.011890618022268616,-0.05226104873504608
PSAP,0.007482731519880056,-0.005620016393588037,0.0292980850979298,0.020745623706752637,-0.018468369747016905,-0.006683144502090906,-0.013825625484621408
EFEMP1,0.029383888022709855,-0.016787624467146326,0.10478798862538156,-0.014345417139496476,0.07354565783844165,-0.049180300207706175,-0.08144206411603243
C1QTNF1,-0.035325240409858294,-0.011213417502830739,0.003457952183137764,-0.009821903355235164,0.006803263145379132,-0.04766367917904609,-0.02663166295132948
ALB,0.007969126254837687,-0.011920064428112942,0.010698875717018377,0.023687832203817347,-0.042222300300083955,0.01480475460777147,-0.0038804880673595004
EFNA3,-0.009182928070796676,-0.012694206719715152,-0.035709382737793886,-0.030755478104726976,-0.09982295486735383,-0.015584850295821915,0.05427956520200588
DRAXIN,0.040120815358400216,-0.0006320498884782798,0.008923892877546243,0.011406585243469632,-0.06007484142558542,-0.03765026742392348,-0.004515606025729211
RAET1L,,,,-0.01447339955591139,,,
NPTX2,-0.048768995079814685,-0.05860974744959697,-0.037695690381220344,0.0054140663457912935,,-0.06526748829981936,-0.009048534754314323
FGF11,-0.027219084992087195,-0.034970867686376216,0.011732571610285082,-0.027389725896943933,-0.038348039389099746,0.009354754890117722,0.08156525410852986
CD59,-0.00535057955295021,-0.0015419855715498119,-0.0003802917550490009,-0.003716835146659805,0.012799062438280223,-0.049445844779244644,-0.0535170143095291
COL9A2,0.009101123728871504,-0.005143177771420924,0.017171420360279934,-0.02742567270604489,-0.07679765652200253,-0.008540039108972844,0.09096986283066186
DLL3,-0.007473253082987086,0.01106890639556021,-0.06419977399234211,0.006999940425856329,-0.10350183266474014,-0.07617162844527638,0.11514113304548175
FGF5,,,,,,,-0.01937162253189955
LIN7C,-0.008355961281188918,-0.002676268839687148,-0.09158141144263107,0.02130566423815418,-0.05450121582211605,0.016966581616394943,0.08947321926376751
GDF7,0.059390436660256445,-0.024483034210496107,,-0.013250333764805822,,-0.03319948934106288,0.046392889492548245
PSPN,0.0008393239579124898,-0.04663463650956625,0.05572888874532244,0.025340779448380153,-0.00930537215629079,-0.04798721142298513,0.09676717465648324
ANGPT1,0.04207851559905405,0.01599163244923832,0.057690528847762206,-0.014993083810823924,-0.05474110024690933,-0.06525662283802185,0.010567706520085115
PNOC,0.03811750531670008,-0.04224313910408078,-0.10700458922082651,-0.057121073870231326,,,-0.020963909077372056
L1CAM,-0.05390722278166628,-0.04800259160287612,-0.037173850634347756,0.008846145039406155,-0.022764365858569675,-0.032435774094302795,0.040334773042570146
APOA1,-0.0014037549403695647,-0.021368857611266428,0.03928773618745637,-0.02144439303045359,-0.06281541796168269,0.02667374797956845,0.09858322837391303
PSEN1,-0.024262949797146154,0.006042258290281792,-0.039955826472655095,0.052297166353267935,0.054927614738506034,0.03806742241989246,0.012424380003553498
CALM2,0.03543986465427511,0.011651188433037354,-0.023573275681980956,0.01806833530381302,0.11697392888774745,-0.06211217738824904,0.06995456650621888
CLEC2B,0.007907140797037068,0.003440982364980298,-0.035203886222507266,-0.03551619723128875,0.0007581319888585293,-0.0665067364459481,-0.023203779657044867
NTNG1,-0.02250883034669632,0.04695266295132907,0.05169810726478571,0.036634768577993686,-0.02919335717480441,0.013924825170957413,0.10249223897891653
LRIG1,0.00773075629408512,-0.017367417635680373,0.054039970042015016,0.0162465977406706,-0.05847494879709068,0.024184118197310422,0.12075134709466273
CPAMD8,,0.019796801402798853,-0.00810020103655754,-0.02452527217372497,0.01280136569618202,0.055388651463992425,0.05607328793780031
GHRL,0.025326986298175973,-0.003681779322998952,-0.027036403733484857,-0.012084075172265087,0.051378174282118674,-0.040866279217603566,-0.02921694290409657
NPY,0.03371883099047504,0.06137703409582728,-0.06584558528981532,0.039903320293956476,,-0.025285155550547864,0.006970374606015637
MMP2,0.01505147482752251,0.0679178604192128,0.07214338079884214,0.020646306977200993,0.024109399834920768,-0.03169859534337769,0.017300411849214933
LHB,,-0.01413510550516432,,,,,
PPY,,0.02186038866180665,,,,,0.020363852637468646
ALKAL2,-0.021332831944474384,-0.013929744469154067,,0.023171463343247097,,-0.02040682523226031,-0.04335432223463962
CSF1,-0.044165554656494695,0.037062199657424126,0.04331979215391335,0.015392465100049144,-0.004470004455608469,0.022205134125229516,0.06991355262765153
SEMA4C,0.05835135388471381,-0.009487277795580425,0.029746445543691172,-0.013926626109029413,-0.040367865788108234,-0.008091702874178736,0.019404350231262118
BMP8A,,,,,,,0.07222039931760062
ICAM2,0.007349799717922268,0.01091672337781648,0.026047404100419565,0.003628467883400906,-0.0460500072411417,-0.03761334886008722,0.029872047251586615
SYTL3,-0.09545637127985603,-0.03359988925885799,-0.0021387700538011054,-0.027223276476866416,0.059275646755536406,-0.006597246953466517,0.013789341202453304
IL1A,-0.017350740322678904,0.010325944333625157,0.02849603235301402,0.002154092765440833,-0.024150072995085946,-0.0117334769491002,0.04961769284116215
HLA-G,,-0.014929406723382312,,,-0.032975974808095755,,
PGF,-0.007683041630883926,-0.016257975428844364,0.008473514750936325,-0.0218501303596699,0.11138045929586332,-0.0015115879798267508,0.030616350126880257
LGALS8,0.005566601400829775,0.05080145031860437,0.019639957629414086,-0.03016087420281027,0.044142704714118935,0.03218060443800314,-0.03356444846697315
DKK3,0.06714168381921008,0.038872160923386155,0.025026369270831385,-0.0030216475091605017,0.07910637049881498,0.0034744046292863617,-0.013776529848840084
COL16A1,0.0795140014560293,0.007023218237586501,0.05990204951652673,0.03790808843734368,-0.07292056003761269,-0.038324406798768064,0.06409957544086384
TPH1,,-0.027167664748425194,0.009561654473820005,,0.026944469809968452,-0.026573806330817174,0.025301258250194945
TNC,0.010921733550318169,-0.07355300060974077,0.05771499841924954,-0.02830908495463929,0.04468278305093794,0.06340734790742203,-0.07012315575149883
TNFSF9,0.05816732722473622,-0.012153458898997408,-0.05383266100107352,0.007849274058646966,-0.003546227244002144,-0.04763623852605672,-0.028852132542831612
C4A,-0.02102254966954026,0.10747471813463724,,,,-0.02767886445690352,0.01044699262057232
CNTN2,-0.011282177802753169,-0.002206972454276431,0.0010281868437397627,0.0014002373290740364,-0.019314246948048147,-0.06171557648047801,0.037906887006650396
LUM,0.011993653135353048,-0.032837353010742865,0.11041426247121214,-0.006701688282503947,0.13815923793318233,-0.00703616430168281,-0.03842510848569973
BTC,0.019927753903026677,0.03408318016883613,0.03347902835888837,0.017065045893496583,0.0261842948192209,-0.023749510297525207,0.05891779914498591
APOC1,-0.10593264867481844,0.018948328871728246,-0.04893399871670479,0.000934039076138832,0.009841802537229464,-0.023345347774638158,0.042953073409484996
PKM,0.03168854246531338,-0.06232359822433124,-0.008714032471625275,-0.028299009096559274,-0.035223157998161725,-0.0467096587840915,-0.0589340684330252
TNF,0.053244971107929855,0.013885139050612904,-0.010563100949738202,-0.017666650837348186,-0.054260807527322034,,0.01920771699402689
GNAS,-0.018168083319456838,0.04165151883408744,-0.03682369134095589,0.02708361600610945,-0.06834193366199648,0.057247048542756834,0.06298512804048309
