,UKF243,UKF248,UKF304,UKF313,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1
TNFSF13,,-0.025033668616951006,,,,,-0.021693331607614448,0.018347502065680893,0.014627493182584298
WNT5A,0.12012220548004057,-0.027276666309667373,0.01470826692552798,0.1428974124529906,0.061765682321045276,-0.04382973471403192,0.004373457092995431,-0.0002251179562019339,-0.017830691073868667
CXCL8,0.031994716189730564,0.1878601665994137,0.21719802331750565,0.024743612313912557,-0.11726610686079503,-0.028999344686734214,0.051827630937711776,0.1363477691892362,0.2634989210956602
GRN,0.03806391100846648,-0.11924108743467456,0.2588859159138111,0.05677077359506975,0.192490698309939,0.11248363535275477,0.0864525093972911,0.052992315594964576,0.03803390687376621
MIA,0.015344537052824004,0.015077175694292152,,-0.05326820162964313,-0.03932841206929001,-0.05224813145787578,0.12067054526877587,0.08123126142355373,0.014073598533625113
COL4A4,0.056395234650205996,-0.03984090191107732,,,,-0.020824171541751476,0.006660093939927886,-0.052922805394218855,-0.0020368683219857656
TAC1,-0.026234119314385754,-0.052366204553334635,-0.15566078073333417,,,,,,-0.019663568219660487
RARRES2,0.01953652618738457,-0.029900820115731867,0.06821172199857851,-0.09549841027692321,0.0176911593654373,0.06421293809917374,0.09841295458675212,0.14219490847915575,0.08321022370364382
FGF7,0.04450750968408817,,-0.018840797294087216,0.08673809341485528,0.03130076529318735,-0.01548617163961075,0.022403905775111012,-0.034665236147360265,0.014220691534006557
EFNA2,,,,,,,,-0.03920704291624269,
HBEGF,-0.018887399582973065,-0.012765258546940494,0.12229021550657734,0.19497889670115437,0.058072057977765434,0.052794607989435964,-0.02604235926001783,0.013967149920495895,0.05832573869054851
CSF3,-0.025838876448026918,,,0.027420508447876146,,,0.04660918378196131,0.11376798326752183,0.17282123520223464
PI3,0.06041074506667698,0.005327984612035434,,,-0.008798832711290661,,0.05336578940213453,0.1005106365636722,0.27934526993396586
PCSK1N,-0.08275100249158598,-0.09130271595967727,-0.22684412280039326,0.1120590262775411,0.07299892853299068,0.0197865790592282,0.010434020286331305,-0.13925112898974895,-0.10889293701750997
NTS,,,-0.03585959869584945,,,,-0.07154312122397201,-0.04776634173073976,-0.09431298275823824
SFRP1,-0.02561374446321706,0.016813943379949847,0.13088442749266466,0.11708451287849055,0.02934527696277835,-0.05791434237575577,0.008924200405231128,0.026351105105874864,-0.060233900032372424
CXCL13,,,,0.12941180044855224,,,0.03975527761825261,0.15676307086609478,-0.060160931835852846
MICA,0.0724731908871586,-0.05972907194462642,0.030698496170299988,0.041128586519644364,-0.028922554888797226,0.053769730861108936,0.10576241030910176,0.14708334444268625,-0.0838280340822858
TG,0.04068562352997593,-0.00836104130699163,,0.04468540913320724,-0.040194963125258984,0.08414164828982315,0.0026018600416752836,0.08117724876936547,-0.005231726270720981
ADA,-0.03548720278465769,-0.05774682450357929,0.08804652470086452,0.2628391249688488,-0.0037372366419260745,-0.020306584471656744,-0.06022868444567159,-0.008382213858762831,-0.04354634322962077
LAMC3,0.007699234993913334,-0.13842558679257042,0.05871303662259688,0.13856967354103122,0.19489244664914254,0.18301309512962657,0.057277021380502,0.02991268002602499,0.01913477186582133
CCL7,,0.10899507248941741,,,,,-0.045962894359954515,,
NGF,-0.023355255384343937,-0.03622944023312396,-0.03479819081069294,0.14754982734430996,,0.0902627325023258,0.11038275287232924,-0.038680034298088584,-0.04374044161359821
TNFSF15,-0.028893365725860844,,,0.04586053035330277,,-0.02471926734854969,-0.01505620975921369,,0.010152954616993965
HMGB1,-0.048812823191827,-0.13859039488653319,0.1524368351019576,0.32543440623558995,0.04954957015436397,-0.06757753851914092,-0.029917801471128665,-0.11585373570590685,-0.02475982167228194
ITGB3BP,0.01807505693277268,0.05421239996980737,0.034161116338389835,0.14126728391502258,0.011788871560303484,-0.014470660314954623,-0.0551859632028891,0.0206402375654524,0.038331593918878276
AANAT,-0.04186060235197615,-0.018899044534436037,0.01840473451506803,,0.15733179122129878,-0.01715497424323945,0.05061217626145858,0.019300058713242762,
RELN,-0.040269511208921964,-0.06072432607073094,-0.05137785956711646,,,,,,0.04218668302066151
IL15,0.018744102609865185,0.018815271306176762,0.05441130077214672,0.027859947281707497,0.016748538491970038,-0.028999420479095348,-0.0026065418047823913,0.0015978589728960154,0.04252295027421403
UTS2,,,,,-0.060650051907553244,,0.053901238741475364,,
BSG,-0.023530030135616373,-0.1063155720282891,-0.07596231303403918,-0.033395290996265266,-0.08725984247520757,-0.005650978954878905,0.13885168246931773,0.12565122870316997,0.04652816279847672
ADAMTS3,-0.04223090468728612,-0.09584563818163909,0.026802384206212514,0.10353899716609273,0.058750737523689735,-0.020541335207507717,-0.020465870328065072,-0.07155481926064224,-0.048442677750137886
CD34,-0.031484501804989976,-0.13130988357038784,0.02740258130453565,0.2018947114546619,0.12015060610357775,-0.0029868512965215343,0.07500106004964185,0.08855940108734098,-0.05681668344672221
PLAT,-0.04636049699269306,-0.22112306877961993,0.002795978401723306,0.042646749288097356,0.13596351888225125,0.06784881944479382,0.06536602942293439,-0.08234633570156061,-0.034186907829507056
NTF3,,,,-0.019435701323570538,,,0.01945250546550268,-0.06215711571105428,-0.05934635550809316
CKLF,-0.04135800347726307,-0.14523678799885809,0.11651581693693362,0.19075030379697577,-0.022141123415215073,-0.13587743456517623,-0.015488525399861097,-0.021220378691557254,-0.09738593747052127
APELA,,,,-0.00040669964573472676,,,,,
CD24,0.022168266889888155,-0.12701921127322424,-0.009813074980343922,0.16488774255838803,-0.0018818178386164391,-0.08611658013391942,-0.044684081069879235,-0.07615341324875372,-0.1388675704768983
HSP90AA1,-0.023446420981242496,0.15340570804534523,-0.22020878906157862,-0.028624493188395266,0.024718302238590516,0.15237530929985094,-0.039172859950366144,0.04329937045551433,0.17439230413875856
BMP4,4.4182932829646914e-06,-0.027886253650320634,0.06875060866677012,-0.020464524435114654,-0.039267015832477964,0.05240722702476016,-0.006699266406171837,0.07950146648330852,0.06007116774403087
SCGB3A1,,-0.021101039294442802,-0.000689474713019789,0.09965268821559484,-0.04298066073959554,,-0.005897630795177635,-0.0182405025731067,0.010159181805741237
IGFBP4,-0.04652385889334843,-0.12149197553173866,0.19355759647669682,0.20686822767803484,0.14325902262869836,0.19201044236369078,0.08365894991168486,0.036107443013201325,0.1222703226765876
RSPO4,0.05680712122438323,,,,,,,,-0.04818842259295714
LEFTY2,-0.03510072264280406,-0.10484829613192825,0.0037744079050321005,-0.06599317563117349,0.03547788335504521,-0.021922603201659015,-0.03901729242484413,0.11725825518923763,-0.03275342894746061
PF4,,-0.021888941055721634,,,,,,-0.023259978976229084,
ANGPTL2,0.0437920990253794,-0.10917307517372378,0.189236344855176,-0.08848850096911798,-0.08342704518257,-0.03902072719135515,0.07078472304703398,-0.028565991525969465,-0.0220477778006357
LRIG2,-0.047882312126389645,0.05386202721759199,-0.02986091815442827,0.10394601101225914,-0.07701929489271613,-0.0814566686770258,0.049789550825493016,0.04969392184013923,0.05503988881812295
ICOSLG,0.04836150711085716,-0.08452468895277453,0.0688820233432167,-0.0004553863619128339,0.04469195409140234,0.11041790652590852,0.04002462927983705,0.07917517916943272,-0.031872438478594854
WIF1,0.017179966120453326,-0.03067446892590997,-0.09768699724689722,,,,,,-0.056916699843452365
NPPC,-0.05822729428974669,-0.033649824243564636,-0.06643092299146956,,-0.008585839440857527,-0.020541295756643402,-0.007037951683270867,-0.03568873703117446,-0.0670997450506695
LYZ,0.0416103564758405,-0.01645636024261524,0.34801816716669465,0.16501734928028283,0.1409254484786431,0.14958952992852287,0.061816404563720985,0.1212226884363341,-0.025173002681508714
EREG,,,0.08647306526340617,-0.029105147710311415,,,0.027823030232535927,0.21293387444131778,0.16029266746770732
SPTAN1,-0.058146793965355464,-0.15868621854742707,-0.2534215052447915,0.06735946760110514,0.10728881099150529,-0.07263383245824916,0.05067870703745678,-0.1024694818650732,-0.1230955452185998
PTH2,,,,,,,,,-0.032624139093008604
LIPC,-0.019735495893437986,-0.026797817246358862,0.030160023591490587,-0.0026883631908368013,-0.03871213890124321,-0.042205677568192775,,,
COL8A1,0.08231809293669934,-0.0443078260355656,0.17770164295584234,-0.2698023079270131,0.05040979138205203,0.20773360329778867,0.11375776391871319,0.1612521854507144,-0.0029078640860397335
GSTM2,-0.05285620395715261,-0.05924686649912085,-0.011706891475151296,0.07880841380834504,0.0062676223215670426,-0.051679794825321125,-0.010080840077055665,0.009296420049927628,-0.07674352772798537
IL4,,,,,-0.00531222363574045,,,,
SPX,-0.040359829118581006,-0.04334123564118068,-0.06905819777709334,,,0.022350189623484517,-0.017905869214677274,0.0822227614179197,0.013417619574434545
MFGE8,0.11166640141640492,-0.06405909665896951,-0.03450412328611076,-0.13856951482386182,0.06594930488432317,0.012034826874012966,0.0718792482131279,0.0916570784852677,-0.009824957374674361
TGFA,0.046893234061617675,-0.02479932548190098,0.037802430062215106,0.06283610919833538,0.029411853304978225,0.031814095127063645,0.0761941212742387,-0.015845406374621316,-0.15414221618508375
SLIT2,-0.022595382785474554,-0.047105347599947014,-0.11504691057406762,0.07640916280893989,-0.004387590544791332,-0.023230388883444603,0.061189161311856755,0.043828175523862846,-0.012554129286159366
PLTP,-0.02383644632275351,-0.04546780647287402,0.32568870325419835,0.20923636041867352,0.08307341468102601,0.09240882374915634,0.08200036190829599,0.03661750432850574,0.07222935585328907
APOD,-0.037498640765122035,-0.10258900703145805,0.15885497024987305,0.06065188790881516,0.06814802479910094,0.2144502389518518,0.07275507836887161,-0.08715955537068534,0.12986177094290768
B2M,0.027556394466866457,-0.11142884503030095,0.3061924252873616,0.29693609165720286,0.1368498976853293,0.16729473001180495,0.12474331924445481,0.05738189253274604,0.09822094681638148
OMG,-0.040404459170680584,-0.15385242448291403,0.022833954991553676,0.0015728394757592381,0.06052309086569601,0.03912192236369307,-0.029328791621339886,-0.04987393456332702,-0.09883657758424234
CXCL3,0.06768447672227905,0.06832146528390982,-0.006812447068441373,0.32489665696422604,-0.001982915412792358,,0.05778874440926981,0.164797035222599,0.08223893625111013
CXCL10,-0.05278997673578709,-0.051519498245696675,0.06567284076401464,0.0438774576075262,-0.07976072237373358,0.10741754337594576,-0.047462584895736695,0.06430523388912036,0.017325802558978733
RSPO3,,0.007970373321548136,-0.13364792846708123,,,,-0.07574887008217845,-0.05194200976190453,-0.08025972162604733
CORT,-0.031988097234369885,-0.05711354585397803,-0.04026430708821477,,,,-0.05240986306455903,-0.037605165348180154,-0.055061001735979505
NCAN,-0.1684226410206309,-0.18141355725492972,-0.13604086269538107,,0.05503143862400762,-0.03640594780716707,0.06638989154042635,-0.11336672918606734,-0.14450708939700443
PRG4,-0.043656242232524435,-0.009691753597497889,,,,,0.10255512071439155,0.07460352498193808,0.06721711837594387
ZG16B,,0.0198437360953283,,-0.010038788154161017,,-0.019070588021692293,,,
TGM2,0.07265919837623383,-0.012257522855003453,0.11427834103806449,0.09836384121002258,-0.10601417198581431,0.19485990320734117,0.09290007941531252,0.13437043813539037,0.028705663656619324
VEGFC,0.07914835199369781,0.014955892430248271,0.13549025911747142,0.056655724037600434,-0.01524303710882335,-0.024719269552931033,0.025742301839441383,0.05410234376484985,0.022609193900410062
WNT6,-0.01143394394427213,0.04004712940268908,,-0.07116823343312668,-0.046924995813721636,0.292450415578629,0.03292709234323151,0.051383548776034564,0.03993643904115464
NRG4,-0.02960631461905835,-0.0194347999391191,-0.06699168794552662,,,,,,-0.029877630126746275
PMCH,,0.008033560900711096,,,,,0.09964146354524671,-0.05276205883780749,-0.03760982423803747
COL9A1,-0.046122944010885354,-0.058698625840552895,-0.06350404769922928,,0.01436543383161816,-0.057508794950459116,-0.04518309163438499,-0.03426920636950593,0.01816927580732928
GDF11,-0.032523602322187276,-0.045393252594220265,-0.014657758161746092,0.09654069890024229,0.01699345574957419,0.015465901670955552,-0.02740269174196128,-0.03374514039784038,-0.044368596439646864
IL24,,,,-0.028318588899629234,,,0.03589397358137196,0.029364601687146632,
SORBS1,-0.007315027281909568,-0.06103141011903298,0.053369097380345135,0.009780204470452988,-0.05861237039912607,-0.07933718474442839,0.021027869695622953,0.0013633368769558362,-0.0071906296676944505
DLL1,-0.07222637551913637,-0.1597451747420616,0.027791632864807268,0.10174560849631022,-0.08788226188730695,0.05359527540644976,0.02734895493176447,-0.079318274250303,-0.08588219460835779
TLN1,-0.03425733351597194,-0.0514955411979004,0.18962772619592316,0.09566549002573205,0.09904784522890024,0.08411618631794557,0.03947163250399007,0.04138976653973754,0.017330788101070048
COL2A1,-0.030304012643033208,-0.0916037251665219,,,,,0.07697584944115507,0.025125485603057312,-0.021555256895098112
SHH,,,,,-0.01869789841253161,,0.008795295867669745,0.03243278117158317,0.003603837532586493
PON2,-0.11924675632437474,-0.1951830111078235,0.092060529466658,0.19295557434083527,0.015111356982575049,-0.1054402353683575,0.07399131492380213,0.002877927838817135,-0.08125846388734145
ICAM5,-0.00999771181727538,-0.05687169327530564,-0.12113602322230159,-0.05438348802526126,,,-0.025816851163560205,0.016586630628022483,-0.06069474391525682
HPX,0.07445119559033098,0.030566737311722866,,0.036655259030799144,-0.04252233402940069,-0.03125380330107008,0.163757072799262,0.11350745714889818,-0.046875859643639155
SFRP2,0.008616373399983076,-0.02805388797496604,0.10734029073224693,-0.06919600346718549,-0.007869093050136193,0.17906623866174926,0.05052560870922108,-0.01404279172732496,0.10946653845400506
CFC1,,,-0.05671650479123937,,,,,,
CD70,,-0.023210824971094793,,0.13873744904007254,,,0.07426834487364621,0.15236668576000284,0.07366856632386469
HP,-0.029341717631265283,-0.04853226170243736,0.057853253028102285,,-0.10679292574109779,-0.07435000356325533,0.06499096236130267,-0.06987210148567896,0.135588917551224
CXCL2,0.0425747414484167,-0.04097319947640655,-0.038225061241879375,0.2510687022277332,-0.052394460614904506,,0.1375465088267113,0.14661480538449492,0.08702226656129577
NPPB,,-0.027222382945719742,,,,,-0.035346060926285325,0.03954597710595382,0.02122216613084173
CCK,0.046928737917358396,-0.13043246276257048,-0.2817708290045535,,,0.13005395611285442,-0.10439912698032595,-0.02384706801858128,-0.11953902008970195
SEMA6A,-0.08197272588038355,-0.1268920975345195,0.09011195297695027,0.08585334330536988,0.0968184127496614,-0.03053478750955171,-0.00766458261333321,-0.0315697274292652,-0.10816340976310167
IRAK4,0.11533413054288746,-0.05039795356481091,0.013132953699013534,0.16346606445876533,0.06137255317210319,0.04225454305049124,0.06563350977657659,-0.03951696182523803,0.054234860111118
GSTP1,0.013830966301968574,-0.12192808995595654,0.2524059571411314,-0.03053598563356712,-0.007828611016361122,0.08057560760275123,0.08304561953010185,0.037287620139734114,-0.06545167181890547
VCAM1,-0.01135702655666239,-0.1359774705230806,0.17043259973139543,-0.0809453056723712,-0.007555860980456144,0.10828536477192907,0.11170265906632888,0.07257826845073596,0.06666129043298197
NXPH3,0.06248350694251013,-0.06369418140905071,-0.04105811880350602,-0.011058614825084712,0.03713275971995193,-0.05174147321072339,0.08394085271380038,0.04645527498826439,-0.11277230787164597
MTMR4,0.004672698963812061,-0.003482159063494408,-0.01861250429986819,0.09188424941581913,-0.11309835139408433,-0.03103976141948798,-0.03324523553024252,-0.04983336410975615,-0.0009308071695936117
LAMC2,0.015891265465374893,0.07771181827597079,,0.015865586024678725,,,0.00906481591150877,-0.007821508916080546,0.013277749757273857
IL10,0.01548940073694975,-0.020097759111014135,0.13893733196333674,0.20384047171960315,0.14895106401905578,-0.009821511843564168,-0.017961819755857884,0.06316411657552472,0.06815454603930891
SEMA4D,0.015538186411754177,-0.0594617858948447,0.16190643917098432,0.08296278597002021,-0.024151505908540937,-0.022875816195774966,-0.04236110593209303,-0.05824599988593743,-0.06456942398859186
TRH,0.028049839059360895,-0.025389100138755356,-0.07131640273461559,,-0.053634643679487205,,-0.005881948777008474,-0.028088313161784964,-0.0715295960569346
SEMA6D,-0.06979367018592211,-0.033943863529819575,-0.05302364583837899,0.05019932797132856,-0.02072822143059774,-0.023547298637504745,0.0026566380676404833,-0.03379933421637551,-0.07035373206347233
CEL,,,,,0.04888322158173411,-0.02636409787738411,0.07798204712868889,0.03987803406201712,-0.0797455237109246
PDCD1LG2,0.0214966173698943,-0.05959816243598798,0.07331164790733022,-0.023961066181156294,-0.02697855804555873,0.004646006008281958,0.05962996189304976,-0.00892343975343617,-0.039474181735398114
SPINT1,0.08746770151115106,0.007961421707097013,-0.04468770143376541,0.05907196635539057,0.2817514518339671,0.08166997556694161,0.029764445666392778,-0.041420885299306674,-0.09757654000869259
CTHRC1,0.007535698361541787,-0.12291277868432306,0.1677582533454146,-0.10773638976476045,-0.052981060115475626,0.1498633657525376,0.025586869500580464,0.12442142082011196,0.02307278475975109
PODXL,-0.04426840885616985,-0.20764039660139308,-0.024266963163411787,0.20311289947576686,0.11912051359577236,0.1019239555816396,0.07673303352452057,0.0070371977583295895,-0.07442637631700928
JAM3,-0.020170574249089312,-0.020354804174006955,0.1568093972962558,0.0554835224383672,0.18220859314436572,-0.008265777462193149,0.06626255742327027,0.09544080587602187,0.10398742134232998
TGFB2,0.01397987541272295,-0.06556516245793563,0.08596753745804951,0.1572118731552078,-0.03962394624600649,-0.09133714280364479,-0.06648256130244658,-0.019822689890332677,-0.04958562134819582
COL18A1,-0.01651297463284844,-0.12572426433402947,0.16860911074063722,0.264941375398082,0.16784242482440342,0.17890379731339892,0.13093790243066708,0.13393326755032267,0.10223056564735533
NODAL,,0.015211636479027192,,,0.12010316129328472,-0.06439556768874206,0.006757791952881806,-0.02194286254262608,-0.014237394492712361
INHBB,0.03301737355738237,0.01966184821179149,0.0513103931557837,0.14779309342547073,-0.11875865082882939,-0.08836955613345744,0.08591434517859585,0.134025242960172,0.04407881337919024
LCN1,,-0.02136672896148612,,,,,0.022473519499904802,-0.0176705898913588,
ARF4,-0.011168209658288932,0.02655835600940044,0.13593360149885547,0.21958260872352395,0.10065962873745402,-0.09700667770468555,0.09929079235887424,-0.0051157758790744065,-0.06568266187841205
CXCL14,0.053354645597848346,-0.03325739974361941,-0.13940074758015036,-0.03208834157568032,-0.07344221922006637,-0.07841120761616645,-0.056312421491585225,0.028444985874693914,0.026668675784782134
LIF,0.02636325278209103,0.007874507293147363,0.15758331070682421,0.14531122100741206,0.04846525438042904,-0.04834530470622423,-0.015378057216738137,0.09577480496115727,0.062461535885137226
IL17B,-0.032315494386731564,,,0.03734056290401834,-0.048800862356665926,,-0.011008151989535274,-0.0022836752255856437,-0.06428584024930795
MMP1,,-0.029457564198524713,,-0.27653456611713745,0.01751475756399072,,-0.016162733858194993,0.08814183779976378,-0.028858831760703675
MATN1,-0.0027212737177522844,0.02323502181203298,,0.08235636719818144,,,0.07148345393270623,-0.003711730574130431,-0.05954518153646938
ADAM28,-0.06610877484022541,-0.019387031750416076,0.13348978595214717,0.02599685949563575,0.062039294958554335,0.054185321725693264,0.025630576532894765,-0.003619200909404672,-0.07054046761274252
TCN2,0.07741291631900868,-0.16580404530303833,0.05694916654945213,0.07929333359276106,0.029310955048956318,0.12899069103350413,-0.004982724532061982,0.07973477269430462,-0.001384606664653431
THPO,,-0.03655538259332568,0.024100148931047574,,-0.04692509050581001,-0.019670898989261092,,,0.013433588964884764
CUBN,-0.014899779374101437,-0.06416650485941053,0.03047346717218763,0.1330636915767626,-0.08842872596641095,-0.07841126833140981,0.010477336808452746,-0.005428362130764033,0.08196583749708548
TIMP3,-0.030409276718342308,-0.001699902538668202,0.006575547070349318,-0.17110035933380066,0.0816057379911522,0.19494444626709964,0.10244087343214439,0.14871913342267384,0.03903018750505837
PIGF,0.019774200953075614,-0.07012393086230508,0.1108819776402696,0.18930822639815006,-0.005898999593053207,-0.050044059275040256,0.03605147176383645,-0.003879941091984053,-0.061944109676413166
CRH,,-0.025033666869240866,-0.007305344462389972,,,,-0.006987211116880064,-0.059774078728104287,-0.030417015627830227
BDNF,0.008658936187588902,-0.02759602715068552,-0.010726719964625047,0.037820213334656905,0.008027979959242102,,0.04039898625268463,0.03709268906190814,0.0013840845923442909
CCL5,0.03821513333104456,-0.1125614161385791,0.10749762248256466,0.174219959167288,-0.07224246649081835,0.1338544082208712,0.042028313245460545,0.10229422454325436,0.04550723860282143
GAD1,0.06689675808012945,-0.06891402274697238,-0.2045106706152329,0.0013683984340755325,-0.16721017486240303,-0.06990633696489096,0.019420498174421787,0.0989262932185023,-0.09972167617124782
COL14A1,0.004353218635777088,-0.05063033347268282,0.0567161466107129,-0.04077595198533742,0.005839448226728098,0.07015333587852277,0.09299524097198611,0.13827250525585313,0.003171724412711574
HLA-A,-0.007773837183516712,0.057712353273421606,0.2913059089634653,-0.13391561872799942,0.09063678245800462,0.18898353327545944,0.13138568607672232,0.14295005970683589,0.18297390821106485
CD5L,,-0.010916961869933371,0.03862467505559681,,,-0.022453790633548742,,,
FGF18,,-0.00701936383929926,,-0.03169037710075703,,,-0.006051020791134019,0.016887559058931613,-0.01794991698176033
ADM,0.07049652431614359,0.2149596256566928,0.06900447010559689,-0.2284590714937897,-0.07183929235738891,-0.04631350629674856,0.08051312560837251,0.1994529417727248,0.1691881489038091
CCL15,,-0.04176645088539145,,,,,,,
GNAI2,0.008124885402149716,-0.10939564758248457,0.20883154158571898,-0.12185312444081389,-0.08353895016148626,-0.06737089101278852,0.11168817721334359,-0.011764306720416555,0.17321527427140543
COL11A1,,-0.05954377563384332,0.03579702531379587,-0.08218599168095841,-0.04420355397437468,0.04971161727094171,0.0675352931837324,0.08200434593985746,0.02562537674482113
NUCB2,0.05388490188998954,0.15731540146558493,0.010357266227041471,0.05504360223566577,-0.011959025152808205,0.04989062920083455,0.017906408222257805,-0.01572858272009586,0.03489364983931039
CXCL1,0.015640514633715494,-0.07724384934732963,0.15321391413049884,0.40757946052878885,-0.03522669971665352,,0.053885028711910324,0.15346396017230143,0.2036550670226392
VCAN,0.040788227870440376,-0.08386566619168838,0.03552970120883913,0.18027073168308058,0.13234093585658077,0.06507131351802135,-0.07535927305794594,-0.09462019615918134,0.11558866120776619
MMP7,0.09167687462222567,-0.03943092868906014,-0.01910866528814088,-0.019409133906153255,-0.06714890836261772,,0.07686660772868255,0.09371356770917998,0.1831650261665178
PTPN6,0.05226478515827683,-0.11160872321809932,0.08651670204992787,0.155584086745653,0.004788402016974162,0.05502864951544395,0.022294635908425217,0.0787009092515799,-0.02932183226797206
PTGS2,0.05427578117048714,0.10785480067843951,-0.03108984399178588,0.06626660330221222,0.008634841367691447,0.05565656388394738,0.07197516681975173,0.19343905081573157,0.16690523976447705
XCL1,,-0.02743241818981542,-0.01003332203442403,0.08841114065301052,,,,,
CD58,-0.03811557385964558,-0.08392944398797597,0.026628943396221745,0.15440169052457314,0.05892650258371625,-0.057105959813286485,0.12728227263936207,0.031630673442104136,0.052813574444243505
TNFSF14,0.005103963774244869,-0.02764098934926009,0.19764310710597993,,-0.04547831186007538,0.0009816393217032123,0.024753005943118064,-0.0304682478620071,0.030754520058507158
CNTN4,0.019230360851280232,-0.004012630270041808,-0.1650836987353703,,,-0.034874470231042475,0.01703982975082302,0.034977243644142224,-0.04469293975638832
INSL3,,-0.024574383797704904,,,,,-0.014197897017636024,-0.04074960180798176,-0.025754139160368266
BTLA,,,,,,-0.025198581545410347,,,
MFNG,0.09174649256030899,-0.11420111790697585,0.027474877526111278,0.12523868415975306,0.02215779220440439,0.10569223605861898,-0.041520239353586924,-0.04138083643638473,-0.024956523827915807
ICAM1,0.09322837678264154,0.07384579908852493,0.15187535738107757,0.06516784652967324,-0.08683975222039224,0.11303937736680784,0.06272231784593625,0.16078472424473972,0.029201013426665694
PROS1,0.057305729125352485,-0.06912643463677873,0.08513416957649644,0.18989613887988466,0.07220504426564137,-0.03205610631327037,0.12972161469756613,0.140244902727134,0.0981111543238884
CLCF1,0.06450145825588592,-0.02158054180901676,0.054361779090853234,0.021963608440564605,-0.050194496311755876,0.024766712033660637,0.01175385330397177,0.15750606876064244,0.06424850379358536
PSAP,0.037856916537979395,-0.0038195454217260774,0.21086277630942657,-0.0938060572884709,0.13860380927370616,0.13920988661342223,0.20603201789946088,0.11861835074559053,-0.04920783823197633
EFEMP1,0.07149034995025019,-0.011613412123125638,0.25979499359717156,0.01769514352760031,-0.024360783872526957,-0.12925496976808906,0.10704977028343098,0.11834757482500624,0.0789100386738465
C1QTNF1,0.00834524732692632,0.06888357321152301,0.010804499251123388,-0.09893421213460643,0.11810076255812646,0.08426011829738318,0.0953454285297482,0.07543104492490069,0.03502862500245477
ALB,-0.036038134534632366,-0.018410533535694162,0.08142212089699455,-0.0241003009216143,-0.05239454183066206,-0.03613860905249219,-0.02780307207919481,0.01897890707168287,-0.003483531199346415
CCL13,,,,0.09102984617061334,,,-0.006792832686641412,,0.2755114080076086
EFNA3,0.04771299683099282,0.08773481661332244,-0.10203984123029455,0.00399033428508757,-0.14795314410533358,-0.085061228077189,0.06687541388276383,0.05529234142806911,-0.05109375910438922
DRAXIN,-0.013244991012955079,-0.011170542571335236,-0.07511310300566268,0.10728825719430289,-0.03388130462879207,-0.07729606477263641,0.05004370984326622,-0.011646053255790602,-0.01802804071667557
RAET1L,,-0.019143683642050206,,,,,,-0.021152407585626188,-0.026725071911193898
NPTX2,0.00970395213839358,-0.062210779191724366,0.1819886877982209,0.14873587468125493,0.03830990933381503,0.022095846846237843,0.04417061772349212,0.05689574364427457,0.17239945174574434
FGF11,-0.04061785250466762,0.07264653398845268,0.0523796056498084,-0.10390174784609488,-0.09517359964980535,-0.08861439661758734,0.08763022685419948,0.12444682556446927,-0.020046688667254568
