,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
MIA,0.017844421224654596,-0.01809354023231614,0.03811027366092665,0.060337963690825724,0.035874622636212765,0.04062037840603238,0.07001215912026985,-0.02580644647843746,0.04387201497628866,0.00036592313836639125,0.03541163809475476,,-0.02466452430991953,-0.01035403829720642,0.08263044417626574,-0.10681819730619384,0.13184602646278723,-0.017303172074321332,0.05400147719966697,-0.025025020008625113,0.023949697480447098,0.024078057238536288,0.008861640389283562
COL4A4,0.044302967674347736,0.024832832071990277,0.012530079513529156,-0.01688672945373802,-0.004730743154633922,-0.021969591808296222,0.0216436198026328,-0.019125353606161837,-0.014273199329613084,-0.030734128609473308,-0.026135168965285446,,,-0.024482462377192753,,,-0.037329625491287266,-0.033906635781013834,0.06835430956962615,0.04254486332641956,0.005950197168529141,0.05188699330799089,-0.033594998967492996
TAC1,-0.022556344465204565,-0.05604581730188935,0.03261566325834341,0.08619071720508491,0.08015642456107622,0.04183846869976748,-0.027173851411200885,-0.061926153146141874,-0.12748993161699604,0.026950807607794752,0.034271953790331086,0.017639745687509062,,-0.0173459453118278,,,,,,,0.002123051012807462,0.022420541068249988,-0.03888417668056942
RARRES2,0.025028722545494077,-0.04857815316077042,-0.047643116040487245,-0.012001380162686287,0.050357686992325255,-0.008903710993146305,0.07116188183749755,0.029746273830150032,0.0884742761296931,-0.020446079098763593,-0.009012533314583819,0.020430328255090422,0.042487071310005245,0.010064098348527409,0.06101630824027272,-0.022072247569597827,-0.009459375013784969,0.0011126995391866784,0.056681772928769074,0.029850789763962413,0.006665801548794972,0.07414165611568016,-0.0794944212265542
FGF7,0.0869800502674079,-0.025686589374376314,,-0.021373544172825193,0.11859077468227838,0.01981779335551573,0.05709935784535791,0.07907675226472892,0.0003421822557210015,0.03365066055894371,-0.00760603123706317,0.023931728199716822,-0.03962550278330541,0.02504725476339598,0.04107988207072486,0.017727593553558862,0.0277833635816512,-0.022737379555263077,0.03707906237236495,-0.016662658539906432,0.011932992728116903,0.08426660485935508,0.02855041029863336
EFNA2,,,,,,,,,,,,,,,,,,,-0.02570775028291897,,,,
HBEGF,-0.051008784734351435,-0.004904979449678635,0.006054457420659554,-0.025393855286487018,0.04316588482180937,0.016937466448627703,0.03330024438201815,0.11453585859840094,0.031260735892509356,0.03937917161112997,-0.003278330730586217,0.09713573764368301,0.025140294807189274,0.019625889311056237,-0.019063957589195376,-0.027119762442192046,-0.027212577537949457,0.023323361383670124,0.07500513607632535,-0.03399996489256279,-0.03751091208829781,-0.02092995528853274,0.028186602578732314
CSF3,,-0.01846954710647785,,,0.05968101012298201,0.06951898703425712,0.021341418571528794,,0.02512829329092821,,,,0.0015713996455210214,,,,,,0.12177830489333746,,0.030477233267106663,0.12241957627199263,-0.03533809511224502
PI3,,-0.04150443566619008,0.01789879940843594,,-0.01866496870483276,0.04989840070737181,0.07360848140398772,,0.03553521861110412,,,,,,,0.0039591045742676965,,,-0.0022461172455130306,-0.026530908244628146,-0.07249678594887962,-0.05878703809607446,-0.04294762871774006
PCSK1N,0.05626292983347486,-0.05513602696223329,-0.04848239883387083,0.028549003977674528,0.02197760186383942,-0.060582939495128565,-0.022253108308767162,0.018714021847996188,-0.065711973214366,0.009169903737183072,-0.026973189014231267,0.007839269958973718,-0.02342234248455136,-0.009564302086416374,0.026957071986237105,-0.0013253002971493958,-0.0013905436642583625,-0.01577149844438271,-0.09265286647792484,0.0312981366983966,0.06154919480734029,0.03600615013915623,0.04953973824116603
