,UKF269,UKF313,ZH916bulk
NXPH1,0.0491130659201008,,-0.03021143429526584
ARF1,0.002427591631174862,0.08364052920279663,0.04477557239312184
DSC3,,0.03993214270951798,
EBI3,0.0026664209886056514,0.08137970660743502,0.011070485686825232
TIMP1,0.028421057070202826,-0.0666852662662444,0.06880807388139652
SEMA3C,-0.05208196059309174,-0.039603320393281634,0.015997391604393778
GAS6,0.08600004161910729,-0.05661937759310853,0.03574021062692039
MEPE,0.03744289519015614,,0.0312199415951699
SERPINE1,0.00962563296495159,-0.10205549240552206,0.03572805415061618
RSPO2,0.09516287062438879,,0.02626683891748359
SHBG,-0.013555169122981993,,0.06473424913303681
LGALS3BP,-0.00503805503477231,0.029526972782058906,0.06516676143597912
LAMB1,0.04565666235358657,-0.002609066155854921,0.03906302745654949
SPTBN2,0.03867970285297865,0.04298030346245449,0.03616059923326174
COL1A2,0.052170748620117384,-0.014339837863211621,0.06149097537310978
DEFB1,,,0.13697678678589695
WNT11,-0.012542869118986291,0.11841202324022397,-0.02010575878350351
LGALS1,0.039185396447633615,-0.14187219501154513,0.05245200467623016
BCAN,-0.009184950480797545,0.03331757436799118,0.04192232565201993
ANOS1,0.010117025088525999,0.015871116913585778,0.0298790449077925
EDA,-0.014997049024230805,0.012407473664220466,0.12293395079658338
FGF22,-0.011497189939494966,,-0.027954189993442846
SHANK1,0.09394594753680406,,0.034962434538802205
RAET1G,,,-0.018516452843325586
TGFB1,0.008313572855639068,-0.000813160040462617,0.008187283131003035
MSTN,-0.008987586821895426,,-0.02503808059602891
WNT4,-0.013035905957896382,,0.13661666858006044
TNFSF4,0.186418677305932,0.0011593238006850375,0.09051605679071938
NTN1,0.035446725283801696,0.07005925871432554,0.05388971547820431
CXCL12,0.07476932106628674,0.10274486947891273,0.053615110060822375
GNRH1,0.02793056517709271,-0.005232375820548827,0.14934058565207814
RIMS1,0.06247349237464454,,0.023274960871736698
FGF14,0.06659437812815121,,-0.013676515451645024
IGF1,0.00917005924947362,0.05650064944179795,0.057873268371250584
TNFSF10,0.045418905410670604,0.07589810043717808,-0.020698915606034055
GDF5,-0.001659507752126394,0.022265089040770666,-0.021274176128908168
RGMA,-0.0024298345315720855,-0.0458691420756111,0.05914949961213418
WNT16,-0.02118403304192225,0.07997281136847514,0.0072384697250799015
CX3CL1,0.018830485587440216,0.09806186575081223,0.023017525126635838
FGF1,-0.067956012396376,0.06751929777698303,-0.04844509323495429
ALOX5AP,-0.008946828471517527,0.003970009034778596,-0.028995845728383794
IL1RN,-0.011677641711645825,0.03930149699475255,0.03566366957289298
PCSK9,,-0.0004904316892277678,
NPW,,-0.04352171635003419,0.017759466397982912
CXCL9,-0.014123434857167005,-0.014770127932442177,-0.029982318980952414
ANGPTL4,-0.03344706982305714,-0.10571128059565021,0.03528195203503727
CCL11,,0.0013529738315249174,
UCN2,-0.012374408458324994,0.027135929278437585,
OBP2A,,-0.02345798255797869,
COL4A3,,,0.09358840850293701
NRG3,-0.009953926266344384,,0.011354457772379194
IL23A,-0.015138114851243951,,-0.02485748196037925
COLQ,0.027486434871185905,0.006224892680317264,0.07054528089620665
TNFSF12,0.018121176086643202,0.02730422068664595,0.06846026053127646
DKK2,-0.02203805965938915,0.014722060677332664,0.036394727544617686
FYN,-0.007741454842003882,0.014273526669222132,0.031856484898428586
ACE,0.06224659752901636,0.07567115266484666,-0.0053084243751458015
IL18,0.03009190673002255,0.0577702351235889,0.03550375834099961
PPBP,,-0.03280661067629539,-0.020752738173409103
CCL27,-0.018578200080226495,,0.029723611767770004
SERPING1,0.006366775770263774,0.030309624824446046,0.06279960150462265
AZGP1,0.04555345856932181,,0.02082059226439641
INHA,0.04811127982063728,-0.019972938111885715,0.08711230802083424
SEMA3G,-0.007957140411611536,0.028814760087553074,0.033333719950463275
COL6A1,-0.009025681788536272,-0.08077785056822111,0.04294604789876548
FGF17,-0.018224879009890973,0.007271392892925625,0.0334251121079558
TNFSF8,-0.01167764181140688,,-0.02336927115944622
FGF20,-0.01881049426187779,,-0.017299404245312462
ICAM3,0.08048294612886993,0.012419724646364797,-0.015601339260846617
LAMA4,0.04624768887509751,0.05487108196189199,0.07910950607689321
INHBE,,0.06286334275027569,
DLL4,0.02774815598122568,0.016437857840997362,0.06205642672835434
SEMA3A,-0.027199631873662023,0.03318531612527478,0.007942077959284338
RLN2,-0.014997047090841162,,-0.02032349171707287
C5,0.024923670297097068,0.0146824887541522,0.006311160284307425
COMP,,0.0054270898602997945,
EDN2,-0.01596044603820344,0.09912994942346438,
C1QA,-0.011986001516488454,0.06813263562245533,0.01506325643286759
COL9A3,-0.011012280474045828,-0.011357138184926504,0.032301144744749787
DLK1,,0.03449792868656204,-0.009394644915470228
HGF,0.04748465365996898,0.033774354066583,0.022188213223824423
GIP,,0.05890633257475046,
P4HB,0.007094442129243827,-0.03957048108014362,0.10438083959028376
ADCYAP1,0.021292193453803385,,0.004710664310244243
GREM1,-0.014828492131781952,-0.021782272704791033,0.027713346414715647
EGF,0.03196311696341861,0.004348382184186859,0.06563136176660758
VEGFB,-0.0005711222333512605,-0.07786904961158925,0.022069236933692418
FARP2,-0.011691442988730788,0.08301076621364119,0.04146248898620214
LAMA2,-0.0003646025206258943,0.005867660628760233,0.08514672781620655
NRG1,-0.025720485825227672,-0.0008489926790229958,-0.010772034437241479
SPINK1,,-0.058141869751402335,-0.003996689189787859
EFEMP2,0.015204555476721313,-0.06547720060470527,0.01752088304932327
SELPLG,-0.053662579694732766,-0.004363973620494191,0.06552873371402415
GDF6,-0.014997048708575303,,
HLA-E,0.007282387896103655,-0.021997363189590946,0.004326513668209212
PTN,-0.0039501880560389455,0.06006129159468398,0.022999782368851796
CD274,-0.024156766488115267,-0.02405743422756132,0.05885631921666915
CD14,-0.00594213050622748,0.039592636737147545,0.01530639968622359
SFTPD,,,-0.01133309001389515
SLIT1,0.03555518715706147,0.00860072421504549,0.015301173717481015
CNTF,0.008465409680359696,,
BST1,0.026594496331697342,-0.004543841411589536,0.08096513121740986
AGTRAP,0.022807283508076363,-0.034483579867077986,-0.008640685288413066
LAMC1,0.015137112353075808,0.05744840994262275,0.06265004351333882
COL6A3,0.019555157890949665,0.06823473236676184,0.05269541320687639
FN1,0.017718075711401642,-0.09292027123171359,0.055781549977737356
MIF,0.06659119185699242,-0.13026584151525167,-0.02100973657329725
JAG1,-0.005657081622809915,0.14620028586806358,0.0420698748310453
NID2,0.05715912342339871,0.1177518133593532,0.05732456173492245
EFNB1,0.04365172467990627,0.0877562114082081,0.004547737125266347
COL4A2,0.038901266319705335,0.04750778334001315,0.06158748727349945
SPP1,0.007544095297946275,-0.09588124605192558,0.007090368833149607
PODXL2,-0.0030810898441564014,0.06345228509821713,0.005607517991560067
FGF9,0.028366150207927803,,-0.03804206926814462
ITIH2,-0.015277988913083646,,0.16678171973384706
ADAM10,-0.015872478114393955,0.10649585628599494,0.004807081223550934
CFH,0.029676312620147374,0.006130470424195261,0.04316421438267917
COL4A5,-0.04360066140072292,-0.024096951189975506,0.1315891976880379
LTBP3,-0.019732630063342933,-0.003484899913949532,0.060066098299339996
GNB3,-0.03719883096520507,0.06401297406845816,0.02727802026733743
COL6A2,-0.016159583544458133,-0.04864344354732665,0.044095482068813155
GDF9,-0.01478193459128713,0.03724272666659127,-0.03212751147766712
NCAM1,-0.055905010468243414,0.03761553785632288,-0.018303657239460647
APOC2,0.015050058759707318,0.06928048419154224,0.004257633928460234
BST2,0.03369003344119277,-0.015859424209143148,0.028470208258405995
COL5A1,0.04169769775523468,-0.03496110494712824,0.07707212741714703
CALM3,0.00486460643833463,-0.004273233801787136,-0.009323527069128682
THBS2,-0.034181797863023666,-0.05594588719001422,0.0798317293463134
SERPINE2,-0.003264806913533632,-0.01996367533463613,0.0032129396029265153
EFNB2,0.03949129587244728,0.046029953641372426,0.05839863243018484
PROK1,,,-0.023177365685758598
MMP9,0.042539363939668444,0.14203341263891084,-0.013808110695894993
DMP1,,,0.08408465749775029
NPPA,0.01544479706098229,,-0.04855245088666103
APOB,-0.01203081476293768,,-0.023177365321849906
C4B,,-0.015038422381718226,
NTNG2,-0.03673493956465587,0.01228176211691341,0.00798326730800894
LAMA1,0.013425673216773628,-0.06527119841867067,0.08506109671382606
UCN,0.017248395625596026,0.03213766662707479,0.07656619806991014
ARTN,0.06540217681246073,-0.03563949115592053,0.0469171142947216
PDGFD,0.033887569242578894,0.024637670412303723,-0.041948191503638134
EDN1,0.011277459927991312,0.018569593368841945,0.04750374879366705
ARPC5,0.005673785626231452,0.05090683884183749,-0.03414350138227847
GSTO1,0.030760655024479607,-0.03276647171251742,-0.019331870573350125
SYK,0.004826354038877422,0.08876707839810556,-0.015339560117953403
ST6GAL1,-0.02119485856657594,0.06820254621291734,0.027879224561242404
WNT3,0.027967422636245243,0.017044714954577815,-0.015175569082409997
HSP90B1,0.030776497577467858,0.07511912102661013,0.07697663489601457
ZP3,0.02348757721161362,0.04146369206085466,0.005022346165999426
NRG2,-0.029350881677373764,,0.0052960217169240546
MELTF,0.011669730450215032,-0.036013629585977765,0.030846039388606597
NLGN1,0.043676855400363875,0.0030296511373550036,-0.05373965489865309
SLIT3,-0.002594810499206728,0.0018462979501546646,0.07210415935101348
