,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
GRN,-0.07000016377344878,0.009619156022328811,-0.030680249723328203,-0.07538540177024379,-0.025158015264887354,0.009358894721804496,0.08799637912721471,0.15952205933777563,-0.0016612186922288464,0.04301484413632411,0.02003934642707868,-0.0013953781113878897,-0.1427711659958583,-0.07668045835827937,0.08062638434750256,0.057554890393095665,-0.09247707052096461,0.06578669216279297,-0.06805776857596636,0.013473473968526708,-0.015259111136599338
MIA,0.04706747367368966,0.0686530867122631,-0.018951124262953974,0.05100525002080905,0.027942170495577776,0.0710824825095855,0.17696876524432617,0.04298632328975205,0.0721247159775392,-0.03538616073913714,0.031654611494969766,0.0021056607397016347,0.052483620481447904,0.03807216291526932,-0.06155625577440038,0.054755409463266645,0.07370003466854831,0.13280811729207162,-0.045267329737168786,0.02638689489049138,0.17618389220650546
COL4A4,-0.056819111764503515,0.020784738239505544,0.009966019156663746,0.06300393215592122,-0.050863438416336684,-0.06458988727987543,-0.0109184975779756,-0.0027826682395452945,-0.020273348172046752,,0.03777335034301028,,,-0.006945556459044162,-0.028388625911796687,-0.007293639484525136,0.03640297321080037,-0.027343500525239307,0.03101208097839067,-0.028453523518137652,0.05454519230734381
TAC1,0.03147395988162841,0.04032020504995867,-0.026347252435268316,-0.04325050376703668,-0.013260242043974366,-0.04739340674676181,-0.09844198202867308,-0.12051947013845248,-0.07580519559955887,,-0.027506729097802825,,,,,,,,0.00982045824145872,0.04778334976041706,-0.03964567698261265
RARRES2,-0.03584075426188701,0.03688568963760875,0.01567549962176935,-0.029209240479674086,-0.056861823764703404,0.06724867663883627,0.01119489447625766,0.11820270741107124,-0.0720708074547835,-0.028350384697144466,0.05642134601703101,-0.020283336709013697,0.13051569545156919,0.010543593910340224,-0.015015824606523669,-0.06654651065129363,-0.0063315066460436316,-0.051971660523464136,-0.027943004018563172,0.032478486997228766,0.06902356897830883
FGF7,0.006107000930583929,,-0.024051641492176104,0.08663881796676663,0.04523056442766004,-0.035731614113021545,-0.019382565705149932,-0.016667975868774682,0.04999959808957801,-0.005223977116971995,-0.010275451446422985,0.014739209405760791,-0.10397957195516927,0.056049662099911315,0.031958258885226465,0.006804305619077285,0.05946415469466981,0.003715293757594658,0.1295643385858095,0.06786755226584482,-0.00449882161215448
EFNA2,,,,,,,,,,,,,,,,,0.010384582980658433,,,,
HBEGF,-0.03275384688631135,-0.019139509240892777,0.10009579289125503,-0.033765787357085644,0.03239132191284025,-0.014749645143923561,0.064760513059145,0.11691970798689863,0.0452558465009488,0.050751188603868215,0.05616664210589006,-0.028327034362073428,0.021995632958321923,-0.07493370822601178,0.0300393672748503,0.03212429638037661,0.03768306451852993,0.007957023087415587,-0.0057222968241941365,0.06824073690353973,0.12699147937290572
CSF3,-0.056819066780643,,,0.07241410907506596,0.1416387054039244,0.015624482977814363,,0.018103140999148556,,0.0285317552557039,,,,,,-0.08396090996731685,-0.006030087011480338,,-0.03210194557908117,-0.0257904309063492,0.12841408713789249
PI3,0.04473520199419602,-0.021621036141300773,,0.053514181127694106,0.0976968321818279,0.09847006758252749,,0.054433429995585876,,,,,0.03815508852972957,,,-0.004617147496830393,-0.08561136056757479,-0.022082797077624384,-0.02907930732784608,-0.05603403832878788,0.0617954439464563
PCSK1N,-0.10512550431947291,0.0588865877718503,-0.004602481382805821,-0.03914574342172703,-0.0874753808606152,-0.0675075111609724,-0.07536395619736537,-0.03919188612869466,0.07030228537257237,0.020513235036411993,-0.021654052139093417,0.08812133590620988,-0.1281962682602616,0.09047321938410526,-0.06468083009542114,0.07000944770891225,-0.050482626047192454,0.07446180170873645,-0.026820080232846967,-0.014436765033608103,-0.12209016202906035
NTS,,,,,,0.03173231318033066,-0.013329004770769655,0.009027806035182797,0.008385247957492112,,,,,,,0.11541735218992966,-0.017840880754116106,,-0.014256971703265585,0.04042217349315917,
SFRP1,0.021354677918376034,-0.017734288245987464,-0.013061724263873678,,0.017654766582311226,-0.026418046417513844,0.12980137846025186,-0.001946013434163693,-0.0026538923406675893,-0.004132468479809685,0.024572486072127697,-0.0022386947769569465,-0.03292474781467361,-0.09397766100720069,0.03055241361711597,-4.516736902413133e-05,-0.060435928798772236,-0.002848270645770268,0.0573642742494993,0.053891073713408254,-0.0022823356178129158
CXCL13,,,0.011052954723261803,-0.03393402664168055,,-0.026180621373620438,,,,0.08791044616293983,,,,,,0.017588825387049253,0.07130817963566077,,-0.014992604882307123,,-0.036759914277880154
MICA,0.05530068948278026,0.020738007163987708,-0.027882327517756447,-0.014714198427633768,0.027958763327571804,0.06781322091938084,0.022995095176768152,0.1293873761504681,0.0018020616946353095,0.018105870391224355,0.0023667385215838687,-0.005892874597670545,0.06316753441650533,0.017721777732131058,0.02732102294333891,0.07927792533529844,0.07301922321884274,0.050209987701663565,0.0216774637166007,0.06604558840816224,0.04738285117431237
TG,0.0205571250190631,-0.054406967205666824,-0.004097372441438545,,0.020942771516077416,0.028339064153035155,-0.015385185208066634,0.029821206332084474,-0.028615257069236885,-0.0017644373901269013,0.052765424357286435,-0.017584419668582603,-0.02034081662722612,0.004847486344336794,0.002386873503594878,-0.0076901014558840115,0.021267144082968533,,0.029970185223676945,0.02671061776188092,0.12907346214832502
ADA,0.04573650552925674,-0.020396304584362555,-0.009758380061254608,0.006799103395110907,0.03595537859569823,0.04532140194180144,-0.03005647056801251,0.13400725500034993,0.05019410095614247,0.03963637610826988,0.0039977973522362506,-0.05131195803089287,-0.01981245635609032,-0.08920416330051227,0.045059016154860417,0.06706675973545902,0.036313151090379824,0.004579479814989223,0.017344414750880815,0.09801587527372968,0.016371971628047974
LAMC3,0.042145631165979414,-0.10542568340536979,-0.02678164952392514,0.045520595701754735,-0.01055878974355067,0.030813806485736932,0.12680329711523025,0.09647069062088788,0.026354642412469407,0.0026613098457143173,-0.004895559497191851,0.0792953500793659,-0.03997375333466915,-0.05432073240047776,0.020865115423827157,0.049018743650803186,0.03593008435437272,0.06233909467997368,-0.07314229920680991,0.04613190082151915,0.06628035654200772
CCL7,,0.06861147900449305,,,-0.02096796112126473,-0.024105344353252258,,,,,,,,,,-0.013014895641798817,,,,0.05024884497614877,0.1618016635324491
NGF,0.0037404124853861785,0.011371969580391548,,,0.09167137988729215,0.08808689304052078,-0.014681593257081939,,,-0.04259015721024239,,,,0.010340339686491088,-0.03336777259148218,-0.000343075610858342,-0.037852898630165256,,-0.027624458344196037,-0.0027337973113971876,0.09603375609283069
TNFSF15,-0.026352504160624787,,,,-0.011023654971608697,-0.025699662494027775,0.14841379745487296,,,-0.00969487900435498,,-0.03510450314491739,,-0.009070673428933867,0.04918702797574093,-0.037308649032690815,,,-0.019934757082204338,0.02656255169754391,0.030691116609613205
HMGB1,-0.13102139928260845,-0.0524824598797116,0.009563035946964595,-0.08163805280125658,-0.03485454899190474,-0.019643422582916344,0.06664171198544845,0.13461643070408796,0.035024787387907694,0.09163352170693184,0.05304598787021783,-0.0712451608020941,-0.19403911348515546,-0.010210205995176415,-0.08671358051225861,0.0022365489816688886,-0.06630946751949299,-0.034994454438654184,-0.06528829787813012,-0.019733675683852515,-0.11404843353661376
ITGB3BP,0.029890812284196246,0.03006465315196652,0.028258114576401747,0.01927858074317048,0.03797790295006649,0.022644314390888882,0.07040351731054177,0.13765957221236197,-0.019477099321875874,0.017987339676935117,0.009842749476466477,-0.03348019754809962,-0.031802465419272334,0.02483598239555326,0.05123871964078919,0.003958488312932186,-0.03274496525349571,0.05453434880653556,0.04167774072643999,0.05569777623405416,0.06257930147376131
AANAT,0.0387600234403296,0.016379325690736243,,,-0.007894267482170567,-0.023156932894848426,,-0.02917510803816451,-0.02573386791044757,,0.019709293551328052,,-0.040115792358988815,,0.005754134619778228,0.006029669340461084,0.03572441182615627,0.05027478684883349,,0.02959494718698676,-0.027671762614491266
RELN,0.017862641657606895,0.002255043843348517,-0.03326593424410129,-0.03208843987496036,-0.0031543894192013117,0.0011306498638240694,-0.039041134414608894,-0.051173349063255325,-0.02622016688724655,,-0.03253009782708822,,,-0.0009275242022015835,,,,0.03712205167063103,-0.024079026179270428,,-0.015090228255881055
IL15,-0.003461846484121632,0.07058391642344801,-0.01298150050273068,,-0.017911061720312392,0.0671251411131806,-0.012684737555136345,0.050758056806722004,-0.016776841452325678,0.025612468749271047,0.022317635600078618,-0.0025624175266446016,0.04230849701751001,0.03558580714979314,-0.039533563099465874,0.06518578408827976,0.09432314327865973,-0.027539865815324242,-0.017184062000407747,0.020611107726959017,0.025372838067376773
UTS2,,,,,,,,0.10671557661207035,,,,-0.01587141899642786,-0.007610901147938005,,,-0.028590135070773702,,,,,
BSG,0.051229591640432226,0.0066716424881024874,-0.06455523796278494,-0.015198657288400674,0.0074296080573560165,-0.024300685659187016,0.0513865726273542,-0.026191639934676426,0.09479303046191469,-0.033285426329784616,0.05512329987616675,-0.03006015623388575,0.04262704029461516,-0.027347061009080284,0.10560029745343234,0.11179725875794569,0.05396172707668881,0.0920580005451757,0.007321932448066095,0.06101235151869341,0.12032080584607861
ADAMTS3,-0.028649485873071038,0.10668163517932669,0.0004638326598102042,,0.062113449793422607,-0.01251532437795825,-0.02043144266646977,0.17541648836139379,0.0435446541156493,-0.041077892261512323,-0.045283797481982205,0.021991080071924192,-0.05610379766825925,,-0.028003048273281195,0.013550664618990125,0.018631803613198702,-0.00951965275329962,-0.003256826836297079,0.09481814960483034,-0.0077677164703526865
CD34,-0.04984930626069959,-0.019730017621108306,-0.029358888003959267,-0.011228444750411142,0.00011669083951736918,-0.008681781768125509,0.019820128079509915,0.12373813130403988,0.04954780102500574,0.055254111996326453,0.0020785601076222034,0.025577722105895248,-0.027485552254220297,-0.06332728707447881,0.07723977957662609,0.048615658124950174,0.10206263350531272,0.07308234956164256,0.015671587289578834,0.05803511077544147,0.02921407149788758
CCL23,,,,,,,,0.012926156750475813,,,,-0.03312494314578436,,,,,,,,,
PLAT,-0.09496483431307204,-0.10734029122487915,0.020623813373506786,-0.0770804309241871,-0.10032726279070665,0.022139146040298544,0.0491969696021407,0.13138266374890825,0.07969112868577713,-0.0021090061598113704,0.01430510844849917,-0.01191006239471541,-0.05009016017682355,-0.027510615929975602,0.09253940879422051,0.04643033724501333,0.014341834891747198,0.1186025770749009,0.05050214041634876,0.09351530645897815,0.012599020111234224
NTF3,,,,,,,,,,0.05548190489988866,,,,,,0.1001923211249846,0.11884673822168942,,0.020214473033396296,,
LTA,,,-0.014877783932766377,,0.006332407208191854,,,,0.05421575692774993,,0.08431406363981962,,,,,,,,,-0.01598091397900786,
CKLF,0.03703993619551452,-0.05971538129934576,0.05734561886956029,0.037942413439217844,0.003186040367810587,0.004062843515978713,0.09952231792030539,0.14287331850146978,0.010353305711653776,0.04101843450061644,0.002387006677324741,0.08411706710385668,0.053238655910451016,0.046630465657583955,0.03576654176772165,0.043373800460509086,0.09135708376857526,0.05269442361888199,0.004777046180568947,0.045434948223954726,-0.028787083314486848
APELA,,,,,,,,,,-0.027909066204940252,,,,,,,,,,,
CD24,0.09467028779660024,-0.05694198684222515,0.05891090631603504,0.021685930519977234,0.0589525772297455,-0.014515564015895356,0.05096818256605338,-0.0212252774020083,-0.03270951991890378,0.09634564420167241,0.00853751830101825,0.06594129783938144,0.07841370796557334,0.014695644965716431,-0.05671124725732554,-0.03431477628016166,0.029525697229445112,0.05701615942820654,0.03849724825573913,-0.013340465963386451,0.039040013293215374
