,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
CEACAM1,0.03264304324853892,,-0.021302252948934574,0.06604464495183292,-0.03143758035341704,-0.024875253051783053,,0.054969572078667976,0.007763467448695436,,,,,-0.07816388759074308,-0.023976322524139212,-0.049956946325428735,-0.03749441425529803,0.01568321239547781,0.031225954117301013,0.032066692684854604,0.04623582450765667,,
PDAP1,0.00970075758843266,-0.04808055418469955,-0.038855733146535135,-0.008261632883861872,0.0017902317208443493,0.04351378002102231,0.013232633016513196,0.21690813538209625,0.034850724121399404,0.01536609481631702,-0.006086835175756276,-0.036163703775454054,-0.044318918459902865,0.0381314261036157,-0.08251112694753732,-0.03468947077578619,0.005705184483703784,0.03718090355745059,-0.016943147773550094,0.07261473329188312,0.0044513285434929035,-0.04887802886817154,0.06498260373591667
QDPR,-0.06352075421119266,0.022626774720090247,-0.06683667450335584,-0.018223453020385864,-0.012293634629218708,0.0634818498592166,-0.04176868078743212,-0.2246340293168555,-0.02630698116848524,0.011659574990126634,0.04562263529077742,0.01495324548367984,-0.025816400911866804,0.055886527826991286,-0.05548156098543567,-0.08098459186968097,0.046908432554466535,0.0005504823691644505,0.03022197587283139,0.046980366472143285,0.02535015508693796,-0.03384152808129561,0.03367531662634141
POMC,0.018021021363467265,0.008180405256820247,-0.012610669045388611,0.015835019311116003,0.04403336157483354,-0.05005489144437775,0.09021291205129665,0.02342230834389783,0.015900756783992033,-0.019906039777102792,0.009451068297148773,0.0017208694511994245,0.09119555137403919,0.02937350307869773,-0.003808367516459501,0.02727081310824171,0.02850786348477497,0.07817287707461178,0.02045174613202182,0.019050410900802655,0.0725113542461161,0.058024583802098684,-0.019580047054277943
CCL18,,-0.053195191597131514,0.15622445779471245,,,,,,,,0.0545768206761905,,,-0.0735445949551624,,-0.03542029631571754,0.058368771913054215,0.020605629206817043,,-0.025995800821289498,,,
CCL17,,,,,0.008126572830018691,,,,-0.01053573486867996,-0.023251366232008977,,-0.01925828641470134,,,,,0.11470615371387939,-0.011522681729369797,-0.045275379492089436,,-0.015369917039249373,,
VEGFD,,0.029661787171349114,0.06492420804177142,-0.023080657915431797,0.016623357044824528,-0.023799233728925017,,0.004657273239013048,-0.031462253518523574,0.05210999652876525,0.052643705733187544,-0.02063970204402597,,0.00787753431847548,0.023930082395778325,,,0.07874091103701396,0.029668790634811842,,,,
TNFSF13,,,0.0659994212997014,,0.1419689283036242,,-0.01338389179348625,,,,,,,,,,0.0005750775729345201,0.044467384230396,0.033362627281342955,0.04645027922039988,0.006641401277376288,0.03708919314991695,
WNT5A,0.01783607454671212,0.018117570785185215,0.0218268651253715,0.01930582841366747,-0.05554754211852421,0.04282032523384322,0.09277791104332962,0.20539983238276233,0.019493418125277436,0.01517253805865716,0.01936871542947891,0.020380405241051846,0.02368174345567199,-0.04838529473550546,-0.08848183824281527,0.004590723014356306,0.03774020586411505,0.03036516005286029,-0.03985727370142174,0.04412292861178214,0.07076107706976192,0.11427101975315489,-0.020669874830388575
CXCL8,,-0.01888638406698119,0.06865139204637954,-0.021611360037786586,0.14603546157396732,-0.06413830165408672,-0.019037718008313907,0.10809045639891056,0.023188721503261175,-0.015882505010377433,0.020581592311687703,-0.003073703692314458,,0.10845379747991707,0.02987905340393088,0.036154532390940665,0.0033082903736408103,0.000679098518376323,0.039340444041091396,-0.03566619781780658,-0.005789185737708294,0.03116719829416027,-0.094616119476337
GRN,-0.09604546490336788,-0.01671518034290196,0.027372510319888126,-0.003730471112823221,-0.039191640642248275,-0.015136663996453751,0.056675698233052046,0.26874023027747196,0.0056792603497821505,-0.034802201350809824,-0.023479990437458277,-0.020988104513490626,-0.048987271262059505,-0.12325251676892499,0.03528577023870501,0.10405213631682765,0.07669552901401225,0.009382980504098214,0.012387208947621388,0.027044462286453255,0.09676519259660492,-0.06872265922868134,-0.048538762838070376
MIA,0.035707626516418095,0.007960912699710089,0.08738568063255796,0.0416430884913974,0.03007794188997683,0.001015750630974635,0.11676607321861286,0.1798411708719786,0.023715636856844743,0.024467651711261064,-0.043688704256782195,-0.0037005706077955186,0.022030505621046588,-0.055558909261000405,0.12115851079651146,0.0015186375443828717,0.034850146905571165,-0.027776748716094996,0.006575640615608005,0.0479605615923207,0.10555401061727887,0.17139743435817434,
COL4A4,-0.02522897236318305,-0.017583497517716883,0.08824290448582918,0.021745000057156523,-0.011107808549571288,0.004404537747768232,-0.01273418173559696,0.04950538315206818,0.13270157236179062,-0.03258483078948753,,0.009350454265188341,,,-0.08335523314351193,-0.044782321730527645,0.008403552701581237,-0.012909906604807756,0.047218147090704175,0.012408229766906411,-0.04512037193728662,0.009586107678963776,
