,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
CCL17,,,,,,0.0031303020085640797,,,,0.031430146260339714,0.016132305469489266,,,0.0010732275490764978,,,,,-0.010189087441985024,0.070968642769855,0.014164601881198963,,0.034891506673121644,
VEGFD,,-0.0277735871010624,0.007484416179086721,-0.0032713372402103356,,0.04342504561297513,0.03803913138421066,,0.11649155480150129,-0.018228781665573183,0.035354516767478555,-0.027148963613458647,0.0587482773291922,0.0028392799277660473,,-0.03425792974280197,-0.022800496791921337,,,0.02243947529791095,0.01604754870599915,,,
TNFSF13,,,0.066112986299076,,,-0.001626198625897301,,0.006758855988322407,,,,,,,,,,,0.1172184832570554,0.04968029785067345,-0.027687643332373293,0.005806620485171016,0.021446893173713438,0.048231184412331506
WNT5A,-0.015954568109951363,0.022188319592952838,0.05432216503199561,0.05795794515861147,-0.01402060544477553,0.05362552861776948,0.04583472775028894,0.13928428818455954,0.21816098086487176,0.06516384430477859,0.03467943335384258,-0.004881602023058231,0.00941643440138338,0.021481908723697617,0.027952096475506352,0.0183532479140994,0.06554183604028627,0.09336431185105692,0.02024587530128558,0.09444029391363933,-0.026692279958140736,0.008032538187780528,0.0854430365795686,0.18929082740285494
CXCL8,,-0.06540553701500353,-0.05248601609829154,0.008663610176891072,-0.041069677159498774,-0.03104856866029169,-0.07980747765831288,0.010991006326756722,0.1419383921322525,-0.03918353620175621,-0.015365276162456452,0.03649890892534905,-0.010733189168893558,-0.013534521510427111,,0.021947549996058545,-0.027480944666771645,0.03770144833505856,-0.08038734659039341,-0.18208696265568486,-0.015344433160211102,-0.024325474721436712,-0.03189176597234439,0.04115942288818099
GRN,-0.18964074590711677,0.07806032687620917,0.17236543503999494,-0.029941802922872896,0.05115914821064952,-0.010092706826268383,0.016916901547843543,0.09911679555859465,0.2262951379198943,0.055844160466185934,0.007689996767750341,-0.013412663979679414,0.034387619879800525,0.045904974197981216,0.06655437159625852,-0.016306260320364068,0.07127450726757556,0.08784482968308047,0.11438859311381633,-0.01221353777173532,0.08480889659203948,0.060969070527588695,0.009354580657796959,0.050787289332156135
MIA,0.051705506865337716,-0.031055567966141732,0.034681176794622626,-0.002107224483199348,-0.038133121417466255,-0.014516648137571595,-0.03417087982841148,0.10641958738680908,0.09077963336868686,0.02849225853618727,-0.01876498046530103,,0.036023153194218525,0.005702904189499513,0.0558993954928827,-0.03780498780357144,-0.09145073055206339,0.06369315711672391,0.06279616842467521,0.17844267205655956,0.0566914496429993,0.037837315676692095,0.20903903728415935,0.1191095944407138
COL4A4,0.01642427517318597,0.011224118389166246,-0.02691571032232938,0.04920032549018735,-0.044564462563204454,0.006986422039002568,0.023339195693546443,0.06617187402686703,0.030841518631617968,-0.01471537656561697,-0.03152367485231423,,,0.05069138949988672,,,-0.09440523481806201,0.08078746306007893,0.06938878390633145,0.025288714411556813,-0.03047177223113202,0.0034265271848126304,0.044929082212735685,0.05532164192110549
TAC1,0.054541026728517114,0.014396269680384339,0.02176618223397468,0.03691839523217472,0.08855799461866742,-0.014555405923033352,0.060127171448551966,-0.07581989575112419,-0.20248597147292782,0.02276562763366839,0.009503169983425682,0.06525557244804027,,-0.03904323544634509,,,,,,,,-0.048595832171551535,-0.013150019547857201,-0.08661933317255856
RARRES2,0.11464467683133099,0.009636204919721149,0.01745225068709761,-0.03672710079135552,-0.04528517842945601,0.028488313198037133,-0.012654455687349143,0.07940910106735265,0.2921692110068666,-0.05309079665435497,0.01228085219669016,-0.08269455337271142,-0.11051437062450287,0.0936796744096687,0.037981735364933024,-0.036419920963147175,-0.1488551043994735,0.018882775447975335,0.01518323808153301,0.057717017312842143,0.004586443570612672,0.04008410095499777,0.039988464035893206,0.017051241656931643
