,UKF248,UKF251,UKF259,UKF260,UKF275,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
MFGE8,0.074356013426478,0.019460710900773028,0.039069558279139244,0.03990681735600646,0.025714114002724536,0.0548311392810751,0.0023201663657008162,0.03244255238642358,0.09533523857605991,0.014807277686415364,0.053614007024461265,0.02265357468988711
TGFA,-0.024237374095767834,0.026929907329748766,0.015487169837624697,-0.03254653360110269,-0.024049069995437423,-0.000357250077704175,-0.0007442445203918202,0.028104246818438983,-0.0018257389134069863,0.07517209710215726,-0.009975364902195609,0.08411283171453948
SLIT2,0.07570496215913451,-0.0019144590467864654,0.008082913229948255,-0.028825225815982684,-0.013285875615812326,-0.061942930945256755,0.05131788792070458,0.019978971125585505,-0.019822138069124882,0.0010255507033049382,0.007021499858776765,0.015886434336365947
PLTP,-0.05365472275198803,-0.009853885070120853,-0.015300322467616383,0.06850822359739216,0.04275206478967575,0.21425588288525843,0.1760622702358851,0.10136121011295415,-0.03359247130092726,0.07700922952449749,0.030691514235747244,0.03552945727836091
APOD,-0.022040450955426123,0.0027670903370591838,-0.02007676576263742,-0.0804819272500765,0.03323932256547175,0.06278253704154217,0.07783173476046755,0.07909474341199281,-0.012949801635619821,-0.0031054406295692723,-0.10027258745593559,0.10969122995524132
B2M,0.12510776774979326,0.06463402809746102,0.02844354190877965,0.16806983521214075,-0.013693437559617655,0.1983955533805969,0.22916425629602932,0.21958370155358137,0.04774677533489195,0.042994694040411736,0.036000897126660485,0.05561519231940425
OMG,-0.07519038207867894,-0.007462926873068675,0.002408299846968172,-0.09394504387352146,0.0910449252669199,0.007983513342620752,0.08952065346379423,0.08130675566467549,-0.05407726172538975,-0.004200799502451172,0.02056234678985982,-0.06819289011662782
CXCL3,-0.045376975251070026,-0.025892223877234603,-0.04147934595626143,0.11822511419032268,-0.012521091608465318,-0.020166177130508358,-0.03858111102512153,0.014658463979814447,-0.021426754520606033,0.0766927340820453,0.011806689539599778,-0.04411449745671115
CXCL10,0.03271784403797825,0.034335327105371925,0.04328010818592459,-0.01735994063618903,0.024181767807292944,0.06608187652994923,-0.004115889305689115,0.03732913223945259,-0.011060500266308518,0.005168855147294812,-0.018972737057702974,-0.03695214449311167
RSPO3,-0.02406190031984443,,-0.010504577537266264,-0.012015235039165064,0.042136831257915584,-0.05810887585950198,0.004618902765450994,0.07897713483202531,,-0.04044689941150684,-0.02684445839509292,-0.04826362835941672
CORT,0.010309269663994024,-0.022492224112346738,0.02803610315338173,-0.00427304512323704,0.01473234597671857,0.050449592839140335,-0.025882697653523218,0.0008706347174703114,,0.027795388757017567,,
NCAN,-0.026919724907218816,-0.021939643948723848,-0.007709200885797972,-0.011299101719386206,0.021652304111094,-0.11488397759547755,0.026315686376569454,0.04398450655432245,-0.047363696078781714,-0.020242399848956878,-0.028275168668005453,0.02856978715148048
PRG4,-0.026639391164704564,,0.01721951212656022,0.056143642586817914,0.04393424573757026,,0.021494952565561404,0.0005671639601060158,,0.1388932637014022,-0.040100163744588156,-0.017686125723230008
ZG16B,-0.024563647005388087,0.2864422582153207,-0.012032827155778336,,-0.00984971384926308,,,,,,0.05804613981061622,0.15095821562483383
TGM2,0.08495896368732923,-0.005819336876536444,-0.013521853624005056,0.11426067620802366,0.03861534057419273,0.1627319739457141,0.042046385763422935,0.04093133629734856,0.05365829566294526,0.04527198584654761,0.022361389154106806,0.05871230703743014
VEGFC,0.009888334516282835,-0.0024439104914211435,-0.01847777688142123,0.02207804048340758,0.005685793767891753,-0.0198083410041159,0.05325537744280122,0.06442821910252071,-0.02826224228593945,0.0023934092413902277,0.0516097825520057,-0.0720684990593293
WNT6,-0.028580772606934958,-0.014015224797154316,-0.014339677379490526,0.0014331256703890244,-0.02192018685558261,,0.08242460021090756,0.05216036500827564,,0.0007646436252050533,-0.009998998224221714,-0.02120778910071014
NRG4,0.026038618026098317,,-0.012617800902182839,0.011146753119008928,0.04133620366523419,-0.03919008581593298,,,-0.022694172335989304,-0.04764405934029645,0.035644678416641574,-0.031893261979491064
PMCH,0.05618079059707698,,0.015458509287782822,,0.022929453520604774,,0.14096578847160227,-0.00718956887158537,,-0.02743148225747093,-0.002827302548707435,0.10479135120479693
COL9A1,0.0024717536415795427,-0.006046384142210894,-0.013178372122963642,-0.0006181591773509865,0.015531605396436292,-0.030699304743123577,0.07945054566923122,0.0775312886762132,-0.03897076073403213,-0.05331902921292833,-0.020825815431356875,0.035505906987506296
GDF11,0.009378499771518417,0.046030459753743355,0.0858413004015871,-0.03222069322278171,0.019487516065404803,0.01178826176944081,0.07572578354216952,0.00857297650951743,0.022943253150807207,-0.014374564632648818,0.022670757644035092,-0.0023582510317831334
RAET1E,,,,,,,,,,,-0.029448183424833452,
IL24,,,,,,,-0.04452839433723838,-0.02645079184561438,,,,-0.03565560590922955
SORBS1,-0.00978242340758011,0.024284909538923285,0.02426875929224212,0.00479837797399904,-0.00914411931450256,0.09981551189446827,0.022573814787793772,0.024534781304003994,0.006363986691726355,0.0059430254242768535,-0.0355579654341376,0.02948174421585561
DLL1,0.04007977796331641,0.005234078613696211,0.0073343983802397665,0.01779326586560279,0.004381554876968621,0.029533263970442248,0.0442439097169025,0.06740023169515737,-0.003552200102466712,-0.026793202309285873,0.11441020978781222,0.07330060670126524
TLN1,0.05173500535327599,0.00021621270262295252,0.03519769329951724,-0.01445126704634613,-0.040052777544986616,0.13242039620675078,0.06148034466487831,0.017550030420383427,0.00803050084489762,0.024049119738958853,0.024101003385965353,0.031093796044556823
COL2A1,-0.017153580751575564,,,0.0638943166170373,,,0.15138492980660698,-0.0037109425014094683,,0.003908952554575315,0.03710171069917075,-0.0287341171891361
SHH,,,-0.010773602265091888,-0.0034582878889334503,-0.012145013026029277,,-0.053298205629727216,0.029937662927764626,0.0438199692470175,-0.004113818499995308,0.019463153731101544,-0.006071802431636785
PON2,0.017650107421471314,-0.009131435611635685,-0.013159118945399666,-0.023707870190456188,-0.018644020304958805,0.04188799232314188,0.12707833169036162,0.15466841540095447,-0.03283250298302519,0.009350612308649892,-0.012025669294727958,0.018145377205224945
ICAM5,-0.01882678088643422,-0.018040741905828953,-0.016791423799277706,-0.02403392079077058,-0.032004344765688926,-0.07228636546187445,-0.00614778985943919,-0.019540348291693415,,0.03539500525230938,-0.014542953013422033,-0.05722251676732454
HPX,0.0293135920237313,,-0.026213639978875703,0.030707639568481482,0.010361624612160092,,0.08426368922628209,0.04594242006177942,-0.030427053526074624,-0.01126117065464838,0.05727923448011271,0.06369484759103541
SFRP2,-0.023550499025717906,,-0.01226996544616715,,0.05152099977386643,0.12220083192979675,0.06486008008098736,0.05556023739874878,-0.01511669463707279,0.06195516776870122,0.049942812282790065,0.03973474047122654
CFC1,,,,,0.07542310489576452,-0.03197775823086398,,,,,,0.0848692597564691
CD70,0.07964522157350938,,0.006933764742401876,,-0.023122803132365786,,0.0578715632566563,0.034589536653323226,,0.036100278055299084,0.0006985770460480024,-0.02000694525934956
HP,-0.05437047497468201,,-0.05450610795366042,0.1553667765439573,-0.03382970602018673,0.0869784429949668,0.17163989401340266,0.16004719567792153,-0.012046899325227916,0.03084447502170863,0.09857947663252745,-0.016101557046045652
CXCL2,-0.03239831036362234,-0.03557676051669458,-0.011628550667385863,0.041870251087924394,0.03643385843773391,0.09822198450292297,0.06800707908489358,0.05658094987131411,0.04847928538251816,0.05320429330723717,0.056302468983350215,0.03255352840470038
NPPB,-0.02285247248484703,,-0.005211427570216762,,-0.010854405533211754,,0.07865314486417731,0.020532943835093617,,-0.0019883868358992695,-0.027230716420486748,
CCK,-0.06940135485599266,-0.002644572729855713,0.030348227797303843,-0.031408668307626945,0.03085236927134541,-0.10233944241329139,0.01149750915009897,0.052890578643308386,-0.05446941319037168,0.05844253944955995,-0.03532559027651035,-0.0528151492334743
