,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH916bulk,ZH916inf
ADA,0.03295442203401526,-0.003919676258085317,-0.007825244810082163,0.055174324613850516,-0.15547642895901934,0.007418132760580874,-0.009974489647583138,-0.1739558933469842,-0.08178881806700232,-0.028145418188123862,0.05121539039899137,-0.04585263754178807
LAMC3,-0.0731372361384072,-0.040641354498292155,0.027798633483604,0.047263841882734664,-0.09857517125969248,-0.05990728233540945,0.040748960432080344,-0.04158637557005151,0.03116926651648069,0.03250728286170786,0.0410302110909767,-0.04478112434434071
CCL7,,-0.02335538466660788,0.0006127853420684904,,,,,,,-0.01876111432845438,0.054351915207845776,
NGF,-0.020249107310923803,-0.04010003566550454,0.004977872865773409,-0.0009418840384408948,,,,0.0915316909946014,,0.060361068273727815,0.005398387851440824,
TNFSF15,-0.02505067290118005,,0.004168345455987194,-0.03304577112600923,,,,,,-0.018289979778800144,-0.042620349336864406,
HMGB1,0.01782633082023974,0.0421242810610145,0.004661835352699148,-0.036866086972005434,-0.23235494211646382,0.013444230922832732,-0.04064440061845338,-0.10294724190302582,0.014120522702481843,-0.040821831124516324,0.027391055233158074,-0.07719607389096449
ITGB3BP,-0.11164892358187653,0.02846031662574878,0.004771868265712269,-0.02177626562817565,-0.1363968589060952,-0.036965768322459396,-0.025907712054143914,-0.01939169814856476,-0.11315077580789319,0.006469638293459808,-0.05919393003600178,0.078083707382995
AANAT,0.028845077167879058,-0.03388510987755285,0.04286730267867609,,-0.03166901911571135,0.05683241010134819,-0.02848362135220033,0.023704037315831195,-0.029237061117246898,0.00991061414654263,0.012186694152432549,
RELN,0.18853911489336644,0.0010782463733272135,0.03007109564155632,0.06127636293488517,0.21373940790917378,0.0008816623646632163,0.01211647383171318,0.038290997788277124,0.17493890830509048,,0.03355342421294945,0.07445243882581862
IL15,-0.03560909911898286,0.012119247453925891,-0.024071360508737205,-0.023280616770937623,-0.08260570684628722,-0.007374349314301853,-0.017085654866850725,0.006334041057470245,0.022511918884900325,-0.030153179446332345,-0.07749969739753888,
UTS2,,,,,-0.10071647273255399,,,,,-0.01401586511104773,,
BSG,-0.013628629343676183,0.04294284796894075,-0.05184648823343949,0.005518325684313795,0.15893355651442667,-0.05702609110754373,0.015934989635563904,0.1726305244792758,-0.10171622900736418,0.06488450237701543,-0.018012086977571316,0.14290913236466016
ADAMTS3,-0.03810361517349503,0.04264661813911273,-0.024578470109682008,0.016060068189664933,-0.22571500112267978,-0.05859591972480249,0.03342273685303493,0.006140867655385428,0.008902231478481543,0.01967633424324186,-0.06750303449602273,
CD34,0.1316959711251118,-0.0668443864630486,0.02494832589070129,0.06558870431726997,-0.12667291729412772,0.06314069353800555,0.037971330022406664,-0.007122981819634006,0.019565823439493365,-0.02702054731670957,0.006382911169608642,-0.009845625892028342
CCL23,,,,,-0.03603431662777603,,,,,,,
PLAT,-0.000820994347887118,-0.05790187542659525,-0.01418165530083866,-0.02016826708832255,-0.21893917924469095,-0.12152475364200013,-0.000487064540762573,0.02156601824649949,-0.09109817249114734,-0.0011047025367353492,-0.04560629474848914,0.04895964194293331
NTF3,,,,,,,-0.007821069263005225,,,-0.03437234719779943,,
LTA,,,,,,-0.02648568039005862,,,-0.027116026218478174,,,
CKLF,-0.040679972717952304,-0.009570854167004648,-0.06648575540726366,-0.01207256129988988,-0.24217246694981837,0.012177464917888271,-0.02496362608636729,-0.19251856511242535,-0.12611697905994335,-0.07714733219379774,-0.04272664704986441,0.0008905564196236093
CD24,-0.11194228365198462,-0.022788840956523542,-0.024372244983303735,0.019013117915140692,-0.02997976666150853,0.08543655549367911,-0.09780505252624357,-0.07486937069072377,-0.049959871659623234,-0.03174431542988074,0.04874671898878399,0.05593795600503283
HSP90AA1,0.02193693363564709,0.029518362820371503,0.18155246786149554,0.06689401685056458,0.25054447066049745,0.09298671700164633,-0.026294876853753247,0.3469817584521723,0.20302808873058423,0.07563920848289134,0.07659129002145083,0.042311816169074826
BMP4,0.2176614565759249,-0.0339858578571789,-0.007791768739757631,-0.031347981860228975,0.0626153119760019,0.08410178871481427,0.016513167848039807,-0.044025297247020215,-0.02310565500133242,7.836000802603874e-05,0.06965360189134692,
SCGB3A1,,-0.023355382331100617,0.09845690742700264,0.025125369209272396,,,0.0009460214721265178,-0.021577905544939113,0.09223045780798414,-0.028555209131852385,0.03289167073610598,
IGFBP4,-0.06062133631201686,-0.06354265808105804,0.01798295706473491,-0.007809138103430324,-0.11151707524755362,-0.04641527340103891,0.056487406958362775,-0.11690492145940712,-0.05831741764585978,-0.05541031846442053,0.06056357270919693,0.14333186325251143
RSPO4,-0.02473636059521514,,-0.030739900466975324,,,0.03707920853177562,-0.0007929773347707906,,0.09331209887710049,,-0.041144082903492,
LEFTY2,-0.04143356400840931,-0.01116477397822443,-0.04771307730500139,0.02869959199267717,-0.15426263564858814,-0.05109383819547645,-0.026345032767325968,-0.01664835950600432,-0.033474431544845834,-0.015926061536433715,-0.014137508190505278,
PF4,,0.03253907001248126,,,,,,,,,-0.014157338004807113,
ANGPTL2,0.007291346211546627,-0.0644225618759689,-0.052743456362894924,-0.05348639090241925,-0.18244439972604312,0.008759713652959909,0.0003344345886240565,-0.11664654795192168,-0.15364807681021161,-0.004689052184792044,0.08193215575585354,0.01802466906063942
LRIG2,-0.08105645476292984,-0.008706842513346968,0.03161741130191056,-0.04070443809362288,-0.087920887885251,-0.035331826401383604,-0.015793164262546306,-0.02166361825342709,-0.04292817626575083,0.060335291599614795,0.03870512319941101,-0.012206949482086478
ICOSLG,-0.0035891235062176542,-0.02077322795272822,0.00201862892372852,-0.009871575691118432,-0.148299907379069,0.003027281986916803,0.007695249803213306,-0.08933399289879085,-0.06898768860403837,-0.019498581562674373,-0.08586043471957562,0.01614411950338563
WIF1,0.20821287182764864,0.05609099600445923,0.11132467295044825,0.09245485181165301,0.2619141672841233,0.02355271902787602,0.027477370795418787,0.20886077727194682,0.25362554440468493,,0.05816852500888722,0.24928992813394807
NPPC,0.05092759265768741,0.07505116984173582,0.045844440187409165,0.028880212391876034,0.07192463182913919,-0.0004410164806879209,-0.03339055173927613,0.12086099831829936,-0.11349047800280626,-0.028006960432252162,-0.003627734742714428,0.13128406652465738
LYZ,-0.010907946855580525,-0.0732749128813681,-0.01681796785137853,-0.05004043179368884,-0.12228911458321316,-0.028456836752380314,-0.04051600893351222,-0.22025819815304964,0.008190034195574552,0.07622853365792988,-0.03127684527361202,-0.06357890210825087
EREG,,,-0.043258333597651424,,,,,-0.0515537584234718,,0.03312491545884811,0.020592674618487447,
SPTAN1,0.18304774537987764,0.044330659184781844,0.10379801305247666,0.1289366311961882,0.12127806685390172,0.023541635163434257,-0.003853526508654314,0.3410860890169311,0.14070668044945184,0.024320493518703593,0.11802380946001034,0.14743207724165303
LIPC,-0.026310976289763467,0.0193629211798165,0.10520773001700578,0.08718029769230308,-0.0578933813376603,0.025109336366544364,,-0.02869600995441984,-0.042596741444110305,,-0.026696802814233415,
COL8A1,-0.0665242660552676,-0.04239444973624615,-0.0907508042816323,-0.05254868398404553,-0.09279892436502771,0.03614057084660319,0.04179360345793581,-0.1183582107394164,-0.1281652950333049,-0.010844884190544354,-0.011681830530529859,
GSTM2,0.0007410574800399271,-0.04649345557784315,-0.008496983074148477,-0.0026131161262674596,-0.04145496720576635,-0.016276169960229504,-0.03156607455764383,0.03378645713041066,-0.036955615565662354,-0.004949478449319706,-0.0037066549223680307,
SPX,0.19248830933890396,0.012801876180086337,0.18321266974713526,0.03744703140172788,0.11968765842599152,0.10679966358923192,-0.05116623446124509,0.034982170134275604,0.24930519331141895,-0.018915819685503935,0.05655586139171406,-0.0522642322119942
MFGE8,-0.06647882222118515,-0.030139870647817465,0.06790310868261362,0.0012258175936436058,-0.05610239528884931,-0.05932469648737192,-0.013117067717971253,0.05527161754559849,-0.058084659234833545,0.008758052761543005,0.039723834051120795,0.10513693208889653
TGFA,-0.17275124198240568,-0.005722105803319555,-0.08258361534057237,-0.013544877012039214,-0.14234929223580717,-0.08401973378292693,-0.004081841273022356,-0.10172927541589247,-0.025675189953568506,0.012419651098085368,0.02893890886241692,-0.11989730995199938
SLIT2,0.2657834950243479,-0.008445314172615454,0.03806273900007999,0.08148157381866947,0.2000242131309365,-0.009798248869070212,-0.0016684841183740807,0.11272253281496214,0.18217643722982538,-0.06439736615944187,0.05873069631033391,0.2314809368151647
PLTP,-0.06347582917263257,-0.01085253631945061,-0.08570652312436364,-0.06722849940310767,-0.24147554902289808,0.048181282650569326,-0.09483477557385522,-0.25169463722059987,-0.02269359789941511,-0.04351080220472087,0.06948141871806116,-0.049760391342338096
APOD,0.025399139401251183,0.044091799561728484,-0.04044040045019569,-0.015428388167650051,-0.2587196317596912,0.09198233162392518,0.027511327158334712,-0.2182013010582218,0.07407562146876784,-0.003983569217002476,0.08224664128989523,-0.10025775201045921
B2M,0.03278874627190791,-0.07544768570146713,-0.08768757548418687,-0.05772794501301037,-0.29980731647818487,0.02487075655402973,-0.0653987838331411,-0.34659259821857347,-0.1891320578504281,-0.04174577569449266,-0.07222413078763365,-0.1683105730372344
OMG,0.18770195800804804,0.08198087707496411,0.07308696042721609,-0.027850939877916307,-0.010271618355102697,0.11221054750467718,0.01919706613797567,-0.05921808851460827,0.13808750930998323,-0.061982262327754466,0.08640575169678871,-0.04793645203617526
CXCL3,-0.08109312092711819,-0.04710908055410889,-0.05098313011634502,,-0.041579908238030566,-0.04361779494769575,0.04195549088902765,-0.04007750689347444,-0.01952844922058298,0.05288977428000819,0.004808697151644567,
CXCL10,-0.05409630873633881,0.007178914021060712,0.06460012765267258,0.18261125849737048,-0.2176667685842801,-0.010970150211148057,0.06170022305442037,-0.02990665410012964,0.03338040845169634,-0.019373257362327898,-0.020578370214462918,
RSPO3,,0.001798972347052569,0.19515379028014104,0.09573907322079343,0.09106061653533447,0.057573391565476514,-0.00399356494270318,0.32033950501016945,0.16108771340660263,-0.042613568758121556,0.07193306355704684,0.022019645688197323
CORT,0.10128320070059255,0.012316443471325695,0.09824745271211573,0.03434135162831469,0.136932654473814,0.01583641955303376,0.039235154891881396,0.046356380552248555,-0.027251685639722655,-0.02139263522424099,,0.018453486699849163
NCAN,0.0254231794943251,0.018221263039935705,0.17060291327046295,-0.045299705811744514,-0.12300487339984188,-0.06836368424077734,-0.043217464227622564,0.19355929004293845,-0.2057315143057065,-0.04891581867492688,0.058680263816731075,-0.0021052995301012044
PRG4,-0.03785015060681611,-0.03512370930971932,0.030917838879535742,,-0.03515032218279339,-0.011582534060261796,,,-0.0238589846061674,-0.020548611917715724,-0.046137182540651,
ZG16B,,-0.03238686618885334,,,0.02946678219533936,0.0688739066339344,,,,,-0.018464383775936313,
TGM2,0.016377972671819868,-0.07415482004730074,-0.05201014776758546,0.029479854481651545,-0.07971189727289696,0.02120199815152484,-0.02365029566251742,-0.05575480055235174,0.1243490081030519,-0.035246541405655925,0.038492264542357824,-0.032521541423217976
VEGFC,-0.027158238763851105,-0.044596536564734036,0.04789679205042106,0.028349252179932522,-0.0028602727912809193,0.005779593612922417,-0.03763509163146638,0.011478654515900313,0.019327088637416605,0.013129711629450987,0.03750973211802289,
WNT6,-0.03444388194206609,-0.037683396842162986,0.046203347984250236,0.017293570663075058,-0.009666733140872947,-0.040743547867715633,,,0.01024608906537185,-0.028006964210893447,-0.03545465076385266,
NRG4,-0.025668802671460284,0.010144086126713688,0.04197083262038997,0.011930857499021308,-0.01880316023866653,-0.01976207951772003,-0.058228488500807966,0.046966271523792,0.04516579411810919,,0.047303135736961724,
PMCH,,0.058261293999329236,,,,-0.012525705009386406,,,,-0.019069381284195195,0.010020861501261103,
COL9A1,0.018458176629950432,0.04236042767080981,0.019879924133186556,0.01769042032826752,-0.08642925257225392,-0.020023048135275046,-0.04522812700582071,0.043310815164098,-0.03236796262620214,-0.07086488027788301,0.029564267827688524,-0.0406795344171276
GDF11,0.071767069813757,0.09241396929783949,-0.013540800756170679,-0.06511223464902963,-0.07922729347948305,-0.030951429503752143,0.013750867499054516,0.039991077755730506,-0.1087806509492188,0.022602255751448853,0.009118433853401909,0.02014147245653105
IL24,,,,,,,,,,-0.014217671171944156,0.011585966564211339,
SORBS1,0.0551410243210817,-0.002244762040132884,0.030035187706243215,-0.044638413319444264,-0.06975630907093558,0.04292238405600753,0.019367962575268027,-0.0026941108856085847,-0.03192137199634974,-0.019186555132611458,-0.004106322756321214,0.0038928481266015907
DLL1,0.13630035388839734,0.02981882599876904,-0.005060619432644339,-0.03536057163907799,-0.04232859364416008,0.004845415702269905,0.012624081124199209,-0.12283957855613897,0.017035463161236622,-0.06218201445415857,0.055305986896943285,-0.025068092214071764
TLN1,-0.07340748816046251,-0.048847522664067444,-0.09387219490830416,-0.08183103737295849,-0.2656144849416531,-0.08573036899851694,-0.050202957913659564,-0.2577335866783084,-0.15668930761137542,-0.04984333303191673,0.0858149421582495,0.007466871735913435
COL2A1,0.17216410486862552,0.0165425607942681,-0.01903213277015417,0.04272678811969625,-0.0005202930730331394,,,,0.033407706046989935,0.05678830194502387,-0.02710857441787924,
SHH,,,-0.032853539201926296,0.04715529209099159,0.040396018042451465,-0.05134487755676993,-0.027586377646550458,,0.12745412970405287,0.07738750954106029,0.018479121632575698,
PON2,-0.01870951557250987,0.015545308240633727,-0.06167481565399027,-0.029076712515945843,-0.26815518556376444,0.0026732092320567707,-0.045609618656407315,-0.12049133584473955,-0.15594921298736747,-0.09419147462296147,0.02803589240498216,-0.013694905236764624
ICAM5,0.21703550069731883,0.025409189711272064,0.30341638526813625,0.08866969432768637,0.19214969024729725,-0.022221087888285775,0.08098840087962068,0.22934801147147552,0.0394466217259831,0.020134633579752873,0.06879801480125887,0.20645599811688808
HPX,0.014584857411305927,-0.00217615056734865,0.021925288763611495,0.007013582334539581,-0.006488234623655832,-0.02631652472290341,-0.024026210750621717,,-0.017908824771047615,-0.023751254652550846,-0.02402361138650854,
SFRP2,-0.01717802098337129,-0.019596853847614414,,-0.04092868358325416,-0.02040644319228813,-0.00030761743560228487,-0.0140479620759582,-0.1196415567051029,0.051041725541662294,0.009439011626692589,-0.02532414580724836,0.08432337579424591
CFC1,,,,0.06431437605102336,,0.05743625305212396,,0.1541315951191386,,,0.14531400610794018,
CD70,,0.009056356329405523,,,,0.01026781534678708,,,,0.006257423778313206,-0.04961687150594139,
HP,0.08424691274005694,0.002183541421200704,-0.036591703759170695,,-0.0821746622628614,-0.0723212443849279,-0.009957079497746862,-0.09595393136126128,-0.021913904938793003,-0.05916125425792183,0.028072183056791596,
CXCL2,0.014879372159931813,0.02733851355062502,-0.07886430981386244,0.03538509837381858,0.0031428592424926783,-0.03271576599572905,0.0561176289626977,-0.05050738744015084,-0.03744960804103252,0.032661241719660075,0.06562611103947995,-0.04514030061692178
NPPB,,-0.03013070364872312,,,,0.0011759191029945871,,,0.017731736013789048,-0.037458256352321695,,
CCK,0.2218248468619904,0.14041297584859522,0.17100994233972538,0.05682745824065242,0.3221770385415223,0.16646157785996327,0.09119589930958953,0.3471988550689,0.24675198476626373,0.03977499283070627,0.07418246984258658,0.14083867311558326
SEMA6A,-0.05986579273112512,0.014972530879214576,0.018266532372613508,-0.0524227041842696,-0.23058967235862632,-0.010497731092750387,-0.003720477164415579,-0.11398642934448128,-0.2004955721321593,-0.06594238970572125,-0.14110476502839286,-0.1166904763544343
IRAK4,-0.07776395265591753,-0.008307255608789648,-0.008148902334303496,-0.05717874793518865,-0.16028221729955824,-0.025527413947936315,0.05277004597308898,-0.047889028428234864,-0.015727219756951055,-0.025975335277663946,-0.07051103610364737,-0.04562798501145614
GSTP1,0.011287640131476201,0.042898796631578445,-0.13071139094793724,-0.05104088651595109,-0.2660170511453824,0.016637608294770217,-0.12250376166102364,-0.2671128698343266,-0.15275058193665536,0.028846966225707853,-0.07640090744364153,-0.03153281295595792
VCAM1,-0.028361273268796578,-0.052007211194753454,-0.05348756300783965,-0.05621580422759333,-0.23845974855577617,0.026542799557283905,-0.028750136441453966,-0.09995446296611357,-0.04376369907431702,-0.003321870702986266,0.04455113730231513,0.0004418363819614858
NXPH3,-0.09855616736784634,0.0323753534648537,-0.034527770474830265,-0.01404438429587132,-0.05574949498938149,0.05473527464973666,-0.012340176235453172,0.12286929687893662,-0.04091633969738975,-0.017167917289225825,-0.08672405459530938,0.22298528755278776
MTMR4,-0.01453999722336198,0.006679164392977156,-0.019958379692431506,0.060847631564609296,-0.04707043543498038,-0.013121541116565175,0.008400894202009368,0.11317772493903001,0.08449055838401637,-0.04146988621203326,-0.012998021099168899,0.1381683057442148
LAMC2,-0.02344066661634685,-0.02364945180252799,,-0.009337408391868616,,0.030255829140902076,,,,-0.01747932973405731,-0.05134359440282113,
IL10,-0.037189435007834705,0.0102004927829965,-0.0460861313456902,,-0.03936194959139602,-0.053312981267234216,,-0.09088651897175233,-0.006634091101581573,-0.0332698099692563,-0.027493377545580334,
SEMA4D,0.16279677087766037,-0.04973747054571161,0.017751061188535578,0.048799706065242664,-0.00279323598479033,-0.00402456712318194,-0.02117214311497457,-0.11549166315386099,0.023748424923301446,-0.011425989702732559,0.007004082886778469,-0.12770329267777336
TRH,-0.01847591407256064,-0.057886073528362836,0.06231571484606889,-0.024459273434767802,-0.03766321071389372,-0.04438082014241314,,0.13199993998076,-0.03885791061240134,-0.0020676335116248095,0.02040006815461024,
SEMA6D,-0.013956756780529721,0.07667036712318086,0.08578743952552367,-0.015980597574800814,-0.08506920376542143,-0.03958030557967802,0.0033134749685863733,0.02280402265466026,-0.08770863324447907,0.002287989245669421,-0.08702236161849547,0.01807995121117757
CEL,,,0.08630579298321155,,,,,,,-0.021530489756505174,-0.02530294520807366,
PDCD1LG2,0.057174185766574376,0.032806154516313316,-0.04164244510152277,0.0015193713400312775,-0.04010349074515974,0.008374743226831603,-0.05101191202394525,-0.03409602792901169,-0.03728440470932928,-0.035516845746860044,-0.055214157847704545,
SPINT1,-0.03629330130936807,-0.006111785370745598,0.0013574098316511303,-0.043656944484559985,-0.07338368395611662,0.059037082714783085,0.047370303858662026,-0.04777489932028041,0.11247441966726208,0.047971954738887275,-0.034807887952304016,
CTHRC1,-0.0027958515682622795,-0.03036074008519383,0.1228873900440279,-0.05317548918698498,-0.10413968047694624,-0.02150775701127673,-0.02122018442531034,-0.07465717810321812,-0.061864938747577015,0.03183813287113957,-0.010077630826873794,-0.04725467682942047
PODXL,0.0407660923214945,-0.02025778236843246,-0.07717944366845758,-0.03647866659601269,-0.17927752865774157,-0.08362706372752164,0.008125222976901712,0.07024510325594163,0.029849907042988403,-0.030664610646038284,-0.08720245149997392,0.06956498499825584
JAM3,-0.04496685444872241,-0.09667250332524124,-0.009757453618092554,-0.07801744723357405,-0.25668609762999317,-0.09096958162140348,-0.03435871504185708,-0.24037321189494823,-0.14596659645476998,-0.003981047464720595,0.0021686530554773102,-0.07879652394228105
TGFB2,-0.02161025303238805,-0.005455480426992856,0.12214766927767545,-0.023163489243734934,-0.180650977022561,-0.07868894196907693,0.005745237892964674,-0.05856991772249021,-0.06167182098629427,-0.03618116226746504,0.03138484680201205,0.02595206438410011
COL18A1,0.03174394992962685,-0.029501933568474862,-0.004781302129565696,-0.015952844185857587,-0.11915710198384066,-0.10982532334216899,0.03820983226403832,-0.16809289941173855,-0.06486747451799271,0.03178814466958182,-0.004144917088077866,0.10658715838943697
NODAL,,0.019394790089542917,0.03802909096714912,0.07850473007395192,-0.10577202793298097,,,,0.01795309046502774,-0.021253999971543914,0.10926283142199722,
INHBB,-0.09621020313645554,-0.04201197764558463,0.00040253790267711617,0.039462407836845466,-0.06905077566390727,-0.0030051468441927576,0.018552932990179447,-0.05958548691528318,-0.0832983306437252,0.0028222795696013357,0.05904256926271651,0.049702835729177455
LCN1,,0.005277546161470139,,,-0.0014799238304230627,,,,,-0.02260706441224586,-0.036013150942823084,
ARF4,-0.13318217915401606,-0.06036923539736029,-0.03341470719733423,-0.0548281577043436,-0.1212738596562651,-0.006639721069347885,-0.05865184657630207,-0.08352291525016502,-0.10910394920089155,-0.05330099341925362,-0.014018949651153155,-0.007585343112887915
CXCL14,0.22358620192761322,-0.046197708208405776,0.16883339366687694,0.054794100943265554,0.09341354175279061,-0.06765576993150053,-0.019782120009850652,0.04116008996810855,0.18700196843837932,-0.02161469073482403,-0.01747692892041319,0.05322015134166202
LIF,-0.08189167471196773,-0.05831558813148248,-0.06700812543440883,-0.03296448492032739,-0.07292023811853843,-0.0574037829558358,0.012351867884581947,-0.05603895246062034,-0.007571098159791843,0.05769876805289815,-0.0684093421831657,
IL17B,-0.028017673233456896,,,,-0.06026178494708185,,,,,0.06735391140967754,-0.04071781815755125,
MMP1,,-0.032604681921078495,-0.018729057508385563,,,,,,,0.014939744043296928,0.006895355967265298,
MATN1,-0.02207531527915565,0.04006605562089964,,0.07041957823672863,-0.016254229652511613,0.0015148243115799213,,,-0.01982538274124713,-0.028446217183651323,0.061808478046784944,
