,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
CCL17,,,,,0.0009619371867197247,,,,0.030094281912752752,0.032709758108397116,,0.052100753230908466,,,-0.020054216042187184,0.04206681586292014,-0.027317464610402395,,,-0.017311872929663942,,
VEGFD,-0.03346760646001505,0.010333814993747466,-0.03083214516244981,,-0.007554927999147395,0.024516016564686424,,0.036000004775586444,-0.015122923788164426,0.017250255436713754,-0.03763296164287694,-0.020376562600726386,-0.04515376265900148,,,-0.023491956692479485,-0.028811493647131096,,,,,
TNFSF13,,-0.024900134384121513,,,-0.023453232841556204,,0.07169885225923442,,,,,,,,0.09806385995347063,0.03117659879997567,-0.02929444801516622,-0.02430234113327592,,0.030672007415665444,-0.041462898770540886,
WNT5A,-0.0379220872516158,-0.04384837612590434,-0.02103665809785909,-0.02870394957290613,-0.007781968355698407,0.010059136907805001,0.0950063272419752,0.1171330820335616,0.08080171863109513,0.023486010318127002,0.04352411009126969,0.013269637612623049,0.07772564621769794,0.06800413478962475,0.04385812254610563,0.0096454718017918,-0.008313363218594234,-0.014144734608905401,-0.05181027158257824,0.029339867461742133,-0.029088741979888477,-0.0482624480480248
CXCL8,-0.07523565882366375,0.09610399999793383,-0.017599430980270836,0.07190478684388044,0.03414814741308937,-0.02238504738339521,-0.021613043907535368,0.06707725935304445,0.0016587518142865414,-0.02619207090567863,0.009550572701442368,-0.025978888423671295,-0.0589867374018162,-0.013097863174178367,-0.08084902337751187,-0.07137792539871206,-0.038784844959698875,-0.10636659334183489,0.0845306449911931,-0.02860610796495357,-0.061668588955253525,-0.06460884455316301
GRN,-0.10209798161993541,-0.0024021550530951598,-0.02746691444163094,-0.029152588361637206,0.02349181489385506,-0.0011038063970452727,0.002163073501554405,0.05478597657766525,0.04186970102723237,0.04972348553944822,-0.05808332002418802,-0.029298600869528443,0.07024902238888568,0.05018548415770192,0.04144223994851631,0.03524344060299125,-0.08195454399417507,-0.027503918096799387,-0.03252756077154457,0.027651449606988513,0.02465256986350756,-0.009111381568305451
MIA,-0.007185725625240958,-0.016001536380946486,0.03291118872739595,0.06046327949294206,-0.0372299213464033,-0.07055465977688474,0.08454930018024377,0.022669683115380868,0.030274266668009284,-0.03198730004552445,,-0.027906636289845087,-0.06045822176999522,0.010835545539873506,0.05823561841735284,0.03868276908981354,-0.0577199050502498,-0.007183933412223358,,0.05030512967823829,-0.008772354638306924,
COL4A4,0.028879290215422022,0.0059984955887897595,-0.03081439117059193,0.12544213292540848,0.01757573642828623,0.046723691929772715,-0.005295432814911435,-0.005533567746492025,-0.012350852701010223,-0.017012597944273428,,-0.027070472512195673,-0.007490112035482574,0.08997089483924119,0.07217213825832092,0.007396107181882468,-0.015318513235267468,-0.0014188396054836212,,0.012092607099196946,0.0454394865626965,
TAC1,0.14466212878631673,0.02407725052617505,0.07460434728598722,-0.043552280745299966,0.01903577826327058,0.002171262220530744,0.0013330479563416575,-0.017540989782704998,-0.0271891929156901,-0.0046390678998513525,0.047943864794631384,0.02117841054134101,,,,,,0.012751820349117324,0.08419204565469864,-0.02275821731137582,0.04334645296509491,-0.007904118795042296
RARRES2,-0.014321581124877523,0.03389494435110946,-0.03726901753950931,0.030235663808288446,-0.02589949372744632,-0.09573356951485153,-0.023430987262253154,0.13091174125654587,0.014951014211188385,0.003267534850225117,0.01154239920339018,0.03777126364830041,0.02881562422784903,0.055722987448441015,-0.07586573460611248,-0.042992443858992556,0.07528453208035314,0.018913481291348403,0.0726131929594256,-0.004381960517191139,-0.02312677208771401,0.10377291721808958
FGF7,0.06072233530480982,,0.02250459964177587,0.007410468793468363,0.04191015681178982,0.03528052480364877,0.0008719481939178685,0.018633686858926194,0.006037488909495584,-0.0019207764471533106,0.009059986375324704,0.04567221774581108,-0.0007062543601990477,0.06854489455914381,-0.0330441124824292,-0.055096451752047554,0.01591784833635378,-0.032425437666921485,-0.011798449316576145,0.06311399607919203,0.001135737483291429,0.010766907450258828
EFNA2,,,,,,,,,,,,,,,,-0.02232753268217097,,,,,,
HBEGF,-0.04008129199239865,-0.058843107101163285,-0.000536401390543711,-0.012531664343990773,0.011105099117616384,-0.02465060936456616,0.03700507714483521,0.03388014966558273,0.045746626154665335,0.03134353135927214,0.004799837366599012,-0.007791218386655667,-0.01807839523259222,-0.012813089596890363,0.04875938253595413,0.015525070222157732,-0.03068715952388456,0.020221441316480016,0.02985283591401595,-0.018104413615828836,-0.02753395576693685,-0.020917580285811258
CSF3,-0.04688423421822025,,,-0.025047402307219573,0.0546459228781046,-0.03378412021836379,,0.012186637995973717,,,,,,,-0.0991076920569675,0.02309964838343843,,0.06347180830850886,-0.028438923740722086,-0.018226731523320584,-0.004972157778443942,
PI3,-0.05554136685459075,0.06086288820091533,,0.05538853689196573,0.00633653672524941,-0.03433689858149894,,-0.037478338740915315,,,,,,,-0.06602373358931098,-0.08499797841942462,-0.02321064156435907,-0.04524611658632464,,-0.03960063236224717,-0.03170964968996745,
PCSK1N,0.07943806646268146,0.02647957582678558,0.057601395742951825,-0.013220638279612442,0.02232110035222622,0.04885417388719105,-0.028586813472655577,-0.03281801349710531,0.003655586387763383,-0.048197209637280504,0.07959223125667456,0.05032115901281272,-0.03216122314040733,0.02255095171395336,0.06618479067782418,0.005892814739043008,-0.02081731382002035,-0.031264729801242994,-0.04581759276264669,-0.01142116917747888,0.04245350532159187,0.13411425035614205
NTS,,,,,,-0.03588313987270961,-0.02699805324903419,0.006903771804252141,0.015450930485971742,0.06551061153178647,-0.03388175420561116,,,,0.05058208783794025,-0.02720186162417793,,0.03281077654721068,,-0.011928674715932612,,
SFRP1,0.0639493614705709,0.0287845495682479,-0.041033368794565026,,-0.029667318324305445,0.0669826761634912,0.07927634290171617,0.002982348999367233,0.002970144218938237,0.021824115156997597,-0.005415360818783096,-0.01268084037037215,0.010919723026798254,0.024645981917257583,0.03459806056572587,-0.015299732137997901,-0.015273095167881253,0.006050964537594251,-0.047833417968888285,0.07056075593572006,-0.024478356585343843,-0.12340179439180046
CXCL13,,,0.011304959670410716,-0.018187377753620816,,0.01926724424265316,,,,,,,,,-0.0032511728962064954,0.04175210168367486,,-0.04219266619151825,,,-0.03953922281474284,
