,MGH258,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
RARRES2,-0.14000231271842106,-0.03571167625969064,-0.08926807311691358,-0.056974485925683827,0.014316484133737904,0.010373530776593354
FGF7,-0.000998216467289901,0.004158892616435847,-0.055794510541873836,0.025092275917835152,0.04322749858841279,0.06541942330203257
EFNA2,,,,,-0.004161573137609038,
HBEGF,0.06708445270254096,0.0142298760429029,-0.019901773341919567,-0.025625773010171018,0.09748226385706554,0.032595106330904455
CSF3,,,,-0.07755012969661652,-0.023267110751652605,-0.013744315488702781
PI3,,,0.14464247372965727,-0.04418799571598766,0.013444842741475532,0.008870674277153755
PCSK1N,-0.11942598191402416,-0.03870631958551625,0.01306823192728455,-0.00492032910085211,-0.055744581468296917,-0.03037481368422177
NTS,,,,0.03504924273657194,-0.027723826519782793,
SFRP1,-0.019952802380436563,-0.04402291622340746,0.010165705214148358,-0.019082448489104703,0.06799018125780444,0.0029413377766434297
CXCL13,,,,-0.012846426105125373,0.004497178927845385,0.03042540317011267
MICA,0.029350251503231603,0.0006899231031454894,0.040298367246526474,-0.012632758346844233,0.056397833670745516,-0.030528044759483494
TG,-0.02720355047588659,0.05631793489868432,-0.019283478093550483,-0.02184945526610263,0.014267610090222411,0.02088841650955931
ADA,-0.06095484479694843,0.012393923590155618,0.05657961485863604,-0.008788118641321879,-0.0014861036890631513,0.0342451963195518
LAMC3,-0.017428359190054317,0.050380835806533686,0.012163595429737682,0.007255132169882046,0.016077218261426537,0.03703987346771851
CCL7,,,,-0.02464519095691222,,0.01207786918803912
NGF,,,,-0.02846322255852042,-0.02245008769363943,0.0016838663692978642
TNFSF15,,-0.03695428956553396,,-0.005841430660283935,,0.04847166887459385
HMGB1,0.000230974651806297,0.11982750838054637,0.1098379292317637,0.10740080617237262,0.030792845052870766,0.07239669127328142
ITGB3BP,-0.007311259315195208,-0.09750368036583905,-0.07554491871921604,-0.008756889633917724,-0.027988614471372637,0.06721845970804602
AANAT,,,-0.006350595239562028,0.019477350128366797,-0.016639916535590497,-0.024574793717564495
RELN,-0.022552464569183812,,,,,0.02395788797483168
IL15,-0.021320936450581123,0.0551923486251675,0.044454527627563405,-0.015997545211702976,0.005172758678468687,-0.010944076034738508
UTS2,,-0.03494061725053145,0.023722287665341152,-0.01841168205900233,,
BSG,-0.09649143287747901,0.008171338189408437,-0.11258022598234449,-0.07577752734181034,0.026172988284791036,0.07538088728906506
ADAMTS3,-0.048533644749467725,-0.07393361393691263,0.038889198559077416,0.03936569384420353,-0.06409720193166898,0.010839620282886844
CD34,0.007438220462727206,0.038530376709488535,0.005866810080567666,0.0358058503471337,-0.009254076963082487,-0.006846572373034936
CCL23,,-0.03487041921082986,,,,
PLAT,-0.09458506118354448,0.15817566640678737,-0.014508383499363857,0.03852874877414128,-0.0915425982622375,0.01580748841901955
NTF3,,,,0.009414349076795355,-0.0031160150164859534,
CKLF,0.03467159428305926,-0.032938036504398666,0.038793641779661506,0.04289874739949747,0.019518269084956436,0.11246257498960327
CD24,0.07700316072820783,-0.02027850570946326,0.06175578804489321,0.026223330472319836,-0.0018086943128238424,0.047897485005747184
HSP90AA1,0.13224662013618738,0.05536874119097559,-0.058256492140416796,-0.08260809592467445,-0.002218304109794862,-0.023649533262247897
BMP4,0.04238657520443784,0.1641205000502353,-0.03808823860081216,-0.03041455501101321,0.10206572633215902,-0.051306038091427045
SCGB3A1,,0.048634300690620066,-0.041690401645348756,-0.02539840062773167,0.04705028050625437,-0.028409344077131412
IGFBP4,-0.05009273696031152,0.03311609697527301,0.1481019044040705,0.050452517397263516,0.012551338003313758,-0.05821816015190178
RSPO4,,,,,,-0.014360602287648312
LEFTY2,-0.026934581400000508,0.029889139655808163,-0.04483361609551299,-0.020920976274935353,0.0058258134647610465,0.011200381945450795
PF4,,,,,-0.0010760148184686229,-0.024274529643652502
ANGPTL2,-0.014721053995544795,0.05379505948123886,-0.0044580774836157026,-0.01858070951725716,-0.034854900054623425,0.07662431077753531
LRIG2,-0.06302179091715361,-0.10511865690941853,-0.09791921970852223,-0.02131640136098903,0.060316779235524316,0.047296094147722734
ICOSLG,0.10447836374539009,-0.007669944696223302,-0.05899414902801161,-0.0394639362349223,0.01488272934994852,-0.011067967717293244
WIF1,,,,,,-0.00981102088120654
NPPC,-0.049604833250459,0.019188227964126073,-0.006818467091940019,0.0231428086855068,0.0009035551895363862,-0.03929097251567965
LYZ,0.0829005452160964,0.04783966884585899,-0.046237411872766775,0.029027180759832804,0.08484689950422684,-0.02111067305219013
EREG,,,,-0.04012996003986106,0.13131452120562925,-0.008844712209757253
SPTAN1,-0.08960907772756171,-0.042200158328681535,-0.033731163019481904,-0.016507829795171854,-0.01780406591286956,-0.012104903218512767
LIPC,0.04629634377247363,-0.03267001572056081,-0.008431369964832605,,,-0.024281869888207405
COL8A1,0.03984055558685898,0.07480905122175839,0.09257872048712959,0.060543511196629984,0.05521132429659157,-0.00048384684805132357
GSTM2,-0.058064816841647465,-0.028071957727918137,-0.008343816282904409,-0.059295242449860126,-0.03431894369311755,0.0218020498862559
IL4,,,-0.0358942342821194,,,
SPX,0.017006563687812924,-0.04084352074563242,,0.011970983286942124,-0.025897150980725998,-0.01980569686908662
MFGE8,-0.015328959002919508,0.10935008649767813,0.0005844133512796312,-0.0993362971767063,0.04133801409632992,0.056115666717869044
TGFA,0.029665842320716673,-0.004046117443540782,-0.05429822998484353,-0.009116728857439018,-0.043232715245354957,-0.00011989685006545926
SLIT2,-0.027996398245762368,-0.01711020000456848,-0.020767304406594658,-0.03906408778760475,-0.019870611595683756,0.06514218482479459
PLTP,-0.013292078503888046,0.019433118434356317,-0.017187060929012902,0.08836825990550488,0.032007694509405,0.02723915267574977
APOD,0.12260841768190589,0.07542330862832704,-0.04707682780078599,-0.03879586126258102,-0.034941259517562,-0.026137508453317956
B2M,-0.04821055869986376,0.017704535756672933,0.04837017529486107,0.04026923190766888,0.07607334698395808,0.06761110016772165
OMG,0.06781569701464227,-0.03646508409047627,-0.06079606180585281,-0.03570976022236938,0.027337855931553842,0.014671633947991453
CXCL3,-0.021907105478095035,-0.031751982744459194,-0.0582508616965206,-0.06785643791288147,0.0622390227678714,-0.032102974362124156
CXCL10,-0.09692438831233825,-0.03482014589640474,0.10865928969496037,-0.007532634997582344,-0.027975844643858903,0.028069274491782464
RSPO3,,,,0.006008404853505426,0.005644586958707948,0.022823775810062185
CORT,-0.027203556168425087,,,-0.02810203972657209,-0.021826228314440102,
NCAN,-0.047886492612933,0.06569990822621359,0.07001294177345616,-0.027294047205803678,-0.0551362892947337,-0.02742234361464209
PRG4,,,,0.006912119109140023,0.006638201031389887,-0.03378683816846552
ZG16B,,,,,,-0.020708663377224643
TGM2,-0.0666021963579411,-0.014807968690663292,-0.11178254554961936,-0.020742793192276236,0.04112085172979326,-0.026686581799616176
VEGFC,0.04369146573263934,-0.020687945311164586,-0.04068862904026933,0.009983396665117477,-0.033813197158787896,0.013681786195955335
WNT6,,,-0.04551632964725738,0.06408455549543517,0.07344824934902383,-0.021398262316011767
NRG4,,,,,,0.03200224770525041
PMCH,,,,0.08002500333237506,0.05084361932078354,0.07151775433690558
COL9A1,-0.06827883348889946,-0.0016895389065722877,-0.06149134162067844,0.015235973572856068,0.015784449633742387,0.06798154777723317
GDF11,-0.06792674476913421,0.03394727953682538,0.010386776925162397,-0.05088014084969913,-0.09972008278875762,0.10385489176840304
IL24,,,,-0.018676780859637615,-0.020524857524482458,-0.03597583909661216
SORBS1,-0.06398366491054662,0.04388069678538952,-0.007868866362844165,0.0009453050068606747,-0.005529409977715622,-0.09032807771140214
DLL1,-0.027713563500595412,-0.057210595513459236,0.026520551903874246,-0.0053899285051275244,-0.04012555917705986,0.033228109689981127
TLN1,-0.004563380064789857,0.08726358870857082,-0.06085922785493587,0.0216805955470986,0.014432702807525165,-0.01649966793112805
COL2A1,-0.025551096305090507,,,0.06422057325957564,0.03214435314942071,-0.028992186508096138
SHH,,-0.08790258206848016,-0.07356608935166954,-0.07886881369795945,0.06888825307549609,0.0030160415380282987
PON2,-0.08056072429727773,0.01998926606274156,0.07590532365318714,-0.02274163169097951,0.027395938512769575,0.02287659043213533
ICAM5,,,,-0.005441077279122173,0.07038331591697074,-0.0011337358486150125
HPX,0.07393209461940815,0.11249578551842224,-0.07691113438658367,-0.04729998189099489,0.027966399657974046,-0.028828687281756138
SFRP2,,0.013917475920577502,0.08324223252431717,-0.04255858416976462,0.032741544408150865,0.028297119528456496
CFC1,,,,,,-0.010382090992042315
CD70,,,,0.04648796664589416,0.09432907441164756,-0.04646342958433182
HP,0.059425826169542034,-0.014126661092488004,0.03238650334575845,0.0886624178235341,0.007915006338060027,0.046626336475681956
CXCL2,0.09403463941244905,-0.026769799484154623,0.1610569618364331,-0.04082336991264695,0.02538949085639213,-0.016426881623074815
NPPB,,,,-0.03906936199196846,0.07212568533990082,
CCK,-0.03350779633723841,0.03672762942549384,,0.023716631527610225,-0.039863843994533965,-0.003286388569516558
SEMA6A,0.053296181666233795,-0.014609056269926394,-0.025376186012268487,0.009825254245085194,-0.04383219668101481,0.05498241400144493
IRAK4,0.022877282992959345,0.029977646661670212,-0.0071043009115622545,0.07021057701141147,0.010085492342574089,0.07806086150345706
GSTP1,-0.04712083239750543,-0.05187214585927738,-0.003921171870889191,-0.040342547004115874,0.06030432164833218,-0.008236485487193943
VCAM1,-0.1157967448611993,0.04291257381210874,-0.0050702504007390905,-0.004102105288551678,0.008277632148340491,0.06021589074667124
NXPH3,-0.046509701077047653,0.0742748215331642,-0.06044853961744386,0.06615904584389877,0.057937375123079386,0.06438254745316627
MTMR4,-0.0033863432381878193,-0.05266531954590913,-0.11568483305609378,0.07561191257312438,0.03490807470294636,0.01967273961630379
LAMC2,,,,-0.022961398323836434,0.004814105792796796,0.052385326566832646
IL10,0.05449390813575968,-0.05981056658118681,0.13745808632757378,-0.0006540962513303345,0.020990832435236074,-0.015660336490307354
SEMA4D,0.058997124594752495,0.07644491293221439,0.025593014141806657,0.03227472733149315,-0.05206872329206862,-0.019699740538359378
TRH,-0.024978086384989648,-0.03214646476766817,-0.05069586663902818,0.024576935163421854,-0.026305010846547162,0.13070736395854735
SEMA6D,-0.06055211625958956,-0.030383023538902165,-0.05837380715548953,0.008952084782995723,-0.062484894617229364,0.0010707110401813442
CEL,,,-0.04597656206951179,-0.028283129784041326,0.0034822579523037097,-0.03310629915815094
PDCD1LG2,-0.048539156709373754,0.21695605550804067,0.06181435425629256,0.03568702957967945,-0.028857479821842832,-0.031201214947339427
SPINT1,0.08083613279299941,0.015916496016912307,-0.008203433247548549,0.03824584893958827,0.05013523005939737,0.0565026933197077
CTHRC1,0.00036596286539456667,-0.028770289696095335,0.08672054314797684,0.018703539881587638,0.048408079068232315,0.05973085931101407
PODXL,0.0523592452225098,0.08058663027815814,0.03786777210609098,0.007503107911810249,0.05044839074736863,0.0688525776691873
JAM3,0.03381732569949078,-0.1074146814228834,-0.025327036112497953,-0.05413797287694702,0.0045309071992926985,0.05901938407849575
TGFB2,0.09541669158062673,0.022649498624042093,0.12572514344614122,0.061635040496462484,-0.030175506940809484,0.016000227165027126
COL18A1,0.00264810643193843,0.09135694412125848,0.033971279689606886,-0.007606613671859318,0.05862185752262115,0.01262714067557346
NODAL,-0.03951661588009979,0.06748021907419434,0.005667087080361064,-0.0279199240901412,-0.025353033932117335,0.016821986126810844
INHBB,-0.010198722245600896,0.11294343539561455,-0.10666818401550181,-0.010506101124427488,0.04086719203045476,0.08042617754158772
LCN1,,0.011086616521580803,,0.0003023866267799116,0.04819751674335067,-0.02173533892163816
ARF4,-0.03289627473589491,0.04286663483236543,0.08221470142973644,0.015353979565864859,0.0362179786904389,0.03558616409351342
CXCL14,0.10737998867133315,-0.05489386353870936,0.051304879105049224,0.010898735578539766,0.02079630855078828,0.020830596235328982
LIF,0.025564684488969834,0.049695264052344076,0.044625402804199535,-0.04155107265792499,-0.07503940131362041,0.016401231695047702
IL17B,,-0.05007071237627105,0.003761049390301913,0.04271713629595165,0.03493931127426544,-0.02457478878227344
MMP1,,0.058829263535038166,0.028124814131457877,0.05853973102875961,0.027585304861554954,-0.012457701702442479
MATN1,,,,0.011510903440139922,0.07801306993020231,-0.022395251786217246
ADAM28,-0.015258496530469842,0.07206130737514524,0.026033800558164955,0.05476571828297055,0.025313933795360153,0.02957008067458365
TCN2,-0.07957416202013139,-0.059581110206311905,0.05636945101569048,0.03664349425031222,0.03380598053912497,0.059786692673477
THPO,,,0.12716299596517072,,,-0.03356132098691202
CUBN,0.01368725288820454,-0.05263059103740072,0.011790285830146264,0.058401206737070804,0.056790984945658034,0.008857206103739978
TIMP3,-0.04442758820277047,-0.03625345464658786,0.08697706062527939,-0.08506667028054493,0.03391608349794766,-0.01920665595592567
PIGF,-0.060444887844759355,-0.004345519959236107,0.07920463664991312,0.07162480008877045,0.001131531521744677,0.0003451981957252595
CRH,,,,-0.016513718765514173,0.014198392691941704,0.03455158930724794
BDNF,,-0.017308719371507308,0.0017869622062274457,0.016314640258931843,0.016192191767927057,0.06828252383669996
CCL5,0.03725892295965216,0.05543763687540067,0.00014288994259587927,-0.010683221994636774,-0.039369983945403475,-0.007704740398578548
GAD1,-0.063496144079394,-0.038966314616804325,0.0339809203632022,-0.04613576749172014,-0.005386523902159971,-0.05580872892085916
COL14A1,0.10484888762143187,0.029540024235933614,0.04723671816397998,-0.04544744177644739,0.05258279524409559,-0.02925542667553523
HLA-A,-0.17179727767362385,0.02582444355606761,-0.06369076806868705,-0.022534834589589887,0.0410009704487356,0.018572132920761316
CD5L,0.02535623907822214,,,,,
FGF18,,,,-0.015655196566023724,0.03265535553358082,-0.030744637909003055
ADM,-0.023639206332187683,-0.043657715260680935,-0.10923538087983062,-0.10455571755357854,0.02996599718557055,-0.013528072270994432
CCL15,,-0.031751982744459194,,,,
GNAI2,-0.021810116694837307,0.044894028020572484,-0.04947141257265335,-0.06651478031718709,0.030293628863622062,0.015913069970896022
HDC,,,,,,-0.0004904316370792524
COL11A1,0.03057466260596368,0.015627324824834168,0.036506642356858084,0.03202766785834922,0.028852502670311017,0.0981029404698692
NUCB2,0.02747567257478084,-0.003498448491110302,0.03653940944648246,-0.000891094158478699,-0.03561339165224929,0.005573985669455231
FGF16,,,,,,0.07348299538878761
CXCL1,,-0.03400547631552888,-0.034169210862652705,-0.02294485033006622,-0.02647859817605854,-0.06271042790366504
VCAN,-0.039060140761714005,0.09588269820332596,0.0468541392141342,-0.037619553255033335,-0.03898028862467338,0.030446314384865916
MMP7,,-0.02765605344698301,-0.008922311132871402,-0.03165556463749989,0.0675099043932777,0.10107055395736604
PTPN6,0.01511327348453006,0.040101833851309415,0.06275324703891778,0.024131047152477277,0.03491193653689524,0.0538889930537606
PTGS2,-0.05413766244870541,-0.0440934706913645,0.025191872869357222,-0.10919062419854475,0.0016082888389319086,-0.06821373048833428
XCL1,0.09412255653510104,,,,,-0.027323960561905072
CD58,0.03026696310726686,-0.012410639649923038,-0.03111888985162147,-0.010639750136731428,0.008086157920265723,0.1229482721517352
TNFSF14,0.011655815283683459,-0.04046900773707322,0.11184800876224847,-0.024440466345392323,0.02286991080627779,-0.018093632040914114
CNTN4,,0.13032035575938927,,0.038809302111621466,0.02336152645350396,0.08750142859344993
INSL3,,,,0.02185615921269319,-0.0236512751519273,
MFNG,0.053977266882055515,0.035590756373200194,0.05234437003333538,0.11320831435710477,-0.02847695884941216,0.043670723356335504
ICAM1,-0.05260833295793915,0.03621169523588276,-0.044053140054796776,-0.025827345982706616,0.04075599039233857,0.07634037601272002
PROS1,0.028052871985383053,-0.007738948964412595,0.005058679820418172,0.004774501778049424,0.11794281715009784,0.09210619819784183
CLCF1,-0.04509115996812003,-0.03632899864541704,0.11735496576852184,-0.06704100733439707,0.05713255872217819,0.05751241677751001
PSAP,0.06401472675993358,-0.014894481666884816,-0.07288271118593931,-0.024339816611260442,0.040903944576938266,0.043517111539792215
EFEMP1,0.07711942464548295,0.0074177416876618895,0.005360214975033507,0.011248046918001834,0.07579333260179946,0.06879491684717184
C1QTNF1,-0.041771289954490906,-0.03700848356388922,-0.03927138259119681,0.03687990072738787,0.0510302716307345,0.008369026108917809
ALB,0.016410206446137533,-0.005883095512822414,0.047368093883541545,-0.04029121886697832,0.0014256385842638245,-0.03170764165728767
CCL13,,,,-0.018142915660955647,,
EFNA3,0.0009074024477836364,0.05137395778154922,-0.018281415047363848,-0.020537610523404987,0.023083990776742662,0.029498107907768623
DRAXIN,-0.0245438955150221,-0.05359858212172892,-0.03410619586759044,-0.015822936737947234,-0.03621382400257537,0.13056580943093232
RAET1L,,,,,0.04246133391723685,
NPTX2,0.04834783203589726,-0.06680278886730884,-0.05664803174032229,-0.004330690826042627,0.03834650578660454,0.061564102479374244
FGF11,-0.05205153880582957,0.0327747609487789,-0.08697892874506163,-0.025990398025049554,0.009976266155831586,0.05458730067712233
CD59,0.0702873443791375,0.06008874660186202,-0.024986745550991583,-0.060052018183993326,0.03182767709645124,-0.004224888291920326
COL9A2,0.01865249711437279,-0.03875689702578906,0.02963698592443758,0.007895511057217395,-0.08075174578580858,-0.03878848094288276
DLL3,0.07463713501051608,-0.005707329754814976,0.04034497722139084,0.05368734211003713,-0.09041489955840261,-0.019709453140374398
FGF5,,,,,,0.020578919579856712
LIN7C,-0.048668214075711716,0.06085218312757968,-0.058181624957352955,-0.0014507469096419576,-0.09458393187461575,0.00504017477027679
GDF7,-0.025266087338637815,,,,-0.02052486402717291,0.06927198300964885
PSPN,-0.06488813194637162,-0.08563599910514155,-0.001926506423917195,-0.02441767537655233,0.014188443444197467,0.08125387635342378
ANGPT1,0.012972526849297478,0.028653981457320597,0.007495212294381259,-0.0183883874774683,0.0005868574570120067,0.004921772839679761
PNOC,-0.0356809680672667,,,,-0.021826230689067232,-0.00988501567620922
L1CAM,-0.037940924858933384,0.06275575205168654,-0.03914585905527102,-0.027985368902521023,0.0426627371182589,0.044992209315225136
APOA1,0.016397981790006542,-0.08422551461364425,0.11661662396990005,-0.005843069095479139,0.02935018212952867,0.09094649497329534
PSEN1,0.1196940849283382,0.02082102049756426,0.004553466827623299,-0.05174024570239938,-0.013599809828706457,0.007367853416951614
CALM2,0.035208734009177726,0.026455507728912055,0.17572114345184373,0.009932242171712711,0.007879924356544334,0.01620163302740206
CLEC2B,0.10376335887032873,0.016979262553151225,-0.07099821516707551,0.03367477669179581,-0.0022501491484409808,-0.010337288198470625
NTNG1,-0.05272536207755293,0.017277638154834962,-0.019874272894293096,0.006950948751166507,-0.04461024593089088,0.05953037904855053
LRIG1,-0.031894185643408075,0.05372947416409245,0.017188253375115807,-0.030091054206099407,0.011127640518734189,0.018945566792281942
CPAMD8,-0.022231988507958968,0.07717188949781621,,,0.047666932309633876,-0.024274551463442564
GHRL,0.08995206177508351,0.021390746769937057,-0.007775110464689491,,,-0.02139826969280168
NPY,0.027269692905814363,-0.03971102719583566,0.06831555722624967,-0.004339661668743921,0.05273282609120825,0.0294010295604586
MMP2,-0.02205009782225333,-0.01167656928257407,-0.04967673593152209,0.03248476455530938,-0.006284726281266873,0.06511760789113981
PPY,,,,0.01310436783751789,0.038625759391933266,-0.043454422398468306
ALKAL2,0.07039744361289421,0.03025756175933145,-0.02346842181602747,0.09190928882590177,-0.02391328504314621,-0.04306616940159763
CSF1,-0.01995766070684075,-0.040620502810657884,-0.032439086064442665,-0.01930554409723179,-0.02029378315729274,0.059656489561249415
SEMA4C,-0.011839672881181247,0.13352637804887268,0.04069808118325336,0.024290866699232576,0.029581086165114713,0.045242513592208336
ICAM2,-0.04519030690709234,0.05670686838403828,-0.014126725942872922,0.015640929957023167,-0.022645427853348905,-0.03516980273354861
SYTL3,0.07881526604142193,0.04650316751088444,-0.05151882179255514,0.0005532353789258599,-0.004803654081284978,-0.012597243160060435
IL1A,-0.02583321334003029,0.043166933916565245,-0.018331573709533158,-0.005385752092600678,0.051163561014442825,0.019084869745762574
HLA-G,,,-0.04068862904026933,-0.040019839962204325,0.02275418896428401,
PGF,-0.09592487667181662,0.10541001086052719,0.06338087838188824,0.05349628757169051,0.06086036183214944,-0.006778512749346268
LGALS8,0.055431273982524204,0.033085599479847544,-0.028609426993066116,0.01651750298319139,0.02529351073052733,0.026076387529928628
DKK3,0.013165499726000361,0.07817100473312484,0.016822392390559104,-0.05548481673779181,-0.02073841257657575,0.016126060282173796
COL16A1,-0.07905069484760677,0.05030377494960942,-0.02707201006006512,-0.0018230775273857694,0.025345401642324107,0.02903432691827465
TPH1,-0.0177016229049602,,0.0439134206674481,0.07612278682530739,-0.03471010603901728,0.14153750085323108
TNC,-0.007641359958097354,0.018504571054444016,0.02834178438087641,0.05305712768138144,-0.0019628194354552302,0.07413041685022165
TNFSF9,0.06624351225599392,,,-0.04459059618216237,-0.011073812586533682,0.05393072873535329
C4A,,,-0.04778218011858859,0.022556231242697733,,
CNTN2,0.09671106578505152,0.013458093387572298,0.05299705824522488,-0.01275661217737652,0.013920295037647192,0.00749432050268221
F7,,,,-0.025449316029050668,,-0.03000471738223265
LUM,-0.04086278216116621,-0.0038225709822126267,0.12110644247960789,0.05225306886191362,0.0206997720319022,0.019969888572032263
IZUMO1,-0.02124335921743693,,,,,
BTC,,,,-0.01841168544335274,0.011063411549523502,0.017478926933100086
APOC1,0.06370536053754619,0.014095643073757987,-0.020390357056523794,0.13737374564803145,-0.037885103340321497,0.08935953567495196
PKM,0.012046927554016961,-0.005498426760810488,-0.027097845325276794,-0.03448767529329805,0.038577361403180535,0.04461833115097703
TNF,,-0.04455673674920277,-0.027227861977282074,0.07919150661963248,-0.023942724647419856,-0.02335242273873319
GNAS,-0.052117934022873666,-0.00027452388885294983,-0.11229264997155482,-0.068394935639651,0.03988488350608814,0.009681613590677346
BMP8B,-0.010869176050110006,-0.011753178686583841,0.013844867443788192,-0.08532704809031569,-0.001035183357755434,0.09240434582996286
LIPH,,,-0.0117643428067792,0.0063042823652598,-0.026694078158829147,-0.023968928082933404
CCL28,,,0.07867512377997188,,,-0.03533118521246288
PTPN11,0.04131142911481286,0.017539516618327977,0.07754177252945643,0.04543853596162221,-0.023255047347345587,-0.055401369051380225
ADAM12,-0.015080842003495111,0.08063057911460031,0.010329651883861703,0.020578511708715472,0.045291783251724914,-0.016166563036878977
EPO,,,,0.024815799813722894,-0.027723835153429716,
EDN3,0.013462102628415207,,,-0.04150532778711473,0.023649698446338255,-0.03723710138514321
CCL22,,,,-0.022300318539998105,-0.02535302275264562,
CCL2,-0.03010631541122488,-0.03086918147598359,0.1004690608566137,-0.04952463805196186,0.027324458257447334,0.01347849887961582
DSCAM,0.015996013239491316,0.007715948452896917,-0.005765716037038188,-0.01324030553146558,-0.06466408391203157,0.1125162630150829
ANG,0.02621733799547896,0.041521268224618206,-0.1462823570730053,0.016140922211136915,0.06234976793754246,0.034557703096199884
FBLN2,0.05519321528640639,-0.018187168296776222,-0.06476742902303681,-0.044875192422343974,0.057547381866700754,-0.03451651407816084
VTN,,-0.028840157148996185,0.09460192362213111,0.09375619222330558,-0.019494841985526645,0.04446088536872247
VEGFA,0.024064302439091145,0.046014603024819634,-0.12033879718769186,-0.07971598015118969,0.006459430276044985,0.029445505933321396
F10,,-0.03128379118358394,,,-0.006560702620297153,0.11934957768817626
SERPINA1,-0.006360754506727244,0.039993118753359126,-0.02347161892916382,-0.007757267769188132,0.018249033443881343,0.0007560893910901337
VWF,-0.09493807540962657,0.13526684477644377,0.14057125642151236,0.0379840366485035,0.036168761508557426,-0.026959661862219642
GDNF,,,,0.02332004041401913,0.0071875685903327905,
VASP,-0.013825725324415748,0.09595098180189118,-0.02500187810503657,0.01805519266586086,0.03818503739228963,0.028019922989755853
ADAM15,-0.04396988340998694,-0.04749451872504724,0.04216708660392351,-0.04797039358370358,0.023654983097150625,-0.006325794031272499
WNT2,,,-0.04505251050787006,-0.024440455269255246,-0.028473767423285678,0.05322251637458521
CALCB,,,,-0.021389868641227484,0.003214810221949611,-0.006202151676601872
OLFM2,0.06305879470593413,0.04203414410011271,-0.024400531514307502,-0.017992945903820595,-0.05343662176141362,0.04233768476659856
MFAP2,-0.03530288725361159,-0.018027696654739713,0.03808299722315139,-0.03252720698031101,-0.0001251058924675554,0.004845292751263997
HLA-C,-0.1324788672938749,0.06950698121788738,0.009442762942000502,0.004675854169526571,0.03624738522121143,-0.007508920615617725
THBS1,-0.017297667129979738,0.06135201039269577,-0.025237673988881736,0.022849188967089724,0.06852429847841195,0.004711911660533424
HSPA4,0.06006008553216514,0.04867590505238382,0.06777772347028188,0.04195270901884971,0.01528810079634844,0.023888735945182385
LMAN1,0.005408414520602018,0.051570342052941,-0.05719677705958601,-0.0038167091342958624,-0.016361499248487184,-0.012800401352132385
LYPD3,,-0.04682521684644462,0.009398013202687036,-0.018682311458941024,0.07419087115516514,0.0550894706504426
APOE,-0.07634198804131326,-0.028921883974202787,-0.044599978086637494,0.03445555498662598,-0.030870949410735316,0.021795951883538056
SOSTDC1,-0.022231986661416778,,,-0.01961472200970991,-0.010952674914723749,-0.03505189396430014
ANXA1,-0.0024356410566618346,-0.011808857066061152,-0.011873789206528422,-0.056719014226585825,0.02689692170650306,-0.03216158240359
WNT2B,-0.04957006948681339,0.06936097503562304,-0.025241778154838572,0.03685500404390723,0.04149026239548464,-0.04367818994559823
AMH,,,,0.010290053207380152,0.06068005106165026,-0.0436373307341714
