,UKF259,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916bulk
TGM2,-0.01911214080283756,0.12146345473609538,0.033365630836645226,-0.040903511896490316,0.014778546134514296,0.04863722542538408,0.11367379892565617
VEGFC,-0.01847777540401691,-0.042430678508625794,0.016349420463188245,-0.0027749826717052613,0.026297198060556852,-0.027932356542898183,0.07481902806874109
WNT6,-0.014339676232951015,,-0.044068676174121406,-0.010662786898000851,0.001558488914831067,,0.003487910887528211
NRG4,0.01065598944357138,,,,,-0.022429278849194417,-0.03131338821556269
PMCH,-0.01748319102272697,,,-0.018111739648082437,-0.021343640935963137,,0.023687850547723634
COL9A1,-0.013178371069277151,-0.050314087137979496,-0.05667053069173159,0.03921569600589204,0.005297372552186495,0.05748640057617125,0.029555291148592358
GDF11,0.040150343364881026,0.005453586259673699,-0.05705745192269921,-0.012558591129007384,0.0019419346461065187,0.02383498748081819,0.0018665421385219325
IL24,,,,-0.013503676644282248,-0.014305259227264888,,0.02085653216730159
SORBS1,0.00848715986097738,0.05732627407553433,-0.02298961501670764,0.03830087390471503,-0.023677325910467915,0.051254455176001704,-0.024096959495421177
DLL1,0.004274054689531824,0.06252725992209675,0.07431717466164364,0.04967939320953997,-0.007128318129931957,0.060716620214357045,0.037584027493805766
TLN1,-0.012925401348098177,-0.01073197637430133,0.029803480613392438,-0.04543670431857058,0.02475423404063092,-0.01205301093148867,0.1375098784392259
COL2A1,,,,-0.0007602223801707679,-0.015888792284862063,,0.008410003568987034
SHH,-0.01077360140368055,0.010122575170056302,0.060906762083161356,0.01585516150496989,-0.03473913520697637,0.01881283423850128,0.17503350172398172
PON2,0.010962442761237869,0.047131544455587475,-0.06918215690722988,0.006410805133606684,0.02021201949430921,-0.035623972243057724,0.023288328211665123
ICAM5,-0.016791422456706995,,,-0.024481808743181212,-0.03685636451731379,,0.0030249915559388014
HPX,0.019388322975782968,0.03277273026911249,-0.020662820769051966,0.08225743296979098,-0.007085511703000638,-0.03007189942826976,0.12411495421571006
SFRP2,0.011609493543670904,0.03763513628306692,-0.03475263340398531,0.0092384578152317,-0.035466647232593726,0.03953871613772075,0.052207374773728554
CFC1,,,,,,,-0.027707421642970506
CD70,-0.02085544844324634,,,-0.0012001613288964246,-0.06897533265931544,,0.055170756139917586
HP,0.005519684167382559,-0.06492039935275004,0.05702477093442321,-0.010525218008874869,-0.045536775033861096,0.040355128820535976,0.11656095196001391
CXCL2,-0.0452808276728981,0.14090993109464034,-0.049205215218811126,-0.026481026909783233,-0.010786810467388814,0.04942629330826467,0.09932786333680968
NPPB,0.005410618586749906,,,-0.023749595553428263,-0.030354011840089838,,
CCK,0.016743185427567888,-0.026376971673970087,,0.06117327595917725,-0.007936144925050468,-0.024431299815445676,-0.15603444337490371
SEMA6A,-0.017896688850928637,-0.007201977330779317,-0.05556416602634745,-0.015261870299883927,-0.026304654477105695,-0.015121725500629766,0.04205401440762336
IRAK4,-0.06673660261966527,-0.04654089086611163,-0.0433196014665598,0.037838021455869494,0.01574700244689144,0.03948841785628994,0.04281539763337974
GSTP1,0.011105583096168796,-0.05081149897954318,0.01890124460099859,0.0316487972272484,0.0025563964728413835,0.007115538844693,0.049335588841657924
VCAM1,-0.04824836558292318,0.000968751707617767,-0.1517496822288547,0.010793938896755454,-0.0036288915964527778,-0.07949469476159403,0.059117699677995156
NXPH3,0.00809223538465656,-0.06492038029382063,-0.04548924526180122,-0.006866673424305223,0.0142593196949494,0.03193607575591018,-0.04591628099784785
MTMR4,-0.010140463694123155,0.10940842892231521,0.010437182506663709,-0.010467064257149869,0.0059526894044277445,0.010847854144990425,0.0404947344376852
LAMC2,-0.012107443893077736,,,-0.01660153859467984,-0.01878681934411304,-0.021685645550668965,0.0037023879914627757
IL10,0.015174816958028177,-0.015321053608129825,0.0214841225572594,-0.015788276846065413,-0.016322677546477524,-0.020917887709388218,0.14123622855118448
SEMA4D,0.0541322124035217,-0.028917897108943682,0.09922602489254012,-0.052599590888980266,-0.03275932779698535,-0.01287753827722681,0.012015978753416928
TRH,-0.013630648360897099,0.04495407245448946,-0.04865876430027614,0.06739451669351527,-0.04843408957198326,-0.005866418442389829,0.0448271930289006
SEMA6D,-0.031905009297693805,-0.054531644930932655,-0.017695002348797496,-0.06110093016332567,-0.02584406657360539,0.06587317993662774,0.05751260566519113
CEL,,,-0.017759194397374164,-0.020449254181556693,-0.02335523261246509,0.06691133144556946,-0.032215037852215786
PDCD1LG2,-0.045799041324316316,0.11752634213206103,-0.0752199836707614,0.005879449246289286,0.038549041865278556,-0.03236734104531409,0.058491230732771356
SPINT1,-0.019933943537180556,-0.05452239166731823,-0.03318541260571589,0.038008282154109965,-0.023861045867502165,-0.016386622854109238,0.1504199219290909
CTHRC1,-0.019455762751881378,-0.018463291771031835,-0.11644872522284935,-0.017779395169623825,0.07845225037745192,0.010566585412546858,0.0514577358688129
PODXL,-0.03453259478048724,0.06447581864245519,-0.1405732014729526,0.03651420009209457,0.017578616769602887,0.011042058503512088,0.09745259848336846
JAM3,0.0012897093131386376,0.02296801455139584,-0.009438061276675203,-0.024679450860978443,-0.001227373474852797,0.06524712385528911,0.09341218637478473
TGFB2,-0.01306209539480026,0.14072618679069418,-0.062113448230849876,-0.018651912762332603,-0.036213175296718414,0.007023403924334298,0.07860162544050393
COL18A1,0.01593372595958571,0.0004757229596120251,-0.13774982868063954,0.019280433694426623,-0.004467815056492351,0.02524969637311016,0.024221959110432675
NODAL,-0.021217619125480487,0.015060664603969565,-0.0445477518636198,-0.02018664938458181,-0.017670364930132514,-0.0006853405994652757,-0.06281487972803752
INHBB,-0.006200608715379215,-0.012483228968558743,0.14770439400712387,0.04236771187280768,0.03394463213094322,0.025170873795454404,0.1129892752072265
LCN1,,0.013476187454070471,,-0.02147176453917694,0.03228905904362571,,-0.021150197512152857
ARF4,-0.01385874518668069,0.02029213147377656,-0.01355893665932225,0.027913576075699845,0.024407587896031657,-0.02898540544350828,0.05303363235072437
CXCL14,0.04170837209751585,0.04447414528637613,-0.13344312989316937,-0.003255218752470288,-0.09735480723475226,0.04112548012621725,-0.04955264386016412
LIF,0.012283728495344804,0.036052443135438275,-0.0167551394415881,0.026853957116293976,0.021465370576956803,-0.014809568246385707,0.17667628996934798
IL17B,,0.12738754491569917,-0.022592167982213817,-0.018684977747593194,-0.026719177696654557,,0.05847154562317545
MMP1,,0.07890478795072899,-0.03911376874642329,-0.02952081017688217,-0.027505061956697476,,-0.004995614619032904
MATN1,,,,-0.027017682006815327,0.08317150889716195,0.09469773893909979,-0.021792344730421593
ADAM28,0.06280951589881598,0.03950485961361867,0.06291577580948299,0.0034690659907213976,0.01257264594243434,0.015115425063714032,0.07180150569427686
TCN2,-0.04528991490815632,0.002965315318636905,-0.055893443054067744,0.006208223911015813,0.009795965135424228,0.07336172665510089,0.06165170477151681
THPO,-0.02185687846039548,,0.08469203038705608,,,,0.12398217813466207
CUBN,0.04558486540453098,0.060042256410443175,0.03057161400448378,0.12121269784926005,0.023512129774543047,-0.04084928755414973,0.04088833472335055
TIMP3,-0.062467432080850704,0.014118564993585525,-0.0658783838654457,-0.014453313145094187,0.01112129096755978,-0.004699202853118211,0.09075665473068269
PIGF,0.013385027548036567,0.04572736503064137,-0.010102262804214614,0.02604459631618769,-0.039188049902552,-0.0030697754303801237,0.037896823134920016
CRH,-0.012151940517827996,,,-0.02297000343202362,0.06898832873782863,-0.036972985221276004,0.03888603747386256
BDNF,0.038043249658635536,-0.006991783751873051,-0.09606918655593388,-0.002747475928942109,-0.020693912707928922,-0.046998238671871854,0.12827389111396365
CCL5,-0.04694936830611739,0.037408295973070264,0.05590830211735388,0.02312530305750474,0.06023784701212306,0.018876882704381707,-0.017305203574437326
GAD1,-0.02382498586489292,0.1334439794996822,0.014586304701044626,-0.02159354422836985,-0.0166848780675062,-0.010280709606817266,-0.03828117510342493
COL14A1,0.00764630254700084,0.09647546026723258,0.000959333288434092,-0.03936000503215628,-0.004201607495322123,0.06730302627566777,0.07628034777468354
HLA-A,0.02666653524801833,0.049086801509607106,-0.006430581936625424,-0.03391095731039606,0.020894377474511814,0.04322270179636607,0.05471318277774668
FGF18,-0.009654625866408145,,,-0.02209011935534394,-0.026049130527117367,,0.1252910387684709
ADM,0.040937775641498246,0.009660864968026267,0.019536398976285722,-0.02045958756160742,0.012005915964172331,0.0025450795260068522,0.18354690112847064
CCL15,,0.031794194077308185,,,,,
GNAI2,-0.016360697246295523,0.01917017187943413,-0.03145920801055117,-0.017047219009884106,0.03709576766910264,0.00023653327979783356,0.10226385999893142
HDC,,,,,,,-0.021792334860874913
COL11A1,0.007269517404823675,0.02730126232144189,-0.033568966555925006,0.025839291240062363,-0.004400345497625387,-0.026100976615515928,0.16286161888873463
NUCB2,0.012911756655561138,0.08496173020182987,0.01306176598911767,-0.03643826171630743,0.04317287071007429,0.10648682674009521,0.024767816030115665
FGF16,,,,,,,0.14263253986284016
CXCL1,0.006734385439766106,-0.027455167736571966,-0.03308245414999639,0.009835800587312708,0.015902178579430788,-0.03297312920327529,0.12181229462053153
VCAN,0.010021761568113758,0.015615228873320754,0.004162482189340301,0.052706199363792346,-0.01647078498326813,-0.024947382267605758,0.1326080681412315
MMP7,0.04378144048067719,0.00026742923599383213,0.04515974093041717,-0.02005244005529353,-0.014015353247493851,,0.005873769730614404
PTPN6,0.004432557995570253,0.038970154526051765,0.007829329074008289,-0.0128573305860263,-0.019497922275355198,0.07300467161501062,0.03689330680330946
PTGS2,0.022191510031903346,-0.03559996109703673,0.014623935859858793,0.001508847873696267,-0.029280891062920335,-0.027118579837468425,0.1471278412122629
XCL1,-0.010504578465306526,,,,,,0.011627308381411187
CD58,-0.029151657826406666,0.01455698312797025,0.04316784666222344,-0.04457569564800887,-0.0028664585551007008,-0.07946251219868856,0.03515407474420104
TNFSF14,-0.0053955740556462795,0.0595509378106773,-0.042710051723037434,-0.017670933607026554,-0.00043949146008924104,-0.045643108067881556,0.04610872679578508
CNTN4,-0.01887861738285201,-0.030486189286738827,,0.0038578253176015462,0.001985659632267665,-0.027528081711964792,0.0593202903822877
NTF4,-0.01328783173854756,,,,,,
INSL3,-0.009654623972709631,,,0.06624126379961787,0.18177768242212652,,
BTLA,0.13672480518388816,,,,,,
MFNG,0.008556602059476018,0.0792775498432232,0.004432983734591599,0.06679994785591804,0.023110146111464044,0.001483938951931433,0.051744270106242524
ICAM1,-0.010838936329614341,0.0072303406728074235,0.010095463423761636,-0.027110903285630004,0.0330524266038326,-0.03085344317275654,0.13756278423836887
PROS1,0.025996045900445176,0.04328617576126852,0.12467249412089378,0.04278707004269564,0.03474348096593673,-0.05601402473617037,0.091891703965903
CLCF1,-0.0062444946380812915,0.014317066756988094,0.034352482288511586,-0.03004277377474655,-0.0060467691494217,-0.04474249999594985,0.15522291136328642
PSAP,0.025515721256035198,0.04612478849959842,0.052826585579001564,0.0037897304654062277,0.05584983120951213,0.018705324016231064,0.04561003054434074
EFEMP1,0.03025306905870138,0.0285256331493784,-0.12246385735582122,0.012483446299441566,0.008487670204438481,-0.009801638657889095,0.1588519807072606
C1QTNF1,0.03288800232412206,0.028160332537249824,0.055871945621984394,0.030654450841997923,0.05816962451876848,0.0737486657329745,0.16533114299309645
ALB,-0.017140406494491535,0.11204450413202059,0.09468198416020047,0.03109546310147881,-0.016129303418170045,0.0606651015429628,0.08574839437333291
CCL13,,,,-0.013117681698535659,,,
EFNA3,0.0001071899466108307,0.05241891646458057,0.008789438382982758,0.04089726274499773,-0.02282794097684013,0.0724243995392579,0.0047548690151376916
DRAXIN,-0.018029385560624955,0.045913035811873025,0.007651158160058379,0.018010780969297258,0.022490329891107455,-0.08469201716594751,-0.006801972046820424
RAET1L,,,,,-0.01668741373044916,,
NPTX2,-0.010034958778028858,0.09368114763616084,-0.0360887730538623,0.035718606393498636,0.008046876002264511,0.04824580199436866,0.008783581762869988
FGF11,0.014146736025544943,-0.016925312767144398,0.05272836621864616,-0.018909382504461822,0.026636971609467285,0.02477035811945013,0.08224820848511978
CD59,0.0010039454350282396,0.05099455874635816,-0.06196905434243619,-0.0028267830828667996,0.02295434357308049,-0.03406948684925656,0.0018934495892398637
COL9A2,-0.010823534816971823,-0.07708428853157352,0.00306411506237162,0.006011387781812203,-0.007820137776426081,-0.045675590584535734,0.008135529254280486
DLL3,-0.04022878379779924,-0.06045318201995187,0.03936852894085156,0.03620303996842954,0.013031535777793228,-0.039858184684692245,-0.08155222127587515
FGF5,,,,,,,0.20044046272499771
LIN7C,-0.02093924369537187,0.0752727062516418,-0.014042330287998048,0.0420070709922178,0.05881369251801323,-0.010319128827426352,0.039342935765204694
GDF7,-0.017226667842351027,,,,-0.014305263759460661,0.040011255902803335,-0.03331248892229259
PSPN,0.026101033142655584,0.0010020323168527768,0.10950033900566396,-0.005148221880458235,-0.024832734992867846,-0.03201773732936412,0.003447003524550126
ANGPT1,-0.0029251376141942913,0.031450352912999864,0.08536102263189571,0.015712415754383494,-0.02064655138536096,0.03706046246041241,-0.013942581739096445
PNOC,-0.01945964644146322,,,,-0.01521228040627113,,0.04805231699535421
L1CAM,-0.0004461011821259197,0.09191243678043697,-0.008195102820922904,-0.021198904931329962,-0.003677253203375829,0.06891979150262842,-0.04518498208917767
APOA1,0.004333059591592302,-0.001724462639754932,-0.07675748134660036,0.041474306275852066,-0.013133243615479387,-0.03025999778276064,0.06646988374716453
PSEN1,0.036391014148178566,-0.020635723880361348,0.008326867084986408,0.02450855040793062,-0.07779040655180096,-0.003537647636893851,0.08166505598201852
CALM2,-0.0027737032615262635,0.007273732910361779,-0.12723825778684136,0.0028020969595184816,-0.020102832832955875,-0.013467733173563229,-0.15605497844641988
CLEC2B,-0.040426982898700184,0.045639818291415016,0.04527121658631887,-0.003347601562533525,-0.0183082209985289,-0.04510622669129569,0.014017125992557293
NTNG1,-0.04689118254817167,0.0021180440856187178,0.026352054205855974,0.06473100316703022,-0.0007455835538702431,-0.027595433132911452,0.08709490270706101
LRIG1,0.006723666359076687,-0.03917236637870045,0.010957220803622927,-0.000980108873639642,-0.03236430589741565,0.05816433335695873,0.03553947315491904
CPAMD8,-0.011419697427773384,0.02881744455212855,,,-0.01607080853323811,-0.04398004630594207,0.06346868235535477
GHRL,-0.03046032343822231,-0.016068185307774447,-0.050021816661832294,,,-0.01849375680946029,-0.02082220259149103
NPY,0.0682237505660705,-0.032061686257144326,-0.04837829240126879,-0.05044684454322115,-0.057958447693486195,-0.022375146834295923,-0.08564269518264153
MMP2,-0.013746741298104555,0.04302482693869817,-0.027510712379993495,-0.008717103477170068,-0.044239376759727916,-0.026136501376634494,0.010743591901483978
LHB,-0.009945694041045864,,,,,,
PPY,-0.017312552632114807,,,-0.007654784768304363,0.06842510659878133,,0.11324303622863358
ALKAL2,-0.009801198619249121,0.07614019308421656,-0.04495635684537604,-0.038686914817928186,-0.021860432271453192,-0.03869674180754178,0.11736375909091833
CSF1,0.0653139887256104,0.09263046241809632,0.037773823482483516,-0.014279126222789327,0.0636622632736205,-0.03477655707679944,0.11301083273271677
SEMA4C,-0.016952766323623733,0.005039201856753771,-0.010409923585272374,0.0002821614749796614,-0.027122577209180217,0.008884097451484236,0.06742026714820885
ICAM2,-0.01305415407736643,-0.06456085487713453,-0.074268280910501,-0.04727964662917,0.041710530597983055,0.09090102690618786,0.005904497889659797
SYTL3,-0.017390168240245935,-0.04715984016598249,0.022871536308085322,-0.04754494121116431,0.015483554498459545,0.01223862403767194,0.13289494749559563
IL1A,-0.04010598667262817,0.03762672020172771,0.008262597106562717,-0.004509068307216843,-0.03769108753484357,0.08433076371722635,-0.03742856348347643
HLA-G,-0.010504577516654864,,0.04928275258769505,-0.014027455964553268,-0.01694472041917621,,
PGF,-0.014669905414679803,0.03170304618024675,-0.09225410068046075,0.004935017588005759,0.005293256020589702,0.02948997157549551,-0.011958659958249218
LGALS8,0.04996032607779488,0.03791821130523318,-0.008917141381476623,0.0011017350888397506,0.03522711386250786,-0.06309656106316966,0.034863899748340886
DKK3,-0.06484808754026015,0.06907933611142637,-0.09278532516831967,0.056627166168819555,0.061989350670654406,0.022640024533932702,-0.1575258725037527
COL16A1,-0.012091476890046407,0.03291818245447062,0.011444413819190672,-0.007565540287014555,0.021379221794875506,0.011003899204882601,0.08280768080293346
TPH1,-0.019115618295089842,,0.15022346056997266,0.04513392295649421,-0.014893578806707128,0.059895736581720274,0.07772659113842165
TNC,0.009716745779048817,0.08458485397022251,0.012141905246775221,-0.013132279996301836,-0.01945283386554333,0.028623242755635953,0.11794340754838406
TNFSF9,0.00010200602009173806,,,-0.01917462508207784,-0.023529533354387927,-0.0062374303328778975,0.03493611906536826
C4A,-0.011791197411558879,,-0.046262460942223686,-0.014604122842976143,,-0.02988281255889194,
CNTN2,-0.023032723642959052,0.01635325335196986,-0.09544646838114643,0.007026601659507996,-0.01684189489442687,-0.04390565608056753,-0.08201453510928673
F7,,,,0.07358018059067223,,,-0.029196954380075395
LUM,-0.006174663069831163,0.016936716589411704,-0.13359727896966914,0.021259085892640108,-0.009643797780293156,0.045776112080739347,0.08267754146002447
BTC,-0.02699469419651616,,,-0.013312007490572332,-0.024377601186393722,-0.025640580945487795,0.06573546641680644
