,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
ADAMTS3,0.06959706735259333,-0.02999890352192601,-0.019336145022101122,-0.03622289572104845,0.027152602635463225,0.05828805509277821,0.04647860196331511,0.15447446164039325,0.051134242113735816,-0.004651766619563155,-0.0375198255101597,-0.02907921642080055,0.03662100898054816,-0.07494401872677467,,0.011967835747007835,-0.03681857406742155,-0.017580525844704705,0.017117135787470195,-0.03621883358465289,0.060343785152866765,0.04170133279254495
CD34,-0.014031859205798284,0.06407858158400075,-0.06730924760499543,-0.005233686374718281,0.015994229088893624,-0.006537408295307256,0.08279407021836274,0.08757313166535244,0.04945777358926258,-0.022239917976338078,-0.01405352021787662,-0.024669581470368712,0.054930670398740084,-0.01746552914401954,-0.060790339224000574,0.09809188994476613,0.0328174768165457,-0.010047556220262566,-0.04765508272139051,-0.026136586022418334,-0.024879830460245507,0.04203076666895709
CCL23,,,,,,,,0.07916952209192256,,,,,,,,,,,,,,
PLAT,0.06570803973774687,0.12534653585372016,-0.03880237725005539,0.04586282485089067,0.02951865351484599,0.06546379036483216,0.0741900724346199,0.18100798633393006,-0.008377731870428574,0.014821952873235204,-0.04958046212242727,-0.04742713042775849,0.08383334161863662,-0.031177847052625145,-0.03755988561287695,0.07753416793437821,0.010277031626363637,0.04726617593924231,-0.02687608358168219,-0.07466492833164935,-0.010951269767654554,-0.016397615636827387
NTF3,,,,,,,,,,-0.020716062081522768,,-0.03157078917748314,,,,,-0.024960226321979632,,0.04796624482546087,,,
LTA,,,,-0.015160689923863869,-0.0017934749771525826,,,,-0.02633313836022458,,,,0.0927526999451203,,,,,,,,0.0002250063775025425,
CKLF,-5.168018575934857e-05,0.03817896380399655,-0.0520194375319149,0.06418360929648946,-0.025237913000021376,0.07612708355455296,0.09114577036756906,0.17677611485859474,0.051685913566365704,0.018176984496410763,-0.04471893169431823,-0.010305545577601,-0.014310348213701977,0.06252691228424732,0.023456374559174157,0.09712261084967265,0.00997625496007555,0.015231982695058948,0.038379661353832556,0.16774800184489053,0.04411081288664176,0.028844982320382056
APELA,,,,,,,,,,,,0.03130255955143826,,,,,,,,,,
CD24,-0.033827372896073404,-0.12444816284429064,-0.009030027981199323,0.014628647751646942,-0.002806465112947907,0.03234189434456419,0.0422045904593867,0.04585103607817399,0.07410581151577858,0.07645326360015142,0.02785948764622028,0.053896570105009416,-0.005458923973593343,0.06432398763701909,-0.012721748148020264,0.10066005707551899,0.015755640002979115,0.007221711351074729,0.10816231957031358,-0.04272061498105593,0.06457276665078186,-0.024431774158833533
HSP90AA1,0.030095468552584662,-0.144136908796101,0.023548136517566157,0.015711261643392056,-0.061350742319217236,-0.041236031607492174,-0.059670309518204165,-0.15888135115740964,0.06375300119923537,0.005162180785981606,-0.06548881685870869,-0.016663873086979496,-0.04676169160083503,-0.04980956479267282,-0.16228515634227234,-0.06028513778186277,-0.06812941654235767,0.1111676833897624,0.0027280017061965334,-0.049004931169636085,-0.08237198436482938,-0.13431180576842452
BMP4,0.07499479716608223,-0.005043799124462207,-0.010979185770459058,-0.01607122003902535,-0.01922958925493726,0.1175415073851952,0.052279799083027545,-0.04271872630449993,0.0042424775492129405,-0.003150828269940402,0.03633084418758974,-0.009438457933933407,-0.019891969140853564,-0.03926716612675265,0.10003314142132518,0.09282495029487277,0.017542117882420206,-0.016763184101479204,0.06354159686732774,,0.07721648393751121,0.1173608458630775
SCGB3A1,,,-0.015923524181284707,,,0.0017013148489076744,0.0040743728388314224,,,-0.04558385234178931,-0.0411301726494946,-0.031030167691841096,0.105458609823685,-0.042980825247824504,-0.0036602617920327815,,-0.03147056745552848,,0.09973173409246779,,0.07463955597948826,0.07237143758347502
IGFBP4,0.057136099771593035,0.001691411793310019,-0.018288106296360768,-0.018944211323993303,0.02972650827433222,0.02316123156669914,0.0957415834214519,0.10726801796904105,0.07033826621028542,-0.007924875199324348,0.020063411063493203,-0.017277110226115087,0.08919566583768035,-0.003853350844216361,-0.046778375845613784,0.09256327348961015,-0.003974021742778844,0.07988615696555618,-0.12767349926556082,0.046716795738920965,-0.0715744631602667,-0.04921912514150623
RSPO4,,0.08180287014044987,,-0.024508986771408066,-0.01892224139375473,0.008793304763653394,,,-0.048556434951484144,-0.0041173609974361845,,,-0.032382568324511425,,0.0015724640165128054,,,,0.011976917735238781,,0.07804955880465482,0.07273406207933335
LEFTY2,0.0051055625945363,0.120245647069999,0.01953973893988414,-0.015346886262714632,-0.048308950741397044,-0.011559087093636717,0.054490709484536576,0.11981978604014504,0.020364301842130023,-0.03667258456749224,-0.024853240376512823,-0.01675858087863057,-0.017405333350498133,-0.05187512804797573,,0.048614146114078355,0.02365066381835137,0.0004832210031544741,0.035844510178494965,0.07894760243042401,-0.0010050886186169236,0.032069036961509895
PF4,,,-0.016518100238564714,-0.013790708039029464,0.0063673986190011566,,,,,,,,,,,,-0.015068485687392665,,,,0.022592027842370913,0.027329637069801422
ANGPTL2,-0.02228484087453413,0.03879414003439099,-0.020241231129573743,0.03660230155856454,0.02799308069944905,0.09417062868278768,0.05432645363386811,0.17624425982676845,0.011585786041327836,0.07409486343964336,0.06523450629000338,0.070253588999921,-0.0021268761276972154,0.15664596693074673,-0.057006170585328746,-0.012412292350093437,0.022987059010263454,0.02065959435634964,-0.022843359619119923,0.09019649818223846,-0.04550594278650195,0.05161162178509164
LRIG2,0.07526135850116286,-0.012168129404375953,0.030722401707075006,0.013656271251309535,-0.0037873844479159595,0.04667820373306042,0.09335202123977943,0.05170220026259151,-0.030462696009973263,-0.013958733843939801,0.021489906361965242,-0.002050718655416038,0.020208336063975194,-0.043245626077002004,0.005134768513354705,0.02219941773606759,0.02959457196694109,0.023779644547488415,0.0020169989808799674,-0.06792004412251239,0.08511160598242025,0.03910930856729298
