,UKF243,UKF248,UKF251,UKF259,UKF266,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH916T1,ZH916bulk
HBEGF,-0.01920673104480165,-0.018903034580218785,-0.022827359109881373,0.0012043000932265339,-0.061630422133506994,0.06804367721065577,-0.027334479315767456,0.07989595152165296,-0.026184554967496866,0.04958381477441568,-0.01977687876220066,-0.06379596698425295,-0.20348236532119232
CSF3,0.02392474117382328,,,0.021833722854934984,,,,,0.0912156571024943,,,-0.019461623783940726,-0.09427512607176625
PI3,-0.01946248168615112,-0.014817173124505865,,0.10008769410468255,,,,,,,,-0.1380524780550718,-0.16789419278068282
PCSK1N,0.014599368549569022,-0.045389769704864545,-0.026663317612307624,-0.05177954699580125,0.0005175066826935287,0.03514812016222427,-0.05622395174704659,-0.09645233201638706,-0.0107079775151069,-0.034355513339194906,0.07481965223821475,-0.010758956859016261,0.28283147778253886
NTS,,,,,-0.019266497787315727,0.004032091931935856,-0.040229894480677195,-0.03736853909254748,,,,-0.08803887273907596,
SFRP1,-0.03164121869759707,-0.04451958560691021,-0.023414049457870952,-0.02206176268168639,-0.03510499009964444,0.047163272237052425,-0.014510831428411138,0.15933091104504055,0.02394438711682653,0.004022924955368511,0.0580286881319359,0.07797611542730049,0.0006996338119770727
CXCL13,,,-0.05002681483887238,,,,,,-0.0330074051880099,,,,-0.016418343434262492
MICA,0.0715873728543861,-0.07563677715428502,-0.01815403536340186,0.006520026856596982,-0.040893773505830004,0.015378531883887643,0.036761182223334174,0.03422202005576596,0.040972712881563844,0.04773565887040819,-0.03748043427457646,0.10634105976369758,-0.09356249130886
TG,-0.03591997229043012,0.030329274656207446,-0.03969303740663635,-0.004842433429526363,-0.005201828362154137,-0.029413182286402304,-0.010501425583940006,,-0.014038320331076003,0.05301476039688055,0.030185556520103782,-0.001965590461826139,-0.04444711412989767
ADA,-0.053119770911619985,-0.007732351471855508,-0.002980010510345857,-0.03841383724872507,-0.004251275641573734,-0.01969913354742874,-0.01705515967352613,0.10333932051840554,-0.058032252205723306,0.07532135289933695,-0.07375098917578286,0.11282750124778222,-0.018038966737675324
LAMC3,-0.044688182747209114,-0.06272865909124554,0.01185372293035344,0.07774285652947147,0.0036450982679756745,0.018697580208219055,0.011283849556998708,0.06607619237933468,-0.025756051583942258,-0.03955791552103144,0.0518994836521609,0.3339115583133033,0.020505037901681573
CCL7,,-0.028454760188282156,,0.10122602964540964,,,,,,,,-0.05205654948309371,-0.20710113441312797
NGF,-0.025960318121608095,0.051520009939722645,,-0.01741739617436267,0.06990769000152426,,,-0.02250154767906667,-0.051822007795299045,,,0.21198046559677,-0.0613614156579131
TNFSF15,-0.032116153452559894,,,0.01866830913419481,-0.02576768183220765,,,,-0.03046110051891126,,0.06039420368080508,0.04330744932716458,-0.19296446711165952
HMGB1,0.02035991103900857,0.0028651886290849923,-0.033939052360893396,0.00036744682115814957,-0.05622994832079572,-0.10595480269179441,0.0029165766276947743,0.09381035581045911,0.018144891796659443,0.02242533591360075,-0.07572879200761566,-0.18798882452443347,-0.042257401516480476
ITGB3BP,0.0380058963915477,-0.016135723330645342,0.012677336016873306,-0.004087261357975365,-0.045777027755820994,0.009208377008581186,-0.044728053959418555,0.014100356328090737,-0.09508782580149398,0.0062714088331178005,-0.01742559567288931,-0.01240175102733496,-0.10439905412872945
AANAT,0.12732180192207887,-0.015089953381267751,,-0.00458451610631153,,0.0007190882075948439,0.03440444587735387,0.07877870388495777,,0.02296195002794884,,-0.02067354702082663,0.014175658312074969
RELN,0.04696495042743125,-0.01768104768143709,-0.038962268356646027,0.02752052054242584,0.029437030114706133,-0.07549085994956714,-0.03263706917984252,-0.05125114624608282,,0.056548960700817864,,,0.04024036477604799
IL15,-0.04565255776258198,0.02233604470875233,-0.02364884422296694,0.03368596783065494,0.02391553130874594,0.0063650872365009475,0.06791134337519876,0.013995029563254284,-0.028433580278091893,-0.02896730793004919,0.008837469637645864,0.08054263302586226,-0.09912818244373758
UTS2,,,,,,,,,,,0.02830361026871892,,
BSG,0.13058025440197102,0.022047475727673037,-0.02468836749237448,-0.10133892741448397,-0.06735988458533006,-0.04630920895939183,-0.02341196218810116,-0.016216450738401503,-0.02369077727095277,0.043205792921673196,0.04400003420370769,-0.0729961259049887,-0.1621548886076589
ADAMTS3,0.018575366080186336,0.03836827373154735,0.011281171678608795,-0.07030344287601745,-0.016580339188502907,0.015333315720824253,0.009391301581680575,0.018879210598776664,-0.0027554345240950774,-0.01206764954142057,-0.03171615481619852,-0.07643250967432473,-0.07951012416622678
CD34,-0.028504877220766296,-0.051281822632080844,0.001649707886784408,0.10900574391476157,-0.03679584731701805,0.034172940945670735,-0.022648428454450562,0.028540977958559078,-0.010854586429393276,0.009955324832727526,0.014560397475246307,0.2581767564135298,0.01466664879694369
CCL23,,,,,,,,,,,-0.017413186993856862,,
PLAT,0.03685069401997453,-0.015700860060512092,-0.0002519241040900841,-0.07545643968803716,-0.13222012510839598,0.02177392897625832,0.01990274261270485,0.11711199891013951,-0.0340807561110236,0.015101077041816048,-0.01934140003816698,0.0634150396480036,0.029776645645280986
NTF3,,,,,,,0.05471711097981528,,-0.009297038712203165,,,,
LTA,,,-0.0068968533497234035,0.02617420789701197,,0.009666671579551839,,,,-0.028967311505787206,,0.03232897766772779,
CKLF,-0.014732201189967561,-0.02430709494507605,0.039439012303934234,-0.029028778775752013,-0.06081044736009859,0.029015578703082665,0.027146949772287442,0.08712737392144479,-0.07843923738866984,0.013918288549505251,0.012529346805446859,-0.0276980938519402,0.003989925504708572
APELA,,,,,,,,,-0.02826432887824013,,,,
CD24,0.07565026588809116,0.004023188216112975,0.041067065906794965,-0.014998527443859109,-0.059852339873811465,0.11666218354801391,-0.026242872935756816,0.1312653978298169,-0.10920719962540407,0.07857110941333972,0.02486984624099359,-0.034880476167523315,0.012415987205407856
HSP90AA1,0.03392146758163886,0.007752162801511478,-0.027135404273504797,-0.08206573084210357,0.055122497132097374,0.19336859182070476,-0.006555428979413856,-0.11169269840710427,0.004761183336491173,-0.07677123879220396,-0.0033840446461661086,-0.13773254967045337,0.014314251748753021
BMP4,0.017103413224947274,-0.07800081495648872,-0.00829329714435176,-0.025084298757321717,-0.06661270499251488,-0.017291552786938728,-0.011209105252108368,0.025969224280540024,0.026286702729609868,-0.02468314127505699,-0.06250744411024754,0.13979228455546072,0.06672047366587096
SCGB3A1,,-0.02845475734284416,,,-0.023405254944616913,,0.10092555788055022,0.07049478890868459,-0.009971686548487969,-0.020213006892064945,-0.011731206721136535,0.056582142545677165,0.01135988650278738
IGFBP4,-0.04784443240445887,-0.06585999686190824,0.07548228928819198,0.1043582781229525,-0.063049334070131,0.11177842831235495,0.019672322420208426,0.23919354314064625,-0.04820843386389561,0.01340895069961443,0.004527918331871114,0.30171136424458106,0.053694886769798604
RSPO4,-0.03171319013535809,,-0.010749898193011467,-0.04813026313677002,,0.011676117778607125,-0.010210820614272224,,,0.030541765265182156,,0.04712734725551253,-0.030686982350574446
LEFTY2,0.0004606553343342673,-0.0816739214902151,-0.029548886807395536,0.015291785737864022,-0.05255675091538918,0.015864295335497818,-0.011196289684629454,-0.006915302089676897,0.024509112738020956,-0.01642982418407432,-0.06934338355136192,0.04067854724508849,0.08452123629809614
PF4,,-0.029517243086524703,-0.02655262206700167,-0.02298406141790371,,,,,,,,-0.06291511213553047,0.08545384709676987
ANGPTL2,-0.058012039880148,-0.059943789001997275,0.0003270936137010368,-0.029710239197244213,-0.10979512129386054,0.06405253716612529,0.026074777210328325,0.1083773524981426,0.044358988682310724,0.0776401227352066,-0.06626336973686489,0.04895497555333899,0.04330230815306284
LRIG2,0.013190747219769922,0.03617557300395594,0.0040215448689807564,0.01256820344207875,-0.024842068316775594,0.021871604734389323,-0.013977477761925244,-0.03020188184938594,-0.02445675897566577,0.08320862121505153,0.05477543605900303,-0.027161194437981578,-0.022007110956878184
ICOSLG,-0.049752327775434244,-0.011378824985447459,0.02880087513292347,-0.023931500866255093,-0.06131823803584432,0.008058354586730572,0.05733553717474594,-0.003957505458579255,0.03837857436250211,0.07382991130512712,-0.013223605884270491,0.09253287585938764,-0.027127091595857484
WIF1,-0.07380166196218817,-0.025695612986985195,,,0.022576708423018767,-0.0404551273858397,-0.01921465029402429,-0.041774996996471,,-0.03442318918810083,,,-0.048563737247264614
NPPC,-0.003118905691147275,-0.019674334664068472,,-0.016801916664661763,0.017180458499229268,0.00884734183747715,-0.014190541849171871,0.01694261758071939,,0.07816541950523531,0.1312493819720686,,0.051190751132846754
LYZ,-0.03935539347927434,0.019341379324890204,0.08858903106403461,0.0904494045121929,0.04003116915261753,-0.045834848237709544,0.02487199278653656,0.156141470816908,-0.030499278371087436,-0.02683041341687246,0.04420158300071248,0.2623828743122779,-0.05386251158472414
EREG,,,,,,,,0.15046607116496422,-0.040274610535711484,,,-0.026539327893040223,0.030655445648811612
SPTAN1,0.03812814846036044,0.010437338092813964,0.007452642417046206,-0.049428617017679165,0.0846658822975963,-0.004929181457615764,-0.00920116365618163,-0.05383193858199371,0.018847594936947838,-0.045414973820191586,0.009775863270341724,0.035747720388858574,0.37661377253826017
LIPC,-0.02995579559604957,-0.03613686399152127,0.010287393507632872,-0.015852731868178174,-0.01536394196124051,0.000466694494091943,,-0.03532984187129035,-0.016362873911727787,0.00948686351966279,-0.034848694676068416,0.15107536810527092,-0.03749327403350278
COL8A1,-0.026175435898708778,-0.021791385079080773,-0.0338518281238891,0.08092573784401784,0.031094923977290752,-0.02302705857866963,-0.017595368445566327,0.12188072969658485,0.05940774491956002,0.12488701663101716,0.007712696294942042,0.2106235657193157,-0.05877222555899339
GSTM2,0.052350406535288156,0.0014145913976426742,-0.0268188691854157,-0.03671994893861179,-0.01550491218929179,-0.011618052845874579,-0.009833499825299345,0.2007024437208191,-0.03836739034531594,0.007780792674572443,-0.022039202920211443,-0.1345090306330362,0.022856204379906507
SPX,0.0873720691720012,-0.033268028545118046,-0.05696114974032433,0.06990441731163874,0.09459769709212969,-0.0769034349869186,-0.02894999987092518,-0.08162258216725815,,-0.07887676274100981,0.08351171334152199,-0.04909769651504138,0.18776234650361498
MFGE8,0.06900318016482837,-0.05810147533936648,0.0706137263959613,0.011067082400449488,-0.04563018105730301,-0.017206957170613636,0.01548852973811482,0.06904058638915735,-0.01531678457144792,-0.03398248586766002,0.01482711024671737,0.13008380498815988,-0.0418962838798857
TGFA,0.07794546569127203,0.052362225769307165,-0.024863185460255698,-0.007841560091688331,-0.04283041734147249,-0.00595725132809186,0.07344778935936239,0.00660017270735072,0.007541206876793136,0.07514809723998249,-0.005895801620058892,-0.04274570201625383,-0.10432761714110365
SLIT2,-0.04573269098797328,0.029721306110023694,-0.042337951035894314,-0.08435681288777545,0.038758507557430516,-0.03936940257316916,0.000910484701980999,-0.014261304748992235,0.07420843673603507,-0.020771850449220332,0.05359010619720208,0.07468260107535915,-0.2189188083219036
PLTP,0.008913519672317896,-0.0002752483245439581,0.03623049027138544,0.14461033920435457,-0.0333222486622064,0.04419326169953978,-0.02228405306344981,0.2167120632108391,-0.019587978439182637,-0.036806454825822586,0.06657318686099603,0.1493529771821119,0.1141874981653946
APOD,0.015571060520874676,0.033818268922829214,-0.05038510353693612,-0.056964476215419106,0.0742789605272503,0.08561718479045155,0.06670293543209656,-0.01928398710254467,0.050513646087690475,0.0022874878470640495,0.03466199947629244,0.3317826676873147,0.35058107882822787
B2M,-0.10367727420077291,-0.016712342494999727,0.037303099859574924,0.27244101661075004,-0.029273838164652635,0.22120258415012328,0.06708758164841995,0.23282488922107658,-0.08377380400421551,-0.022525205693434316,0.030138681623704984,0.3119820073162423,0.19523374203644783
OMG,0.055044057162626725,0.08751991018776116,-0.04383591632341787,-0.048282025190188545,-0.021267088193100827,0.07072842610519738,-0.04304622023490316,-0.08012240372563956,-0.02550613213670893,0.011431083110082868,0.039183510419457744,-0.005322439671488401,0.2790123598396997
CXCL3,-0.07396086766094871,0.0012264707437594302,0.05354964844142354,0.016562781046680186,,-0.016245768290627547,0.041394995555686286,0.012180569250650133,-0.0981143208551905,0.07787218804066137,-0.03386944045224528,0.024951930598145766,-0.16588752301253296
CXCL10,-0.0873940700515538,-0.05915267898522898,0.09677883749370984,0.10230282975294383,0.005798700963956566,0.16827448253437285,0.0869312171491066,0.027287951927207163,-0.034754717919349656,0.030899052698831322,-0.024384066686258622,0.04728206812383424,0.09290295248152104
RSPO3,,0.007758881994874698,,-0.029959934383964354,-0.02404859814305899,0.008096285957833849,-0.026525379338965382,-0.002736099650059768,,-0.02180008474409198,,0.06433841337495556,0.10656733364414936
CORT,0.03330532124597223,-0.02654864355619288,0.01686365883561313,-0.04338307212496154,0.01463777669278,0.0018433116757076511,0.01625338861358576,0.034422478310650116,,0.04698813882894685,,,
NCAN,0.03903354458371847,0.03251029517215209,0.0003363674057055762,0.06221599624370714,-0.060180364455282326,-0.09728806233002157,-0.03266888222759734,-0.04633926369289918,,0.034939404782694417,0.02894167182569567,-0.2102095960163068,0.33518785217507796
PRG4,0.003235797282091452,-0.04279256109876584,,-0.031654115739032346,,0.017521185135747405,,,,0.014544878806012913,,0.18307942580800737,-0.0530299369920222
ZG16B,,-0.03945816024051178,0.010815932590272604,0.08388493004689845,,-0.00979131479635823,,,-0.04543532906434784,,,-0.017840798514059737,0.023766393477904643
TGM2,-0.043505987907792434,-0.03273896851817756,0.015833407509496515,0.08508192598352414,-0.05372501430249777,0.031944991877276216,0.04468712047866576,0.12031876966126748,-0.011464479844473489,-0.01531240975040263,-0.04676754517851895,0.16329778560655114,0.19427289372940237
VEGFC,-0.03481815307244763,-0.0061547600672062575,0.02469719380155467,0.03279467587815031,-0.03758745803283953,-0.05145542172781474,-0.007921654880879134,0.07319137438004884,-0.09285494873454214,-0.026011420703540816,-0.056058556380099,0.12343870642019755,-0.16532406434565067
WNT6,-0.044158693952733766,0.07238315398850005,0.05125084377561304,-0.005417431861502129,-0.018806304181910895,-0.06798881112554248,,,-0.0003607359516740018,0.03749744959799537,,0.02337682972067148,0.012489091701667152
NRG4,0.11561814169942948,0.06938291044769779,,-0.04356123829633457,-0.0230223928814446,-0.05986281088957343,0.037478049625758174,-0.03749707113967363,,-0.019452417351962015,,-0.03903193975163636,0.028708994348967544
PMCH,,0.05329263161250123,,-0.059910996294759496,,0.10010657628238119,,,,,,0.002938734145420011,0.07540823087167604
COL9A1,0.0292330295133396,-0.02415417154206951,-0.05317523300215783,0.05242388297699822,-0.05448856515107105,0.025823077214158437,0.10000557818615789,-0.022997259998420422,,-0.03457781197902592,-0.08285781495884259,0.047612513461211176,-0.02827357102154142
GDF11,0.009454426372943348,0.04856380144039256,-0.05344364709800884,0.020735335938728176,-0.07235216987938742,0.004307952223461214,-0.01652234163202357,0.0918295858486491,-0.05818933376500921,0.018228462060647564,0.04908122940720636,0.06745363649093447,-0.0017012222249529984
RAET1E,,,,,,,,,,,,0.05617819309947854,
IL24,,,,,,,,,0.09912623608370884,,,,-0.15113399512795264
SORBS1,0.028072016623459508,0.061345263551391034,-0.04922119195573174,-0.0625605416051604,-0.01579057548138429,-0.07139736359505473,-0.01773705422574493,-0.034930749048582295,0.040593218102187335,0.00209782257365046,0.06925800176309324,-0.047885978656602414,0.12611460723988352
DLL1,-0.01941251182677408,0.012651161602780143,0.029165887768708786,-0.04742379381396255,-0.06309350449172822,0.018609632571598256,-0.013568514275193953,0.0159798000749766,-0.005647752732905227,0.05574395242773458,-0.041810235737260205,-0.006497307833570358,0.0029187148074190403
TLN1,-0.01581759442408387,-0.038536841376178195,0.04379120588566539,-0.04484382720987501,-0.10121715480191007,0.03821531391942637,0.043664214921910076,0.12465783225680901,0.018080928071476873,0.07177352474177061,-0.04133098213901861,0.13217727012418073,-0.13450492619180637
COL2A1,0.05141781919263075,-0.03126445411783094,,,-0.02037429008493014,,,,,-0.021178918490026483,,-0.02809021510644098,0.010531108646249244
SHH,,,,0.0043610901102796645,0.011323837086065155,0.021539888127061462,0.08566131063871231,,,-0.02021300512532231,-0.042064902946594984,-0.1937741214717704,-0.05162539200526919
PON2,0.06822307181403178,0.025286373887896608,-0.12759394817168626,-0.07923601761799869,0.06147404201311464,-0.09737911225803955,-0.04266372493277313,0.008726193958893411,-0.06301253894312354,0.004470956771552317,-0.12870575945868448,-0.035165855276981794,-0.020074336215288768
ICAM5,-0.07849067862456678,-0.04787899078575021,-0.03803605451947771,-0.05794227236148967,-0.0004274487492994887,-0.04755101643931984,0.041536591582198544,-0.06943656703396266,0.06065278364559674,0.029379495551107283,,0.01499018361048131,0.12966750778331856
HPX,-0.030283833772517293,0.0044912157820229575,,-0.01782538786631203,-0.018806305450528842,0.02386265713710808,-0.01021082106686722,,-0.03249738133778966,0.023617656452434806,0.15988587474547988,0.03177351215953711,-0.060056981281205506
SFRP2,0.00825315334987625,0.01156961981672052,,0.010904353479965637,0.10580806035293228,0.10833656135707102,-0.020217551862269083,0.26862522984285986,0.08254802057317373,-0.03965274327461463,-0.02395447699308962,0.2531557025005584,-0.07584819080120773
CFC1,,,,,-0.03177805382935322,-0.03210400576523919,,0.014884567475672513,,,,,0.12260739731483576
CD70,,-0.06911570811573703,,-0.002248246955587206,,-0.06633314070878368,,,-0.040339690960820455,,,-0.036141653855984904,-0.19206356599472152
HP,0.009954408053294039,-0.017907167728451575,,0.06914641779892365,,0.12185829562147976,-0.04734013132288481,0.13871256542097207,,-0.0453003097343185,0.03770057070498331,0.012235551830122442,0.052487629907345144
CXCL2,-0.05448198044367731,-0.04409763097019643,0.03597810139902973,-0.014866359237176486,0.07737473794729413,0.06579018507081145,-0.014190540738576252,0.13110648107381814,-0.11071179651960067,-0.04000639522744587,-0.06078853689559194,-0.0009896834221299936,-0.12635675235336694
NPPB,,-0.017093452092442785,,-0.0037221368561872557,,-0.017582886241432786,,,,0.06765546907753728,,-0.10397735835805803,
CCK,-0.051273026630743186,0.006230985918230095,-0.02963118101879543,-0.05155763832308141,0.11473311636807391,-0.10527208035773009,-0.016987281610895816,-0.11768360991161848,,-0.09379567736328928,0.14173491343316946,0.06765811829964768,0.44151114543684944
SEMA6A,0.10702607733563178,-0.001721241407153122,0.011236294328481944,-0.0678420280430698,-0.029542236373101004,-0.01727495521199916,0.04268452772710775,0.04235854238071683,0.029685005606140482,0.08854834885844624,0.023815062055895102,-0.07150887221460475,-0.17023928090146842
IRAK4,0.02748988441623702,-0.018627925070583994,0.04713376884728974,0.018214776319334016,-0.0502614131101505,0.06574034301574094,-0.012637459373297865,0.1795715414148869,-0.025953707757872,0.07060646554169527,0.09522280267915717,0.0115719886192946,-0.06028389199956197
GSTP1,-0.01746259753546635,0.047030782943579014,0.024015016229892588,0.00029706029684325953,-0.042843723583578554,0.08637798177227614,-0.019767540640245274,0.13494325774917396,0.061795801501081334,0.07265305855886603,-0.05519838322061655,0.010847324101509665,-0.08156543718596991
VCAM1,-0.09183156705661577,-0.006227739858756878,-0.04355666939248146,0.004488196244584083,-0.01151100930087688,0.07089078800148317,0.02827521407247459,0.05870386337383047,0.037763558146851915,0.06288321791442737,-0.07733464496520356,0.14476045930227036,-0.08935923151593875
NXPH3,0.0404798755415036,0.015518717442396395,0.020705226516477156,-0.06417745992660633,-0.06684729433009763,-0.010954790803713846,0.016663216991710944,-0.03978822476270132,-0.02322628768880747,0.0494411713377443,0.05135086037450645,4.7639640374195466e-05,0.04097716279446025
MTMR4,-0.07014349685428425,-0.05526716014097782,0.007009869496402721,-0.0361383894147525,-0.018905752411893302,-0.020778981789686023,0.01061673220000534,0.10592325660995434,0.003868944552889824,0.03549870150663497,-0.08583634461325387,-0.004452847274299038,0.024580967114664183
LAMC2,-0.010848661110419652,-0.028813033449515364,,0.020397161769226676,-0.025767679299671324,0.053281587649978576,,,0.016966461843813233,,,-0.0009350341644952324,0.04872305651015424
IL10,-0.03563400008033798,-0.02072030477531902,0.018116041198131868,0.02471474858265378,,0.14191416046628716,,0.21358196150155587,-0.06117634195661029,-0.023283921283891548,-0.05097897138322942,0.19128660043907003,-0.012572593381383945
SEMA4D,0.11631132566777942,0.006003628122505018,0.005269917080485111,0.01466785207798523,0.019488746423558505,0.02642353788530231,0.01699818658712445,0.025854736469075636,-0.0434529185280373,0.0357813812981942,0.07290465728012548,0.11144758614529292,0.12793007605204962
TRH,0.044709664490016995,-0.024403597988320615,,0.014342930910018791,-0.03525068095819684,0.11661802580343611,,0.023411150964266523,,0.01061972760078811,-0.03370858272982421,-0.07526163643890213,-0.19364709142881634
SEMA6D,0.08630016152878961,0.07884110062352165,0.06024920971166868,0.025895121735021967,-0.09724031646240748,-0.09754866986771392,0.0001240450149240774,-0.08715202031000072,-0.03860861511253471,0.024300693280982017,-0.0017207865772476704,-0.13391687784253012,-0.2434319230878109
CEL,,,,,,,,,,,,0.04428719933574169,0.003287885683382598
PDCD1LG2,-0.005658430067050688,0.01262717634713434,0.0029434026393584177,0.015735835495733496,-0.018095369992406508,0.07897976080105651,0.0029806126618581417,0.0381555154723615,-0.014205123521491588,0.020548679541878216,-0.021087872593723207,0.11429521220787738,-0.15046841352827256
SPINT1,-0.04652973749446669,-0.02664375725021258,-0.07522175271636043,-0.021328947205748853,-0.02340526209609953,0.011187228835060098,0.05184682853939862,-0.01197965549415747,-0.03307231473962235,-0.034175783846979224,0.0009673708905669096,0.0484867673721545,-0.07926159836924922
CTHRC1,-0.0369659463239262,-0.056909337445167026,-0.0036521934278386683,0.05356587954963515,-0.07793036384647137,-0.018774944256113455,0.067418186842152,0.2580155095957804,0.0207068250313432,-0.013695933387421675,-0.03644492854137613,0.2635856098894985,0.0684331433411639
PODXL,-0.027840601672782146,-0.02273465836131911,0.016714476489938238,0.013905235428126907,-0.07205540182346305,0.009332892454482149,0.013645870400853586,-0.03523461961128102,0.016347245240937815,-0.04348083336365178,-0.0710663928863412,-0.0029119171056850067,-0.01419333709970751
JAM3,0.057147846003840964,-0.047800041451522855,0.006766631833422815,-0.043359549876187474,-0.09216819499948115,0.030734928982404427,-0.039033878325814036,0.09278292388574005,0.014934027379793277,0.0142468894823394,-0.014532527150295647,0.11749733119684493,-0.11120957840756168
TGFB2,0.07989785922936231,-0.0061006556182565536,0.016404611793932176,-0.0010449726505608586,-0.00022366829657677678,0.018292070295502744,0.004054464680148764,-0.01247894646079589,-0.04992064084770947,0.00481117453859233,-0.014221371441336918,0.07189053348376871,-0.08376134194056288
